#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tbx21/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval0.3-log2fc0.5_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval0.3-log2fc0.5_up.bed
NR94--MA0690.1.TBX21	chr1	152008858	152008867	+	0.000	0.000	Merged-chr1-152008952-65
NR1585--MA0690.1.TBX21	chr5	97964568	97964577	+	0.000	0.000	Merged-chr5-97964675-19
NR1965--MA0690.1.TBX21	chr8	84024593	84024602	+	0.000	0.000	Merged-chr8-84024491-4
NR1822--MA0690.1.TBX21	chr7	47113533	47113542	-	0.000	0.000	Merged-chr7-47113657-15
NR1617--MA0690.1.TBX21	chr5	123471355	123471364	-	0.000	0.000	Merged-chr5-123471228-26
NR198--MA0690.1.TBX21	chr10	19215147	19215156	+	0.000	0.000	Merged-chr10-19215120-16
NR1455--MA0690.1.TBX21	chr4	107006396	107006405	-	0.000	0.000	Merged-chr4-107006366-21
NR911--MA0690.1.TBX21	chr17	47564781	47564790	-	0.000	0.000	Merged-chr17-47564757-20
NR1325--MA0690.1.TBX21	chr3	115758852	115758861	+	0.000	0.000	Merged-chr3-115758930-94
NR1814--MA0690.1.TBX21	chr7	28792566	28792575	-	0.000	0.000	Merged-chr7-28792616-46
NR2049--MA0690.1.TBX21	chr9	69174178	69174187	+	0.000	0.000	Merged-chr9-69174203-32
NR1795--MA0690.1.TBX21	chr7	3453318	3453327	+	0.000	0.000	Merged-chr7-3453251-36
NR1400--MA0690.1.TBX21	chr4	11095692	11095701	-	0.000	0.000	Merged-chr4-11095738-16
NR1033--MA0690.1.TBX21	chr19	12026924	12026933	-	0.000	0.000	Merged-chr19-12026851-22
NR1699--MA0690.1.TBX21	chr6	56931795	56931804	-	0.000	0.000	Merged-chr6-56931757-12
NR31--MA0690.1.TBX21	chr1	60746412	60746421	-	0.000	0.000	Merged-chr1-60746290-59
NR632--MA0690.1.TBX21	chr13	117223430	117223439	+	0.000	0.000	Merged-chr13-117223399-24
NR1317--MA0690.1.TBX21	chr3	104780691	104780700	-	0.000	0.000	Merged-chr3-104780834-109
NR1298--MA0690.1.TBX21	chr3	84630990	84630999	+	0.000	0.000	Merged-chr3-84630888-13
NR1360--MA0690.1.TBX21	chr3	136630076	136630085	-	0.000	0.000	Merged-chr3-136630225-22
NR1482--MA0690.1.TBX21	chr4	133688510	133688519	-	0.000	0.000	Merged-chr4-133688584-12
NR1548--MA0690.1.TBX21	chr5	64662588	64662597	+	0.000	0.000	Merged-chr5-64662440-49
NR23--MA0690.1.TBX21	chr1	51448904	51448913	-	0.000	0.000	Merged-chr1-51448946-41
NR624--MA0690.1.TBX21	chr13	112396815	112396824	+	0.000	0.000	Merged-chr13-112396740-45
NR210--MA0690.1.TBX21	chr10	26228357	26228366	+	0.000	0.000	Merged-chr10-26228346-20
NR876--MA0690.1.TBX21	chr17	6153929	6153938	-	0.000	0.000	Merged-chr17-6153777-10
NR1399--MA0690.1.TBX21	chr4	11095648	11095657	+	0.000	0.000	Merged-chr4-11095738-16
NR571--MA0690.1.TBX21	chr13	73737215	73737224	-	0.000	0.000	Merged-chr13-73737138-53
NR1527--MA0690.1.TBX21	chr5	24517982	24517991	-	0.000	0.000	Merged-chr5-24518156-18
NR998--MA0690.1.TBX21	chr18	79295032	79295041	-	0.000	0.000	Merged-chr18-79294963-22
NR441--MA0690.1.TBX21	chr12	21226478	21226487	+	0.000	0.000	Merged-chr12-21226464-17
NR15--MA0690.1.TBX21	chr1	38632616	38632625	-	0.000	0.000	Merged-chr1-38632713-8
NR311--MA0690.1.TBX21	chr10	128750450	128750459	+	0.000	0.000	Merged-chr10-128750381-16
NR1867--MA0690.1.TBX21	chr7	110824185	110824194	-	0.000	0.000	Merged-chr7-110824322-44
NR563--MA0690.1.TBX21	chr13	60895938	60895947	-	0.000	0.000	Merged-chr13-60895855-39
NR420--MA0690.1.TBX21	chr11	115338893	115338902	-	0.000	0.000	Merged-chr11-115338922-7
NR1466--MA0690.1.TBX21	chr4	116701079	116701088	-	0.000	0.000	Merged-chr4-116701085-12
NR1737--MA0690.1.TBX21	chr6	108561159	108561168	-	0.000	0.000	Merged-chr6-108561234-16
NR433--MA0690.1.TBX21	chr12	12278402	12278411	+	0.000	0.000	Merged-chr12-12278395-37
NR1052--MA0690.1.TBX21	chr19	46613325	46613334	+	0.000	0.000	Merged-chr19-46613309-39
NR1989--MA0690.1.TBX21	chr8	114978103	114978112	-	0.000	0.000	Merged-chr8-114978024-47
NR890--MA0690.1.TBX21	chr17	29307275	29307284	-	0.000	0.000	Merged-chr17-29307236-11
NR1575--MA0690.1.TBX21	chr5	92373413	92373422	+	0.000	0.000	Merged-chr5-92373310-21
NR922--MA0690.1.TBX21	chr17	64740323	64740332	+	0.000	0.000	Merged-chr17-64740384-4
NR717--MA0690.1.TBX21	chr15	12606612	12606621	-	0.000	0.000	Merged-chr15-12606518-21
NR2000--MA0690.1.TBX21	chr8	121995346	121995355	+	0.000	0.000	Merged-chr8-121995236-25
NR412--MA0690.1.TBX21	chr11	111795777	111795786	-	0.000	0.000	Merged-chr11-111795733-12
NR664--MA0690.1.TBX21	chr14	59553395	59553404	+	0.000	0.000	Merged-chr14-59553394-22
NR1078--MA0690.1.TBX21	chr2	6462521	6462530	-	0.000	0.000	Merged-chr2-6462544-11
NR1349--MA0690.1.TBX21	chr3	131156540	131156549	-	0.000	0.000	Merged-chr3-131156512-43
NR1458--MA0690.1.TBX21	chr4	107092468	107092477	-	0.000	0.000	Merged-chr4-107092472-5
NR630--MA0690.1.TBX21	chr13	115168474	115168483	-	0.000	0.000	Merged-chr13-115168418-11
NR263--MA0690.1.TBX21	chr10	88540315	88540324	-	0.000	0.000	Merged-chr10-88540211-41
NR1219--MA0690.1.TBX21	chr2	146498546	146498555	-	0.000	0.000	Merged-chr2-146498425-8
NR372--MA0690.1.TBX21	chr11	83541052	83541061	+	0.000	0.000	Merged-chr11-83541106-19
NR89--MA0690.1.TBX21	chr1	144076926	144076935	+	0.000	0.000	Merged-chr1-144076867-17
NR404--MA0690.1.TBX21	chr11	104629747	104629756	+	0.000	0.000	Merged-chr11-104629776-1
NR2082--MA0690.1.TBX21	chr9	96896927	96896936	+	0.000	0.000	Merged-chr9-96896917-17
NR351--MA0690.1.TBX21	chr11	62762017	62762026	-	0.000	0.000	Merged-chr11-62762057-29
NR1307--MA0690.1.TBX21	chr3	94375491	94375500	+	0.000	0.000	Merged-chr3-94375656-27
NR2114--MA0690.1.TBX21	chr9	118374902	118374911	+	0.000	0.000	Merged-chr9-118374902-24
NR1397--MA0690.1.TBX21	chr4	7751432	7751441	+	0.000	0.000	Merged-chr4-7751417-13
NR364--MA0690.1.TBX21	chr11	77111346	77111355	+	0.000	0.000	Merged-chr11-77111422-5
NR906--MA0690.1.TBX21	chr17	45703392	45703401	+	0.000	0.000	Merged-chr17-45703436-19
NR1049--MA0690.1.TBX21	chr19	42149693	42149702	+	0.000	0.000	Merged-chr19-42149753-11
NR2061--MA0690.1.TBX21	chr9	78593264	78593273	+	0.000	0.000	Merged-chr9-78593326-11
NR1158--MA0690.1.TBX21	chr2	84384010	84384019	+	0.000	0.000	Merged-chr2-84383994-11
NR1429--MA0690.1.TBX21	chr4	62630075	62630084	-	0.000	0.000	Merged-chr4-62630130-56
NR1015--MA0690.1.TBX21	chr18	89233851	89233860	+	0.000	0.000	Merged-chr18-89233824-45
NR247--MA0690.1.TBX21	chr10	77022881	77022890	-	0.000	0.000	Merged-chr10-77022945-12
NR26--MA0690.1.TBX21	chr1	54660903	54660912	-	0.000	0.000	Merged-chr1-54660876-41
NR290--MA0690.1.TBX21	chr10	119031129	119031138	-	0.000	0.000	Merged-chr10-119031155-35
NR117--MA0690.1.TBX21	chr1	164079467	164079476	-	0.000	0.000	Merged-chr1-164079439-12
NR39--MA0690.1.TBX21	chr1	74570562	74570571	-	0.000	0.000	Merged-chr1-74570528-25
NR574--MA0690.1.TBX21	chr13	76304086	76304095	+	0.000	0.000	Merged-chr13-76304055-1
NR1831--MA0690.1.TBX21	chr7	78763235	78763244	-	0.000	0.000	Merged-chr7-78763113-9
NR606--MA0690.1.TBX21	chr13	101533205	101533214	+	0.000	0.000	Merged-chr13-101533206-46
NR444--MA0690.1.TBX21	chr12	25043340	25043349	-	0.000	0.000	Merged-chr12-25043320-9
NR553--MA0690.1.TBX21	chr13	52910434	52910443	+	0.000	0.000	Merged-chr13-52910365-17
NR391--MA0690.1.TBX21	chr11	99131611	99131620	-	0.000	0.000	Merged-chr11-99131567-85
NR199--MA0690.1.TBX21	chr10	19566028	19566037	-	0.000	0.000	Merged-chr10-19566068-15
NR2120--MA0690.1.TBX21	chr9	122233426	122233435	+	0.000	0.000	Merged-chr9-122233247-97
NR261--MA0690.1.TBX21	chr10	88428304	88428313	+	0.000	0.000	Merged-chr10-88428108-41
NR327--MA0690.1.TBX21	chr11	32562199	32562208	+	0.000	0.000	Merged-chr11-32562092-2
NR1661--MA0690.1.TBX21	chr6	8427608	8427617	+	0.000	0.000	Merged-chr6-8427752-11
NR274--MA0690.1.TBX21	chr10	96115362	96115371	-	0.000	0.000	Merged-chr10-96115346-13
NR383--MA0690.1.TBX21	chr11	95000797	95000806	-	0.000	0.000	Merged-chr11-95001009-42
NR306--MA0690.1.TBX21	chr10	127141095	127141104	-	0.000	0.000	Merged-chr10-127141144-2
NR287--MA0690.1.TBX21	chr10	117969955	117969964	+	0.000	0.000	Merged-chr10-117970017-9
NR558--MA0690.1.TBX21	chr13	55513583	55513592	+	0.000	0.000	Merged-chr13-55513377-73
NR1510--MA0690.1.TBX21	chr4	152446672	152446681	+	0.000	0.000	Merged-chr4-152446445-57
NR428--MA0690.1.TBX21	chr12	4065757	4065766	-	0.000	0.000	Merged-chr12-4065716-30
NR1762--MA0690.1.TBX21	chr6	129406197	129406206	-	0.000	0.000	Merged-chr6-129406250-15
NR123--MA0690.1.TBX21	chr1	165722650	165722659	+	0.000	0.000	Merged-chr1-165722797-48
NR2138--MA0690.1.TBX21	chrX	100476554	100476563	+	0.000	0.000	Merged-chrX-100476611-55
NR1741--MA0690.1.TBX21	chr6	114679326	114679335	+	0.000	0.000	Merged-chr6-114679499-19
NR659--MA0690.1.TBX21	chr14	54183295	54183304	+	0.000	0.000	Merged-chr14-54183191-18
NR1916--MA0690.1.TBX21	chr7	143644106	143644115	+	0.000	0.000	Merged-chr7-143644190-29
NR2085--MA0690.1.TBX21	chr9	99560742	99560751	-	0.000	0.000	Merged-chr9-99560579-23
NR497--MA0690.1.TBX21	chr12	114299879	114299888	-	0.000	0.000	Merged-chr12-114300093-52
NR768--MA0690.1.TBX21	chr15	76795485	76795494	-	0.000	0.000	Merged-chr15-76795426-7
NR1483--MA0690.1.TBX21	chr4	133906959	133906968	-	0.000	0.000	Merged-chr4-133907199-7
NR1340--MA0690.1.TBX21	chr3	127892093	127892102	+	0.000	0.000	Merged-chr3-127892051-37
NR638--MA0690.1.TBX21	chr14	25161887	25161896	-	0.000	0.000	Merged-chr14-25161984-35
NR1210--MA0690.1.TBX21	chr2	144483013	144483022	-	0.000	0.000	Merged-chr2-144483002-9
NR468--MA0690.1.TBX21	chr12	75727420	75727429	+	0.000	0.000	Merged-chr12-75727609-33
NR1202--MA0690.1.TBX21	chr2	128156861	128156870	-	0.000	0.000	Merged-chr2-128156895-3
NR1834--MA0690.1.TBX21	chr7	81929171	81929180	+	0.000	0.000	Merged-chr7-81929164-20
NR1672--MA0690.1.TBX21	chr6	38120867	38120876	+	0.000	0.000	Merged-chr6-38120881-30
NR1738--MA0690.1.TBX21	chr6	108780325	108780334	+	0.000	0.000	Merged-chr6-108780216-16
NR1053--MA0690.1.TBX21	chr19	46617584	46617593	+	0.000	0.000	Merged-chr19-46617524-23
NR891--MA0690.1.TBX21	chr17	29606608	29606617	+	0.000	0.000	Merged-chr17-29606605-11
NR2048--MA0690.1.TBX21	chr9	69065838	69065847	-	0.000	0.000	Merged-chr9-69066025-13
NR2014--MA0690.1.TBX21	chr9	5623627	5623636	-	0.000	0.000	Merged-chr9-5623590-21
NR1760--MA0690.1.TBX21	chr6	128474307	128474316	+	0.000	0.000	Merged-chr6-128474299-11
NR1141--MA0690.1.TBX21	chr2	69917455	69917464	+	0.000	0.000	Merged-chr2-69917342-25
NR902--MA0690.1.TBX21	chr17	35392590	35392599	-	0.000	0.000	Merged-chr17-35392677-25
NR1630--MA0690.1.TBX21	chr5	136919213	136919222	+	0.000	0.000	Merged-chr5-136919080-62
NR610--MA0690.1.TBX21	chr13	107534126	107534135	-	0.000	0.000	Merged-chr13-107534013-23
NR1547--MA0690.1.TBX21	chr5	64477759	64477768	-	0.000	0.000	Merged-chr5-64477846-11
NR1404--MA0690.1.TBX21	chr4	21842805	21842814	-	0.000	0.000	Merged-chr4-21842691-16
NR2096--MA0690.1.TBX21	chr9	106771539	106771548	-	0.000	0.000	Merged-chr9-106771707-15
NR2019--MA0690.1.TBX21	chr9	40449054	40449063	+	0.000	0.000	Merged-chr9-40448994-23
NR1494--MA0690.1.TBX21	chr4	145264492	145264501	+	0.000	0.000	Merged-chr4-145264291-60
NR1093--MA0690.1.TBX21	chr2	27730172	27730181	+	0.000	0.000	Merged-chr2-27730230-3
NR1016--MA0690.1.TBX21	chr18	89233891	89233900	-	0.000	0.000	Merged-chr18-89233824-45
NR1473--MA0690.1.TBX21	chr4	129571820	129571829	+	0.000	0.000	Merged-chr4-129571823-22
NR1996--MA0690.1.TBX21	chr8	120716738	120716747	+	0.000	0.000	Merged-chr8-120716591-36
NR1582--MA0690.1.TBX21	chr5	96171960	96171969	-	0.000	0.000	Merged-chr5-96171884-25
NR14--MA0690.1.TBX21	chr1	37478579	37478588	+	0.000	0.000	Merged-chr1-37478552-128
NR1452--MA0690.1.TBX21	chr4	102518197	102518206	-	0.000	0.000	Merged-chr4-102518116-29
NR703--MA0690.1.TBX21	chr14	120520150	120520159	-	0.000	0.000	Merged-chr14-120520145-25
NR684--MA0690.1.TBX21	chr14	78749304	78749313	+	0.000	0.000	Merged-chr14-78749515-13
NR955--MA0690.1.TBX21	chr18	24056740	24056749	+	0.000	0.000	Merged-chr18-24056645-8
NR1098--MA0690.1.TBX21	chr2	32166597	32166606	+	0.000	0.000	Merged-chr2-32166737-9
NR270--MA0690.1.TBX21	chr10	93985524	93985533	-	0.000	0.000	Merged-chr10-93985650-27
NR1160--MA0690.1.TBX21	chr2	84958027	84958036	-	0.000	0.000	Merged-chr2-84957968-5
NR1749--MA0690.1.TBX21	chr6	122294101	122294110	+	0.000	0.000	Merged-chr6-122294065-56
NR716--MA0690.1.TBX21	chr15	12439467	12439476	+	0.000	0.000	Merged-chr15-12439548-12
NR1606--MA0690.1.TBX21	chr5	115313773	115313782	+	0.000	0.000	Merged-chr5-115313738-19
NR1173--MA0690.1.TBX21	chr2	102812925	102812934	-	0.000	0.000	Merged-chr2-102812992-26
NR1715--MA0690.1.TBX21	chr6	72660174	72660183	+	0.000	0.000	Merged-chr6-72660096-30
NR140--MA0690.1.TBX21	chr1	177457133	177457142	-	0.000	0.000	Merged-chr1-177456987-38
NR1077--MA0690.1.TBX21	chr2	6309730	6309739	+	0.000	0.000	Merged-chr2-6309619-42
NR1457--MA0690.1.TBX21	chr4	107010405	107010414	-	0.000	0.000	Merged-chr4-107010336-9
NR424--MA0690.1.TBX21	chr11	119166039	119166048	+	0.000	0.000	Merged-chr11-119166198-51
NR75--MA0690.1.TBX21	chr1	131747196	131747205	-	0.000	0.000	Merged-chr1-131747235-22
NR804--MA0690.1.TBX21	chr16	8472120	8472129	-	0.000	0.000	Merged-chr16-8472129-3
NR1199--MA0690.1.TBX21	chr2	127304842	127304851	-	0.000	0.000	Merged-chr2-127304764-20
NR41--MA0690.1.TBX21	chr1	78478125	78478134	-	0.000	0.000	Merged-chr1-78478073-15
NR913--MA0690.1.TBX21	chr17	48332687	48332696	-	0.000	0.000	Merged-chr17-48332786-43
NR1056--MA0690.1.TBX21	chr19	53035493	53035502	+	0.000	0.000	Merged-chr19-53035588-13
NR1959--MA0690.1.TBX21	chr8	71286280	71286289	+	0.000	0.000	Merged-chr8-71286337-41
NR655--MA0690.1.TBX21	chr14	49174016	49174025	+	0.000	0.000	Merged-chr14-49173940-25
NR1274--MA0690.1.TBX21	chr3	28244397	28244406	-	0.000	0.000	Merged-chr3-28244555-21
NR493--MA0690.1.TBX21	chr12	111599145	111599154	+	0.000	0.000	Merged-chr12-111599080-10
NR1449--MA0690.1.TBX21	chr4	101192564	101192573	-	0.000	0.000	Merged-chr4-101192584-17
NR621--MA0690.1.TBX21	chr13	112211243	112211252	-	0.000	0.000	Merged-chr13-112211274-7
NR1035--MA0690.1.TBX21	chr19	12805931	12805940	-	0.000	0.000	Merged-chr19-12806193-62
NR1415--MA0690.1.TBX21	chr4	43172637	43172646	+	0.000	0.000	Merged-chr4-43172681-14
NR33--MA0690.1.TBX21	chr1	60875405	60875414	+	0.000	0.000	Merged-chr1-60875356-55
NR905--MA0690.1.TBX21	chr17	44557301	44557310	+	0.000	0.000	Merged-chr17-44557338-45
NR220--MA0690.1.TBX21	chr10	39815304	39815313	+	0.000	0.000	Merged-chr10-39815281-4
NR1014--MA0690.1.TBX21	chr18	89126543	89126552	+	0.000	0.000	Merged-chr18-89126622-17
NR376--MA0690.1.TBX21	chr11	87935547	87935556	+	0.000	0.000	Merged-chr11-87935646-41
NR918--MA0690.1.TBX21	chr17	56958123	56958132	-	0.000	0.000	Merged-chr17-56958229-22
NR756--MA0690.1.TBX21	chr15	62390383	62390392	+	0.000	0.000	Merged-chr15-62390498-8
NR342--MA0690.1.TBX21	chr11	54240273	54240282	+	0.000	0.000	Merged-chr11-54240142-13
NR59--MA0690.1.TBX21	chr1	97646913	97646922	-	0.000	0.000	Merged-chr1-97647073-3
NR594--MA0690.1.TBX21	chr13	95007540	95007549	-	0.000	0.000	Merged-chr13-95007446-38
NR451--MA0690.1.TBX21	chr12	35154403	35154412	+	0.000	0.000	Merged-chr12-35154438-11
NR1136--MA0690.1.TBX21	chr2	66149192	66149201	+	0.000	0.000	Merged-chr2-66149107-69
NR560--MA0690.1.TBX21	chr13	55694542	55694551	-	0.000	0.000	Merged-chr13-55694339-18
NR1245--MA0690.1.TBX21	chr2	168429753	168429762	-	0.000	0.000	Merged-chr2-168429700-17
NR212--MA0690.1.TBX21	chr10	30537678	30537687	-	0.000	0.000	Merged-chr10-30537547-6
NR987--MA0690.1.TBX21	chr18	74789819	74789828	+	0.000	0.000	Merged-chr18-74789604-25
NR844--MA0690.1.TBX21	chr16	58709216	58709225	+	0.000	0.000	Merged-chr16-58709115-34
NR477--MA0690.1.TBX21	chr12	85632521	85632530	+	0.000	0.000	Merged-chr12-85632486-20
NR334--MA0690.1.TBX21	chr11	51638314	51638323	+	0.000	0.000	Merged-chr11-51638186-26
NR1019--MA0690.1.TBX21	chr19	3731320	3731329	-	0.000	0.000	Merged-chr19-3731314-18
NR443--MA0690.1.TBX21	chr12	21476759	21476768	+	0.000	0.000	Merged-chr12-21476619-15
NR300--MA0690.1.TBX21	chr10	122726169	122726178	+	0.000	0.000	Merged-chr10-122726100-19
NR390--MA0690.1.TBX21	chr11	99125275	99125284	+	0.000	0.000	Merged-chr11-99125281-21
NR1075--MA0690.1.TBX21	chr2	4872916	4872925	+	0.000	0.000	Merged-chr2-4872960-25
NR422--MA0690.1.TBX21	chr11	116398136	116398145	-	0.000	0.000	Merged-chr11-116398180-34
NR1107--MA0690.1.TBX21	chr2	36220130	36220139	+	0.000	0.000	Merged-chr2-36220233-13
NR1088--MA0690.1.TBX21	chr2	25148090	25148099	-	0.000	0.000	Merged-chr2-25148103-14
NR706--MA0690.1.TBX21	chr14	122391206	122391215	-	0.000	0.000	Merged-chr14-122391204-14
NR86--MA0690.1.TBX21	chr1	143466066	143466075	+	0.000	0.000	Merged-chr1-143466091-51
NR273--MA0690.1.TBX21	chr10	95910695	95910704	+	0.000	0.000	Merged-chr10-95910701-11
NR99--MA0690.1.TBX21	chr1	153645481	153645490	-	0.000	0.000	Merged-chr1-153645501-10
NR286--MA0690.1.TBX21	chr10	117095489	117095498	-	0.000	0.000	Merged-chr10-117095336-21
NR209--MA0690.1.TBX21	chr10	26228344	26228353	+	0.000	0.000	Merged-chr10-26228346-20
NR2092--MA0690.1.TBX21	chr9	105499677	105499686	-	0.000	0.000	Merged-chr9-105499679-15
NR2015--MA0690.1.TBX21	chr9	14185968	14185977	+	0.000	0.000	Merged-chr9-14185865-8
NR427--MA0690.1.TBX21	chr11	121039438	121039447	-	0.000	0.000	Merged-chr11-121039238-62
NR78--MA0690.1.TBX21	chr1	134111166	134111175	+	0.000	0.000	Merged-chr1-134111105-29
NR231--MA0690.1.TBX21	chr10	45027275	45027284	+	0.000	0.000	Merged-chr10-45027140-22
NR278--MA0690.1.TBX21	chr10	98848455	98848464	-	0.000	0.000	Merged-chr10-98848437-17
NR406--MA0690.1.TBX21	chr11	107394122	107394131	-	0.000	0.000	Merged-chr11-107394036-56
NR1740--MA0690.1.TBX21	chr6	114679268	114679277	+	0.000	0.000	Merged-chr6-114679499-19
NR658--MA0690.1.TBX21	chr14	54061509	54061518	-	0.000	0.000	Merged-chr14-54061633-25
NR1992--MA0690.1.TBX21	chr8	116645515	116645524	+	0.000	0.000	Merged-chr8-116645599-31
NR353--MA0690.1.TBX21	chr11	68502720	68502729	+	0.000	0.000	Merged-chr11-68502596-20
NR148--MA0690.1.TBX21	chr1	180926472	180926481	+	0.000	0.000	Merged-chr1-180926479-29
NR419--MA0690.1.TBX21	chr11	114571305	114571314	-	0.000	0.000	Merged-chr11-114571439-19
NR1610--MA0690.1.TBX21	chr5	120688652	120688661	+	0.000	0.000	Merged-chr5-120688663-27
NR2116--MA0690.1.TBX21	chr9	119101184	119101193	-	0.000	0.000	Merged-chr9-119101086-22
NR1971--MA0690.1.TBX21	chr8	85059970	85059979	-	0.000	0.000	Merged-chr8-85060180-46
NR889--MA0690.1.TBX21	chr17	29193271	29193280	+	0.000	0.000	Merged-chr17-29193494-23
NR1841--MA0690.1.TBX21	chr7	90355559	90355568	+	0.000	0.000	Merged-chr7-90355618-52
NR1950--MA0690.1.TBX21	chr8	57828566	57828575	+	0.000	0.000	Merged-chr8-57828491-18
NR1583--MA0690.1.TBX21	chr5	97001772	97001781	+	0.000	0.000	Merged-chr5-97001719-9
NR629--MA0690.1.TBX21	chr13	115042888	115042897	-	0.000	0.000	Merged-chr13-115042812-10
NR1310--MA0690.1.TBX21	chr3	95909423	95909432	-	0.000	0.000	Merged-chr3-95909537-31
NR228--MA0690.1.TBX21	chr10	44368894	44368903	-	0.000	0.000	Merged-chr10-44368737-26
NR337--MA0690.1.TBX21	chr11	52109669	52109678	+	0.000	0.000	Merged-chr11-52109659-16
NR1671--MA0690.1.TBX21	chr6	35256707	35256716	+	0.000	0.000	Merged-chr6-35256883-21
NR459--MA0690.1.TBX21	chr12	65065320	65065329	-	0.000	0.000	Merged-chr12-65065515-53
NR1716--MA0690.1.TBX21	chr6	83421863	83421872	-	0.000	0.000	Merged-chr6-83421842-37
NR568--MA0690.1.TBX21	chr13	67378345	67378354	+	0.000	0.000	Merged-chr13-67378314-6
NR1411--MA0690.1.TBX21	chr4	33273583	33273592	+	0.000	0.000	Merged-chr4-33273596-7
NR1392--MA0690.1.TBX21	chr3	157803467	157803476	-	0.000	0.000	Merged-chr3-157803404-34
NR1708--MA0690.1.TBX21	chr6	61270486	61270495	-	0.000	0.000	Merged-chr6-61270558-8
NR289--MA0690.1.TBX21	chr10	118435720	118435729	+	0.000	0.000	Merged-chr10-118435600-33
NR970--MA0690.1.TBX21	chr18	54839459	54839468	-	0.000	0.000	Merged-chr18-54839471-21
NR2095--MA0690.1.TBX21	chr9	106430930	106430939	-	0.000	0.000	Merged-chr9-106430870-17
NR1764--MA0690.1.TBX21	chr6	130311915	130311924	+	0.000	0.000	Merged-chr6-130312055-26
NR1668--MA0690.1.TBX21	chr6	34497661	34497670	+	0.000	0.000	Merged-chr6-34497714-15
NR34--MA0690.1.TBX21	chr1	61050470	61050479	+	0.000	0.000	Merged-chr1-61050420-56
NR1092--MA0690.1.TBX21	chr2	26313059	26313068	+	0.000	0.000	Merged-chr2-26313010-11
NR1886--MA0690.1.TBX21	chr7	123397692	123397701	-	0.000	0.000	Merged-chr7-123397563-15
NR710--MA0690.1.TBX21	chr15	5762407	5762416	+	0.000	0.000	Merged-chr15-5762586-40
NR1581--MA0690.1.TBX21	chr5	96171876	96171885	-	0.000	0.000	Merged-chr5-96171884-25
NR1852--MA0690.1.TBX21	chr7	97625734	97625743	-	0.000	0.000	Merged-chr7-97625910-13
NR1504--MA0690.1.TBX21	chr4	149871741	149871750	+	0.000	0.000	Merged-chr4-149871771-25
