#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval0.3-log2fc0.5_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval0.3-log2fc0.5_dn.bed
NR1395--MA1421.1.TCF7L1	chr12	41168055	41168066	+	0.000	0.000	Merged-chr12-41167989-46
NR2373--MA0769.1.Tcf7	chr15	53115572	53115583	+	0.000	0.000	Merged-chr15-53115661-46
NR4647--MA0769.1.Tcf7	chr4	63655217	63655228	+	0.000	0.000	Merged-chr4-63655103-11
NR5542--MA0523.1.TCF7L2	chr6	70862830	70862843	-	0.000	0.000	Merged-chr6-70862834-28
NR4691--MA0523.1.TCF7L2	chr4	86725321	86725334	+	0.000	0.000	Merged-chr4-86725378-12
NR5566--MA1421.1.TCF7L1	chr6	85075138	85075149	+	0.000	0.000	Merged-chr6-85075148-16
NR714--MA0769.1.Tcf7	chr10	56369032	56369043	-	0.000	0.000	Merged-chr10-56369223-33
NR2519--MA0523.1.TCF7L2	chr15	91616723	91616736	-	0.000	0.000	Merged-chr15-91616695-12
NR4898--MA0769.1.Tcf7	chr4	144986271	144986282	+	0.000	0.000	Merged-chr4-144986370-39
NR416--MA0523.1.TCF7L2	chr1	164072256	164072269	+	0.000	0.000	Merged-chr1-164072258-30
NR3150--MA0769.1.Tcf7	chr18	55146656	55146667	+	0.000	0.000	Merged-chr18-55146782-23
NR5406--MA0769.1.Tcf7	chr6	15783259	15783270	+	0.000	0.000	Merged-chr6-15783250-24
NR5936--MA1421.1.TCF7L1	chr7	49494894	49494905	+	0.000	0.000	Merged-chr7-49494921-17
NR6332--MA0523.1.TCF7L2	chr8	36010599	36010612	+	0.000	0.000	Merged-chr8-36010714-39
NR4072--MA0523.1.TCF7L2	chr3	14869883	14869896	-	0.000	0.000	Merged-chr3-14869878-60
NR5481--MA0523.1.TCF7L2	chr6	53778868	53778881	-	0.000	0.000	Merged-chr6-53778855-8
NR2048--MA1421.1.TCF7L1	chr14	21078678	21078689	-	0.000	0.000	Merged-chr14-21078723-20
NR26--MA0769.1.Tcf7	chr1	30793120	30793131	+	0.000	0.000	Merged-chr1-30793129-16
NR1040--MA0523.1.TCF7L2	chr11	30168263	30168276	-	0.000	0.000	Merged-chr11-30168139-12
NR671--MA1421.1.TCF7L1	chr10	39768375	39768386	-	0.000	0.000	Merged-chr10-39768344-17
NR3648--MA0523.1.TCF7L2	chr2	70922774	70922787	+	0.000	0.000	Merged-chr2-70922738-17
NR3444--MA1421.1.TCF7L1	chr2	6622259	6622270	-	0.000	0.000	Merged-chr2-6622331-33
NR3191--MA0769.1.Tcf7	chr18	69548098	69548109	-	0.000	0.000	Merged-chr18-69547959-32
NR3612--MA0769.1.Tcf7	chr2	61494272	61494283	-	0.000	0.000	Merged-chr2-61494309-57
NR1895--MA0523.1.TCF7L2	chr13	94144621	94144634	+	0.000	0.000	Merged-chr13-94144726-31
NR2182--MA0523.1.TCF7L2	chr14	71075870	71075883	+	0.000	0.000	Merged-chr14-71075875-24
NR2374--MA1421.1.TCF7L1	chr15	53688644	53688655	-	0.000	0.000	Merged-chr15-53688797-27
NR2200--MA0769.1.Tcf7	chr14	75444803	75444814	+	0.000	0.000	Merged-chr14-75444835-23
NR3608--MA0769.1.Tcf7	chr2	59969284	59969295	-	0.000	0.000	Merged-chr2-59969233-23
NR6318--MA0769.1.Tcf7	chr8	33548680	33548691	+	0.000	0.000	Merged-chr8-33548647-24
NR6391--MA0523.1.TCF7L2	chr8	70160264	70160277	-	0.000	0.000	Merged-chr8-70160118-32
NR4606--MA0523.1.TCF7L2	chr4	44316390	44316403	-	0.000	0.000	Merged-chr4-44316514-33
NR119--MA0523.1.TCF7L2	chr1	71069090	71069103	-	0.000	0.000	Merged-chr1-71069065-19
NR3633--MA1421.1.TCF7L1	chr2	68884946	68884957	-	0.000	0.000	Merged-chr2-68884857-23
NR216--MA1421.1.TCF7L1	chr1	94025609	94025620	+	0.000	0.000	Merged-chr1-94025615-17
NR3089--MA0769.1.Tcf7	chr18	33781014	33781025	+	0.000	0.000	Merged-chr18-33781041-12
NR6121--MA0523.1.TCF7L2	chr7	112400405	112400418	-	0.000	0.000	Merged-chr7-112400264-32
NR3246--MA1421.1.TCF7L1	chr18	81521369	81521380	-	0.000	0.000	Merged-chr18-81521430-36
NR5110--MA1421.1.TCF7L1	chr5	73344295	73344306	-	0.000	0.000	Merged-chr5-73344482-20
NR6227--MA1421.1.TCF7L1	chr7	135537683	135537694	+	0.000	0.000	Merged-chr7-135537742-71
NR3620--MA1421.1.TCF7L1	chr2	65871125	65871136	-	0.000	0.000	Merged-chr2-65871141-19
NR1360--MA1421.1.TCF7L1	chr12	25601141	25601152	-	0.000	0.000	Merged-chr12-25601123-16
NR637--MA1421.1.TCF7L1	chr10	24111229	24111240	-	0.000	0.000	Merged-chr10-24111264-14
NR5978--MA1421.1.TCF7L1	chr7	67353756	67353767	-	0.000	0.000	Merged-chr7-67353683-35
NR1393--MA0769.1.Tcf7	chr12	41167989	41168000	-	0.000	0.000	Merged-chr12-41167989-46
NR6976--MA0523.1.TCF7L2	chrX	71464351	71464364	-	0.000	0.000	Merged-chrX-71464449-26
NR5266--MA0523.1.TCF7L2	chr5	118614716	118614729	+	0.000	0.000	Merged-chr5-118614593-18
NR2491--MA0523.1.TCF7L2	chr15	80602678	80602691	-	0.000	0.000	Merged-chr15-80602759-36
NR5059--MA0769.1.Tcf7	chr5	45790462	45790473	-	0.000	0.000	Merged-chr5-45790409-20
NR376--MA0769.1.Tcf7	chr1	156522375	156522386	+	0.000	0.000	Merged-chr1-156522298-40
NR1259--MA0523.1.TCF7L2	chr11	108921229	108921242	-	0.000	0.000	Merged-chr11-108921185-1
NR3457--MA0769.1.Tcf7	chr2	9677262	9677273	+	0.000	0.000	Merged-chr2-9677324-22
NR142--MA1421.1.TCF7L1	chr1	80321411	80321422	+	0.000	0.000	Merged-chr1-80321528-19
NR4332--MA0769.1.Tcf7	chr3	126589727	126589738	+	0.000	0.000	Merged-chr3-126589665-27
NR4183--MA0523.1.TCF7L2	chr3	84595448	84595461	-	0.000	0.000	Merged-chr3-84595329-34
NR5240--MA0523.1.TCF7L2	chr5	111531972	111531985	-	0.000	0.000	Merged-chr5-111531814-27
NR2905--MA0523.1.TCF7L2	chr17	35708042	35708055	-	0.000	0.000	Merged-chr17-35708124-19
NR2712--MA0769.1.Tcf7	chr16	51719825	51719836	+	0.000	0.000	Merged-chr16-51719841-20
NR76--MA0523.1.TCF7L2	chr1	58734461	58734474	-	0.000	0.000	Merged-chr1-58734414-54
NR6549--MA1421.1.TCF7L1	chr8	126839489	126839500	-	0.000	0.000	Merged-chr8-126839529-33
NR4289--MA1421.1.TCF7L1	chr3	109421018	109421029	+	0.000	0.000	Merged-chr3-109421125-43
NR1330--MA1421.1.TCF7L1	chr11	121100824	121100835	+	0.000	0.000	Merged-chr11-121100966-23
NR5880--MA0523.1.TCF7L2	chr7	19202621	19202634	-	0.000	0.000	Merged-chr7-19202544-28
NR6755--MA1421.1.TCF7L1	chr9	83564263	83564274	-	0.000	0.000	Merged-chr9-83564254-44
NR2049--MA0523.1.TCF7L2	chr14	21078676	21078689	-	0.000	0.000	Merged-chr14-21078723-20
NR4122--MA0769.1.Tcf7	chr3	55660081	55660092	+	0.000	0.000	Merged-chr3-55660012-44
NR4816--MA0523.1.TCF7L2	chr4	117153892	117153905	-	0.000	0.000	Merged-chr4-117153955-7
NR1339--MA1421.1.TCF7L1	chr12	3781481	3781492	-	0.000	0.000	Merged-chr12-3781537-41
NR1014--MA0523.1.TCF7L2	chr11	11498084	11498097	-	0.000	0.000	Merged-chr11-11498094-24
NR6344--MA0523.1.TCF7L2	chr8	41334201	41334214	+	0.000	0.000	Merged-chr8-41334366-24
NR4592--MA0769.1.Tcf7	chr4	34551490	34551501	+	0.000	0.000	Merged-chr4-34551500-9
NR2461--MA0523.1.TCF7L2	chr15	72929018	72929031	+	0.000	0.000	Merged-chr15-72929064-48
NR2293--MA0523.1.TCF7L2	chr14	122902341	122902354	-	0.000	0.000	Merged-chr14-122902262-49
NR2505--MA0523.1.TCF7L2	chr15	85042790	85042803	-	0.000	0.000	Merged-chr15-85042702-72
NR641--MA0769.1.Tcf7	chr10	24111238	24111249	-	0.000	0.000	Merged-chr10-24111264-14
NR2711--MA0523.1.TCF7L2	chr16	51719825	51719838	+	0.000	0.000	Merged-chr16-51719841-20
NR2735--MA1421.1.TCF7L1	chr16	58553514	58553525	+	0.000	0.000	Merged-chr16-58553585-23
NR628--MA0769.1.Tcf7	chr10	19692016	19692027	+	0.000	0.000	Merged-chr10-19692123-35
NR6508--MA0523.1.TCF7L2	chr8	120977380	120977393	-	0.000	0.000	Merged-chr8-120977346-26
NR2856--MA0769.1.Tcf7	chr17	21433939	21433950	+	0.000	0.000	Merged-chr17-21433933-15
NR646--MA0769.1.Tcf7	chr10	25387446	25387457	-	0.000	0.000	Merged-chr10-25387454-21
NR1332--MA0769.1.Tcf7	chr11	121100824	121100835	+	0.000	0.000	Merged-chr11-121100966-23
NR1446--MA1421.1.TCF7L1	chr12	73711060	73711071	-	0.000	0.000	Merged-chr12-73710968-44
NR3576--MA1421.1.TCF7L1	chr2	56028488	56028499	+	0.000	0.000	Merged-chr2-56028640-17
NR6428--MA0769.1.Tcf7	chr8	81735844	81735855	-	0.000	0.000	Merged-chr8-81736050-71
NR693--MA0523.1.TCF7L2	chr10	43783356	43783369	+	0.000	0.000	Merged-chr10-43783399-14
NR2646--MA0769.1.Tcf7	chr16	29800549	29800560	-	0.000	0.000	Merged-chr16-29800573-21
NR673--MA0769.1.Tcf7	chr10	39768386	39768397	+	0.000	0.000	Merged-chr10-39768344-17
NR1469--MA0523.1.TCF7L2	chr12	76950368	76950381	+	0.000	0.000	Merged-chr12-76950525-26
NR4899--MA1421.1.TCF7L1	chr4	145200437	145200448	-	0.000	0.000	Merged-chr4-145200481-37
NR4149--MA0523.1.TCF7L2	chr3	65793914	65793927	-	0.000	0.000	Merged-chr3-65793747-53
NR2776--MA0769.1.Tcf7	chr16	87726093	87726104	-	0.000	0.000	Merged-chr16-87726198-44
NR5091--MA1421.1.TCF7L1	chr5	65322157	65322168	-	0.000	0.000	Merged-chr5-65322314-18
NR5808--MA0523.1.TCF7L2	chr6	144922982	144922995	-	0.000	0.000	Merged-chr6-144923057-24
NR3960--MA0523.1.TCF7L2	chr2	157746769	157746782	+	0.000	0.000	Merged-chr2-157746803-36
NR6759--MA1421.1.TCF7L1	chr9	85011576	85011587	+	0.000	0.000	Merged-chr9-85011578-31
NR1467--MA1421.1.TCF7L1	chr12	76950368	76950379	+	0.000	0.000	Merged-chr12-76950525-26
NR1369--MA0769.1.Tcf7	chr12	33076323	33076334	+	0.000	0.000	Merged-chr12-33076409-32
NR3148--MA0523.1.TCF7L2	chr18	55107224	55107237	-	0.000	0.000	Merged-chr18-55107186-34
NR4557--MA0523.1.TCF7L2	chr4	6941293	6941306	-	0.000	0.000	Merged-chr4-6941109-33
NR5871--MA0523.1.TCF7L2	chr7	16343815	16343828	+	0.000	0.000	Merged-chr7-16343810-22
NR5836--MA0769.1.Tcf7	chr6	146960265	146960276	-	0.000	0.000	Merged-chr6-146960171-26
NR2695--MA1421.1.TCF7L1	chr16	45261521	45261532	+	0.000	0.000	Merged-chr16-45261551-46
NR7069--MA0523.1.TCF7L2	chrX	166805811	166805824	-	0.000	0.000	Merged-chrX-166805944-25
NR6035--MA0769.1.Tcf7	chr7	84143206	84143217	-	0.000	0.000	Merged-chr7-84143230-35
NR6034--MA0523.1.TCF7L2	chr7	84143204	84143217	-	0.000	0.000	Merged-chr7-84143230-35
NR3446--MA0769.1.Tcf7	chr2	6622259	6622270	-	0.000	0.000	Merged-chr2-6622331-33
NR1396--MA0769.1.Tcf7	chr12	41168055	41168066	+	0.000	0.000	Merged-chr12-41167989-46
NR2589--MA0769.1.Tcf7	chr16	4752303	4752314	-	0.000	0.000	Merged-chr16-4752313-9
NR4119--MA0523.1.TCF7L2	chr3	55660069	55660082	+	0.000	0.000	Merged-chr3-55660012-44
NR3533--MA1421.1.TCF7L1	chr2	35445582	35445593	+	0.000	0.000	Merged-chr2-35445506-29
NR1778--MA0523.1.TCF7L2	chr13	51712203	51712216	-	0.000	0.000	Merged-chr13-51712212-27
NR2764--MA1421.1.TCF7L1	chr16	78595989	78596000	-	0.000	0.000	Merged-chr16-78595924-17
NR4363--MA0523.1.TCF7L2	chr3	132791406	132791419	-	0.000	0.000	Merged-chr3-132791387-40
NR5179--MA0523.1.TCF7L2	chr5	97090319	97090332	+	0.000	0.000	Merged-chr5-97090318-20
NR4312--MA0523.1.TCF7L2	chr3	121330401	121330414	-	0.000	0.000	Merged-chr3-121330261-59
NR2052--MA0523.1.TCF7L2	chr14	21507258	21507271	-	0.000	0.000	Merged-chr14-21507188-15
NR4350--MA0523.1.TCF7L2	chr3	129545474	129545487	-	0.000	0.000	Merged-chr3-129545403-15
NR5057--MA1421.1.TCF7L1	chr5	45790462	45790473	-	0.000	0.000	Merged-chr5-45790409-20
NR1378--MA0523.1.TCF7L2	chr12	35999207	35999220	+	0.000	0.000	Merged-chr12-35999221-22
NR2294--MA0769.1.Tcf7	chr14	122902343	122902354	-	0.000	0.000	Merged-chr14-122902262-49
NR2603--MA0523.1.TCF7L2	chr16	11577785	11577798	-	0.000	0.000	Merged-chr16-11577786-44
NR5792--MA0769.1.Tcf7	chr6	143115267	143115278	-	0.000	0.000	Merged-chr6-143115192-122
NR6761--MA0769.1.Tcf7	chr9	85011576	85011587	+	0.000	0.000	Merged-chr9-85011578-31
NR863--MA0769.1.Tcf7	chr10	96201432	96201443	+	0.000	0.000	Merged-chr10-96201472-66
NR6960--MA1421.1.TCF7L1	chrX	37141905	37141916	-	0.000	0.000	Merged-chrX-37141960-22
NR2254--MA0523.1.TCF7L2	chr14	104517112	104517125	+	0.000	0.000	Merged-chr14-104517244-7
NR695--MA1421.1.TCF7L1	chr10	43919143	43919154	-	0.000	0.000	Merged-chr10-43919152-21
NR4125--MA0769.1.Tcf7	chr3	58552641	58552652	+	0.000	0.000	Merged-chr3-58552438-57
NR993--MA0769.1.Tcf7	chr10	128940664	128940675	-	0.000	0.000	Merged-chr10-128940717-41
NR86--MA1421.1.TCF7L1	chr1	61046451	61046462	-	0.000	0.000	Merged-chr1-61046287-60
NR4501--MA0523.1.TCF7L2	chr3	152127434	152127447	+	0.000	0.000	Merged-chr3-152127515-20
NR765--MA0769.1.Tcf7	chr10	75417904	75417915	-	0.000	0.000	Merged-chr10-75417748-37
NR667--MA0523.1.TCF7L2	chr10	37207193	37207206	+	0.000	0.000	Merged-chr10-37207171-14
NR6463--MA0523.1.TCF7L2	chr8	111582597	111582610	+	0.000	0.000	Merged-chr8-111582684-27
NR5780--MA0523.1.TCF7L2	chr6	140684324	140684337	+	0.000	0.000	Merged-chr6-140684445-39
NR2721--MA1421.1.TCF7L1	chr16	55745356	55745367	+	0.000	0.000	Merged-chr16-55745275-12
NR4291--MA0769.1.Tcf7	chr3	109421018	109421029	+	0.000	0.000	Merged-chr3-109421125-43
NR4927--MA0769.1.Tcf7	chr4	149282666	149282677	-	0.000	0.000	Merged-chr4-149282639-35
NR2854--MA1421.1.TCF7L1	chr17	21433939	21433950	+	0.000	0.000	Merged-chr17-21433933-15
NR4166--MA0769.1.Tcf7	chr3	79273271	79273282	+	0.000	0.000	Merged-chr3-79273035-30
NR6377--MA0523.1.TCF7L2	chr8	64726424	64726437	-	0.000	0.000	Merged-chr8-64726365-32
NR4329--MA0523.1.TCF7L2	chr3	126589697	126589710	+	0.000	0.000	Merged-chr3-126589665-27
NR3646--MA0523.1.TCF7L2	chr2	70922738	70922751	+	0.000	0.000	Merged-chr2-70922738-17
NR3094--MA0769.1.Tcf7	chr18	35776812	35776823	-	0.000	0.000	Merged-chr18-35776738-19
NR77--MA0769.1.Tcf7	chr1	58734463	58734474	-	0.000	0.000	Merged-chr1-58734414-54
NR1828--MA1421.1.TCF7L1	chr13	69488208	69488219	-	0.000	0.000	Merged-chr13-69488029-32
NR5941--MA0769.1.Tcf7	chr7	49581702	49581713	-	0.000	0.000	Merged-chr7-49581640-7
NR5389--MA0523.1.TCF7L2	chr6	5997770	5997783	-	0.000	0.000	Merged-chr6-5997718-16
NR5185--MA1421.1.TCF7L1	chr5	98018288	98018299	+	0.000	0.000	Merged-chr5-98018284-53
NR3137--MA1421.1.TCF7L1	chr18	53951320	53951331	-	0.000	0.000	Merged-chr18-53951279-47
NR2704--MA1421.1.TCF7L1	chr16	48745642	48745653	-	0.000	0.000	Merged-chr16-48745701-29
NR2211--MA0523.1.TCF7L2	chr14	78474312	78474325	+	0.000	0.000	Merged-chr14-78474159-29
NR6280--MA1421.1.TCF7L1	chr7	144907996	144908007	+	0.000	0.000	Merged-chr7-144908072-14
NR2813--MA0523.1.TCF7L2	chr16	95820200	95820213	-	0.000	0.000	Merged-chr16-95820235-13
NR2645--MA0523.1.TCF7L2	chr16	29800547	29800560	-	0.000	0.000	Merged-chr16-29800573-21
NR6145--MA0769.1.Tcf7	chr7	116557589	116557600	-	0.000	0.000	Merged-chr7-116557657-1
NR3233--MA0523.1.TCF7L2	chr18	79297906	79297919	+	0.000	0.000	Merged-chr18-79298014-36
NR2778--MA0523.1.TCF7L2	chr16	89816957	89816970	+	0.000	0.000	Merged-chr16-89817047-30
NR144--MA0769.1.Tcf7	chr1	80321411	80321422	+	0.000	0.000	Merged-chr1-80321528-19
NR2765--MA0523.1.TCF7L2	chr16	78595987	78596000	-	0.000	0.000	Merged-chr16-78595924-17
NR5144--MA0523.1.TCF7L2	chr5	92103274	92103287	-	0.000	0.000	Merged-chr5-92103243-24
NR662--MA0523.1.TCF7L2	chr10	33986850	33986863	+	0.000	0.000	Merged-chr10-33986962-32
NR4242--MA0523.1.TCF7L2	chr3	100582785	100582798	-	0.000	0.000	Merged-chr3-100582913-18
NR610--MA0769.1.Tcf7	chr10	12974821	12974832	+	0.000	0.000	Merged-chr10-12974738-28
NR3140--MA0769.1.Tcf7	chr18	53951320	53951331	-	0.000	0.000	Merged-chr18-53951279-47
NR6540--MA0523.1.TCF7L2	chr8	126539840	126539853	-	0.000	0.000	Merged-chr8-126539798-23
NR6965--MA0769.1.Tcf7	chrX	41400781	41400792	-	0.000	0.000	Merged-chrX-41400640-20
NR6427--MA1421.1.TCF7L1	chr8	81735844	81735855	-	0.000	0.000	Merged-chr8-81736050-71
NR6961--MA0523.1.TCF7L2	chrX	37141903	37141916	-	0.000	0.000	Merged-chrX-37141960-22
NR718--MA0769.1.Tcf7	chr10	58351891	58351902	+	0.000	0.000	Merged-chr10-58351765-21
NR839--MA0769.1.Tcf7	chr10	90967039	90967050	+	0.000	0.000	Merged-chr10-90966965-2
NR6849--MA0769.1.Tcf7	chr9	107338480	107338491	-	0.000	0.000	Merged-chr9-107338409-31
NR5204--MA0769.1.Tcf7	chr5	103917177	103917188	+	0.000	0.000	Merged-chr5-103917325-19
NR2602--MA0523.1.TCF7L2	chr16	11577792	11577805	+	0.000	0.000	Merged-chr16-11577786-44
NR2973--MA0769.1.Tcf7	chr17	64629129	64629140	-	0.000	0.000	Merged-chr17-64628994-21
NR1819--MA1421.1.TCF7L1	chr13	63541621	63541632	+	0.000	0.000	Merged-chr13-63541673-31
NR1326--MA0523.1.TCF7L2	chr11	120631162	120631175	+	0.000	0.000	Merged-chr11-120630995-1
NR6848--MA1421.1.TCF7L1	chr9	107338480	107338491	-	0.000	0.000	Merged-chr9-107338409-31
NR4150--MA0769.1.Tcf7	chr3	65793916	65793927	-	0.000	0.000	Merged-chr3-65793747-53
NR3456--MA0523.1.TCF7L2	chr2	9677262	9677275	+	0.000	0.000	Merged-chr2-9677324-22
NR6670--MA0769.1.Tcf7	chr9	61720239	61720250	+	0.000	0.000	Merged-chr9-61720309-20
NR6424--MA0769.1.Tcf7	chr8	80948565	80948576	+	0.000	0.000	Merged-chr8-80948626-26
NR5567--MA0769.1.Tcf7	chr6	85075138	85075149	+	0.000	0.000	Merged-chr6-85075148-16
NR3405--MA0523.1.TCF7L2	chr19	57093567	57093580	+	0.000	0.000	Merged-chr19-57093567-48
