#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval0.3-log2fc0.5_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval0.3-log2fc0.5_up.bed
NR4269--MA0684.1.RUNX3	chr17	43645417	43645426	+	0.000	0.000	Merged-chr17-43645396-23
NR9326--MA0684.1.RUNX3	chr8	88647368	88647377	+	0.000	0.000	Merged-chr8-88647358-34
NR9383--MA0002.2.RUNX1	chr8	110929262	110929272	+	0.000	0.000	Merged-chr8-110929357-31
NR4441--MA0002.2.RUNX1	chr17	80579292	80579302	+	0.000	0.000	Merged-chr17-80579337-18
NR2761--MA0002.2.RUNX1	chr13	91178712	91178722	-	0.000	0.000	Merged-chr13-91178743-26
NR5774--MA0511.2.RUNX2	chr2	158154379	158154387	-	0.000	0.000	Merged-chr2-158154460-58
NR825--MA0002.2.RUNX1	chr1	191872629	191872639	-	0.000	0.000	Merged-chr1-191872609-17
NR6501--MA0002.2.RUNX1	chr3	145538076	145538086	-	0.000	0.000	Merged-chr3-145538069-30
NR6753--MA0002.2.RUNX1	chr4	55343348	55343358	-	0.000	0.000	Merged-chr4-55343422-62
NR3776--MA0684.1.RUNX3	chr16	17695010	17695019	-	0.000	0.000	Merged-chr16-17695007-34
NR8956--MA0002.2.RUNX1	chr7	123030901	123030911	+	0.000	0.000	Merged-chr7-123030929-30
NR1348--MA0002.2.RUNX1	chr10	116914010	116914020	-	0.000	0.000	Merged-chr10-116914032-56
NR7864--MA0684.1.RUNX3	chr6	17382930	17382939	-	0.000	0.000	Merged-chr6-17382878-11
NR7388--MA0684.1.RUNX3	chr5	57719064	57719073	-	0.000	0.000	Merged-chr5-57718956-1
NR9938--MA0002.2.RUNX1	chr9	110916895	110916905	+	0.000	0.000	Merged-chr9-110916944-19
NR4040--MA0002.2.RUNX1	chr16	90456726	90456736	-	0.000	0.000	Merged-chr16-90456669-52
NR3885--MA0684.1.RUNX3	chr16	45224157	45224166	+	0.000	0.000	Merged-chr16-45224130-153
NR3137--MA0002.2.RUNX1	chr14	67993312	67993322	-	0.000	0.000	Merged-chr14-67993349-29
NR5644--MA0511.2.RUNX2	chr2	129816123	129816131	-	0.000	0.000	Merged-chr2-129816219-15
NR7102--MA0684.1.RUNX3	chr4	139242140	139242149	-	0.000	0.000	Merged-chr4-139242159-17
NR4963--MA0684.1.RUNX3	chr19	21199929	21199938	-	0.000	0.000	Merged-chr19-21199898-12
NR9091--MA0002.2.RUNX1	chr7	143154070	143154080	-	0.000	0.000	Merged-chr7-143154031-30
NR980--MA0511.2.RUNX2	chr10	30537424	30537432	+	0.000	0.000	Merged-chr10-30537547-6
NR1566--MA0002.2.RUNX1	chr11	32138416	32138426	+	0.000	0.000	Merged-chr11-32138495-33
NR6623--MA0002.2.RUNX1	chr4	9135917	9135927	+	0.000	0.000	Merged-chr4-9136012-29
NR10109--MA0002.2.RUNX1	chrX	50930494	50930504	-	0.000	0.000	Merged-chrX-50930584-22
NR5260--MA0684.1.RUNX3	chr2	29453883	29453892	-	0.000	0.000	Merged-chr2-29453953-15
NR3868--MA0511.2.RUNX2	chr16	43376988	43376996	-	0.000	0.000	Merged-chr16-43376977-35
NR1251--MA0511.2.RUNX2	chr10	92791369	92791377	+	0.000	0.000	Merged-chr10-92791286-37
NR5449--MA0002.2.RUNX1	chr2	75055026	75055036	+	0.000	0.000	Merged-chr2-75055098-51
NR1695--MA0684.1.RUNX3	chr11	75541179	75541188	-	0.000	0.000	Merged-chr11-75541431-19
NR8760--MA0002.2.RUNX1	chr7	84740070	84740080	+	0.000	0.000	Merged-chr7-84740151-41
NR9266--MA0002.2.RUNX1	chr8	68674301	68674311	-	0.000	0.000	Merged-chr8-68674402-29
NR5657--MA0511.2.RUNX2	chr2	132379841	132379849	+	0.000	0.000	Merged-chr2-132379852-19
NR2773--MA0684.1.RUNX3	chr13	93175820	93175829	+	0.000	0.000	Merged-chr13-93175751-12
NR9123--MA0002.2.RUNX1	chr8	9811314	9811324	-	0.000	0.000	Merged-chr8-9811294-16
NR7843--MA0684.1.RUNX3	chr6	5997677	5997686	+	0.000	0.000	Merged-chr6-5997718-16
NR4685--MA0002.2.RUNX1	chr18	56413120	56413130	+	0.000	0.000	Merged-chr18-56413005-50
NR8650--MA0684.1.RUNX3	chr7	58181740	58181749	+	0.000	0.000	Merged-chr7-58181650-26
NR480--MA0002.2.RUNX1	chr1	133801879	133801889	-	0.000	0.000	Merged-chr1-133801920-3
NR2961--MA0511.2.RUNX2	chr14	15011570	15011578	-	0.000	0.000	Merged-chr14-15011517-9
NR275--MA0002.2.RUNX1	chr1	80855239	80855249	+	0.000	0.000	Merged-chr1-80855392-26
NR7698--MA0511.2.RUNX2	chr5	124241815	124241823	+	0.000	0.000	Merged-chr5-124241668-15
NR9484--MA0002.2.RUNX1	chr8	125871031	125871041	-	0.000	0.000	Merged-chr8-125871015-13
NR3368--MA0002.2.RUNX1	chr15	11489305	11489315	+	0.000	0.000	Merged-chr15-11489207-4
NR7333--MA0684.1.RUNX3	chr5	36538884	36538893	-	0.000	0.000	Merged-chr5-36538864-43
NR3053--MA0511.2.RUNX2	chr14	48246461	48246469	-	0.000	0.000	Merged-chr14-48246381-22
NR340--MA0511.2.RUNX2	chr1	94092014	94092022	-	0.000	0.000	Merged-chr1-94091974-43
NR9388--MA0002.2.RUNX1	chr8	111577953	111577963	+	0.000	0.000	Merged-chr8-111578108-20
NR7442--MA0684.1.RUNX3	chr5	77125217	77125226	-	0.000	0.000	Merged-chr5-77125140-56
NR2081--MA0002.2.RUNX1	chr12	69539513	69539523	-	0.000	0.000	Merged-chr12-69539558-45
NR1277--MA0511.2.RUNX2	chr10	94334101	94334109	-	0.000	0.000	Merged-chr10-94333972-2
NR7089--MA0002.2.RUNX1	chr4	137900264	137900274	-	0.000	0.000	Merged-chr4-137900401-9
NR1055--MA0684.1.RUNX3	chr10	58480391	58480400	+	0.000	0.000	Merged-chr10-58480234-23
NR764--MA0002.2.RUNX1	chr1	183180409	183180419	-	0.000	0.000	Merged-chr1-183180587-56
NR8786--MA0002.2.RUNX1	chr7	92420690	92420700	+	0.000	0.000	Merged-chr7-92420666-38
NR7217--MA0002.2.RUNX1	chr5	7829815	7829825	+	0.000	0.000	Merged-chr5-7829791-41
NR4812--MA0684.1.RUNX3	chr18	77121745	77121754	+	0.000	0.000	Merged-chr18-77121790-35
NR7055--MA0002.2.RUNX1	chr4	134106300	134106310	+	0.000	0.000	Merged-chr4-134106328-10
NR254--MA0002.2.RUNX1	chr1	78538556	78538566	+	0.000	0.000	Merged-chr1-78538536-20
NR10021--MA0684.1.RUNX3	chr9	119823990	119823999	+	0.000	0.000	Merged-chr9-119823942-29
NR733--MA0511.2.RUNX2	chr1	179493151	179493159	+	0.000	0.000	Merged-chr1-179493163-27
NR5679--MA0684.1.RUNX3	chr2	136987996	136988005	-	0.000	0.000	Merged-chr2-136988057-20
NR492--MA0684.1.RUNX3	chr1	136609090	136609099	-	0.000	0.000	Merged-chr1-136609076-3
NR6710--MA0684.1.RUNX3	chr4	42945477	42945486	-	0.000	0.000	Merged-chr4-42945382-5
NR3412--MA0511.2.RUNX2	chr15	31649793	31649801	-	0.000	0.000	Merged-chr15-31649789-27
NR3108--MA0002.2.RUNX1	chr14	61698837	61698847	+	0.000	0.000	Merged-chr14-61698789-31
NR3508--MA0684.1.RUNX3	chr15	55327442	55327451	-	0.000	0.000	Merged-chr15-55327422-12
NR938--MA0684.1.RUNX3	chr10	21504626	21504635	+	0.000	0.000	Merged-chr10-21504659-28
NR8351--MA0002.2.RUNX1	chr6	129312584	129312594	-	0.000	0.000	Merged-chr6-129312714-15
NR6671--MA0002.2.RUNX1	chr4	32388921	32388931	-	0.000	0.000	Merged-chr4-32388738-7
NR7325--MA0684.1.RUNX3	chr5	34822909	34822918	-	0.000	0.000	Merged-chr5-34822830-22
NR7--MA0684.1.RUNX3	chr1	6519342	6519351	+	0.000	0.000	Merged-chr1-6519375-11
NR5645--MA0684.1.RUNX3	chr2	129816122	129816131	-	0.000	0.000	Merged-chr2-129816219-15
NR253--MA0684.1.RUNX3	chr1	78537715	78537724	+	0.000	0.000	Merged-chr1-78537773-101
NR1414--MA0684.1.RUNX3	chr10	120895928	120895937	+	0.000	0.000	Merged-chr10-120895921-55
NR918--MA0002.2.RUNX1	chr10	18743891	18743901	+	0.000	0.000	Merged-chr10-18743767-30
NR5083--MA0002.2.RUNX1	chr19	55261679	55261689	+	0.000	0.000	Merged-chr19-55261616-5
NR8460--MA0002.2.RUNX1	chr6	144961868	144961878	+	0.000	0.000	Merged-chr6-144962023-22
NR49--MA0511.2.RUNX2	chr1	20740683	20740691	-	0.000	0.000	Merged-chr1-20740658-39
NR7163--MA0684.1.RUNX3	chr4	148509654	148509663	+	0.000	0.000	Merged-chr4-148509676-49
NR3869--MA0684.1.RUNX3	chr16	43376987	43376996	-	0.000	0.000	Merged-chr16-43376977-35
NR8112--MA0002.2.RUNX1	chr6	91061193	91061203	+	0.000	0.000	Merged-chr6-91061386-8
NR9889--MA0684.1.RUNX3	chr9	98616576	98616585	-	0.000	0.000	Merged-chr9-98616546-17
NR6955--MA0002.2.RUNX1	chr4	109471172	109471182	-	0.000	0.000	Merged-chr4-109471151-19
NR59--MA0002.2.RUNX1	chr1	23272301	23272311	-	0.000	0.000	Merged-chr1-23272204-17
NR5096--MA0002.2.RUNX1	chr19	56687200	56687210	-	0.000	0.000	Merged-chr19-56687212-16
NR5367--MA0002.2.RUNX1	chr2	59534595	59534605	+	0.000	0.000	Merged-chr2-59534510-22
NR7003--MA0511.2.RUNX2	chr4	123416434	123416442	-	0.000	0.000	Merged-chr4-123416422-1
NR3339--MA0002.2.RUNX1	chr14	122908300	122908310	-	0.000	0.000	Merged-chr14-122908322-32
NR1615--MA0511.2.RUNX2	chr11	54153015	54153023	-	0.000	0.000	Merged-chr11-54152969-5
NR9392--MA0511.2.RUNX2	chr8	114264135	114264143	-	0.000	0.000	Merged-chr8-114264109-12
NR232--MA0684.1.RUNX3	chr1	71594393	71594402	+	0.000	0.000	Merged-chr1-71594444-22
NR9236--MA0684.1.RUNX3	chr8	56476307	56476316	-	0.000	0.000	Merged-chr8-56476391-12
NR8234--MA0002.2.RUNX1	chr6	115560178	115560188	+	0.000	0.000	Merged-chr6-115560075-18
NR7906--MA0511.2.RUNX2	chr6	38581836	38581844	-	0.000	0.000	Merged-chr6-38581914-20
NR7159--MA0511.2.RUNX2	chr4	148509654	148509662	+	0.000	0.000	Merged-chr4-148509676-49
NR4874--MA0002.2.RUNX1	chr18	84739719	84739729	+	0.000	0.000	Merged-chr18-84739701-13
NR7665--MA0684.1.RUNX3	chr5	118710116	118710125	-	0.000	0.000	Merged-chr5-118710096-15
NR9739--MA0002.2.RUNX1	chr9	70040165	70040175	+	0.000	0.000	Merged-chr9-70040199-23
NR5366--MA0684.1.RUNX3	chr2	59482995	59483004	-	0.000	0.000	Merged-chr2-59482840-22
NR5174--MA0511.2.RUNX2	chr2	8965051	8965059	-	0.000	0.000	Merged-chr2-8965212-53
NR639--MA0002.2.RUNX1	chr1	164413781	164413791	-	0.000	0.000	Merged-chr1-164413844-41
NR6871--MA0511.2.RUNX2	chr4	97657874	97657882	+	0.000	0.000	Merged-chr4-97657761-27
NR2955--MA0002.2.RUNX1	chr14	12307729	12307739	+	0.000	0.000	Merged-chr14-12307905-40
NR5018--MA0684.1.RUNX3	chr19	37419712	37419721	-	0.000	0.000	Merged-chr19-37419795-20
NR1009--MA0511.2.RUNX2	chr10	39793436	39793444	-	0.000	0.000	Merged-chr10-39793457-38
NR8181--MA0002.2.RUNX1	chr6	100390382	100390392	-	0.000	0.000	Merged-chr6-100390476-26
NR10135--MA0684.1.RUNX3	chrX	71378634	71378643	-	0.000	0.000	Merged-chrX-71378738-26
NR9106--MA0684.1.RUNX3	chr7	144822211	144822220	-	0.000	0.000	Merged-chr7-144822124-13
NR7278--MA0002.2.RUNX1	chr5	22740148	22740158	-	0.000	0.000	Merged-chr5-22740212-9
NR3047--MA0002.2.RUNX1	chr14	45080380	45080390	-	0.000	0.000	Merged-chr14-45080367-24
NR8104--MA0002.2.RUNX1	chr6	89632086	89632096	+	0.000	0.000	Merged-chr6-89632208-46
NR6775--MA0511.2.RUNX2	chr4	59275681	59275689	+	0.000	0.000	Merged-chr4-59275689-14
NR8627--MA0002.2.RUNX1	chr7	49828163	49828173	+	0.000	0.000	Merged-chr7-49828088-29
NR4330--MA0002.2.RUNX1	chr17	52468606	52468616	-	0.000	0.000	Merged-chr17-52468640-52
NR4996--MA0002.2.RUNX1	chr19	32496627	32496637	+	0.000	0.000	Merged-chr19-32496642-11
NR9338--MA0002.2.RUNX1	chr8	94134682	94134692	+	0.000	0.000	Merged-chr8-94134861-17
NR7387--MA0002.2.RUNX1	chr5	57719063	57719073	+	0.000	0.000	Merged-chr5-57718956-1
NR2716--MA0002.2.RUNX1	chr13	81675840	81675850	-	0.000	0.000	Merged-chr13-81675595-44
NR8879--MA0002.2.RUNX1	chr7	112918188	112918198	-	0.000	0.000	Merged-chr7-112918016-3
NR10019--MA0002.2.RUNX1	chr9	119823990	119824000	-	0.000	0.000	Merged-chr9-119823942-29
NR3112--MA0511.2.RUNX2	chr14	63104030	63104038	+	0.000	0.000	Merged-chr14-63104126-25
NR320--MA0684.1.RUNX3	chr1	91755271	91755280	-	0.000	0.000	Merged-chr1-91755348-8
NR8736--MA0002.2.RUNX1	chr7	80680394	80680404	+	0.000	0.000	Merged-chr7-80680474-47
NR7439--MA0684.1.RUNX3	chr5	75662586	75662595	-	0.000	0.000	Merged-chr5-75662405-46
NR3980--MA0002.2.RUNX1	chr16	72350540	72350550	-	0.000	0.000	Merged-chr16-72350554-25
NR380--MA0511.2.RUNX2	chr1	105443391	105443399	+	0.000	0.000	Merged-chr1-105443622-43
NR5838--MA0511.2.RUNX2	chr2	169360519	169360527	+	0.000	0.000	Merged-chr2-169360551-6
NR4962--MA0002.2.RUNX1	chr19	21199928	21199938	+	0.000	0.000	Merged-chr19-21199898-12
NR1607--MA0511.2.RUNX2	chr11	52224161	52224169	+	0.000	0.000	Merged-chr11-52224357-50
NR281--MA0002.2.RUNX1	chr1	82900760	82900770	+	0.000	0.000	Merged-chr1-82900738-32
NR9162--MA0684.1.RUNX3	chr8	19161780	19161789	+	0.000	0.000	Merged-chr8-19161757-88
NR10065--MA0511.2.RUNX2	chrX	17521350	17521358	+	0.000	0.000	Merged-chrX-17521323-26
NR2729--MA0002.2.RUNX1	chr13	84236725	84236735	+	0.000	0.000	Merged-chr13-84236811-14
NR4595--MA0002.2.RUNX1	chr18	32945732	32945742	-	0.000	0.000	Merged-chr18-32945625-57
NR3026--MA0002.2.RUNX1	chr14	32716930	32716940	-	0.000	0.000	Merged-chr14-32716978-71
NR4600--MA0684.1.RUNX3	chr18	35383457	35383466	+	0.000	0.000	Merged-chr18-35383519-5
NR3377--MA0511.2.RUNX2	chr15	18951819	18951827	-	0.000	0.000	Merged-chr15-18951851-25
NR2772--MA0002.2.RUNX1	chr13	93175820	93175830	-	0.000	0.000	Merged-chr13-93175751-12
NR4499--MA0002.2.RUNX1	chr17	88599092	88599102	+	0.000	0.000	Merged-chr17-88599180-35
NR2424--MA0002.2.RUNX1	chr13	6652639	6652649	-	0.000	0.000	Merged-chr13-6652733-20
NR1206--MA0511.2.RUNX2	chr10	84897547	84897555	+	0.000	0.000	Merged-chr10-84897526-62
NR2947--MA0002.2.RUNX1	chr14	7913994	7914004	+	0.000	0.000	Merged-chr14-7914040-29
NR7098--MA0511.2.RUNX2	chr4	139242141	139242149	-	0.000	0.000	Merged-chr4-139242159-17
NR6559--MA0002.2.RUNX1	chr3	153411515	153411525	+	0.000	0.000	Merged-chr3-153411590-2
NR1458--MA0511.2.RUNX2	chr10	128637208	128637216	-	0.000	0.000	Merged-chr10-128637070-78
NR8696--MA0002.2.RUNX1	chr7	71242729	71242739	+	0.000	0.000	Merged-chr7-71242656-21
NR7004--MA0684.1.RUNX3	chr4	123416433	123416442	-	0.000	0.000	Merged-chr4-123416422-1
NR154--MA0511.2.RUNX2	chr1	54279845	54279853	-	0.000	0.000	Merged-chr1-54279813-25
NR2122--MA0511.2.RUNX2	chr12	76853983	76853991	-	0.000	0.000	Merged-chr12-76853895-20
NR2894--MA0002.2.RUNX1	chr13	112388364	112388374	+	0.000	0.000	Merged-chr13-112388467-40
NR4530--MA0511.2.RUNX2	chr18	11883343	11883351	-	0.000	0.000	Merged-chr18-11883419-27
NR312--MA0684.1.RUNX3	chr1	89090406	89090415	+	0.000	0.000	Merged-chr1-89090487-27
NR9538--MA0511.2.RUNX2	chr9	14568450	14568458	+	0.000	0.000	Merged-chr9-14568666-36
NR7365--MA0684.1.RUNX3	chr5	52126037	52126046	-	0.000	0.000	Merged-chr5-52126006-25
NR120--MA0511.2.RUNX2	chr1	43207414	43207422	+	0.000	0.000	Merged-chr1-43207362-30
NR9124--MA0511.2.RUNX2	chr8	9811411	9811419	+	0.000	0.000	Merged-chr8-9811294-16
NR6240--MA0684.1.RUNX3	chr3	101884383	101884392	+	0.000	0.000	Merged-chr3-101884248-30
NR2798--MA0002.2.RUNX1	chr13	97694850	97694860	-	0.000	0.000	Merged-chr13-97694845-1
NR8251--MA0511.2.RUNX2	chr6	118621848	118621856	-	0.000	0.000	Merged-chr6-118621968-6
NR9992--MA0002.2.RUNX1	chr9	116243855	116243865	-	0.000	0.000	Merged-chr9-116243832-57
NR8152--MA0002.2.RUNX1	chr6	97806975	97806985	-	0.000	0.000	Merged-chr6-97807026-80
NR7126--MA0684.1.RUNX3	chr4	145045906	145045915	+	0.000	0.000	Merged-chr4-145045932-55
NR2512--MA0002.2.RUNX1	chr13	30192029	30192039	+	0.000	0.000	Merged-chr13-30192249-19
NR9485--MA0511.2.RUNX2	chr8	125871176	125871184	+	0.000	0.000	Merged-chr8-125871015-13
NR4321--MA0684.1.RUNX3	chr17	51732852	51732861	+	0.000	0.000	Merged-chr17-51732863-12
NR6124--MA0002.2.RUNX1	chr3	83997430	83997440	-	0.000	0.000	Merged-chr3-83997240-19
NR8631--MA0511.2.RUNX2	chr7	51621951	51621959	+	0.000	0.000	Merged-chr7-51621902-16
NR2493--MA0002.2.RUNX1	chr13	24866804	24866814	-	0.000	0.000	Merged-chr13-24866887-32
NR6951--MA0511.2.RUNX2	chr4	109274054	109274062	-	0.000	0.000	Merged-chr4-109273984-17
NR99--MA0002.2.RUNX1	chr1	38597955	38597965	+	0.000	0.000	Merged-chr1-38597807-10
NR8261--MA0002.2.RUNX1	chr6	119509052	119509062	+	0.000	0.000	Merged-chr6-119509030-36
NR10067--MA0002.2.RUNX1	chrX	17521350	17521360	-	0.000	0.000	Merged-chrX-17521323-26
NR2893--MA0684.1.RUNX3	chr13	112133859	112133868	+	0.000	0.000	Merged-chr13-112133906-22
NR4652--MA0511.2.RUNX2	chr18	49721779	49721787	+	0.000	0.000	Merged-chr18-49721855-41
NR2750--MA0684.1.RUNX3	chr13	89889237	89889246	+	0.000	0.000	Merged-chr13-89889254-28
NR7295--MA0511.2.RUNX2	chr5	25092799	25092807	+	0.000	0.000	Merged-chr5-25092896-11
NR543--MA0684.1.RUNX3	chr1	150396149	150396158	+	0.000	0.000	Merged-chr1-150396130-66
NR7119--MA0002.2.RUNX1	chr4	144916650	144916660	-	0.000	0.000	Merged-chr4-144916675-7
NR252--MA0002.2.RUNX1	chr1	78537715	78537725	-	0.000	0.000	Merged-chr1-78537773-101
NR9971--MA0002.2.RUNX1	chr9	115088522	115088532	-	0.000	0.000	Merged-chr9-115088492-13
NR669--MA0511.2.RUNX2	chr1	166153509	166153517	-	0.000	0.000	Merged-chr1-166153550-30
NR6246--MA0002.2.RUNX1	chr3	103466208	103466218	-	0.000	0.000	Merged-chr3-103466121-19
NR98--MA0684.1.RUNX3	chr1	38557783	38557792	+	0.000	0.000	Merged-chr1-38557840-50
NR4837--MA0002.2.RUNX1	chr18	80670770	80670780	-	0.000	0.000	Merged-chr18-80670695-6
NR6868--MA0511.2.RUNX2	chr4	95778035	95778043	+	0.000	0.000	Merged-chr4-95778146-34
NR2620--MA0684.1.RUNX3	chr13	55255486	55255495	-	0.000	0.000	Merged-chr13-55255412-37
NR4423--MA0002.2.RUNX1	chr17	78087125	78087135	-	0.000	0.000	Merged-chr17-78087139-42
NR1397--MA0511.2.RUNX2	chr10	118714234	118714242	+	0.000	0.000	Merged-chr10-118714396-52
NR6725--MA0511.2.RUNX2	chr4	46479220	46479228	+	0.000	0.000	Merged-chr4-46479311-23
NR8511--MA0002.2.RUNX1	chr6	148961433	148961443	+	0.000	0.000	Merged-chr6-148961537-19
NR1870--MA0002.2.RUNX1	chr11	114945334	114945344	-	0.000	0.000	Merged-chr11-114945333-7
NR4532--MA0002.2.RUNX1	chr18	11883341	11883351	+	0.000	0.000	Merged-chr18-11883419-27
NR9269--MA0002.2.RUNX1	chr8	69176673	69176683	-	0.000	0.000	Merged-chr8-69176623-23
NR9398--MA0684.1.RUNX3	chr8	115045818	115045827	+	0.000	0.000	Merged-chr8-115045943-98
NR4727--MA0684.1.RUNX3	chr18	65297352	65297361	+	0.000	0.000	Merged-chr18-65297305-30
NR2110--MA0684.1.RUNX3	chr12	75479887	75479896	-	0.000	0.000	Merged-chr12-75479901-16
NR169--MA0002.2.RUNX1	chr1	55630383	55630393	+	0.000	0.000	Merged-chr1-55630357-14
NR2091--MA0684.1.RUNX3	chr12	70999749	70999758	-	0.000	0.000	Merged-chr12-70999631-61
NR4121--MA0511.2.RUNX2	chr17	7164085	7164093	-	0.000	0.000	Merged-chr17-7164154-31
NR7079--MA0002.2.RUNX1	chr4	136570152	136570162	+	0.000	0.000	Merged-chr4-136570246-39
NR2137--MA0002.2.RUNX1	chr12	80273204	80273214	-	0.000	0.000	Merged-chr12-80273315-49
NR2964--MA0511.2.RUNX2	chr14	15273276	15273284	-	0.000	0.000	Merged-chr14-15273135-43
NR278--MA0002.2.RUNX1	chr1	82819631	82819641	-	0.000	0.000	Merged-chr1-82819589-51
NR6768--MA0684.1.RUNX3	chr4	57091492	57091501	+	0.000	0.000	Merged-chr4-57091525-28
NR8461--MA0511.2.RUNX2	chr6	144962173	144962181	-	0.000	0.000	Merged-chr6-144962023-22
NR6748--MA0002.2.RUNX1	chr4	53826422	53826432	+	0.000	0.000	Merged-chr4-53826364-82
NR4797--MA0002.2.RUNX1	chr18	75374180	75374190	+	0.000	0.000	Merged-chr18-75374196-25
NR3672--MA0002.2.RUNX1	chr15	94478962	94478972	-	0.000	0.000	Merged-chr15-94478905-44
NR2597--MA0511.2.RUNX2	chr13	52004411	52004419	-	0.000	0.000	Merged-chr13-52004248-54
NR658--MA0002.2.RUNX1	chr1	165322304	165322314	-	0.000	0.000	Merged-chr1-165322509-22
NR8636--MA0511.2.RUNX2	chr7	55890220	55890228	-	0.000	0.000	Merged-chr7-55890160-26
NR6172--MA0002.2.RUNX1	chr3	89906197	89906207	-	0.000	0.000	Merged-chr3-89906356-37
NR5368--MA0511.2.RUNX2	chr2	59716628	59716636	-	0.000	0.000	Merged-chr2-59716624-17
NR148--MA0002.2.RUNX1	chr1	52650254	52650264	+	0.000	0.000	Merged-chr1-52650227-37
NR4958--MA0684.1.RUNX3	chr19	21104865	21104874	-	0.000	0.000	Merged-chr19-21104768-51
NR3890--MA0002.2.RUNX1	chr16	45724350	45724360	-	0.000	0.000	Merged-chr16-45724443-44
NR4352--MA0511.2.RUNX2	chr17	62784252	62784260	+	0.000	0.000	Merged-chr17-62784192-42
NR5331--MA0002.2.RUNX1	chr2	52885288	52885298	-	0.000	0.000	Merged-chr2-52885299-16
NR366--MA0002.2.RUNX1	chr1	98022055	98022065	-	0.000	0.000	Merged-chr1-98022036-10
NR9247--MA0684.1.RUNX3	chr8	61561437	61561446	+	0.000	0.000	Merged-chr8-61561458-9
NR988--MA0511.2.RUNX2	chr10	37207077	37207085	-	0.000	0.000	Merged-chr10-37207171-14
NR10084--MA0511.2.RUNX2	chrX	37141941	37141949	-	0.000	0.000	Merged-chrX-37141960-22
NR889--MA0002.2.RUNX1	chr10	10355793	10355803	-	0.000	0.000	Merged-chr10-10355826-16
NR4828--MA0684.1.RUNX3	chr18	79284477	79284486	+	0.000	0.000	Merged-chr18-79284521-10
NR1875--MA0002.2.RUNX1	chr11	115589156	115589166	-	0.000	0.000	Merged-chr11-115589146-15
NR4266--MA0002.2.RUNX1	chr17	43645395	43645405	-	0.000	0.000	Merged-chr17-43645396-23
