#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Prdm1/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_dn.bed
NR898--MA0508.2.PRDM1	chr17	33824544	33824553	+	0.000	0.000	Merged-chr17-33824550-48
NR1794--MA0508.2.PRDM1	chr6	124911743	124911752	-	0.000	0.000	Merged-chr6-124911783-36
NR1935--MA0508.2.PRDM1	chr7	125423224	125423233	-	0.000	0.000	Merged-chr7-125423125-27
NR1805--MA0508.2.PRDM1	chr6	129817851	129817860	-	0.000	0.000	Merged-chr6-129817846-22
NR1404--MA0508.2.PRDM1	chr3	139033227	139033236	+	0.000	0.000	Merged-chr3-139033383-15
NR1385--MA0508.2.PRDM1	chr3	130796716	130796725	+	0.000	0.000	Merged-chr3-130796721-21
NR1417--MA0508.2.PRDM1	chr3	143777349	143777358	-	0.000	0.000	Merged-chr3-143777288-1
NR570--MA0508.2.PRDM1	chr13	85499899	85499908	-	0.000	0.000	Merged-chr13-85499791-10
NR1744--MA0508.2.PRDM1	chr6	83718257	83718266	-	0.000	0.000	Merged-chr6-83718285-22
NR1866--MA0508.2.PRDM1	chr7	47013488	47013497	+	0.000	0.000	Merged-chr7-47013375-34
NR83--MA0508.2.PRDM1	chr1	143916321	143916330	+	0.000	0.000	Merged-chr1-143916234-1
NR1478--MA0508.2.PRDM1	chr4	59278647	59278656	-	0.000	0.000	Merged-chr4-59278599-46
NR1967--MA0508.2.PRDM1	chr7	142435693	142435702	+	0.000	0.000	Merged-chr7-142435660-33
NR241--MA0508.2.PRDM1	chr10	76802277	76802286	-	0.000	0.000	Merged-chr10-76802342-40
NR1797--MA0508.2.PRDM1	chr6	125541002	125541011	+	0.000	0.000	Merged-chr6-125540912-17
NR730--MA0508.2.PRDM1	chr15	31117626	31117635	-	0.000	0.000	Merged-chr15-31117559-26
NR1197--MA0508.2.PRDM1	chr2	121511679	121511688	+	0.000	0.000	Merged-chr2-121511602-35
NR2071--MA0508.2.PRDM1	chr9	44582506	44582515	-	0.000	0.000	Merged-chr9-44582588-15
NR1732--MA0508.2.PRDM1	chr6	66962693	66962702	-	0.000	0.000	Merged-chr6-66962662-45
NR616--MA0508.2.PRDM1	chr13	115042838	115042847	+	0.000	0.000	Merged-chr13-115042812-10
NR215--MA0508.2.PRDM1	chr10	44529602	44529611	+	0.000	0.000	Merged-chr10-44529535-56
NR2034--MA0508.2.PRDM1	chr8	115410307	115410316	-	0.000	0.000	Merged-chr8-115410237-10
NR1270--MA0508.2.PRDM1	chr2	174566135	174566144	+	0.000	0.000	Merged-chr2-174566072-46
NR2047--MA0508.2.PRDM1	chr8	126979200	126979209	+	0.000	0.000	Merged-chr8-126979147-35
NR1825--MA0508.2.PRDM1	chr6	140724837	140724846	+	0.000	0.000	Merged-chr6-140724746-15
NR2039--MA0508.2.PRDM1	chr8	121898697	121898706	-	0.000	0.000	Merged-chr8-121898554-47
NR2018--MA0508.2.PRDM1	chr8	86864556	86864565	+	0.000	0.000	Merged-chr8-86864748-39
NR1111--MA0508.2.PRDM1	chr2	34945668	34945677	-	0.000	0.000	Merged-chr2-34945759-18
NR1849--MA0508.2.PRDM1	chr7	12891113	12891122	-	0.000	0.000	Merged-chr7-12891207-39
NR1687--MA0508.2.PRDM1	chr5	146882603	146882612	-	0.000	0.000	Merged-chr5-146882424-24
NR1414--MA0508.2.PRDM1	chr3	143457655	143457664	+	0.000	0.000	Merged-chr3-143457661-6
NR1807--MA0508.2.PRDM1	chr6	130538653	130538662	-	0.000	0.000	Merged-chr6-130538609-12
NR1169--MA0508.2.PRDM1	chr2	102039553	102039562	+	0.000	0.000	Merged-chr2-102039537-38
NR450--MA0508.2.PRDM1	chr12	80014479	80014488	+	0.000	0.000	Merged-chr12-80014569-41
NR830--MA0508.2.PRDM1	chr16	52468480	52468489	+	0.000	0.000	Merged-chr16-52468577-24
NR1148--MA0508.2.PRDM1	chr2	73070696	73070705	-	0.000	0.000	Merged-chr2-73070867-8
NR617--MA0508.2.PRDM1	chr13	115099460	115099469	-	0.000	0.000	Merged-chr13-115099527-3
NR64--MA0508.2.PRDM1	chr1	119709543	119709552	-	0.000	0.000	Merged-chr1-119709632-8
NR949--MA0508.2.PRDM1	chr18	5694790	5694799	-	0.000	0.000	Merged-chr18-5694694-26
NR100--MA0508.2.PRDM1	chr1	155505876	155505885	-	0.000	0.000	Merged-chr1-155505844-22
NR758--MA0508.2.PRDM1	chr15	84924005	84924014	-	0.000	0.000	Merged-chr15-84923887-3
NR989--MA0508.2.PRDM1	chr18	70522417	70522426	+	0.000	0.000	Merged-chr18-70522488-53
NR846--MA0508.2.PRDM1	chr16	77099344	77099353	+	0.000	0.000	Merged-chr16-77099308-12
NR1410--MA0508.2.PRDM1	chr3	142674824	142674833	+	0.000	0.000	Merged-chr3-142674758-15
NR668--MA0508.2.PRDM1	chr14	61648513	61648522	-	0.000	0.000	Merged-chr14-61648687-125
NR1654--MA0508.2.PRDM1	chr5	107546186	107546195	+	0.000	0.000	Merged-chr5-107546120-23
NR1808--MA0508.2.PRDM1	chr6	130538705	130538714	-	0.000	0.000	Merged-chr6-130538609-12
NR1232--MA0508.2.PRDM1	chr2	145233990	145233999	+	0.000	0.000	Merged-chr2-145234039-59
NR1830--MA0508.2.PRDM1	chr6	143176984	143176993	+	0.000	0.000	Merged-chr6-143176847-16
NR1--MA0508.2.PRDM1	chr1	7206748	7206757	+	0.000	0.000	Merged-chr1-7206621-34
NR1577--MA0508.2.PRDM1	chr4	147808609	147808618	+	0.000	0.000	Merged-chr4-147808670-28
NR1609--MA0508.2.PRDM1	chr5	43856007	43856016	+	0.000	0.000	Merged-chr5-43855987-24
NR1527--MA0508.2.PRDM1	chr4	118406247	118406256	+	0.000	0.000	Merged-chr4-118406334-12
NR1745--MA0508.2.PRDM1	chr6	83718295	83718304	+	0.000	0.000	Merged-chr6-83718285-22
