#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_dn.bed
NR847--MA0493.1.Klf1	chr1	59163173	59163183	+	0.000	0.000	Merged-chr1-59163188-37
NR39716--MA0493.1.Klf1	chr2	174556036	174556046	-	0.000	0.000	Merged-chr2-174555978-36
NR4905--MA1107.1.KLF9	chr10	5795635	5795647	+	0.000	0.000	Merged-chr10-5795457-7
NR1533--MA0493.1.Klf1	chr1	89070177	89070187	+	0.000	0.000	Merged-chr1-89070221-114
NR32262--MA0599.1.KLF5	chr18	84804499	84804508	-	0.000	0.000	Merged-chr18-84804572-27
NR39622--MA0493.1.Klf1	chr2	173444618	173444628	+	0.000	0.000	Merged-chr2-173444560-32
NR38330--MA1107.1.KLF9	chr2	147832605	147832617	+	0.000	0.000	Merged-chr2-147832545-2
NR58722--MA1107.1.KLF9	chr7	35729564	35729576	+	0.000	0.000	Merged-chr7-35729754-35
NR31397--MA0741.1.KLF16	chr18	65924899	65924909	-	0.000	0.000	Merged-chr18-65924997-33
NR26796--MA1107.1.KLF9	chr16	97002491	97002503	+	0.000	0.000	Merged-chr16-97002537-1
NR5253--MA0599.1.KLF5	chr10	22058669	22058678	-	0.000	0.000	Merged-chr10-22058743-34
NR25371--MA0493.1.Klf1	chr16	32516544	32516554	-	0.000	0.000	Merged-chr16-32516451-30
NR65174--MA1107.1.KLF9	chr8	123163081	123163093	+	0.000	0.000	Merged-chr8-123163099-40
NR15500--MA0741.1.KLF16	chr12	108275432	108275442	+	0.000	0.000	Merged-chr12-108275445-64
NR24076--MA0599.1.KLF5	chr15	94255266	94255275	+	0.000	0.000	Merged-chr15-94255177-46
NR70212--MA0741.1.KLF16	chrX	134963376	134963386	+	0.000	0.000	Merged-chrX-134963484-45
NR22377--MA0741.1.KLF16	chr15	37437359	37437369	+	0.000	0.000	Merged-chr15-37437279-19
NR39409--MA0742.1.Klf12	chr2	168741429	168741443	+	0.000	0.000	Merged-chr2-168741453-11
NR33482--MA0599.1.KLF5	chr19	38298437	38298446	-	0.000	0.000	Merged-chr19-38298328-29
NR50478--MA1107.1.KLF9	chr5	100916621	100916633	+	0.000	0.000	Merged-chr5-100916697-39
NR15404--MA0741.1.KLF16	chr12	105981751	105981761	-	0.000	0.000	Merged-chr12-105981568-18
NR7978--MA1107.1.KLF9	chr10	111562799	111562811	+	0.000	0.000	Merged-chr10-111562842-26
NR25157--MA0599.1.KLF5	chr16	21204698	21204707	-	0.000	0.000	Merged-chr16-21204669-33
NR60682--MA0740.1.KLF14	chr7	112679301	112679314	+	0.000	0.000	Merged-chr7-112679423-49
NR59818--MA0599.1.KLF5	chr7	84409916	84409925	-	0.000	0.000	Merged-chr7-84409928-39
NR45628--MA0741.1.KLF16	chr4	95354206	95354216	+	0.000	0.000	Merged-chr4-95354133-23
NR33199--MA0741.1.KLF16	chr19	25672366	25672376	-	0.000	0.000	Merged-chr19-25672402-22
NR23764--MA1107.1.KLF9	chr15	86016257	86016269	+	0.000	0.000	Merged-chr15-86016177-43
NR8275--MA0039.3.KLF4	chr10	118310881	118310891	+	0.000	0.000	Merged-chr10-118310957-20
NR38899--MA1107.1.KLF9	chr2	160367185	160367197	-	0.000	0.000	Merged-chr2-160367322-62
NR57077--MA0039.3.KLF4	chr6	144332302	144332312	-	0.000	0.000	Merged-chr6-144332292-25
NR24742--MA1107.1.KLF9	chr16	4469938	4469950	+	0.000	0.000	Merged-chr16-4469915-27
NR58651--MA0740.1.KLF14	chr7	34630652	34630665	+	0.000	0.000	Merged-chr7-34630517-24
NR3763--MA0599.1.KLF5	chr1	178673879	178673888	-	0.000	0.000	Merged-chr1-178673766-1
NR33795--MA0493.1.Klf1	chr19	46148529	46148539	-	0.000	0.000	Merged-chr19-46148494-21
NR58652--MA0599.1.KLF5	chr7	34630653	34630662	+	0.000	0.000	Merged-chr7-34630517-24
NR49834--MA0742.1.Klf12	chr5	74704611	74704625	+	0.000	0.000	Merged-chr5-74704453-70
NR53829--MA0493.1.Klf1	chr6	38524014	38524024	-	0.000	0.000	Merged-chr6-38524100-15
NR56459--MA0599.1.KLF5	chr6	134348665	134348674	-	0.000	0.000	Merged-chr6-134348726-53
NR45361--MA0599.1.KLF5	chr4	82755890	82755899	+	0.000	0.000	Merged-chr4-82755852-39
NR48953--MA0599.1.KLF5	chr5	30240774	30240783	-	0.000	0.000	Merged-chr5-30240775-35
NR19582--MA0741.1.KLF16	chr14	21683000	21683010	-	0.000	0.000	Merged-chr14-21683018-22
NR26801--MA1107.1.KLF9	chr16	97002515	97002527	+	0.000	0.000	Merged-chr16-97002537-1
NR50040--MA0493.1.Klf1	chr5	86783215	86783225	+	0.000	0.000	Merged-chr5-86783243-43
NR48374--MA0039.3.KLF4	chr4	155774593	155774603	+	0.000	0.000	Merged-chr4-155774656-37
NR70209--MA0599.1.KLF5	chrX	134963381	134963390	+	0.000	0.000	Merged-chrX-134963484-45
NR5915--MA1107.1.KLF9	chr10	60305570	60305582	+	0.000	0.000	Merged-chr10-60305430-32
NR59826--MA1107.1.KLF9	chr7	84605955	84605967	+	0.000	0.000	Merged-chr7-84605972-68
NR47998--MA0740.1.KLF14	chr4	150087349	150087362	-	0.000	0.000	Merged-chr4-150087480-81
NR1127--MA0599.1.KLF5	chr1	72870387	72870396	-	0.000	0.000	Merged-chr1-72870469-25
NR26143--MA1107.1.KLF9	chr16	78264699	78264711	-	0.000	0.000	Merged-chr16-78264728-2
NR32943--MA0741.1.KLF16	chr19	12012381	12012391	+	0.000	0.000	Merged-chr19-12012380-1
NR12160--MA0740.1.KLF14	chr11	102467238	102467251	-	0.000	0.000	Merged-chr11-102467251-44
NR15122--MA0493.1.Klf1	chr12	100277002	100277012	-	0.000	0.000	Merged-chr12-100277058-24
NR36389--MA0493.1.Klf1	chr2	77175979	77175989	-	0.000	0.000	Merged-chr2-77175946-2
NR22988--MA0741.1.KLF16	chr15	72859408	72859418	+	0.000	0.000	Merged-chr15-72859470-25
NR69978--MA0493.1.Klf1	chrX	77810714	77810724	+	0.000	0.000	Merged-chrX-77810805-25
NR62721--MA0740.1.KLF14	chr8	34529602	34529615	-	0.000	0.000	Merged-chr8-34529653-1
NR38326--MA0039.3.KLF4	chr2	147832615	147832625	+	0.000	0.000	Merged-chr2-147832545-2
NR59182--MA0493.1.Klf1	chr7	52005846	52005856	+	0.000	0.000	Merged-chr7-52005667-2
NR42726--MA0039.3.KLF4	chr3	129588984	129588994	-	0.000	0.000	Merged-chr3-129588899-30
NR70124--MA0599.1.KLF5	chrX	104857309	104857318	+	0.000	0.000	Merged-chrX-104857124-25
NR38344--MA0741.1.KLF16	chr2	147832655	147832665	-	0.000	0.000	Merged-chr2-147832545-2
NR20523--MA0599.1.KLF5	chr14	62555722	62555731	-	0.000	0.000	Merged-chr14-62555762-39
NR19029--MA1107.1.KLF9	chr13	112801418	112801430	-	0.000	0.000	Merged-chr13-112801565-4
NR46120--MA0599.1.KLF5	chr4	111416002	111416011	+	0.000	0.000	Merged-chr4-111415827-1
NR22376--MA0599.1.KLF5	chr15	37437359	37437368	+	0.000	0.000	Merged-chr15-37437279-19
NR33044--MA0599.1.KLF5	chr19	16998129	16998138	-	0.000	0.000	Merged-chr19-16998164-33
NR17580--MA0599.1.KLF5	chr13	73265757	73265766	+	0.000	0.000	Merged-chr13-73265684-17
NR30134--MA0741.1.KLF16	chr17	88654072	88654082	-	0.000	0.000	Merged-chr17-88654141-3
NR64798--MA0599.1.KLF5	chr8	117548648	117548657	-	0.000	0.000	Merged-chr8-117548585-70
NR58643--MA0740.1.KLF14	chr7	34630504	34630517	-	0.000	0.000	Merged-chr7-34630517-24
NR65561--MA0599.1.KLF5	chr9	8134485	8134494	-	0.000	0.000	Merged-chr9-8134379-62
NR23761--MA0741.1.KLF16	chr15	86016262	86016272	+	0.000	0.000	Merged-chr15-86016177-43
NR55862--MA0599.1.KLF5	chr6	120539392	120539401	-	0.000	0.000	Merged-chr6-120539283-23
NR70055--MA0741.1.KLF16	chrX	100777198	100777208	+	0.000	0.000	Merged-chrX-100777014-69
NR68372--MA0741.1.KLF16	chr9	107340713	107340723	+	0.000	0.000	Merged-chr9-107340908-4
NR12234--MA0599.1.KLF5	chr11	104001252	104001261	-	0.000	0.000	Merged-chr11-104001412-21
NR22619--MA0741.1.KLF16	chr15	55906998	55907008	+	0.000	0.000	Merged-chr15-55906885-1
NR21621--MA1107.1.KLF9	chr14	118700610	118700622	+	0.000	0.000	Merged-chr14-118700795-2
NR60680--MA0493.1.Klf1	chr7	112679260	112679270	+	0.000	0.000	Merged-chr7-112679423-49
NR164--MA0599.1.KLF5	chr1	20951607	20951616	+	0.000	0.000	Merged-chr1-20951631-56
NR66320--MA0599.1.KLF5	chr9	47530205	47530214	-	0.000	0.000	Merged-chr9-47530154-53
NR62406--MA0742.1.Klf12	chr8	13200679	13200693	-	0.000	0.000	Merged-chr8-13200567-28
NR19833--MA0742.1.Klf12	chr14	34768543	34768557	+	0.000	0.000	Merged-chr14-34768619-7
NR7133--MA1107.1.KLF9	chr10	83898149	83898161	+	0.000	0.000	Merged-chr10-83898059-2
NR69142--MA0599.1.KLF5	chr9	120116454	120116463	-	0.000	0.000	Merged-chr9-120116499-4
NR163--MA1107.1.KLF9	chr1	20912781	20912793	-	0.000	0.000	Merged-chr1-20912686-65
NR23896--MA0741.1.KLF16	chr15	89498796	89498806	+	0.000	0.000	Merged-chr15-89498857-24
NR21613--MA0493.1.Klf1	chr14	118682884	118682894	-	0.000	0.000	Merged-chr14-118682781-56
NR60150--MA0742.1.Klf12	chr7	99267461	99267475	-	0.000	0.000	Merged-chr7-99267525-22
NR62771--MA0599.1.KLF5	chr8	35826522	35826531	+	0.000	0.000	Merged-chr8-35826369-102
NR15499--MA0493.1.Klf1	chr12	108275431	108275441	+	0.000	0.000	Merged-chr12-108275445-64
NR48609--MA0493.1.Klf1	chr5	14514927	14514937	-	0.000	0.000	Merged-chr5-14515082-42
NR6335--MA0741.1.KLF16	chr10	75170741	75170751	-	0.000	0.000	Merged-chr10-75170572-27
NR21626--MA1107.1.KLF9	chr14	118700620	118700632	+	0.000	0.000	Merged-chr14-118700795-2
NR63709--MA0599.1.KLF5	chr8	81881728	81881737	+	0.000	0.000	Merged-chr8-81881786-34
NR56942--MA0039.3.KLF4	chr6	142507799	142507809	+	0.000	0.000	Merged-chr6-142507875-63
NR6444--MA0741.1.KLF16	chr10	76962206	76962216	-	0.000	0.000	Merged-chr10-76962071-59
NR158--MA0742.1.Klf12	chr1	20912779	20912793	-	0.000	0.000	Merged-chr1-20912686-65
NR39408--MA0740.1.KLF14	chr2	168741429	168741442	+	0.000	0.000	Merged-chr2-168741453-11
NR44765--MA0599.1.KLF5	chr4	45530877	45530886	+	0.000	0.000	Merged-chr4-45530813-118
NR11964--MA0599.1.KLF5	chr11	100397824	100397833	+	0.000	0.000	Merged-chr11-100397787-45
NR57555--MA0741.1.KLF16	chr7	3290416	3290426	-	0.000	0.000	Merged-chr7-3290343-35
NR7129--MA1107.1.KLF9	chr10	83898141	83898153	+	0.000	0.000	Merged-chr10-83898059-2
NR59121--MA0599.1.KLF5	chr7	49246034	49246043	+	0.000	0.000	Merged-chr7-49246156-57
NR17581--MA0741.1.KLF16	chr13	73265752	73265762	+	0.000	0.000	Merged-chr13-73265684-17
NR37203--MA0599.1.KLF5	chr2	117335744	117335753	+	0.000	0.000	Merged-chr2-117335736-33
NR66311--MA0742.1.Klf12	chr9	47530144	47530158	+	0.000	0.000	Merged-chr9-47530154-53
NR49829--MA0493.1.Klf1	chr5	74471084	74471094	-	0.000	0.000	Merged-chr5-74471085-11
NR45841--MA0493.1.Klf1	chr4	102908262	102908272	-	0.000	0.000	Merged-chr4-102908208-33
NR5729--MA0493.1.Klf1	chr10	44786596	44786606	+	0.000	0.000	Merged-chr10-44786456-11
NR59867--MA0741.1.KLF16	chr7	90081956	90081966	+	0.000	0.000	Merged-chr7-90081975-11
NR59733--MA0742.1.Klf12	chr7	81454606	81454620	+	0.000	0.000	Merged-chr7-81454544-19
NR33734--MA0493.1.Klf1	chr19	45079937	45079947	-	0.000	0.000	Merged-chr19-45079804-49
NR38328--MA0741.1.KLF16	chr2	147832614	147832624	+	0.000	0.000	Merged-chr2-147832545-2
NR25315--MA0493.1.Klf1	chr16	31066970	31066980	+	0.000	0.000	Merged-chr16-31066889-60
NR45627--MA0599.1.KLF5	chr4	95354206	95354215	+	0.000	0.000	Merged-chr4-95354133-23
NR65319--MA0039.3.KLF4	chr8	125558864	125558874	+	0.000	0.000	Merged-chr8-125558804-33
NR65249--MA0599.1.KLF5	chr8	124434572	124434581	-	0.000	0.000	Merged-chr8-124434522-47
NR33644--MA1107.1.KLF9	chr19	42770731	42770743	-	0.000	0.000	Merged-chr19-42770693-24
NR43464--MA1107.1.KLF9	chr3	145942165	145942177	-	0.000	0.000	Merged-chr3-145942154-31
NR20940--MA0741.1.KLF16	chr14	76165442	76165452	-	0.000	0.000	Merged-chr14-76165391-21
NR46502--MA0599.1.KLF5	chr4	123342953	123342962	+	0.000	0.000	Merged-chr4-123342949-82
NR59737--MA0741.1.KLF16	chr7	81454607	81454617	+	0.000	0.000	Merged-chr7-81454544-19
NR48610--MA0741.1.KLF16	chr5	14514914	14514924	-	0.000	0.000	Merged-chr5-14515082-42
NR1842--MA0741.1.KLF16	chr1	118627883	118627893	+	0.000	0.000	Merged-chr1-118628003-42
NR63968--MA1107.1.KLF9	chr8	87472689	87472701	+	0.000	0.000	Merged-chr8-87472817-24
NR37797--MA0740.1.KLF14	chr2	131955381	131955394	+	0.000	0.000	Merged-chr2-131955415-30
NR60774--MA0742.1.Klf12	chr7	115495322	115495336	+	0.000	0.000	Merged-chr7-115495056-66
NR4903--MA1107.1.KLF9	chr10	5795631	5795643	+	0.000	0.000	Merged-chr10-5795457-7
NR1223--MA0741.1.KLF16	chr1	74807219	74807229	-	0.000	0.000	Merged-chr1-74806913-73
NR43466--MA0742.1.Klf12	chr3	146039641	146039655	-	0.000	0.000	Merged-chr3-146039588-29
NR68576--MA0740.1.KLF14	chr9	110880111	110880124	+	0.000	0.000	Merged-chr9-110880207-47
NR30827--MA0740.1.KLF14	chr18	43492979	43492992	-	0.000	0.000	Merged-chr18-43493033-11
NR48373--MA0599.1.KLF5	chr4	155774592	155774601	+	0.000	0.000	Merged-chr4-155774656-37
NR27712--MA0742.1.Klf12	chr17	27564904	27564918	-	0.000	0.000	Merged-chr17-27564806-2
NR31523--MA0741.1.KLF16	chr18	67967148	67967158	+	0.000	0.000	Merged-chr18-67966986-64
NR39624--MA1107.1.KLF9	chr2	173444618	173444630	+	0.000	0.000	Merged-chr2-173444560-32
NR30832--MA0493.1.Klf1	chr18	43493012	43493022	-	0.000	0.000	Merged-chr18-43493033-11
NR64817--MA0493.1.Klf1	chr8	117855303	117855313	-	0.000	0.000	Merged-chr8-117855395-3
NR39618--MA0740.1.KLF14	chr2	173444556	173444569	+	0.000	0.000	Merged-chr2-173444560-32
NR25373--MA1107.1.KLF9	chr16	32516547	32516559	-	0.000	0.000	Merged-chr16-32516451-30
NR7183--MA0039.3.KLF4	chr10	84897310	84897320	+	0.000	0.000	Merged-chr10-84897526-62
NR66129--MA0599.1.KLF5	chr9	41935883	41935892	-	0.000	0.000	Merged-chr9-41935840-14
NR49329--MA0599.1.KLF5	chr5	44239421	44239430	+	0.000	0.000	Merged-chr5-44239344-7
NR12230--MA0741.1.KLF16	chr11	103808768	103808778	-	0.000	0.000	Merged-chr11-103808730-15
NR27716--MA0741.1.KLF16	chr17	27564907	27564917	-	0.000	0.000	Merged-chr17-27564806-2
NR66473--MA0493.1.Klf1	chr9	54501270	54501280	+	0.000	0.000	Merged-chr9-54501243-1
NR19023--MA0599.1.KLF5	chr13	112801420	112801429	-	0.000	0.000	Merged-chr13-112801565-4
NR7981--MA0493.1.Klf1	chr10	111562892	111562902	+	0.000	0.000	Merged-chr10-111562842-26
NR21373--MA0599.1.KLF5	chr14	103620083	103620092	-	0.000	0.000	Merged-chr14-103620031-34
NR38481--MA0742.1.Klf12	chr2	151748511	151748525	-	0.000	0.000	Merged-chr2-151748481-30
NR53827--MA0742.1.Klf12	chr6	38524010	38524024	-	0.000	0.000	Merged-chr6-38524100-15
NR6319--MA0741.1.KLF16	chr10	74967331	74967341	+	0.000	0.000	Merged-chr10-74967177-57
NR30994--MA0599.1.KLF5	chr18	53418095	53418104	+	0.000	0.000	Merged-chr18-53418017-24
NR41304--MA0599.1.KLF5	chr3	89378611	89378620	-	0.000	0.000	Merged-chr3-89378543-26
NR36715--MA0741.1.KLF16	chr2	93468972	93468982	+	0.000	0.000	Merged-chr2-93469030-22
NR37799--MA0493.1.Klf1	chr2	131955381	131955391	+	0.000	0.000	Merged-chr2-131955415-30
NR38342--MA1107.1.KLF9	chr2	147832633	147832645	+	0.000	0.000	Merged-chr2-147832545-2
NR62405--MA0740.1.KLF14	chr8	13200675	13200688	-	0.000	0.000	Merged-chr8-13200567-28
NR65168--MA1107.1.KLF9	chr8	123163069	123163081	+	0.000	0.000	Merged-chr8-123163099-40
NR19832--MA0740.1.KLF14	chr14	34768543	34768556	+	0.000	0.000	Merged-chr14-34768619-7
NR61127--MA0493.1.Klf1	chr7	125186708	125186718	-	0.000	0.000	Merged-chr7-125186656-23
NR50145--MA1107.1.KLF9	chr5	90640700	90640712	-	0.000	0.000	Merged-chr5-90640561-39
NR65400--MA0741.1.KLF16	chr8	126536325	126536335	+	0.000	0.000	Merged-chr8-126536353-14
NR66474--MA0740.1.KLF14	chr9	54501292	54501305	-	0.000	0.000	Merged-chr9-54501243-1
NR48931--MA0740.1.KLF14	chr5	29195857	29195870	-	0.000	0.000	Merged-chr5-29195906-68
NR30828--MA0657.1.KLF13	chr18	43492976	43492993	-	0.000	0.000	Merged-chr18-43493033-11
NR5412--MA0741.1.KLF16	chr10	34207259	34207269	-	0.000	0.000	Merged-chr10-34207023-88
NR52302--MA0039.3.KLF4	chr5	137425543	137425553	+	0.000	0.000	Merged-chr5-137425710-17
NR48377--MA1107.1.KLF9	chr4	155774591	155774603	+	0.000	0.000	Merged-chr4-155774656-37
NR7977--MA0493.1.Klf1	chr10	111562799	111562809	+	0.000	0.000	Merged-chr10-111562842-26
NR44345--MA0493.1.Klf1	chr4	32932286	32932296	-	0.000	0.000	Merged-chr4-32932259-41
NR9732--MA0599.1.KLF5	chr11	50440049	50440058	-	0.000	0.000	Merged-chr11-50440008-21
NR1022--MA0599.1.KLF5	chr1	66175162	66175171	+	0.000	0.000	Merged-chr1-66175300-68
NR64638--MA1107.1.KLF9	chr8	114506084	114506096	-	0.000	0.000	Merged-chr8-114506190-31
NR30859--MA1107.1.KLF9	chr18	46176133	46176145	+	0.000	0.000	Merged-chr18-46176178-68
NR47829--MA1107.1.KLF9	chr4	148115749	148115761	+	0.000	0.000	Merged-chr4-148115678-7
NR70560--MA0493.1.Klf1	chrX	166239311	166239321	-	0.000	0.000	Merged-chrX-166239352-36
NR39441--MA1107.1.KLF9	chr2	169520065	169520077	-	0.000	0.000	Merged-chr2-169519991-22
