#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval0.3-log2fc0.5_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval0.3-log2fc0.5_dn.bed
NR2495--MA0035.3.Gata1	chr14	66805736	66805746	-	0.000	0.000	Merged-chr14-66805736-29
NR6492--MA0766.1.GATA5	chr6	122334238	122334245	+	0.000	0.000	Merged-chr6-122334221-7
NR3156--MA1104.1.GATA6	chr16	57319937	57319949	+	0.000	0.000	Merged-chr16-57319907-20
NR2441--MA0140.2.GATA1::TAL1	chr14	56816615	56816632	-	0.000	0.000	Merged-chr14-56816759-21
NR848--MA0766.1.GATA5	chr10	79937304	79937311	-	0.000	0.000	Merged-chr10-79937148-47
NR1508--MA1104.1.GATA6	chr12	40427688	40427700	+	0.000	0.000	Merged-chr12-40427719-34
NR6885--MA0766.1.GATA5	chr7	78583904	78583911	+	0.000	0.000	Merged-chr7-78583930-15
NR836--MA1104.1.GATA6	chr10	75417897	75417909	-	0.000	0.000	Merged-chr10-75417748-37
NR2010--MA1104.1.GATA6	chr13	63548592	63548604	+	0.000	0.000	Merged-chr13-63548573-9
NR2676--MA1104.1.GATA6	chr15	5108582	5108594	-	0.000	0.000	Merged-chr15-5108448-64
NR5033--MA1104.1.GATA6	chr3	115704680	115704692	+	0.000	0.000	Merged-chr3-115704719-34
NR3594--MA0140.2.GATA1::TAL1	chr17	84273171	84273188	-	0.000	0.000	Merged-chr17-84273035-23
NR4799--MA0035.3.Gata1	chr3	14869855	14869865	-	0.000	0.000	Merged-chr3-14869878-60
NR6363--MA1104.1.GATA6	chr6	87041202	87041214	+	0.000	0.000	Merged-chr6-87041204-35
NR4284--MA0036.3.GATA2	chr2	70425814	70425824	+	0.000	0.000	Merged-chr2-70425902-24
NR2885--MA0766.1.GATA5	chr15	91616651	91616658	+	0.000	0.000	Merged-chr15-91616695-12
NR4037--MA0035.3.Gata1	chr2	11320205	11320215	-	0.000	0.000	Merged-chr2-11320345-22
NR6743--MA1104.1.GATA6	chr7	19093678	19093690	-	0.000	0.000	Merged-chr7-19093740-100
NR5298--MA1104.1.GATA6	chr4	11404219	11404231	-	0.000	0.000	Merged-chr4-11404244-13
NR2896--MA0140.2.GATA1::TAL1	chr15	93751199	93751216	-	0.000	0.000	Merged-chr15-93751087-35
NR4122--MA0482.1.Gata4	chr2	32857713	32857723	+	0.000	0.000	Merged-chr2-32857854-19
NR1268--MA0482.1.Gata4	chr11	76599251	76599261	-	0.000	0.000	Merged-chr11-76599172-10
NR4425--MA0036.3.GATA2	chr2	106985120	106985130	+	0.000	0.000	Merged-chr2-106985167-21
NR4406--MA0482.1.Gata4	chr2	102039327	102039337	-	0.000	0.000	Merged-chr2-102039537-38
NR4125--MA0035.3.Gata1	chr2	32857712	32857722	+	0.000	0.000	Merged-chr2-32857854-19
NR6262--MA0035.3.Gata1	chr6	54078339	54078349	-	0.000	0.000	Merged-chr6-54078374-21
NR6490--MA0482.1.Gata4	chr6	122334235	122334245	-	0.000	0.000	Merged-chr6-122334221-7
NR3629--MA0037.3.GATA3	chr18	6484970	6484977	-	0.000	0.000	Merged-chr18-6484878-33
NR204--MA0035.3.Gata1	chr1	88578422	88578432	-	0.000	0.000	Merged-chr1-88578300-28
NR381--MA0140.2.GATA1::TAL1	chr1	138449387	138449404	+	0.000	0.000	Merged-chr1-138449346-9
NR3215--MA0037.3.GATA3	chr16	66086702	66086709	-	0.000	0.000	Merged-chr16-66086640-17
NR3726--MA0140.2.GATA1::TAL1	chr18	56504815	56504832	-	0.000	0.000	Merged-chr18-56504783-42
NR6493--MA0035.3.Gata1	chr6	122334236	122334246	-	0.000	0.000	Merged-chr6-122334221-7
NR2718--MA0482.1.Gata4	chr15	25673749	25673759	+	0.000	0.000	Merged-chr15-25673661-24
NR5910--MA0035.3.Gata1	chr5	71903683	71903693	+	0.000	0.000	Merged-chr5-71903621-28
NR7250--MA0037.3.GATA3	chr8	64935135	64935142	-	0.000	0.000	Merged-chr8-64935114-22
NR4855--MA0482.1.Gata4	chr3	55115681	55115691	+	0.000	0.000	Merged-chr3-55115739-6
NR3956--MA0037.3.GATA3	chr19	29418706	29418713	-	0.000	0.000	Merged-chr19-29418635-70
NR7470--MA0036.3.GATA2	chr9	7576785	7576795	-	0.000	0.000	Merged-chr9-7576753-19
NR849--MA0035.3.Gata1	chr10	79937303	79937313	+	0.000	0.000	Merged-chr10-79937148-47
NR1996--MA0766.1.GATA5	chr13	61788293	61788300	-	0.000	0.000	Merged-chr13-61788395-14
NR6886--MA0035.3.Gata1	chr7	78583902	78583912	-	0.000	0.000	Merged-chr7-78583930-15
NR4977--MA0482.1.Gata4	chr3	95666283	95666293	+	0.000	0.000	Merged-chr3-95666288-23
NR6166--MA0036.3.GATA2	chr5	151416829	151416839	+	0.000	0.000	Merged-chr5-151416725-1
NR746--MA1104.1.GATA6	chr10	39764910	39764922	-	0.000	0.000	Merged-chr10-39764888-24
NR1757--MA0766.1.GATA5	chr12	107362207	107362214	+	0.000	0.000	Merged-chr12-107362270-34
NR4123--MA1104.1.GATA6	chr2	32857711	32857723	-	0.000	0.000	Merged-chr2-32857854-19
NR5835--MA0036.3.GATA2	chr5	36140703	36140713	+	0.000	0.000	Merged-chr5-36140594-4
NR1570--MA1104.1.GATA6	chr12	69446042	69446054	+	0.000	0.000	Merged-chr12-69446107-1
NR4324--MA0482.1.Gata4	chr2	84016491	84016501	+	0.000	0.000	Merged-chr2-84016424-23
NR3154--MA0037.3.GATA3	chr16	57319940	57319947	+	0.000	0.000	Merged-chr16-57319907-20
NR3630--MA1104.1.GATA6	chr18	6484968	6484980	-	0.000	0.000	Merged-chr18-6484878-33
NR7289--MA0037.3.GATA3	chr8	81695137	81695144	-	0.000	0.000	Merged-chr8-81695130-10
NR3859--MA0140.2.GATA1::TAL1	chr18	83740741	83740758	-	0.000	0.000	Merged-chr18-83740717-24
NR1506--MA0037.3.GATA3	chr12	40427691	40427698	+	0.000	0.000	Merged-chr12-40427719-34
NR3861--MA0140.2.GATA1::TAL1	chr18	84911834	84911851	+	0.000	0.000	Merged-chr18-84911932-15
NR7255--MA0037.3.GATA3	chr8	69168494	69168501	+	0.000	0.000	Merged-chr8-69168549-18
NR3592--MA0036.3.GATA2	chr17	84241679	84241689	+	0.000	0.000	Merged-chr17-84241728-6
NR6060--MA0482.1.Gata4	chr5	114681319	114681329	-	0.000	0.000	Merged-chr5-114681129-21
NR7616--MA0036.3.GATA2	chr9	52059904	52059914	-	0.000	0.000	Merged-chr9-52059994-13
NR7760--MA0035.3.Gata1	chr9	95113474	95113484	+	0.000	0.000	Merged-chr9-95113538-34
NR2448--MA1104.1.GATA6	chr14	57656686	57656698	-	0.000	0.000	Merged-chr14-57656758-9
NR6361--MA0037.3.GATA3	chr6	87041205	87041212	+	0.000	0.000	Merged-chr6-87041204-35
NR2719--MA1104.1.GATA6	chr15	25673747	25673759	-	0.000	0.000	Merged-chr15-25673661-24
NR3300--MA0482.1.Gata4	chr16	94374312	94374322	+	0.000	0.000	Merged-chr16-94374445-4
NR1620--MA0482.1.Gata4	chr12	82187424	82187434	+	0.000	0.000	Merged-chr12-82187311-20
NR4856--MA1104.1.GATA6	chr3	55115679	55115691	-	0.000	0.000	Merged-chr3-55115739-6
NR6741--MA0037.3.GATA3	chr7	19093680	19093687	-	0.000	0.000	Merged-chr7-19093740-100
NR5296--MA0037.3.GATA3	chr4	11404221	11404228	-	0.000	0.000	Merged-chr4-11404244-13
NR7901--MA0035.3.Gata1	chr9	118512895	118512905	-	0.000	0.000	Merged-chr9-118512920-16
NR5969--MA0140.2.GATA1::TAL1	chr5	92398400	92398417	-	0.000	0.000	Merged-chr5-92398390-31
NR3074--MA0036.3.GATA2	chr16	45093369	45093379	-	0.000	0.000	Merged-chr16-45093384-16
NR1623--MA0035.3.Gata1	chr12	82187423	82187433	+	0.000	0.000	Merged-chr12-82187311-20
NR4978--MA1104.1.GATA6	chr3	95666281	95666293	-	0.000	0.000	Merged-chr3-95666288-23
NR5819--MA0036.3.GATA2	chr5	32488277	32488287	-	0.000	0.000	Merged-chr5-32488180-22
NR7895--MA0035.3.Gata1	chr9	116283894	116283904	+	0.000	0.000	Merged-chr9-116283998-37
NR3292--MA0036.3.GATA2	chr16	92995629	92995639	+	0.000	0.000	Merged-chr16-92995449-20
NR2009--MA0482.1.Gata4	chr13	63548592	63548602	-	0.000	0.000	Merged-chr13-63548573-9
NR1755--MA0482.1.Gata4	chr12	107362204	107362214	-	0.000	0.000	Merged-chr12-107362270-34
NR4325--MA1104.1.GATA6	chr2	84016489	84016501	-	0.000	0.000	Merged-chr2-84016424-23
NR1997--MA0035.3.Gata1	chr13	61788292	61788302	+	0.000	0.000	Merged-chr13-61788395-14
NR3924--MA0482.1.Gata4	chr19	16418579	16418589	+	0.000	0.000	Merged-chr19-16418552-32
NR3704--MA0036.3.GATA2	chr18	46448739	46448749	-	0.000	0.000	Merged-chr18-46448750-18
NR2340--MA0037.3.GATA3	chr14	31401017	31401024	+	0.000	0.000	Merged-chr14-31401139-16
NR5094--MA0036.3.GATA2	chr3	127759488	127759498	+	0.000	0.000	Merged-chr3-127759429-25
NR5480--MA0140.2.GATA1::TAL1	chr4	86725373	86725390	+	0.000	0.000	Merged-chr4-86725378-12
NR6061--MA1104.1.GATA6	chr5	114681319	114681331	+	0.000	0.000	Merged-chr5-114681129-21
NR5721--MA0766.1.GATA5	chr4	150517582	150517589	-	0.000	0.000	Merged-chr4-150517532-35
NR985--MA0036.3.GATA2	chr10	117377487	117377497	+	0.000	0.000	Merged-chr10-117377577-5
NR7853--MA0035.3.Gata1	chr9	105689627	105689637	+	0.000	0.000	Merged-chr9-105689631-24
NR5588--MA0140.2.GATA1::TAL1	chr4	124769246	124769263	-	0.000	0.000	Merged-chr4-124769177-27
NR1365--MA0036.3.GATA2	chr11	106439013	106439023	+	0.000	0.000	Merged-chr11-106438995-31
NR5825--MA0035.3.Gata1	chr5	32950841	32950851	+	0.000	0.000	Merged-chr5-32950856-18
NR3301--MA1104.1.GATA6	chr16	94374310	94374322	-	0.000	0.000	Merged-chr16-94374445-4
NR1621--MA1104.1.GATA6	chr12	82187422	82187434	-	0.000	0.000	Merged-chr12-82187311-20
NR7462--MA0482.1.Gata4	chr9	5311522	5311532	+	0.000	0.000	Merged-chr9-5311572-34
NR3112--MA0035.3.Gata1	chr16	50555184	50555194	+	0.000	0.000	Merged-chr16-50555141-20
NR5572--MA0766.1.GATA5	chr4	120717460	120717467	+	0.000	0.000	Merged-chr4-120717361-2
NR5909--MA0766.1.GATA5	chr5	71903684	71903691	-	0.000	0.000	Merged-chr5-71903621-28
NR3418--MA0140.2.GATA1::TAL1	chr17	26781125	26781142	-	0.000	0.000	Merged-chr17-26781224-26
NR7737--MA0140.2.GATA1::TAL1	chr9	88332668	88332685	-	0.000	0.000	Merged-chr9-88332643-26
NR1245--MA0766.1.GATA5	chr11	70265525	70265532	-	0.000	0.000	Merged-chr11-70265494-15
NR1312--MA0482.1.Gata4	chr11	94370970	94370980	-	0.000	0.000	Merged-chr11-94371007-27
NR5718--MA0482.1.Gata4	chr4	150517582	150517592	+	0.000	0.000	Merged-chr4-150517532-35
NR5171--MA0766.1.GATA5	chr3	139024692	139024699	-	0.000	0.000	Merged-chr3-139024771-15
NR4840--MA0766.1.GATA5	chr3	37738511	37738518	+	0.000	0.000	Merged-chr3-37738517-40
NR1658--MA0140.2.GATA1::TAL1	chr12	87442641	87442658	-	0.000	0.000	Merged-chr12-87442765-7
NR1756--MA1104.1.GATA6	chr12	107362204	107362216	+	0.000	0.000	Merged-chr12-107362270-34
NR1315--MA0035.3.Gata1	chr11	95379180	95379190	+	0.000	0.000	Merged-chr11-95379150-8
NR4619--MA0482.1.Gata4	chr2	144941394	144941404	-	0.000	0.000	Merged-chr2-144941527-10
NR1476--MA0766.1.GATA5	chr12	28589598	28589605	-	0.000	0.000	Merged-chr12-28589573-34
NR991--MA0035.3.Gata1	chr10	117377579	117377589	+	0.000	0.000	Merged-chr10-117377577-5
NR3925--MA1104.1.GATA6	chr19	16418577	16418589	-	0.000	0.000	Merged-chr19-16418552-32
NR5883--MA0482.1.Gata4	chr5	63768124	63768134	+	0.000	0.000	Merged-chr5-63767981-25
NR7624--MA0766.1.GATA5	chr9	57866816	57866823	-	0.000	0.000	Merged-chr9-57866692-28
NR7943--MA0482.1.Gata4	chrX	37141895	37141905	-	0.000	0.000	Merged-chrX-37141960-22
NR5163--MA0766.1.GATA5	chr3	138008344	138008351	+	0.000	0.000	Merged-chr3-138008366-30
NR82--MA1104.1.GATA6	chr1	54179553	54179565	+	0.000	0.000	Merged-chr1-54179404-9
NR7226--MA0140.2.GATA1::TAL1	chr8	46859565	46859582	+	0.000	0.000	Merged-chr8-46859659-64
NR1844--MA1104.1.GATA6	chr12	117679066	117679078	-	0.000	0.000	Merged-chr12-117679056-43
NR3406--MA0766.1.GATA5	chr17	18462930	18462937	-	0.000	0.000	Merged-chr17-18462916-14
NR3110--MA1104.1.GATA6	chr16	50555183	50555195	-	0.000	0.000	Merged-chr16-50555141-20
NR5220--MA0035.3.Gata1	chr3	146192716	146192726	-	0.000	0.000	Merged-chr3-146192596-55
NR1569--MA0482.1.Gata4	chr12	69446042	69446052	-	0.000	0.000	Merged-chr12-69446107-1
NR5294--MA1104.1.GATA6	chr4	6881074	6881086	+	0.000	0.000	Merged-chr4-6881171-35
NR3696--MA0035.3.Gata1	chr18	46013366	46013376	-	0.000	0.000	Merged-chr18-46013388-48
NR2884--MA0036.3.GATA2	chr15	91616649	91616659	-	0.000	0.000	Merged-chr15-91616695-12
NR7759--MA0766.1.GATA5	chr9	95113475	95113482	-	0.000	0.000	Merged-chr9-95113538-34
NR7463--MA1104.1.GATA6	chr9	5311520	5311532	-	0.000	0.000	Merged-chr9-5311572-34
NR199--MA0037.3.GATA3	chr1	88578424	88578431	+	0.000	0.000	Merged-chr1-88578300-28
NR1262--MA0036.3.GATA2	chr11	75836223	75836233	-	0.000	0.000	Merged-chr11-75835904-47
NR2764--MA0766.1.GATA5	chr15	41429629	41429636	+	0.000	0.000	Merged-chr15-41429607-8
NR1313--MA1104.1.GATA6	chr11	95379179	95379191	-	0.000	0.000	Merged-chr11-95379150-8
NR5222--MA0482.1.Gata4	chr3	146699130	146699140	+	0.000	0.000	Merged-chr3-146699153-10
NR7292--MA0766.1.GATA5	chr8	81695137	81695144	-	0.000	0.000	Merged-chr8-81695130-10
NR5474--MA0482.1.Gata4	chr4	86725372	86725382	+	0.000	0.000	Merged-chr4-86725378-12
NR5719--MA1104.1.GATA6	chr4	150517580	150517592	-	0.000	0.000	Merged-chr4-150517532-35
NR2940--MA0482.1.Gata4	chr16	4762246	4762256	-	0.000	0.000	Merged-chr16-4762365-8
NR2720--MA0036.3.GATA2	chr15	25673748	25673758	+	0.000	0.000	Merged-chr15-25673661-24
NR5777--MA0036.3.GATA2	chr5	20009984	20009994	+	0.000	0.000	Merged-chr5-20010277-12
NR2750--MA0140.2.GATA1::TAL1	chr15	36440104	36440121	-	0.000	0.000	Merged-chr15-36440213-15
NR6813--MA0035.3.Gata1	chr7	37490502	37490512	+	0.000	0.000	Merged-chr7-37490614-68
NR2743--MA0766.1.GATA5	chr15	36375104	36375111	+	0.000	0.000	Merged-chr15-36375084-60
NR1246--MA0035.3.Gata1	chr11	70265524	70265534	+	0.000	0.000	Merged-chr11-70265494-15
NR2943--MA0035.3.Gata1	chr16	4762247	4762257	-	0.000	0.000	Merged-chr16-4762365-8
NR5884--MA1104.1.GATA6	chr5	63768122	63768134	-	0.000	0.000	Merged-chr5-63767981-25
NR5172--MA0035.3.Gata1	chr3	139024691	139024701	+	0.000	0.000	Merged-chr3-139024771-15
NR7898--MA0035.3.Gata1	chr9	118272889	118272899	-	0.000	0.000	Merged-chr9-118272859-65
NR3694--MA1104.1.GATA6	chr18	46013365	46013377	+	0.000	0.000	Merged-chr18-46013388-48
NR3218--MA0036.3.GATA2	chr16	66086701	66086711	+	0.000	0.000	Merged-chr16-66086640-17
NR1477--MA0035.3.Gata1	chr12	28589597	28589607	+	0.000	0.000	Merged-chr12-28589573-34
NR3608--MA0766.1.GATA5	chr17	87036797	87036804	+	0.000	0.000	Merged-chr17-87036710-20
NR7221--MA0482.1.Gata4	chr8	46859564	46859574	+	0.000	0.000	Merged-chr8-46859659-64
NR420--MA0482.1.Gata4	chr1	150465598	150465608	-	0.000	0.000	Merged-chr1-150465561-21
NR4820--MA0035.3.Gata1	chr3	28318056	28318066	+	0.000	0.000	Merged-chr3-28318064-9
NR1993--MA0037.3.GATA3	chr13	61788293	61788300	-	0.000	0.000	Merged-chr13-61788395-14
NR4952--MA0482.1.Gata4	chr3	84570697	84570707	+	0.000	0.000	Merged-chr3-84570776-21
NR7614--MA0482.1.Gata4	chr9	52059903	52059913	-	0.000	0.000	Merged-chr9-52059994-13
NR3035--MA0036.3.GATA2	chr16	36602847	36602857	+	0.000	0.000	Merged-chr16-36602811-38
NR1754--MA0037.3.GATA3	chr12	107362207	107362214	+	0.000	0.000	Merged-chr12-107362270-34
NR5223--MA1104.1.GATA6	chr3	146699128	146699140	-	0.000	0.000	Merged-chr3-146699153-10
NR5475--MA1104.1.GATA6	chr4	86725370	86725382	-	0.000	0.000	Merged-chr4-86725378-12
NR2762--MA0482.1.Gata4	chr15	41429626	41429636	-	0.000	0.000	Merged-chr15-41429607-8
NR2941--MA1104.1.GATA6	chr16	4762246	4762258	+	0.000	0.000	Merged-chr16-4762365-8
NR7290--MA0482.1.Gata4	chr8	81695137	81695147	+	0.000	0.000	Merged-chr8-81695130-10
NR3923--MA0037.3.GATA3	chr19	16418579	16418586	-	0.000	0.000	Merged-chr19-16418552-32
NR3157--MA0036.3.GATA2	chr16	57319938	57319948	-	0.000	0.000	Merged-chr16-57319907-20
NR7617--MA0035.3.Gata1	chr9	52059904	52059914	-	0.000	0.000	Merged-chr9-52059994-13
NR4812--MA0035.3.Gata1	chr3	27067359	27067369	+	0.000	0.000	Merged-chr3-27067455-6
NR7098--MA0482.1.Gata4	chr7	142967346	142967356	-	0.000	0.000	Merged-chr7-142967366-1
NR3072--MA0482.1.Gata4	chr16	45093368	45093378	-	0.000	0.000	Merged-chr16-45093384-16
NR2765--MA0035.3.Gata1	chr15	41429627	41429637	-	0.000	0.000	Merged-chr15-41429607-8
NR5817--MA0482.1.Gata4	chr5	32488276	32488286	-	0.000	0.000	Merged-chr5-32488180-22
NR1509--MA0036.3.GATA2	chr12	40427689	40427699	-	0.000	0.000	Merged-chr12-40427719-34
NR306--MA0035.3.Gata1	chr1	118403837	118403847	+	0.000	0.000	Merged-chr1-118403887-21
NR1838--MA0482.1.Gata4	chr12	116932355	116932365	+	0.000	0.000	Merged-chr12-116932315-2
NR2526--MA0035.3.Gata1	chr14	74889136	74889146	+	0.000	0.000	Merged-chr14-74889136-25
NR6068--MA0140.2.GATA1::TAL1	chr5	115532261	115532278	-	0.000	0.000	Merged-chr5-115532166-6
NR7054--MA0035.3.Gata1	chr7	127083789	127083799	+	0.000	0.000	Merged-chr7-127083805-15
NR837--MA0036.3.GATA2	chr10	75417898	75417908	+	0.000	0.000	Merged-chr10-75417748-37
NR2011--MA0036.3.GATA2	chr13	63548593	63548603	-	0.000	0.000	Merged-chr13-63548573-9
NR2677--MA0036.3.GATA2	chr15	5108583	5108593	+	0.000	0.000	Merged-chr15-5108448-64
NR3075--MA0035.3.Gata1	chr16	45093369	45093379	-	0.000	0.000	Merged-chr16-45093384-16
NR7256--MA1104.1.GATA6	chr8	69168491	69168503	+	0.000	0.000	Merged-chr8-69168549-18
NR2887--MA0035.3.Gata1	chr15	91616649	91616659	-	0.000	0.000	Merged-chr15-91616695-12
NR2744--MA0035.3.Gata1	chr15	36375102	36375112	-	0.000	0.000	Merged-chr15-36375084-60
NR7461--MA0037.3.GATA3	chr9	5311522	5311529	-	0.000	0.000	Merged-chr9-5311572-34
NR4135--MA0140.2.GATA1::TAL1	chr2	35504137	35504154	-	0.000	0.000	Merged-chr2-35504243-4
NR5162--MA0037.3.GATA3	chr3	138008344	138008351	+	0.000	0.000	Merged-chr3-138008366-30
NR7222--MA1104.1.GATA6	chr8	46859562	46859574	-	0.000	0.000	Merged-chr8-46859659-64
NR421--MA1104.1.GATA6	chr1	150465598	150465610	+	0.000	0.000	Merged-chr1-150465561-21
NR3405--MA0037.3.GATA3	chr17	18462930	18462937	-	0.000	0.000	Merged-chr17-18462916-14
NR6364--MA0036.3.GATA2	chr6	87041203	87041213	-	0.000	0.000	Merged-chr6-87041204-35
NR5299--MA0036.3.GATA2	chr4	11404220	11404230	+	0.000	0.000	Merged-chr4-11404244-13
NR5717--MA0037.3.GATA3	chr4	150517582	150517589	-	0.000	0.000	Merged-chr4-150517532-35
NR983--MA0482.1.Gata4	chr10	117377488	117377498	+	0.000	0.000	Merged-chr10-117377577-5
NR264--MA0140.2.GATA1::TAL1	chr1	106204160	106204177	-	0.000	0.000	Merged-chr1-106204081-15
NR4953--MA1104.1.GATA6	chr3	84570695	84570707	-	0.000	0.000	Merged-chr3-84570776-21
NR7615--MA1104.1.GATA6	chr9	52059903	52059915	+	0.000	0.000	Merged-chr9-52059994-13
NR2975--MA0035.3.Gata1	chr16	10676897	10676907	-	0.000	0.000	Merged-chr16-10676780-15
NR5095--MA0035.3.Gata1	chr3	127759488	127759498	+	0.000	0.000	Merged-chr3-127759429-25
NR2746--MA0482.1.Gata4	chr15	36440112	36440122	-	0.000	0.000	Merged-chr15-36440213-15
NR2976--MA0140.2.GATA1::TAL1	chr16	10676888	10676905	-	0.000	0.000	Merged-chr16-10676780-15
NR3010--MA0140.2.GATA1::TAL1	chr16	24859766	24859783	-	0.000	0.000	Merged-chr16-24859863-8
NR3109--MA0482.1.Gata4	chr16	50555185	50555195	+	0.000	0.000	Merged-chr16-50555141-20
NR4621--MA0035.3.Gata1	chr2	144941395	144941405	-	0.000	0.000	Merged-chr2-144941527-10
NR377--MA0482.1.Gata4	chr1	137075020	137075030	+	0.000	0.000	Merged-chr1-137074990-14
NR5882--MA0037.3.GATA3	chr5	63768124	63768131	-	0.000	0.000	Merged-chr5-63767981-25
NR3327--MA0482.1.Gata4	chr17	3246827	3246837	-	0.000	0.000	Merged-chr17-3246798-10
NR7099--MA1104.1.GATA6	chr7	142967346	142967358	+	0.000	0.000	Merged-chr7-142967366-1
