#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval0.3-log2fc0.5_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval0.3-log2fc0.5_dn.bed
NR47678--MA0599.1.KLF5	chr4	132749054	132749063	-	0.000	0.000	Merged-chr4-132748989-25
NR65236--MA0740.1.KLF14	chr8	70072680	70072693	-	0.000	0.000	Merged-chr8-70072773-24
NR57478--MA0742.1.Klf12	chr6	125067855	125067869	-	0.000	0.000	Merged-chr6-125067765-41
NR12393--MA0740.1.KLF14	chr11	104631542	104631555	-	0.000	0.000	Merged-chr11-104631492-24
NR20560--MA1107.1.KLF9	chr14	59397080	59397092	-	0.000	0.000	Merged-chr14-59397210-50
NR52700--MA0740.1.KLF14	chr5	124629054	124629067	-	0.000	0.000	Merged-chr5-124629076-75
NR53223--MA0493.1.Klf1	chr5	134393838	134393848	-	0.000	0.000	Merged-chr5-134393835-14
NR12250--MA0740.1.KLF14	chr11	101984795	101984808	-	0.000	0.000	Merged-chr11-101984579-31
NR48413--MA0657.1.KLF13	chr4	141862226	141862243	+	0.000	0.000	Merged-chr4-141862091-43
NR34005--MA0039.3.KLF4	chr19	43809536	43809546	+	0.000	0.000	Merged-chr19-43809499-23
NR57180--MA0599.1.KLF5	chr6	119199111	119199120	+	0.000	0.000	Merged-chr6-119199024-52
NR42745--MA0740.1.KLF14	chr3	115692526	115692539	+	0.000	0.000	Merged-chr3-115692552-34
NR1057--MA1107.1.KLF9	chr1	66932105	66932117	+	0.000	0.000	Merged-chr1-66932043-30
NR27016--MA0039.3.KLF4	chr16	91588233	91588243	+	0.000	0.000	Merged-chr16-91588038-25
NR27015--MA0742.1.Klf12	chr16	91588231	91588245	+	0.000	0.000	Merged-chr16-91588038-25
NR51961--MA0493.1.Klf1	chr5	112239776	112239786	-	0.000	0.000	Merged-chr5-112239781-12
NR7830--MA0599.1.KLF5	chr10	95299983	95299992	-	0.000	0.000	Merged-chr10-95299831-73
NR28488--MA0599.1.KLF5	chr17	31077832	31077841	-	0.000	0.000	Merged-chr17-31077750-28
NR32991--MA0657.1.KLF13	chr19	5273108	5273125	-	0.000	0.000	Merged-chr19-5273188-67
NR5976--MA1107.1.KLF9	chr10	54040788	54040800	+	0.000	0.000	Merged-chr10-54040975-1
NR22459--MA0741.1.KLF16	chr15	25884683	25884693	-	0.000	0.000	Merged-chr15-25884835-36
NR55559--MA0742.1.Klf12	chr6	54925959	54925973	+	0.000	0.000	Merged-chr6-54926058-40
NR25544--MA1107.1.KLF9	chr16	20622573	20622585	-	0.000	0.000	Merged-chr16-20622479-9
NR33648--MA0741.1.KLF16	chr19	31337344	31337354	-	0.000	0.000	Merged-chr19-31337298-1
NR41033--MA0741.1.KLF16	chr3	52677349	52677359	+	0.000	0.000	Merged-chr3-52677309-55
NR4264--MA0741.1.KLF16	chr1	180813601	180813611	+	0.000	0.000	Merged-chr1-180813654-113
NR13136--MA0740.1.KLF14	chr11	119041137	119041150	-	0.000	0.000	Merged-chr11-119041092-76
NR70843--MA0599.1.KLF5	chr9	110641166	110641175	+	0.000	0.000	Merged-chr9-110641188-21
NR11998--MA0741.1.KLF16	chr11	98358337	98358347	-	0.000	0.000	Merged-chr11-98358396-75
NR29199--MA0742.1.Klf12	chr17	47221305	47221319	+	0.000	0.000	Merged-chr17-47221287-27
NR33642--MA0599.1.KLF5	chr19	31337334	31337343	-	0.000	0.000	Merged-chr19-31337298-1
NR56944--MA0740.1.KLF14	chr6	113655252	113655265	+	0.000	0.000	Merged-chr6-113655068-39
NR70815--MA1107.1.KLF9	chr9	110229699	110229711	-	0.000	0.000	Merged-chr9-110229688-19
NR61787--MA0742.1.Klf12	chr7	101634554	101634568	-	0.000	0.000	Merged-chr7-101634721-37
NR10278--MA0657.1.KLF13	chr11	55131241	55131258	+	0.000	0.000	Merged-chr11-55131266-10
NR66894--MA1107.1.KLF9	chr8	117052563	117052575	-	0.000	0.000	Merged-chr8-117052612-3
NR40724--MA1107.1.KLF9	chr3	32438011	32438023	-	0.000	0.000	Merged-chr3-32438051-51
NR58382--MA0599.1.KLF5	chr6	142571414	142571423	-	0.000	0.000	Merged-chr6-142571386-44
NR42799--MA0742.1.Klf12	chr3	116487881	116487895	+	0.000	0.000	Merged-chr3-116487886-17
NR53479--MA0599.1.KLF5	chr5	137189636	137189645	+	0.000	0.000	Merged-chr5-137189571-38
NR9203--MA1107.1.KLF9	chr11	4823897	4823909	+	0.000	0.000	Merged-chr11-4823993-46
NR47686--MA1107.1.KLF9	chr4	132749052	132749064	-	0.000	0.000	Merged-chr4-132748989-25
NR8445--MA0493.1.Klf1	chr10	118469220	118469230	-	0.000	0.000	Merged-chr10-118469177-44
NR61790--MA0493.1.Klf1	chr7	101634655	101634665	+	0.000	0.000	Merged-chr7-101634721-37
NR39155--MA1107.1.KLF9	chr2	156878024	156878036	+	0.000	0.000	Merged-chr2-156878033-50
NR9315--MA1107.1.KLF9	chr11	6410289	6410301	-	0.000	0.000	Merged-chr11-6410402-18
NR35275--MA0741.1.KLF16	chr2	25170653	25170663	-	0.000	0.000	Merged-chr2-25170502-21
NR20565--MA1107.1.KLF9	chr14	59397268	59397280	-	0.000	0.000	Merged-chr14-59397210-50
NR32470--MA0741.1.KLF16	chr18	80200699	80200709	-	0.000	0.000	Merged-chr18-80200692-56
NR65467--MA0740.1.KLF14	chr8	71665701	71665714	-	0.000	0.000	Merged-chr8-71665590-47
NR47924--MA0740.1.KLF14	chr4	135168038	135168051	+	0.000	0.000	Merged-chr4-135168211-13
NR12926--MA0599.1.KLF5	chr11	116138899	116138908	+	0.000	0.000	Merged-chr11-116138884-66
NR38195--MA1107.1.KLF9	chr2	128470342	128470354	-	0.000	0.000	Merged-chr2-128470524-44
NR58740--MA0742.1.Klf12	chr7	3290413	3290427	-	0.000	0.000	Merged-chr7-3290343-35
NR28833--MA0599.1.KLF5	chr17	35706103	35706112	-	0.000	0.000	Merged-chr17-35706172-14
NR23715--MA0599.1.KLF5	chr15	78928232	78928241	+	0.000	0.000	Merged-chr15-78928209-40
NR61218--MA0599.1.KLF5	chr7	80803304	80803313	+	0.000	0.000	Merged-chr7-80803211-85
NR67288--MA0741.1.KLF16	chr8	123065735	123065745	-	0.000	0.000	Merged-chr8-123065416-88
NR47491--MA0740.1.KLF14	chr4	129696177	129696190	+	0.000	0.000	Merged-chr4-129696167-1
NR67305--MA0599.1.KLF5	chr8	123411506	123411515	-	0.000	0.000	Merged-chr8-123411565-31
NR52053--MA0493.1.Klf1	chr5	113842509	113842519	-	0.000	0.000	Merged-chr5-113842401-77
NR12165--MA0741.1.KLF16	chr11	100622944	100622954	+	0.000	0.000	Merged-chr11-100622972-47
NR452--MA0741.1.KLF16	chr1	37541068	37541078	+	0.000	0.000	Merged-chr1-37541062-55
NR28945--MA0599.1.KLF5	chr17	37046869	37046878	+	0.000	0.000	Merged-chr17-37046853-1
NR12277--MA0599.1.KLF5	chr11	102284778	102284787	-	0.000	0.000	Merged-chr11-102284938-63
NR41972--MA0599.1.KLF5	chr3	95231436	95231445	+	0.000	0.000	Merged-chr3-95231368-38
NR48166--MA0742.1.Klf12	chr4	138216470	138216484	+	0.000	0.000	Merged-chr4-138216401-6
NR8696--MA0493.1.Klf1	chr10	122976231	122976241	+	0.000	0.000	Merged-chr10-122976254-31
NR5771--MA0493.1.Klf1	chr10	42269337	42269347	-	0.000	0.000	Merged-chr10-42269495-58
NR22088--MA0599.1.KLF5	chr14	121422825	121422834	+	0.000	0.000	Merged-chr14-121422910-45
NR11881--MA0599.1.KLF5	chr11	97133497	97133506	+	0.000	0.000	Merged-chr11-97133494-13
NR57479--MA0039.3.KLF4	chr6	125067857	125067867	-	0.000	0.000	Merged-chr6-125067765-41
NR13021--MA1107.1.KLF9	chr11	117299871	117299883	-	0.000	0.000	Merged-chr11-117299965-22
NR61149--MA0657.1.KLF13	chr7	80123325	80123342	+	0.000	0.000	Merged-chr7-80123359-34
NR40818--MA0039.3.KLF4	chr3	37281183	37281193	+	0.000	0.000	Merged-chr3-37281103-32
NR65237--MA0657.1.KLF13	chr8	70072677	70072694	-	0.000	0.000	Merged-chr8-70072773-24
NR69055--MA0599.1.KLF5	chr9	61681157	61681166	-	0.000	0.000	Merged-chr9-61681164-50
NR34020--MA0741.1.KLF16	chr19	44146473	44146483	+	0.000	0.000	Merged-chr19-44146311-57
NR39596--MA0740.1.KLF14	chr2	166786850	166786863	-	0.000	0.000	Merged-chr2-166786664-60
NR30600--MA1107.1.KLF9	chr17	86958068	86958080	+	0.000	0.000	Merged-chr17-86958132-38
NR22133--MA0741.1.KLF16	chr14	122187050	122187060	+	0.000	0.000	Merged-chr14-122187060-26
NR61222--MA0493.1.Klf1	chr7	80803322	80803332	+	0.000	0.000	Merged-chr7-80803211-85
NR15887--MA0599.1.KLF5	chr12	113155101	113155110	-	0.000	0.000	Merged-chr12-113155292-10
NR69167--MA0599.1.KLF5	chr9	64789696	64789705	-	0.000	0.000	Merged-chr9-64789537-48
NR24270--MA0741.1.KLF16	chr15	89315386	89315396	+	0.000	0.000	Merged-chr15-89315348-55
NR44672--MA1107.1.KLF9	chr4	20033081	20033093	+	0.000	0.000	Merged-chr4-20033263-40
NR50446--MA1107.1.KLF9	chr5	54111079	54111091	+	0.000	0.000	Merged-chr5-54110931-21
NR29031--MA1107.1.KLF9	chr17	44690580	44690592	+	0.000	0.000	Merged-chr17-44690721-49
NR18906--MA0599.1.KLF5	chr13	117223260	117223269	+	0.000	0.000	Merged-chr13-117223399-24
NR38201--MA0599.1.KLF5	chr2	128470719	128470728	-	0.000	0.000	Merged-chr2-128470524-44
NR47710--MA0599.1.KLF5	chr4	132808293	132808302	-	0.000	0.000	Merged-chr4-132808337-17
NR3013--MA0039.3.KLF4	chr1	151582158	151582168	-	0.000	0.000	Merged-chr1-151582085-10
NR54289--MA0741.1.KLF16	chr5	149246294	149246304	+	0.000	0.000	Merged-chr5-149246178-51
NR57193--MA1107.1.KLF9	chr6	119199104	119199116	+	0.000	0.000	Merged-chr6-119199024-52
NR16266--MA0741.1.KLF16	chr13	19139322	19139332	+	0.000	0.000	Merged-chr13-19139213-36
NR67341--MA0599.1.KLF5	chr8	124085801	124085810	+	0.000	0.000	Merged-chr8-124085760-17
NR13190--MA0741.1.KLF16	chr11	120378811	120378821	-	0.000	0.000	Merged-chr11-120378748-57
NR63854--MA0493.1.Klf1	chr7	143724047	143724057	-	0.000	0.000	Merged-chr7-143724096-15
NR65487--MA1107.1.KLF9	chr8	71665749	71665761	-	0.000	0.000	Merged-chr8-71665590-47
NR40859--MA1107.1.KLF9	chr3	38497310	38497322	+	0.000	0.000	Merged-chr3-38497155-35
NR39630--MA1107.1.KLF9	chr2	167313855	167313867	+	0.000	0.000	Merged-chr2-167313855-44
NR48800--MA0599.1.KLF5	chr4	150894669	150894678	+	0.000	0.000	Merged-chr4-150894695-19
NR17344--MA0741.1.KLF16	chr13	63189566	63189576	-	0.000	0.000	Merged-chr13-63189715-33
NR32471--MA1107.1.KLF9	chr18	80200698	80200710	-	0.000	0.000	Merged-chr18-80200692-56
NR61151--MA0599.1.KLF5	chr7	80123327	80123336	+	0.000	0.000	Merged-chr7-80123359-34
NR9123--MA1107.1.KLF9	chr11	3539330	3539342	+	0.000	0.000	Merged-chr11-3539398-47
NR15530--MA0742.1.Klf12	chr12	107961261	107961275	+	0.000	0.000	Merged-chr12-107961222-28
NR72583--MA0039.3.KLF4	chrX	140505991	140506001	+	0.000	0.000	Merged-chrX-140506133-71
NR12112--MA0740.1.KLF14	chr11	99230457	99230470	+	0.000	0.000	Merged-chr11-99230573-70
NR69028--MA0493.1.Klf1	chr9	60998295	60998305	-	0.000	0.000	Merged-chr9-60998373-9
NR58418--MA0742.1.Klf12	chr6	142862374	142862388	-	0.000	0.000	Merged-chr6-142862347-56
NR26666--MA1107.1.KLF9	chr16	75909028	75909040	-	0.000	0.000	Merged-chr16-75909090-59
NR65239--MA0741.1.KLF16	chr8	70072682	70072692	-	0.000	0.000	Merged-chr8-70072773-24
NR50024--MA0741.1.KLF16	chr5	35176593	35176603	+	0.000	0.000	Merged-chr5-35176446-65
NR57178--MA0742.1.Klf12	chr6	119199104	119199118	+	0.000	0.000	Merged-chr6-119199024-52
NR50022--MA0599.1.KLF5	chr5	35176593	35176602	+	0.000	0.000	Merged-chr5-35176446-65
NR26766--MA0742.1.Klf12	chr16	78537697	78537711	-	0.000	0.000	Merged-chr16-78537818-67
NR42801--MA0039.3.KLF4	chr3	116487883	116487893	+	0.000	0.000	Merged-chr3-116487886-17
NR37955--MA0742.1.Klf12	chr2	121008287	121008301	-	0.000	0.000	Merged-chr2-121008420-56
NR12364--MA0740.1.KLF14	chr11	103360399	103360412	-	0.000	0.000	Merged-chr11-103360491-36
NR8397--MA0599.1.KLF5	chr10	117861085	117861094	-	0.000	0.000	Merged-chr10-117861044-50
NR749--MA0741.1.KLF16	chr1	52578382	52578392	+	0.000	0.000	Merged-chr1-52578518-39
NR51721--MA0741.1.KLF16	chr5	105616215	105616225	-	0.000	0.000	Merged-chr5-105616345-34
NR13017--MA1107.1.KLF9	chr11	117299863	117299875	-	0.000	0.000	Merged-chr11-117299965-22
NR41038--MA0741.1.KLF16	chr3	52732160	52732170	+	0.000	0.000	Merged-chr3-52732187-17
NR13222--MA0741.1.KLF16	chr11	120643757	120643767	+	0.000	0.000	Merged-chr11-120643689-55
NR62790--MA0039.3.KLF4	chr7	127181052	127181062	+	0.000	0.000	Merged-chr7-127180997-43
NR57632--MA1107.1.KLF9	chr6	127575255	127575267	+	0.000	0.000	Merged-chr6-127575169-36
NR68068--MA0493.1.Klf1	chr9	25186658	25186668	+	0.000	0.000	Merged-chr9-25186654-66
NR57185--MA0493.1.Klf1	chr6	119199104	119199114	+	0.000	0.000	Merged-chr6-119199024-52
NR54159--MA0741.1.KLF16	chr5	146675279	146675289	+	0.000	0.000	Merged-chr5-146675414-29
NR24831--MA1107.1.KLF9	chr15	101147300	101147312	+	0.000	0.000	Merged-chr15-101147362-18
NR2717--MA0741.1.KLF16	chr1	136707542	136707552	-	0.000	0.000	Merged-chr1-136707647-26
NR65468--MA0657.1.KLF13	chr8	71665698	71665715	-	0.000	0.000	Merged-chr8-71665590-47
NR50683--MA0039.3.KLF4	chr5	64864852	64864862	+	0.000	0.000	Merged-chr5-64864889-25
NR54161--MA1107.1.KLF9	chr5	146675278	146675290	+	0.000	0.000	Merged-chr5-146675414-29
NR47925--MA0657.1.KLF13	chr4	135168037	135168054	+	0.000	0.000	Merged-chr4-135168211-13
NR12473--MA0740.1.KLF14	chr11	106193504	106193517	+	0.000	0.000	Merged-chr11-106193514-84
NR66923--MA0599.1.KLF5	chr8	117481972	117481981	-	0.000	0.000	Merged-chr8-117482001-12
NR31145--MA0741.1.KLF16	chr18	32939287	32939297	-	0.000	0.000	Merged-chr18-32939306-98
NR13331--MA0741.1.KLF16	chr11	121848129	121848139	-	0.000	0.000	Merged-chr11-121848040-41
NR28412--MA0742.1.Klf12	chr17	29304612	29304626	-	0.000	0.000	Merged-chr17-29304449-24
NR13730--MA0599.1.KLF5	chr12	25155530	25155539	-	0.000	0.000	Merged-chr12-25155613-40
NR39622--MA0493.1.Klf1	chr2	167313810	167313820	+	0.000	0.000	Merged-chr2-167313855-44
NR8466--MA0741.1.KLF16	chr10	118884343	118884353	-	0.000	0.000	Merged-chr10-118884259-20
NR58738--MA0740.1.KLF14	chr7	3290414	3290427	-	0.000	0.000	Merged-chr7-3290343-35
NR63523--MA0493.1.Klf1	chr7	139169314	139169324	+	0.000	0.000	Merged-chr7-139169350-23
NR52640--MA0493.1.Klf1	chr5	124032287	124032297	+	0.000	0.000	Merged-chr5-124032239-28
NR36183--MA0741.1.KLF16	chr2	52319512	52319522	-	0.000	0.000	Merged-chr2-52319482-58
NR42479--MA0039.3.KLF4	chr3	104780692	104780702	+	0.000	0.000	Merged-chr3-104780834-109
NR2828--MA0039.3.KLF4	chr1	143319643	143319653	+	0.000	0.000	Merged-chr1-143319719-34
NR12275--MA0742.1.Klf12	chr11	102284766	102284780	+	0.000	0.000	Merged-chr11-102284938-63
NR68888--MA0599.1.KLF5	chr9	57339968	57339977	-	0.000	0.000	Merged-chr9-57339944-60
NR23713--MA0741.1.KLF16	chr15	78923754	78923764	-	0.000	0.000	Merged-chr15-78923681-44
NR39541--MA0740.1.KLF14	chr2	165983253	165983266	-	0.000	0.000	Merged-chr2-165983267-1
NR21015--MA0740.1.KLF14	chr14	74646345	74646358	-	0.000	0.000	Merged-chr14-74646498-47
NR16739--MA1107.1.KLF9	chr13	43250874	43250886	+	0.000	0.000	Merged-chr13-43250604-89
NR47494--MA0039.3.KLF4	chr4	129696179	129696189	+	0.000	0.000	Merged-chr4-129696167-1
NR32475--MA0741.1.KLF16	chr18	80200733	80200743	-	0.000	0.000	Merged-chr18-80200692-56
NR62787--MA0493.1.Klf1	chr7	127144673	127144683	+	0.000	0.000	Merged-chr7-127144596-50
NR61280--MA1107.1.KLF9	chr7	81860870	81860882	+	0.000	0.000	Merged-chr7-81860726-21
NR23116--MA0742.1.Klf12	chr15	60120104	60120118	-	0.000	0.000	Merged-chr15-60120172-38
NR13053--MA1107.1.KLF9	chr11	117611237	117611249	+	0.000	0.000	Merged-chr11-117611199-52
NR54291--MA1107.1.KLF9	chr5	149246293	149246305	+	0.000	0.000	Merged-chr5-149246178-51
NR30447--MA0741.1.KLF16	chr17	83854454	83854464	+	0.000	0.000	Merged-chr17-83854411-35
NR38989--MA0493.1.Klf1	chr2	152399047	152399057	-	0.000	0.000	Merged-chr2-152398905-30
NR32114--MA0493.1.Klf1	chr18	69196479	69196489	+	0.000	0.000	Merged-chr18-69196479-70
NR10483--MA0599.1.KLF5	chr11	60811284	60811293	+	0.000	0.000	Merged-chr11-60811220-49
NR70780--MA0740.1.KLF14	chr9	108783782	108783795	-	0.000	0.000	Merged-chr9-108783844-54
NR52349--MA0741.1.KLF16	chr5	118514060	118514070	+	0.000	0.000	Merged-chr5-118514135-41
NR19575--MA0493.1.Klf1	chr14	25421975	25421985	+	0.000	0.000	Merged-chr14-25421957-44
NR35626--MA0599.1.KLF5	chr2	30942791	30942800	+	0.000	0.000	Merged-chr2-30942807-40
NR61249--MA1107.1.KLF9	chr7	81320015	81320027	+	0.000	0.000	Merged-chr7-81320014-23
NR39597--MA0657.1.KLF13	chr2	166786847	166786864	-	0.000	0.000	Merged-chr2-166786664-60
NR67159--MA0742.1.Klf12	chr8	121568421	121568435	+	0.000	0.000	Merged-chr8-121568444-23
NR3078--MA0599.1.KLF5	chr1	153332893	153332902	+	0.000	0.000	Merged-chr1-153332830-168
NR12409--MA0740.1.KLF14	chr11	105126432	105126445	-	0.000	0.000	Merged-chr11-105126391-86
NR23886--MA0599.1.KLF5	chr15	81514315	81514324	-	0.000	0.000	Merged-chr15-81514359-43
NR20563--MA0742.1.Klf12	chr14	59397266	59397280	-	0.000	0.000	Merged-chr14-59397210-50
NR63573--MA0599.1.KLF5	chr7	139992591	139992600	-	0.000	0.000	Merged-chr7-139992565-26
NR49065--MA0741.1.KLF16	chr4	155217449	155217459	-	0.000	0.000	Merged-chr4-155217471-52
NR39305--MA0599.1.KLF5	chr2	160397980	160397989	+	0.000	0.000	Merged-chr2-160397958-31
NR72181--MA1107.1.KLF9	chrX	73880896	73880908	+	0.000	0.000	Merged-chrX-73880699-35
NR37931--MA0599.1.KLF5	chr2	120027455	120027464	-	0.000	0.000	Merged-chr2-120027547-78
NR57637--MA1107.1.KLF9	chr6	127575265	127575277	+	0.000	0.000	Merged-chr6-127575169-36
NR24651--MA0742.1.Klf12	chr15	98831485	98831499	+	0.000	0.000	Merged-chr15-98831395-87
NR14546--MA0740.1.KLF14	chr12	73657013	73657026	+	0.000	0.000	Merged-chr12-73656860-57
NR30556--MA0741.1.KLF16	chr17	86040529	86040539	-	0.000	0.000	Merged-chr17-86040436-1
NR33419--MA0493.1.Klf1	chr19	17257001	17257011	-	0.000	0.000	Merged-chr19-17256835-48
NR24855--MA0599.1.KLF5	chr15	101977572	101977581	+	0.000	0.000	Merged-chr15-101977475-30
NR18180--MA1107.1.KLF9	chr13	98692031	98692043	-	0.000	0.000	Merged-chr13-98692096-35
NR5105--MA0493.1.Klf1	chr10	7473716	7473726	-	0.000	0.000	Merged-chr10-7473929-104
NR37465--MA0493.1.Klf1	chr2	104146165	104146175	+	0.000	0.000	Merged-chr2-104146200-22
NR13277--MA1107.1.KLF9	chr11	120990482	120990494	+	0.000	0.000	Merged-chr11-120990355-3
NR35047--MA0039.3.KLF4	chr2	18524632	18524642	-	0.000	0.000	Merged-chr2-18524516-29
NR52739--MA0493.1.Klf1	chr5	125052282	125052292	+	0.000	0.000	Merged-chr5-125052528-23
NR43274--MA1107.1.KLF9	chr3	131057379	131057391	-	0.000	0.000	Merged-chr3-131057396-52
NR2198--MA0493.1.Klf1	chr1	125519448	125519458	+	0.000	0.000	Merged-chr1-125519353-27
NR13139--MA0493.1.Klf1	chr11	119056796	119056806	+	0.000	0.000	Merged-chr11-119056911-9
NR19574--MA0039.3.KLF4	chr14	25421977	25421987	+	0.000	0.000	Merged-chr14-25421957-44
NR16367--MA0741.1.KLF16	chr13	24786312	24786322	+	0.000	0.000	Merged-chr13-24786227-53
NR53628--MA0599.1.KLF5	chr5	139299446	139299455	+	0.000	0.000	Merged-chr5-139299297-63
NR33217--MA1107.1.KLF9	chr19	8592091	8592103	-	0.000	0.000	Merged-chr19-8592238-38
NR20701--MA0493.1.Klf1	chr14	64628283	64628293	-	0.000	0.000	Merged-chr14-64628307-21
NR56188--MA0742.1.Klf12	chr6	87541368	87541382	+	0.000	0.000	Merged-chr6-87541310-26
NR4214--MA0741.1.KLF16	chr1	180256199	180256209	+	0.000	0.000	Merged-chr1-180256121-75
NR70701--MA0741.1.KLF16	chr9	107950888	107950898	+	0.000	0.000	Merged-chr9-107950952-46
NR18289--MA0599.1.KLF5	chr13	101540641	101540650	+	0.000	0.000	Merged-chr13-101540748-63
NR2771--MA0493.1.Klf1	chr1	138304341	138304351	+	0.000	0.000	Merged-chr1-138304184-80
NR66806--MA1107.1.KLF9	chr8	115398224	115398236	-	0.000	0.000	Merged-chr8-115398205-61
