#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tbx21/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_up.bed
NR1296--MA0690.1.TBX21	chr2	131145666	131145675	+	0.000	0.000	Merged-chr2-131145703-8
NR818--MA0690.1.TBX21	chr15	64192774	64192783	-	0.000	0.000	Merged-chr15-64192878-29
NR494--MA0690.1.TBX21	chr12	69102085	69102094	+	0.000	0.000	Merged-chr12-69102156-32
NR2210--MA0690.1.TBX21	chr8	128643073	128643082	-	0.000	0.000	Merged-chr8-128643198-31
NR874--MA0690.1.TBX21	chr16	11077678	11077687	-	0.000	0.000	Merged-chr16-11077800-31
NR377--MA0690.1.TBX21	chr11	52109669	52109678	+	0.000	0.000	Merged-chr11-52109659-16
NR181--MA0690.1.TBX21	chr1	184908649	184908658	-	0.000	0.000	Merged-chr1-184908710-36
NR247--MA0690.1.TBX21	chr10	30716209	30716218	+	0.000	0.000	Merged-chr10-30716378-49
NR2215--MA0690.1.TBX21	chr9	5623627	5623636	-	0.000	0.000	Merged-chr9-5623590-21
NR2271--MA0690.1.TBX21	chr9	66280542	66280551	+	0.000	0.000	Merged-chr9-66280621-39
NR478--MA0690.1.TBX21	chr12	17505937	17505946	+	0.000	0.000	Merged-chr12-17505962-36
NR715--MA0690.1.TBX21	chr14	59553395	59553404	+	0.000	0.000	Merged-chr14-59553394-22
NR1129--MA0690.1.TBX21	chr19	16436038	16436047	+	0.000	0.000	Merged-chr19-16435881-71
NR696--MA0690.1.TBX21	chr14	27390814	27390823	+	0.000	0.000	Merged-chr14-27390836-41
NR2141--MA0690.1.TBX21	chr8	68218580	68218589	+	0.000	0.000	Merged-chr8-68218689-19
NR2167--MA0690.1.TBX21	chr8	114978103	114978112	-	0.000	0.000	Merged-chr8-114978024-47
NR436--MA0690.1.TBX21	chr11	99131611	99131620	-	0.000	0.000	Merged-chr11-99131567-85
NR2146--MA0690.1.TBX21	chr8	76899696	76899705	+	0.000	0.000	Merged-chr8-76899430-75
NR558--MA0690.1.TBX21	chr13	5979609	5979618	+	0.000	0.000	Merged-chr13-5979653-26
NR2003--MA0690.1.TBX21	chr7	79759970	79759979	+	0.000	0.000	Merged-chr7-79759916-34
NR266--MA0690.1.TBX21	chr10	67112130	67112139	+	0.000	0.000	Merged-chr10-67112116-37
NR1523--MA0690.1.TBX21	chr3	157884025	157884034	-	0.000	0.000	Merged-chr3-157884103-23
NR1903--MA0690.1.TBX21	chr6	128474364	128474373	-	0.000	0.000	Merged-chr6-128474299-11
NR1563--MA0690.1.TBX21	chr4	88692663	88692672	-	0.000	0.000	Merged-chr4-88692699-24
NR1141--MA0690.1.TBX21	chr19	30924251	30924260	+	0.000	0.000	Merged-chr19-30924347-34
NR1839--MA0690.1.TBX21	chr6	65614110	65614119	-	0.000	0.000	Merged-chr6-65614178-7
NR1154--MA0690.1.TBX21	chr19	43896238	43896247	+	0.000	0.000	Merged-chr19-43896459-20
NR2136--MA0690.1.TBX21	chr8	48425274	48425283	+	0.000	0.000	Merged-chr8-48425330-34
NR971--MA0690.1.TBX21	chr17	30363576	30363585	-	0.000	0.000	Merged-chr17-30363504-27
NR1417--MA0690.1.TBX21	chr3	87528236	87528245	+	0.000	0.000	Merged-chr3-87528173-17
NR2088--MA0690.1.TBX21	chr7	142114093	142114102	-	0.000	0.000	Merged-chr7-142113991-20
NR976--MA0690.1.TBX21	chr17	32483470	32483479	+	0.000	0.000	Merged-chr17-32483416-20
NR1200--MA0690.1.TBX21	chr2	31612910	31612919	+	0.000	0.000	Merged-chr2-31612988-19
NR1181--MA0690.1.TBX21	chr2	17597878	17597887	+	0.000	0.000	Merged-chr2-17597899-18
NR942--MA0690.1.TBX21	chr16	95999446	95999455	+	0.000	0.000	Merged-chr16-95999409-48
NR846--MA0690.1.TBX21	chr15	84168898	84168907	-	0.000	0.000	Merged-chr15-84168860-11
NR1226--MA0690.1.TBX21	chr2	57102488	57102497	-	0.000	0.000	Merged-chr2-57102684-19
NR716--MA0690.1.TBX21	chr14	60666438	60666447	+	0.000	0.000	Merged-chr14-60666479-30
NR1239--MA0690.1.TBX21	chr2	69917455	69917464	+	0.000	0.000	Merged-chr2-69917342-25
NR663--MA0690.1.TBX21	chr13	109843080	109843089	-	0.000	0.000	Merged-chr13-109843139-39
NR1295--MA0690.1.TBX21	chr2	131145643	131145652	+	0.000	0.000	Merged-chr2-131145703-8
NR990--MA0690.1.TBX21	chr17	47171340	47171349	+	0.000	0.000	Merged-chr17-47171280-54
NR371--MA0690.1.TBX21	chr11	43703695	43703704	-	0.000	0.000	Merged-chr11-43703862-10
NR1069--MA0690.1.TBX21	chr18	54839259	54839268	-	0.000	0.000	Merged-chr18-54839071-1
NR873--MA0690.1.TBX21	chr16	10814998	10815007	+	0.000	0.000	Merged-chr16-10815093-30
NR899--MA0690.1.TBX21	chr16	49790939	49790948	+	0.000	0.000	Merged-chr16-49791055-52
NR2344--MA0690.1.TBX21	chrX	77586067	77586076	-	0.000	0.000	Merged-chrX-77586206-37
NR613--MA0690.1.TBX21	chr13	81705651	81705660	+	0.000	0.000	Merged-chr13-81705633-6
NR347--MA0690.1.TBX21	chr11	4206152	4206161	+	0.000	0.000	Merged-chr11-4206247-48
NR2044--MA0690.1.TBX21	chr7	117404642	117404651	+	0.000	0.000	Merged-chr7-117404576-18
NR1107--MA0690.1.TBX21	chr18	83465362	83465371	-	0.000	0.000	Merged-chr18-83465273-18
NR523--MA0690.1.TBX21	chr12	101053560	101053569	-	0.000	0.000	Merged-chr12-101053641-9
NR2246--MA0690.1.TBX21	chr9	50548083	50548092	+	0.000	0.000	Merged-chr9-50548118-48
NR2084--MA0690.1.TBX21	chr7	140947150	140947159	-	0.000	0.000	Merged-chr7-140947277-49
NR1971--MA0690.1.TBX21	chr7	24452283	24452292	+	0.000	0.000	Merged-chr7-24452185-33
NR127--MA0690.1.TBX21	chr1	152008858	152008867	+	0.000	0.000	Merged-chr1-152008952-65
NR2238--MA0690.1.TBX21	chr9	43238898	43238907	-	0.000	0.000	Merged-chr9-43238844-1
NR1331--MA0690.1.TBX21	chr2	153278540	153278549	+	0.000	0.000	Merged-chr2-153278581-35
NR2294--MA0690.1.TBX21	chr9	94682336	94682345	+	0.000	0.000	Merged-chr9-94682432-40
NR228--MA0690.1.TBX21	chr10	21504658	21504667	+	0.000	0.000	Merged-chr10-21504659-28
NR2143--MA0690.1.TBX21	chr8	69822478	69822487	-	0.000	0.000	Merged-chr8-69822616-46
NR1541--MA0690.1.TBX21	chr4	43823079	43823088	+	0.000	0.000	Merged-chr4-43823081-36
NR1716--MA0690.1.TBX21	chr5	100651646	100651655	-	0.000	0.000	Merged-chr5-100651654-38
NR1411--MA0690.1.TBX21	chr3	83997251	83997260	-	0.000	0.000	Merged-chr3-83997240-19
NR329--MA0690.1.TBX21	chr10	120697393	120697402	-	0.000	0.000	Merged-chr10-120697518-32
NR438--MA0690.1.TBX21	chr11	102496952	102496961	+	0.000	0.000	Merged-chr11-102496898-28
NR1838--MA0690.1.TBX21	chr6	65140925	65140934	+	0.000	0.000	Merged-chr6-65140933-63
NR991--MA0690.1.TBX21	chr17	48332687	48332696	-	0.000	0.000	Merged-chr17-48332786-43
NR1939--MA0690.1.TBX21	chr6	144332304	144332313	+	0.000	0.000	Merged-chr6-144332292-25
NR1982--MA0690.1.TBX21	chr7	35178391	35178400	+	0.000	0.000	Merged-chr7-35178409-12
NR1647--MA0690.1.TBX21	chr5	3494732	3494741	+	0.000	0.000	Merged-chr5-3494641-74
NR1103--MA0690.1.TBX21	chr18	82493052	82493061	+	0.000	0.000	Merged-chr18-82492983-14
NR82--MA0690.1.TBX21	chr1	106688284	106688293	-	0.000	0.000	Merged-chr1-106688184-71
NR1844--MA0690.1.TBX21	chr6	67184845	67184854	-	0.000	0.000	Merged-chr6-67184785-39
NR1430--MA0690.1.TBX21	chr3	103172602	103172611	+	0.000	0.000	Merged-chr3-103172795-3
NR532--MA0690.1.TBX21	chr12	107182381	107182390	+	0.000	0.000	Merged-chr12-107182241-26
NR1422--MA0690.1.TBX21	chr3	95909423	95909432	-	0.000	0.000	Merged-chr3-95909537-31
NR784--MA0690.1.TBX21	chr15	12606612	12606621	-	0.000	0.000	Merged-chr15-12606518-21
NR1469--MA0690.1.TBX21	chr3	137954535	137954544	+	0.000	0.000	Merged-chr3-137954430-54
NR1828--MA0690.1.TBX21	chr6	50553124	50553133	-	0.000	0.000	Merged-chr6-50553342-12
NR776--MA0690.1.TBX21	chr14	122878004	122878013	+	0.000	0.000	Merged-chr14-122878138-13
NR904--MA0690.1.TBX21	chr16	52292687	52292696	+	0.000	0.000	Merged-chr16-52292729-42
NR1788--MA0690.1.TBX21	chr5	146782072	146782081	+	0.000	0.000	Merged-chr5-146781945-52
NR1645--MA0690.1.TBX21	chr4	155208078	155208087	+	0.000	0.000	Merged-chr4-155208089-31
NR463--MA0690.1.TBX21	chr11	117872067	117872076	-	0.000	0.000	Merged-chr11-117872185-83
NR843--MA0690.1.TBX21	chr15	81302507	81302516	+	0.000	0.000	Merged-chr15-81302417-27
NR1257--MA0690.1.TBX21	chr2	102812925	102812934	-	0.000	0.000	Merged-chr2-102812992-26
NR1637--MA0690.1.TBX21	chr4	149880265	149880274	-	0.000	0.000	Merged-chr4-149880219-52
NR1475--MA0690.1.TBX21	chr3	142533283	142533292	+	0.000	0.000	Merged-chr3-142533345-44
NR1345--MA0690.1.TBX21	chr2	164878758	164878767	-	0.000	0.000	Merged-chr2-164878801-14
NR739--MA0690.1.TBX21	chr14	78559106	78559115	+	0.000	0.000	Merged-chr14-78559223-28
NR1087--MA0690.1.TBX21	chr18	75043936	75043945	-	0.000	0.000	Merged-chr18-75044050-32
NR2370--MA0690.1.TBX21	chrX	167025219	167025228	+	0.000	0.000	Merged-chrX-167025120-15
NR782--MA0690.1.TBX21	chr15	9567653	9567662	+	0.000	0.000	Merged-chr15-9567519-26
NR1196--MA0690.1.TBX21	chr2	29753035	29753044	-	0.000	0.000	Merged-chr2-29753036-13
NR1467--MA0690.1.TBX21	chr3	136630076	136630085	-	0.000	0.000	Merged-chr3-136630225-22
NR814--MA0690.1.TBX21	chr15	62390383	62390392	+	0.000	0.000	Merged-chr15-62390498-8
NR652--MA0690.1.TBX21	chr13	107534126	107534135	-	0.000	0.000	Merged-chr13-107534013-23
NR155--MA0690.1.TBX21	chr1	171966203	171966212	-	0.000	0.000	Merged-chr1-171966306-50
NR644--MA0690.1.TBX21	chr13	101533205	101533214	+	0.000	0.000	Merged-chr13-101533206-46
NR915--MA0690.1.TBX21	chr16	58703502	58703511	-	0.000	0.000	Merged-chr16-58703563-32
NR1329--MA0690.1.TBX21	chr2	153122021	153122030	-	0.000	0.000	Merged-chr2-153122050-10
NR753--MA0690.1.TBX21	chr14	105896150	105896159	+	0.000	0.000	Merged-chr14-105896218-30
NR2083--MA0690.1.TBX21	chr7	140324189	140324198	-	0.000	0.000	Merged-chr7-140324353-33
NR495--MA0690.1.TBX21	chr12	69537887	69537896	+	0.000	0.000	Merged-chr12-69537994-76
NR100--MA0690.1.TBX21	chr1	131747196	131747205	-	0.000	0.000	Merged-chr1-131747235-22
NR1840--MA0690.1.TBX21	chr6	65614123	65614132	-	0.000	0.000	Merged-chr6-65614178-7
NR2359--MA0690.1.TBX21	chrX	159447265	159447274	-	0.000	0.000	Merged-chrX-159447377-17
NR2216--MA0690.1.TBX21	chr9	13563743	13563752	+	0.000	0.000	Merged-chr9-13563926-45
NR2272--MA0690.1.TBX21	chr9	66294988	66294997	-	0.000	0.000	Merged-chr9-66295082-25
NR1670--MA0690.1.TBX21	chr5	44217895	44217904	+	0.000	0.000	Merged-chr5-44218043-54
NR1941--MA0690.1.TBX21	chr6	144674077	144674086	+	0.000	0.000	Merged-chr6-144674015-36
NR2142--MA0690.1.TBX21	chr8	68218616	68218625	-	0.000	0.000	Merged-chr8-68218689-19
NR1811--MA0690.1.TBX21	chr6	17901289	17901298	+	0.000	0.000	Merged-chr6-17901265-19
NR2059--MA0690.1.TBX21	chr7	125511522	125511531	+	0.000	0.000	Merged-chr7-125511628-40
NR166--MA0690.1.TBX21	chr1	177455597	177455606	+	0.000	0.000	Merged-chr1-177455545-12
NR2081--MA0690.1.TBX21	chr7	137476770	137476779	-	0.000	0.000	Merged-chr7-137476773-22
