#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_dn.bed
NR4943--MA0591.1.Bach1::Mafk	chr16	43253287	43253301	-	0.000	0.000	Merged-chr16-43253230-31
NR3016--MA0501.1.MAF::NFE2	chr12	110389664	110389678	-	0.000	0.000	Merged-chr12-110389691-32
NR7492--MA0591.1.Bach1::Mafk	chr2	173647099	173647113	+	0.000	0.000	Merged-chr2-173647246-19
NR7856--MA0591.1.Bach1::Mafk	chr3	100421766	100421780	+	0.000	0.000	Merged-chr3-100421832-10
NR880--MA0495.2.MAFF	chr1	177702851	177702871	+	0.000	0.000	Merged-chr1-177702906-70
NR2971--MA0117.2.Mafb	chr12	105068995	105069006	-	0.000	0.000	Merged-chr12-105069151-33
NR1325--MA0501.1.MAF::NFE2	chr10	48433462	48433476	+	0.000	0.000	Merged-chr10-48433479-24
NR869--MA0659.1.MAFG	chr1	177248866	177248886	+	0.000	0.000	Merged-chr1-177248824-22
NR2159--MA0496.2.MAFK	chr11	72941084	72941102	+	0.000	0.000	Merged-chr11-72940930-27
NR8653--MA0089.1.MAFG::NFE2L1	chr4	98113737	98113742	+	0.000	0.000	Merged-chr4-98113853-12
NR12395--MA0496.2.MAFK	chr9	69702280	69702298	+	0.000	0.000	Merged-chr9-69702378-12
NR10309--MA0089.1.MAFG::NFE2L1	chr6	99057414	99057419	+	0.000	0.000	Merged-chr6-99057290-54
NR10760--MA0089.1.MAFG::NFE2L1	chr6	147484586	147484591	+	0.000	0.000	Merged-chr6-147484715-1
NR4835--MA0501.1.MAF::NFE2	chr16	8610453	8610467	-	0.000	0.000	Merged-chr16-8610568-23
NR5852--MA0089.1.MAFG::NFE2L1	chr18	46447803	46447808	-	0.000	0.000	Merged-chr18-46447727-33
NR8966--MA0591.1.Bach1::Mafk	chr4	145209527	145209541	+	0.000	0.000	Merged-chr4-145209474-14
NR5779--MA0501.1.MAF::NFE2	chr18	25367711	25367725	-	0.000	0.000	Merged-chr18-25367708-17
NR4819--MA0591.1.Bach1::Mafk	chr16	4469922	4469936	-	0.000	0.000	Merged-chr16-4469915-27
NR3753--MA0117.2.Mafb	chr13	110683202	110683213	-	0.000	0.000	Merged-chr13-110683272-3
NR2197--MA0089.1.MAFG::NFE2L1	chr11	77446737	77446742	-	0.000	0.000	Merged-chr11-77446738-31
NR3993--MA0089.1.MAFG::NFE2L1	chr14	46578307	46578312	+	0.000	0.000	Merged-chr14-46578431-37
NR1153--MA0089.1.MAFG::NFE2L1	chr10	7826372	7826377	+	0.000	0.000	Merged-chr10-7826287-40
NR3630--MA0496.2.MAFK	chr13	99412995	99413013	-	0.000	0.000	Merged-chr13-99412830-24
NR5906--MA0591.1.Bach1::Mafk	chr18	61643908	61643922	+	0.000	0.000	Merged-chr18-61643847-38
NR627--MA0501.1.MAF::NFE2	chr1	152817556	152817570	+	0.000	0.000	Merged-chr1-152817500-27
NR6702--MA0089.1.MAFG::NFE2L1	chr2	52938351	52938356	-	0.000	0.000	Merged-chr2-52938398-15
NR5255--MA0496.2.MAFK	chr16	96358153	96358171	+	0.000	0.000	Merged-chr16-96358039-35
NR7857--MA0501.1.MAF::NFE2	chr3	100421769	100421783	+	0.000	0.000	Merged-chr3-100421832-10
NR12424--MA0501.1.MAF::NFE2	chr9	75209435	75209449	-	0.000	0.000	Merged-chr9-75209368-16
NR11549--MA0089.1.MAFG::NFE2L1	chr7	140324409	140324414	-	0.000	0.000	Merged-chr7-140324353-33
NR4737--MA0591.1.Bach1::Mafk	chr15	94404187	94404201	+	0.000	0.000	Merged-chr15-94404282-43
NR9601--MA0089.1.MAFG::NFE2L1	chr5	107754956	107754961	-	0.000	0.000	Merged-chr5-107754930-37
NR6704--MA0495.2.MAFF	chr2	52938453	52938473	-	0.000	0.000	Merged-chr2-52938398-15
NR3210--MA0496.2.MAFK	chr13	9082704	9082722	+	0.000	0.000	Merged-chr13-9082570-19
NR2288--MA0501.1.MAF::NFE2	chr11	90576723	90576737	+	0.000	0.000	Merged-chr11-90576690-20
NR1653--MA0089.1.MAFG::NFE2L1	chr10	107946511	107946516	+	0.000	0.000	Merged-chr10-107946593-22
NR5842--MA0496.2.MAFK	chr18	43492937	43492955	+	0.000	0.000	Merged-chr18-43493033-11
NR4869--MA0089.1.MAFG::NFE2L1	chr16	22387806	22387811	+	0.000	0.000	Merged-chr16-22387915-21
NR1175--MA0089.1.MAFG::NFE2L1	chr10	14040896	14040901	-	0.000	0.000	Merged-chr10-14040919-9
NR290--MA0089.1.MAFG::NFE2L1	chr1	83006403	83006408	+	0.000	0.000	Merged-chr1-83006483-46
NR3249--MA0659.1.MAFG	chr13	20139977	20139997	+	0.000	0.000	Merged-chr13-20140166-30
NR6196--MA0501.1.MAF::NFE2	chr19	17256650	17256664	+	0.000	0.000	Merged-chr19-17256835-48
NR8472--MA0496.2.MAFK	chr4	32425704	32425722	+	0.000	0.000	Merged-chr4-32425710-19
NR721--MA0496.2.MAFK	chr1	162773893	162773911	-	0.000	0.000	Merged-chr1-162773825-31
NR6044--MA0089.1.MAFG::NFE2L1	chr18	80642635	80642640	+	0.000	0.000	Merged-chr18-80642669-13
NR9370--MA0495.2.MAFF	chr5	74471049	74471069	+	0.000	0.000	Merged-chr5-74471085-11
NR12816--MA0117.2.Mafb	chr9	120116469	120116480	+	0.000	0.000	Merged-chr9-120116499-4
NR9372--MA0659.1.MAFG	chr5	74471049	74471069	+	0.000	0.000	Merged-chr5-74471085-11
NR11829--MA0501.1.MAF::NFE2	chr8	79150699	79150713	+	0.000	0.000	Merged-chr8-79150775-36
NR719--MA0591.1.Bach1::Mafk	chr1	162773895	162773909	+	0.000	0.000	Merged-chr1-162773825-31
NR2516--MA0089.1.MAFG::NFE2L1	chr11	117092973	117092978	+	0.000	0.000	Merged-chr11-117092893-43
NR10715--MA0501.1.MAF::NFE2	chr6	144332479	144332493	-	0.000	0.000	Merged-chr6-144332292-25
NR12019--MA0089.1.MAFG::NFE2L1	chr8	120832256	120832261	-	0.000	0.000	Merged-chr8-120832220-19
NR2954--MA0496.2.MAFK	chr12	102588573	102588591	-	0.000	0.000	Merged-chr12-102588735-27
NR143--MA0591.1.Bach1::Mafk	chr1	58304611	58304625	-	0.000	0.000	Merged-chr1-58304515-8
NR2972--MA0496.2.MAFK	chr12	105068987	105069005	+	0.000	0.000	Merged-chr12-105069151-33
NR12227--MA0501.1.MAF::NFE2	chr9	25230423	25230437	+	0.000	0.000	Merged-chr9-25230368-52
NR7575--MA0089.1.MAFG::NFE2L1	chr3	8971816	8971821	+	0.000	0.000	Merged-chr3-8971852-23
NR4372--MA0089.1.MAFG::NFE2L1	chr15	9435986	9435991	+	0.000	0.000	Merged-chr15-9435954-24
NR628--MA0496.2.MAFK	chr1	152817551	152817569	-	0.000	0.000	Merged-chr1-152817500-27
NR5528--MA0089.1.MAFG::NFE2L1	chr17	65947475	65947480	+	0.000	0.000	Merged-chr17-65947509-8
NR9174--MA0495.2.MAFF	chr5	20082524	20082544	+	0.000	0.000	Merged-chr5-20082786-46
NR56--MA0496.2.MAFK	chr1	33454542	33454560	+	0.000	0.000	Merged-chr1-33454547-11
NR6576--MA0591.1.Bach1::Mafk	chr2	28540185	28540199	+	0.000	0.000	Merged-chr2-28540150-39
NR5262--MA0501.1.MAF::NFE2	chr16	97002597	97002611	-	0.000	0.000	Merged-chr16-97002537-1
NR3204--MA0495.2.MAFF	chr13	9082703	9082723	+	0.000	0.000	Merged-chr13-9082570-19
NR11287--MA0089.1.MAFG::NFE2L1	chr7	109265802	109265807	-	0.000	0.000	Merged-chr7-109265818-41
NR5826--MA0089.1.MAFG::NFE2L1	chr18	39801296	39801301	+	0.000	0.000	Merged-chr18-39801283-11
NR1165--MA0117.2.Mafb	chr10	12821572	12821583	-	0.000	0.000	Merged-chr10-12821526-15
NR3206--MA0117.2.Mafb	chr13	9082712	9082723	-	0.000	0.000	Merged-chr13-9082570-19
NR142--MA0089.1.MAFG::NFE2L1	chr1	58304618	58304623	-	0.000	0.000	Merged-chr1-58304515-8
NR10092--MA0591.1.Bach1::Mafk	chr6	53498091	53498105	+	0.000	0.000	Merged-chr6-53498072-40
NR7607--MA0089.1.MAFG::NFE2L1	chr3	21224541	21224546	+	0.000	0.000	Merged-chr3-21224664-3
NR11184--MA0501.1.MAF::NFE2	chr7	99794263	99794277	-	0.000	0.000	Merged-chr7-99794311-17
NR6711--MA0496.2.MAFK	chr2	52938454	52938472	+	0.000	0.000	Merged-chr2-52938398-15
NR1522--MA0495.2.MAFF	chr10	88875144	88875164	+	0.000	0.000	Merged-chr10-88875114-36
NR10972--MA0591.1.Bach1::Mafk	chr7	49762880	49762894	+	0.000	0.000	Merged-chr7-49762758-15
NR8338--MA0117.2.Mafb	chr3	155235702	155235713	-	0.000	0.000	Merged-chr3-155235663-12
NR9176--MA0501.1.MAF::NFE2	chr5	20082524	20082538	-	0.000	0.000	Merged-chr5-20082786-46
NR7862--MA0501.1.MAF::NFE2	chr3	101056906	101056920	-	0.000	0.000	Merged-chr3-101056914-14
NR1524--MA0659.1.MAFG	chr10	88875144	88875164	+	0.000	0.000	Merged-chr10-88875114-36
NR9686--MA0495.2.MAFF	chr5	118620495	118620515	+	0.000	0.000	Merged-chr5-118620530-42
NR2287--MA0117.2.Mafb	chr11	90576726	90576737	-	0.000	0.000	Merged-chr11-90576690-20
NR4415--MA0089.1.MAFG::NFE2L1	chr15	31418319	31418324	-	0.000	0.000	Merged-chr15-31418440-29
NR5720--MA0089.1.MAFG::NFE2L1	chr18	5694538	5694543	+	0.000	0.000	Merged-chr18-5694694-26
NR1395--MA0591.1.Bach1::Mafk	chr10	68540769	68540783	-	0.000	0.000	Merged-chr10-68540864-1
NR881--MA0495.2.MAFF	chr1	177702851	177702871	-	0.000	0.000	Merged-chr1-177702906-70
NR9374--MA0501.1.MAF::NFE2	chr5	74471049	74471063	-	0.000	0.000	Merged-chr5-74471085-11
NR9364--MA0495.2.MAFF	chr5	74470989	74471009	+	0.000	0.000	Merged-chr5-74471085-11
NR771--MA0117.2.Mafb	chr1	165838080	165838091	-	0.000	0.000	Merged-chr1-165837829-51
NR9175--MA0591.1.Bach1::Mafk	chr5	20082527	20082541	-	0.000	0.000	Merged-chr5-20082786-46
NR5933--MA0089.1.MAFG::NFE2L1	chr18	64913497	64913502	+	0.000	0.000	Merged-chr18-64913437-34
NR8541--MA0591.1.Bach1::Mafk	chr4	59682666	59682680	+	0.000	0.000	Merged-chr4-59682801-45
NR5251--MA0495.2.MAFF	chr16	96358152	96358172	+	0.000	0.000	Merged-chr16-96358039-35
NR8715--MA0117.2.Mafb	chr4	109135038	109135049	-	0.000	0.000	Merged-chr4-109135224-18
NR2756--MA0089.1.MAFG::NFE2L1	chr12	70995435	70995440	+	0.000	0.000	Merged-chr12-70995410-19
NR5804--MA0659.1.MAFG	chr18	34202739	34202759	+	0.000	0.000	Merged-chr18-34202543-19
NR10526--MA0591.1.Bach1::Mafk	chr6	128843921	128843935	+	0.000	0.000	Merged-chr6-128843932-5
NR1592--MA0117.2.Mafb	chr10	95964827	95964838	+	0.000	0.000	Merged-chr10-95964744-26
NR4524--MA0089.1.MAFG::NFE2L1	chr15	59618610	59618615	-	0.000	0.000	Merged-chr15-59618561-44
NR6943--MA0501.1.MAF::NFE2	chr2	104208180	104208194	+	0.000	0.000	Merged-chr2-104208216-12
NR4504--MA0591.1.Bach1::Mafk	chr15	55906989	55907003	-	0.000	0.000	Merged-chr15-55906885-1
NR3015--MA0089.1.MAFG::NFE2L1	chr12	110389608	110389613	+	0.000	0.000	Merged-chr12-110389691-32
NR11355--MA0501.1.MAF::NFE2	chr7	116484455	116484469	+	0.000	0.000	Merged-chr7-116484434-42
NR8969--MA0089.1.MAFG::NFE2L1	chr4	145342070	145342075	+	0.000	0.000	Merged-chr4-145342099-62
NR9177--MA0496.2.MAFK	chr5	20082525	20082543	+	0.000	0.000	Merged-chr5-20082786-46
NR3211--MA0496.2.MAFK	chr13	9082704	9082722	-	0.000	0.000	Merged-chr13-9082570-19
NR9317--MA0089.1.MAFG::NFE2L1	chr5	66137392	66137397	+	0.000	0.000	Merged-chr5-66137441-17
NR5843--MA0496.2.MAFK	chr18	43492937	43492955	-	0.000	0.000	Merged-chr18-43493033-11
NR6705--MA0089.1.MAFG::NFE2L1	chr2	52938463	52938468	-	0.000	0.000	Merged-chr2-52938398-15
NR12164--MA0089.1.MAFG::NFE2L1	chr9	5623575	5623580	-	0.000	0.000	Merged-chr9-5623590-21
NR720--MA0501.1.MAF::NFE2	chr1	162773898	162773912	+	0.000	0.000	Merged-chr1-162773825-31
NR1081--MA0496.2.MAFK	chr1	191850424	191850442	+	0.000	0.000	Merged-chr1-191850553-19
NR12040--MA0591.1.Bach1::Mafk	chr8	122772828	122772842	-	0.000	0.000	Merged-chr8-122772813-21
NR1078--MA0089.1.MAFG::NFE2L1	chr1	191780529	191780534	+	0.000	0.000	Merged-chr1-191780513-20
NR8473--MA0496.2.MAFK	chr4	32425704	32425722	-	0.000	0.000	Merged-chr4-32425710-19
NR9804--MA0089.1.MAFG::NFE2L1	chr5	140871434	140871439	+	0.000	0.000	Merged-chr5-140871418-38
NR5470--MA0591.1.Bach1::Mafk	chr17	47150861	47150875	-	0.000	0.000	Merged-chr17-47150762-7
NR4834--MA0591.1.Bach1::Mafk	chr16	8610456	8610470	-	0.000	0.000	Merged-chr16-8610568-23
NR9373--MA0659.1.MAFG	chr5	74471049	74471069	-	0.000	0.000	Merged-chr5-74471085-11
NR4126--MA0591.1.Bach1::Mafk	chr14	73170121	73170135	+	0.000	0.000	Merged-chr14-73170198-47
NR1741--MA0089.1.MAFG::NFE2L1	chr10	118166252	118166257	+	0.000	0.000	Merged-chr10-118166257-15
NR8208--MA0089.1.MAFG::NFE2L1	chr3	143304288	143304293	+	0.000	0.000	Merged-chr3-143304285-1
NR5471--MA0501.1.MAF::NFE2	chr17	47150858	47150872	-	0.000	0.000	Merged-chr17-47150762-7
NR10557--MA0117.2.Mafb	chr6	134274189	134274200	-	0.000	0.000	Merged-chr6-134274107-38
NR12086--MA0089.1.MAFG::NFE2L1	chr8	125950507	125950512	+	0.000	0.000	Merged-chr8-125950444-55
NR3496--MA0591.1.Bach1::Mafk	chr13	73305944	73305958	-	0.000	0.000	Merged-chr13-73305950-36
NR7493--MA0591.1.Bach1::Mafk	chr2	173647099	173647113	-	0.000	0.000	Merged-chr2-173647246-19
NR9318--MA0591.1.Bach1::Mafk	chr5	66137399	66137413	+	0.000	0.000	Merged-chr5-66137441-17
NR5809--MA0089.1.MAFG::NFE2L1	chr18	35848621	35848626	+	0.000	0.000	Merged-chr18-35848691-1
NR57--MA0496.2.MAFK	chr1	33454542	33454560	-	0.000	0.000	Merged-chr1-33454547-11
NR12312--MA0117.2.Mafb	chr9	50836359	50836370	-	0.000	0.000	Merged-chr9-50836533-61
NR2517--MA0089.1.MAFG::NFE2L1	chr11	117092971	117092976	-	0.000	0.000	Merged-chr11-117092893-43
NR12396--MA0501.1.MAF::NFE2	chr9	69757379	69757393	-	0.000	0.000	Merged-chr9-69757438-24
NR2200--MA0089.1.MAFG::NFE2L1	chr11	77766683	77766688	-	0.000	0.000	Merged-chr11-77766597-12
NR3459--MA0089.1.MAFG::NFE2L1	chr13	63541683	63541688	+	0.000	0.000	Merged-chr13-63541673-31
NR3205--MA0495.2.MAFF	chr13	9082703	9082723	-	0.000	0.000	Merged-chr13-9082570-19
NR10070--MA0117.2.Mafb	chr6	49161926	49161937	+	0.000	0.000	Merged-chr6-49161850-8
NR5241--MA0591.1.Bach1::Mafk	chr16	95729018	95729032	-	0.000	0.000	Merged-chr16-95728966-56
NR1477--MA0496.2.MAFK	chr10	83094422	83094440	+	0.000	0.000	Merged-chr10-83094341-29
NR7753--MA0501.1.MAF::NFE2	chr3	85023090	85023104	+	0.000	0.000	Merged-chr3-85023059-16
NR9079--MA0117.2.Mafb	chr5	3193799	3193810	-	0.000	0.000	Merged-chr5-3193757-27
NR1385--MA0089.1.MAFG::NFE2L1	chr10	67840978	67840983	-	0.000	0.000	Merged-chr10-67841086-29
NR2952--MA0591.1.Bach1::Mafk	chr12	102588575	102588589	+	0.000	0.000	Merged-chr12-102588735-27
NR1278--MA0117.2.Mafb	chr10	38884900	38884911	+	0.000	0.000	Merged-chr10-38884993-65
NR10093--MA0659.1.MAFG	chr6	53498088	53498108	+	0.000	0.000	Merged-chr6-53498072-40
NR1401--MA0501.1.MAF::NFE2	chr10	69542865	69542879	+	0.000	0.000	Merged-chr10-69542895-13
NR2902--MA0089.1.MAFG::NFE2L1	chr12	98444990	98444995	-	0.000	0.000	Merged-chr12-98445028-18
NR9625--MA0591.1.Bach1::Mafk	chr5	112488583	112488597	-	0.000	0.000	Merged-chr5-112488536-19
NR6712--MA0496.2.MAFK	chr2	52938454	52938472	-	0.000	0.000	Merged-chr2-52938398-15
NR1523--MA0495.2.MAFF	chr10	88875144	88875164	-	0.000	0.000	Merged-chr10-88875114-36
NR870--MA0659.1.MAFG	chr1	177248866	177248886	-	0.000	0.000	Merged-chr1-177248824-22
NR2160--MA0496.2.MAFK	chr11	72941084	72941102	-	0.000	0.000	Merged-chr11-72940930-27
NR4322--MA0496.2.MAFK	chr14	122290558	122290576	+	0.000	0.000	Merged-chr14-122290582-19
NR1525--MA0659.1.MAFG	chr10	88875144	88875164	-	0.000	0.000	Merged-chr10-88875114-36
NR50--MA0495.2.MAFF	chr1	33454541	33454561	+	0.000	0.000	Merged-chr1-33454547-11
NR9687--MA0495.2.MAFF	chr5	118620495	118620515	-	0.000	0.000	Merged-chr5-118620530-42
NR9371--MA0591.1.Bach1::Mafk	chr5	74471052	74471066	-	0.000	0.000	Merged-chr5-74471085-11
NR12580--MA0089.1.MAFG::NFE2L1	chr9	89874684	89874689	-	0.000	0.000	Merged-chr9-89874599-29
NR9355--MA0089.1.MAFG::NFE2L1	chr5	73630401	73630406	-	0.000	0.000	Merged-chr5-73630268-26
NR9689--MA0659.1.MAFG	chr5	118620495	118620515	-	0.000	0.000	Merged-chr5-118620530-42
NR10096--MA0496.2.MAFK	chr6	53498089	53498107	+	0.000	0.000	Merged-chr6-53498072-40
NR2978--MA0591.1.Bach1::Mafk	chr12	106766362	106766376	-	0.000	0.000	Merged-chr12-106766403-23
NR867--MA0591.1.Bach1::Mafk	chr1	177248869	177248883	+	0.000	0.000	Merged-chr1-177248824-22
NR8340--MA0501.1.MAF::NFE2	chr3	155235699	155235713	+	0.000	0.000	Merged-chr3-155235663-12
NR3955--MA0089.1.MAFG::NFE2L1	chr14	30014553	30014558	+	0.000	0.000	Merged-chr14-30014704-42
NR5252--MA0495.2.MAFF	chr16	96358152	96358172	-	0.000	0.000	Merged-chr16-96358039-35
NR1445--MA0117.2.Mafb	chr10	80629095	80629106	+	0.000	0.000	Merged-chr10-80629091-37
NR882--MA0496.2.MAFK	chr1	177702852	177702870	+	0.000	0.000	Merged-chr1-177702906-70
NR3700--MA0591.1.Bach1::Mafk	chr13	108056943	108056957	+	0.000	0.000	Merged-chr13-108057126-33
NR3207--MA0591.1.Bach1::Mafk	chr13	9082706	9082720	-	0.000	0.000	Merged-chr13-9082570-19
NR334--MA0117.2.Mafb	chr1	89093918	89093929	+	0.000	0.000	Merged-chr1-89093874-9
NR7417--MA0089.1.MAFG::NFE2L1	chr2	166399330	166399335	+	0.000	0.000	Merged-chr2-166399399-25
NR7573--MA0659.1.MAFG	chr3	8971766	8971786	+	0.000	0.000	Merged-chr3-8971852-23
NR12423--MA0591.1.Bach1::Mafk	chr9	75209438	75209452	-	0.000	0.000	Merged-chr9-75209368-16
NR55--MA0501.1.MAF::NFE2	chr1	33454547	33454561	+	0.000	0.000	Merged-chr1-33454547-11
NR4414--MA0089.1.MAFG::NFE2L1	chr15	31418295	31418300	-	0.000	0.000	Merged-chr15-31418440-29
NR7529--MA0591.1.Bach1::Mafk	chr2	177897153	177897167	+	0.000	0.000	Merged-chr2-177897114-64
NR7528--MA0089.1.MAFG::NFE2L1	chr2	177897167	177897172	-	0.000	0.000	Merged-chr2-177897114-64
NR9588--MA0089.1.MAFG::NFE2L1	chr5	105798540	105798545	-	0.000	0.000	Merged-chr5-105798670-49
NR6708--MA0659.1.MAFG	chr2	52938453	52938473	-	0.000	0.000	Merged-chr2-52938398-15
NR944--MA0117.2.Mafb	chr1	183657288	183657299	-	0.000	0.000	Merged-chr1-183657260-22
NR1475--MA0591.1.Bach1::Mafk	chr10	83094424	83094438	-	0.000	0.000	Merged-chr10-83094341-29
NR1420--MA0117.2.Mafb	chr10	75170480	75170491	-	0.000	0.000	Merged-chr10-75170572-27
NR1082--MA0496.2.MAFK	chr1	191850424	191850442	-	0.000	0.000	Merged-chr1-191850553-19
NR8077--MA0089.1.MAFG::NFE2L1	chr3	129588849	129588854	-	0.000	0.000	Merged-chr3-129588899-30
NR6706--MA0591.1.Bach1::Mafk	chr2	52938456	52938470	-	0.000	0.000	Merged-chr2-52938398-15
NR625--MA0495.2.MAFF	chr1	152817550	152817570	-	0.000	0.000	Merged-chr1-152817500-27
NR5140--MA0501.1.MAF::NFE2	chr16	84625359	84625373	-	0.000	0.000	Merged-chr16-84625247-15
NR1550--MA0117.2.Mafb	chr10	91187604	91187615	+	0.000	0.000	Merged-chr10-91187552-2
NR5677--MA0501.1.MAF::NFE2	chr17	90584449	90584463	+	0.000	0.000	Merged-chr17-90584319-17
NR533--MA0117.2.Mafb	chr1	138186079	138186090	-	0.000	0.000	Merged-chr1-138186154-28
NR5261--MA0089.1.MAFG::NFE2L1	chr16	97002607	97002612	-	0.000	0.000	Merged-chr16-97002537-1
NR1526--MA0496.2.MAFK	chr10	88875145	88875163	+	0.000	0.000	Merged-chr10-88875114-36
NR8236--MA0501.1.MAF::NFE2	chr3	144432276	144432290	-	0.000	0.000	Merged-chr3-144432353-38
NR5274--MA0089.1.MAFG::NFE2L1	chr16	97402597	97402602	-	0.000	0.000	Merged-chr16-97402543-6
NR8679--MA0089.1.MAFG::NFE2L1	chr4	102955809	102955814	-	0.000	0.000	Merged-chr4-102955684-33
NR4455--MA0591.1.Bach1::Mafk	chr15	41447452	41447466	-	0.000	0.000	Merged-chr15-41447450-62
NR11310--MA0089.1.MAFG::NFE2L1	chr7	112679287	112679292	+	0.000	0.000	Merged-chr7-112679423-49
NR1685--MA0117.2.Mafb	chr10	111719771	111719782	+	0.000	0.000	Merged-chr10-111719810-23
NR2158--MA0501.1.MAF::NFE2	chr11	72941083	72941097	-	0.000	0.000	Merged-chr11-72940930-27
NR10973--MA0591.1.Bach1::Mafk	chr7	49762896	49762910	+	0.000	0.000	Merged-chr7-49762758-15
NR12065--MA0089.1.MAFG::NFE2L1	chr8	123807201	123807206	+	0.000	0.000	Merged-chr8-123807206-24
NR6998--MA0496.2.MAFK	chr2	117335755	117335773	+	0.000	0.000	Merged-chr2-117335736-33
NR5803--MA0117.2.Mafb	chr18	34202739	34202750	+	0.000	0.000	Merged-chr18-34202543-19
NR10921--MA0117.2.Mafb	chr7	30608044	30608055	+	0.000	0.000	Merged-chr7-30607986-27
NR3427--MA0089.1.MAFG::NFE2L1	chr13	53390276	53390281	-	0.000	0.000	Merged-chr13-53390437-27
NR9368--MA0496.2.MAFK	chr5	74470990	74471008	+	0.000	0.000	Merged-chr5-74471085-11
NR4870--MA0117.2.Mafb	chr16	22602650	22602661	-	0.000	0.000	Merged-chr16-22602605-18
NR871--MA0501.1.MAF::NFE2	chr1	177248872	177248886	+	0.000	0.000	Merged-chr1-177248824-22
NR12089--MA0089.1.MAFG::NFE2L1	chr8	126536297	126536302	-	0.000	0.000	Merged-chr8-126536353-14
NR6227--MA0501.1.MAF::NFE2	chr19	26414882	26414896	-	0.000	0.000	Merged-chr19-26414799-20
NR12041--MA0501.1.MAF::NFE2	chr8	122772825	122772839	-	0.000	0.000	Merged-chr8-122772813-21
NR7951--MA0591.1.Bach1::Mafk	chr3	109165417	109165431	-	0.000	0.000	Merged-chr3-109165436-34
NR1386--MA0117.2.Mafb	chr10	67841235	67841246	+	0.000	0.000	Merged-chr10-67841086-29
NR488--MA0495.2.MAFF	chr1	128772711	128772731	+	0.000	0.000	Merged-chr1-128772538-19
NR3208--MA0659.1.MAFG	chr13	9082703	9082723	+	0.000	0.000	Merged-chr13-9082570-19
NR5838--MA0495.2.MAFF	chr18	43492936	43492956	+	0.000	0.000	Merged-chr18-43493033-11
