#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval0.3-log2fc0.5_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval0.3-log2fc0.5_dn.bed
NR5407--MA0002.2.RUNX1	chr2	69002507	69002517	+	0.000	0.000	Merged-chr2-69002641-39
NR1256--MA0511.2.RUNX2	chr10	93171415	93171423	+	0.000	0.000	Merged-chr10-93171456-51
NR3188--MA0511.2.RUNX2	chr14	76569400	76569408	+	0.000	0.000	Merged-chr14-76569463-39
NR2983--MA0684.1.RUNX3	chr14	20785459	20785468	+	0.000	0.000	Merged-chr14-20785376-56
NR2440--MA0002.2.RUNX1	chr13	10019378	10019388	-	0.000	0.000	Merged-chr13-10019536-22
NR10113--MA0511.2.RUNX2	chrX	52760335	52760343	+	0.000	0.000	Merged-chrX-52760494-47
NR5182--MA0511.2.RUNX2	chr2	9689687	9689695	-	0.000	0.000	Merged-chr2-9689730-31
NR776--MA0684.1.RUNX3	chr1	184576648	184576657	+	0.000	0.000	Merged-chr1-184576440-44
NR5976--MA0511.2.RUNX2	chr3	28244428	28244436	-	0.000	0.000	Merged-chr3-28244555-21
NR7705--MA0684.1.RUNX3	chr5	124446588	124446597	-	0.000	0.000	Merged-chr5-124446724-12
NR855--MA0511.2.RUNX2	chr10	4977487	4977495	-	0.000	0.000	Merged-chr10-4977529-37
NR9508--MA0002.2.RUNX1	chr8	128572371	128572381	+	0.000	0.000	Merged-chr8-128572314-34
NR10222--MA0511.2.RUNX2	chrX	142792339	142792347	-	0.000	0.000	Merged-chrX-142792362-24
NR7286--MA0002.2.RUNX1	chr5	23637511	23637521	-	0.000	0.000	Merged-chr5-23637519-38
NR7557--MA0002.2.RUNX1	chr5	105614829	105614839	+	0.000	0.000	Merged-chr5-105614954-45
NR3203--MA0684.1.RUNX3	chr14	78692183	78692192	-	0.000	0.000	Merged-chr14-78692214-30
NR3326--MA0002.2.RUNX1	chr14	121422875	121422885	+	0.000	0.000	Merged-chr14-121422910-45
NR1027--MA0002.2.RUNX1	chr10	44429430	44429440	-	0.000	0.000	Merged-chr10-44429593-53
NR2582--MA0684.1.RUNX3	chr13	45850791	45850800	-	0.000	0.000	Merged-chr13-45850664-56
NR821--MA0511.2.RUNX2	chr1	191480308	191480316	-	0.000	0.000	Merged-chr1-191480137-17
NR2310--MA0002.2.RUNX1	chr12	107962043	107962053	+	0.000	0.000	Merged-chr12-107961927-37
NR2976--MA0002.2.RUNX1	chr14	20379783	20379793	+	0.000	0.000	Merged-chr14-20379904-27
NR5039--MA0684.1.RUNX3	chr19	41328933	41328942	+	0.000	0.000	Merged-chr19-41328970-48
NR5118--MA0511.2.RUNX2	chr19	57119827	57119835	+	0.000	0.000	Merged-chr19-57119872-11
NR4242--MA0002.2.RUNX1	chr17	35115619	35115629	-	0.000	0.000	Merged-chr17-35115733-16
NR3438--MA0511.2.RUNX2	chr15	36650167	36650175	-	0.000	0.000	Merged-chr15-36650116-39
NR3709--MA0511.2.RUNX2	chr15	100461458	100461466	-	0.000	0.000	Merged-chr15-100461368-57
NR917--MA0684.1.RUNX3	chr10	18064647	18064656	-	0.000	0.000	Merged-chr10-18064784-37
NR6650--MA0002.2.RUNX1	chr4	21842815	21842825	-	0.000	0.000	Merged-chr4-21842691-16
NR7156--MA0002.2.RUNX1	chr4	148070074	148070084	-	0.000	0.000	Merged-chr4-148069999-26
NR6401--MA0511.2.RUNX2	chr3	133328719	133328727	-	0.000	0.000	Merged-chr3-133328719-18
NR9458--MA0511.2.RUNX2	chr8	124242430	124242438	-	0.000	0.000	Merged-chr8-124242348-54
NR1867--MA0511.2.RUNX2	chr11	113194938	113194946	+	0.000	0.000	Merged-chr11-113194847-27
NR9216--MA0002.2.RUNX1	chr8	36082781	36082791	+	0.000	0.000	Merged-chr8-36082616-47
NR612--MA0684.1.RUNX3	chr1	161794747	161794756	-	0.000	0.000	Merged-chr1-161794797-65
NR2780--MA0002.2.RUNX1	chr13	93785433	93785443	+	0.000	0.000	Merged-chr13-93785385-35
NR5114--MA0684.1.RUNX3	chr19	57055914	57055923	+	0.000	0.000	Merged-chr19-57055875-36
NR864--MA0684.1.RUNX3	chr10	6956461	6956470	+	0.000	0.000	Merged-chr10-6956561-24
NR71--MA0511.2.RUNX2	chr1	36025101	36025109	-	0.000	0.000	Merged-chr1-36025179-31
NR2802--MA0511.2.RUNX2	chr13	98803826	98803834	+	0.000	0.000	Merged-chr13-98803850-12
NR4112--MA0002.2.RUNX1	chr17	6008217	6008227	+	0.000	0.000	Merged-chr17-6008372-53
NR7169--MA0002.2.RUNX1	chr4	149697983	149697993	-	0.000	0.000	Merged-chr4-149697962-1
NR8595--MA0002.2.RUNX1	chr7	43438734	43438744	+	0.000	0.000	Merged-chr7-43438752-42
NR8200--MA0002.2.RUNX1	chr6	108630932	108630942	+	0.000	0.000	Merged-chr6-108631007-44
NR6520--MA0002.2.RUNX1	chr3	146758174	146758184	+	0.000	0.000	Merged-chr3-146758289-47
NR6315--MA0002.2.RUNX1	chr3	115692546	115692556	-	0.000	0.000	Merged-chr3-115692552-34
NR2561--MA0684.1.RUNX3	chr13	40922681	40922690	-	0.000	0.000	Merged-chr13-40922608-25
NR1195--MA0511.2.RUNX2	chr10	83719015	83719023	-	0.000	0.000	Merged-chr10-83719047-59
NR1466--MA0511.2.RUNX2	chr10	130439228	130439236	-	0.000	0.000	Merged-chr10-130439179-24
NR10214--MA0511.2.RUNX2	chrX	136986281	136986289	-	0.000	0.000	Merged-chrX-136986316-28
NR1989--MA0511.2.RUNX2	chr12	25240277	25240285	+	0.000	0.000	Merged-chr12-25240283-42
NR10039--MA0684.1.RUNX3	chr9	123928250	123928259	+	0.000	0.000	Merged-chr9-123928219-7
NR8356--MA0002.2.RUNX1	chr6	129608688	129608698	+	0.000	0.000	Merged-chr6-129608600-43
NR10096--MA0002.2.RUNX1	chrX	48429663	48429673	+	0.000	0.000	Merged-chrX-48429732-34
NR2130--MA0511.2.RUNX2	chr12	79381722	79381730	+	0.000	0.000	Merged-chr12-79381630-18
NR2401--MA0511.2.RUNX2	chr12	118411072	118411080	-	0.000	0.000	Merged-chr12-118411153-21
NR8322--MA0002.2.RUNX1	chr6	126811745	126811755	+	0.000	0.000	Merged-chr6-126811749-38
NR4171--MA0511.2.RUNX2	chr17	18458391	18458399	+	0.000	0.000	Merged-chr17-18458447-27
NR4713--MA0511.2.RUNX2	chr18	62186217	62186225	+	0.000	0.000	Merged-chr18-62186304-32
NR8574--MA0002.2.RUNX1	chr7	31161057	31161067	+	0.000	0.000	Merged-chr7-31161172-57
NR4886--MA0684.1.RUNX3	chr18	89214999	89215008	-	0.000	0.000	Merged-chr18-89214991-26
NR6645--MA0511.2.RUNX2	chr4	20033080	20033088	+	0.000	0.000	Merged-chr4-20033263-40
NR1095--MA0684.1.RUNX3	chr10	67727768	67727777	+	0.000	0.000	Merged-chr10-67727735-22
NR8431--MA0002.2.RUNX1	chr6	140508635	140508645	+	0.000	0.000	Merged-chr6-140508405-40
NR5183--MA0684.1.RUNX3	chr2	9689686	9689695	-	0.000	0.000	Merged-chr2-9689730-31
NR6132--MA0002.2.RUNX1	chr3	84679038	84679048	-	0.000	0.000	Merged-chr3-84679070-45
NR856--MA0684.1.RUNX3	chr10	4977486	4977495	-	0.000	0.000	Merged-chr10-4977529-37
NR9416--MA0511.2.RUNX2	chr8	117074472	117074480	-	0.000	0.000	Merged-chr8-117074609-38
NR8811--MA0002.2.RUNX1	chr7	99429113	99429123	+	0.000	0.000	Merged-chr7-99429027-29
NR4975--MA0002.2.RUNX1	chr19	24971529	24971539	+	0.000	0.000	Merged-chr19-24971475-35
NR1078--MA0511.2.RUNX2	chr10	60389728	60389736	-	0.000	0.000	Merged-chr10-60389736-64
NR6611--MA0511.2.RUNX2	chr4	6472963	6472971	+	0.000	0.000	Merged-chr4-6472958-17
NR7051--MA0511.2.RUNX2	chr4	134043265	134043273	+	0.000	0.000	Merged-chr4-134043155-17
NR8792--MA0002.2.RUNX1	chr7	96946694	96946704	-	0.000	0.000	Merged-chr7-96946684-14
NR7018--MA0002.2.RUNX1	chr4	126677526	126677536	-	0.000	0.000	Merged-chr4-126677717-65
NR965--MA0684.1.RUNX3	chr10	26799660	26799669	+	0.000	0.000	Merged-chr10-26799592-100
NR5067--MA0002.2.RUNX1	chr19	46503784	46503794	+	0.000	0.000	Merged-chr19-46503921-48
NR2361--MA0511.2.RUNX2	chr12	115165658	115165666	+	0.000	0.000	Merged-chr12-115165730-55
NR822--MA0684.1.RUNX3	chr1	191480307	191480316	-	0.000	0.000	Merged-chr1-191480137-17
NR1088--MA0002.2.RUNX1	chr10	67049461	67049471	+	0.000	0.000	Merged-chr10-67049355-33
NR6621--MA0002.2.RUNX1	chr4	8907046	8907056	-	0.000	0.000	Merged-chr4-8906961-41
NR4194--MA0002.2.RUNX1	chr17	25248490	25248500	-	0.000	0.000	Merged-chr17-25248347-49
NR8701--MA0684.1.RUNX3	chr7	72350238	72350247	+	0.000	0.000	Merged-chr7-72350151-23
NR4051--MA0002.2.RUNX1	chr16	91562219	91562229	+	0.000	0.000	Merged-chr16-91562152-19
NR6402--MA0684.1.RUNX3	chr3	133328718	133328727	-	0.000	0.000	Merged-chr3-133328719-18
NR6511--MA0684.1.RUNX3	chr3	145942219	145942228	-	0.000	0.000	Merged-chr3-145942154-31
NR4954--MA0002.2.RUNX1	chr19	20390559	20390569	+	0.000	0.000	Merged-chr19-20390603-26
NR500--MA0511.2.RUNX2	chr1	138136593	138136601	-	0.000	0.000	Merged-chr1-138136631-55
NR5589--MA0684.1.RUNX3	chr2	117447070	117447079	-	0.000	0.000	Merged-chr2-117447085-57
NR8695--MA0684.1.RUNX3	chr7	68350155	68350164	-	0.000	0.000	Merged-chr7-68350249-38
NR9028--MA0511.2.RUNX2	chr7	136255794	136255802	-	0.000	0.000	Merged-chr7-136255803-24
NR130--MA0002.2.RUNX1	chr1	43897360	43897370	-	0.000	0.000	Merged-chr1-43897288-49
NR6267--MA0002.2.RUNX1	chr3	105900027	105900037	-	0.000	0.000	Merged-chr3-105899940-9
NR530--MA0684.1.RUNX3	chr1	144283483	144283492	+	0.000	0.000	Merged-chr1-144283563-68
NR7378--MA0684.1.RUNX3	chr5	53509645	53509654	+	0.000	0.000	Merged-chr5-53509705-20
NR6524--MA0684.1.RUNX3	chr3	146758209	146758218	+	0.000	0.000	Merged-chr3-146758289-47
NR8327--MA0002.2.RUNX1	chr6	127302987	127302997	-	0.000	0.000	Merged-chr6-127302896-25
NR7087--MA0002.2.RUNX1	chr4	137854093	137854103	-	0.000	0.000	Merged-chr4-137854061-36
NR5158--MA0511.2.RUNX2	chr2	3756052	3756060	-	0.000	0.000	Merged-chr2-3756075-14
NR4205--MA0002.2.RUNX1	chr17	28015636	28015646	+	0.000	0.000	Merged-chr17-28015703-1
NR2525--MA0002.2.RUNX1	chr13	32833463	32833473	+	0.000	0.000	Merged-chr13-32833384-31
NR1307--MA0511.2.RUNX2	chr10	98776540	98776548	+	0.000	0.000	Merged-chr10-98776574-38
NR8545--MA0002.2.RUNX1	chr7	19404180	19404190	+	0.000	0.000	Merged-chr7-19404013-49
NR1923--MA0002.2.RUNX1	chr11	121475785	121475795	+	0.000	0.000	Merged-chr11-121475688-49
NR7327--MA0511.2.RUNX2	chr5	35166062	35166070	-	0.000	0.000	Merged-chr5-35166204-55
NR5376--MA0511.2.RUNX2	chr2	60845519	60845527	-	0.000	0.000	Merged-chr2-60845573-40
NR4295--MA0002.2.RUNX1	chr17	47943291	47943301	+	0.000	0.000	Merged-chr17-47943297-31
NR8449--MA0002.2.RUNX1	chr6	143751326	143751336	+	0.000	0.000	Merged-chr6-143751233-79
NR4218--MA0002.2.RUNX1	chr17	29304535	29304545	-	0.000	0.000	Merged-chr17-29304449-24
NR6454--MA0511.2.RUNX2	chr3	142281331	142281339	+	0.000	0.000	Merged-chr3-142281213-32
NR827--MA0684.1.RUNX3	chr1	192062561	192062570	+	0.000	0.000	Merged-chr1-192062779-52
NR4823--MA0684.1.RUNX3	chr18	79079911	79079920	+	0.000	0.000	Merged-chr18-79080001-30
NR8558--MA0002.2.RUNX1	chr7	25155920	25155930	-	0.000	0.000	Merged-chr7-25155994-40
NR5408--MA0511.2.RUNX2	chr2	69003007	69003015	-	0.000	0.000	Merged-chr2-69003152-17
NR4456--MA0684.1.RUNX3	chr17	84226583	84226592	-	0.000	0.000	Merged-chr17-84226544-42
NR5--MA0684.1.RUNX3	chr1	6467287	6467296	-	0.000	0.000	Merged-chr1-6467226-38
NR268--MA0511.2.RUNX2	chr1	80637505	80637513	-	0.000	0.000	Merged-chr1-80637446-57
NR5610--MA0002.2.RUNX1	chr2	126467941	126467951	-	0.000	0.000	Merged-chr2-126467944-38
NR2855--MA0511.2.RUNX2	chr13	107095622	107095630	+	0.000	0.000	Merged-chr13-107095527-25
NR8081--MA0511.2.RUNX2	chr6	86548167	86548175	-	0.000	0.000	Merged-chr6-86548021-53
NR919--MA0511.2.RUNX2	chr10	18917547	18917555	+	0.000	0.000	Merged-chr10-18917466-61
NR787--MA0684.1.RUNX3	chr1	187228920	187228929	-	0.000	0.000	Merged-chr1-187228770-56
NR8808--MA0002.2.RUNX1	chr7	98809877	98809887	+	0.000	0.000	Merged-chr7-98809754-32
NR6271--MA0511.2.RUNX2	chr3	106996465	106996473	+	0.000	0.000	Merged-chr3-106996369-21
NR2626--MA0002.2.RUNX1	chr13	55641101	55641111	-	0.000	0.000	Merged-chr13-55640933-22
NR9599--MA0511.2.RUNX2	chr9	43096539	43096547	+	0.000	0.000	Merged-chr9-43096353-58
NR6986--MA0684.1.RUNX3	chr4	119897309	119897318	-	0.000	0.000	Merged-chr4-119897419-50
NR2484--MA0684.1.RUNX3	chr13	23531168	23531177	+	0.000	0.000	Merged-chr13-23531231-137
NR6843--MA0684.1.RUNX3	chr4	88115656	88115665	-	0.000	0.000	Merged-chr4-88115597-29
NR6909--MA0684.1.RUNX3	chr4	102629842	102629851	-	0.000	0.000	Merged-chr4-102629885-23
NR4415--MA0002.2.RUNX1	chr17	73952311	73952321	-	0.000	0.000	Merged-chr17-73952254-58
NR8232--MA0002.2.RUNX1	chr6	114893967	114893977	-	0.000	0.000	Merged-chr6-114894029-89
NR8235--MA0511.2.RUNX2	chr6	115594677	115594685	+	0.000	0.000	Merged-chr6-115594731-47
NR1991--MA0684.1.RUNX3	chr12	25240277	25240286	+	0.000	0.000	Merged-chr12-25240283-42
NR6604--MA0684.1.RUNX3	chr4	3648960	3648969	+	0.000	0.000	Merged-chr4-3649100-36
NR2324--MA0511.2.RUNX2	chr12	111442587	111442595	-	0.000	0.000	Merged-chr12-111442481-10
NR6185--MA0002.2.RUNX1	chr3	93562573	93562583	-	0.000	0.000	Merged-chr3-93562558-40
NR6456--MA0002.2.RUNX1	chr3	142281338	142281348	-	0.000	0.000	Merged-chr3-142281213-32
NR6727--MA0002.2.RUNX1	chr4	46618589	46618599	-	0.000	0.000	Merged-chr4-46618486-40
NR7882--MA0002.2.RUNX1	chr6	22424382	22424392	+	0.000	0.000	Merged-chr6-22424289-78
NR5159--MA0684.1.RUNX3	chr2	3756051	3756060	-	0.000	0.000	Merged-chr2-3756075-14
NR4527--MA0511.2.RUNX2	chr18	10742980	10742988	-	0.000	0.000	Merged-chr18-10742937-26
NR6979--MA0002.2.RUNX1	chr4	119127155	119127165	+	0.000	0.000	Merged-chr4-119127359-48
NR2162--MA0511.2.RUNX2	chr12	86310026	86310034	-	0.000	0.000	Merged-chr12-86310059-67
NR574--MA0511.2.RUNX2	chr1	155476450	155476458	-	0.000	0.000	Merged-chr1-155476472-40
NR9671--MA0002.2.RUNX1	chr9	56104307	56104317	-	0.000	0.000	Merged-chr9-56104454-58
NR352--MA0684.1.RUNX3	chr1	95674258	95674267	-	0.000	0.000	Merged-chr1-95674241-20
NR2129--MA0002.2.RUNX1	chr12	78980877	78980887	-	0.000	0.000	Merged-chr12-78980936-73
NR2734--MA0684.1.RUNX3	chr13	85430186	85430195	+	0.000	0.000	Merged-chr13-85430211-51
NR2542--MA0511.2.RUNX2	chr13	37541894	37541902	+	0.000	0.000	Merged-chr13-37541855-48
NR6075--MA0684.1.RUNX3	chr3	68789751	68789760	+	0.000	0.000	Merged-chr3-68789660-34
NR1732--MA0002.2.RUNX1	chr11	82214600	82214610	-	0.000	0.000	Merged-chr11-82214647-44
NR749--MA0511.2.RUNX2	chr1	181860901	181860909	-	0.000	0.000	Merged-chr1-181860828-54
NR5820--MA0002.2.RUNX1	chr2	166610381	166610391	-	0.000	0.000	Merged-chr2-166610595-30
NR3664--MA0002.2.RUNX1	chr15	93913639	93913649	-	0.000	0.000	Merged-chr15-93913565-49
NR2096--MA0684.1.RUNX3	chr12	72674643	72674652	+	0.000	0.000	Merged-chr12-72674596-16
NR6011--MA0511.2.RUNX2	chr3	51128999	51129007	-	0.000	0.000	Merged-chr3-51128926-47
NR7752--MA0002.2.RUNX1	chr5	136459000	136459010	+	0.000	0.000	Merged-chr5-136458862-38
NR4232--MA0002.2.RUNX1	chr17	33555685	33555695	+	0.000	0.000	Merged-chr17-33555665-46
NR9955--MA0002.2.RUNX1	chr9	114016573	114016583	-	0.000	0.000	Merged-chr9-114016465-30
NR715--MA0511.2.RUNX2	chr1	176827611	176827619	-	0.000	0.000	Merged-chr1-176827492-35
NR888--MA0684.1.RUNX3	chr10	10307521	10307530	-	0.000	0.000	Merged-chr10-10307543-35
NR8367--MA0002.2.RUNX1	chr6	130103006	130103016	-	0.000	0.000	Merged-chr6-130103023-31
NR8101--MA0684.1.RUNX3	chr6	88939628	88939637	-	0.000	0.000	Merged-chr6-88939617-36
NR4388--MA0002.2.RUNX1	chr17	71192225	71192235	-	0.000	0.000	Merged-chr17-71192022-46
NR4615--MA0511.2.RUNX2	chr18	37926032	37926040	-	0.000	0.000	Merged-chr18-37926090-48
NR9825--MA0002.2.RUNX1	chr9	86624319	86624329	+	0.000	0.000	Merged-chr9-86624608-86
NR1791--MA0511.2.RUNX2	chr11	100804662	100804670	+	0.000	0.000	Merged-chr11-100804708-41
NR758--MA0684.1.RUNX3	chr1	182504346	182504355	-	0.000	0.000	Merged-chr1-182504417-24
NR9663--MA0002.2.RUNX1	chr9	54612825	54612835	+	0.000	0.000	Merged-chr9-54612864-43
NR2869--MA0684.1.RUNX3	chr13	108860300	108860309	-	0.000	0.000	Merged-chr13-108860435-34
