#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Bcl6/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_up.bed
NR654--MA0463.1.Bcl6	chr14	103850544	103850557	+	0.000	0.000	Merged-chr14-103850623-36
NR1452--MA0463.1.Bcl6	chr4	138259675	138259688	+	0.000	0.000	Merged-chr4-138259629-9
NR4--MA0463.1.Bcl6	chr1	20740783	20740796	+	0.000	0.000	Merged-chr1-20740658-39
NR113--MA0463.1.Bcl6	chr1	160044884	160044897	-	0.000	0.000	Merged-chr1-160044750-78
NR1573--MA0731.1.BCL6B	chr5	124022443	124022459	+	0.000	0.000	Merged-chr5-124022476-27
NR1063--MA0731.1.BCL6B	chr2	53102298	53102314	+	0.000	0.000	Merged-chr2-53102302-39
NR410--MA0731.1.BCL6B	chr12	70999571	70999587	+	0.000	0.000	Merged-chr12-70999631-61
NR1180--MA0463.1.Bcl6	chr2	168159068	168159081	-	0.000	0.000	Merged-chr2-168159188-34
NR248--MA0463.1.Bcl6	chr10	93985595	93985608	-	0.000	0.000	Merged-chr10-93985650-27
NR915--MA0463.1.Bcl6	chr18	46182171	46182184	-	0.000	0.000	Merged-chr18-46182052-26
NR154--MA0463.1.Bcl6	chr1	181299201	181299214	-	0.000	0.000	Merged-chr1-181299360-30
NR1339--MA0731.1.BCL6B	chr3	148419638	148419654	-	0.000	0.000	Merged-chr3-148419698-33
NR1666--MA0731.1.BCL6B	chr6	87394950	87394966	-	0.000	0.000	Merged-chr6-87395104-19
NR35--MA0463.1.Bcl6	chr1	72212336	72212349	-	0.000	0.000	Merged-chr1-72212180-28
NR1767--MA0731.1.BCL6B	chr7	25647999	25648015	-	0.000	0.000	Merged-chr7-25647877-43
NR1576--MA0463.1.Bcl6	chr5	124907074	124907087	+	0.000	0.000	Merged-chr5-124907107-45
NR796--MA0463.1.Bcl6	chr16	84616236	84616249	+	0.000	0.000	Merged-chr16-84616157-15
NR1062--MA0463.1.Bcl6	chr2	53051573	53051586	+	0.000	0.000	Merged-chr2-53051556-37
NR5--MA0731.1.BCL6B	chr1	20740780	20740796	-	0.000	0.000	Merged-chr1-20740658-39
NR1631--MA0463.1.Bcl6	chr6	31125737	31125750	+	0.000	0.000	Merged-chr6-31125664-26
NR847--MA0463.1.Bcl6	chr17	44121610	44121623	-	0.000	0.000	Merged-chr17-44121634-62
NR2067--MA0731.1.BCL6B	chr9	105483328	105483344	-	0.000	0.000	Merged-chr9-105483179-11
NR1266--MA0463.1.Bcl6	chr3	104968184	104968197	+	0.000	0.000	Merged-chr3-104968115-29
NR1029--MA0463.1.Bcl6	chr2	18765774	18765787	+	0.000	0.000	Merged-chr2-18765910-35
NR1602--MA0463.1.Bcl6	chr5	143485210	143485223	-	0.000	0.000	Merged-chr5-143485209-17
NR1835--MA0463.1.Bcl6	chr7	110796785	110796798	+	0.000	0.000	Merged-chr7-110796753-46
NR1563--MA0463.1.Bcl6	chr5	117107521	117107534	+	0.000	0.000	Merged-chr5-117107665-16
NR1581--MA0463.1.Bcl6	chr5	130204817	130204830	+	0.000	0.000	Merged-chr5-130204591-44
NR1927--MA0463.1.Bcl6	chr8	75071698	75071711	-	0.000	0.000	Merged-chr8-75071889-52
NR2014--MA0463.1.Bcl6	chr9	52188081	52188094	+	0.000	0.000	Merged-chr9-52188310-18
NR928--MA0463.1.Bcl6	chr18	60803610	60803623	+	0.000	0.000	Merged-chr18-60803637-35
NR176--MA0463.1.Bcl6	chr1	189922365	189922378	-	0.000	0.000	Merged-chr1-189922190-68
NR2028--MA0731.1.BCL6B	chr9	67813929	67813945	-	0.000	0.000	Merged-chr9-67813867-45
NR884--MA0463.1.Bcl6	chr17	80772954	80772967	+	0.000	0.000	Merged-chr17-80772766-52
NR1094--MA0731.1.BCL6B	chr2	79127665	79127681	+	0.000	0.000	Merged-chr2-79127545-30
NR768--MA0463.1.Bcl6	chr16	45223047	45223060	+	0.000	0.000	Merged-chr16-45223020-10
NR1669--MA0463.1.Bcl6	chr6	88939542	88939555	+	0.000	0.000	Merged-chr6-88939617-36
NR6--MA0463.1.Bcl6	chr1	23321543	23321556	+	0.000	0.000	Merged-chr1-23321414-28
NR571--MA0463.1.Bcl6	chr13	107866946	107866959	-	0.000	0.000	Merged-chr13-107866970-30
NR343--MA0463.1.Bcl6	chr11	72321044	72321057	+	0.000	0.000	Merged-chr11-72321004-18
NR1244--MA0463.1.Bcl6	chr3	86961080	86961093	+	0.000	0.000	Merged-chr3-86961231-31
NR1128--MA0463.1.Bcl6	chr2	125673432	125673445	+	0.000	0.000	Merged-chr2-125673245-74
NR890--MA0731.1.BCL6B	chr17	84231464	84231480	+	0.000	0.000	Merged-chr17-84231580-31
NR446--MA0731.1.BCL6B	chr12	104236110	104236126	-	0.000	0.000	Merged-chr12-104236095-61
NR1070--MA0463.1.Bcl6	chr2	60880863	60880876	+	0.000	0.000	Merged-chr2-60880763-2
NR1276--MA0463.1.Bcl6	chr3	108726571	108726584	-	0.000	0.000	Merged-chr3-108726514-23
NR129--MA0463.1.Bcl6	chr1	170853712	170853725	+	0.000	0.000	Merged-chr1-170853758-47
NR1182--MA0463.1.Bcl6	chr2	170126584	170126597	+	0.000	0.000	Merged-chr2-170126544-26
NR841--MA0463.1.Bcl6	chr17	35673883	35673896	+	0.000	0.000	Merged-chr17-35673774-49
NR372--MA0731.1.BCL6B	chr11	106762572	106762588	+	0.000	0.000	Merged-chr11-106762485-69
NR707--MA0463.1.Bcl6	chr15	58655187	58655200	+	0.000	0.000	Merged-chr15-58655104-54
NR985--MA0463.1.Bcl6	chr19	30924257	30924270	-	0.000	0.000	Merged-chr19-30924347-34
NR1448--MA0463.1.Bcl6	chr4	136031602	136031615	+	0.000	0.000	Merged-chr4-136031447-41
NR1923--MA0463.1.Bcl6	chr8	72285484	72285497	+	0.000	0.000	Merged-chr8-72285397-19
NR1400--MA0463.1.Bcl6	chr4	89178165	89178178	+	0.000	0.000	Merged-chr4-89178152-23
NR1401--MA0731.1.BCL6B	chr4	89351187	89351203	+	0.000	0.000	Merged-chr4-89351221-94
NR1924--MA0731.1.BCL6B	chr8	72285481	72285497	-	0.000	0.000	Merged-chr8-72285397-19
NR1629--MA0463.1.Bcl6	chr6	29271104	29271117	+	0.000	0.000	Merged-chr6-29271103-44
NR1683--MA0463.1.Bcl6	chr6	108512120	108512133	+	0.000	0.000	Merged-chr6-108512233-21
NR7--MA0463.1.Bcl6	chr1	23399750	23399763	-	0.000	0.000	Merged-chr1-23399724-29
NR134--MA0463.1.Bcl6	chr1	171939422	171939435	-	0.000	0.000	Merged-chr1-171939454-57
