#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_up.bed
NR4681--MA0495.2.MAFF	chr15	84654345	84654365	-	0.000	0.000	Merged-chr15-84654435-24
NR2765--MA0591.1.Bach1::Mafk	chr12	73647925	73647939	-	0.000	0.000	Merged-chr12-73647879-51
NR2083--MA0117.2.Mafb	chr11	60879634	60879645	-	0.000	0.000	Merged-chr11-60879671-9
NR2269--MA0496.2.MAFK	chr11	87074102	87074120	+	0.000	0.000	Merged-chr11-87073947-35
NR73--MA0089.1.MAFG::NFE2L1	chr1	36883862	36883867	-	0.000	0.000	Merged-chr1-36883943-16
NR1334--MA0117.2.Mafb	chr10	54013692	54013703	-	0.000	0.000	Merged-chr10-54013658-12
NR2181--MA0501.1.MAF::NFE2	chr11	75530549	75530563	-	0.000	0.000	Merged-chr11-75530665-33
NR9458--MA0089.1.MAFG::NFE2L1	chr5	92327483	92327488	-	0.000	0.000	Merged-chr5-92327493-24
NR9732--MA0089.1.MAFG::NFE2L1	chr5	124022577	124022582	+	0.000	0.000	Merged-chr5-124022476-27
NR11363--MA0501.1.MAF::NFE2	chr7	117449844	117449858	-	0.000	0.000	Merged-chr7-117449738-12
NR9630--MA0089.1.MAFG::NFE2L1	chr5	114378313	114378318	+	0.000	0.000	Merged-chr5-114378322-36
NR5422--MA0089.1.MAFG::NFE2L1	chr17	33940346	33940351	+	0.000	0.000	Merged-chr17-33940486-52
NR911--MA0496.2.MAFK	chr1	180942985	180943003	+	0.000	0.000	Merged-chr1-180943118-2
NR11109--MA0591.1.Bach1::Mafk	chr7	80889940	80889954	-	0.000	0.000	Merged-chr7-80889840-60
NR3903--MA0495.2.MAFF	chr14	16244006	16244026	-	0.000	0.000	Merged-chr14-16243907-1
NR9979--MA0501.1.MAF::NFE2	chr6	17633954	17633968	-	0.000	0.000	Merged-chr6-17634029-17
NR6388--MA0089.1.MAFG::NFE2L1	chr19	57150498	57150503	-	0.000	0.000	Merged-chr19-57150448-16
NR2265--MA0591.1.Bach1::Mafk	chr11	87074104	87074118	+	0.000	0.000	Merged-chr11-87073947-35
NR3908--MA0496.2.MAFK	chr14	16244007	16244025	-	0.000	0.000	Merged-chr14-16243907-1
NR12335--MA0089.1.MAFG::NFE2L1	chr9	57577549	57577554	-	0.000	0.000	Merged-chr9-57577523-17
NR5655--MA0089.1.MAFG::NFE2L1	chr17	88060190	88060195	+	0.000	0.000	Merged-chr17-88060218-12
NR10805--MA0591.1.Bach1::Mafk	chr7	15949562	15949576	-	0.000	0.000	Merged-chr7-15949519-32
NR2450--MA0089.1.MAFG::NFE2L1	chr11	113187343	113187348	-	0.000	0.000	Merged-chr11-113187180-1
NR3202--MA0089.1.MAFG::NFE2L1	chr13	8400881	8400886	+	0.000	0.000	Merged-chr13-8400702-31
NR6291--MA0089.1.MAFG::NFE2L1	chr19	40762495	40762500	+	0.000	0.000	Merged-chr19-40762334-20
NR3039--MA0089.1.MAFG::NFE2L1	chr12	112702470	112702475	+	0.000	0.000	Merged-chr12-112702539-19
NR12744--MA0089.1.MAFG::NFE2L1	chr9	114743033	114743038	+	0.000	0.000	Merged-chr9-114742915-20
NR7687--MA0496.2.MAFK	chr3	59062427	59062445	+	0.000	0.000	Merged-chr3-59062358-13
NR4637--MA0591.1.Bach1::Mafk	chr15	78475897	78475911	+	0.000	0.000	Merged-chr15-78475824-65
NR12386--MA0501.1.MAF::NFE2	chr9	66615320	66615334	+	0.000	0.000	Merged-chr9-66615364-32
NR7445--MA0591.1.Bach1::Mafk	chr2	168591529	168591543	-	0.000	0.000	Merged-chr2-168591388-1
NR10230--MA0117.2.Mafb	chr6	85131848	85131859	+	0.000	0.000	Merged-chr6-85131905-22
NR6834--MA0591.1.Bach1::Mafk	chr2	75685656	75685670	+	0.000	0.000	Merged-chr2-75685689-38
NR6896--MA0117.2.Mafb	chr2	91182132	91182143	+	0.000	0.000	Merged-chr2-91182163-6
NR10347--MA0117.2.Mafb	chr6	108170309	108170320	+	0.000	0.000	Merged-chr6-108170388-8
NR11361--MA0659.1.MAFG	chr7	117449844	117449864	+	0.000	0.000	Merged-chr7-117449738-12
NR10917--MA0089.1.MAFG::NFE2L1	chr7	30353511	30353516	+	0.000	0.000	Merged-chr7-30353555-8
NR6636--MA0089.1.MAFG::NFE2L1	chr2	37565818	37565823	+	0.000	0.000	Merged-chr2-37565860-32
NR7685--MA0495.2.MAFF	chr3	59062426	59062446	+	0.000	0.000	Merged-chr3-59062358-13
NR4499--MA0591.1.Bach1::Mafk	chr15	55838810	55838824	-	0.000	0.000	Merged-chr15-55838772-33
NR2263--MA0495.2.MAFF	chr11	87074101	87074121	+	0.000	0.000	Merged-chr11-87073947-35
NR10235--MA0089.1.MAFG::NFE2L1	chr6	86594870	86594875	-	0.000	0.000	Merged-chr6-86595040-14
NR11364--MA0496.2.MAFK	chr7	117449845	117449863	+	0.000	0.000	Merged-chr7-117449738-12
NR525--MA0089.1.MAFG::NFE2L1	chr1	136116560	136116565	+	0.000	0.000	Merged-chr1-136116448-23
NR2511--MA0089.1.MAFG::NFE2L1	chr11	116618357	116618362	+	0.000	0.000	Merged-chr11-116618312-2
NR8880--MA0501.1.MAF::NFE2	chr4	133843253	133843267	-	0.000	0.000	Merged-chr4-133843326-54
NR4633--MA0591.1.Bach1::Mafk	chr15	78170883	78170897	+	0.000	0.000	Merged-chr15-78170895-5
NR11966--MA0089.1.MAFG::NFE2L1	chr8	111998831	111998836	-	0.000	0.000	Merged-chr8-111998914-9
NR3720--MA0591.1.Bach1::Mafk	chr13	109238839	109238853	+	0.000	0.000	Merged-chr13-109238823-1
NR4016--MA0089.1.MAFG::NFE2L1	chr14	53078671	53078676	-	0.000	0.000	Merged-chr14-53078717-37
NR4500--MA0659.1.MAFG	chr15	55838807	55838827	+	0.000	0.000	Merged-chr15-55838772-33
NR7600--MA0501.1.MAF::NFE2	chr3	18623967	18623981	-	0.000	0.000	Merged-chr3-18624063-31
NR9783--MA0591.1.Bach1::Mafk	chr5	137870853	137870867	+	0.000	0.000	Merged-chr5-137870793-17
NR11699--MA0089.1.MAFG::NFE2L1	chr8	36194386	36194391	+	0.000	0.000	Merged-chr8-36194183-57
NR10366--MA0089.1.MAFG::NFE2L1	chr6	108537159	108537164	+	0.000	0.000	Merged-chr6-108536943-79
NR5430--MA0089.1.MAFG::NFE2L1	chr17	34630327	34630332	+	0.000	0.000	Merged-chr17-34630470-19
NR7599--MA0501.1.MAF::NFE2	chr3	18623973	18623987	+	0.000	0.000	Merged-chr3-18624063-31
NR4503--MA0496.2.MAFK	chr15	55838808	55838826	-	0.000	0.000	Merged-chr15-55838772-33
NR12032--MA0089.1.MAFG::NFE2L1	chr8	122561297	122561302	-	0.000	0.000	Merged-chr8-122561364-37
NR11480--MA0089.1.MAFG::NFE2L1	chr7	132772572	132772577	+	0.000	0.000	Merged-chr7-132772585-7
NR3902--MA0495.2.MAFF	chr14	16244006	16244026	+	0.000	0.000	Merged-chr14-16243907-1
NR7597--MA0591.1.Bach1::Mafk	chr3	18623970	18623984	+	0.000	0.000	Merged-chr3-18624063-31
NR2766--MA0501.1.MAF::NFE2	chr12	73647922	73647936	-	0.000	0.000	Merged-chr12-73647879-51
NR2270--MA0496.2.MAFK	chr11	87074102	87074120	-	0.000	0.000	Merged-chr11-87073947-35
NR4631--MA0501.1.MAF::NFE2	chr15	77820081	77820095	+	0.000	0.000	Merged-chr15-77820208-30
NR5654--MA0089.1.MAFG::NFE2L1	chr17	88060053	88060058	-	0.000	0.000	Merged-chr17-88060218-12
NR9093--MA0089.1.MAFG::NFE2L1	chr5	3460396	3460401	+	0.000	0.000	Merged-chr5-3460489-2
NR3906--MA0501.1.MAF::NFE2	chr14	16244006	16244020	-	0.000	0.000	Merged-chr14-16243907-1
NR272--MA0089.1.MAFG::NFE2L1	chr1	78478073	78478078	+	0.000	0.000	Merged-chr1-78478073-15
NR8879--MA0591.1.Bach1::Mafk	chr4	133843256	133843270	-	0.000	0.000	Merged-chr4-133843326-54
NR8666--MA0089.1.MAFG::NFE2L1	chr4	101234853	101234858	-	0.000	0.000	Merged-chr4-101235092-24
NR3189--MA0117.2.Mafb	chr13	5913406	5913417	-	0.000	0.000	Merged-chr13-5913367-24
NR10395--MA0089.1.MAFG::NFE2L1	chr6	114644708	114644713	-	0.000	0.000	Merged-chr6-114644613-24
NR7646--MA0089.1.MAFG::NFE2L1	chr3	35763896	35763901	-	0.000	0.000	Merged-chr3-35763987-7
NR2266--MA0591.1.Bach1::Mafk	chr11	87074104	87074118	-	0.000	0.000	Merged-chr11-87073947-35
NR7686--MA0495.2.MAFF	chr3	59062426	59062446	-	0.000	0.000	Merged-chr3-59062358-13
NR9038--MA0089.1.MAFG::NFE2L1	chr4	149487998	149488003	-	0.000	0.000	Merged-chr4-149487937-22
NR4308--MA0591.1.Bach1::Mafk	chr14	121313385	121313399	-	0.000	0.000	Merged-chr14-121313397-5
NR3410--MA0089.1.MAFG::NFE2L1	chr13	51763435	51763440	-	0.000	0.000	Merged-chr13-51763503-22
NR2264--MA0495.2.MAFF	chr11	87074101	87074121	-	0.000	0.000	Merged-chr11-87073947-35
NR1479--MA0089.1.MAFG::NFE2L1	chr10	83733796	83733801	+	0.000	0.000	Merged-chr10-83733897-13
NR11365--MA0496.2.MAFK	chr7	117449845	117449863	-	0.000	0.000	Merged-chr7-117449738-12
NR5944--MA0501.1.MAF::NFE2	chr18	65392718	65392732	-	0.000	0.000	Merged-chr18-65392671-27
NR4376--MA0089.1.MAFG::NFE2L1	chr15	10583678	10583683	+	0.000	0.000	Merged-chr15-10583571-15
NR6737--MA0089.1.MAFG::NFE2L1	chr2	58052712	58052717	-	0.000	0.000	Merged-chr2-58052877-27
NR3043--MA0089.1.MAFG::NFE2L1	chr12	113023311	113023316	-	0.000	0.000	Merged-chr12-113023273-19
NR1199--MA0117.2.Mafb	chr10	20855280	20855291	+	0.000	0.000	Merged-chr10-20855169-17
NR5502--MA0089.1.MAFG::NFE2L1	chr17	56898021	56898026	+	0.000	0.000	Merged-chr17-56897869-32
NR1471--MA0089.1.MAFG::NFE2L1	chr10	82887508	82887513	-	0.000	0.000	Merged-chr10-82887554-36
NR3341--MA0089.1.MAFG::NFE2L1	chr13	35871419	35871424	-	0.000	0.000	Merged-chr13-35871308-48
NR4501--MA0659.1.MAFG	chr15	55838807	55838827	-	0.000	0.000	Merged-chr15-55838772-33
NR1861--MA0501.1.MAF::NFE2	chr10	130311778	130311792	-	0.000	0.000	Merged-chr10-130311798-35
NR11967--MA0089.1.MAFG::NFE2L1	chr8	111998985	111998990	-	0.000	0.000	Merged-chr8-111998914-9
NR5800--MA0089.1.MAFG::NFE2L1	chr18	32994098	32994103	-	0.000	0.000	Merged-chr18-32994204-28
NR10588--MA0501.1.MAF::NFE2	chr6	137535765	137535779	+	0.000	0.000	Merged-chr6-137535864-11
NR5379--MA0501.1.MAF::NFE2	chr17	26610555	26610569	+	0.000	0.000	Merged-chr17-26610479-9
NR11359--MA0495.2.MAFF	chr7	117449844	117449864	+	0.000	0.000	Merged-chr7-117449738-12
NR4627--MA0117.2.Mafb	chr15	76908399	76908410	+	0.000	0.000	Merged-chr15-76908278-27
NR1156--MA0117.2.Mafb	chr10	8114751	8114762	+	0.000	0.000	Merged-chr10-8114818-9
NR3905--MA0591.1.Bach1::Mafk	chr14	16244009	16244023	-	0.000	0.000	Merged-chr14-16243907-1
NR131--MA0591.1.Bach1::Mafk	chr1	52753955	52753969	-	0.000	0.000	Merged-chr1-52754097-20
NR2180--MA0591.1.Bach1::Mafk	chr11	75530552	75530566	-	0.000	0.000	Merged-chr11-75530665-33
NR4497--MA0495.2.MAFF	chr15	55838807	55838827	-	0.000	0.000	Merged-chr15-55838772-33
NR10052--MA0501.1.MAF::NFE2	chr6	42354547	42354561	+	0.000	0.000	Merged-chr6-42354474-17
NR4634--MA0501.1.MAF::NFE2	chr15	78170886	78170900	+	0.000	0.000	Merged-chr15-78170895-5
NR2767--MA0089.1.MAFG::NFE2L1	chr12	73648002	73648007	+	0.000	0.000	Merged-chr12-73647879-51
NR1347--MA0089.1.MAFG::NFE2L1	chr10	59636946	59636951	-	0.000	0.000	Merged-chr10-59636988-40
NR4502--MA0496.2.MAFK	chr15	55838808	55838826	+	0.000	0.000	Merged-chr15-55838772-33
NR5612--MA0117.2.Mafb	chr17	83483964	83483975	-	0.000	0.000	Merged-chr17-83484048-22
NR2267--MA0659.1.MAFG	chr11	87074101	87074121	+	0.000	0.000	Merged-chr11-87073947-35
NR4081--MA0591.1.Bach1::Mafk	chr14	66221159	66221173	-	0.000	0.000	Merged-chr14-66221220-33
NR1157--MA0496.2.MAFK	chr10	8114752	8114770	-	0.000	0.000	Merged-chr10-8114818-9
NR11639--MA0089.1.MAFG::NFE2L1	chr8	15014319	15014324	+	0.000	0.000	Merged-chr8-15014301-41
NR3904--MA0089.1.MAFG::NFE2L1	chr14	16244018	16244023	+	0.000	0.000	Merged-chr14-16243907-1
NR7744--MA0591.1.Bach1::Mafk	chr3	79248496	79248510	+	0.000	0.000	Merged-chr3-79248582-102
NR11964--MA0117.2.Mafb	chr8	111976532	111976543	-	0.000	0.000	Merged-chr8-111976573-47
NR4682--MA0496.2.MAFK	chr15	84654346	84654364	-	0.000	0.000	Merged-chr15-84654435-24
NR3022--MA0089.1.MAFG::NFE2L1	chr12	110706907	110706912	-	0.000	0.000	Merged-chr12-110706932-16
NR3026--MA0117.2.Mafb	chr12	111872271	111872282	+	0.000	0.000	Merged-chr12-111872189-9
NR193--MA0089.1.MAFG::NFE2L1	chr1	62829929	62829934	-	0.000	0.000	Merged-chr1-62829921-36
NR3626--MA0089.1.MAFG::NFE2L1	chr13	99148688	99148693	-	0.000	0.000	Merged-chr13-99148566-18
NR7598--MA0591.1.Bach1::Mafk	chr3	18623970	18623984	-	0.000	0.000	Merged-chr3-18624063-31
NR7367--MA0089.1.MAFG::NFE2L1	chr2	157567399	157567404	-	0.000	0.000	Merged-chr2-157567456-9
NR1480--MA0501.1.MAF::NFE2	chr10	83733797	83733811	+	0.000	0.000	Merged-chr10-83733897-13
NR6782--MA0496.2.MAFK	chr2	65134009	65134027	+	0.000	0.000	Merged-chr2-65133825-19
NR1363--MA0089.1.MAFG::NFE2L1	chr10	62186845	62186850	-	0.000	0.000	Merged-chr10-62187045-24
NR4311--MA0501.1.MAF::NFE2	chr14	121313552	121313566	-	0.000	0.000	Merged-chr14-121313397-5
NR5293--MA0089.1.MAFG::NFE2L1	chr17	6743748	6743753	-	0.000	0.000	Merged-chr17-6743810-66
NR6725--MA0089.1.MAFG::NFE2L1	chr2	53102208	53102213	-	0.000	0.000	Merged-chr2-53102302-39
NR3042--MA0089.1.MAFG::NFE2L1	chr12	113023230	113023235	+	0.000	0.000	Merged-chr12-113023273-19
NR912--MA0496.2.MAFK	chr1	180942985	180943003	-	0.000	0.000	Merged-chr1-180943118-2
NR4309--MA0089.1.MAFG::NFE2L1	chr14	121313562	121313567	-	0.000	0.000	Merged-chr14-121313397-5
NR610--MA0089.1.MAFG::NFE2L1	chr1	151083978	151083983	+	0.000	0.000	Merged-chr1-151084034-24
NR9957--MA0089.1.MAFG::NFE2L1	chr6	12080564	12080569	+	0.000	0.000	Merged-chr6-12080624-16
NR7204--MA0089.1.MAFG::NFE2L1	chr2	139671877	139671882	+	0.000	0.000	Merged-chr2-139671820-32
NR4580--MA0089.1.MAFG::NFE2L1	chr15	66779052	66779057	-	0.000	0.000	Merged-chr15-66778898-35
NR11775--MA0089.1.MAFG::NFE2L1	chr8	70675603	70675608	+	0.000	0.000	Merged-chr8-70675526-9
