#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_dn.bed
NR9825--MA0089.1.MAFG::NFE2L1	chr5	143561770	143561775	-	0.000	0.000	Merged-chr5-143561800-6
NR4967--MA0089.1.MAFG::NFE2L1	chr16	46001705	46001710	+	0.000	0.000	Merged-chr16-46001866-55
NR9370--MA0495.2.MAFF	chr5	74471049	74471069	+	0.000	0.000	Merged-chr5-74471085-11
NR5908--MA0089.1.MAFG::NFE2L1	chr18	62163173	62163178	-	0.000	0.000	Merged-chr18-62163179-10
NR9372--MA0659.1.MAFG	chr5	74471049	74471069	+	0.000	0.000	Merged-chr5-74471085-11
NR328--MA0501.1.MAF::NFE2	chr1	88497495	88497509	-	0.000	0.000	Merged-chr1-88497619-10
NR137--MA0089.1.MAFG::NFE2L1	chr1	55215700	55215705	-	0.000	0.000	Merged-chr1-55215600-38
NR1428--MA0501.1.MAF::NFE2	chr10	76802327	76802341	-	0.000	0.000	Merged-chr10-76802342-40
NR10103--MA0591.1.Bach1::Mafk	chr6	54760020	54760034	+	0.000	0.000	Merged-chr6-54760187-57
NR9699--MA0117.2.Mafb	chr5	120621498	120621509	+	0.000	0.000	Merged-chr5-120621262-88
NR1284--MA0089.1.MAFG::NFE2L1	chr10	39458912	39458917	+	0.000	0.000	Merged-chr10-39458935-16
NR6658--MA0591.1.Bach1::Mafk	chr2	45023958	45023972	+	0.000	0.000	Merged-chr2-45024097-31
NR143--MA0591.1.Bach1::Mafk	chr1	58304611	58304625	-	0.000	0.000	Merged-chr1-58304515-8
NR2972--MA0496.2.MAFK	chr12	105068987	105069005	+	0.000	0.000	Merged-chr12-105069151-33
NR9923--MA0089.1.MAFG::NFE2L1	chr6	6577516	6577521	+	0.000	0.000	Merged-chr6-6577639-1
NR5794--MA0496.2.MAFK	chr18	32311874	32311892	-	0.000	0.000	Merged-chr18-32311918-36
NR2639--MA0659.1.MAFG	chr12	26185250	26185270	-	0.000	0.000	Merged-chr12-26185150-29
NR2655--MA0495.2.MAFF	chr12	31997008	31997028	-	0.000	0.000	Merged-chr12-31997107-37
NR3132--MA0501.1.MAF::NFE2	chr12	116269654	116269668	-	0.000	0.000	Merged-chr12-116269685-29
NR12306--MA0089.1.MAFG::NFE2L1	chr9	45247677	45247682	-	0.000	0.000	Merged-chr9-45247703-45
NR2238--MA0089.1.MAFG::NFE2L1	chr11	83629041	83629046	-	0.000	0.000	Merged-chr11-83628943-8
NR8401--MA0089.1.MAFG::NFE2L1	chr4	7112407	7112412	+	0.000	0.000	Merged-chr4-7112485-9
NR9312--MA0501.1.MAF::NFE2	chr5	65951298	65951312	+	0.000	0.000	Merged-chr5-65951105-46
NR5528--MA0089.1.MAFG::NFE2L1	chr17	65947475	65947480	+	0.000	0.000	Merged-chr17-65947509-8
NR4382--MA0496.2.MAFK	chr15	11952478	11952496	-	0.000	0.000	Merged-chr15-11952376-20
NR9041--MA0089.1.MAFG::NFE2L1	chr4	149697780	149697785	-	0.000	0.000	Merged-chr4-149697614-5
NR11041--MA0591.1.Bach1::Mafk	chr7	66250208	66250222	-	0.000	0.000	Merged-chr7-66250161-34
NR12798--MA0089.1.MAFG::NFE2L1	chr9	119254991	119254996	-	0.000	0.000	Merged-chr9-119254891-26
NR11696--MA0501.1.MAF::NFE2	chr8	36165143	36165157	-	0.000	0.000	Merged-chr8-36165125-29
NR12651--MA0117.2.Mafb	chr9	102573087	102573098	+	0.000	0.000	Merged-chr9-102573138-23
NR2657--MA0117.2.Mafb	chr12	31997017	31997028	-	0.000	0.000	Merged-chr12-31997107-37
NR3297--MA0496.2.MAFK	chr13	24515260	24515278	+	0.000	0.000	Merged-chr13-24515324-15
NR2814--MA0089.1.MAFG::NFE2L1	chr12	82251510	82251515	-	0.000	0.000	Merged-chr12-82251542-24
NR4481--MA0501.1.MAF::NFE2	chr15	51823240	51823254	-	0.000	0.000	Merged-chr15-51823268-39
NR11535--MA0591.1.Bach1::Mafk	chr7	139295825	139295839	-	0.000	0.000	Merged-chr7-139295944-32
NR12681--MA0495.2.MAFF	chr9	107629890	107629910	+	0.000	0.000	Merged-chr9-107629977-18
NR8780--MA0117.2.Mafb	chr4	119962920	119962931	-	0.000	0.000	Merged-chr4-119962727-36
NR5262--MA0501.1.MAF::NFE2	chr16	97002597	97002611	-	0.000	0.000	Merged-chr16-97002537-1
NR5824--MA0117.2.Mafb	chr18	39185933	39185944	-	0.000	0.000	Merged-chr18-39185847-29
NR1431--MA0591.1.Bach1::Mafk	chr10	77225546	77225560	+	0.000	0.000	Merged-chr10-77225622-11
NR3204--MA0495.2.MAFF	chr13	9082703	9082723	+	0.000	0.000	Merged-chr13-9082570-19
NR233--MA0591.1.Bach1::Mafk	chr1	69548600	69548614	-	0.000	0.000	Merged-chr1-69548718-45
NR9087--MA0659.1.MAFG	chr5	3358936	3358956	+	0.000	0.000	Merged-chr5-3358967-15
NR10913--MA0496.2.MAFK	chr7	30000837	30000855	+	0.000	0.000	Merged-chr7-30000834-5
NR8929--MA0089.1.MAFG::NFE2L1	chr4	141419657	141419662	-	0.000	0.000	Merged-chr4-141419764-31
NR6735--MA0501.1.MAF::NFE2	chr2	55253364	55253378	-	0.000	0.000	Merged-chr2-55253274-13
NR4518--MA0495.2.MAFF	chr15	58927827	58927847	+	0.000	0.000	Merged-chr15-58927815-41
NR6965--MA0591.1.Bach1::Mafk	chr2	114135319	114135333	+	0.000	0.000	Merged-chr2-114135366-6
NR4092--MA0496.2.MAFK	chr14	68048503	68048521	-	0.000	0.000	Merged-chr14-68048538-29
NR3206--MA0117.2.Mafb	chr13	9082712	9082723	-	0.000	0.000	Merged-chr13-9082570-19
NR7627--MA0501.1.MAF::NFE2	chr3	27210449	27210463	-	0.000	0.000	Merged-chr3-27210457-3
NR6254--MA0496.2.MAFK	chr19	33160167	33160185	+	0.000	0.000	Merged-chr19-33160221-22
NR9352--MA0089.1.MAFG::NFE2L1	chr5	73199824	73199829	-	0.000	0.000	Merged-chr5-73199876-43
NR10904--MA0591.1.Bach1::Mafk	chr7	30000775	30000789	-	0.000	0.000	Merged-chr7-30000834-5
NR12994--MA0089.1.MAFG::NFE2L1	chrX	104760551	104760556	-	0.000	0.000	Merged-chrX-104760741-26
NR10815--MA0496.2.MAFK	chr7	16057371	16057389	-	0.000	0.000	Merged-chr7-16057177-61
NR3130--MA0117.2.Mafb	chr12	116269654	116269665	+	0.000	0.000	Merged-chr12-116269685-29
NR142--MA0089.1.MAFG::NFE2L1	chr1	58304618	58304623	-	0.000	0.000	Merged-chr1-58304515-8
NR10856--MA0495.2.MAFF	chr7	25107335	25107355	-	0.000	0.000	Merged-chr7-25107253-25
NR9085--MA0591.1.Bach1::Mafk	chr5	3358939	3358953	+	0.000	0.000	Merged-chr5-3358967-15
NR12686--MA0496.2.MAFK	chr9	107629891	107629909	-	0.000	0.000	Merged-chr9-107629977-18
NR11184--MA0501.1.MAF::NFE2	chr7	99794263	99794277	-	0.000	0.000	Merged-chr7-99794311-17
NR10858--MA0659.1.MAFG	chr7	25107335	25107355	-	0.000	0.000	Merged-chr7-25107253-25
NR7860--MA0591.1.Bach1::Mafk	chr3	100485572	100485586	+	0.000	0.000	Merged-chr3-100485684-16
NR10972--MA0591.1.Bach1::Mafk	chr7	49762880	49762894	+	0.000	0.000	Merged-chr7-49762758-15
NR1591--MA0089.1.MAFG::NFE2L1	chr10	95914631	95914636	-	0.000	0.000	Merged-chr10-95914776-60
NR10923--MA0501.1.MAF::NFE2	chr7	31002843	31002857	+	0.000	0.000	Merged-chr7-31002870-48
NR6086--MA0089.1.MAFG::NFE2L1	chr18	84859697	84859702	+	0.000	0.000	Merged-chr18-84859622-32
NR9686--MA0495.2.MAFF	chr5	118620495	118620515	+	0.000	0.000	Merged-chr5-118620530-42
NR3290--MA0495.2.MAFF	chr13	24515259	24515279	+	0.000	0.000	Merged-chr13-24515324-15
NR2287--MA0117.2.Mafb	chr11	90576726	90576737	-	0.000	0.000	Merged-chr11-90576690-20
NR5720--MA0089.1.MAFG::NFE2L1	chr18	5694538	5694543	+	0.000	0.000	Merged-chr18-5694694-26
NR11349--MA0591.1.Bach1::Mafk	chr7	116409585	116409599	-	0.000	0.000	Merged-chr7-116409560-37
NR1395--MA0591.1.Bach1::Mafk	chr10	68540769	68540783	-	0.000	0.000	Merged-chr10-68540864-1
NR12539--MA0089.1.MAFG::NFE2L1	chr9	85672289	85672294	-	0.000	0.000	Merged-chr9-85672342-1
NR4519--MA0591.1.Bach1::Mafk	chr15	58927830	58927844	-	0.000	0.000	Merged-chr15-58927815-41
NR1312--MA0089.1.MAFG::NFE2L1	chr10	42934724	42934729	-	0.000	0.000	Merged-chr10-42934777-29
NR11194--MA0089.1.MAFG::NFE2L1	chr7	101547951	101547956	+	0.000	0.000	Merged-chr7-101547952-32
NR3928--MA0591.1.Bach1::Mafk	chr14	20846168	20846182	-	0.000	0.000	Merged-chr14-20846065-30
NR9374--MA0501.1.MAF::NFE2	chr5	74471049	74471063	-	0.000	0.000	Merged-chr5-74471085-11
NR9364--MA0495.2.MAFF	chr5	74470989	74471009	+	0.000	0.000	Merged-chr5-74471085-11
NR1466--MA0501.1.MAF::NFE2	chr10	82053780	82053794	+	0.000	0.000	Merged-chr10-82053844-6
NR4579--MA0117.2.Mafb	chr15	66558971	66558982	-	0.000	0.000	Merged-chr15-66559012-25
NR7603--MA0089.1.MAFG::NFE2L1	chr3	19707067	19707072	-	0.000	0.000	Merged-chr3-19706982-40
NR12394--MA0591.1.Bach1::Mafk	chr9	69125460	69125474	-	0.000	0.000	Merged-chr9-69125560-59
NR3296--MA0501.1.MAF::NFE2	chr13	24515265	24515279	+	0.000	0.000	Merged-chr13-24515324-15
NR3292--MA0117.2.Mafb	chr13	24515259	24515270	+	0.000	0.000	Merged-chr13-24515324-15
NR12479--MA0591.1.Bach1::Mafk	chr9	80252242	80252256	-	0.000	0.000	Merged-chr9-80252331-18
NR5886--MA0496.2.MAFK	chr18	55107148	55107166	+	0.000	0.000	Merged-chr18-55107186-34
NR9328--MA0501.1.MAF::NFE2	chr5	67404587	67404601	+	0.000	0.000	Merged-chr5-67404737-28
NR10563--MA0117.2.Mafb	chr6	134710581	134710592	+	0.000	0.000	Merged-chr6-134710635-12
NR5631--MA0089.1.MAFG::NFE2L1	chr17	85901467	85901472	-	0.000	0.000	Merged-chr17-85901349-9
NR12335--MA0089.1.MAFG::NFE2L1	chr9	57577549	57577554	-	0.000	0.000	Merged-chr9-57577523-17
NR11697--MA0501.1.MAF::NFE2	chr8	36184258	36184272	+	0.000	0.000	Merged-chr8-36184209-47
NR3862--MA0501.1.MAF::NFE2	chr13	119657428	119657442	-	0.000	0.000	Merged-chr13-119657260-10
NR11708--MA0089.1.MAFG::NFE2L1	chr8	46636515	46636520	+	0.000	0.000	Merged-chr8-46636605-4
NR9337--MA0496.2.MAFK	chr5	67437632	67437650	-	0.000	0.000	Merged-chr5-67437495-24
NR5005--MA0495.2.MAFF	chr16	52468520	52468540	-	0.000	0.000	Merged-chr16-52468577-24
NR4439--MA0089.1.MAFG::NFE2L1	chr15	37193060	37193065	+	0.000	0.000	Merged-chr15-37193081-4
NR10578--MA0089.1.MAFG::NFE2L1	chr6	136547245	136547250	+	0.000	0.000	Merged-chr6-136547260-16
NR10315--MA0496.2.MAFK	chr6	99420833	99420851	+	0.000	0.000	Merged-chr6-99420809-31
NR10100--MA0496.2.MAFK	chr6	54685255	54685273	-	0.000	0.000	Merged-chr6-54685260-34
NR2756--MA0089.1.MAFG::NFE2L1	chr12	70995435	70995440	+	0.000	0.000	Merged-chr12-70995410-19
NR10902--MA0495.2.MAFF	chr7	30000772	30000792	+	0.000	0.000	Merged-chr7-30000834-5
NR2879--MA0117.2.Mafb	chr12	92823563	92823574	+	0.000	0.000	Merged-chr12-92823421-39
NR10526--MA0591.1.Bach1::Mafk	chr6	128843921	128843935	+	0.000	0.000	Merged-chr6-128843932-5
NR1592--MA0117.2.Mafb	chr10	95964827	95964838	+	0.000	0.000	Merged-chr10-95964744-26
NR4148--MA0089.1.MAFG::NFE2L1	chr14	77906646	77906651	+	0.000	0.000	Merged-chr14-77906717-3
NR12311--MA0591.1.Bach1::Mafk	chr9	48817501	48817515	+	0.000	0.000	Merged-chr9-48817420-28
NR5466--MA0089.1.MAFG::NFE2L1	chr17	46378795	46378800	+	0.000	0.000	Merged-chr17-46378659-16
NR4046--MA0089.1.MAFG::NFE2L1	chr14	59691170	59691175	-	0.000	0.000	Merged-chr14-59691138-19
NR4504--MA0591.1.Bach1::Mafk	chr15	55906989	55907003	-	0.000	0.000	Merged-chr15-55906885-1
NR4839--MA0089.1.MAFG::NFE2L1	chr16	10976316	10976321	-	0.000	0.000	Merged-chr16-10976349-23
NR9083--MA0495.2.MAFF	chr5	3358936	3358956	-	0.000	0.000	Merged-chr5-3358967-15
NR4355--MA0591.1.Bach1::Mafk	chr15	5695181	5695195	+	0.000	0.000	Merged-chr15-5695186-29
NR4401--MA0117.2.Mafb	chr15	27627258	27627269	+	0.000	0.000	Merged-chr15-27627368-1
NR4086--MA0495.2.MAFF	chr14	68048502	68048522	+	0.000	0.000	Merged-chr14-68048538-29
NR9958--MA0117.2.Mafb	chr6	12082108	12082119	+	0.000	0.000	Merged-chr6-12082002-27
NR8779--MA0501.1.MAF::NFE2	chr4	119921452	119921466	-	0.000	0.000	Merged-chr4-119921315-32
NR9294--MA0089.1.MAFG::NFE2L1	chr5	57964487	57964492	+	0.000	0.000	Merged-chr5-57964492-18
NR11023--MA0117.2.Mafb	chr7	64158958	64158969	+	0.000	0.000	Merged-chr7-64158985-48
NR10907--MA0496.2.MAFK	chr7	30000773	30000791	-	0.000	0.000	Merged-chr7-30000834-5
NR11352--MA0496.2.MAFK	chr7	116409583	116409601	+	0.000	0.000	Merged-chr7-116409560-37
NR12458--MA0659.1.MAFG	chr9	78593280	78593300	-	0.000	0.000	Merged-chr9-78593326-11
NR11426--MA0089.1.MAFG::NFE2L1	chr7	125621881	125621886	-	0.000	0.000	Merged-chr7-125621906-18
NR4157--MA0089.1.MAFG::NFE2L1	chr14	79522562	79522567	-	0.000	0.000	Merged-chr14-79522469-3
NR3211--MA0496.2.MAFK	chr13	9082704	9082722	-	0.000	0.000	Merged-chr13-9082570-19
NR12460--MA0496.2.MAFK	chr9	78593281	78593299	+	0.000	0.000	Merged-chr9-78593326-11
NR8448--MA0659.1.MAFG	chr4	24569373	24569393	+	0.000	0.000	Merged-chr4-24569297-30
NR2589--MA0089.1.MAFG::NFE2L1	chr12	8854550	8854555	+	0.000	0.000	Merged-chr12-8854460-15
NR9317--MA0089.1.MAFG::NFE2L1	chr5	66137392	66137397	+	0.000	0.000	Merged-chr5-66137441-17
NR1191--MA0591.1.Bach1::Mafk	chr10	19691915	19691929	-	0.000	0.000	Merged-chr10-19692123-35
NR9404--MA0089.1.MAFG::NFE2L1	chr5	86079040	86079045	+	0.000	0.000	Merged-chr5-86079042-21
NR9540--MA0496.2.MAFK	chr5	100466828	100466846	+	0.000	0.000	Merged-chr5-100466890-43
