#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Lef1/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval0.3-log2fc0.5_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval0.3-log2fc0.5_up.bed
NR1801--MA0768.1.LEF1	chr7	25205430	25205444	+	0.000	0.000	Merged-chr7-25205538-69
NR2103--MA0768.1.LEF1	chr9	114787888	114787902	+	0.000	0.000	Merged-chr9-114787935-34
NR1152--MA0768.1.LEF1	chr2	92256304	92256318	+	0.000	0.000	Merged-chr2-92256272-20
NR1931--MA0768.1.LEF1	chr8	25949148	25949162	+	0.000	0.000	Merged-chr8-25949044-65
NR1161--MA0768.1.LEF1	chr2	103632623	103632637	+	0.000	0.000	Merged-chr2-103632734-49
NR381--MA0768.1.LEF1	chr11	101661867	101661881	+	0.000	0.000	Merged-chr11-101661964-4
NR229--MA0768.1.LEF1	chr10	61306349	61306363	+	0.000	0.000	Merged-chr10-61306308-35
NR247--MA0768.1.LEF1	chr10	78115086	78115100	-	0.000	0.000	Merged-chr10-78115092-14
NR1708--MA0768.1.LEF1	chr6	90391830	90391844	-	0.000	0.000	Merged-chr6-90391920-9
NR1511--MA0768.1.LEF1	chr4	141917967	141917981	+	0.000	0.000	Merged-chr4-141918116-30
NR740--MA0768.1.LEF1	chr15	52753837	52753851	+	0.000	0.000	Merged-chr15-52753697-52
NR1856--MA0768.1.LEF1	chr7	98797795	98797809	+	0.000	0.000	Merged-chr7-98797577-28
NR544--MA0768.1.LEF1	chr13	51951833	51951847	-	0.000	0.000	Merged-chr13-51951802-36
NR204--MA0768.1.LEF1	chr10	19578312	19578326	-	0.000	0.000	Merged-chr10-19578163-111
NR1011--MA0768.1.LEF1	chr18	82607534	82607548	+	0.000	0.000	Merged-chr18-82607647-23
NR1173--MA0768.1.LEF1	chr2	117089661	117089675	+	0.000	0.000	Merged-chr2-117089625-28
NR814--MA0768.1.LEF1	chr16	33053356	33053370	-	0.000	0.000	Merged-chr16-33053250-22
NR2017--MA0768.1.LEF1	chr9	14908165	14908179	+	0.000	0.000	Merged-chr9-14908176-52
NR926--MA0768.1.LEF1	chr17	66077739	66077753	-	0.000	0.000	Merged-chr17-66077706-2
NR1827--MA0768.1.LEF1	chr7	74697932	74697946	+	0.000	0.000	Merged-chr7-74698017-54
NR1957--MA0768.1.LEF1	chr8	71665484	71665498	+	0.000	0.000	Merged-chr8-71665590-47
NR1505--MA0768.1.LEF1	chr4	135153156	135153170	+	0.000	0.000	Merged-chr4-135153100-1
NR1635--MA0768.1.LEF1	chr5	125271938	125271952	+	0.000	0.000	Merged-chr5-125271799-10
NR864--MA0768.1.LEF1	chr16	93977941	93977955	-	0.000	0.000	Merged-chr16-93977807-10
NR748--MA0768.1.LEF1	chr15	60136824	60136838	-	0.000	0.000	Merged-chr15-60136862-12
NR1443--MA0768.1.LEF1	chr4	59806904	59806918	-	0.000	0.000	Merged-chr4-59806755-11
NR1555--MA0768.1.LEF1	chr5	31596913	31596927	-	0.000	0.000	Merged-chr5-31596875-46
NR64--MA0768.1.LEF1	chr1	87378152	87378166	-	0.000	0.000	Merged-chr1-87378193-21
NR560--MA0768.1.LEF1	chr13	73491211	73491225	-	0.000	0.000	Merged-chr13-73491277-13
NR1573--MA0768.1.LEF1	chr5	62763208	62763222	+	0.000	0.000	Merged-chr5-62763141-17
NR1000--MA0768.1.LEF1	chr18	74880277	74880291	+	0.000	0.000	Merged-chr18-74880525-86
NR1470--MA0768.1.LEF1	chr4	89393652	89393666	-	0.000	0.000	Merged-chr4-89393499-15
NR1130--MA0768.1.LEF1	chr2	66148944	66148958	+	0.000	0.000	Merged-chr2-66149107-69
NR234--MA0768.1.LEF1	chr10	68035937	68035951	-	0.000	0.000	Merged-chr10-68036009-2
NR1802--MA0768.1.LEF1	chr7	25232937	25232951	-	0.000	0.000	Merged-chr7-25233025-1
NR364--MA0768.1.LEF1	chr11	84252630	84252644	-	0.000	0.000	Merged-chr11-84252620-21
NR1377--MA0768.1.LEF1	chr3	142436922	142436936	+	0.000	0.000	Merged-chr3-142437047-18
NR2140--MA0768.1.LEF1	chrX	57185001	57185015	+	0.000	0.000	Merged-chrX-57185087-24
NR1037--MA0768.1.LEF1	chr19	32172874	32172888	+	0.000	0.000	Merged-chr19-32172725-56
NR1704--MA0768.1.LEF1	chr6	86754831	86754845	+	0.000	0.000	Merged-chr6-86754818-10
NR2118--MA0768.1.LEF1	chr9	120961770	120961784	-	0.000	0.000	Merged-chr9-120961674-26
NR266--MA0768.1.LEF1	chr10	95262561	95262575	+	0.000	0.000	Merged-chr10-95262672-51
NR705--MA0768.1.LEF1	chr14	122290588	122290602	+	0.000	0.000	Merged-chr14-122290582-19
NR826--MA0768.1.LEF1	chr16	43377033	43377047	-	0.000	0.000	Merged-chr16-43376977-35
NR938--MA0768.1.LEF1	chr17	83832192	83832206	-	0.000	0.000	Merged-chr17-83832348-24
NR625--MA0768.1.LEF1	chr14	26919468	26919482	-	0.000	0.000	Merged-chr14-26919575-5
NR303--MA0768.1.LEF1	chr10	128039312	128039326	-	0.000	0.000	Merged-chr10-128039274-35
NR509--MA0768.1.LEF1	chr13	5806325	5806339	+	0.000	0.000	Merged-chr13-5806398-17
NR433--MA0768.1.LEF1	chr12	55050202	55050216	+	0.000	0.000	Merged-chr12-55050089-62
NR1679--MA0768.1.LEF1	chr6	54926015	54926029	+	0.000	0.000	Merged-chr6-54926058-40
NR1106--MA0768.1.LEF1	chr2	37565775	37565789	-	0.000	0.000	Merged-chr2-37565860-32
NR1576--MA0768.1.LEF1	chr5	64045291	64045305	-	0.000	0.000	Merged-chr5-64045165-50
NR94--MA0768.1.LEF1	chr1	127348984	127348998	-	0.000	0.000	Merged-chr1-127349004-28
NR796--MA0768.1.LEF1	chr16	3988599	3988613	-	0.000	0.000	Merged-chr16-3988637-25
NR581--MA0768.1.LEF1	chr13	95449976	95449990	-	0.000	0.000	Merged-chr13-95449730-51
NR1124--MA0768.1.LEF1	chr2	59513724	59513738	+	0.000	0.000	Merged-chr2-59513816-12
NR1021--MA0768.1.LEF1	chr19	11516765	11516779	+	0.000	0.000	Merged-chr19-11516991-67
NR1469--MA0768.1.LEF1	chr4	89359667	89359681	-	0.000	0.000	Merged-chr4-89359690-21
NR1384--MA0768.1.LEF1	chr3	144398076	144398090	+	0.000	0.000	Merged-chr3-144397925-23
NR143--MA0768.1.LEF1	chr1	165986103	165986117	-	0.000	0.000	Merged-chr1-165985990-54
NR1268--MA0768.1.LEF1	chr3	59081164	59081178	-	0.000	0.000	Merged-chr3-59081244-57
NR1174--MA0768.1.LEF1	chr2	117418885	117418899	-	0.000	0.000	Merged-chr2-117418760-26
NR909--MA0768.1.LEF1	chr17	47269649	47269663	-	0.000	0.000	Merged-chr17-47269600-53
NR2018--MA0768.1.LEF1	chr9	20901791	20901805	+	0.000	0.000	Merged-chr9-20901772-20
NR1980--MA0768.1.LEF1	chr8	115112221	115112235	+	0.000	0.000	Merged-chr8-115112311-24
NR833--MA0768.1.LEF1	chr16	49772876	49772890	+	0.000	0.000	Merged-chr16-49772867-33
NR2036--MA0768.1.LEF1	chr9	50733068	50733082	-	0.000	0.000	Merged-chr9-50733086-8
NR296--MA0768.1.LEF1	chr10	121188608	121188622	+	0.000	0.000	Merged-chr10-121188810-4
NR963--MA0768.1.LEF1	chr18	37814048	37814062	-	0.000	0.000	Merged-chr18-37813954-31
NR198--MA0768.1.LEF1	chr10	17565629	17565643	+	0.000	0.000	Merged-chr10-17565414-37
NR1099--MA0768.1.LEF1	chr2	30112723	30112737	-	0.000	0.000	Merged-chr2-30112786-18
NR771--MA0768.1.LEF1	chr15	81510810	81510824	-	0.000	0.000	Merged-chr15-81510764-17
NR525--MA0768.1.LEF1	chr13	33071989	33072003	-	0.000	0.000	Merged-chr13-33072044-31
NR422--MA0768.1.LEF1	chr12	35755314	35755328	+	0.000	0.000	Merged-chr12-35755374-29
NR749--MA0768.1.LEF1	chr15	61408765	61408779	+	0.000	0.000	Merged-chr15-61408601-39
NR1556--MA0768.1.LEF1	chr5	32089574	32089588	+	0.000	0.000	Merged-chr5-32089637-4
NR65--MA0768.1.LEF1	chr1	87378186	87378200	-	0.000	0.000	Merged-chr1-87378193-21
NR1668--MA0768.1.LEF1	chr6	35462667	35462681	-	0.000	0.000	Merged-chr6-35462751-23
NR1207--MA0768.1.LEF1	chr2	147738036	147738050	-	0.000	0.000	Merged-chr2-147737931-1
NR687--MA0768.1.LEF1	chr14	101892406	101892420	-	0.000	0.000	Merged-chr14-101892350-14
NR329--MA0768.1.LEF1	chr11	46054549	46054563	-	0.000	0.000	Merged-chr11-46054514-2
NR97--MA0768.1.LEF1	chr1	127652946	127652960	+	0.000	0.000	Merged-chr1-127652975-7
NR1396--MA0768.1.LEF1	chr3	149443142	149443156	-	0.000	0.000	Merged-chr3-149443176-11
NR822--MA0768.1.LEF1	chr16	38756077	38756091	+	0.000	0.000	Merged-chr16-38756031-13
NR267--MA0768.1.LEF1	chr10	96115329	96115343	-	0.000	0.000	Merged-chr10-96115346-13
NR1741--MA0768.1.LEF1	chr6	120181443	120181457	-	0.000	0.000	Merged-chr6-120181471-9
NR952--MA0768.1.LEF1	chr18	14669073	14669087	+	0.000	0.000	Merged-chr18-14669072-17
NR724--MA0768.1.LEF1	chr15	31440134	31440148	-	0.000	0.000	Merged-chr15-31440136-19
NR1509--MA0768.1.LEF1	chr4	139367503	139367517	-	0.000	0.000	Merged-chr4-139367606-11
NR36--MA0768.1.LEF1	chr1	61424368	61424382	-	0.000	0.000	Merged-chr1-61424221-7
NR1639--MA0768.1.LEF1	chr5	134269609	134269623	+	0.000	0.000	Merged-chr5-134269909-65
NR644--MA0768.1.LEF1	chr14	54578411	54578425	+	0.000	0.000	Merged-chr14-54578277-39
NR1317--MA0768.1.LEF1	chr3	106967022	106967036	-	0.000	0.000	Merged-chr3-106967057-110
NR206--MA0768.1.LEF1	chr10	22163948	22163962	+	0.000	0.000	Merged-chr10-22163837-17
NR1483--MA0768.1.LEF1	chr4	103113538	103113552	+	0.000	0.000	Merged-chr4-103113589-3
NR238--MA0768.1.LEF1	chr10	75294287	75294301	-	0.000	0.000	Merged-chr10-75294298-11
NR1600--MA0768.1.LEF1	chr5	97075786	97075800	-	0.000	0.000	Merged-chr5-97075788-14
NR1806--MA0768.1.LEF1	chr7	29954095	29954109	-	0.000	0.000	Merged-chr7-29953925-83
NR1712--MA0768.1.LEF1	chr6	94534987	94535001	-	0.000	0.000	Merged-chr6-94534982-12
NR1193--MA0768.1.LEF1	chr2	136965559	136965573	-	0.000	0.000	Merged-chr2-136965495-19
NR928--MA0768.1.LEF1	chr17	69422857	69422871	-	0.000	0.000	Merged-chr17-69422874-19
NR1977--MA0768.1.LEF1	chr8	111812443	111812457	+	0.000	0.000	Merged-chr8-111812311-3
NR1749--MA0768.1.LEF1	chr6	126995694	126995708	-	0.000	0.000	Merged-chr6-126995755-15
NR1570--MA0768.1.LEF1	chr5	52245285	52245299	-	0.000	0.000	Merged-chr5-52245311-7
NR1897--MA0768.1.LEF1	chr7	130816456	130816470	-	0.000	0.000	Merged-chr7-130816442-11
NR307--MA0768.1.LEF1	chr10	128991086	128991100	+	0.000	0.000	Merged-chr10-128991197-23
NR1114--MA0768.1.LEF1	chr2	48379935	48379949	-	0.000	0.000	Merged-chr2-48379752-8
NR1132--MA0768.1.LEF1	chr2	68882156	68882170	-	0.000	0.000	Merged-chr2-68882205-16
NR1392--MA0768.1.LEF1	chr3	148419654	148419668	-	0.000	0.000	Merged-chr3-148419698-33
NR1070--MA0768.1.LEF1	chr2	5003238	5003252	-	0.000	0.000	Merged-chr2-5003396-19
NR1948--MA0768.1.LEF1	chr8	57387856	57387870	+	0.000	0.000	Merged-chr8-57387843-7
NR2062--MA0768.1.LEF1	chr9	79756211	79756225	+	0.000	0.000	Merged-chr9-79756214-5
NR1644--MA0768.1.LEF1	chr5	137870834	137870848	+	0.000	0.000	Merged-chr5-137870793-17
NR1089--MA0768.1.LEF1	chr2	24745510	24745524	+	0.000	0.000	Merged-chr2-24745465-17
NR1662--MA0768.1.LEF1	chr6	8712281	8712295	+	0.000	0.000	Merged-chr6-8712206-28
NR1774--MA0768.1.LEF1	chr6	144333302	144333316	+	0.000	0.000	Merged-chr6-144333219-22
NR1318--MA0768.1.LEF1	chr3	107185708	107185722	+	0.000	0.000	Merged-chr3-107185785-15
NR1582--MA0768.1.LEF1	chr5	73236881	73236895	+	0.000	0.000	Merged-chr5-73237054-48
NR453--MA0768.1.LEF1	chr12	82326573	82326587	-	0.000	0.000	Merged-chr12-82326673-11
NR350--MA0768.1.LEF1	chr11	68465258	68465272	-	0.000	0.000	Merged-chr11-68465236-16
NR1108--MA0768.1.LEF1	chr2	44159717	44159731	+	0.000	0.000	Merged-chr2-44159655-18
NR1484--MA0768.1.LEF1	chr4	103174430	103174444	-	0.000	0.000	Merged-chr4-103174438-7
NR485--MA0768.1.LEF1	chr12	110939499	110939513	-	0.000	0.000	Merged-chr12-110939619-21
NR127--MA0768.1.LEF1	chr1	156676432	156676446	+	0.000	0.000	Merged-chr1-156676429-4
NR1807--MA0768.1.LEF1	chr7	31086476	31086490	+	0.000	0.000	Merged-chr7-31086534-15
NR12--MA0768.1.LEF1	chr1	33757104	33757118	-	0.000	0.000	Merged-chr1-33757115-3
NR1973--MA0768.1.LEF1	chr8	104785794	104785808	+	0.000	0.000	Merged-chr8-104785669-6
NR1848--MA0768.1.LEF1	chr7	90004036	90004050	+	0.000	0.000	Merged-chr7-90004026-23
NR844--MA0768.1.LEF1	chr16	76323633	76323647	-	0.000	0.000	Merged-chr16-76323771-64
NR2047--MA0768.1.LEF1	chr9	69068575	69068589	+	0.000	0.000	Merged-chr9-69068633-33
NR965--MA0768.1.LEF1	chr18	39049205	39049219	-	0.000	0.000	Merged-chr18-39049078-69
NR849--MA0768.1.LEF1	chr16	78573186	78573200	-	0.000	0.000	Merged-chr16-78573118-8
NR652--MA0768.1.LEF1	chr14	62627559	62627573	+	0.000	0.000	Merged-chr14-62627525-13
NR787--MA0768.1.LEF1	chr15	98623469	98623483	+	0.000	0.000	Merged-chr15-98623504-45
NR1912--MA0768.1.LEF1	chr7	140947310	140947324	-	0.000	0.000	Merged-chr7-140947277-49
NR1805--MA0768.1.LEF1	chr7	29900783	29900797	+	0.000	0.000	Merged-chr7-29900753-5
NR2040--MA0768.1.LEF1	chr9	56273653	56273667	+	0.000	0.000	Merged-chr9-56273762-19
NR703--MA0768.1.LEF1	chr14	121830282	121830296	-	0.000	0.000	Merged-chr14-121830164-49
NR954--MA0768.1.LEF1	chr18	19524572	19524586	-	0.000	0.000	Merged-chr18-19524471-22
NR1855--MA0768.1.LEF1	chr7	98797475	98797489	-	0.000	0.000	Merged-chr7-98797577-28
NR860--MA0768.1.LEF1	chr16	91445868	91445882	+	0.000	0.000	Merged-chr16-91445795-42
NR1085--MA0768.1.LEF1	chr2	17597779	17597793	+	0.000	0.000	Merged-chr2-17597899-18
NR1609--MA0768.1.LEF1	chr5	105010601	105010615	+	0.000	0.000	Merged-chr5-105010527-49
NR1770--MA0768.1.LEF1	chr6	142752584	142752598	+	0.000	0.000	Merged-chr6-142752635-30
NR641--MA0768.1.LEF1	chr14	54061806	54061820	-	0.000	0.000	Merged-chr14-54061633-25
