#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_up.bed
NR34991--MA1107.1.KLF9	chr2	27432661	27432673	+	0.000	0.000	Merged-chr2-27432813-10
NR25692--MA0039.3.KLF4	chr16	50070928	50070938	+	0.000	0.000	Merged-chr16-50070751-51
NR21003--MA0599.1.KLF5	chr14	78612518	78612527	-	0.000	0.000	Merged-chr14-78612334-35
NR58919--MA1107.1.KLF9	chr7	45025106	45025118	+	0.000	0.000	Merged-chr7-45025072-11
NR29586--MA0039.3.KLF4	chr17	79000049	79000059	+	0.000	0.000	Merged-chr17-79000054-16
NR5329--MA0599.1.KLF5	chr10	25221184	25221193	-	0.000	0.000	Merged-chr10-25221077-23
NR57660--MA0599.1.KLF5	chr7	4922660	4922669	+	0.000	0.000	Merged-chr7-4922801-35
NR24262--MA0039.3.KLF4	chr15	98699669	98699679	-	0.000	0.000	Merged-chr15-98699636-21
NR21002--MA0740.1.KLF14	chr14	78612515	78612528	-	0.000	0.000	Merged-chr14-78612334-35
NR1505--MA0742.1.Klf12	chr1	88474782	88474796	+	0.000	0.000	Merged-chr1-88475023-73
NR46410--MA0599.1.KLF5	chr4	120288021	120288030	+	0.000	0.000	Merged-chr4-120287807-68
NR29825--MA0599.1.KLF5	chr17	84056508	84056517	-	0.000	0.000	Merged-chr17-84056540-29
NR38791--MA1107.1.KLF9	chr2	158105824	158105836	-	0.000	0.000	Merged-chr2-158105775-9
NR54117--MA0493.1.Klf1	chr6	50553486	50553496	-	0.000	0.000	Merged-chr6-50553342-12
NR60406--MA0741.1.KLF16	chr7	105633047	105633057	+	0.000	0.000	Merged-chr7-105632857-1
NR33150--MA0657.1.KLF13	chr19	22915934	22915951	-	0.000	0.000	Merged-chr19-22916033-24
NR55345--MA1107.1.KLF9	chr6	108512317	108512329	-	0.000	0.000	Merged-chr6-108512233-21
NR45506--MA0741.1.KLF16	chr4	88641323	88641333	-	0.000	0.000	Merged-chr4-88641244-84
NR28664--MA0742.1.Klf12	chr17	46880156	46880170	+	0.000	0.000	Merged-chr17-46880120-39
NR60212--MA0740.1.KLF14	chr7	100700067	100700080	-	0.000	0.000	Merged-chr7-100699955-31
NR26443--MA0493.1.Klf1	chr16	91447046	91447056	-	0.000	0.000	Merged-chr16-91447068-40
NR4118--MA0493.1.Klf1	chr1	184441553	184441563	-	0.000	0.000	Merged-chr1-184441398-48
NR53937--MA0741.1.KLF16	chr6	47621484	47621494	+	0.000	0.000	Merged-chr6-47621326-39
NR31438--MA0742.1.Klf12	chr18	67212684	67212698	+	0.000	0.000	Merged-chr18-67212775-57
NR65174--MA1107.1.KLF9	chr8	123163081	123163093	+	0.000	0.000	Merged-chr8-123163099-40
NR24076--MA0599.1.KLF5	chr15	94255266	94255275	+	0.000	0.000	Merged-chr15-94255177-46
NR19778--MA0741.1.KLF16	chr14	32716954	32716964	+	0.000	0.000	Merged-chr14-32716978-71
NR22377--MA0741.1.KLF16	chr15	37437359	37437369	+	0.000	0.000	Merged-chr15-37437279-19
NR37549--MA0039.3.KLF4	chr2	125673466	125673476	-	0.000	0.000	Merged-chr2-125673245-74
NR6133--MA0741.1.KLF16	chr10	68445693	68445703	-	0.000	0.000	Merged-chr10-68445900-93
NR4724--MA0741.1.KLF16	chr1	193363990	193364000	+	0.000	0.000	Merged-chr1-193363957-33
NR68878--MA1107.1.KLF9	chr9	116243758	116243770	-	0.000	0.000	Merged-chr9-116243832-57
NR35890--MA0599.1.KLF5	chr2	60375320	60375329	-	0.000	0.000	Merged-chr2-60375404-17
NR4117--MA0039.3.KLF4	chr1	184441551	184441561	-	0.000	0.000	Merged-chr1-184441398-48
NR36129--MA0493.1.Klf1	chr2	69917455	69917465	-	0.000	0.000	Merged-chr2-69917342-25
NR27814--MA0741.1.KLF16	chr17	28488304	28488314	+	0.000	0.000	Merged-chr17-28488439-21
NR66170--MA1107.1.KLF9	chr9	43242633	43242645	+	0.000	0.000	Merged-chr9-43242516-24
NR65501--MA1107.1.KLF9	chr8	128421100	128421112	-	0.000	0.000	Merged-chr8-128420826-46
NR65276--MA0740.1.KLF14	chr8	124793448	124793461	-	0.000	0.000	Merged-chr8-124793304-30
NR57077--MA0039.3.KLF4	chr6	144332302	144332312	-	0.000	0.000	Merged-chr6-144332292-25
NR60908--MA0741.1.KLF16	chr7	118798480	118798490	-	0.000	0.000	Merged-chr7-118798374-16
NR58727--MA1107.1.KLF9	chr7	35742599	35742611	-	0.000	0.000	Merged-chr7-35742502-39
NR53265--MA0741.1.KLF16	chr5	150840388	150840398	+	0.000	0.000	Merged-chr5-150840546-64
NR43502--MA0740.1.KLF14	chr3	146220864	146220877	-	0.000	0.000	Merged-chr3-146220972-27
NR34759--MA1107.1.KLF9	chr2	19630761	19630773	+	0.000	0.000	Merged-chr2-19630844-34
NR63995--MA0741.1.KLF16	chr8	88361762	88361772	+	0.000	0.000	Merged-chr8-88361574-1
NR56459--MA0599.1.KLF5	chr6	134348665	134348674	-	0.000	0.000	Merged-chr6-134348726-53
NR53534--MA0599.1.KLF5	chr6	22340138	22340147	-	0.000	0.000	Merged-chr6-22340067-27
NR45361--MA0599.1.KLF5	chr4	82755890	82755899	+	0.000	0.000	Merged-chr4-82755852-39
NR23421--MA0741.1.KLF16	chr15	80192527	80192537	+	0.000	0.000	Merged-chr15-80192413-58
NR3875--MA0599.1.KLF5	chr1	180387575	180387584	+	0.000	0.000	Merged-chr1-180387589-46
NR59621--MA0599.1.KLF5	chr7	79363686	79363695	-	0.000	0.000	Merged-chr7-79363578-43
NR64751--MA0039.3.KLF4	chr8	116645533	116645543	-	0.000	0.000	Merged-chr8-116645599-31
NR35662--MA0599.1.KLF5	chr2	49744497	49744506	+	0.000	0.000	Merged-chr2-49744707-28
NR28886--MA0741.1.KLF16	chr17	52601275	52601285	+	0.000	0.000	Merged-chr17-52601188-69
NR54385--MA0039.3.KLF4	chr6	65140923	65140933	-	0.000	0.000	Merged-chr6-65140933-63
NR45543--MA0039.3.KLF4	chr4	89369357	89369367	+	0.000	0.000	Merged-chr4-89369224-21
NR16696--MA0740.1.KLF14	chr13	38152877	38152890	+	0.000	0.000	Merged-chr13-38152778-13
NR10339--MA1107.1.KLF9	chr11	66961665	66961677	+	0.000	0.000	Merged-chr11-66961666-9
NR31737--MA0599.1.KLF5	chr18	75322373	75322382	+	0.000	0.000	Merged-chr18-75322404-42
NR8206--MA0741.1.KLF16	chr10	117660144	117660154	-	0.000	0.000	Merged-chr10-117659981-30
NR50040--MA0493.1.Klf1	chr5	86783215	86783225	+	0.000	0.000	Merged-chr5-86783243-43
NR31047--MA0493.1.Klf1	chr18	55161686	55161696	-	0.000	0.000	Merged-chr18-55161771-19
NR60742--MA0493.1.Klf1	chr7	114356566	114356576	-	0.000	0.000	Merged-chr7-114356592-29
NR2896--MA1107.1.KLF9	chr1	156217435	156217447	-	0.000	0.000	Merged-chr1-156217514-18
NR26444--MA0741.1.KLF16	chr16	91447045	91447055	-	0.000	0.000	Merged-chr16-91447068-40
NR65958--MA1107.1.KLF9	chr9	32495505	32495517	-	0.000	0.000	Merged-chr9-32495799-63
NR42422--MA0741.1.KLF16	chr3	121723440	121723450	-	0.000	0.000	Merged-chr3-121723396-86
NR53743--MA0039.3.KLF4	chr6	33683797	33683807	-	0.000	0.000	Merged-chr6-33683719-46
NR47998--MA0740.1.KLF14	chr4	150087349	150087362	-	0.000	0.000	Merged-chr4-150087480-81
NR27355--MA0599.1.KLF5	chr17	21617544	21617553	-	0.000	0.000	Merged-chr17-21617473-39
NR490--MA0599.1.KLF5	chr1	39196991	39197000	-	0.000	0.000	Merged-chr1-39196974-45
NR29735--MA1107.1.KLF9	chr17	83158738	83158750	+	0.000	0.000	Merged-chr17-83158899-1
NR42423--MA0599.1.KLF5	chr3	121723458	121723467	-	0.000	0.000	Merged-chr3-121723396-86
NR14045--MA1107.1.KLF9	chr12	52383144	52383156	-	0.000	0.000	Merged-chr12-52383146-23
NR66527--MA0741.1.KLF16	chr9	56098022	56098032	+	0.000	0.000	Merged-chr9-56098023-21
NR56575--MA0493.1.Klf1	chr6	136684095	136684105	+	0.000	0.000	Merged-chr6-136683885-26
NR26282--MA0741.1.KLF16	chr16	87746843	87746853	-	0.000	0.000	Merged-chr16-87746947-32
NR55826--MA0599.1.KLF5	chr6	120206733	120206742	+	0.000	0.000	Merged-chr6-120206801-39
NR3623--MA0039.3.KLF4	chr1	175671995	175672005	+	0.000	0.000	Merged-chr1-175671979-22
NR53095--MA0493.1.Klf1	chr5	148709065	148709075	-	0.000	0.000	Merged-chr5-148709171-35
NR59851--MA0740.1.KLF14	chr7	89232744	89232757	+	0.000	0.000	Merged-chr7-89232776-19
NR7885--MA0493.1.Klf1	chr10	107872813	107872823	+	0.000	0.000	Merged-chr10-107872809-21
NR62721--MA0740.1.KLF14	chr8	34529602	34529615	-	0.000	0.000	Merged-chr8-34529653-1
NR58442--MA0599.1.KLF5	chr7	28451956	28451965	+	0.000	0.000	Merged-chr7-28452002-19
NR22098--MA0741.1.KLF16	chr15	25413988	25413998	+	0.000	0.000	Merged-chr15-25413790-40
NR49806--MA0599.1.KLF5	chr5	74260700	74260709	-	0.000	0.000	Merged-chr5-74260801-106
NR57665--MA0493.1.Klf1	chr7	4948750	4948760	-	0.000	0.000	Merged-chr7-4948568-26
NR57108--MA0740.1.KLF14	chr6	144664995	144665008	+	0.000	0.000	Merged-chr6-144664964-20
NR28681--MA1107.1.KLF9	chr17	47171163	47171175	-	0.000	0.000	Merged-chr17-47171280-54
NR64686--MA0599.1.KLF5	chr8	115113104	115113113	+	0.000	0.000	Merged-chr8-115113135-10
NR17101--MA0599.1.KLF5	chr13	54611402	54611411	-	0.000	0.000	Merged-chr13-54611305-69
NR22376--MA0599.1.KLF5	chr15	37437359	37437368	+	0.000	0.000	Merged-chr15-37437279-19
NR13534--MA0599.1.KLF5	chr12	16811111	16811120	-	0.000	0.000	Merged-chr12-16811127-55
NR48925--MA0039.3.KLF4	chr5	28269731	28269741	-	0.000	0.000	Merged-chr5-28269924-54
NR2902--MA0599.1.KLF5	chr1	156217595	156217604	+	0.000	0.000	Merged-chr1-156217514-18
NR31651--MA1107.1.KLF9	chr18	73643137	73643149	+	0.000	0.000	Merged-chr18-73643262-33
NR64672--MA0493.1.Klf1	chr8	114888924	114888934	+	0.000	0.000	Merged-chr8-114888790-56
NR63586--MA1107.1.KLF9	chr8	75071861	75071873	+	0.000	0.000	Merged-chr8-75071889-52
NR64798--MA0599.1.KLF5	chr8	117548648	117548657	-	0.000	0.000	Merged-chr8-117548585-70
NR27103--MA0039.3.KLF4	chr17	10229877	10229887	+	0.000	0.000	Merged-chr17-10229858-11
NR19670--MA0741.1.KLF16	chr14	27114840	27114850	+	0.000	0.000	Merged-chr14-27114945-21
NR57664--MA0039.3.KLF4	chr7	4948748	4948758	-	0.000	0.000	Merged-chr7-4948568-26
NR59644--MA0599.1.KLF5	chr7	80075312	80075321	+	0.000	0.000	Merged-chr7-80075124-48
NR34134--MA0599.1.KLF5	chr19	57117014	57117023	+	0.000	0.000	Merged-chr19-57117009-44
NR4731--MA0039.3.KLF4	chr1	193421574	193421584	-	0.000	0.000	Merged-chr1-193421738-60
NR66511--MA1107.1.KLF9	chr9	55283730	55283742	+	0.000	0.000	Merged-chr9-55283833-16
NR28355--MA0741.1.KLF16	chr17	36229293	36229303	+	0.000	0.000	Merged-chr17-36229276-20
NR46408--MA0740.1.KLF14	chr4	120288020	120288033	+	0.000	0.000	Merged-chr4-120287807-68
NR63265--MA0599.1.KLF5	chr8	69822512	69822521	-	0.000	0.000	Merged-chr8-69822616-46
NR2901--MA1107.1.KLF9	chr1	156217445	156217457	-	0.000	0.000	Merged-chr1-156217514-18
NR64671--MA0039.3.KLF4	chr8	114888926	114888936	+	0.000	0.000	Merged-chr8-114888790-56
NR8321--MA1107.1.KLF9	chr10	118766023	118766035	-	0.000	0.000	Merged-chr10-118766153-45
NR67033--MA0493.1.Klf1	chr9	69068529	69068539	-	0.000	0.000	Merged-chr9-69068633-33
NR44043--MA0740.1.KLF14	chr3	157925189	157925202	+	0.000	0.000	Merged-chr3-157925057-36
NR70055--MA0741.1.KLF16	chrX	100777198	100777208	+	0.000	0.000	Merged-chrX-100777014-69
NR10053--MA1107.1.KLF9	chr11	58290579	58290591	+	0.000	0.000	Merged-chr11-58290425-28
NR34437--MA0039.3.KLF4	chr2	5003274	5003284	+	0.000	0.000	Merged-chr2-5003396-19
NR27381--MA1107.1.KLF9	chr17	22081337	22081349	+	0.000	0.000	Merged-chr17-22081170-26
NR55902--MA0741.1.KLF16	chr6	121110179	121110189	-	0.000	0.000	Merged-chr6-121110104-77
NR44845--MA0599.1.KLF5	chr4	46635544	46635553	-	0.000	0.000	Merged-chr4-46635507-41
NR12901--MA0599.1.KLF5	chr11	116688047	116688056	-	0.000	0.000	Merged-chr11-116688042-60
NR1491--MA0741.1.KLF16	chr1	88008547	88008557	+	0.000	0.000	Merged-chr1-88008403-52
NR7003--MA1107.1.KLF9	chr10	81560436	81560448	+	0.000	0.000	Merged-chr10-81560396-28
NR20313--MA0599.1.KLF5	chr14	56287982	56287991	-	0.000	0.000	Merged-chr14-56287971-21
NR30124--MA0599.1.KLF5	chr17	88597611	88597620	+	0.000	0.000	Merged-chr17-88597413-65
NR4947--MA0741.1.KLF16	chr10	7212275	7212285	-	0.000	0.000	Merged-chr10-7212223-140
NR30105--MA1107.1.KLF9	chr17	88479191	88479203	-	0.000	0.000	Merged-chr17-88479234-18
NR65230--MA0599.1.KLF5	chr8	124085801	124085810	+	0.000	0.000	Merged-chr8-124085760-17
NR61076--MA0493.1.Klf1	chr7	122932283	122932293	-	0.000	0.000	Merged-chr7-122932357-26
NR19750--MA1107.1.KLF9	chr14	31367788	31367800	-	0.000	0.000	Merged-chr14-31367995-29
NR21831--MA0039.3.KLF4	chr14	121962464	121962474	-	0.000	0.000	Merged-chr14-121962567-8
NR7120--MA0493.1.Klf1	chr10	83733823	83733833	-	0.000	0.000	Merged-chr10-83733897-13
NR64015--MA0599.1.KLF5	chr8	88647317	88647326	-	0.000	0.000	Merged-chr8-88647358-34
