#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_up.bed
NR4734--MA0523.1.TCF7L2	chr7	15949534	15949547	+	0.000	0.000	Merged-chr7-15949519-32
NR2945--MA0769.1.Tcf7	chr2	37565867	37565878	+	0.000	0.000	Merged-chr2-37565860-32
NR4583--MA0769.1.Tcf7	chr6	122873044	122873055	+	0.000	0.000	Merged-chr6-122873008-16
NR4539--MA1421.1.TCF7L1	chr6	108512292	108512303	-	0.000	0.000	Merged-chr6-108512233-21
NR1364--MA1421.1.TCF7L1	chr12	113005278	113005289	-	0.000	0.000	Merged-chr12-113005235-22
NR4909--MA1421.1.TCF7L1	chr7	101635945	101635956	+	0.000	0.000	Merged-chr7-101636183-33
NR4910--MA0523.1.TCF7L2	chr7	101635945	101635958	+	0.000	0.000	Merged-chr7-101636183-33
NR981--MA0523.1.TCF7L2	chr11	88103375	88103388	-	0.000	0.000	Merged-chr11-88103479-31
NR4065--MA0769.1.Tcf7	chr5	31831722	31831733	+	0.000	0.000	Merged-chr5-31831785-25
NR1261--MA0769.1.Tcf7	chr12	85818540	85818551	+	0.000	0.000	Merged-chr12-85818661-14
NR2481--MA0769.1.Tcf7	chr17	57167169	57167180	+	0.000	0.000	Merged-chr17-57167239-24
NR2425--MA1421.1.TCF7L1	chr17	31077585	31077596	+	0.000	0.000	Merged-chr17-31077750-28
NR970--MA0769.1.Tcf7	chr11	83118303	83118314	-	0.000	0.000	Merged-chr11-83118266-24
NR3142--MA0769.1.Tcf7	chr2	122673052	122673063	+	0.000	0.000	Merged-chr2-122673136-39
NR610--MA1421.1.TCF7L1	chr10	76541625	76541636	-	0.000	0.000	Merged-chr10-76541498-12
NR5383--MA1421.1.TCF7L1	chr9	46015114	46015125	-	0.000	0.000	Merged-chr9-46015200-37
NR2187--MA0769.1.Tcf7	chr16	33053359	33053370	-	0.000	0.000	Merged-chr16-33053250-22
NR4134--MA0769.1.Tcf7	chr5	86816950	86816961	+	0.000	0.000	Merged-chr5-86816982-25
NR2662--MA0769.1.Tcf7	chr18	62156582	62156593	+	0.000	0.000	Merged-chr18-62156706-39
NR4269--MA0769.1.Tcf7	chr5	124022502	124022513	-	0.000	0.000	Merged-chr5-124022476-27
NR5736--MA1421.1.TCF7L1	chrX	137015417	137015428	-	0.000	0.000	Merged-chrX-137015463-27
NR578--MA0769.1.Tcf7	chr10	62984254	62984265	+	0.000	0.000	Merged-chr10-62984405-51
NR5445--MA0523.1.TCF7L2	chr9	72660352	72660365	-	0.000	0.000	Merged-chr9-72660303-37
NR5199--MA0769.1.Tcf7	chr8	88290565	88290576	-	0.000	0.000	Merged-chr8-88290396-49
NR2606--MA0769.1.Tcf7	chr18	36512431	36512442	-	0.000	0.000	Merged-chr18-36512403-20
NR4911--MA0769.1.Tcf7	chr7	101635945	101635956	+	0.000	0.000	Merged-chr7-101636183-33
NR523--MA1421.1.TCF7L1	chr10	30570577	30570588	+	0.000	0.000	Merged-chr10-30570499-22
NR1074--MA1421.1.TCF7L1	chr11	111065058	111065069	+	0.000	0.000	Merged-chr11-111065000-37
NR2880--MA0523.1.TCF7L2	chr2	5061514	5061527	+	0.000	0.000	Merged-chr2-5061621-34
NR653--MA0523.1.TCF7L2	chr10	89766142	89766155	-	0.000	0.000	Merged-chr10-89765992-47
