#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tbx21/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval0.3-log2fc0.5_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval0.3-log2fc0.5_dn.bed
NR2007--MA0690.1.TBX21	chr8	126828401	126828410	+	0.000	0.000	Merged-chr8-126828287-16
NR528--MA0690.1.TBX21	chr13	34096003	34096012	+	0.000	0.000	Merged-chr13-34096039-50
NR1963--MA0690.1.TBX21	chr8	81881752	81881761	-	0.000	0.000	Merged-chr8-81881786-34
NR2055--MA0690.1.TBX21	chr9	75209301	75209310	+	0.000	0.000	Merged-chr9-75209368-16
NR1825--MA0690.1.TBX21	chr7	68288137	68288146	-	0.000	0.000	Merged-chr7-68288130-13
NR1817--MA0690.1.TBX21	chr7	35729784	35729793	+	0.000	0.000	Merged-chr7-35729754-35
NR1355--MA0690.1.TBX21	chr3	135579533	135579542	-	0.000	0.000	Merged-chr3-135579457-44
NR82--MA0690.1.TBX21	chr1	138542802	138542811	-	0.000	0.000	Merged-chr1-138542700-22
NR1605--MA0690.1.TBX21	chr5	114859515	114859524	-	0.000	0.000	Merged-chr5-114859412-13
NR1469--MA0690.1.TBX21	chr4	120044820	120044829	-	0.000	0.000	Merged-chr4-120044912-16
NR1788--MA0690.1.TBX21	chr6	145469461	145469470	-	0.000	0.000	Merged-chr6-145469437-17
NR1645--MA0690.1.TBX21	chr5	147564037	147564046	-	0.000	0.000	Merged-chr5-147564223-70
NR1515--MA0690.1.TBX21	chr4	154936066	154936075	+	0.000	0.000	Merged-chr4-154936025-18
NR952--MA0690.1.TBX21	chr18	11967343	11967352	+	0.000	0.000	Merged-chr18-11967276-33
NR1087--MA0690.1.TBX21	chr2	25095323	25095332	+	0.000	0.000	Merged-chr2-25095278-14
NR699--MA0690.1.TBX21	chr14	118109994	118110003	-	0.000	0.000	Merged-chr14-118109992-14
NR936--MA0690.1.TBX21	chr17	78665326	78665335	+	0.000	0.000	Merged-chr17-78665388-16
NR1045--MA0690.1.TBX21	chr19	30924251	30924260	+	0.000	0.000	Merged-chr19-30924347-34
NR405--MA0690.1.TBX21	chr11	106716665	106716674	+	0.000	0.000	Merged-chr11-106716812-28
NR1561--MA0690.1.TBX21	chr5	74348630	74348639	+	0.000	0.000	Merged-chr5-74348625-55
NR1893--MA0690.1.TBX21	chr7	127177365	127177374	-	0.000	0.000	Merged-chr7-127177205-14
