#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval0.3-log2fc0.5_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval0.3-log2fc0.5_dn.bed
NR3925--MA0495.2.MAFF	chr14	70767710	70767730	+	0.000	0.000	Merged-chr14-70767609-24
NR5523--MA0501.1.MAF::NFE2	chr17	85023743	85023757	+	0.000	0.000	Merged-chr17-85023702-53
NR5202--MA0117.2.Mafb	chr17	21434023	21434034	-	0.000	0.000	Merged-chr17-21433933-15
NR8465--MA0496.2.MAFK	chr4	41295741	41295759	+	0.000	0.000	Merged-chr4-41295781-15
NR7610--MA0501.1.MAF::NFE2	chr3	9767230	9767244	+	0.000	0.000	Merged-chr3-9767219-17
NR9873--MA0089.1.MAFG::NFE2L1	chr5	146897095	146897100	+	0.000	0.000	Merged-chr5-146897155-34
NR2679--MA0089.1.MAFG::NFE2L1	chr12	86592686	86592691	+	0.000	0.000	Merged-chr12-86592700-17
NR5412--MA0501.1.MAF::NFE2	chr17	65740296	65740310	+	0.000	0.000	Merged-chr17-65740416-17
NR1841--MA0591.1.Bach1::Mafk	chr11	11497910	11497924	+	0.000	0.000	Merged-chr11-11498094-24
NR4030--MA0495.2.MAFF	chr14	101470024	101470044	-	0.000	0.000	Merged-chr14-101470106-24
NR1727--MA0496.2.MAFK	chr10	120628324	120628342	-	0.000	0.000	Merged-chr10-120628264-28
NR12952--MA0117.2.Mafb	chrX	106962323	106962334	+	0.000	0.000	Merged-chrX-106962471-28
NR3173--MA0495.2.MAFF	chr13	45624148	45624168	-	0.000	0.000	Merged-chr13-45624002-39
NR3946--MA0591.1.Bach1::Mafk	chr14	73170121	73170135	+	0.000	0.000	Merged-chr14-73170198-47
NR2651--MA0089.1.MAFG::NFE2L1	chr12	82225959	82225964	+	0.000	0.000	Merged-chr12-82226104-49
NR7280--MA0591.1.Bach1::Mafk	chr2	148902621	148902635	+	0.000	0.000	Merged-chr2-148902521-46
NR627--MA0117.2.Mafb	chr1	138186079	138186090	-	0.000	0.000	Merged-chr1-138186154-28
NR858--MA0591.1.Bach1::Mafk	chr1	170729604	170729618	-	0.000	0.000	Merged-chr1-170729637-43
NR10083--MA0501.1.MAF::NFE2	chr6	53704645	53704659	+	0.000	0.000	Merged-chr6-53704558-10
NR1857--MA0496.2.MAFK	chr11	19993173	19993191	+	0.000	0.000	Merged-chr11-19993082-47
NR12863--MA0659.1.MAFG	chrX	42336931	42336951	+	0.000	0.000	Merged-chrX-42336875-23
NR8186--MA0501.1.MAF::NFE2	chr3	138686768	138686782	+	0.000	0.000	Merged-chr3-138686837-12
NR9103--MA0089.1.MAFG::NFE2L1	chr4	149854336	149854341	-	0.000	0.000	Merged-chr4-149854542-67
NR262--MA0501.1.MAF::NFE2	chr1	72718983	72718997	-	0.000	0.000	Merged-chr1-72719042-27
NR2562--MA0089.1.MAFG::NFE2L1	chr12	38929180	38929185	+	0.000	0.000	Merged-chr12-38929031-63
NR6190--MA0089.1.MAFG::NFE2L1	chr19	36364984	36364989	-	0.000	0.000	Merged-chr19-36364955-22
NR12046--MA0496.2.MAFK	chr8	120131863	120131881	-	0.000	0.000	Merged-chr8-120131757-8
NR327--MA0501.1.MAF::NFE2	chr1	84881711	84881725	-	0.000	0.000	Merged-chr1-84881698-12
NR8913--MA0501.1.MAF::NFE2	chr4	129276768	129276782	-	0.000	0.000	Merged-chr4-129276649-33
NR9707--MA0089.1.MAFG::NFE2L1	chr5	118710017	118710022	-	0.000	0.000	Merged-chr5-118710096-15
NR9950--MA0495.2.MAFF	chr6	15726619	15726639	-	0.000	0.000	Merged-chr6-15726718-35
NR2538--MA0659.1.MAFG	chr12	33380191	33380211	+	0.000	0.000	Merged-chr12-33380156-47
NR426--MA0117.2.Mafb	chr1	95451279	95451290	+	0.000	0.000	Merged-chr1-95451081-31
NR4037--MA0117.2.Mafb	chr14	103017209	103017220	-	0.000	0.000	Merged-chr14-103017290-44
NR4850--MA0495.2.MAFF	chr16	52108048	52108068	-	0.000	0.000	Merged-chr16-52108040-37
NR12433--MA0501.1.MAF::NFE2	chr9	66615320	66615334	+	0.000	0.000	Merged-chr9-66615364-32
NR4707--MA0495.2.MAFF	chr16	23262323	23262343	-	0.000	0.000	Merged-chr16-23262371-32
NR2006--MA0591.1.Bach1::Mafk	chr11	62280806	62280820	+	0.000	0.000	Merged-chr11-62280813-1
NR12526--MA0495.2.MAFF	chr9	83564270	83564290	-	0.000	0.000	Merged-chr9-83564254-44
NR1140--MA0501.1.MAF::NFE2	chr10	7041181	7041195	-	0.000	0.000	Merged-chr10-7041240-23
NR10030--MA0591.1.Bach1::Mafk	chr6	39312040	39312054	-	0.000	0.000	Merged-chr6-39311993-25
NR12226--MA0501.1.MAF::NFE2	chr9	15530005	15530019	-	0.000	0.000	Merged-chr9-15530031-64
NR9952--MA0117.2.Mafb	chr6	15726619	15726630	+	0.000	0.000	Merged-chr6-15726718-35
NR733--MA0591.1.Bach1::Mafk	chr1	156674420	156674434	+	0.000	0.000	Merged-chr1-156674616-3
NR11544--MA0591.1.Bach1::Mafk	chr7	139295825	139295839	-	0.000	0.000	Merged-chr7-139295944-32
NR7665--MA0117.2.Mafb	chr3	31056858	31056869	-	0.000	0.000	Merged-chr3-31056991-112
NR3601--MA0089.1.MAFG::NFE2L1	chr13	113466653	113466658	-	0.000	0.000	Merged-chr13-113466791-29
NR12115--MA0501.1.MAF::NFE2	chr8	126188897	126188911	+	0.000	0.000	Merged-chr8-126188962-13
NR9311--MA0501.1.MAF::NFE2	chr5	31576819	31576833	+	0.000	0.000	Merged-chr5-31576784-60
NR12278--MA0089.1.MAFG::NFE2L1	chr9	40612453	40612458	+	0.000	0.000	Merged-chr9-40612438-22
NR4947--MA0089.1.MAFG::NFE2L1	chr16	76354382	76354387	-	0.000	0.000	Merged-chr16-76354540-16
NR2074--MA0591.1.Bach1::Mafk	chr11	74838655	74838669	+	0.000	0.000	Merged-chr11-74838839-1
NR12365--MA0089.1.MAFG::NFE2L1	chr9	56128467	56128472	+	0.000	0.000	Merged-chr9-56128365-14
NR7542--MA0496.2.MAFK	chr2	174566022	174566040	-	0.000	0.000	Merged-chr2-174566072-46
NR10096--MA0591.1.Bach1::Mafk	chr6	55057584	55057598	+	0.000	0.000	Merged-chr6-55057514-12
NR12250--MA0089.1.MAFG::NFE2L1	chr9	25592350	25592355	+	0.000	0.000	Merged-chr9-25592229-40
NR12866--MA0496.2.MAFK	chrX	42336961	42336979	+	0.000	0.000	Merged-chrX-42336875-23
NR9959--MA0501.1.MAF::NFE2	chr6	15783210	15783224	+	0.000	0.000	Merged-chr6-15783250-24
NR3895--MA0495.2.MAFF	chr14	68044961	68044981	+	0.000	0.000	Merged-chr14-68044800-35
NR5094--MA0591.1.Bach1::Mafk	chr16	95729018	95729032	-	0.000	0.000	Merged-chr16-95728966-56
NR12222--MA0495.2.MAFF	chr9	15530005	15530025	-	0.000	0.000	Merged-chr9-15530031-64
NR12520--MA0501.1.MAF::NFE2	chr9	82967393	82967407	-	0.000	0.000	Merged-chr9-82967336-26
NR2650--MA0501.1.MAF::NFE2	chr12	81845112	81845126	-	0.000	0.000	Merged-chr12-81845150-28
NR10418--MA0089.1.MAFG::NFE2L1	chr6	114905013	114905018	+	0.000	0.000	Merged-chr6-114905018-60
NR2004--MA0495.2.MAFF	chr11	62280803	62280823	+	0.000	0.000	Merged-chr11-62280813-1
NR12224--MA0659.1.MAFG	chr9	15530005	15530025	-	0.000	0.000	Merged-chr9-15530031-64
NR68--MA0089.1.MAFG::NFE2L1	chr1	30793083	30793088	+	0.000	0.000	Merged-chr1-30793129-16
NR4641--MA0501.1.MAF::NFE2	chr16	11286111	11286125	+	0.000	0.000	Merged-chr16-11286053-13
NR10268--MA0591.1.Bach1::Mafk	chr6	91713042	91713056	-	0.000	0.000	Merged-chr6-91712946-25
NR2873--MA0089.1.MAFG::NFE2L1	chr12	110389608	110389613	+	0.000	0.000	Merged-chr12-110389691-32
NR10494--MA0496.2.MAFK	chr6	122447999	122448017	-	0.000	0.000	Merged-chr6-122448134-20
NR1141--MA0591.1.Bach1::Mafk	chr10	7076306	7076320	+	0.000	0.000	Merged-chr10-7076382-12
NR11910--MA0089.1.MAFG::NFE2L1	chr8	94836191	94836196	+	0.000	0.000	Merged-chr8-94836236-13
NR8094--MA0501.1.MAF::NFE2	chr3	130812491	130812505	+	0.000	0.000	Merged-chr3-130812449-10
NR544--MA0591.1.Bach1::Mafk	chr1	128615674	128615688	-	0.000	0.000	Merged-chr1-128615599-2
NR7912--MA0117.2.Mafb	chr3	101012504	101012515	-	0.000	0.000	Merged-chr3-101012504-113
NR2507--MA0089.1.MAFG::NFE2L1	chr12	28829738	28829743	-	0.000	0.000	Merged-chr12-28829718-31
NR5054--MA0501.1.MAF::NFE2	chr16	92400175	92400189	-	0.000	0.000	Merged-chr16-92400195-21
NR11164--MA0495.2.MAFF	chr7	83597297	83597317	-	0.000	0.000	Merged-chr7-83597333-20
NR2582--MA0089.1.MAFG::NFE2L1	chr12	52796533	52796538	-	0.000	0.000	Merged-chr12-52796443-43
NR9425--MA0089.1.MAFG::NFE2L1	chr5	74476845	74476850	-	0.000	0.000	Merged-chr5-74476772-23
NR8005--MA0089.1.MAFG::NFE2L1	chr3	109732676	109732681	-	0.000	0.000	Merged-chr3-109732646-37
NR1725--MA0495.2.MAFF	chr10	120628323	120628343	-	0.000	0.000	Merged-chr10-120628264-28
NR10793--MA0089.1.MAFG::NFE2L1	chr6	146481509	146481514	+	0.000	0.000	Merged-chr6-146481511-38
NR11243--MA0089.1.MAFG::NFE2L1	chr7	101547951	101547956	+	0.000	0.000	Merged-chr7-101547952-32
NR781--MA0089.1.MAFG::NFE2L1	chr1	161480050	161480055	-	0.000	0.000	Merged-chr1-161480099-19
NR3421--MA0089.1.MAFG::NFE2L1	chr13	95765285	95765290	+	0.000	0.000	Merged-chr13-95765232-46
NR8237--MA0659.1.MAFG	chr3	146063412	146063432	+	0.000	0.000	Merged-chr3-146063322-20
NR228--MA0089.1.MAFG::NFE2L1	chr1	64305747	64305752	-	0.000	0.000	Merged-chr1-64305701-25
NR3032--MA0495.2.MAFF	chr13	5769747	5769767	+	0.000	0.000	Merged-chr13-5769839-23
NR7566--MA0089.1.MAFG::NFE2L1	chr2	178078439	178078444	+	0.000	0.000	Merged-chr2-178078540-79
NR10079--MA0591.1.Bach1::Mafk	chr6	52825775	52825789	-	0.000	0.000	Merged-chr6-52825813-18
NR4334--MA0117.2.Mafb	chr15	66558971	66558982	-	0.000	0.000	Merged-chr15-66559012-25
NR10507--MA0591.1.Bach1::Mafk	chr6	124683831	124683845	+	0.000	0.000	Merged-chr6-124683900-13
NR12044--MA0495.2.MAFF	chr8	120131862	120131882	-	0.000	0.000	Merged-chr8-120131757-8
NR4954--MA0089.1.MAFG::NFE2L1	chr16	77360534	77360539	+	0.000	0.000	Merged-chr16-77360376-19
NR2680--MA0089.1.MAFG::NFE2L1	chr12	86801872	86801877	+	0.000	0.000	Merged-chr12-86801944-91
NR1260--MA0089.1.MAFG::NFE2L1	chr10	39412910	39412915	+	0.000	0.000	Merged-chr10-39413111-35
NR148--MA0496.2.MAFK	chr1	52274429	52274447	+	0.000	0.000	Merged-chr1-52274408-12
NR10887--MA0659.1.MAFG	chr7	16343735	16343755	-	0.000	0.000	Merged-chr7-16343810-22
NR4121--MA0591.1.Bach1::Mafk	chr14	121710264	121710278	+	0.000	0.000	Merged-chr14-121710333-21
NR428--MA0089.1.MAFG::NFE2L1	chr1	97650302	97650307	+	0.000	0.000	Merged-chr1-97650227-42
NR856--MA0495.2.MAFF	chr1	170729601	170729621	+	0.000	0.000	Merged-chr1-170729637-43
NR8029--MA0089.1.MAFG::NFE2L1	chr3	116474739	116474744	-	0.000	0.000	Merged-chr3-116474712-27
NR7666--MA0089.1.MAFG::NFE2L1	chr3	31145874	31145879	-	0.000	0.000	Merged-chr3-31145985-42
NR400--MA0089.1.MAFG::NFE2L1	chr1	92371810	92371815	+	0.000	0.000	Merged-chr1-92371802-28
NR2508--MA0591.1.Bach1::Mafk	chr12	28829731	28829745	-	0.000	0.000	Merged-chr12-28829718-31
NR4778--MA0089.1.MAFG::NFE2L1	chr16	38017281	38017286	-	0.000	0.000	Merged-chr16-38017190-20
NR5749--MA0496.2.MAFK	chr18	53951276	53951294	+	0.000	0.000	Merged-chr18-53951279-47
NR5675--MA0117.2.Mafb	chr18	34259287	34259298	+	0.000	0.000	Merged-chr18-34259286-18
NR8333--MA0591.1.Bach1::Mafk	chr3	155235653	155235667	+	0.000	0.000	Merged-chr3-155235663-12
NR3126--MA0496.2.MAFK	chr13	34096134	34096152	-	0.000	0.000	Merged-chr13-34096039-50
NR7505--MA0591.1.Bach1::Mafk	chr2	170247789	170247803	+	0.000	0.000	Merged-chr2-170247949-28
NR6638--MA0495.2.MAFF	chr2	61454515	61454535	-	0.000	0.000	Merged-chr2-61454563-42
NR1211--MA0591.1.Bach1::Mafk	chr10	21552991	21553005	+	0.000	0.000	Merged-chr10-21553167-27
NR6555--MA0501.1.MAF::NFE2	chr2	44953125	44953139	+	0.000	0.000	Merged-chr2-44953031-31
NR6642--MA0496.2.MAFK	chr2	61454516	61454534	+	0.000	0.000	Merged-chr2-61454563-42
NR4231--MA0591.1.Bach1::Mafk	chr15	41612395	41612409	+	0.000	0.000	Merged-chr15-41612397-47
NR10508--MA0501.1.MAF::NFE2	chr6	124683834	124683848	+	0.000	0.000	Merged-chr6-124683900-13
NR8550--MA0591.1.Bach1::Mafk	chr4	59682666	59682680	+	0.000	0.000	Merged-chr4-59682801-45
NR2629--MA0089.1.MAFG::NFE2L1	chr12	76950450	76950455	+	0.000	0.000	Merged-chr12-76950525-26
NR735--MA0496.2.MAFK	chr1	156674418	156674436	+	0.000	0.000	Merged-chr1-156674616-3
NR8531--MA0501.1.MAF::NFE2	chr4	57640339	57640353	+	0.000	0.000	Merged-chr4-57640378-35
NR9359--MA0117.2.Mafb	chr5	52609894	52609905	-	0.000	0.000	Merged-chr5-52609918-24
NR8339--MA0501.1.MAF::NFE2	chr3	155235699	155235713	+	0.000	0.000	Merged-chr3-155235663-12
NR1705--MA0591.1.Bach1::Mafk	chr10	118166283	118166297	-	0.000	0.000	Merged-chr10-118166257-15
NR460--MA0659.1.MAFG	chr1	106187695	106187715	-	0.000	0.000	Merged-chr1-106187715-26
NR4029--MA0495.2.MAFF	chr14	101470024	101470044	+	0.000	0.000	Merged-chr14-101470106-24
NR71--MA0591.1.Bach1::Mafk	chr1	33883565	33883579	+	0.000	0.000	Merged-chr1-33883578-48
NR12521--MA0117.2.Mafb	chr9	82967473	82967484	+	0.000	0.000	Merged-chr9-82967336-26
NR3947--MA0089.1.MAFG::NFE2L1	chr14	73175973	73175978	+	0.000	0.000	Merged-chr14-73175814-32
NR1560--MA0496.2.MAFK	chr10	94913465	94913483	-	0.000	0.000	Merged-chr10-94913400-13
NR13016--MA0591.1.Bach1::Mafk	chrX	163879527	163879541	+	0.000	0.000	Merged-chrX-163879591-51
NR4640--MA0591.1.Bach1::Mafk	chr16	11286108	11286122	+	0.000	0.000	Merged-chr16-11286053-13
NR86--MA0089.1.MAFG::NFE2L1	chr1	36646461	36646466	+	0.000	0.000	Merged-chr1-36646512-17
NR4096--MA0089.1.MAFG::NFE2L1	chr14	116210381	116210386	+	0.000	0.000	Merged-chr14-116210530-30
NR3928--MA0496.2.MAFK	chr14	70767711	70767729	+	0.000	0.000	Merged-chr14-70767609-24
NR2639--MA0117.2.Mafb	chr12	80887312	80887323	-	0.000	0.000	Merged-chr12-80887298-29
NR7473--MA0089.1.MAFG::NFE2L1	chr2	168575051	168575056	+	0.000	0.000	Merged-chr2-168575169-53
NR10064--MA0591.1.Bach1::Mafk	chr6	50503222	50503236	+	0.000	0.000	Merged-chr6-50503365-20
NR5052--MA0495.2.MAFF	chr16	92400175	92400195	+	0.000	0.000	Merged-chr16-92400195-21
NR1609--MA0089.1.MAFG::NFE2L1	chr10	99592301	99592306	-	0.000	0.000	Merged-chr10-99592304-27
NR12314--MA0501.1.MAF::NFE2	chr9	46083485	46083499	-	0.000	0.000	Merged-chr9-46083625-49
NR2540--MA0501.1.MAF::NFE2	chr12	33380197	33380211	+	0.000	0.000	Merged-chr12-33380156-47
NR9982--MA0591.1.Bach1::Mafk	chr6	30227526	30227540	-	0.000	0.000	Merged-chr6-30227395-32
NR1357--MA0117.2.Mafb	chr10	60028309	60028320	-	0.000	0.000	Merged-chr10-60028260-54
NR1142--MA0117.2.Mafb	chr10	7076368	7076379	+	0.000	0.000	Merged-chr10-7076382-12
NR103--MA0591.1.Bach1::Mafk	chr1	40847727	40847741	-	0.000	0.000	Merged-chr1-40847809-27
NR2509--MA0501.1.MAF::NFE2	chr12	28829728	28829742	-	0.000	0.000	Merged-chr12-28829718-31
NR3175--MA0501.1.MAF::NFE2	chr13	45624154	45624168	+	0.000	0.000	Merged-chr13-45624002-39
NR3406--MA0591.1.Bach1::Mafk	chr13	92639333	92639347	+	0.000	0.000	Merged-chr13-92639220-17
NR4849--MA0495.2.MAFF	chr16	52108048	52108068	+	0.000	0.000	Merged-chr16-52108040-37
NR3730--MA0591.1.Bach1::Mafk	chr14	33303725	33303739	-	0.000	0.000	Merged-chr14-33303599-44
NR1346--MA0496.2.MAFK	chr10	58383471	58383489	+	0.000	0.000	Merged-chr10-58383440-43
NR4583--MA0089.1.MAFG::NFE2L1	chr15	100189188	100189193	+	0.000	0.000	Merged-chr15-100189073-42
NR8331--MA0495.2.MAFF	chr3	155235650	155235670	-	0.000	0.000	Merged-chr3-155235663-12
NR7997--MA0501.1.MAF::NFE2	chr3	108975159	108975173	+	0.000	0.000	Merged-chr3-108975255-11
NR12343--MA0117.2.Mafb	chr9	51239143	51239154	-	0.000	0.000	Merged-chr9-51239066-41
NR5009--MA0501.1.MAF::NFE2	chr16	89835837	89835851	-	0.000	0.000	Merged-chr16-89835915-50
NR12529--MA0496.2.MAFK	chr9	83564271	83564289	+	0.000	0.000	Merged-chr9-83564254-44
NR10197--MA0591.1.Bach1::Mafk	chr6	73268197	73268211	-	0.000	0.000	Merged-chr6-73268077-15
NR7597--MA0659.1.MAFG	chr3	8971766	8971786	+	0.000	0.000	Merged-chr3-8971852-23
NR4708--MA0591.1.Bach1::Mafk	chr16	23262326	23262340	-	0.000	0.000	Merged-chr16-23262371-32
NR5233--MA0089.1.MAFG::NFE2L1	chr17	26518579	26518584	+	0.000	0.000	Merged-chr17-26518491-6
NR546--MA0089.1.MAFG::NFE2L1	chr1	128771028	128771033	+	0.000	0.000	Merged-chr1-128770934-28
NR2011--MA0496.2.MAFK	chr11	62280804	62280822	-	0.000	0.000	Merged-chr11-62280813-1
NR11928--MA0495.2.MAFF	chr8	104239684	104239704	+	0.000	0.000	Merged-chr8-104239709-64
NR8643--MA0591.1.Bach1::Mafk	chr4	89137848	89137862	-	0.000	0.000	Merged-chr4-89137676-98
NR1855--MA0659.1.MAFG	chr11	19993172	19993192	+	0.000	0.000	Merged-chr11-19993082-47
NR7607--MA0089.1.MAFG::NFE2L1	chr3	9767229	9767234	+	0.000	0.000	Merged-chr3-9767219-17
NR8472--MA0117.2.Mafb	chr4	42965604	42965615	+	0.000	0.000	Merged-chr4-42965581-38
NR10888--MA0501.1.MAF::NFE2	chr7	16343741	16343755	+	0.000	0.000	Merged-chr7-16343810-22
NR6753--MA0089.1.MAFG::NFE2L1	chr2	83746474	83746479	+	0.000	0.000	Merged-chr2-83746640-22
NR10085--MA0501.1.MAF::NFE2	chr6	53709845	53709859	-	0.000	0.000	Merged-chr6-53709881-31
