#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval0.3-log2fc0.5_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval0.3-log2fc0.5_dn.bed
NR2646--MA1421.1.TCF7L1	chr14	21078625	21078636	-	0.000	0.000	Merged-chr14-21078723-20
NR8033--MA0523.1.TCF7L2	chr7	128669092	128669105	-	0.000	0.000	Merged-chr7-128669075-5
NR7222--MA0769.1.Tcf7	chr6	65569962	65569973	+	0.000	0.000	Merged-chr6-65569933-17
NR3440--MA0769.1.Tcf7	chr16	30655882	30655893	-	0.000	0.000	Merged-chr16-30655956-7
NR7549--MA0769.1.Tcf7	chr6	135433970	135433981	+	0.000	0.000	Merged-chr6-135433920-18
NR6047--MA1421.1.TCF7L1	chr4	7961628	7961639	-	0.000	0.000	Merged-chr4-7961828-25
NR3219--MA0523.1.TCF7L2	chr15	75634462	75634475	-	0.000	0.000	Merged-chr15-75634516-4
NR5196--MA1421.1.TCF7L1	chr2	146888003	146888014	-	0.000	0.000	Merged-chr2-146888107-12
NR6598--MA0769.1.Tcf7	chr5	36140702	36140713	-	0.000	0.000	Merged-chr5-36140594-4
NR3673--MA0769.1.Tcf7	chr16	92307632	92307643	+	0.000	0.000	Merged-chr16-92307633-7
NR5774--MA0523.1.TCF7L2	chr3	117044608	117044621	+	0.000	0.000	Merged-chr3-117044595-20
NR2140--MA0523.1.TCF7L2	chr13	3479821	3479834	-	0.000	0.000	Merged-chr13-3479941-4
NR7470--MA0523.1.TCF7L2	chr6	118621838	118621851	-	0.000	0.000	Merged-chr6-118621968-6
NR270--MA0769.1.Tcf7	chr1	94025609	94025620	+	0.000	0.000	Merged-chr1-94025615-17
NR5349--MA0523.1.TCF7L2	chr2	173444591	173444604	+	0.000	0.000	Merged-chr2-173444560-32
NR3631--MA0523.1.TCF7L2	chr16	84982744	84982757	-	0.000	0.000	Merged-chr16-84982791-18
NR6710--MA0769.1.Tcf7	chr5	74105560	74105571	-	0.000	0.000	Merged-chr5-74105575-19
NR772--MA0523.1.TCF7L2	chr10	17296483	17296496	-	0.000	0.000	Merged-chr10-17296409-9
NR8985--MA1421.1.TCF7L1	chr9	118512768	118512779	-	0.000	0.000	Merged-chr9-118512920-16
NR7877--MA1421.1.TCF7L1	chr7	99448819	99448830	+	0.000	0.000	Merged-chr7-99448704-1
NR7030--MA0769.1.Tcf7	chr5	150223852	150223863	-	0.000	0.000	Merged-chr5-150223706-44
NR2393--MA0523.1.TCF7L2	chr13	83566289	83566302	-	0.000	0.000	Merged-chr13-83566220-57
NR6379--MA0769.1.Tcf7	chr4	120044777	120044788	-	0.000	0.000	Merged-chr4-120044912-16
NR3436--MA1421.1.TCF7L1	chr16	28517966	28517977	-	0.000	0.000	Merged-chr16-28518091-55
NR9124--MA0523.1.TCF7L2	chrX	104485819	104485832	-	0.000	0.000	Merged-chrX-104485808-11
NR8441--MA0523.1.TCF7L2	chr8	117121669	117121682	-	0.000	0.000	Merged-chr8-117121600-27
NR1843--MA0769.1.Tcf7	chr12	69446034	69446045	+	0.000	0.000	Merged-chr12-69446107-1
NR4903--MA0523.1.TCF7L2	chr2	84837928	84837941	+	0.000	0.000	Merged-chr2-84838147-43
NR5566--MA1421.1.TCF7L1	chr3	79129256	79129267	-	0.000	0.000	Merged-chr3-79129160-12
NR8590--MA0769.1.Tcf7	chr9	35007272	35007283	+	0.000	0.000	Merged-chr9-35007274-11
NR7658--MA1421.1.TCF7L1	chr7	12422538	12422549	-	0.000	0.000	Merged-chr7-12422521-72
NR3687--MA0769.1.Tcf7	chr16	94374317	94374328	-	0.000	0.000	Merged-chr16-94374445-4
NR2198--MA1421.1.TCF7L1	chr13	23734524	23734535	+	0.000	0.000	Merged-chr13-23734534-7
NR8488--MA0523.1.TCF7L2	chr8	126687068	126687081	+	0.000	0.000	Merged-chr8-126687126-29
NR4683--MA0769.1.Tcf7	chr2	43992734	43992745	-	0.000	0.000	Merged-chr2-43992698-17
NR4708--MA1421.1.TCF7L1	chr2	45946382	45946393	+	0.000	0.000	Merged-chr2-45946471-14
NR8791--MA1421.1.TCF7L1	chr9	82967413	82967424	+	0.000	0.000	Merged-chr9-82967336-26
NR5104--MA0523.1.TCF7L2	chr2	132180715	132180728	+	0.000	0.000	Merged-chr2-132180846-32
NR2654--MA1421.1.TCF7L1	chr14	22270838	22270849	-	0.000	0.000	Merged-chr14-22271018-1
NR3365--MA0769.1.Tcf7	chr16	7419924	7419935	-	0.000	0.000	Merged-chr16-7419949-42
NR7044--MA0769.1.Tcf7	chr6	5147853	5147864	+	0.000	0.000	Merged-chr6-5147663-1
NR2860--MA1421.1.TCF7L1	chr14	73334090	73334101	+	0.000	0.000	Merged-chr14-73334058-7
NR1745--MA0769.1.Tcf7	chr12	31621765	31621776	+	0.000	0.000	Merged-chr12-31621788-10
NR8968--MA1421.1.TCF7L1	chr9	116284010	116284021	+	0.000	0.000	Merged-chr9-116283998-37
NR6093--MA0769.1.Tcf7	chr4	32560452	32560463	-	0.000	0.000	Merged-chr4-32560610-21
NR8315--MA1421.1.TCF7L1	chr8	81735844	81735855	-	0.000	0.000	Merged-chr8-81736050-71
NR793--MA0523.1.TCF7L2	chr10	21911701	21911714	-	0.000	0.000	Merged-chr10-21911694-25
NR4636--MA0523.1.TCF7L2	chr2	31042978	31042991	-	0.000	0.000	Merged-chr2-31043017-22
NR1905--MA0523.1.TCF7L2	chr12	77070155	77070168	-	0.000	0.000	Merged-chr12-77070291-10
NR8917--MA1421.1.TCF7L1	chr9	108617523	108617534	+	0.000	0.000	Merged-chr9-108617434-16
NR536--MA0523.1.TCF7L2	chr1	161378552	161378565	+	0.000	0.000	Merged-chr1-161378762-23
NR1790--MA1421.1.TCF7L1	chr12	41168055	41168066	+	0.000	0.000	Merged-chr12-41167989-46
NR5442--MA0769.1.Tcf7	chr3	36552214	36552225	-	0.000	0.000	Merged-chr3-36552397-80
NR401--MA0769.1.Tcf7	chr1	136609083	136609094	-	0.000	0.000	Merged-chr1-136609076-3
NR2177--MA0769.1.Tcf7	chr13	13582035	13582046	-	0.000	0.000	Merged-chr13-13582107-29
NR2582--MA0523.1.TCF7L2	chr13	119649600	119649613	+	0.000	0.000	Merged-chr13-119649440-22
NR880--MA0769.1.Tcf7	chr10	50650808	50650819	-	0.000	0.000	Merged-chr10-50650757-16
NR7221--MA0523.1.TCF7L2	chr6	65569962	65569975	+	0.000	0.000	Merged-chr6-65569933-17
NR728--MA0769.1.Tcf7	chr10	4512824	4512835	+	0.000	0.000	Merged-chr10-4512791-21
NR574--MA0523.1.TCF7L2	chr1	167296110	167296123	-	0.000	0.000	Merged-chr1-167296095-13
NR8462--MA0523.1.TCF7L2	chr8	123404746	123404759	-	0.000	0.000	Merged-chr8-123404693-24
NR2298--MA0769.1.Tcf7	chr13	52628151	52628162	+	0.000	0.000	Merged-chr13-52628204-1
NR5959--MA0523.1.TCF7L2	chr3	146564287	146564300	-	0.000	0.000	Merged-chr3-146564462-25
NR2157--MA0523.1.TCF7L2	chr13	9107246	9107259	+	0.000	0.000	Merged-chr13-9107382-45
NR3612--MA1421.1.TCF7L1	chr16	76765862	76765873	+	0.000	0.000	Merged-chr16-76765749-14
NR2989--MA1421.1.TCF7L1	chr14	121137384	121137395	+	0.000	0.000	Merged-chr14-121137502-35
NR5590--MA0769.1.Tcf7	chr3	81489543	81489554	-	0.000	0.000	Merged-chr3-81489616-14
NR6425--MA1421.1.TCF7L1	chr4	135911656	135911667	+	0.000	0.000	Merged-chr4-135911703-15
NR6791--MA0523.1.TCF7L2	chr5	97090319	97090332	+	0.000	0.000	Merged-chr5-97090318-20
NR2350--MA0523.1.TCF7L2	chr13	70600460	70600473	-	0.000	0.000	Merged-chr13-70600282-8
NR1711--MA0523.1.TCF7L2	chr12	21172236	21172249	+	0.000	0.000	Merged-chr12-21172304-14
NR3591--MA0523.1.TCF7L2	chr16	70007129	70007142	+	0.000	0.000	Merged-chr16-70007136-17
NR342--MA0523.1.TCF7L2	chr1	119469561	119469574	-	0.000	0.000	Merged-chr1-119469584-5
NR7013--MA1421.1.TCF7L1	chr5	149203177	149203188	-	0.000	0.000	Merged-chr5-149203183-18
NR1903--MA1421.1.TCF7L1	chr12	77070144	77070155	-	0.000	0.000	Merged-chr12-77070291-10
NR198--MA1421.1.TCF7L1	chr1	82974104	82974115	-	0.000	0.000	Merged-chr1-82974163-36
NR3845--MA0769.1.Tcf7	chr17	44336877	44336888	+	0.000	0.000	Merged-chr17-44337024-21
NR5483--MA0769.1.Tcf7	chr3	54400017	54400028	-	0.000	0.000	Merged-chr3-54399982-24
NR7739--MA0769.1.Tcf7	chr7	58691973	58691984	+	0.000	0.000	Merged-chr7-58692005-1
NR6596--MA1421.1.TCF7L1	chr5	36140702	36140713	-	0.000	0.000	Merged-chr5-36140594-4
NR2990--MA0523.1.TCF7L2	chr14	121137384	121137397	+	0.000	0.000	Merged-chr14-121137502-35
NR5957--MA1421.1.TCF7L1	chr3	146192742	146192753	-	0.000	0.000	Merged-chr3-146192596-55
NR4079--MA1421.1.TCF7L1	chr18	34103049	34103060	-	0.000	0.000	Merged-chr18-34103168-40
NR3608--MA1421.1.TCF7L1	chr16	76575446	76575457	-	0.000	0.000	Merged-chr16-76575582-30
NR5039--MA0523.1.TCF7L2	chr2	117335834	117335847	-	0.000	0.000	Merged-chr2-117335736-33
NR3044--MA1421.1.TCF7L1	chr15	10447302	10447313	+	0.000	0.000	Merged-chr15-10447359-14
NR5898--MA0523.1.TCF7L2	chr3	138746758	138746771	-	0.000	0.000	Merged-chr3-138746730-15
NR2997--MA0769.1.Tcf7	chr14	121354191	121354202	+	0.000	0.000	Merged-chr14-121354142-24
NR2999--MA0523.1.TCF7L2	chr14	121992792	121992805	-	0.000	0.000	Merged-chr14-121992584-62
NR931--MA0523.1.TCF7L2	chr10	60000163	60000176	-	0.000	0.000	Merged-chr10-60000232-10
NR2795--MA1421.1.TCF7L1	chr14	59202012	59202023	-	0.000	0.000	Merged-chr14-59201879-5
NR4887--MA1421.1.TCF7L1	chr2	84016489	84016500	-	0.000	0.000	Merged-chr2-84016424-23
NR8632--MA0769.1.Tcf7	chr9	44548856	44548867	-	0.000	0.000	Merged-chr9-44549007-18
NR1679--MA0769.1.Tcf7	chr12	3990035	3990046	+	0.000	0.000	Merged-chr12-3989980-1
NR4438--MA0523.1.TCF7L2	chr19	38837529	38837542	-	0.000	0.000	Merged-chr19-38837457-3
NR7099--MA0769.1.Tcf7	chr6	30677300	30677311	+	0.000	0.000	Merged-chr6-30677356-3
NR2442--MA0769.1.Tcf7	chr13	93175668	93175679	+	0.000	0.000	Merged-chr13-93175751-12
NR3852--MA1421.1.TCF7L1	chr17	45342331	45342342	-	0.000	0.000	Merged-chr17-45342322-7
NR110--MA0523.1.TCF7L2	chr1	54179463	54179476	+	0.000	0.000	Merged-chr1-54179404-9
NR111--MA0769.1.Tcf7	chr1	54179463	54179474	+	0.000	0.000	Merged-chr1-54179404-9
NR1227--MA0769.1.Tcf7	chr10	117377578	117377589	-	0.000	0.000	Merged-chr10-117377577-5
NR1012--MA0769.1.Tcf7	chr10	77677796	77677807	-	0.000	0.000	Merged-chr10-77677865-23
NR7472--MA1421.1.TCF7L1	chr6	120006467	120006478	+	0.000	0.000	Merged-chr6-120006378-7
NR869--MA1421.1.TCF7L1	chr10	43745949	43745960	-	0.000	0.000	Merged-chr10-43745944-8
NR1124--MA0769.1.Tcf7	chr10	98976104	98976115	-	0.000	0.000	Merged-chr10-98976063-31
NR4682--MA0523.1.TCF7L2	chr2	43992732	43992745	-	0.000	0.000	Merged-chr2-43992698-17
NR5725--MA1421.1.TCF7L1	chr3	108124345	108124356	+	0.000	0.000	Merged-chr3-108124378-33
NR3140--MA0523.1.TCF7L2	chr15	51842468	51842481	+	0.000	0.000	Merged-chr15-51842617-12
NR8301--MA0769.1.Tcf7	chr8	77435082	77435093	+	0.000	0.000	Merged-chr8-77435130-10
NR6108--MA0769.1.Tcf7	chr4	34551490	34551501	+	0.000	0.000	Merged-chr4-34551500-9
NR3671--MA1421.1.TCF7L1	chr16	92307632	92307643	+	0.000	0.000	Merged-chr16-92307633-7
NR6980--MA0523.1.TCF7L2	chr5	142891542	142891555	-	0.000	0.000	Merged-chr5-142891617-16
NR5498--MA0523.1.TCF7L2	chr3	58658549	58658562	-	0.000	0.000	Merged-chr3-58658570-11
NR927--MA0523.1.TCF7L2	chr10	60000108	60000121	+	0.000	0.000	Merged-chr10-60000232-10
NR7556--MA0769.1.Tcf7	chr6	138269150	138269161	-	0.000	0.000	Merged-chr6-138269074-1
NR2232--MA0769.1.Tcf7	chr13	38938673	38938684	+	0.000	0.000	Merged-chr13-38938571-13
NR9126--MA1421.1.TCF7L1	chrX	106608147	106608158	+	0.000	0.000	Merged-chrX-106608183-10
NR7612--MA0523.1.TCF7L2	chr6	145469522	145469535	+	0.000	0.000	Merged-chr6-145469437-17
NR2138--MA1421.1.TCF7L1	chr13	3479835	3479846	+	0.000	0.000	Merged-chr13-3479941-4
NR4197--MA0769.1.Tcf7	chr18	65016107	65016118	-	0.000	0.000	Merged-chr18-65016159-16
NR9067--MA0523.1.TCF7L2	chrX	50836443	50836456	+	0.000	0.000	Merged-chrX-50836312-60
NR3393--MA0523.1.TCF7L2	chr16	15910370	15910383	+	0.000	0.000	Merged-chr16-15910429-9
NR1537--MA1421.1.TCF7L1	chr11	96058765	96058776	+	0.000	0.000	Merged-chr11-96058605-21
NR3811--MA0523.1.TCF7L2	chr17	31693694	31693707	-	0.000	0.000	Merged-chr17-31693537-59
NR2116--MA0769.1.Tcf7	chr12	117679066	117679077	-	0.000	0.000	Merged-chr12-117679056-43
NR5266--MA0523.1.TCF7L2	chr2	158723966	158723979	-	0.000	0.000	Merged-chr2-158724013-3
NR6719--MA0523.1.TCF7L2	chr5	75661050	75661063	-	0.000	0.000	Merged-chr5-75660966-11
NR8247--MA0523.1.TCF7L2	chr8	56398906	56398919	+	0.000	0.000	Merged-chr8-56398896-15
NR5059--MA0769.1.Tcf7	chr2	121570240	121570251	+	0.000	0.000	Merged-chr2-121570231-16
NR8436--MA0769.1.Tcf7	chr8	115237246	115237257	+	0.000	0.000	Merged-chr8-115237313-17
NR8221--MA0769.1.Tcf7	chr8	41334274	41334285	-	0.000	0.000	Merged-chr8-41334366-24
NR4665--MA0523.1.TCF7L2	chr2	38068469	38068482	+	0.000	0.000	Merged-chr2-38068550-14
NR1890--MA0523.1.TCF7L2	chr12	76853351	76853364	-	0.000	0.000	Merged-chr12-76853290-4
NR901--MA0523.1.TCF7L2	chr10	54255357	54255370	+	0.000	0.000	Merged-chr10-54255218-57
NR7006--MA0769.1.Tcf7	chr5	148373460	148373471	+	0.000	0.000	Merged-chr5-148373511-17
NR7192--MA1421.1.TCF7L1	chr6	55256723	55256734	-	0.000	0.000	Merged-chr6-55256807-22
