#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval0.3-log2fc0.5_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval0.3-log2fc0.5_dn.bed
NR2841--MA0002.2.RUNX1	chr13	19518143	19518153	-	0.000	0.000	Merged-chr13-19518295-27
NR7435--MA0002.2.RUNX1	chr4	21842815	21842825	-	0.000	0.000	Merged-chr4-21842691-16
NR2745--MA0002.2.RUNX1	chr12	115790572	115790582	+	0.000	0.000	Merged-chr12-115790731-44
NR220--MA0002.2.RUNX1	chr1	62834665	62834675	-	0.000	0.000	Merged-chr1-62834522-10
NR6942--MA0002.2.RUNX1	chr3	93562573	93562583	-	0.000	0.000	Merged-chr3-93562558-40
NR5374--MA0684.1.RUNX3	chr18	56871869	56871878	+	0.000	0.000	Merged-chr18-56871976-16
NR7448--MA0002.2.RUNX1	chr4	24569310	24569320	+	0.000	0.000	Merged-chr4-24569297-30
NR3198--MA0002.2.RUNX1	chr13	99148606	99148616	-	0.000	0.000	Merged-chr13-99148566-18
NR4851--MA0511.2.RUNX2	chr17	19445082	19445090	+	0.000	0.000	Merged-chr17-19445027-33
NR3326--MA0002.2.RUNX1	chr13	119657277	119657287	+	0.000	0.000	Merged-chr13-119657260-10
NR11089--MA0511.2.RUNX2	chr9	94993741	94993749	+	0.000	0.000	Merged-chr9-94993790-30
NR2291--MA0002.2.RUNX1	chr12	16584080	16584090	-	0.000	0.000	Merged-chr12-16584018-49
NR8996--MA0002.2.RUNX1	chr6	83066176	83066186	-	0.000	0.000	Merged-chr6-83066192-22
NR2836--MA0511.2.RUNX2	chr13	17627285	17627293	+	0.000	0.000	Merged-chr13-17627310-18
NR4080--MA0002.2.RUNX1	chr15	80897004	80897014	-	0.000	0.000	Merged-chr15-80896921-31
NR960--MA0684.1.RUNX3	chr10	17565507	17565516	-	0.000	0.000	Merged-chr10-17565414-37
NR8472--MA0684.1.RUNX3	chr5	115085108	115085117	+	0.000	0.000	Merged-chr5-115085067-14
NR639--MA0002.2.RUNX1	chr1	162586524	162586534	+	0.000	0.000	Merged-chr1-162586427-19
NR4635--MA0002.2.RUNX1	chr16	90331260	90331270	-	0.000	0.000	Merged-chr16-90331129-56
NR3609--MA0684.1.RUNX3	chr14	73290033	73290042	-	0.000	0.000	Merged-chr14-73290096-39
NR2336--MA0002.2.RUNX1	chr12	32292954	32292964	-	0.000	0.000	Merged-chr12-32292976-7
NR7234--MA0511.2.RUNX2	chr3	138753297	138753305	-	0.000	0.000	Merged-chr3-138753245-27
NR877--MA0684.1.RUNX3	chr1	191599442	191599451	-	0.000	0.000	Merged-chr1-191599385-45
NR4919--MA0002.2.RUNX1	chr17	31835849	31835859	-	0.000	0.000	Merged-chr17-31835834-15
NR10353--MA0684.1.RUNX3	chr8	77461472	77461481	+	0.000	0.000	Merged-chr8-77461517-9
NR10479--MA0511.2.RUNX2	chr8	110813284	110813292	+	0.000	0.000	Merged-chr8-110813191-16
NR4181--MA0002.2.RUNX1	chr15	98869571	98869581	-	0.000	0.000	Merged-chr15-98869705-35
NR2444--MA0684.1.RUNX3	chr12	76953591	76953600	-	0.000	0.000	Merged-chr12-76953735-9
NR108--MA0002.2.RUNX1	chr1	40470134	40470144	+	0.000	0.000	Merged-chr1-40470075-45
NR16--MA0684.1.RUNX3	chr1	7147198	7147207	+	0.000	0.000	Merged-chr1-7147128-26
NR2785--MA0002.2.RUNX1	chr12	117959424	117959434	-	0.000	0.000	Merged-chr12-117959315-24
NR9207--MA0684.1.RUNX3	chr6	127302987	127302996	+	0.000	0.000	Merged-chr6-127302896-25
NR9267--MA0511.2.RUNX2	chr6	131404424	131404432	-	0.000	0.000	Merged-chr6-131404505-15
NR6654--MA0684.1.RUNX3	chr2	168429763	168429772	+	0.000	0.000	Merged-chr2-168429700-17
NR4848--MA0511.2.RUNX2	chr17	19435175	19435183	+	0.000	0.000	Merged-chr17-19435269-18
NR8443--MA0684.1.RUNX3	chr5	112278261	112278270	-	0.000	0.000	Merged-chr5-112278382-13
NR547--MA0511.2.RUNX2	chr1	144276047	144276055	-	0.000	0.000	Merged-chr1-144275874-18
NR1782--MA0002.2.RUNX1	chr11	62494961	62494971	-	0.000	0.000	Merged-chr11-62495019-47
NR11241--MA0002.2.RUNX1	chr9	116270573	116270583	+	0.000	0.000	Merged-chr9-116270494-11
NR7821--MA0002.2.RUNX1	chr4	129496800	129496810	-	0.000	0.000	Merged-chr4-129496759-24
NR10338--MA0002.2.RUNX1	chr8	72330016	72330026	+	0.000	0.000	Merged-chr8-72329940-13
NR9309--MA0002.2.RUNX1	chr6	137795425	137795435	-	0.000	0.000	Merged-chr6-137795480-24
NR6998--MA0511.2.RUNX2	chr3	101274924	101274932	-	0.000	0.000	Merged-chr3-101274930-55
NR3399--MA0684.1.RUNX3	chr14	30579522	30579531	+	0.000	0.000	Merged-chr14-30579338-21
NR8784--MA0002.2.RUNX1	chr6	30671793	30671803	+	0.000	0.000	Merged-chr6-30671721-27
NR6504--MA0002.2.RUNX1	chr2	145234108	145234118	-	0.000	0.000	Merged-chr2-145234039-59
NR4810--MA0684.1.RUNX3	chr17	12768859	12768868	+	0.000	0.000	Merged-chr17-12768899-10
NR9084--MA0511.2.RUNX2	chr6	108296093	108296101	-	0.000	0.000	Merged-chr6-108296153-11
NR1288--MA0511.2.RUNX2	chr10	88551162	88551170	+	0.000	0.000	Merged-chr10-88551161-11
NR2905--MA0002.2.RUNX1	chr13	30610001	30610011	+	0.000	0.000	Merged-chr13-30609966-11
NR176--MA0684.1.RUNX3	chr1	54871549	54871558	+	0.000	0.000	Merged-chr1-54871447-51
NR2538--MA0002.2.RUNX1	chr12	92672604	92672614	+	0.000	0.000	Merged-chr12-92672528-30
NR8829--MA0002.2.RUNX1	chr6	41189074	41189084	-	0.000	0.000	Merged-chr6-41189154-9
NR5610--MA0002.2.RUNX1	chr19	5257354	5257364	+	0.000	0.000	Merged-chr19-5257394-33
NR11091--MA0684.1.RUNX3	chr9	94993741	94993750	+	0.000	0.000	Merged-chr9-94993790-30
NR1902--MA0002.2.RUNX1	chr11	82203896	82203906	-	0.000	0.000	Merged-chr11-82203990-35
NR8633--MA0002.2.RUNX1	chr5	142896852	142896862	-	0.000	0.000	Merged-chr5-142896891-14
NR8762--MA0684.1.RUNX3	chr6	22330737	22330746	-	0.000	0.000	Merged-chr6-22330722-48
NR8885--MA0002.2.RUNX1	chr6	51533583	51533593	+	0.000	0.000	Merged-chr6-51533616-16
NR11451--MA0002.2.RUNX1	chrX	102037244	102037254	+	0.000	0.000	Merged-chrX-102037181-28
NR8471--MA0002.2.RUNX1	chr5	115085108	115085118	-	0.000	0.000	Merged-chr5-115085067-14
NR2084--MA0002.2.RUNX1	chr11	106687554	106687564	+	0.000	0.000	Merged-chr11-106687558-7
NR11498--MA0002.2.RUNX1	chrX	159713376	159713386	+	0.000	0.000	Merged-chrX-159713466-17
NR11454--MA0511.2.RUNX2	chrX	104760589	104760597	-	0.000	0.000	Merged-chrX-104760741-26
NR7048--MA0511.2.RUNX2	chr3	108718344	108718352	+	0.000	0.000	Merged-chr3-108718262-42
NR1961--MA0511.2.RUNX2	chr11	90675679	90675687	+	0.000	0.000	Merged-chr11-90675808-18
NR4875--MA0511.2.RUNX2	chr17	26532893	26532901	+	0.000	0.000	Merged-chr17-26532798-20
NR8963--MA0511.2.RUNX2	chr6	71962877	71962885	-	0.000	0.000	Merged-chr6-71962835-53
NR11245--MA0684.1.RUNX3	chr9	116366366	116366375	+	0.000	0.000	Merged-chr9-116366334-59
NR9833--MA0002.2.RUNX1	chr7	106271141	106271151	-	0.000	0.000	Merged-chr7-106271098-32
NR4428--MA0002.2.RUNX1	chr16	43650508	43650518	-	0.000	0.000	Merged-chr16-43650685-39
NR4113--MA0511.2.RUNX2	chr15	86051395	86051403	-	0.000	0.000	Merged-chr15-86051383-21
NR39--MA0511.2.RUNX2	chr1	21333808	21333816	-	0.000	0.000	Merged-chr1-21333700-62
NR6836--MA0002.2.RUNX1	chr3	52703682	52703692	+	0.000	0.000	Merged-chr3-52703708-18
NR2006--MA0684.1.RUNX3	chr11	99012424	99012433	+	0.000	0.000	Merged-chr11-99012536-12
NR4570--MA0511.2.RUNX2	chr16	75984027	75984035	-	0.000	0.000	Merged-chr16-75984013-36
NR4808--MA0002.2.RUNX1	chr17	12756060	12756070	-	0.000	0.000	Merged-chr17-12756128-8
NR399--MA0684.1.RUNX3	chr1	97614015	97614024	+	0.000	0.000	Merged-chr1-97613912-17
NR6882--MA0511.2.RUNX2	chr3	79504698	79504706	-	0.000	0.000	Merged-chr3-79504650-9
NR8529--MA0002.2.RUNX1	chr5	124215134	124215144	-	0.000	0.000	Merged-chr5-124215011-42
NR6578--MA0002.2.RUNX1	chr2	157190868	157190878	-	0.000	0.000	Merged-chr2-157190874-9
NR9955--MA0002.2.RUNX1	chr7	125467166	125467176	+	0.000	0.000	Merged-chr7-125467127-13
NR4506--MA0511.2.RUNX2	chr16	55520065	55520073	-	0.000	0.000	Merged-chr16-55519957-45
NR1331--MA0002.2.RUNX1	chr10	95009354	95009364	+	0.000	0.000	Merged-chr10-95009173-43
NR4596--MA0511.2.RUNX2	chr16	84800041	84800049	+	0.000	0.000	Merged-chr16-84800124-30
NR11393--MA0511.2.RUNX2	chrX	52760335	52760343	+	0.000	0.000	Merged-chrX-52760494-47
NR1440--MA0002.2.RUNX1	chr10	118096357	118096367	-	0.000	0.000	Merged-chr10-118096400-51
NR1711--MA0002.2.RUNX1	chr11	51938888	51938898	-	0.000	0.000	Merged-chr11-51938980-15
NR7874--MA0002.2.RUNX1	chr4	135406474	135406484	-	0.000	0.000	Merged-chr4-135406336-63
NR8585--MA0002.2.RUNX1	chr5	136458784	136458794	-	0.000	0.000	Merged-chr5-136458862-38
NR6577--MA0684.1.RUNX3	chr2	157190801	157190810	+	0.000	0.000	Merged-chr2-157190874-9
NR930--MA0002.2.RUNX1	chr10	10307520	10307530	+	0.000	0.000	Merged-chr10-10307543-35
NR8237--MA0002.2.RUNX1	chr5	67437425	67437435	+	0.000	0.000	Merged-chr5-67437495-24
NR6957--MA0684.1.RUNX3	chr3	95101039	95101048	-	0.000	0.000	Merged-chr3-95101078-19
NR1601--MA0684.1.RUNX3	chr11	14142622	14142631	-	0.000	0.000	Merged-chr11-14142731-31
NR2468--MA0684.1.RUNX3	chr12	81933737	81933746	-	0.000	0.000	Merged-chr12-81933629-26
NR8170--MA0684.1.RUNX3	chr5	41762248	41762257	-	0.000	0.000	Merged-chr5-41762366-35
NR3512--MA0684.1.RUNX3	chr14	63104030	63104039	+	0.000	0.000	Merged-chr14-63104126-25
NR11209--MA0002.2.RUNX1	chr9	114775790	114775800	+	0.000	0.000	Merged-chr9-114775668-22
NR2417--MA0511.2.RUNX2	chr12	72674643	72674651	+	0.000	0.000	Merged-chr12-72674596-16
NR6234--MA0511.2.RUNX2	chr2	80684883	80684891	+	0.000	0.000	Merged-chr2-80684823-58
NR2047--MA0002.2.RUNX1	chr11	103375407	103375417	+	0.000	0.000	Merged-chr11-103375376-18
NR1650--MA0002.2.RUNX1	chr11	33162289	33162299	-	0.000	0.000	Merged-chr11-33162343-10
NR4170--MA0684.1.RUNX3	chr15	97727292	97727301	+	0.000	0.000	Merged-chr15-97727348-17
NR10716--MA0002.2.RUNX1	chr9	22366959	22366969	+	0.000	0.000	Merged-chr9-22366928-17
NR5662--MA0684.1.RUNX3	chr19	12479475	12479484	+	0.000	0.000	Merged-chr19-12479491-16
NR4567--MA0511.2.RUNX2	chr16	75983974	75983982	-	0.000	0.000	Merged-chr16-75984013-36
NR11221--MA0511.2.RUNX2	chr9	115610230	115610238	-	0.000	0.000	Merged-chr9-115610141-16
NR7801--MA0511.2.RUNX2	chr4	124776550	124776558	+	0.000	0.000	Merged-chr4-124776548-8
NR10520--MA0002.2.RUNX1	chr8	115531345	115531355	-	0.000	0.000	Merged-chr8-115531430-21
NR7792--MA0002.2.RUNX1	chr4	123287777	123287787	+	0.000	0.000	Merged-chr4-123287942-8
NR7715--MA0002.2.RUNX1	chr4	106987835	106987845	+	0.000	0.000	Merged-chr4-106987990-49
NR7662--MA0002.2.RUNX1	chr4	98282437	98282447	+	0.000	0.000	Merged-chr4-98282479-46
NR5654--MA0684.1.RUNX3	chr19	10830053	10830062	-	0.000	0.000	Merged-chr19-10829902-50
NR2005--MA0002.2.RUNX1	chr11	99012424	99012434	-	0.000	0.000	Merged-chr11-99012536-12
NR5634--MA0002.2.RUNX1	chr19	8926960	8926970	-	0.000	0.000	Merged-chr19-8926872-10
NR10480--MA0002.2.RUNX1	chr8	110813284	110813294	-	0.000	0.000	Merged-chr8-110813191-16
NR4189--MA0002.2.RUNX1	chr15	99333229	99333239	-	0.000	0.000	Merged-chr15-99333202-49
NR11194--MA0511.2.RUNX2	chr9	114016573	114016581	+	0.000	0.000	Merged-chr9-114016465-30
NR9831--MA0002.2.RUNX1	chr7	106271099	106271109	-	0.000	0.000	Merged-chr7-106271098-32
NR3987--MA0684.1.RUNX3	chr15	66785614	66785623	+	0.000	0.000	Merged-chr15-66785581-20
NR3173--MA0002.2.RUNX1	chr13	96555356	96555366	+	0.000	0.000	Merged-chr13-96555289-36
NR9212--MA0002.2.RUNX1	chr6	127723184	127723194	-	0.000	0.000	Merged-chr6-127723234-26
NR2418--MA0684.1.RUNX3	chr12	72674643	72674652	+	0.000	0.000	Merged-chr12-72674596-16
NR8786--MA0684.1.RUNX3	chr6	30671900	30671909	+	0.000	0.000	Merged-chr6-30671721-27
NR11147--MA0684.1.RUNX3	chr9	105499567	105499576	-	0.000	0.000	Merged-chr9-105499679-15
NR2335--MA0511.2.RUNX2	chr12	32292954	32292962	+	0.000	0.000	Merged-chr12-32292976-7
NR4459--MA0684.1.RUNX3	chr16	46001671	46001680	+	0.000	0.000	Merged-chr16-46001866-55
NR9800--MA0511.2.RUNX2	chr7	101636182	101636190	-	0.000	0.000	Merged-chr7-101636183-33
NR3662--MA0002.2.RUNX1	chr14	79499723	79499733	-	0.000	0.000	Merged-chr14-79499625-44
NR3457--MA0002.2.RUNX1	chr14	54042372	54042382	-	0.000	0.000	Merged-chr14-54042366-24
NR3857--MA0684.1.RUNX3	chr15	34467874	34467883	-	0.000	0.000	Merged-chr15-34468001-12
NR4899--MA0511.2.RUNX2	chr17	29531565	29531573	+	0.000	0.000	Merged-chr17-29531509-3
NR10995--MA0002.2.RUNX1	chr9	80266694	80266704	+	0.000	0.000	Merged-chr9-80266579-55
NR3784--MA0002.2.RUNX1	chr15	3270984	3270994	+	0.000	0.000	Merged-chr15-3270817-58
NR3535--MA0511.2.RUNX2	chr14	66241410	66241418	-	0.000	0.000	Merged-chr14-66241484-22
NR5116--MA0002.2.RUNX1	chr17	74140359	74140369	+	0.000	0.000	Merged-chr17-74140468-12
NR1756--MA0002.2.RUNX1	chr11	57911898	57911908	-	0.000	0.000	Merged-chr11-57911963-18
NR10964--MA0511.2.RUNX2	chr9	73176780	73176788	-	0.000	0.000	Merged-chr9-73176903-12
NR9294--MA0002.2.RUNX1	chr6	136547310	136547320	+	0.000	0.000	Merged-chr6-136547260-16
NR11248--MA0684.1.RUNX3	chr9	116369243	116369252	-	0.000	0.000	Merged-chr9-116369265-54
NR3511--MA0002.2.RUNX1	chr14	63104030	63104040	-	0.000	0.000	Merged-chr14-63104126-25
NR7000--MA0684.1.RUNX3	chr3	101274923	101274932	-	0.000	0.000	Merged-chr3-101274930-55
NR3492--MA0002.2.RUNX1	chr14	60705252	60705262	+	0.000	0.000	Merged-chr14-60705209-36
NR5969--MA0511.2.RUNX2	chr2	13233449	13233457	-	0.000	0.000	Merged-chr2-13233524-26
NR9293--MA0684.1.RUNX3	chr6	136493692	136493701	-	0.000	0.000	Merged-chr6-136493676-34
NR10573--MA0002.2.RUNX1	chr8	121898682	121898692	+	0.000	0.000	Merged-chr8-121898554-47
NR7820--MA0511.2.RUNX2	chr4	129496800	129496808	+	0.000	0.000	Merged-chr4-129496759-24
NR5713--MA0684.1.RUNX3	chr19	21897584	21897593	-	0.000	0.000	Merged-chr19-21897533-47
NR5836--MA0002.2.RUNX1	chr19	46705948	46705958	+	0.000	0.000	Merged-chr19-46705884-16
NR10477--MA0002.2.RUNX1	chr8	110813252	110813262	-	0.000	0.000	Merged-chr8-110813191-16
NR1443--MA0002.2.RUNX1	chr10	118407016	118407026	-	0.000	0.000	Merged-chr10-118407091-36
NR6500--MA0002.2.RUNX1	chr2	144637307	144637317	+	0.000	0.000	Merged-chr2-144637414-14
NR5021--MA0002.2.RUNX1	chr17	50731044	50731054	-	0.000	0.000	Merged-chr17-50731110-29
NR7052--MA0511.2.RUNX2	chr3	108737883	108737891	-	0.000	0.000	Merged-chr3-108737869-29
NR5273--MA0002.2.RUNX1	chr18	23734925	23734935	+	0.000	0.000	Merged-chr18-23734973-16
NR5653--MA0002.2.RUNX1	chr19	10830052	10830062	+	0.000	0.000	Merged-chr19-10829902-50
NR3102--MA0002.2.RUNX1	chr13	85399090	85399100	+	0.000	0.000	Merged-chr13-85399027-23
NR10565--MA0002.2.RUNX1	chr8	121570459	121570469	+	0.000	0.000	Merged-chr8-121570466-14
NR2914--MA0002.2.RUNX1	chr13	30912397	30912407	+	0.000	0.000	Merged-chr13-30912363-13
NR10965--MA0684.1.RUNX3	chr9	73176779	73176788	-	0.000	0.000	Merged-chr9-73176903-12
NR3625--MA0002.2.RUNX1	chr14	74990691	74990701	+	0.000	0.000	Merged-chr14-74990757-12
NR9788--MA0002.2.RUNX1	chr7	99946599	99946609	-	0.000	0.000	Merged-chr7-99946527-26
NR5828--MA0002.2.RUNX1	chr19	45528076	45528086	+	0.000	0.000	Merged-chr19-45528060-29
NR3192--MA0002.2.RUNX1	chr13	98803826	98803836	-	0.000	0.000	Merged-chr13-98803850-12
NR5814--MA0684.1.RUNX3	chr19	41481227	41481236	+	0.000	0.000	Merged-chr19-41481364-20
NR545--MA0002.2.RUNX1	chr1	144086339	144086349	+	0.000	0.000	Merged-chr1-144086303-34
NR1435--MA0002.2.RUNX1	chr10	117938782	117938792	+	0.000	0.000	Merged-chr10-117938782-19
NR10435--MA0002.2.RUNX1	chr8	94969848	94969858	+	0.000	0.000	Merged-chr8-94970048-23
NR7236--MA0684.1.RUNX3	chr3	138753296	138753305	-	0.000	0.000	Merged-chr3-138753245-27
NR9624--MA0002.2.RUNX1	chr7	63984436	63984446	+	0.000	0.000	Merged-chr7-63984461-22
NR3607--MA0511.2.RUNX2	chr14	73290034	73290042	-	0.000	0.000	Merged-chr14-73290096-39
NR3985--MA0684.1.RUNX3	chr15	66785499	66785508	-	0.000	0.000	Merged-chr15-66785581-20
NR5317--MA0684.1.RUNX3	chr18	39102429	39102438	+	0.000	0.000	Merged-chr18-39102352-12
NR1814--MA0684.1.RUNX3	chr11	68768602	68768611	+	0.000	0.000	Merged-chr11-68768507-16
NR8926--MA0002.2.RUNX1	chr6	65573685	65573695	+	0.000	0.000	Merged-chr6-65573561-44
NR4900--MA0002.2.RUNX1	chr17	29531565	29531575	-	0.000	0.000	Merged-chr17-29531509-3
NR2473--MA0002.2.RUNX1	chr12	82268111	82268121	+	0.000	0.000	Merged-chr12-82268056-22
NR3455--MA0002.2.RUNX1	chr14	54042311	54042321	+	0.000	0.000	Merged-chr14-54042366-24
NR10299--MA0002.2.RUNX1	chr8	66497233	66497243	-	0.000	0.000	Merged-chr8-66497339-52
NR4169--MA0511.2.RUNX2	chr15	97727292	97727300	+	0.000	0.000	Merged-chr15-97727348-17
NR4199--MA0684.1.RUNX3	chr15	100265823	100265832	+	0.000	0.000	Merged-chr15-100265875-19
NR10679--MA0002.2.RUNX1	chr9	13518644	13518654	-	0.000	0.000	Merged-chr9-13518732-12
NR4371--MA0002.2.RUNX1	chr16	30177882	30177892	+	0.000	0.000	Merged-chr16-30177867-21
NR3197--MA0002.2.RUNX1	chr13	99148598	99148608	-	0.000	0.000	Merged-chr13-99148566-18
NR1936--MA0684.1.RUNX3	chr11	86386114	86386123	-	0.000	0.000	Merged-chr11-86385972-25
NR5134--MA0684.1.RUNX3	chr17	79394209	79394218	-	0.000	0.000	Merged-chr17-79394145-31
NR7066--MA0684.1.RUNX3	chr3	114889914	114889923	+	0.000	0.000	Merged-chr3-114889987-14
NR58--MA0002.2.RUNX1	chr1	36720305	36720315	-	0.000	0.000	Merged-chr1-36720306-12
NR14--MA0511.2.RUNX2	chr1	7147198	7147206	+	0.000	0.000	Merged-chr1-7147128-26
NR9205--MA0511.2.RUNX2	chr6	127302987	127302995	+	0.000	0.000	Merged-chr6-127302896-25
NR10406--MA0002.2.RUNX1	chr8	88291515	88291525	-	0.000	0.000	Merged-chr8-88291610-16
NR4764--MA0002.2.RUNX1	chr17	5804539	5804549	+	0.000	0.000	Merged-chr17-5804562-52
NR9292--MA0002.2.RUNX1	chr6	136493691	136493701	+	0.000	0.000	Merged-chr6-136493676-34
NR10--MA0684.1.RUNX3	chr1	6467287	6467296	-	0.000	0.000	Merged-chr1-6467226-38
NR2845--MA0002.2.RUNX1	chr13	20183649	20183659	+	0.000	0.000	Merged-chr13-20183711-2
NR986--MA0002.2.RUNX1	chr10	20855250	20855260	+	0.000	0.000	Merged-chr10-20855169-17
NR8342--MA0002.2.RUNX1	chr5	100466876	100466886	-	0.000	0.000	Merged-chr5-100466890-43
NR1528--MA0002.2.RUNX1	chr10	128504839	128504849	-	0.000	0.000	Merged-chr10-128504918-39
NR9310--MA0684.1.RUNX3	chr6	137795425	137795434	+	0.000	0.000	Merged-chr6-137795480-24
NR1322--MA0511.2.RUNX2	chr10	94211875	94211883	-	0.000	0.000	Merged-chr10-94211763-30
NR6675--MA0002.2.RUNX1	chr2	172407703	172407713	-	0.000	0.000	Merged-chr2-172407690-36
NR1018--MA0002.2.RUNX1	chr10	26364520	26364530	+	0.000	0.000	Merged-chr10-26364475-53
NR3155--MA0002.2.RUNX1	chr13	93789506	93789516	+	0.000	0.000	Merged-chr13-93789416-6
NR10018--MA0002.2.RUNX1	chr7	132686646	132686656	-	0.000	0.000	Merged-chr7-132686748-28
NR908--MA0684.1.RUNX3	chr10	4977486	4977495	-	0.000	0.000	Merged-chr10-4977529-37
NR8830--MA0684.1.RUNX3	chr6	41189074	41189083	+	0.000	0.000	Merged-chr6-41189154-9
NR2936--MA0511.2.RUNX2	chr13	35871294	35871302	+	0.000	0.000	Merged-chr13-35871308-48
NR2771--MA0002.2.RUNX1	chr12	117579334	117579344	-	0.000	0.000	Merged-chr12-117579368-17
NR2566--MA0002.2.RUNX1	chr12	99544780	99544790	-	0.000	0.000	Merged-chr12-99544732-47
NR2837--MA0002.2.RUNX1	chr13	17627285	17627295	-	0.000	0.000	Merged-chr13-17627310-18
NR8586--MA0002.2.RUNX1	chr5	136459000	136459010	+	0.000	0.000	Merged-chr5-136458862-38
NR9319--MA0511.2.RUNX2	chr6	140493270	140493278	+	0.000	0.000	Merged-chr6-140493334-8
