#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval0.3-log2fc0.5_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval0.3-log2fc0.5_up.bed
NR36419--MA0599.1.KLF5	chr2	65104848	65104857	-	0.000	0.000	Merged-chr2-65104683-25
NR64719--MA0741.1.KLF16	chr8	40963171	40963181	-	0.000	0.000	Merged-chr8-40963134-88
NR47821--MA0741.1.KLF16	chr4	134117230	134117240	+	0.000	0.000	Merged-chr4-134117148-42
NR12100--MA0039.3.KLF4	chr11	99144112	99144122	-	0.000	0.000	Merged-chr11-99144248-66
NR5963--MA0740.1.KLF14	chr10	53889521	53889534	-	0.000	0.000	Merged-chr10-53889619-14
NR50681--MA0742.1.Klf12	chr5	64864850	64864864	+	0.000	0.000	Merged-chr5-64864889-25
NR45390--MA0493.1.Klf1	chr4	47251261	47251271	+	0.000	0.000	Merged-chr4-47251279-48
NR48327--MA0741.1.KLF16	chr4	140983708	140983718	-	0.000	0.000	Merged-chr4-140983649-41
NR28786--MA0039.3.KLF4	chr17	35231250	35231260	-	0.000	0.000	Merged-chr17-35231264-33
NR28428--MA0039.3.KLF4	chr17	29393798	29393808	-	0.000	0.000	Merged-chr17-29393996-77
NR67724--MA1107.1.KLF9	chr9	14172182	14172194	-	0.000	0.000	Merged-chr9-14171965-37
NR28358--MA0599.1.KLF5	chr17	28516039	28516048	-	0.000	0.000	Merged-chr17-28516201-30
NR17340--MA0493.1.Klf1	chr13	63189530	63189540	-	0.000	0.000	Merged-chr13-63189715-33
NR27085--MA0740.1.KLF14	chr16	93552856	93552869	+	0.000	0.000	Merged-chr16-93552984-42
NR8556--MA1107.1.KLF9	chr10	120697614	120697626	+	0.000	0.000	Merged-chr10-120697518-32
NR35012--MA0740.1.KLF14	chr2	17862024	17862037	+	0.000	0.000	Merged-chr2-17861880-15
NR61148--MA0740.1.KLF14	chr7	80123326	80123339	+	0.000	0.000	Merged-chr7-80123359-34
NR47678--MA0599.1.KLF5	chr4	132749054	132749063	-	0.000	0.000	Merged-chr4-132748989-25
NR57478--MA0742.1.Klf12	chr6	125067855	125067869	-	0.000	0.000	Merged-chr6-125067765-41
NR12393--MA0740.1.KLF14	chr11	104631542	104631555	-	0.000	0.000	Merged-chr11-104631492-24
NR52700--MA0740.1.KLF14	chr5	124629054	124629067	-	0.000	0.000	Merged-chr5-124629076-75
NR37406--MA0599.1.KLF5	chr2	103703495	103703504	-	0.000	0.000	Merged-chr2-103703560-39
NR48413--MA0657.1.KLF13	chr4	141862226	141862243	+	0.000	0.000	Merged-chr4-141862091-43
NR45176--MA0599.1.KLF5	chr4	43937234	43937243	+	0.000	0.000	Merged-chr4-43937152-65
NR896--MA0742.1.Klf12	chr1	60016437	60016451	-	0.000	0.000	Merged-chr1-60016690-100
NR27707--MA0599.1.KLF5	chr17	12205995	12206004	+	0.000	0.000	Merged-chr17-12205812-57
NR57180--MA0599.1.KLF5	chr6	119199111	119199120	+	0.000	0.000	Merged-chr6-119199024-52
NR55067--MA0493.1.Klf1	chr6	38810071	38810081	+	0.000	0.000	Merged-chr6-38810070-95
NR42745--MA0740.1.KLF14	chr3	115692526	115692539	+	0.000	0.000	Merged-chr3-115692552-34
NR67286--MA0493.1.Klf1	chr8	123037169	123037179	-	0.000	0.000	Merged-chr8-123037224-33
NR27016--MA0039.3.KLF4	chr16	91588233	91588243	+	0.000	0.000	Merged-chr16-91588038-25
NR27015--MA0742.1.Klf12	chr16	91588231	91588245	+	0.000	0.000	Merged-chr16-91588038-25
NR62088--MA0599.1.KLF5	chr7	110796448	110796457	-	0.000	0.000	Merged-chr7-110796429-1
NR7830--MA0599.1.KLF5	chr10	95299983	95299992	-	0.000	0.000	Merged-chr10-95299831-73
NR28488--MA0599.1.KLF5	chr17	31077832	31077841	-	0.000	0.000	Merged-chr17-31077750-28
NR5976--MA1107.1.KLF9	chr10	54040788	54040800	+	0.000	0.000	Merged-chr10-54040975-1
NR22459--MA0741.1.KLF16	chr15	25884683	25884693	-	0.000	0.000	Merged-chr15-25884835-36
NR55559--MA0742.1.Klf12	chr6	54925959	54925973	+	0.000	0.000	Merged-chr6-54926058-40
NR33648--MA0741.1.KLF16	chr19	31337344	31337354	-	0.000	0.000	Merged-chr19-31337298-1
NR41033--MA0741.1.KLF16	chr3	52677349	52677359	+	0.000	0.000	Merged-chr3-52677309-55
NR17238--MA0599.1.KLF5	chr13	58443994	58444003	-	0.000	0.000	Merged-chr13-58444018-18
NR18225--MA0741.1.KLF16	chr13	99781081	99781091	-	0.000	0.000	Merged-chr13-99781144-21
NR70843--MA0599.1.KLF5	chr9	110641166	110641175	+	0.000	0.000	Merged-chr9-110641188-21
NR29199--MA0742.1.Klf12	chr17	47221305	47221319	+	0.000	0.000	Merged-chr17-47221287-27
NR33642--MA0599.1.KLF5	chr19	31337334	31337343	-	0.000	0.000	Merged-chr19-31337298-1
NR70815--MA1107.1.KLF9	chr9	110229699	110229711	-	0.000	0.000	Merged-chr9-110229688-19
NR61787--MA0742.1.Klf12	chr7	101634554	101634568	-	0.000	0.000	Merged-chr7-101634721-37
NR10278--MA0657.1.KLF13	chr11	55131241	55131258	+	0.000	0.000	Merged-chr11-55131266-10
NR54686--MA0742.1.Klf12	chr6	22340134	22340148	-	0.000	0.000	Merged-chr6-22340067-27
NR66894--MA1107.1.KLF9	chr8	117052563	117052575	-	0.000	0.000	Merged-chr8-117052612-3
NR40724--MA1107.1.KLF9	chr3	32438011	32438023	-	0.000	0.000	Merged-chr3-32438051-51
NR58382--MA0599.1.KLF5	chr6	142571414	142571423	-	0.000	0.000	Merged-chr6-142571386-44
NR42799--MA0742.1.Klf12	chr3	116487881	116487895	+	0.000	0.000	Merged-chr3-116487886-17
NR33486--MA0741.1.KLF16	chr19	21785256	21785266	+	0.000	0.000	Merged-chr19-21785424-37
NR42596--MA0599.1.KLF5	chr3	108383790	108383799	-	0.000	0.000	Merged-chr3-108383794-50
NR9203--MA1107.1.KLF9	chr11	4823897	4823909	+	0.000	0.000	Merged-chr11-4823993-46
NR7368--MA1107.1.KLF9	chr10	83161887	83161899	+	0.000	0.000	Merged-chr10-83161895-41
NR47686--MA1107.1.KLF9	chr4	132749052	132749064	-	0.000	0.000	Merged-chr4-132748989-25
NR61790--MA0493.1.Klf1	chr7	101634655	101634665	+	0.000	0.000	Merged-chr7-101634721-37
NR39155--MA1107.1.KLF9	chr2	156878024	156878036	+	0.000	0.000	Merged-chr2-156878033-50
NR23369--MA1107.1.KLF9	chr15	73169062	73169074	-	0.000	0.000	Merged-chr15-73169118-30
NR22011--MA0741.1.KLF16	chr14	120313650	120313660	+	0.000	0.000	Merged-chr14-120313531-118
NR35275--MA0741.1.KLF16	chr2	25170653	25170663	-	0.000	0.000	Merged-chr2-25170502-21
NR38195--MA1107.1.KLF9	chr2	128470342	128470354	-	0.000	0.000	Merged-chr2-128470524-44
NR32211--MA1107.1.KLF9	chr18	73816989	73817001	+	0.000	0.000	Merged-chr18-73816843-39
NR12895--MA0740.1.KLF14	chr11	115999778	115999791	+	0.000	0.000	Merged-chr11-115999757-14
NR58740--MA0742.1.Klf12	chr7	3290413	3290427	-	0.000	0.000	Merged-chr7-3290343-35
NR36353--MA0741.1.KLF16	chr2	60774638	60774648	-	0.000	0.000	Merged-chr2-60774747-55
NR59011--MA0599.1.KLF5	chr7	16001851	16001860	-	0.000	0.000	Merged-chr7-16001989-41
NR53473--MA0039.3.KLF4	chr5	137069069	137069079	-	0.000	0.000	Merged-chr5-137068922-9
NR10978--MA1107.1.KLF9	chr11	74555888	74555900	+	0.000	0.000	Merged-chr11-74556046-55
NR47491--MA0740.1.KLF14	chr4	129696177	129696190	+	0.000	0.000	Merged-chr4-129696167-1
NR67305--MA0599.1.KLF5	chr8	123411506	123411515	-	0.000	0.000	Merged-chr8-123411565-31
NR50101--MA1107.1.KLF9	chr5	36722771	36722783	-	0.000	0.000	Merged-chr5-36722614-37
NR52053--MA0493.1.Klf1	chr5	113842509	113842519	-	0.000	0.000	Merged-chr5-113842401-77
NR12277--MA0599.1.KLF5	chr11	102284778	102284787	-	0.000	0.000	Merged-chr11-102284938-63
NR47598--MA0599.1.KLF5	chr4	130914277	130914286	+	0.000	0.000	Merged-chr4-130914232-60
NR22088--MA0599.1.KLF5	chr14	121422825	121422834	+	0.000	0.000	Merged-chr14-121422910-45
NR44869--MA1107.1.KLF9	chr4	33588277	33588289	-	0.000	0.000	Merged-chr4-33588346-4
NR11881--MA0599.1.KLF5	chr11	97133497	97133506	+	0.000	0.000	Merged-chr11-97133494-13
NR57479--MA0039.3.KLF4	chr6	125067857	125067867	-	0.000	0.000	Merged-chr6-125067765-41
NR61149--MA0657.1.KLF13	chr7	80123325	80123342	+	0.000	0.000	Merged-chr7-80123359-34
NR11292--MA0741.1.KLF16	chr11	79132167	79132177	+	0.000	0.000	Merged-chr11-79132078-52
NR46023--MA0039.3.KLF4	chr4	82755891	82755901	+	0.000	0.000	Merged-chr4-82755852-39
NR1690--MA0741.1.KLF16	chr1	91825522	91825532	-	0.000	0.000	Merged-chr1-91825474-20
NR51895--MA0599.1.KLF5	chr5	111196087	111196096	+	0.000	0.000	Merged-chr5-111196079-28
NR8155--MA0599.1.KLF5	chr10	111031829	111031838	+	0.000	0.000	Merged-chr10-111031729-43
NR30600--MA1107.1.KLF9	chr17	86958068	86958080	+	0.000	0.000	Merged-chr17-86958132-38
NR22133--MA0741.1.KLF16	chr14	122187050	122187060	+	0.000	0.000	Merged-chr14-122187060-26
NR69167--MA0599.1.KLF5	chr9	64789696	64789705	-	0.000	0.000	Merged-chr9-64789537-48
NR36347--MA0740.1.KLF14	chr2	60774636	60774649	-	0.000	0.000	Merged-chr2-60774747-55
NR28433--MA0742.1.Klf12	chr17	29394033	29394047	-	0.000	0.000	Merged-chr17-29393996-77
NR44672--MA1107.1.KLF9	chr4	20033081	20033093	+	0.000	0.000	Merged-chr4-20033263-40
NR50446--MA1107.1.KLF9	chr5	54111079	54111091	+	0.000	0.000	Merged-chr5-54110931-21
NR18906--MA0599.1.KLF5	chr13	117223260	117223269	+	0.000	0.000	Merged-chr13-117223399-24
NR38201--MA0599.1.KLF5	chr2	128470719	128470728	-	0.000	0.000	Merged-chr2-128470524-44
NR47710--MA0599.1.KLF5	chr4	132808293	132808302	-	0.000	0.000	Merged-chr4-132808337-17
NR8487--MA0741.1.KLF16	chr10	119005764	119005774	+	0.000	0.000	Merged-chr10-119005704-15
NR57193--MA1107.1.KLF9	chr6	119199104	119199116	+	0.000	0.000	Merged-chr6-119199024-52
NR52009--MA0741.1.KLF16	chr5	112343101	112343111	+	0.000	0.000	Merged-chr5-112343084-79
NR36352--MA0493.1.Klf1	chr2	60774639	60774649	-	0.000	0.000	Merged-chr2-60774747-55
NR67341--MA0599.1.KLF5	chr8	124085801	124085810	+	0.000	0.000	Merged-chr8-124085760-17
NR16762--MA0599.1.KLF5	chr13	44323957	44323966	+	0.000	0.000	Merged-chr13-44323801-22
NR63854--MA0493.1.Klf1	chr7	143724047	143724057	-	0.000	0.000	Merged-chr7-143724096-15
NR63079--MA1107.1.KLF9	chr7	130801727	130801739	+	0.000	0.000	Merged-chr7-130801893-35
NR39630--MA1107.1.KLF9	chr2	167313855	167313867	+	0.000	0.000	Merged-chr2-167313855-44
NR48800--MA0599.1.KLF5	chr4	150894669	150894678	+	0.000	0.000	Merged-chr4-150894695-19
NR17344--MA0741.1.KLF16	chr13	63189566	63189576	-	0.000	0.000	Merged-chr13-63189715-33
NR61151--MA0599.1.KLF5	chr7	80123327	80123336	+	0.000	0.000	Merged-chr7-80123359-34
NR15664--MA0741.1.KLF16	chr12	109446514	109446524	-	0.000	0.000	Merged-chr12-109446341-43
NR15530--MA0742.1.Klf12	chr12	107961261	107961275	+	0.000	0.000	Merged-chr12-107961222-28
NR11704--MA0741.1.KLF16	chr11	93995358	93995368	+	0.000	0.000	Merged-chr11-93995310-5
NR69028--MA0493.1.Klf1	chr9	60998295	60998305	-	0.000	0.000	Merged-chr9-60998373-9
NR58418--MA0742.1.Klf12	chr6	142862374	142862388	-	0.000	0.000	Merged-chr6-142862347-56
NR8486--MA0493.1.Klf1	chr10	119005763	119005773	+	0.000	0.000	Merged-chr10-119005704-15
NR7194--MA1107.1.KLF9	chr10	81127650	81127662	+	0.000	0.000	Merged-chr10-81127720-40
NR50024--MA0741.1.KLF16	chr5	35176593	35176603	+	0.000	0.000	Merged-chr5-35176446-65
NR57178--MA0742.1.Klf12	chr6	119199104	119199118	+	0.000	0.000	Merged-chr6-119199024-52
NR50022--MA0599.1.KLF5	chr5	35176593	35176602	+	0.000	0.000	Merged-chr5-35176446-65
NR26766--MA0742.1.Klf12	chr16	78537697	78537711	-	0.000	0.000	Merged-chr16-78537818-67
NR42801--MA0039.3.KLF4	chr3	116487883	116487893	+	0.000	0.000	Merged-chr3-116487886-17
NR43676--MA0039.3.KLF4	chr3	141690689	141690699	+	0.000	0.000	Merged-chr3-141690828-16
NR8397--MA0599.1.KLF5	chr10	117861085	117861094	-	0.000	0.000	Merged-chr10-117861044-50
NR749--MA0741.1.KLF16	chr1	52578382	52578392	+	0.000	0.000	Merged-chr1-52578518-39
NR51721--MA0741.1.KLF16	chr5	105616215	105616225	-	0.000	0.000	Merged-chr5-105616345-34
NR22884--MA1107.1.KLF9	chr15	51803263	51803275	-	0.000	0.000	Merged-chr15-51803142-36
NR41038--MA0741.1.KLF16	chr3	52732160	52732170	+	0.000	0.000	Merged-chr3-52732187-17
NR8383--MA0493.1.Klf1	chr10	117651216	117651226	-	0.000	0.000	Merged-chr10-117651194-26
NR51768--MA0741.1.KLF16	chr5	107359524	107359534	+	0.000	0.000	Merged-chr5-107359666-49
NR68068--MA0493.1.Klf1	chr9	25186658	25186668	+	0.000	0.000	Merged-chr9-25186654-66
NR57185--MA0493.1.Klf1	chr6	119199104	119199114	+	0.000	0.000	Merged-chr6-119199024-52
NR54159--MA0741.1.KLF16	chr5	146675279	146675289	+	0.000	0.000	Merged-chr5-146675414-29
NR55790--MA0741.1.KLF16	chr6	67533270	67533280	+	0.000	0.000	Merged-chr6-67533170-65
NR45583--MA0741.1.KLF16	chr4	56114123	56114133	-	0.000	0.000	Merged-chr4-56114012-43
NR50683--MA0039.3.KLF4	chr5	64864852	64864862	+	0.000	0.000	Merged-chr5-64864889-25
NR54161--MA1107.1.KLF9	chr5	146675278	146675290	+	0.000	0.000	Merged-chr5-146675414-29
NR12896--MA0657.1.KLF13	chr11	115999777	115999794	+	0.000	0.000	Merged-chr11-115999757-14
NR66923--MA0599.1.KLF5	chr8	117481972	117481981	-	0.000	0.000	Merged-chr8-117482001-12
NR28412--MA0742.1.Klf12	chr17	29304612	29304626	-	0.000	0.000	Merged-chr17-29304449-24
NR39622--MA0493.1.Klf1	chr2	167313810	167313820	+	0.000	0.000	Merged-chr2-167313855-44
NR50419--MA0740.1.KLF14	chr5	53605579	53605592	-	0.000	0.000	Merged-chr5-53605625-25
NR8466--MA0741.1.KLF16	chr10	118884343	118884353	-	0.000	0.000	Merged-chr10-118884259-20
NR58738--MA0740.1.KLF14	chr7	3290414	3290427	-	0.000	0.000	Merged-chr7-3290343-35
NR63523--MA0493.1.Klf1	chr7	139169314	139169324	+	0.000	0.000	Merged-chr7-139169350-23
NR4235--MA0741.1.KLF16	chr1	180410509	180410519	+	0.000	0.000	Merged-chr1-180410391-12
NR42479--MA0039.3.KLF4	chr3	104780692	104780702	+	0.000	0.000	Merged-chr3-104780834-109
NR2828--MA0039.3.KLF4	chr1	143319643	143319653	+	0.000	0.000	Merged-chr1-143319719-34
NR12845--MA1107.1.KLF9	chr11	115461900	115461912	-	0.000	0.000	Merged-chr11-115461970-11
NR66851--MA0740.1.KLF14	chr8	116645532	116645545	-	0.000	0.000	Merged-chr8-116645599-31
NR12275--MA0742.1.Klf12	chr11	102284766	102284780	+	0.000	0.000	Merged-chr11-102284938-63
NR68888--MA0599.1.KLF5	chr9	57339968	57339977	-	0.000	0.000	Merged-chr9-57339944-60
NR6438--MA0741.1.KLF16	chr10	68054325	68054335	+	0.000	0.000	Merged-chr10-68054504-48
NR16739--MA1107.1.KLF9	chr13	43250874	43250886	+	0.000	0.000	Merged-chr13-43250604-89
NR47494--MA0039.3.KLF4	chr4	129696179	129696189	+	0.000	0.000	Merged-chr4-129696167-1
NR49107--MA0599.1.KLF5	chr4	155694295	155694304	-	0.000	0.000	Merged-chr4-155694254-1
NR18668--MA0740.1.KLF14	chr13	110044580	110044593	+	0.000	0.000	Merged-chr13-110044688-32
NR23116--MA0742.1.Klf12	chr15	60120104	60120118	-	0.000	0.000	Merged-chr15-60120172-38
NR30447--MA0741.1.KLF16	chr17	83854454	83854464	+	0.000	0.000	Merged-chr17-83854411-35
NR19575--MA0493.1.Klf1	chr14	25421975	25421985	+	0.000	0.000	Merged-chr14-25421957-44
NR873--MA0039.3.KLF4	chr1	59180247	59180257	+	0.000	0.000	Merged-chr1-59180254-19
NR61249--MA1107.1.KLF9	chr7	81320015	81320027	+	0.000	0.000	Merged-chr7-81320014-23
NR3078--MA0599.1.KLF5	chr1	153332893	153332902	+	0.000	0.000	Merged-chr1-153332830-168
NR63573--MA0599.1.KLF5	chr7	139992591	139992600	-	0.000	0.000	Merged-chr7-139992565-26
NR39305--MA0599.1.KLF5	chr2	160397980	160397989	+	0.000	0.000	Merged-chr2-160397958-31
NR14546--MA0740.1.KLF14	chr12	73657013	73657026	+	0.000	0.000	Merged-chr12-73656860-57
NR16967--MA0039.3.KLF4	chr13	52800952	52800962	+	0.000	0.000	Merged-chr13-52800951-49
NR30556--MA0741.1.KLF16	chr17	86040529	86040539	-	0.000	0.000	Merged-chr17-86040436-1
NR33419--MA0493.1.Klf1	chr19	17257001	17257011	-	0.000	0.000	Merged-chr19-17256835-48
NR18180--MA1107.1.KLF9	chr13	98692031	98692043	-	0.000	0.000	Merged-chr13-98692096-35
NR15327--MA1107.1.KLF9	chr12	102699348	102699360	+	0.000	0.000	Merged-chr12-102699394-36
NR37465--MA0493.1.Klf1	chr2	104146165	104146175	+	0.000	0.000	Merged-chr2-104146200-22
NR13277--MA1107.1.KLF9	chr11	120990482	120990494	+	0.000	0.000	Merged-chr11-120990355-3
NR52739--MA0493.1.Klf1	chr5	125052282	125052292	+	0.000	0.000	Merged-chr5-125052528-23
NR43274--MA1107.1.KLF9	chr3	131057379	131057391	-	0.000	0.000	Merged-chr3-131057396-52
NR66713--MA0599.1.KLF5	chr8	111769478	111769487	+	0.000	0.000	Merged-chr8-111769335-16
NR13976--MA0741.1.KLF16	chr12	35770599	35770609	+	0.000	0.000	Merged-chr12-35770526-40
NR19574--MA0039.3.KLF4	chr14	25421977	25421987	+	0.000	0.000	Merged-chr14-25421957-44
NR16367--MA0741.1.KLF16	chr13	24786312	24786322	+	0.000	0.000	Merged-chr13-24786227-53
NR53628--MA0599.1.KLF5	chr5	139299446	139299455	+	0.000	0.000	Merged-chr5-139299297-63
NR59804--MA0493.1.Klf1	chr7	29155630	29155640	+	0.000	0.000	Merged-chr7-29155569-4
NR33217--MA1107.1.KLF9	chr19	8592091	8592103	-	0.000	0.000	Merged-chr19-8592238-38
NR52430--MA0493.1.Klf1	chr5	120685778	120685788	+	0.000	0.000	Merged-chr5-120685893-52
NR4145--MA0493.1.Klf1	chr1	178182342	178182352	+	0.000	0.000	Merged-chr1-178182458-49
NR18289--MA0599.1.KLF5	chr13	101540641	101540650	+	0.000	0.000	Merged-chr13-101540748-63
NR2771--MA0493.1.Klf1	chr1	138304341	138304351	+	0.000	0.000	Merged-chr1-138304184-80
NR20315--MA0741.1.KLF16	chr14	54146703	54146713	+	0.000	0.000	Merged-chr14-54146707-32
NR28363--MA0741.1.KLF16	chr17	28516348	28516358	+	0.000	0.000	Merged-chr17-28516201-30
NR54940--MA0039.3.KLF4	chr6	33683797	33683807	-	0.000	0.000	Merged-chr6-33683719-46
NR27010--MA0599.1.KLF5	chr16	91545909	91545918	-	0.000	0.000	Merged-chr16-91545855-29
NR30413--MA1107.1.KLF9	chr17	83654864	83654876	-	0.000	0.000	Merged-chr17-83654883-58
NR33304--MA0657.1.KLF13	chr19	10742350	10742367	+	0.000	0.000	Merged-chr19-10742399-21
NR28837--MA0039.3.KLF4	chr17	35742089	35742099	+	0.000	0.000	Merged-chr17-35741988-36
NR71527--MA0599.1.KLF5	chr9	123734003	123734012	-	0.000	0.000	Merged-chr9-123734197-54
NR28429--MA0741.1.KLF16	chr17	29393797	29393807	-	0.000	0.000	Merged-chr17-29393996-77
NR12099--MA0599.1.KLF5	chr11	99144114	99144123	-	0.000	0.000	Merged-chr11-99144248-66
NR50441--MA0740.1.KLF14	chr5	54111079	54111092	+	0.000	0.000	Merged-chr5-54110931-21
NR57191--MA0741.1.KLF16	chr6	119199107	119199117	+	0.000	0.000	Merged-chr6-119199024-52
NR58530--MA1107.1.KLF9	chr6	144664961	144664973	+	0.000	0.000	Merged-chr6-144664964-20
NR35270--MA0740.1.KLF14	chr2	25170651	25170664	-	0.000	0.000	Merged-chr2-25170502-21
NR27014--MA0740.1.KLF14	chr16	91588231	91588244	+	0.000	0.000	Merged-chr16-91588038-25
NR60880--MA1107.1.KLF9	chr7	66228681	66228693	+	0.000	0.000	Merged-chr7-66228697-16
NR3086--MA1107.1.KLF9	chr1	153427076	153427088	-	0.000	0.000	Merged-chr1-153426995-33
NR43490--MA0742.1.Klf12	chr3	135675685	135675699	+	0.000	0.000	Merged-chr3-135675679-12
NR52010--MA0599.1.KLF5	chr5	112377672	112377681	-	0.000	0.000	Merged-chr5-112377578-21
NR59802--MA0742.1.Klf12	chr7	29155630	29155644	+	0.000	0.000	Merged-chr7-29155569-4
NR30637--MA1107.1.KLF9	chr17	87365447	87365459	-	0.000	0.000	Merged-chr17-87365443-26
NR23782--MA0741.1.KLF16	chr15	80192525	80192535	+	0.000	0.000	Merged-chr15-80192413-58
NR10708--MA0740.1.KLF14	chr11	68545935	68545948	-	0.000	0.000	Merged-chr11-68546136-23
NR54060--MA0742.1.Klf12	chr5	144358182	144358196	-	0.000	0.000	Merged-chr5-144358177-56
NR28427--MA0599.1.KLF5	chr17	29393800	29393809	-	0.000	0.000	Merged-chr17-29393996-77
NR29198--MA0740.1.KLF14	chr17	47221305	47221318	+	0.000	0.000	Merged-chr17-47221287-27
NR58739--MA0657.1.KLF13	chr7	3290411	3290428	-	0.000	0.000	Merged-chr7-3290343-35
NR38362--MA1107.1.KLF9	chr2	132230555	132230567	-	0.000	0.000	Merged-chr2-132230330-32
NR37040--MA0493.1.Klf1	chr2	91921922	91921932	+	0.000	0.000	Merged-chr2-91921982-40
NR28413--MA0493.1.Klf1	chr17	29304616	29304626	-	0.000	0.000	Merged-chr17-29304449-24
NR65525--MA0599.1.KLF5	chr8	72285418	72285427	+	0.000	0.000	Merged-chr8-72285397-19
NR60079--MA1107.1.KLF9	chr7	35742595	35742607	-	0.000	0.000	Merged-chr7-35742502-39
NR39340--MA1107.1.KLF9	chr2	160657995	160658007	-	0.000	0.000	Merged-chr2-160657923-30
NR14045--MA1107.1.KLF9	chr12	41044973	41044985	-	0.000	0.000	Merged-chr12-41044922-24
NR66709--MA0599.1.KLF5	chr8	111769458	111769467	+	0.000	0.000	Merged-chr8-111769335-16
NR11545--MA0039.3.KLF4	chr11	87725013	87725023	+	0.000	0.000	Merged-chr11-87724985-4
NR96--MA1107.1.KLF9	chr1	13301832	13301844	+	0.000	0.000	Merged-chr1-13301807-39
NR38689--MA1107.1.KLF9	chr2	144188430	144188442	-	0.000	0.000	Merged-chr2-144188289-22
NR42531--MA0741.1.KLF16	chr3	105825697	105825707	+	0.000	0.000	Merged-chr3-105825792-34
NR69086--MA0039.3.KLF4	chr9	62368719	62368729	-	0.000	0.000	Merged-chr9-62368780-17
NR91--MA0039.3.KLF4	chr1	13294918	13294928	+	0.000	0.000	Merged-chr1-13295038-43
NR26107--MA0039.3.KLF4	chr16	44362193	44362203	+	0.000	0.000	Merged-chr16-44362356-45
NR18669--MA0657.1.KLF13	chr13	110044579	110044596	+	0.000	0.000	Merged-chr13-110044688-32
NR40686--MA0493.1.Klf1	chr3	30864253	30864263	-	0.000	0.000	Merged-chr3-30864104-31
NR72070--MA0741.1.KLF16	chrX	59568143	59568153	-	0.000	0.000	Merged-chrX-59568240-6
NR33814--MA0599.1.KLF5	chr19	38746186	38746195	-	0.000	0.000	Merged-chr19-38746267-36
NR20808--MA0039.3.KLF4	chr14	68078502	68078512	+	0.000	0.000	Merged-chr14-68078565-20
NR8088--MA1107.1.KLF9	chr10	107868927	107868939	-	0.000	0.000	Merged-chr10-107868994-49
NR3665--MA0599.1.KLF5	chr1	165730350	165730359	+	0.000	0.000	Merged-chr1-165730262-25
NR50600--MA0493.1.Klf1	chr5	63943576	63943586	-	0.000	0.000	Merged-chr5-63943362-36
NR12485--MA0742.1.Klf12	chr11	106273029	106273043	+	0.000	0.000	Merged-chr11-106272877-78
