#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval0.3-log2fc0.5_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval0.3-log2fc0.5_up.bed
NR22032--MA0741.1.KLF16	chr15	80192525	80192535	+	0.000	0.000	Merged-chr15-80192413-58
NR34387--MA0599.1.KLF5	chr2	79052364	79052373	-	0.000	0.000	Merged-chr2-79052352-13
NR57569--MA0493.1.Klf1	chr7	128070069	128070079	+	0.000	0.000	Merged-chr7-128070068-7
NR56487--MA0741.1.KLF16	chr7	97788435	97788445	+	0.000	0.000	Merged-chr7-97788658-80
NR8123--MA0599.1.KLF5	chr10	128039374	128039383	+	0.000	0.000	Merged-chr10-128039274-35
NR44287--MA0493.1.Klf1	chr4	136140416	136140426	+	0.000	0.000	Merged-chr4-136140503-4
NR34368--MA1107.1.KLF9	chr2	77175977	77175989	-	0.000	0.000	Merged-chr2-77175946-2
NR9116--MA0741.1.KLF16	chr11	49202766	49202776	-	0.000	0.000	Merged-chr11-49202721-8
NR14304--MA0599.1.KLF5	chr12	101718629	101718638	+	0.000	0.000	Merged-chr12-101718493-65
NR11842--MA0741.1.KLF16	chr11	109331355	109331365	+	0.000	0.000	Merged-chr11-109331360-60
NR52700--MA0740.1.KLF14	chr6	122491820	122491833	+	0.000	0.000	Merged-chr6-122491726-37
NR32491--MA0741.1.KLF16	chr2	3118331	3118341	-	0.000	0.000	Merged-chr2-3118423-48
NR4341--MA0599.1.KLF5	chr1	193189573	193189582	+	0.000	0.000	Merged-chr1-193189573-66
NR45176--MA0599.1.KLF5	chr4	150518993	150519002	+	0.000	0.000	Merged-chr4-150519164-27
NR54685--MA0599.1.KLF5	chr7	24482004	24482013	-	0.000	0.000	Merged-chr7-24481860-36
NR4902--MA0741.1.KLF16	chr10	30842889	30842899	+	0.000	0.000	Merged-chr10-30842947-69
NR29792--MA0493.1.Klf1	chr18	62125524	62125534	+	0.000	0.000	Merged-chr18-62125570-18
NR23132--MA0742.1.Klf12	chr15	100060746	100060760	+	0.000	0.000	Merged-chr15-100060928-68
NR44399--MA0493.1.Klf1	chr4	137714172	137714182	-	0.000	0.000	Merged-chr4-137714339-14
NR61660--MA0493.1.Klf1	chr8	128420724	128420734	+	0.000	0.000	Merged-chr8-128420826-46
NR24487--MA0741.1.KLF16	chr16	45347019	45347029	-	0.000	0.000	Merged-chr16-45346908-42
NR39711--MA0599.1.KLF5	chr3	109444053	109444062	+	0.000	0.000	Merged-chr3-109444108-35
NR32538--MA0740.1.KLF14	chr2	5003272	5003285	+	0.000	0.000	Merged-chr2-5003396-19
NR21884--MA0599.1.KLF5	chr15	78515919	78515928	+	0.000	0.000	Merged-chr15-78515914-15
NR47766--MA0039.3.KLF4	chr5	110343023	110343033	-	0.000	0.000	Merged-chr5-110342964-29
NR21526--MA0599.1.KLF5	chr15	67209636	67209645	-	0.000	0.000	Merged-chr15-67209828-75
NR29130--MA0599.1.KLF5	chr18	33463960	33463969	-	0.000	0.000	Merged-chr18-33464031-50
NR17685--MA0493.1.Klf1	chr13	108100601	108100611	+	0.000	0.000	Merged-chr13-108100820-31
NR24615--MA0741.1.KLF16	chr16	55835885	55835895	-	0.000	0.000	Merged-chr16-55835900-11
NR53021--MA1107.1.KLF9	chr6	129049279	129049291	-	0.000	0.000	Merged-chr6-129049251-27
NR17327--MA0493.1.Klf1	chr13	99781082	99781092	-	0.000	0.000	Merged-chr13-99781144-21
NR35794--MA0742.1.Klf12	chr2	139778447	139778461	-	0.000	0.000	Merged-chr2-139778494-20
NR58665--MA0742.1.Klf12	chr8	15018751	15018765	+	0.000	0.000	Merged-chr8-15018606-116
NR66523--MA0493.1.Klf1	chrX	113181121	113181131	-	0.000	0.000	Merged-chrX-113181070-1
NR45936--MA1107.1.KLF9	chr5	24517981	24517993	+	0.000	0.000	Merged-chr5-24518156-18
NR23831--MA0599.1.KLF5	chr16	16994868	16994877	-	0.000	0.000	Merged-chr16-16994862-34
NR66997--MA1107.1.KLF9	chrX	166672851	166672863	+	0.000	0.000	Merged-chrX-166672902-11
NR24867--MA0741.1.KLF16	chr16	76283307	76283317	+	0.000	0.000	Merged-chr16-76283420-1
NR14291--MA0740.1.KLF14	chr12	101718561	101718574	+	0.000	0.000	Merged-chr12-101718493-65
NR21627--MA0742.1.Klf12	chr15	74538490	74538504	-	0.000	0.000	Merged-chr15-74538442-18
NR14719--MA0039.3.KLF4	chr12	109445245	109445255	+	0.000	0.000	Merged-chr12-109445419-17
NR44506--MA1107.1.KLF9	chr4	138973618	138973630	-	0.000	0.000	Merged-chr4-138973676-1
NR2138--MA1107.1.KLF9	chr1	134747712	134747724	+	0.000	0.000	Merged-chr1-134747834-30
NR62642--MA1107.1.KLF9	chr9	50512120	50512132	-	0.000	0.000	Merged-chr9-50512107-7
NR49004--MA0741.1.KLF16	chr5	134099979	134099989	+	0.000	0.000	Merged-chr5-134099725-50
NR48552--MA1107.1.KLF9	chr5	122899256	122899268	-	0.000	0.000	Merged-chr5-122899343-2
NR56510--MA1107.1.KLF9	chr7	98797413	98797425	-	0.000	0.000	Merged-chr7-98797577-28
NR44609--MA0657.1.KLF13	chr4	140750570	140750587	+	0.000	0.000	Merged-chr4-140750542-28
NR52276--MA1107.1.KLF9	chr6	112206990	112207002	+	0.000	0.000	Merged-chr6-112206825-1
NR29905--MA0740.1.KLF14	chr18	65924897	65924910	-	0.000	0.000	Merged-chr18-65924997-33
NR21883--MA1107.1.KLF9	chr15	78515886	78515898	+	0.000	0.000	Merged-chr15-78515914-15
NR61898--MA0657.1.KLF13	chr9	21265255	21265272	-	0.000	0.000	Merged-chr9-21265250-55
NR6800--MA0741.1.KLF16	chr10	94087500	94087510	+	0.000	0.000	Merged-chr10-94087553-20
NR28478--MA1107.1.KLF9	chr17	84056506	84056518	-	0.000	0.000	Merged-chr17-84056540-29
NR48110--MA0599.1.KLF5	chr5	114801303	114801312	+	0.000	0.000	Merged-chr5-114801255-6
NR66069--MA0740.1.KLF14	chrX	57185035	57185048	+	0.000	0.000	Merged-chrX-57185087-24
NR10538--MA0741.1.KLF16	chr11	85407803	85407813	+	0.000	0.000	Merged-chr11-85407928-27
NR6576--MA0741.1.KLF16	chr10	84534060	84534070	+	0.000	0.000	Merged-chr10-84533973-56
NR14527--MA1107.1.KLF9	chr12	106016399	106016411	-	0.000	0.000	Merged-chr12-106016418-37
NR23104--MA0740.1.KLF14	chr15	99803325	99803338	-	0.000	0.000	Merged-chr15-99803335-29
NR33875--MA0599.1.KLF5	chr2	59244898	59244907	-	0.000	0.000	Merged-chr2-59244755-83
NR1854--MA1107.1.KLF9	chr1	127796457	127796469	-	0.000	0.000	Merged-chr1-127796546-56
NR5575--MA0740.1.KLF14	chr10	67194234	67194247	+	0.000	0.000	Merged-chr10-67194243-31
NR43202--MA0741.1.KLF16	chr4	117835297	117835307	+	0.000	0.000	Merged-chr4-117835233-2
NR28174--MA0741.1.KLF16	chr17	74864999	74865009	-	0.000	0.000	Merged-chr17-74864979-18
NR32515--MA0039.3.KLF4	chr2	4454952	4454962	-	0.000	0.000	Merged-chr2-4454837-7
NR41954--MA0599.1.KLF5	chr4	42866051	42866060	+	0.000	0.000	Merged-chr4-42865977-16
NR1421--MA0599.1.KLF5	chr1	91831310	91831319	+	0.000	0.000	Merged-chr1-91831329-12
NR18685--MA1107.1.KLF9	chr14	31398271	31398283	-	0.000	0.000	Merged-chr14-31398460-1
NR7386--MA1107.1.KLF9	chr10	116664588	116664600	-	0.000	0.000	Merged-chr10-116664420-26
NR36463--MA1107.1.KLF9	chr2	157119297	157119309	-	0.000	0.000	Merged-chr2-157119108-55
NR18112--MA1107.1.KLF9	chr13	117390200	117390212	-	0.000	0.000	Merged-chr13-117390259-3
NR52660--MA0740.1.KLF14	chr6	120666242	120666255	+	0.000	0.000	Merged-chr6-120666537-45
NR41264--MA0493.1.Klf1	chr3	154683893	154683903	-	0.000	0.000	Merged-chr3-154683777-15
NR11835--MA1107.1.KLF9	chr11	109124569	109124581	+	0.000	0.000	Merged-chr11-109124612-1
NR55730--MA0742.1.Klf12	chr7	58758695	58758709	+	0.000	0.000	Merged-chr7-58758564-8
NR24106--MA0493.1.Klf1	chr16	24834894	24834904	+	0.000	0.000	Merged-chr16-24834930-16
NR61657--MA0742.1.Klf12	chr8	128420724	128420738	+	0.000	0.000	Merged-chr8-128420826-46
NR16139--MA0493.1.Klf1	chr13	51408712	51408722	+	0.000	0.000	Merged-chr13-51408755-27
NR30273--MA1107.1.KLF9	chr18	75247015	75247027	+	0.000	0.000	Merged-chr18-75247078-14
NR24052--MA0741.1.KLF16	chr16	24160876	24160886	+	0.000	0.000	Merged-chr16-24160756-32
NR50903--MA0740.1.KLF14	chr6	47621483	47621496	+	0.000	0.000	Merged-chr6-47621326-39
NR39285--MA1107.1.KLF9	chr3	100582913	100582925	-	0.000	0.000	Merged-chr3-100582913-18
NR32543--MA0493.1.Klf1	chr2	5003272	5003282	+	0.000	0.000	Merged-chr2-5003396-19
NR53836--MA0741.1.KLF16	chr6	145002400	145002410	-	0.000	0.000	Merged-chr6-145002461-23
NR66528--MA0493.1.Klf1	chrX	113298149	113298159	-	0.000	0.000	Merged-chrX-113298172-75
NR55565--MA0599.1.KLF5	chr7	46838399	46838408	+	0.000	0.000	Merged-chr7-46838396-1
NR31686--MA0493.1.Klf1	chr19	40513164	40513174	-	0.000	0.000	Merged-chr19-40513055-5
NR60695--MA0039.3.KLF4	chr8	111355354	111355364	+	0.000	0.000	Merged-chr8-111355388-12
NR29586--MA1107.1.KLF9	chr18	54940233	54940245	+	0.000	0.000	Merged-chr18-54940174-2
NR63190--MA0039.3.KLF4	chr9	65003983	65003993	+	0.000	0.000	Merged-chr9-65004115-12
NR27628--MA0657.1.KLF13	chr17	56425175	56425192	-	0.000	0.000	Merged-chr17-56425045-2
NR33879--MA0741.1.KLF16	chr2	59482659	59482669	+	0.000	0.000	Merged-chr2-59482840-22
NR62647--MA1107.1.KLF9	chr9	50512130	50512142	-	0.000	0.000	Merged-chr9-50512107-7
NR26112--MA0741.1.KLF16	chr17	21617543	21617553	-	0.000	0.000	Merged-chr17-21617473-39
NR46023--MA0039.3.KLF4	chr5	28269731	28269741	-	0.000	0.000	Merged-chr5-28269924-54
NR4476--MA0599.1.KLF5	chr10	5448588	5448597	-	0.000	0.000	Merged-chr10-5448562-35
NR37111--MA0599.1.KLF5	chr2	168741368	168741377	+	0.000	0.000	Merged-chr2-168741453-11
NR10781--MA1107.1.KLF9	chr11	90257463	90257475	+	0.000	0.000	Merged-chr11-90257307-51
NR33883--MA1107.1.KLF9	chr2	59513711	59513723	-	0.000	0.000	Merged-chr2-59513816-12
NR47476--MA1107.1.KLF9	chr5	100916656	100916668	-	0.000	0.000	Merged-chr5-100916697-39
NR54251--MA0742.1.Klf12	chr7	6343624	6343638	+	0.000	0.000	Merged-chr7-6343741-28
NR52105--MA0741.1.KLF16	chr6	99801018	99801028	+	0.000	0.000	Merged-chr6-99800956-8
NR2716--MA1107.1.KLF9	chr1	156303511	156303523	-	0.000	0.000	Merged-chr1-156303466-35
NR53917--MA1107.1.KLF9	chr6	146081156	146081168	-	0.000	0.000	Merged-chr6-146081045-99
NR53255--MA0493.1.Klf1	chr6	135168259	135168269	+	0.000	0.000	Merged-chr6-135168143-37
NR60812--MA1107.1.KLF9	chr8	115136875	115136887	+	0.000	0.000	Merged-chr8-115136921-34
NR46701--MA0741.1.KLF16	chr5	64906098	64906108	-	0.000	0.000	Merged-chr5-64905944-90
NR31685--MA0039.3.KLF4	chr19	40513162	40513172	-	0.000	0.000	Merged-chr19-40513055-5
NR61472--MA1107.1.KLF9	chr8	125727532	125727544	-	0.000	0.000	Merged-chr8-125727602-12
NR9800--MA0599.1.KLF5	chr11	67633844	67633853	-	0.000	0.000	Merged-chr11-67633953-18
NR24903--MA0493.1.Klf1	chr16	78295030	78295040	-	0.000	0.000	Merged-chr16-78294970-14
NR33649--MA0742.1.Klf12	chr2	36091472	36091486	+	0.000	0.000	Merged-chr2-36091401-36
NR16014--MA0741.1.KLF16	chr13	43789137	43789147	-	0.000	0.000	Merged-chr13-43789112-65
NR65394--MA0599.1.KLF5	chr9	120868916	120868925	-	0.000	0.000	Merged-chr9-120868777-2
NR50446--MA1107.1.KLF9	chr6	6217148	6217160	+	0.000	0.000	Merged-chr6-6217012-81
NR38416--MA0599.1.KLF5	chr3	63610076	63610085	-	0.000	0.000	Merged-chr3-63609909-22
NR605--MA0493.1.Klf1	chr1	50927414	50927424	+	0.000	0.000	Merged-chr1-50927546-47
NR30041--MA0741.1.KLF16	chr18	68195247	68195257	-	0.000	0.000	Merged-chr18-68195286-23
NR29415--MA0742.1.Klf12	chr18	44392721	44392735	-	0.000	0.000	Merged-chr18-44392575-22
NR20944--MA0740.1.KLF14	chr15	28026028	28026041	-	0.000	0.000	Merged-chr15-28025754-115
NR59910--MA1107.1.KLF9	chr8	77268570	77268582	+	0.000	0.000	Merged-chr8-77268341-22
NR33651--MA0493.1.Klf1	chr2	36091472	36091482	+	0.000	0.000	Merged-chr2-36091401-36
NR39310--MA0740.1.KLF14	chr3	101238776	101238789	-	0.000	0.000	Merged-chr3-101238930-30
NR13385--MA0599.1.KLF5	chr12	57545565	57545574	+	0.000	0.000	Merged-chr12-57545739-33
NR22037--MA0741.1.KLF16	chr15	80192530	80192540	+	0.000	0.000	Merged-chr15-80192413-58
NR63188--MA0742.1.Klf12	chr9	65003981	65003995	+	0.000	0.000	Merged-chr9-65004115-12
NR14443--MA0493.1.Klf1	chr12	104999354	104999364	+	0.000	0.000	Merged-chr12-104999417-2
NR56306--MA0599.1.KLF5	chr7	89404325	89404334	+	0.000	0.000	Merged-chr7-89404144-109
NR36459--MA1107.1.KLF9	chr2	157119289	157119301	-	0.000	0.000	Merged-chr2-157119108-55
NR12035--MA0493.1.Klf1	chr11	114068450	114068460	+	0.000	0.000	Merged-chr11-114068502-5
NR42974--MA0741.1.KLF16	chr4	108371565	108371575	-	0.000	0.000	Merged-chr4-108371608-19
NR32490--MA0599.1.KLF5	chr2	3118332	3118341	-	0.000	0.000	Merged-chr2-3118423-48
NR19879--MA0493.1.Klf1	chr14	84443464	84443474	-	0.000	0.000	Merged-chr14-84443299-57
NR4365--MA0741.1.KLF16	chr1	193363990	193364000	+	0.000	0.000	Merged-chr1-193363957-33
NR59280--MA0599.1.KLF5	chr8	57355187	57355196	-	0.000	0.000	Merged-chr8-57355004-3
NR25438--MA0493.1.Klf1	chr16	95434625	95434635	+	0.000	0.000	Merged-chr16-95434709-3
NR58611--MA0599.1.KLF5	chr8	13494610	13494619	-	0.000	0.000	Merged-chr8-13494435-15
NR54457--MA0493.1.Klf1	chr7	16980380	16980390	+	0.000	0.000	Merged-chr7-16980470-23
NR39366--MA0657.1.KLF13	chr3	101933735	101933752	-	0.000	0.000	Merged-chr3-101933748-15
NR44328--MA0742.1.Klf12	chr4	136469745	136469759	+	0.000	0.000	Merged-chr4-136469909-78
NR22417--MA0741.1.KLF16	chr15	86016264	86016274	+	0.000	0.000	Merged-chr15-86016177-43
NR39957--MA1107.1.KLF9	chr3	121495132	121495144	-	0.000	0.000	Merged-chr3-121495033-1
NR15250--MA0741.1.KLF16	chr12	118461013	118461023	-	0.000	0.000	Merged-chr12-118460851-4
NR20737--MA0741.1.KLF16	chr15	8616193	8616203	+	0.000	0.000	Merged-chr15-8616259-27
NR13570--MA0741.1.KLF16	chr12	71577499	71577509	-	0.000	0.000	Merged-chr12-71577475-38
NR35630--MA0599.1.KLF5	chr2	132180759	132180768	-	0.000	0.000	Merged-chr2-132180846-32
NR7611--MA0493.1.Klf1	chr10	118766025	118766035	-	0.000	0.000	Merged-chr10-118766153-45
NR4484--MA1107.1.KLF9	chr10	5795635	5795647	+	0.000	0.000	Merged-chr10-5795457-7
NR27743--MA0493.1.Klf1	chr17	57080112	57080122	-	0.000	0.000	Merged-chr17-57080070-15
NR12039--MA1107.1.KLF9	chr11	114068450	114068462	+	0.000	0.000	Merged-chr11-114068502-5
NR5418--MA0493.1.Klf1	chr10	61233349	61233359	+	0.000	0.000	Merged-chr10-61233317-40
NR32129--MA0740.1.KLF14	chr19	54115003	54115016	-	0.000	0.000	Merged-chr19-54115142-50
NR50904--MA0599.1.KLF5	chr6	47621484	47621493	+	0.000	0.000	Merged-chr6-47621326-39
NR344--MA0742.1.Klf12	chr1	37029240	37029254	-	0.000	0.000	Merged-chr1-37029325-41
NR13888--MA0741.1.KLF16	chr12	84698808	84698818	-	0.000	0.000	Merged-chr12-84698657-4
NR37116--MA0599.1.KLF5	chr2	168742134	168742143	+	0.000	0.000	Merged-chr2-168742095-110
NR30037--MA0493.1.Klf1	chr18	68195225	68195235	-	0.000	0.000	Merged-chr18-68195286-23
NR36687--MA0039.3.KLF4	chr2	163603908	163603918	+	0.000	0.000	Merged-chr2-163604093-28
NR28613--MA1107.1.KLF9	chr17	86353927	86353939	-	0.000	0.000	Merged-chr17-86353995-34
NR8598--MA0493.1.Klf1	chr11	11519455	11519465	+	0.000	0.000	Merged-chr11-11519616-36
NR29825--MA0599.1.KLF5	chr18	62922253	62922262	+	0.000	0.000	Merged-chr18-62922354-54
NR28689--MA0741.1.KLF16	chr17	87602382	87602392	+	0.000	0.000	Merged-chr17-87602344-31
NR65278--MA0599.1.KLF5	chr9	119453539	119453548	-	0.000	0.000	Merged-chr9-119453486-15
NR9068--MA0741.1.KLF16	chr11	46474416	46474426	+	0.000	0.000	Merged-chr11-46474391-31
NR16136--MA0741.1.KLF16	chr13	51388102	51388112	-	0.000	0.000	Merged-chr13-51388076-1
NR32351--MA0493.1.Klf1	chr19	57388634	57388644	+	0.000	0.000	Merged-chr19-57388487-14
NR39636--MA0599.1.KLF5	chr3	108284064	108284073	-	0.000	0.000	Merged-chr3-108284126-29
NR61832--MA0741.1.KLF16	chr9	20636562	20636572	+	0.000	0.000	Merged-chr9-20636444-23
NR21021--MA0599.1.KLF5	chr15	35155955	35155964	-	0.000	0.000	Merged-chr15-35155762-73
NR7610--MA0039.3.KLF4	chr10	118766023	118766033	-	0.000	0.000	Merged-chr10-118766153-45
NR52699--MA0740.1.KLF14	chr6	122491809	122491822	+	0.000	0.000	Merged-chr6-122491726-37
NR55130--MA1107.1.KLF9	chr7	30717489	30717501	+	0.000	0.000	Merged-chr7-30717543-30
NR5417--MA0039.3.KLF4	chr10	61233351	61233361	+	0.000	0.000	Merged-chr10-61233317-40
NR64300--MA0599.1.KLF5	chr9	102852592	102852601	-	0.000	0.000	Merged-chr9-102852625-20
NR22364--MA0741.1.KLF16	chr15	84663195	84663205	+	0.000	0.000	Merged-chr15-84663201-26
NR12277--MA0493.1.Klf1	chr11	116688053	116688063	-	0.000	0.000	Merged-chr11-116688042-60
NR25254--MA1107.1.KLF9	chr16	93574639	93574651	-	0.000	0.000	Merged-chr16-93574695-56
NR13702--MA1107.1.KLF9	chr12	76710190	76710202	+	0.000	0.000	Merged-chr12-76710295-113
NR39514--MA1107.1.KLF9	chr3	104796607	104796619	+	0.000	0.000	Merged-chr3-104796663-34
NR59906--MA1107.1.KLF9	chr8	77268562	77268574	+	0.000	0.000	Merged-chr8-77268341-22
NR30272--MA0741.1.KLF16	chr18	75247016	75247026	+	0.000	0.000	Merged-chr18-75247078-14
NR37404--MA0740.1.KLF14	chr2	173449001	173449014	+	0.000	0.000	Merged-chr2-173448878-59
NR31239--MA0493.1.Klf1	chr19	16956023	16956033	+	0.000	0.000	Merged-chr19-16955982-11
NR10231--MA1107.1.KLF9	chr11	76573047	76573059	+	0.000	0.000	Merged-chr11-76573046-33
NR50133--MA1107.1.KLF9	chr5	148266885	148266897	-	0.000	0.000	Merged-chr5-148266957-7
NR4692--MA0741.1.KLF16	chr10	19009540	19009550	-	0.000	0.000	Merged-chr10-19009477-32
NR27416--MA1107.1.KLF9	chr17	47515653	47515665	+	0.000	0.000	Merged-chr17-47515680-12
NR43378--MA0599.1.KLF5	chr4	120854785	120854794	+	0.000	0.000	Merged-chr4-120854918-43
NR21015--MA0740.1.KLF14	chr15	35155789	35155802	-	0.000	0.000	Merged-chr15-35155762-73
NR39639--MA0741.1.KLF16	chr3	108284063	108284073	-	0.000	0.000	Merged-chr3-108284126-29
NR53945--MA0493.1.Klf1	chr6	147032451	147032461	+	0.000	0.000	Merged-chr6-147032567-23
NR58974--MA0599.1.KLF5	chr8	34651918	34651927	-	0.000	0.000	Merged-chr8-34651925-47
NR24970--MA1107.1.KLF9	chr16	84620102	84620114	+	0.000	0.000	Merged-chr16-84619977-8
NR15709--MA0741.1.KLF16	chr13	30154474	30154484	+	0.000	0.000	Merged-chr13-30154580-19
NR60164--MA0493.1.Klf1	chr8	85515499	85515509	-	0.000	0.000	Merged-chr8-85515665-21
NR42287--MA1107.1.KLF9	chr4	55343391	55343403	+	0.000	0.000	Merged-chr4-55343422-62
NR1662--MA0039.3.KLF4	chr1	118627898	118627908	+	0.000	0.000	Merged-chr1-118628003-42
NR15592--MA0599.1.KLF5	chr13	24468070	24468079	-	0.000	0.000	Merged-chr13-24467982-34
NR29861--MA0599.1.KLF5	chr18	65322465	65322474	-	0.000	0.000	Merged-chr18-65322333-46
NR66358--MA1107.1.KLF9	chrX	99135988	99136000	+	0.000	0.000	Merged-chrX-99136067-62
NR20870--MA0740.1.KLF14	chr15	25696039	25696052	-	0.000	0.000	Merged-chr15-25696018-37
NR13165--MA1107.1.KLF9	chr12	35770598	35770610	+	0.000	0.000	Merged-chr12-35770526-40
