#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval0.3-log2fc0.5_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval0.3-log2fc0.5_up.bed
NR7193--MA0002.2.RUNX1	chr4	6924977	6924987	-	0.000	0.000	Merged-chr4-6924913-49
NR2251--MA0002.2.RUNX1	chr12	32285284	32285294	-	0.000	0.000	Merged-chr12-32285209-18
NR3110--MA0684.1.RUNX3	chr13	95449935	95449944	+	0.000	0.000	Merged-chr13-95449730-51
NR3233--MA0002.2.RUNX1	chr13	108303436	108303446	+	0.000	0.000	Merged-chr13-108303499-73
NR934--MA0002.2.RUNX1	chr10	13970471	13970481	+	0.000	0.000	Merged-chr10-13970545-12
NR3028--MA0002.2.RUNX1	chr13	81675840	81675850	-	0.000	0.000	Merged-chr13-81675595-44
NR1348--MA0002.2.RUNX1	chr10	111213766	111213776	+	0.000	0.000	Merged-chr10-111213770-2
NR9001--MA0002.2.RUNX1	chr6	127302987	127302997	-	0.000	0.000	Merged-chr6-127302896-25
NR8099--MA0684.1.RUNX3	chr5	92624630	92624639	-	0.000	0.000	Merged-chr5-92624653-16
NR520--MA0002.2.RUNX1	chr1	138598284	138598294	-	0.000	0.000	Merged-chr1-138598338-24
NR1477--MA0684.1.RUNX3	chr10	127107654	127107663	+	0.000	0.000	Merged-chr10-127107710-55
NR4139--MA0684.1.RUNX3	chr15	100265823	100265832	+	0.000	0.000	Merged-chr15-100265875-19
NR11207--MA0684.1.RUNX3	chrX	164318752	164318761	+	0.000	0.000	Merged-chrX-164318746-35
NR7053--MA0511.2.RUNX2	chr3	141690927	141690935	+	0.000	0.000	Merged-chr3-141690828-16
NR6--MA0511.2.RUNX2	chr1	7147198	7147206	+	0.000	0.000	Merged-chr1-7147128-26
NR95--MA0684.1.RUNX3	chr1	40465640	40465649	-	0.000	0.000	Merged-chr1-40465740-44
NR4563--MA0002.2.RUNX1	chr16	91562219	91562229	+	0.000	0.000	Merged-chr16-91562152-19
NR8380--MA0002.2.RUNX1	chr5	140838991	140839001	-	0.000	0.000	Merged-chr5-140838792-15
NR8922--MA0002.2.RUNX1	chr6	119451208	119451218	-	0.000	0.000	Merged-chr6-119451010-23
NR75--MA0002.2.RUNX1	chr1	38694252	38694262	-	0.000	0.000	Merged-chr1-38694375-50
NR7211--MA0684.1.RUNX3	chr4	11077683	11077692	+	0.000	0.000	Merged-chr4-11077783-17
NR4943--MA0002.2.RUNX1	chr17	65817915	65817925	+	0.000	0.000	Merged-chr17-65817855-23
NR903--MA0511.2.RUNX2	chr10	4977487	4977495	-	0.000	0.000	Merged-chr10-4977529-37
NR8760--MA0002.2.RUNX1	chr6	88939627	88939637	+	0.000	0.000	Merged-chr6-88939617-36
NR9808--MA0002.2.RUNX1	chr7	136255792	136255802	+	0.000	0.000	Merged-chr7-136255803-24
NR1569--MA0511.2.RUNX2	chr11	16952288	16952296	+	0.000	0.000	Merged-chr11-16952284-5
NR10695--MA0684.1.RUNX3	chr9	79810696	79810705	+	0.000	0.000	Merged-chr9-79810670-36
NR785--MA0002.2.RUNX1	chr1	180940861	180940871	+	0.000	0.000	Merged-chr1-180940937-14
NR2600--MA0511.2.RUNX2	chr12	108601020	108601028	-	0.000	0.000	Merged-chr12-108601181-28
NR10218--MA0002.2.RUNX1	chr8	115408663	115408673	-	0.000	0.000	Merged-chr8-115408581-14
NR7172--MA0002.2.RUNX1	chr3	157572187	157572197	+	0.000	0.000	Merged-chr3-157572162-49
NR2230--MA0002.2.RUNX1	chr12	25431146	25431156	+	0.000	0.000	Merged-chr12-25431052-52
NR7509--MA0002.2.RUNX1	chr4	107093068	107093078	+	0.000	0.000	Merged-chr4-107093201-1
NR642--MA0002.2.RUNX1	chr1	162748945	162748955	+	0.000	0.000	Merged-chr1-162748962-1
NR10618--MA0684.1.RUNX3	chr9	69174221	69174230	+	0.000	0.000	Merged-chr9-69174203-32
NR10360--MA0511.2.RUNX2	chr8	128577441	128577449	-	0.000	0.000	Merged-chr8-128577516-12
NR1012--MA0511.2.RUNX2	chr10	40163495	40163503	-	0.000	0.000	Merged-chr10-40163524-42
NR8078--MA0684.1.RUNX3	chr5	89198656	89198665	-	0.000	0.000	Merged-chr5-89198704-31
NR8521--MA0002.2.RUNX1	chr6	30592265	30592275	+	0.000	0.000	Merged-chr6-30592201-27
NR3259--MA0002.2.RUNX1	chr13	111286975	111286985	+	0.000	0.000	Merged-chr13-111286910-46
NR9027--MA0002.2.RUNX1	chr6	130103006	130103016	-	0.000	0.000	Merged-chr6-130103023-31
NR7076--MA0002.2.RUNX1	chr3	142892308	142892318	-	0.000	0.000	Merged-chr3-142892335-19
NR2610--MA0002.2.RUNX1	chr12	110506352	110506362	-	0.000	0.000	Merged-chr12-110506270-12
NR1806--MA0511.2.RUNX2	chr11	67580585	67580593	+	0.000	0.000	Merged-chr11-67580687-16
NR5001--MA0002.2.RUNX1	chr17	80441972	80441982	+	0.000	0.000	Merged-chr17-80441791-30
NR8921--MA0684.1.RUNX3	chr6	119408840	119408849	-	0.000	0.000	Merged-chr6-119408748-28
NR480--MA0002.2.RUNX1	chr1	132618078	132618088	+	0.000	0.000	Merged-chr1-132618127-11
NR1042--MA0684.1.RUNX3	chr10	53374375	53374384	+	0.000	0.000	Merged-chr10-53374413-9
NR1165--MA0002.2.RUNX1	chr10	77962993	77963003	-	0.000	0.000	Merged-chr10-77962952-24
NR10579--MA0002.2.RUNX1	chr9	62080713	62080723	-	0.000	0.000	Merged-chr9-62080517-9
NR502--MA0511.2.RUNX2	chr1	135268272	135268280	-	0.000	0.000	Merged-chr1-135268339-27
NR4813--MA0002.2.RUNX1	chr17	35392595	35392605	+	0.000	0.000	Merged-chr17-35392677-25
NR798--MA0002.2.RUNX1	chr1	182504345	182504355	+	0.000	0.000	Merged-chr1-182504417-24
NR7185--MA0002.2.RUNX1	chr3	157938775	157938785	-	0.000	0.000	Merged-chr3-157938783-43
NR3497--MA0684.1.RUNX3	chr14	55882489	55882498	-	0.000	0.000	Merged-chr14-55882429-48
NR8882--MA0002.2.RUNX1	chr6	115594629	115594639	-	0.000	0.000	Merged-chr6-115594731-47
NR4922--MA0002.2.RUNX1	chr17	63949288	63949298	+	0.000	0.000	Merged-chr17-63949103-2
NR3847--MA0511.2.RUNX2	chr15	34473009	34473017	-	0.000	0.000	Merged-chr15-34473002-9
NR2971--MA0002.2.RUNX1	chr13	63189852	63189862	-	0.000	0.000	Merged-chr13-63189715-33
NR1896--MA0511.2.RUNX2	chr11	82203896	82203904	+	0.000	0.000	Merged-chr11-82203990-35
NR4780--MA0684.1.RUNX3	chr17	31220223	31220232	-	0.000	0.000	Merged-chr17-31220235-19
NR3433--MA0511.2.RUNX2	chr14	36932188	36932196	+	0.000	0.000	Merged-chr14-36932132-23
NR5491--MA0684.1.RUNX3	chr19	20931536	20931545	+	0.000	0.000	Merged-chr19-20931393-10
NR7508--MA0684.1.RUNX3	chr4	107006388	107006397	-	0.000	0.000	Merged-chr4-107006366-21
NR4969--MA0002.2.RUNX1	chr17	73810289	73810299	+	0.000	0.000	Merged-chr17-73810198-2
NR912--MA0684.1.RUNX3	chr10	8197818	8197827	-	0.000	0.000	Merged-chr10-8197795-23
NR6983--MA0684.1.RUNX3	chr3	131157634	131157643	-	0.000	0.000	Merged-chr3-131157614-46
NR5143--MA0684.1.RUNX3	chr18	23734926	23734935	-	0.000	0.000	Merged-chr18-23734973-16
NR3258--MA0684.1.RUNX3	chr13	111269819	111269828	+	0.000	0.000	Merged-chr13-111269948-21
NR3066--MA0511.2.RUNX2	chr13	90981482	90981490	-	0.000	0.000	Merged-chr13-90981461-11
NR7198--MA0002.2.RUNX1	chr4	8712386	8712396	+	0.000	0.000	Merged-chr4-8712432-5
NR5789--MA0002.2.RUNX1	chr2	18939051	18939061	+	0.000	0.000	Merged-chr2-18939077-26
NR397--MA0002.2.RUNX1	chr1	108041086	108041096	-	0.000	0.000	Merged-chr1-108041291-27
NR668--MA0002.2.RUNX1	chr1	165722680	165722690	-	0.000	0.000	Merged-chr1-165722797-48
NR10035--MA0002.2.RUNX1	chr8	66497453	66497463	+	0.000	0.000	Merged-chr8-66497339-52
NR4393--MA0002.2.RUNX1	chr16	50298928	50298938	+	0.000	0.000	Merged-chr16-50299012-15
NR7203--MA0684.1.RUNX3	chr4	8872269	8872278	-	0.000	0.000	Merged-chr4-8872202-20
NR3589--MA0511.2.RUNX2	chr14	67887047	67887055	+	0.000	0.000	Merged-chr14-67887091-21
NR9258--MA0002.2.RUNX1	chr7	16827511	16827521	+	0.000	0.000	Merged-chr7-16827547-27
NR7263--MA0511.2.RUNX2	chr4	41307579	41307587	-	0.000	0.000	Merged-chr4-41307588-21
NR4773--MA0002.2.RUNX1	chr17	29693746	29693756	-	0.000	0.000	Merged-chr17-29693798-13
NR9115--MA0002.2.RUNX1	chr6	140508533	140508543	+	0.000	0.000	Merged-chr6-140508405-40
NR1081--MA0511.2.RUNX2	chr10	60346224	60346232	+	0.000	0.000	Merged-chr10-60346273-6
NR10396--MA0002.2.RUNX1	chr9	14908226	14908236	-	0.000	0.000	Merged-chr9-14908176-52
NR886--MA0002.2.RUNX1	chr1	193366053	193366063	-	0.000	0.000	Merged-chr1-193366026-12
NR6833--MA0002.2.RUNX1	chr3	101236383	101236393	+	0.000	0.000	Merged-chr3-101236423-33
NR3141--MA0511.2.RUNX2	chr13	98124673	98124681	+	0.000	0.000	Merged-chr13-98124541-43
NR10319--MA0002.2.RUNX1	chr8	125725663	125725673	+	0.000	0.000	Merged-chr8-125725496-61
NR3207--MA0511.2.RUNX2	chr13	104576343	104576351	-	0.000	0.000	Merged-chr13-104576446-28
NR2331--MA0002.2.RUNX1	chr12	69530053	69530063	-	0.000	0.000	Merged-chr12-69529974-44
NR7068--MA0002.2.RUNX1	chr3	142281331	142281341	-	0.000	0.000	Merged-chr3-142281213-32
NR7895--MA0511.2.RUNX2	chr5	28043137	28043145	+	0.000	0.000	Merged-chr5-28043033-10
NR1157--MA0002.2.RUNX1	chr10	76541542	76541552	+	0.000	0.000	Merged-chr10-76541498-12
NR5122--MA0684.1.RUNX3	chr18	14985707	14985716	-	0.000	0.000	Merged-chr18-14985821-9
NR4805--MA0002.2.RUNX1	chr17	35115619	35115629	-	0.000	0.000	Merged-chr17-35115733-16
NR2854--MA0002.2.RUNX1	chr13	33077209	33077219	+	0.000	0.000	Merged-chr13-33077340-51
NR10034--MA0684.1.RUNX3	chr8	66497233	66497242	+	0.000	0.000	Merged-chr8-66497339-52
NR995--MA0002.2.RUNX1	chr10	34118005	34118015	+	0.000	0.000	Merged-chr10-34117997-36
NR8622--MA0002.2.RUNX1	chr6	54116500	54116510	-	0.000	0.000	Merged-chr6-54116572-22
NR9005--MA0684.1.RUNX3	chr6	127617437	127617446	+	0.000	0.000	Merged-chr6-127617353-34
NR7054--MA0684.1.RUNX3	chr3	141690927	141690936	+	0.000	0.000	Merged-chr3-141690828-16
NR647--MA0002.2.RUNX1	chr1	164079558	164079568	+	0.000	0.000	Merged-chr1-164079439-12
NR3346--MA0684.1.RUNX3	chr14	14088430	14088439	+	0.000	0.000	Merged-chr14-14088309-59
NR1666--MA0684.1.RUNX3	chr11	43705357	43705366	+	0.000	0.000	Merged-chr11-43705351-17
NR8526--MA0002.2.RUNX1	chr6	31072270	31072280	-	0.000	0.000	Merged-chr6-31072342-44
NR6575--MA0002.2.RUNX1	chr3	19240232	19240242	-	0.000	0.000	Merged-chr3-19240113-21
NR2344--MA0002.2.RUNX1	chr12	70219231	70219241	-	0.000	0.000	Merged-chr12-70219283-39
NR362--MA0684.1.RUNX3	chr1	95674258	95674267	-	0.000	0.000	Merged-chr1-95674241-20
NR2615--MA0002.2.RUNX1	chr12	110939607	110939617	+	0.000	0.000	Merged-chr12-110939619-21
NR904--MA0684.1.RUNX3	chr10	4977486	4977495	-	0.000	0.000	Merged-chr10-4977529-37
NR7513--MA0511.2.RUNX2	chr4	107210270	107210278	-	0.000	0.000	Merged-chr4-107210545-62
NR1318--MA0684.1.RUNX3	chr10	98776540	98776549	+	0.000	0.000	Merged-chr10-98776574-38
NR9095--MA0684.1.RUNX3	chr6	137316448	137316457	-	0.000	0.000	Merged-chr6-137316445-24
NR9366--MA0684.1.RUNX3	chr7	55890219	55890228	-	0.000	0.000	Merged-chr7-55890160-26
NR7686--MA0684.1.RUNX3	chr4	139367696	139367705	-	0.000	0.000	Merged-chr4-139367606-11
NR4752--MA0002.2.RUNX1	chr17	28015636	28015646	+	0.000	0.000	Merged-chr17-28015703-1
NR2201--MA0002.2.RUNX1	chr12	13518254	13518264	+	0.000	0.000	Merged-chr12-13518316-35
NR5406--MA0684.1.RUNX3	chr18	83943600	83943609	-	0.000	0.000	Merged-chr18-83943530-62
NR5529--MA0002.2.RUNX1	chr19	29347394	29347404	+	0.000	0.000	Merged-chr19-29347328-12
NR3578--MA0002.2.RUNX1	chr14	65330856	65330866	+	0.000	0.000	Merged-chr14-65330788-23
NR8364--MA0002.2.RUNX1	chr5	139320772	139320782	+	0.000	0.000	Merged-chr5-139320705-5
NR6684--MA0002.2.RUNX1	chr3	61409818	61409828	+	0.000	0.000	Merged-chr3-61409766-58
NR9031--MA0511.2.RUNX2	chr6	130237896	130237904	+	0.000	0.000	Merged-chr6-130237898-58
NR4590--MA0002.2.RUNX1	chr16	94068074	94068084	-	0.000	0.000	Merged-chr16-94067922-8
NR9184--MA0002.2.RUNX1	chr6	146107633	146107643	+	0.000	0.000	Merged-chr6-146107626-18
NR4242--MA0002.2.RUNX1	chr16	22466505	22466515	-	0.000	0.000	Merged-chr16-22466658-43
NR1758--MA0511.2.RUNX2	chr11	58829921	58829929	+	0.000	0.000	Merged-chr11-58829916-12
NR4864--MA0511.2.RUNX2	chr17	50310589	50310597	+	0.000	0.000	Merged-chr17-50310494-22
NR4765--MA0002.2.RUNX1	chr17	29003948	29003958	-	0.000	0.000	Merged-chr17-29004081-17
NR626--MA0002.2.RUNX1	chr1	161309407	161309417	+	0.000	0.000	Merged-chr1-161309457-43
NR2836--MA0511.2.RUNX2	chr13	30682003	30682011	-	0.000	0.000	Merged-chr13-30682181-38
NR10388--MA0002.2.RUNX1	chr9	14244776	14244786	+	0.000	0.000	Merged-chr9-14244719-42
NR1960--MA0002.2.RUNX1	chr11	94275851	94275861	-	0.000	0.000	Merged-chr11-94275707-70
NR212--MA0002.2.RUNX1	chr1	64508647	64508657	+	0.000	0.000	Merged-chr1-64508658-48
NR7208--MA0684.1.RUNX3	chr4	10940895	10940904	-	0.000	0.000	Merged-chr4-10940994-39
NR10596--MA0511.2.RUNX2	chr9	65491674	65491682	+	0.000	0.000	Merged-chr9-65491594-16
NR8962--MA0002.2.RUNX1	chr6	122758957	122758967	-	0.000	0.000	Merged-chr6-122758915-39
NR735--MA0002.2.RUNX1	chr1	175631929	175631939	-	0.000	0.000	Merged-chr1-175631822-65
NR4255--MA0002.2.RUNX1	chr16	24215619	24215629	+	0.000	0.000	Merged-chr16-24215617-40
NR10519--MA0511.2.RUNX2	chr9	55285420	55285428	-	0.000	0.000	Merged-chr9-55285466-14
NR3434--MA0684.1.RUNX3	chr14	36932188	36932197	+	0.000	0.000	Merged-chr14-36932132-23
NR9424--MA0511.2.RUNX2	chr7	75586207	75586215	-	0.000	0.000	Merged-chr7-75586314-49
NR1549--MA0684.1.RUNX3	chr11	10276400	10276409	-	0.000	0.000	Merged-chr11-10276392-45
NR4860--MA0684.1.RUNX3	chr17	50148363	50148372	-	0.000	0.000	Merged-chr17-50148334-29
NR116--MA0002.2.RUNX1	chr1	43888668	43888678	+	0.000	0.000	Merged-chr1-43888618-32
NR7539--MA0511.2.RUNX2	chr4	117478350	117478358	+	0.000	0.000	Merged-chr4-117478210-39
NR8743--MA0684.1.RUNX3	chr6	86850880	86850889	-	0.000	0.000	Merged-chr6-86850884-40
NR844--MA0002.2.RUNX1	chr1	189085364	189085374	-	0.000	0.000	Merged-chr1-189085418-26
NR5716--MA0511.2.RUNX2	chr19	60681736	60681744	+	0.000	0.000	Merged-chr19-60681647-27
NR800--MA0511.2.RUNX2	chr1	182543463	182543471	+	0.000	0.000	Merged-chr1-182543382-10
NR10406--MA0684.1.RUNX3	chr9	15526089	15526098	+	0.000	0.000	Merged-chr9-15526156-7
NR9040--MA0684.1.RUNX3	chr6	130342279	130342288	+	0.000	0.000	Merged-chr6-130342331-49
NR6838--MA0002.2.RUNX1	chr3	101588933	101588943	-	0.000	0.000	Merged-chr3-101588946-10
NR2065--MA0002.2.RUNX1	chr11	108068735	108068745	-	0.000	0.000	Merged-chr11-108068595-28
NR2336--MA0002.2.RUNX1	chr12	69579835	69579845	-	0.000	0.000	Merged-chr12-69579802-27
NR8852--MA0684.1.RUNX3	chr6	108630933	108630942	-	0.000	0.000	Merged-chr6-108631007-44
NR1096--MA0002.2.RUNX1	chr10	66953971	66953981	+	0.000	0.000	Merged-chr10-66953660-61
NR10737--MA0511.2.RUNX2	chr9	85671752	85671760	-	0.000	0.000	Merged-chr9-85671881-60
NR7486--MA0511.2.RUNX2	chr4	102629843	102629851	-	0.000	0.000	Merged-chr4-102629885-23
NR4601--MA0002.2.RUNX1	chr16	94660419	94660429	+	0.000	0.000	Merged-chr16-94660460-20
NR2650--MA0002.2.RUNX1	chr12	114809400	114809410	+	0.000	0.000	Merged-chr12-114809482-22
NR2174--MA0002.2.RUNX1	chr11	121804601	121804611	+	0.000	0.000	Merged-chr11-121804510-28
NR3285--MA0684.1.RUNX3	chr13	113227209	113227218	-	0.000	0.000	Merged-chr13-113227278-10
NR443--MA0002.2.RUNX1	chr1	127619488	127619498	+	0.000	0.000	Merged-chr1-127619429-18
NR10419--MA0684.1.RUNX3	chr9	22641248	22641257	-	0.000	0.000	Merged-chr9-22641148-30
NR7373--MA0684.1.RUNX3	chr4	70307384	70307393	+	0.000	0.000	Merged-chr4-70307334-49
NR10432--MA0511.2.RUNX2	chr9	32394805	32394813	-	0.000	0.000	Merged-chr9-32394945-22
NR5759--MA0684.1.RUNX3	chr2	11040240	11040249	+	0.000	0.000	Merged-chr2-11040200-20
NR7181--MA0511.2.RUNX2	chr3	157803538	157803546	-	0.000	0.000	Merged-chr3-157803404-34
NR8988--MA0002.2.RUNX1	chr6	125241739	125241749	+	0.000	0.000	Merged-chr6-125241695-39
NR4905--MA0684.1.RUNX3	chr17	56289436	56289445	+	0.000	0.000	Merged-chr17-56289493-28
NR6437--MA0002.2.RUNX1	chr2	165033436	165033446	+	0.000	0.000	Merged-chr2-165033457-6
NR6708--MA0002.2.RUNX1	chr3	68789751	68789761	-	0.000	0.000	Merged-chr3-68789660-34
NR2954--MA0684.1.RUNX3	chr13	55641101	55641110	+	0.000	0.000	Merged-chr13-55640933-22
NR7419--MA0002.2.RUNX1	chr4	89006906	89006916	+	0.000	0.000	Merged-chr4-89006979-10
NR17--MA0002.2.RUNX1	chr1	13559517	13559527	-	0.000	0.000	Merged-chr1-13559747-54
NR5197--MA0002.2.RUNX1	chr18	38365139	38365149	+	0.000	0.000	Merged-chr18-38365063-36
NR700--MA0684.1.RUNX3	chr1	171939569	171939578	+	0.000	0.000	Merged-chr1-171939454-57
NR8845--MA0002.2.RUNX1	chr6	108310098	108310108	-	0.000	0.000	Merged-chr6-108310107-36
NR5424--MA0511.2.RUNX2	chr18	89212374	89212382	+	0.000	0.000	Merged-chr18-89212381-24
NR6850--MA0511.2.RUNX2	chr3	103091905	103091913	-	0.000	0.000	Merged-chr3-103091976-34
NR2663--MA0002.2.RUNX1	chr12	115012937	115012947	-	0.000	0.000	Merged-chr12-115012998-22
NR8160--MA0002.2.RUNX1	chr5	105010567	105010577	-	0.000	0.000	Merged-chr5-105010527-49
NR6423--MA0684.1.RUNX3	chr2	164081737	164081746	-	0.000	0.000	Merged-chr2-164081803-8
NR6275--MA0002.2.RUNX1	chr2	136987995	136988005	+	0.000	0.000	Merged-chr2-136988057-20
NR10588--MA0511.2.RUNX2	chr9	64564426	64564434	+	0.000	0.000	Merged-chr9-64564548-10
NR456--MA0002.2.RUNX1	chr1	128570220	128570230	-	0.000	0.000	Merged-chr1-128570257-50
NR6798--MA0002.2.RUNX1	chr3	94375471	94375481	+	0.000	0.000	Merged-chr3-94375656-27
NR4181--MA0002.2.RUNX1	chr16	4584024	4584034	-	0.000	0.000	Merged-chr16-4584045-35
NR7386--MA0684.1.RUNX3	chr4	83234308	83234317	+	0.000	0.000	Merged-chr4-83234214-31
NR2715--MA0684.1.RUNX3	chr12	118439165	118439174	+	0.000	0.000	Merged-chr12-118439012-3
NR2838--MA0002.2.RUNX1	chr13	30682008	30682018	+	0.000	0.000	Merged-chr13-30682181-38
NR6532--MA0684.1.RUNX3	chr2	180080937	180080946	-	0.000	0.000	Merged-chr2-180080885-21
NR6803--MA0684.1.RUNX3	chr3	94916042	94916051	+	0.000	0.000	Merged-chr3-94916123-28
NR1078--MA0511.2.RUNX2	chr10	60290310	60290318	-	0.000	0.000	Merged-chr10-60290356-31
NR171--MA0684.1.RUNX3	chr1	59180217	59180226	+	0.000	0.000	Merged-chr1-59180254-19
NR3850--MA0002.2.RUNX1	chr15	36243908	36243918	-	0.000	0.000	Merged-chr15-36243882-12
NR6241--MA0002.2.RUNX1	chr2	130555012	130555022	+	0.000	0.000	Merged-chr2-130555023-33
NR11153--MA0002.2.RUNX1	chrX	102037244	102037254	+	0.000	0.000	Merged-chrX-102037181-28
