#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval0.3-log2fc0.5_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval0.3-log2fc0.5_dn.bed
NR9234--MA0089.1.MAFG::NFE2L1	chr5	100466778	100466783	+	0.000	0.000	Merged-chr5-100466890-43
NR5190--MA0089.1.MAFG::NFE2L1	chr17	31176460	31176465	+	0.000	0.000	Merged-chr17-31176516-21
NR4245--MA0659.1.MAFG	chr15	51823240	51823260	-	0.000	0.000	Merged-chr15-51823268-39
NR10442--MA0495.2.MAFF	chr7	16057370	16057390	-	0.000	0.000	Merged-chr7-16057177-61
NR4444--MA0496.2.MAFK	chr15	82906878	82906896	+	0.000	0.000	Merged-chr15-82906941-10
NR7141--MA0591.1.Bach1::Mafk	chr2	150840387	150840401	-	0.000	0.000	Merged-chr2-150840392-23
NR11643--MA0089.1.MAFG::NFE2L1	chr8	120716594	120716599	+	0.000	0.000	Merged-chr8-120716591-36
NR3885--MA0501.1.MAF::NFE2	chr14	66225136	66225150	+	0.000	0.000	Merged-chr14-66225302-32
NR1386--MA0089.1.MAFG::NFE2L1	chr10	82856445	82856450	-	0.000	0.000	Merged-chr10-82856367-8
NR5881--MA0089.1.MAFG::NFE2L1	chr18	81385552	81385557	-	0.000	0.000	Merged-chr18-81385709-31
NR11767--MA0659.1.MAFG	chr8	128148522	128148542	+	0.000	0.000	Merged-chr8-128148641-36
NR4246--MA0501.1.MAF::NFE2	chr15	51823240	51823254	-	0.000	0.000	Merged-chr15-51823268-39
NR9505--MA0591.1.Bach1::Mafk	chr5	146655358	146655372	-	0.000	0.000	Merged-chr5-146655552-37
NR5300--MA0089.1.MAFG::NFE2L1	chr17	50171180	50171185	-	0.000	0.000	Merged-chr17-50171299-20
NR11930--MA0089.1.MAFG::NFE2L1	chr9	55541142	55541147	-	0.000	0.000	Merged-chr9-55541090-24
NR5702--MA0591.1.Bach1::Mafk	chr18	50022529	50022543	-	0.000	0.000	Merged-chr18-50022640-10
NR8954--MA0117.2.Mafb	chr5	23620783	23620794	-	0.000	0.000	Merged-chr5-23620874-12
NR8443--MA0591.1.Bach1::Mafk	chr4	106987844	106987858	-	0.000	0.000	Merged-chr4-106987990-49
NR5111--MA0089.1.MAFG::NFE2L1	chr17	13564981	13564986	-	0.000	0.000	Merged-chr17-13564978-21
NR1182--MA0089.1.MAFG::NFE2L1	chr10	44069388	44069393	+	0.000	0.000	Merged-chr10-44069344-19
NR2317--MA0659.1.MAFG	chr11	108094971	108094991	+	0.000	0.000	Merged-chr11-108095008-29
NR4248--MA0496.2.MAFK	chr15	51823241	51823259	-	0.000	0.000	Merged-chr15-51823268-39
NR9645--MA0089.1.MAFG::NFE2L1	chr6	31080817	31080822	-	0.000	0.000	Merged-chr6-31081023-63
NR220--MA0089.1.MAFG::NFE2L1	chr1	62834570	62834575	+	0.000	0.000	Merged-chr1-62834522-10
NR9745--MA0591.1.Bach1::Mafk	chr6	54775917	54775931	-	0.000	0.000	Merged-chr6-54775842-27
NR3624--MA0496.2.MAFK	chr13	114886265	114886283	-	0.000	0.000	Merged-chr13-114886416-28
NR522--MA0089.1.MAFG::NFE2L1	chr1	133788047	133788052	-	0.000	0.000	Merged-chr1-133787965-48
NR7216--MA0659.1.MAFG	chr2	157190846	157190866	-	0.000	0.000	Merged-chr2-157190874-9
NR598--MA0591.1.Bach1::Mafk	chr1	151382088	151382102	-	0.000	0.000	Merged-chr1-151382217-13
NR8872--MA0496.2.MAFK	chr5	5420343	5420361	-	0.000	0.000	Merged-chr5-5420247-39
NR1809--MA0089.1.MAFG::NFE2L1	chr11	21314582	21314587	-	0.000	0.000	Merged-chr11-21314524-33
NR4228--MA0501.1.MAF::NFE2	chr15	41612398	41612412	+	0.000	0.000	Merged-chr15-41612397-47
NR11366--MA0591.1.Bach1::Mafk	chr8	71587146	71587160	-	0.000	0.000	Merged-chr8-71587200-14
NR3866--MA0496.2.MAFK	chr14	64434221	64434239	-	0.000	0.000	Merged-chr14-64434245-45
NR9761--MA0495.2.MAFF	chr6	59411873	59411893	+	0.000	0.000	Merged-chr6-59411943-3
NR11486--MA0659.1.MAFG	chr8	94812834	94812854	-	0.000	0.000	Merged-chr8-94812976-23
NR10954--MA0495.2.MAFF	chr7	116409582	116409602	-	0.000	0.000	Merged-chr7-116409560-37
NR2342--MA0496.2.MAFK	chr11	109744079	109744097	+	0.000	0.000	Merged-chr11-109744155-21
NR3884--MA0496.2.MAFK	chr14	66218935	66218953	+	0.000	0.000	Merged-chr14-66218968-32
NR1044--MA0117.2.Mafb	chr10	14045337	14045348	+	0.000	0.000	Merged-chr10-14045187-25
NR10956--MA0659.1.MAFG	chr7	116409582	116409602	+	0.000	0.000	Merged-chr7-116409560-37
NR4429--MA0591.1.Bach1::Mafk	chr15	80582791	80582805	-	0.000	0.000	Merged-chr15-80582931-41
NR9651--MA0117.2.Mafb	chr6	31219077	31219088	+	0.000	0.000	Merged-chr6-31219106-11
NR5159--MA0089.1.MAFG::NFE2L1	chr17	24686768	24686773	+	0.000	0.000	Merged-chr17-24686693-5
NR1080--MA0117.2.Mafb	chr10	21976504	21976515	-	0.000	0.000	Merged-chr10-21976372-39
NR2338--MA0496.2.MAFK	chr11	109480130	109480148	-	0.000	0.000	Merged-chr11-109480065-23
NR10832--MA0089.1.MAFG::NFE2L1	chr7	104291783	104291788	-	0.000	0.000	Merged-chr7-104291752-74
NR9559--MA0501.1.MAF::NFE2	chr6	3536484	3536498	-	0.000	0.000	Merged-chr6-3536376-27
NR10543--MA0089.1.MAFG::NFE2L1	chr7	38093352	38093357	+	0.000	0.000	Merged-chr7-38093373-14
NR2143--MA0089.1.MAFG::NFE2L1	chr11	85235135	85235140	-	0.000	0.000	Merged-chr11-85234934-68
NR6130--MA0501.1.MAF::NFE2	chr19	40661356	40661370	-	0.000	0.000	Merged-chr19-40661209-23
NR1954--MA0501.1.MAF::NFE2	chr11	58189756	58189770	-	0.000	0.000	Merged-chr11-58189839-18
NR531--MA0089.1.MAFG::NFE2L1	chr1	135124914	135124919	-	0.000	0.000	Merged-chr1-135124933-9
NR2721--MA0089.1.MAFG::NFE2L1	chr12	85632483	85632488	-	0.000	0.000	Merged-chr12-85632486-20
NR4290--MA0089.1.MAFG::NFE2L1	chr15	59520704	59520709	-	0.000	0.000	Merged-chr15-59520520-55
NR1112--MA0089.1.MAFG::NFE2L1	chr10	26521339	26521344	+	0.000	0.000	Merged-chr10-26521176-55
NR9766--MA0496.2.MAFK	chr6	59411874	59411892	+	0.000	0.000	Merged-chr6-59411943-3
NR7143--MA0496.2.MAFK	chr2	150840385	150840403	+	0.000	0.000	Merged-chr2-150840392-23
NR5897--MA0659.1.MAFG	chr18	84159131	84159151	+	0.000	0.000	Merged-chr18-84159275-32
NR15--MA0117.2.Mafb	chr1	10257658	10257669	-	0.000	0.000	Merged-chr1-10257584-29
NR9646--MA0501.1.MAF::NFE2	chr6	31080829	31080843	-	0.000	0.000	Merged-chr6-31081023-63
NR6096--MA0117.2.Mafb	chr19	32953483	32953494	+	0.000	0.000	Merged-chr19-32953496-32
NR12067--MA0501.1.MAF::NFE2	chr9	75408033	75408047	+	0.000	0.000	Merged-chr9-75408031-5
NR1210--MA0089.1.MAFG::NFE2L1	chr10	53344081	53344086	-	0.000	0.000	Merged-chr10-53344095-9
NR579--MA0501.1.MAF::NFE2	chr1	144086345	144086359	-	0.000	0.000	Merged-chr1-144086303-34
NR2160--MA0591.1.Bach1::Mafk	chr11	86648337	86648351	+	0.000	0.000	Merged-chr11-86648255-12
NR12220--MA0089.1.MAFG::NFE2L1	chr9	99699937	99699942	-	0.000	0.000	Merged-chr9-99699985-12
NR9583--MA0496.2.MAFK	chr6	8641036	8641054	-	0.000	0.000	Merged-chr6-8641126-10
NR3308--MA0089.1.MAFG::NFE2L1	chr13	63541683	63541688	+	0.000	0.000	Merged-chr13-63541673-31
NR4437--MA0591.1.Bach1::Mafk	chr15	81819705	81819719	-	0.000	0.000	Merged-chr15-81819861-26
NR10174--MA0089.1.MAFG::NFE2L1	chr6	128972830	128972835	+	0.000	0.000	Merged-chr6-128972909-46
NR10633--MA0591.1.Bach1::Mafk	chr7	66250208	66250222	-	0.000	0.000	Merged-chr7-66250161-34
NR10955--MA0591.1.Bach1::Mafk	chr7	116409585	116409599	-	0.000	0.000	Merged-chr7-116409560-37
NR12044--MA0089.1.MAFG::NFE2L1	chr9	69450553	69450558	-	0.000	0.000	Merged-chr9-69450525-8
NR11681--MA0089.1.MAFG::NFE2L1	chr8	124255708	124255713	+	0.000	0.000	Merged-chr8-124255729-8
NR2225--MA0591.1.Bach1::Mafk	chr11	95356972	95356986	-	0.000	0.000	Merged-chr11-95356897-59
NR12131--MA0089.1.MAFG::NFE2L1	chr9	85672289	85672294	-	0.000	0.000	Merged-chr9-85672342-1
NR11484--MA0591.1.Bach1::Mafk	chr8	94812837	94812851	-	0.000	0.000	Merged-chr8-94812976-23
NR5153--MA0495.2.MAFF	chr17	24344784	24344804	+	0.000	0.000	Merged-chr17-24344874-27
NR1901--MA0117.2.Mafb	chr11	49100553	49100564	+	0.000	0.000	Merged-chr11-49100506-9
NR445--MA0117.2.Mafb	chr1	120073870	120073881	+	0.000	0.000	Merged-chr1-120073802-51
NR3199--MA0117.2.Mafb	chr13	45455795	45455806	+	0.000	0.000	Merged-chr13-45455779-40
NR9812--MA0496.2.MAFK	chr6	70714456	70714474	-	0.000	0.000	Merged-chr6-70714490-34
NR3870--MA0089.1.MAFG::NFE2L1	chr14	64628233	64628238	+	0.000	0.000	Merged-chr14-64628307-21
NR4833--MA0496.2.MAFK	chr16	52879650	52879668	+	0.000	0.000	Merged-chr16-52879758-28
NR10173--MA0495.2.MAFF	chr6	128972825	128972845	-	0.000	0.000	Merged-chr6-128972909-46
NR9076--MA0117.2.Mafb	chr5	65898037	65898048	+	0.000	0.000	Merged-chr5-65898025-23
NR5818--MA0117.2.Mafb	chr18	73452488	73452499	+	0.000	0.000	Merged-chr18-73452682-34
NR11340--MA0501.1.MAF::NFE2	chr8	69919156	69919170	+	0.000	0.000	Merged-chr8-69919023-72
NR95--MA0496.2.MAFK	chr1	36162982	36163000	+	0.000	0.000	Merged-chr1-36162898-20
NR10444--MA0591.1.Bach1::Mafk	chr7	16057373	16057387	-	0.000	0.000	Merged-chr7-16057177-61
NR4572--MA0591.1.Bach1::Mafk	chr15	102376995	102377009	+	0.000	0.000	Merged-chr15-102377119-58
NR5400--MA0495.2.MAFF	chr17	74140472	74140492	-	0.000	0.000	Merged-chr17-74140468-12
NR9750--MA0496.2.MAFK	chr6	54775915	54775933	-	0.000	0.000	Merged-chr6-54775842-27
NR9417--MA0591.1.Bach1::Mafk	chr5	127612029	127612043	+	0.000	0.000	Merged-chr5-127611997-17
NR710--MA0117.2.Mafb	chr1	165822163	165822174	+	0.000	0.000	Merged-chr1-165822211-30
NR399--MA0089.1.MAFG::NFE2L1	chr1	95674364	95674369	-	0.000	0.000	Merged-chr1-95674241-20
NR3200--MA0089.1.MAFG::NFE2L1	chr13	45455845	45455850	+	0.000	0.000	Merged-chr13-45455779-40
NR1056--MA0117.2.Mafb	chr10	19597034	19597045	+	0.000	0.000	Merged-chr10-19597137-35
NR4648--MA0117.2.Mafb	chr16	20496838	20496849	-	0.000	0.000	Merged-chr16-20496869-26
NR2340--MA0591.1.Bach1::Mafk	chr11	109744081	109744095	-	0.000	0.000	Merged-chr11-109744155-21
NR3189--MA0591.1.Bach1::Mafk	chr13	43306698	43306712	-	0.000	0.000	Merged-chr13-43306774-11
NR9509--MA0496.2.MAFK	chr5	146655356	146655374	-	0.000	0.000	Merged-chr5-146655552-37
NR5299--MA0089.1.MAFG::NFE2L1	chr17	50171182	50171187	+	0.000	0.000	Merged-chr17-50171299-20
NR4255--MA0089.1.MAFG::NFE2L1	chr15	53216518	53216523	+	0.000	0.000	Merged-chr15-53216582-40
NR9453--MA0117.2.Mafb	chr5	139377529	139377540	-	0.000	0.000	Merged-chr5-139377554-24
NR8589--MA0089.1.MAFG::NFE2L1	chr4	129621186	129621191	-	0.000	0.000	Merged-chr4-129621333-30
NR337--MA0591.1.Bach1::Mafk	chr1	88584721	88584735	+	0.000	0.000	Merged-chr1-88584728-18
NR11939--MA0089.1.MAFG::NFE2L1	chr9	57577549	57577554	-	0.000	0.000	Merged-chr9-57577523-17
NR4445--MA0496.2.MAFK	chr15	82906878	82906896	-	0.000	0.000	Merged-chr15-82906941-10
NR5471--MA0089.1.MAFG::NFE2L1	chr17	84032633	84032638	-	0.000	0.000	Merged-chr17-84032623-33
NR10445--MA0659.1.MAFG	chr7	16057370	16057390	+	0.000	0.000	Merged-chr7-16057177-61
NR10417--MA0089.1.MAFG::NFE2L1	chr7	4777053	4777058	+	0.000	0.000	Merged-chr7-4777194-35
NR3641--MA0501.1.MAF::NFE2	chr13	117196139	117196153	+	0.000	0.000	Merged-chr13-117196008-56
NR7523--MA0495.2.MAFF	chr3	28244537	28244557	-	0.000	0.000	Merged-chr3-28244555-21
NR1323--MA0591.1.Bach1::Mafk	chr10	76306867	76306881	-	0.000	0.000	Merged-chr10-76306929-42
NR4831--MA0495.2.MAFF	chr16	52879649	52879669	+	0.000	0.000	Merged-chr16-52879758-28
NR12043--MA0591.1.Bach1::Mafk	chr9	69125460	69125474	-	0.000	0.000	Merged-chr9-69125560-59
NR10103--MA0501.1.MAF::NFE2	chr6	120357142	120357156	-	0.000	0.000	Merged-chr6-120357332-52
NR5898--MA0496.2.MAFK	chr18	84159132	84159150	-	0.000	0.000	Merged-chr18-84159275-32
NR10463--MA0117.2.Mafb	chr7	16368614	16368625	+	0.000	0.000	Merged-chr7-16368534-21
NR4177--MA0089.1.MAFG::NFE2L1	chr15	31117636	31117641	-	0.000	0.000	Merged-chr15-31117559-26
NR580--MA0089.1.MAFG::NFE2L1	chr1	144206465	144206470	-	0.000	0.000	Merged-chr1-144206482-15
NR11770--MA0496.2.MAFK	chr8	128148523	128148541	-	0.000	0.000	Merged-chr8-128148641-36
NR9806--MA0495.2.MAFF	chr6	70714455	70714475	-	0.000	0.000	Merged-chr6-70714490-34
NR4473--MA0591.1.Bach1::Mafk	chr15	86051283	86051297	-	0.000	0.000	Merged-chr15-86051383-21
NR93--MA0495.2.MAFF	chr1	36162981	36163001	-	0.000	0.000	Merged-chr1-36162898-20
NR10490--MA0089.1.MAFG::NFE2L1	chr7	24394625	24394630	-	0.000	0.000	Merged-chr7-24394603-28
NR5495--MA0089.1.MAFG::NFE2L1	chr17	86937939	86937944	-	0.000	0.000	Merged-chr17-86937929-29
NR3448--MA0089.1.MAFG::NFE2L1	chr13	99148661	99148666	-	0.000	0.000	Merged-chr13-99148566-18
NR5106--MA0496.2.MAFK	chr17	12759435	12759453	-	0.000	0.000	Merged-chr17-12759489-26
NR2318--MA0659.1.MAFG	chr11	108094971	108094991	-	0.000	0.000	Merged-chr11-108095008-29
NR10495--MA0659.1.MAFG	chr7	25107335	25107355	+	0.000	0.000	Merged-chr7-25107253-25
NR4524--MA0501.1.MAF::NFE2	chr15	97361207	97361221	+	0.000	0.000	Merged-chr15-97361236-9
NR2706--MA0089.1.MAFG::NFE2L1	chr12	82251510	82251515	-	0.000	0.000	Merged-chr12-82251542-24
NR5480--MA0089.1.MAFG::NFE2L1	chr17	86123299	86123304	+	0.000	0.000	Merged-chr17-86123282-19
NR9502--MA0495.2.MAFF	chr5	146655355	146655375	+	0.000	0.000	Merged-chr5-146655552-37
NR2320--MA0496.2.MAFK	chr11	108094972	108094990	-	0.000	0.000	Merged-chr11-108095008-29
NR242--MA0117.2.Mafb	chr1	69831153	69831164	+	0.000	0.000	Merged-chr1-69831096-32
NR5401--MA0501.1.MAF::NFE2	chr17	74140478	74140492	+	0.000	0.000	Merged-chr17-74140468-12
NR3190--MA0501.1.MAF::NFE2	chr13	43306701	43306715	+	0.000	0.000	Merged-chr13-43306774-11
NR9233--MA0089.1.MAFG::NFE2L1	chr5	100466750	100466755	-	0.000	0.000	Merged-chr5-100466890-43
NR9744--MA0495.2.MAFF	chr6	54775914	54775934	-	0.000	0.000	Merged-chr6-54775842-27
NR9824--MA0089.1.MAFG::NFE2L1	chr6	72644785	72644790	+	0.000	0.000	Merged-chr6-72644677-18
NR6621--MA0089.1.MAFG::NFE2L1	chr2	73547503	73547508	+	0.000	0.000	Merged-chr2-73547425-29
NR6465--MA0496.2.MAFK	chr2	34945757	34945775	+	0.000	0.000	Merged-chr2-34945759-18
NR2339--MA0495.2.MAFF	chr11	109744078	109744098	+	0.000	0.000	Merged-chr11-109744155-21
