#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval0.3-log2fc0.5_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval0.3-log2fc0.5_dn.bed
NR8099--MA1421.1.TCF7L1	chr7	140947313	140947324	-	0.000	0.000	Merged-chr7-140947277-49
NR1352--MA1421.1.TCF7L1	chr11	22872091	22872102	+	0.000	0.000	Merged-chr11-22872155-48
NR3827--MA0769.1.Tcf7	chr17	35766542	35766553	+	0.000	0.000	Merged-chr17-35766522-37
NR3263--MA1421.1.TCF7L1	chr15	85832481	85832492	+	0.000	0.000	Merged-chr15-85832285-49
NR873--MA1421.1.TCF7L1	chr10	44700357	44700368	-	0.000	0.000	Merged-chr10-44700385-25
NR442--MA0769.1.Tcf7	chr1	143466098	143466109	+	0.000	0.000	Merged-chr1-143466091-51
NR4259--MA0769.1.Tcf7	chr18	75392385	75392396	+	0.000	0.000	Merged-chr18-75392555-48
NR3416--MA0523.1.TCF7L2	chr16	23286589	23286602	-	0.000	0.000	Merged-chr16-23286554-38
NR3187--MA0769.1.Tcf7	chr15	66825623	66825634	+	0.000	0.000	Merged-chr15-66825502-98
NR4657--MA0523.1.TCF7L2	chr2	35412342	35412355	-	0.000	0.000	Merged-chr2-35412302-68
NR8073--MA1421.1.TCF7L1	chr7	135605122	135605133	+	0.000	0.000	Merged-chr7-135605308-40
NR7766--MA0769.1.Tcf7	chr7	65714383	65714394	+	0.000	0.000	Merged-chr7-65714407-39
NR5595--MA1421.1.TCF7L1	chr3	84023024	84023035	-	0.000	0.000	Merged-chr3-84022944-34
NR5051--MA0523.1.TCF7L2	chr2	119547496	119547509	-	0.000	0.000	Merged-chr2-119547513-90
NR7745--MA0523.1.TCF7L2	chr7	58824932	58824945	+	0.000	0.000	Merged-chr7-58824899-42
NR6395--MA0769.1.Tcf7	chr4	126195019	126195030	+	0.000	0.000	Merged-chr4-126195101-15
NR4654--MA0769.1.Tcf7	chr2	34204990	34205001	+	0.000	0.000	Merged-chr2-34204759-60
NR2971--MA1421.1.TCF7L1	chr14	118124306	118124317	+	0.000	0.000	Merged-chr14-118124409-31
NR1080--MA0769.1.Tcf7	chr10	91138671	91138682	-	0.000	0.000	Merged-chr10-91138476-30
NR3185--MA1421.1.TCF7L1	chr15	66825623	66825634	+	0.000	0.000	Merged-chr15-66825502-98
NR1671--MA0523.1.TCF7L2	chr12	3791935	3791948	-	0.000	0.000	Merged-chr12-3791945-40
NR6297--MA0769.1.Tcf7	chr4	101176525	101176536	+	0.000	0.000	Merged-chr4-101176356-14
NR7004--MA1421.1.TCF7L1	chr5	147418563	147418574	-	0.000	0.000	Merged-chr5-147418611-52
NR959--MA1421.1.TCF7L1	chr10	67205210	67205221	-	0.000	0.000	Merged-chr10-67205181-43
NR8642--MA0523.1.TCF7L2	chr9	46149554	46149567	+	0.000	0.000	Merged-chr9-46149631-49
NR5838--MA0523.1.TCF7L2	chr3	130691413	130691426	+	0.000	0.000	Merged-chr3-130691489-97
NR1672--MA0769.1.Tcf7	chr12	3791937	3791948	-	0.000	0.000	Merged-chr12-3791945-40
NR874--MA0523.1.TCF7L2	chr10	44700355	44700368	-	0.000	0.000	Merged-chr10-44700385-25
NR3083--MA0523.1.TCF7L2	chr15	31440135	31440148	-	0.000	0.000	Merged-chr15-31440136-19
NR9035--MA0769.1.Tcf7	chr9	123872233	123872244	+	0.000	0.000	Merged-chr9-123872293-49
NR6498--MA0523.1.TCF7L2	chr4	149658104	149658117	-	0.000	0.000	Merged-chr4-149658229-60
NR5053--MA1421.1.TCF7L1	chr2	120353209	120353220	-	0.000	0.000	Merged-chr2-120353009-52
NR8291--MA1421.1.TCF7L1	chr8	72291253	72291264	+	0.000	0.000	Merged-chr8-72291225-23
NR748--MA1421.1.TCF7L1	chr10	8197752	8197763	+	0.000	0.000	Merged-chr10-8197795-23
NR6688--MA0769.1.Tcf7	chr5	66075102	66075113	+	0.000	0.000	Merged-chr5-66075257-56
NR1589--MA0523.1.TCF7L2	chr11	106036694	106036707	+	0.000	0.000	Merged-chr11-106036906-50
NR8021--MA1421.1.TCF7L1	chr7	127293654	127293665	-	0.000	0.000	Merged-chr7-127293782-25
NR8358--MA0523.1.TCF7L2	chr8	88771556	88771569	-	0.000	0.000	Merged-chr8-88771445-24
NR6708--MA1421.1.TCF7L1	chr5	73286650	73286661	+	0.000	0.000	Merged-chr5-73286597-55
NR9028--MA0523.1.TCF7L2	chr9	123462003	123462016	-	0.000	0.000	Merged-chr9-123461997-47
NR3316--MA0769.1.Tcf7	chr15	98534201	98534212	+	0.000	0.000	Merged-chr15-98534132-69
NR16--MA0523.1.TCF7L2	chr1	13559596	13559609	+	0.000	0.000	Merged-chr1-13559747-54
NR7706--MA0523.1.TCF7L2	chr7	38090201	38090214	+	0.000	0.000	Merged-chr7-38090413-30
NR6496--MA0769.1.Tcf7	chr4	149515888	149515899	+	0.000	0.000	Merged-chr4-149515822-34
NR6901--MA1421.1.TCF7L1	chr5	118465205	118465216	+	0.000	0.000	Merged-chr5-118465239-56
NR3159--MA1421.1.TCF7L1	chr15	58655206	58655217	-	0.000	0.000	Merged-chr15-58655104-54
NR5505--MA0769.1.Tcf7	chr3	60469297	60469308	-	0.000	0.000	Merged-chr3-60469129-75
NR8448--MA0769.1.Tcf7	chr8	120715517	120715528	-	0.000	0.000	Merged-chr8-120715474-36
NR5816--MA0523.1.TCF7L2	chr3	126693179	126693192	-	0.000	0.000	Merged-chr3-126693084-1
NR7043--MA0523.1.TCF7L2	chr6	5147853	5147866	+	0.000	0.000	Merged-chr6-5148035-17
NR8100--MA0523.1.TCF7L2	chr7	140947311	140947324	-	0.000	0.000	Merged-chr7-140947277-49
NR1605--MA1421.1.TCF7L1	chr11	109495865	109495876	+	0.000	0.000	Merged-chr11-109495747-14
NR4350--MA0523.1.TCF7L2	chr19	10698523	10698536	-	0.000	0.000	Merged-chr19-10698600-31
NR6958--MA0769.1.Tcf7	chr5	137857125	137857136	+	0.000	0.000	Merged-chr5-137857044-20
NR1752--MA0523.1.TCF7L2	chr12	32895228	32895241	+	0.000	0.000	Merged-chr12-32895351-16
NR1584--MA0523.1.TCF7L2	chr11	103102959	103102972	+	0.000	0.000	Merged-chr11-103102896-73
NR3457--MA0523.1.TCF7L2	chr16	33053357	33053370	-	0.000	0.000	Merged-chr16-33053250-22
NR6703--MA1421.1.TCF7L1	chr5	72163354	72163365	+	0.000	0.000	Merged-chr5-72163190-22
NR3663--MA0523.1.TCF7L2	chr16	91366677	91366690	+	0.000	0.000	Merged-chr16-91366873-55
NR7776--MA1421.1.TCF7L1	chr7	67444646	67444657	-	0.000	0.000	Merged-chr7-67444614-20
NR9015--MA0769.1.Tcf7	chr9	121298739	121298750	-	0.000	0.000	Merged-chr9-121298802-91
NR8292--MA0523.1.TCF7L2	chr8	72291253	72291266	+	0.000	0.000	Merged-chr8-72291225-23
NR9181--MA0769.1.Tcf7	chrX	164318701	164318712	-	0.000	0.000	Merged-chrX-164318746-35
NR9029--MA0769.1.Tcf7	chr9	123462005	123462016	-	0.000	0.000	Merged-chr9-123461997-47
NR1007--MA1421.1.TCF7L1	chr10	76271523	76271534	+	0.000	0.000	Merged-chr10-76271555-43
NR7691--MA0769.1.Tcf7	chr7	25205430	25205441	+	0.000	0.000	Merged-chr7-25205538-69
NR446--MA1421.1.TCF7L1	chr1	143919109	143919120	-	0.000	0.000	Merged-chr1-143919214-54
NR8912--MA0523.1.TCF7L2	chr9	107334462	107334475	-	0.000	0.000	Merged-chr9-107334469-86
NR3284--MA0523.1.TCF7L2	chr15	93379572	93379585	-	0.000	0.000	Merged-chr15-93379459-27
NR637--MA0523.1.TCF7L2	chr1	180390379	180390392	-	0.000	0.000	Merged-chr1-180390562-55
NR6812--MA0769.1.Tcf7	chr5	100526271	100526282	-	0.000	0.000	Merged-chr5-100526478-48
NR5856--MA1421.1.TCF7L1	chr3	133078570	133078581	-	0.000	0.000	Merged-chr3-133078514-46
NR3668--MA0769.1.Tcf7	chr16	91781056	91781067	-	0.000	0.000	Merged-chr16-91781071-63
NR3463--MA1421.1.TCF7L1	chr16	33691697	33691708	-	0.000	0.000	Merged-chr16-33691596-37
NR5843--MA1421.1.TCF7L1	chr3	131057422	131057433	-	0.000	0.000	Merged-chr3-131057396-52
NR8455--MA0769.1.Tcf7	chr8	122464034	122464045	-	0.000	0.000	Merged-chr8-122464115-42
NR5857--MA0769.1.Tcf7	chr3	133078570	133078581	-	0.000	0.000	Merged-chr3-133078514-46
NR6865--MA1421.1.TCF7L1	chr5	107646069	107646080	-	0.000	0.000	Merged-chr5-107646170-26
NR5733--MA0523.1.TCF7L2	chr3	108795852	108795865	+	0.000	0.000	Merged-chr3-108796070-78
NR782--MA0523.1.TCF7L2	chr10	19504574	19504587	+	0.000	0.000	Merged-chr10-19504569-39
NR2037--MA1421.1.TCF7L1	chr12	107734491	107734502	-	0.000	0.000	Merged-chr12-107734744-35
NR1753--MA0769.1.Tcf7	chr12	32895228	32895239	+	0.000	0.000	Merged-chr12-32895351-16
NR8123--MA1421.1.TCF7L1	chr7	143644168	143644179	-	0.000	0.000	Merged-chr7-143644190-29
NR839--MA0769.1.Tcf7	chr10	34171286	34171297	+	0.000	0.000	Merged-chr10-34171360-52
NR8232--MA0523.1.TCF7L2	chr8	46869686	46869699	+	0.000	0.000	Merged-chr8-46869591-35
NR6824--MA0523.1.TCF7L2	chr5	100875852	100875865	-	0.000	0.000	Merged-chr5-100875815-38
NR8916--MA0523.1.TCF7L2	chr9	108146579	108146592	-	0.000	0.000	Merged-chr9-108146589-26
NR875--MA0769.1.Tcf7	chr10	44700357	44700368	-	0.000	0.000	Merged-chr10-44700385-25
NR6957--MA0523.1.TCF7L2	chr5	137857125	137857138	+	0.000	0.000	Merged-chr5-137857044-20
NR7040--MA1421.1.TCF7L1	chr6	3344035	3344046	-	0.000	0.000	Merged-chr6-3344027-33
NR7975--MA0769.1.Tcf7	chr7	118276848	118276859	-	0.000	0.000	Merged-chr7-118276887-4
NR6811--MA0523.1.TCF7L2	chr5	100526269	100526282	-	0.000	0.000	Merged-chr5-100526478-48
NR638--MA0769.1.Tcf7	chr1	180390381	180390392	-	0.000	0.000	Merged-chr1-180390562-55
NR643--MA1421.1.TCF7L1	chr1	180778387	180778398	-	0.000	0.000	Merged-chr1-180778261-1
NR4208--MA0523.1.TCF7L2	chr18	66453475	66453488	-	0.000	0.000	Merged-chr18-66453430-39
NR6869--MA1421.1.TCF7L1	chr5	107932809	107932820	+	0.000	0.000	Merged-chr5-107932779-30
NR3669--MA1421.1.TCF7L1	chr16	91789973	91789984	+	0.000	0.000	Merged-chr16-91789935-50
NR8674--MA0523.1.TCF7L2	chr9	54613058	54613071	+	0.000	0.000	Merged-chr9-54612864-43
NR1686--MA0523.1.TCF7L2	chr12	8638656	8638669	-	0.000	0.000	Merged-chr12-8638718-65
NR7566--MA0523.1.TCF7L2	chr6	140314087	140314100	-	0.000	0.000	Merged-chr6-140314075-23
NR3670--MA0769.1.Tcf7	chr16	91789973	91789984	+	0.000	0.000	Merged-chr16-91789935-50
NR482--MA0769.1.Tcf7	chr1	151083957	151083968	-	0.000	0.000	Merged-chr1-151084034-24
NR1717--MA0523.1.TCF7L2	chr12	21472606	21472619	-	0.000	0.000	Merged-chr12-21472738-21
NR272--MA0769.1.Tcf7	chr1	94497018	94497029	-	0.000	0.000	Merged-chr1-94497080-23
NR3752--MA0523.1.TCF7L2	chr17	12727941	12727954	+	0.000	0.000	Merged-chr17-12727995-27
NR5734--MA0769.1.Tcf7	chr3	108795852	108795863	+	0.000	0.000	Merged-chr3-108796070-78
NR3326--MA0769.1.Tcf7	chr15	99643928	99643939	-	0.000	0.000	Merged-chr15-99643998-26
NR8491--MA1421.1.TCF7L1	chr8	126848823	126848834	-	0.000	0.000	Merged-chr8-126848736-3
NR1328--MA1421.1.TCF7L1	chr11	11557375	11557386	+	0.000	0.000	Merged-chr11-11557510-103
NR8425--MA0523.1.TCF7L2	chr8	114880811	114880824	+	0.000	0.000	Merged-chr8-114880569-95
NR1643--MA0523.1.TCF7L2	chr11	115813916	115813929	+	0.000	0.000	Merged-chr11-115814180-82
NR8693--MA1421.1.TCF7L1	chr9	61427179	61427190	-	0.000	0.000	Merged-chr9-61427187-31
NR1644--MA0769.1.Tcf7	chr11	115813916	115813927	+	0.000	0.000	Merged-chr11-115814180-82
NR1662--MA0769.1.Tcf7	chr11	118419141	118419152	-	0.000	0.000	Merged-chr11-118418964-64
NR1304--MA0769.1.Tcf7	chr11	3387206	3387217	+	0.000	0.000	Merged-chr11-3387260-37
NR6800--MA1421.1.TCF7L1	chr5	97983291	97983302	+	0.000	0.000	Merged-chr5-97983447-49
NR4299--MA1421.1.TCF7L1	chr18	82607534	82607545	+	0.000	0.000	Merged-chr18-82607647-23
NR8074--MA0769.1.Tcf7	chr7	135605122	135605133	+	0.000	0.000	Merged-chr7-135605308-40
NR3537--MA0523.1.TCF7L2	chr16	49772876	49772889	+	0.000	0.000	Merged-chr16-49772867-33
NR1242--MA0769.1.Tcf7	chr10	118096221	118096232	+	0.000	0.000	Merged-chr10-118096400-51
NR4656--MA1421.1.TCF7L1	chr2	35412344	35412355	-	0.000	0.000	Merged-chr2-35412302-68
NR8643--MA0769.1.Tcf7	chr9	46149554	46149565	+	0.000	0.000	Merged-chr9-46149631-49
NR2888--MA0523.1.TCF7L2	chr14	78687934	78687947	-	0.000	0.000	Merged-chr14-78687892-42
NR3664--MA0769.1.Tcf7	chr16	91366677	91366688	+	0.000	0.000	Merged-chr16-91366873-55
NR1256--MA0769.1.Tcf7	chr10	120193465	120193476	+	0.000	0.000	Merged-chr10-120193454-50
NR5844--MA0769.1.Tcf7	chr3	131057422	131057433	-	0.000	0.000	Merged-chr3-131057396-52
NR6495--MA0523.1.TCF7L2	chr4	149515888	149515901	+	0.000	0.000	Merged-chr4-149515822-34
NR1840--MA0523.1.TCF7L2	chr12	69412093	69412106	-	0.000	0.000	Merged-chr12-69412167-34
NR3884--MA0523.1.TCF7L2	chr17	56034617	56034630	-	0.000	0.000	Merged-chr17-56034700-41
NR6431--MA0523.1.TCF7L2	chr4	138089686	138089699	+	0.000	0.000	Merged-chr4-138089649-31
NR1718--MA0769.1.Tcf7	chr12	21472608	21472619	-	0.000	0.000	Merged-chr12-21472738-21
NR8492--MA0769.1.Tcf7	chr8	126848823	126848834	-	0.000	0.000	Merged-chr8-126848736-3
NR5429--MA1421.1.TCF7L1	chr3	27291599	27291610	-	0.000	0.000	Merged-chr3-27291392-45
NR4058--MA1421.1.TCF7L1	chr18	24116825	24116836	+	0.000	0.000	Merged-chr18-24116838-23
NR3977--MA1421.1.TCF7L1	chr17	84851021	84851032	-	0.000	0.000	Merged-chr17-84850871-34
NR7765--MA1421.1.TCF7L1	chr7	65714383	65714394	+	0.000	0.000	Merged-chr7-65714407-39
NR9012--MA0523.1.TCF7L2	chr9	121286005	121286018	-	0.000	0.000	Merged-chr9-121286095-53
NR441--MA0523.1.TCF7L2	chr1	143466098	143466111	+	0.000	0.000	Merged-chr1-143466091-51
NR8641--MA1421.1.TCF7L1	chr9	46149554	46149565	+	0.000	0.000	Merged-chr9-46149631-49
NR7520--MA1421.1.TCF7L1	chr6	129627626	129627637	-	0.000	0.000	Merged-chr6-129627649-22
NR1240--MA1421.1.TCF7L1	chr10	118050337	118050348	-	0.000	0.000	Merged-chr10-118050458-52
NR8865--MA0769.1.Tcf7	chr9	96754565	96754576	+	0.000	0.000	Merged-chr9-96754558-43
NR447--MA0769.1.Tcf7	chr1	143919109	143919120	-	0.000	0.000	Merged-chr1-143919214-54
NR3317--MA0523.1.TCF7L2	chr15	98623375	98623388	-	0.000	0.000	Merged-chr15-98623504-45
NR1661--MA1421.1.TCF7L1	chr11	118419141	118419152	-	0.000	0.000	Merged-chr11-118418964-64
NR1192--MA1421.1.TCF7L1	chr10	111562791	111562802	+	0.000	0.000	Merged-chr10-111562842-26
NR8357--MA1421.1.TCF7L1	chr8	88771558	88771569	-	0.000	0.000	Merged-chr8-88771445-24
NR2792--MA0523.1.TCF7L2	chr14	59087406	59087419	+	0.000	0.000	Merged-chr14-59087274-14
NR4645--MA0769.1.Tcf7	chr2	32715042	32715053	-	0.000	0.000	Merged-chr2-32715137-51
NR3315--MA1421.1.TCF7L1	chr15	98534201	98534212	+	0.000	0.000	Merged-chr15-98534132-69
NR5773--MA0523.1.TCF7L2	chr3	116652211	116652224	+	0.000	0.000	Merged-chr3-116652176-28
NR1657--MA1421.1.TCF7L1	chr11	117848740	117848751	-	0.000	0.000	Merged-chr11-117848914-89
NR600--MA0769.1.Tcf7	chr1	171762154	171762165	-	0.000	0.000	Merged-chr1-171762244-38
NR6825--MA0769.1.Tcf7	chr5	100875854	100875865	-	0.000	0.000	Merged-chr5-100875815-38
NR9014--MA1421.1.TCF7L1	chr9	121298739	121298750	-	0.000	0.000	Merged-chr9-121298802-91
NR4300--MA0523.1.TCF7L2	chr18	82607534	82607547	+	0.000	0.000	Merged-chr18-82607647-23
NR481--MA1421.1.TCF7L1	chr1	151083957	151083968	-	0.000	0.000	Merged-chr1-151084034-24
NR7305--MA1421.1.TCF7L1	chr6	86593410	86593421	-	0.000	0.000	Merged-chr6-86593452-56
NR3555--MA1421.1.TCF7L1	chr16	52086791	52086802	+	0.000	0.000	Merged-chr16-52086970-39
NR599--MA0523.1.TCF7L2	chr1	171762152	171762165	-	0.000	0.000	Merged-chr1-171762244-38
NR6432--MA0769.1.Tcf7	chr4	138089686	138089697	+	0.000	0.000	Merged-chr4-138089649-31
NR8118--MA0523.1.TCF7L2	chr7	143501125	143501138	-	0.000	0.000	Merged-chr7-143501142-12
NR4441--MA0523.1.TCF7L2	chr19	40665895	40665908	-	0.000	0.000	Merged-chr19-40666029-20
NR1583--MA0769.1.Tcf7	chr11	102408715	102408726	+	0.000	0.000	Merged-chr11-102408513-28
NR872--MA1421.1.TCF7L1	chr10	44700276	44700287	-	0.000	0.000	Merged-chr10-44700385-25
NR3857--MA0769.1.Tcf7	chr17	46252957	46252968	+	0.000	0.000	Merged-chr17-46252930-10
NR8335--MA1421.1.TCF7L1	chr8	83779701	83779712	-	0.000	0.000	Merged-chr8-83779707-23
NR4620--MA0769.1.Tcf7	chr2	25913457	25913468	-	0.000	0.000	Merged-chr2-25913406-29
NR9180--MA1421.1.TCF7L1	chrX	164318701	164318712	-	0.000	0.000	Merged-chrX-164318746-35
NR7690--MA1421.1.TCF7L1	chr7	25205430	25205441	+	0.000	0.000	Merged-chr7-25205538-69
NR7515--MA1421.1.TCF7L1	chr6	129406118	129406129	-	0.000	0.000	Merged-chr6-129406250-15
NR244--MA0769.1.Tcf7	chr1	88450938	88450949	-	0.000	0.000	Merged-chr1-88450830-24
NR3186--MA0523.1.TCF7L2	chr15	66825623	66825636	+	0.000	0.000	Merged-chr15-66825502-98
NR636--MA1421.1.TCF7L1	chr1	180390381	180390392	-	0.000	0.000	Merged-chr1-180390562-55
NR1125--MA0523.1.TCF7L2	chr10	99206037	99206050	+	0.000	0.000	Merged-chr10-99206263-19
NR4442--MA0769.1.Tcf7	chr19	40665897	40665908	-	0.000	0.000	Merged-chr19-40666029-20
NR3819--MA0523.1.TCF7L2	chr17	33564863	33564876	+	0.000	0.000	Merged-chr17-33564988-8
NR8336--MA0769.1.Tcf7	chr8	83779701	83779712	-	0.000	0.000	Merged-chr8-83779707-23
NR5311--MA1421.1.TCF7L1	chr2	168429802	168429813	+	0.000	0.000	Merged-chr2-168429700-17
NR1607--MA0769.1.Tcf7	chr11	109495865	109495876	+	0.000	0.000	Merged-chr11-109495747-14
NR838--MA1421.1.TCF7L1	chr10	34171286	34171297	+	0.000	0.000	Merged-chr10-34171360-52
NR9049--MA0523.1.TCF7L2	chrX	20772012	20772025	-	0.000	0.000	Merged-chrX-20771944-57
NR5732--MA1421.1.TCF7L1	chr3	108795852	108795863	+	0.000	0.000	Merged-chr3-108796070-78
NR781--MA1421.1.TCF7L1	chr10	19504574	19504585	+	0.000	0.000	Merged-chr10-19504569-39
NR8359--MA0769.1.Tcf7	chr8	88771558	88771569	-	0.000	0.000	Merged-chr8-88771445-24
NR5717--MA0523.1.TCF7L2	chr3	105900046	105900059	+	0.000	0.000	Merged-chr3-105899940-9
NR6956--MA1421.1.TCF7L1	chr5	137857125	137857136	+	0.000	0.000	Merged-chr5-137857044-20
NR7281--MA1421.1.TCF7L1	chr6	82744605	82744616	+	0.000	0.000	Merged-chr6-82744737-54
NR6810--MA1421.1.TCF7L1	chr5	100526271	100526282	-	0.000	0.000	Merged-chr5-100526478-48
NR1590--MA0769.1.Tcf7	chr11	106416609	106416620	-	0.000	0.000	Merged-chr11-106416403-62
NR3846--MA0769.1.Tcf7	chr17	44609449	44609460	-	0.000	0.000	Merged-chr17-44609382-56
NR3188--MA1421.1.TCF7L1	chr15	66855114	66855125	-	0.000	0.000	Merged-chr15-66854970-48
NR6252--MA0769.1.Tcf7	chr4	88010647	88010658	-	0.000	0.000	Merged-chr4-88010715-29
NR5302--MA1421.1.TCF7L1	chr2	166399345	166399356	+	0.000	0.000	Merged-chr2-166399399-25
NR829--MA1421.1.TCF7L1	chr10	28564338	28564349	-	0.000	0.000	Merged-chr10-28564478-17
NR3538--MA0769.1.Tcf7	chr16	49772876	49772887	+	0.000	0.000	Merged-chr16-49772867-33
NR4301--MA0769.1.Tcf7	chr18	82607534	82607545	+	0.000	0.000	Merged-chr18-82607647-23
NR8454--MA1421.1.TCF7L1	chr8	122464034	122464045	-	0.000	0.000	Merged-chr8-122464115-42
NR8864--MA0523.1.TCF7L2	chr9	96754565	96754578	+	0.000	0.000	Merged-chr9-96754558-43
NR5082--MA0769.1.Tcf7	chr2	127923295	127923306	-	0.000	0.000	Merged-chr2-127923410-36
NR3556--MA0769.1.Tcf7	chr16	52086791	52086802	+	0.000	0.000	Merged-chr16-52086970-39
NR8101--MA0769.1.Tcf7	chr7	140947313	140947324	-	0.000	0.000	Merged-chr7-140947277-49
NR1329--MA1421.1.TCF7L1	chr11	11693701	11693712	+	0.000	0.000	Merged-chr11-11693738-14
NR1860--MA0769.1.Tcf7	chr12	71933273	71933284	+	0.000	0.000	Merged-chr12-71933079-55
NR1606--MA0523.1.TCF7L2	chr11	109495865	109495878	+	0.000	0.000	Merged-chr11-109495747-14
NR8656--MA1421.1.TCF7L1	chr9	50852881	50852892	-	0.000	0.000	Merged-chr9-50852835-21
NR3458--MA0769.1.Tcf7	chr16	33053359	33053370	-	0.000	0.000	Merged-chr16-33053250-22
NR5264--MA0523.1.TCF7L2	chr2	158719399	158719412	-	0.000	0.000	Merged-chr2-158719347-62
NR6139--MA1421.1.TCF7L1	chr4	46618319	46618330	+	0.000	0.000	Merged-chr4-46618486-40
NR1316--MA1421.1.TCF7L1	chr11	5506082	5506093	+	0.000	0.000	Merged-chr11-5506116-24
NR9013--MA0769.1.Tcf7	chr9	121286007	121286018	-	0.000	0.000	Merged-chr9-121286095-53
NR7713--MA0523.1.TCF7L2	chr7	45121629	45121642	-	0.000	0.000	Merged-chr7-45121524-44
NR5081--MA1421.1.TCF7L1	chr2	127923295	127923306	-	0.000	0.000	Merged-chr2-127923410-36
NR8458--MA1421.1.TCF7L1	chr8	123203520	123203531	+	0.000	0.000	Merged-chr8-123203714-21
NR3142--MA0523.1.TCF7L2	chr15	52753837	52753850	+	0.000	0.000	Merged-chr15-52753697-52
