#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval0.3-log2fc0.5_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval0.3-log2fc0.5_dn.bed
NR13441--MA0039.3.KLF4	chr12	33220641	33220651	-	0.000	0.000	Merged-chr12-33220672-27
NR15412--MA0599.1.KLF5	chr12	116048008	116048017	-	0.000	0.000	Merged-chr12-116048086-1
NR21310--MA1107.1.KLF9	chr15	30662274	30662286	-	0.000	0.000	Merged-chr15-30662184-17
NR3256--MA0599.1.KLF5	chr1	165091986	165091995	+	0.000	0.000	Merged-chr1-165091937-36
NR62865--MA0742.1.Klf12	chr8	122769454	122769468	-	0.000	0.000	Merged-chr8-122769435-21
NR66150--MA0741.1.KLF16	chr9	110732746	110732756	-	0.000	0.000	Merged-chr9-110732795-38
NR44758--MA0599.1.KLF5	chr4	126260942	126260951	-	0.000	0.000	Merged-chr4-126260949-19
NR4621--MA0657.1.KLF13	chr1	193146632	193146649	-	0.000	0.000	Merged-chr1-193146532-29
NR5631--MA0039.3.KLF4	chr10	58480172	58480182	-	0.000	0.000	Merged-chr10-58480234-23
NR36307--MA0493.1.Klf1	chr2	132180653	132180663	+	0.000	0.000	Merged-chr2-132180846-32
NR59472--MA0599.1.KLF5	chr7	139295866	139295875	-	0.000	0.000	Merged-chr7-139295944-32
NR65031--MA0599.1.KLF5	chr9	77456725	77456734	+	0.000	0.000	Merged-chr9-77456588-28
NR56743--MA1107.1.KLF9	chr7	49494867	49494879	-	0.000	0.000	Merged-chr7-49494921-17
NR17278--MA0742.1.Klf12	chr13	89521652	89521666	+	0.000	0.000	Merged-chr13-89521757-30
NR34610--MA1107.1.KLF9	chr2	70425765	70425777	+	0.000	0.000	Merged-chr2-70425902-24
NR51110--MA0741.1.KLF16	chr5	146867617	146867627	+	0.000	0.000	Merged-chr5-146867667-49
NR19404--MA0493.1.Klf1	chr14	54449119	54449129	+	0.000	0.000	Merged-chr14-54449223-32
NR63984--MA0599.1.KLF5	chr9	44526739	44526748	+	0.000	0.000	Merged-chr9-44526635-59
NR56272--MA0740.1.KLF14	chr7	35056702	35056715	-	0.000	0.000	Merged-chr7-35056859-1
NR35033--MA1107.1.KLF9	chr2	83625381	83625393	-	0.000	0.000	Merged-chr2-83625624-59
NR40093--MA1107.1.KLF9	chr3	101066374	101066386	-	0.000	0.000	Merged-chr3-101066330-34
NR452--MA0741.1.KLF16	chr1	39702701	39702711	-	0.000	0.000	Merged-chr1-39702774-23
NR62320--MA1107.1.KLF9	chr8	110929498	110929510	-	0.000	0.000	Merged-chr8-110929357-31
NR33085--MA0741.1.KLF16	chr2	11416283	11416293	+	0.000	0.000	Merged-chr2-11416392-15
NR56693--MA0742.1.Klf12	chr7	47104261	47104275	-	0.000	0.000	Merged-chr7-47104097-36
NR62869--MA0741.1.KLF16	chr8	122769451	122769461	-	0.000	0.000	Merged-chr8-122769435-21
NR32435--MA1107.1.KLF9	chr19	47464461	47464473	-	0.000	0.000	Merged-chr19-47464349-56
NR18555--MA0039.3.KLF4	chr14	7864735	7864745	-	0.000	0.000	Merged-chr14-7864865-9
NR45352--MA0741.1.KLF16	chr4	134704288	134704298	+	0.000	0.000	Merged-chr4-134704159-76
NR33997--MA0742.1.Klf12	chr2	36091472	36091486	+	0.000	0.000	Merged-chr2-36091401-36
NR4623--MA0741.1.KLF16	chr1	193146637	193146647	-	0.000	0.000	Merged-chr1-193146532-29
NR54586--MA1107.1.KLF9	chr6	140767854	140767866	+	0.000	0.000	Merged-chr6-140767932-1
NR24156--MA0599.1.KLF5	chr16	29814189	29814198	+	0.000	0.000	Merged-chr16-29814134-35
NR37204--MA1107.1.KLF9	chr2	157119297	157119309	-	0.000	0.000	Merged-chr2-157119108-55
NR7750--MA0599.1.KLF5	chr10	111560043	111560052	-	0.000	0.000	Merged-chr10-111560148-13
NR11747--MA0599.1.KLF5	chr11	98786607	98786616	-	0.000	0.000	Merged-chr11-98786782-44
NR51503--MA0741.1.KLF16	chr6	14900921	14900931	-	0.000	0.000	Merged-chr6-14901186-100
NR48012--MA0599.1.KLF5	chr5	72844496	72844505	+	0.000	0.000	Merged-chr5-72844506-23
NR11324--MA0741.1.KLF16	chr11	88595866	88595876	+	0.000	0.000	Merged-chr11-88595910-28
NR64846--MA0599.1.KLF5	chr9	71592421	71592430	-	0.000	0.000	Merged-chr9-71592385-50
NR7179--MA0742.1.Klf12	chr10	90969594	90969608	-	0.000	0.000	Merged-chr10-90969735-47
NR3255--MA0740.1.KLF14	chr1	165091990	165092003	+	0.000	0.000	Merged-chr1-165091937-36
NR23587--MA0740.1.KLF14	chr16	8455398	8455411	+	0.000	0.000	Merged-chr16-8455328-28
NR17279--MA0599.1.KLF5	chr13	89521653	89521662	+	0.000	0.000	Merged-chr13-89521757-30
NR28623--MA0599.1.KLF5	chr17	84148965	84148974	+	0.000	0.000	Merged-chr17-84148977-32
NR7181--MA0493.1.Klf1	chr10	90969598	90969608	-	0.000	0.000	Merged-chr10-90969735-47
NR54571--MA0740.1.KLF14	chr6	140684616	140684629	+	0.000	0.000	Merged-chr6-140684445-39
NR64743--MA0599.1.KLF5	chr9	69313862	69313871	+	0.000	0.000	Merged-chr9-69313976-5
NR38434--MA0599.1.KLF5	chr3	9004506	9004515	+	0.000	0.000	Merged-chr3-9004436-82
NR4094--MA0741.1.KLF16	chr1	184197438	184197448	-	0.000	0.000	Merged-chr1-184197455-33
NR47--MA0599.1.KLF5	chr1	12875663	12875672	-	0.000	0.000	Merged-chr1-12875704-39
NR51667--MA0599.1.KLF5	chr6	28878189	28878198	-	0.000	0.000	Merged-chr6-28878211-33
NR60511--MA0742.1.Klf12	chr8	36249516	36249530	+	0.000	0.000	Merged-chr8-36249558-6
NR14213--MA0742.1.Klf12	chr12	82166460	82166474	-	0.000	0.000	Merged-chr12-82166286-58
NR28166--MA0741.1.KLF16	chr17	71118812	71118822	-	0.000	0.000	Merged-chr17-71118704-30
NR38522--MA0039.3.KLF4	chr3	19459141	19459151	-	0.000	0.000	Merged-chr3-19459037-66
NR2931--MA0742.1.Klf12	chr1	156522398	156522412	-	0.000	0.000	Merged-chr1-156522298-40
NR7723--MA0493.1.Klf1	chr10	111102965	111102975	+	0.000	0.000	Merged-chr10-111102896-60
NR33239--MA0741.1.KLF16	chr2	18984641	18984651	-	0.000	0.000	Merged-chr2-18984447-62
NR24164--MA1107.1.KLF9	chr16	30722575	30722587	-	0.000	0.000	Merged-chr16-30722513-29
NR34607--MA0493.1.Klf1	chr2	70425765	70425775	+	0.000	0.000	Merged-chr2-70425902-24
NR37176--MA0657.1.KLF13	chr2	156482461	156482478	-	0.000	0.000	Merged-chr2-156482364-23
NR11755--MA1107.1.KLF9	chr11	98786611	98786623	-	0.000	0.000	Merged-chr11-98786782-44
NR14465--MA1107.1.KLF9	chr12	91803171	91803183	-	0.000	0.000	Merged-chr12-91803305-23
NR37588--MA0742.1.Klf12	chr2	165983252	165983266	-	0.000	0.000	Merged-chr2-165983267-1
NR55364--MA0599.1.KLF5	chr7	12780710	12780719	-	0.000	0.000	Merged-chr7-12780581-64
NR46737--MA0599.1.KLF5	chr5	14514927	14514936	-	0.000	0.000	Merged-chr5-14515082-42
NR41628--MA0599.1.KLF5	chr3	146045207	146045216	-	0.000	0.000	Merged-chr3-146045142-29
NR4822--MA0740.1.KLF14	chr10	7212241	7212254	-	0.000	0.000	Merged-chr10-7212223-140
NR56273--MA0657.1.KLF13	chr7	35056699	35056716	-	0.000	0.000	Merged-chr7-35056859-1
NR47382--MA0039.3.KLF4	chr5	34637181	34637191	+	0.000	0.000	Merged-chr5-34637135-1
NR14219--MA1107.1.KLF9	chr12	82189735	82189747	-	0.000	0.000	Merged-chr12-82189683-54
NR65052--MA0742.1.Klf12	chr9	77954643	77954657	-	0.000	0.000	Merged-chr9-77954587-30
NR34973--MA0039.3.KLF4	chr2	78973959	78973969	+	0.000	0.000	Merged-chr2-78973866-41
NR36062--MA0599.1.KLF5	chr2	125189300	125189309	+	0.000	0.000	Merged-chr2-125189398-33
NR28926--MA0741.1.KLF16	chr17	88668542	88668552	+	0.000	0.000	Merged-chr17-88668603-31
NR31049--MA0741.1.KLF16	chr18	89769448	89769458	+	0.000	0.000	Merged-chr18-89769377-55
NR14214--MA0039.3.KLF4	chr12	82166462	82166472	-	0.000	0.000	Merged-chr12-82166286-58
NR65062--MA1107.1.KLF9	chr9	77954651	77954663	-	0.000	0.000	Merged-chr9-77954587-30
NR51111--MA1107.1.KLF9	chr5	146867616	146867628	+	0.000	0.000	Merged-chr5-146867667-49
NR47057--MA0599.1.KLF5	chr5	24445274	24445283	+	0.000	0.000	Merged-chr5-24445119-58
NR37590--MA0493.1.Klf1	chr2	165983256	165983266	-	0.000	0.000	Merged-chr2-165983267-1
NR2935--MA0741.1.KLF16	chr1	156522401	156522411	-	0.000	0.000	Merged-chr1-156522298-40
NR25478--MA1107.1.KLF9	chr16	94354649	94354661	-	0.000	0.000	Merged-chr16-94354620-30
NR20413--MA0740.1.KLF14	chr14	100461638	100461651	+	0.000	0.000	Merged-chr14-100461621-38
NR10411--MA0740.1.KLF14	chr11	69766225	69766238	+	0.000	0.000	Merged-chr11-69766217-75
NR32710--MA0599.1.KLF5	chr19	57180479	57180488	+	0.000	0.000	Merged-chr19-57180536-30
NR24262--MA0741.1.KLF16	chr16	33745252	33745262	-	0.000	0.000	Merged-chr16-33745427-22
NR46239--MA0742.1.Klf12	chr4	150518992	150519006	+	0.000	0.000	Merged-chr4-150519164-27
NR49270--MA0741.1.KLF16	chr5	113164891	113164901	+	0.000	0.000	Merged-chr5-113165071-16
NR31583--MA0740.1.KLF14	chr19	17268912	17268925	+	0.000	0.000	Merged-chr19-17268849-24
NR40667--MA1107.1.KLF9	chr3	121872950	121872962	+	0.000	0.000	Merged-chr3-121872910-8
NR35602--MA0039.3.KLF4	chr2	106194516	106194526	-	0.000	0.000	Merged-chr2-106194531-13
NR52196--MA0742.1.Klf12	chr6	51612635	51612649	+	0.000	0.000	Merged-chr6-51612673-21
NR3994--MA0741.1.KLF16	chr1	182764210	182764220	-	0.000	0.000	Merged-chr1-182764155-66
NR41636--MA1107.1.KLF9	chr3	146045217	146045229	-	0.000	0.000	Merged-chr3-146045142-29
NR21980--MA0741.1.KLF16	chr15	74667461	74667471	-	0.000	0.000	Merged-chr15-74667710-27
NR51108--MA0599.1.KLF5	chr5	146867617	146867626	+	0.000	0.000	Merged-chr5-146867667-49
NR8402--MA0599.1.KLF5	chr10	122755185	122755194	-	0.000	0.000	Merged-chr10-122755211-20
NR11330--MA1107.1.KLF9	chr11	88595865	88595877	+	0.000	0.000	Merged-chr11-88595910-28
NR37018--MA0599.1.KLF5	chr2	153325879	153325888	-	0.000	0.000	Merged-chr2-153325949-22
NR41203--MA0599.1.KLF5	chr3	135307624	135307633	+	0.000	0.000	Merged-chr3-135307763-66
NR11425--MA0741.1.KLF16	chr11	94160909	94160919	-	0.000	0.000	Merged-chr11-94160657-19
NR33236--MA0599.1.KLF5	chr2	18984642	18984651	-	0.000	0.000	Merged-chr2-18984447-62
NR67354--MA1107.1.KLF9	chrX	48314738	48314750	+	0.000	0.000	Merged-chrX-48314836-34
NR54009--MA0039.3.KLF4	chr6	125468296	125468306	+	0.000	0.000	Merged-chr6-125468241-50
NR18937--MA1107.1.KLF9	chr14	31556324	31556336	-	0.000	0.000	Merged-chr14-31556211-33
NR38636--MA0741.1.KLF16	chr3	27984085	27984095	-	0.000	0.000	Merged-chr3-27984101-47
NR59827--MA0741.1.KLF16	chr8	3221122	3221132	+	0.000	0.000	Merged-chr8-3221344-66
NR2483--MA0740.1.KLF14	chr1	139423048	139423061	+	0.000	0.000	Merged-chr1-139423119-2
NR61952--MA1107.1.KLF9	chr8	95534060	95534072	+	0.000	0.000	Merged-chr8-95534115-30
NR41624--MA0742.1.Klf12	chr3	146039641	146039655	-	0.000	0.000	Merged-chr3-146039588-29
NR37016--MA0740.1.KLF14	chr2	153325876	153325889	-	0.000	0.000	Merged-chr2-153325949-22
NR60880--MA1107.1.KLF9	chr8	67860356	67860368	+	0.000	0.000	Merged-chr8-67860375-11
NR453--MA1107.1.KLF9	chr1	39702679	39702691	-	0.000	0.000	Merged-chr1-39702774-23
NR11372--MA0741.1.KLF16	chr11	90350026	90350036	-	0.000	0.000	Merged-chr11-90350158-78
NR45674--MA0493.1.Klf1	chr4	139086349	139086359	+	0.000	0.000	Merged-chr4-139086245-11
NR10940--MA0599.1.KLF5	chr11	79660495	79660504	+	0.000	0.000	Merged-chr11-79660589-44
NR56910--MA1107.1.KLF9	chr7	64012060	64012072	-	0.000	0.000	Merged-chr7-64011985-78
NR19072--MA0741.1.KLF16	chr14	41013711	41013721	+	0.000	0.000	Merged-chr14-41013855-53
NR1127--MA0599.1.KLF5	chr1	75234770	75234779	+	0.000	0.000	Merged-chr1-75234858-28
NR66572--MA0740.1.KLF14	chr9	118512856	118512869	-	0.000	0.000	Merged-chr9-118512920-16
NR959--MA0741.1.KLF16	chr1	69331685	69331695	+	0.000	0.000	Merged-chr1-69331775-34
NR58763--MA1107.1.KLF9	chr7	125034713	125034725	-	0.000	0.000	Merged-chr7-125034795-1
NR11752--MA0741.1.KLF16	chr11	98786612	98786622	-	0.000	0.000	Merged-chr11-98786782-44
NR48049--MA0599.1.KLF5	chr5	73223277	73223286	+	0.000	0.000	Merged-chr5-73223278-33
NR6357--MA0599.1.KLF5	chr10	78087160	78087169	-	0.000	0.000	Merged-chr10-78086919-87
NR38439--MA0493.1.Klf1	chr3	9500017	9500027	-	0.000	0.000	Merged-chr3-9499976-58
NR64847--MA0741.1.KLF16	chr9	71592420	71592430	-	0.000	0.000	Merged-chr9-71592385-50
NR56280--MA0599.1.KLF5	chr7	35119050	35119059	-	0.000	0.000	Merged-chr7-35119008-87
NR62864--MA0740.1.KLF14	chr8	122769455	122769468	-	0.000	0.000	Merged-chr8-122769435-21
NR38689--MA1107.1.KLF9	chr3	31145840	31145852	+	0.000	0.000	Merged-chr3-31145985-42
NR22051--MA0741.1.KLF16	chr15	75921572	75921582	-	0.000	0.000	Merged-chr15-75921460-55
NR30198--MA0039.3.KLF4	chr18	66502012	66502022	-	0.000	0.000	Merged-chr18-66502099-22
NR32239--MA0039.3.KLF4	chr19	44582839	44582849	-	0.000	0.000	Merged-chr19-44582876-34
NR66604--MA0740.1.KLF14	chr9	118821827	118821840	-	0.000	0.000	Merged-chr9-118821695-53
NR30203--MA1107.1.KLF9	chr18	66502042	66502054	-	0.000	0.000	Merged-chr18-66502099-22
NR4503--MA1107.1.KLF9	chr1	191486768	191486780	-	0.000	0.000	Merged-chr1-191486758-12
NR29296--MA0039.3.KLF4	chr18	32311869	32311879	-	0.000	0.000	Merged-chr18-32311918-36
NR21840--MA0657.1.KLF13	chr15	66558934	66558951	+	0.000	0.000	Merged-chr15-66559012-25
NR38438--MA0039.3.KLF4	chr3	9500015	9500025	-	0.000	0.000	Merged-chr3-9499976-58
NR567--MA0742.1.Klf12	chr1	43766412	43766426	+	0.000	0.000	Merged-chr1-43766514-14
NR64452--MA1107.1.KLF9	chr9	61779365	61779377	+	0.000	0.000	Merged-chr9-61779248-32
NR25077--MA0599.1.KLF5	chr16	81200654	81200663	+	0.000	0.000	Merged-chr16-81200661-42
NR37296--MA0599.1.KLF5	chr2	160367182	160367191	-	0.000	0.000	Merged-chr2-160367322-62
NR23899--MA1107.1.KLF9	chr16	18733717	18733729	-	0.000	0.000	Merged-chr16-18733506-32
NR13302--MA0741.1.KLF16	chr12	24830838	24830848	-	0.000	0.000	Merged-chr12-24830940-1
NR4825--MA0741.1.KLF16	chr10	7212243	7212253	-	0.000	0.000	Merged-chr10-7212223-140
NR44500--MA0599.1.KLF5	chr4	120731132	120731141	-	0.000	0.000	Merged-chr4-120731377-66
NR51848--MA0741.1.KLF16	chr6	37564039	37564049	+	0.000	0.000	Merged-chr6-37564158-19
NR21210--MA0741.1.KLF16	chr15	25269710	25269720	-	0.000	0.000	Merged-chr15-25269773-79
NR18750--MA0493.1.Klf1	chr14	21032458	21032468	+	0.000	0.000	Merged-chr14-21032326-46
NR2691--MA0493.1.Klf1	chr1	151125220	151125230	+	0.000	0.000	Merged-chr1-151125310-30
NR58759--MA1107.1.KLF9	chr7	125034705	125034717	-	0.000	0.000	Merged-chr7-125034795-1
NR36011--MA0741.1.KLF16	chr2	122765317	122765327	+	0.000	0.000	Merged-chr2-122765389-48
NR64318--MA1107.1.KLF9	chr9	58112347	58112359	-	0.000	0.000	Merged-chr9-58112486-25
NR5630--MA0599.1.KLF5	chr10	58480174	58480183	-	0.000	0.000	Merged-chr10-58480234-23
NR21837--MA0599.1.KLF5	chr15	66286837	66286846	-	0.000	0.000	Merged-chr15-66286791-54
NR2484--MA0657.1.KLF13	chr1	139423047	139423064	+	0.000	0.000	Merged-chr1-139423119-2
NR65029--MA0740.1.KLF14	chr9	77456718	77456731	+	0.000	0.000	Merged-chr9-77456588-28
NR13306--MA0599.1.KLF5	chr12	24831437	24831446	-	0.000	0.000	Merged-chr12-24831521-84
NR16140--MA1107.1.KLF9	chr13	41484150	41484162	-	0.000	0.000	Merged-chr13-41484194-27
NR61058--MA0493.1.Klf1	chr8	70619110	70619120	+	0.000	0.000	Merged-chr8-70619084-21
NR54297--MA0740.1.KLF14	chr6	134183957	134183970	+	0.000	0.000	Merged-chr6-134184108-53
NR59177--MA0039.3.KLF4	chr7	130903723	130903733	+	0.000	0.000	Merged-chr7-130903775-21
NR41234--MA1107.1.KLF9	chr3	135579479	135579491	-	0.000	0.000	Merged-chr3-135579457-44
NR21724--MA1107.1.KLF9	chr15	59019022	59019034	+	0.000	0.000	Merged-chr15-59019141-20
NR63372--MA0493.1.Klf1	chr9	14903773	14903783	+	0.000	0.000	Merged-chr9-14903910-62
NR33234--MA0740.1.KLF14	chr2	18984639	18984652	-	0.000	0.000	Merged-chr2-18984447-62
NR31554--MA0599.1.KLF5	chr19	16373324	16373333	+	0.000	0.000	Merged-chr19-16373273-16
NR27811--MA1107.1.KLF9	chr17	56425191	56425203	-	0.000	0.000	Merged-chr17-56425045-2
NR37856--MA0599.1.KLF5	chr2	168742134	168742143	+	0.000	0.000	Merged-chr2-168742095-110
NR7178--MA0740.1.KLF14	chr10	90969595	90969608	-	0.000	0.000	Merged-chr10-90969735-47
NR46125--MA0599.1.KLF5	chr4	148444819	148444828	-	0.000	0.000	Merged-chr4-148444677-50
NR4096--MA1107.1.KLF9	chr1	184197437	184197449	-	0.000	0.000	Merged-chr1-184197455-33
NR59495--MA0741.1.KLF16	chr7	139914592	139914602	-	0.000	0.000	Merged-chr7-139914511-29
NR30124--MA0599.1.KLF5	chr18	65322465	65322474	-	0.000	0.000	Merged-chr18-65322333-46
NR51932--MA0493.1.Klf1	chr6	41177284	41177294	+	0.000	0.000	Merged-chr6-41177322-23
NR65999--MA1107.1.KLF9	chr9	107719431	107719443	+	0.000	0.000	Merged-chr9-107719377-27
NR42937--MA0741.1.KLF16	chr4	45799004	45799014	-	0.000	0.000	Merged-chr4-45799180-54
NR66182--MA0741.1.KLF16	chr9	111439061	111439071	-	0.000	0.000	Merged-chr9-111439119-15
NR34018--MA0599.1.KLF5	chr2	37765371	37765380	-	0.000	0.000	Merged-chr2-37765232-35
NR60510--MA0740.1.KLF14	chr8	36249516	36249529	+	0.000	0.000	Merged-chr8-36249558-6
NR12900--MA1107.1.KLF9	chr11	120631070	120631082	-	0.000	0.000	Merged-chr11-120630995-1
NR56048--MA0599.1.KLF5	chr7	28982761	28982770	-	0.000	0.000	Merged-chr7-28982424-141
NR5809--MA0493.1.Klf1	chr10	61559992	61560002	-	0.000	0.000	Merged-chr10-61559785-43
NR43728--MA0493.1.Klf1	chr4	88912398	88912408	-	0.000	0.000	Merged-chr4-88912378-27
NR35466--MA0599.1.KLF5	chr2	103668281	103668290	-	0.000	0.000	Merged-chr2-103668249-32
NR14212--MA0740.1.KLF14	chr12	82166461	82166474	-	0.000	0.000	Merged-chr12-82166286-58
NR63806--MA1107.1.KLF9	chr9	37236214	37236226	-	0.000	0.000	Merged-chr9-37236124-32
NR13422--MA0493.1.Klf1	chr12	32999958	32999968	-	0.000	0.000	Merged-chr12-32999849-21
NR25672--MA0741.1.KLF16	chr17	4996597	4996607	-	0.000	0.000	Merged-chr17-4996525-2
NR28063--MA0741.1.KLF16	chr17	65884522	65884532	+	0.000	0.000	Merged-chr17-65884407-1
NR33058--MA0599.1.KLF5	chr2	9986365	9986374	-	0.000	0.000	Merged-chr2-9986324-23
NR41206--MA0741.1.KLF16	chr3	135307624	135307634	+	0.000	0.000	Merged-chr3-135307763-66
NR44312--MA0741.1.KLF16	chr4	116463588	116463598	+	0.000	0.000	Merged-chr4-116463622-3
