#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Bcl6/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval0.3-log2fc0.5_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval0.3-log2fc0.5_dn.bed
NR1056--MA0463.1.Bcl6	chr19	10980044	10980057	+	0.000	0.000	Merged-chr19-10979908-59
NR1844--MA0463.1.Bcl6	chr6	88939542	88939555	+	0.000	0.000	Merged-chr6-88939617-36
NR1048--MA0731.1.BCL6B	chr19	5273246	5273262	-	0.000	0.000	Merged-chr19-5273188-67
NR1894--MA0463.1.Bcl6	chr6	127103099	127103112	+	0.000	0.000	Merged-chr6-127103000-20
NR868--MA0463.1.Bcl6	chr16	52468700	52468713	+	0.000	0.000	Merged-chr16-52468577-24
NR407--MA0463.1.Bcl6	chr11	109758841	109758854	+	0.000	0.000	Merged-chr11-109758787-36
NR1801--MA0463.1.Bcl6	chr6	38360235	38360248	-	0.000	0.000	Merged-chr6-38360325-47
NR2215--MA0463.1.Bcl6	chr9	14244617	14244630	-	0.000	0.000	Merged-chr9-14244719-42
NR1088--MA0731.1.BCL6B	chr2	3753874	3753890	-	0.000	0.000	Merged-chr2-3753899-45
NR706--MA0731.1.BCL6B	chr14	73290157	73290173	+	0.000	0.000	Merged-chr14-73290096-39
NR914--MA0463.1.Bcl6	chr17	12165427	12165440	+	0.000	0.000	Merged-chr17-12165459-54
NR950--MA0463.1.Bcl6	chr17	57126000	57126013	-	0.000	0.000	Merged-chr17-57126152-41
NR149--MA0463.1.Bcl6	chr1	160054533	160054546	+	0.000	0.000	Merged-chr1-160054348-51
NR1968--MA0463.1.Bcl6	chr7	38090191	38090204	-	0.000	0.000	Merged-chr7-38090413-30
NR1874--MA0463.1.Bcl6	chr6	115946797	115946810	+	0.000	0.000	Merged-chr6-115946621-13
NR2180--MA0731.1.BCL6B	chr8	107503458	107503474	-	0.000	0.000	Merged-chr8-107503641-5
NR2116--MA0731.1.BCL6B	chr8	25264248	25264264	-	0.000	0.000	Merged-chr8-25264436-22
NR2096--MA0463.1.Bcl6	chr7	140193006	140193019	-	0.000	0.000	Merged-chr7-140193008-50
NR1333--MA0463.1.Bcl6	chr3	79210354	79210367	+	0.000	0.000	Merged-chr3-79210417-27
NR1997--MA0731.1.BCL6B	chr7	74697100	74697116	+	0.000	0.000	Merged-chr7-74696900-78
NR2313--MA0731.1.BCL6B	chr9	122150686	122150702	-	0.000	0.000	Merged-chr9-122150542-33
NR2213--MA0463.1.Bcl6	chr9	13323629	13323642	+	0.000	0.000	Merged-chr9-13323532-71
NR1813--MA0463.1.Bcl6	chr6	54925914	54925927	+	0.000	0.000	Merged-chr6-54926058-40
NR2227--MA0463.1.Bcl6	chr9	32915849	32915862	+	0.000	0.000	Merged-chr9-32915809-45
NR375--MA0463.1.Bcl6	chr11	72961951	72961964	+	0.000	0.000	Merged-chr11-72961970-1
NR1270--MA0731.1.BCL6B	chr2	167975579	167975595	+	0.000	0.000	Merged-chr2-167975780-28
NR2047--MA0731.1.BCL6B	chr7	112210214	112210230	+	0.000	0.000	Merged-chr7-112210103-38
NR308--MA0731.1.BCL6B	chr10	111478964	111478980	-	0.000	0.000	Merged-chr10-111478939-8
NR2005--MA0731.1.BCL6B	chr7	84164954	84164970	+	0.000	0.000	Merged-chr7-84165071-54
NR970--MA0731.1.BCL6B	chr17	86832839	86832855	-	0.000	0.000	Merged-chr17-86833009-31
NR2197--MA0463.1.Bcl6	chr8	122556837	122556850	-	0.000	0.000	Merged-chr8-122556749-52
NR1649--MA0463.1.Bcl6	chr5	35778815	35778828	+	0.000	0.000	Merged-chr5-35778657-11
NR1309--MA0463.1.Bcl6	chr3	38497052	38497065	-	0.000	0.000	Merged-chr3-38497155-35
NR2202--MA0463.1.Bcl6	chr8	126848548	126848561	-	0.000	0.000	Merged-chr8-126848736-3
NR668--MA0463.1.Bcl6	chr14	55025778	55025791	+	0.000	0.000	Merged-chr14-55025661-27
NR1014--MA0463.1.Bcl6	chr18	67290582	67290595	+	0.000	0.000	Merged-chr18-67290612-3
NR1932--MA0463.1.Bcl6	chr6	145104353	145104366	-	0.000	0.000	Merged-chr6-145104452-21
NR1377--MA0463.1.Bcl6	chr3	108718084	108718097	+	0.000	0.000	Merged-chr3-108718262-42
NR1180--MA0463.1.Bcl6	chr2	79005096	79005109	+	0.000	0.000	Merged-chr2-79004997-23
NR1294--MA0731.1.BCL6B	chr3	9786798	9786814	-	0.000	0.000	Merged-chr3-9786855-28
NR154--MA0463.1.Bcl6	chr1	162565200	162565213	-	0.000	0.000	Merged-chr1-162565187-22
NR492--MA0731.1.BCL6B	chr12	94115005	94115021	-	0.000	0.000	Merged-chr12-94114920-18
NR1828--MA0731.1.BCL6B	chr6	67127941	67127957	+	0.000	0.000	Merged-chr6-67128007-16
NR885--MA0731.1.BCL6B	chr16	76323590	76323606	-	0.000	0.000	Merged-chr16-76323771-64
NR401--MA0463.1.Bcl6	chr11	104630448	104630461	-	0.000	0.000	Merged-chr11-104630373-60
NR1013--MA0731.1.BCL6B	chr18	65395665	65395681	-	0.000	0.000	Merged-chr18-65395765-31
NR2097--MA0463.1.Bcl6	chr7	141302903	141302916	-	0.000	0.000	Merged-chr7-141303065-41
NR986--MA0731.1.BCL6B	chr18	32880671	32880687	+	0.000	0.000	Merged-chr18-32880667-46
NR1692--MA0463.1.Bcl6	chr5	92624742	92624755	+	0.000	0.000	Merged-chr5-92624653-16
NR1074--MA0731.1.BCL6B	chr19	40300154	40300170	+	0.000	0.000	Merged-chr19-40300210-18
NR353--MA0463.1.Bcl6	chr11	52231872	52231885	-	0.000	0.000	Merged-chr11-52232101-58
NR600--MA0463.1.Bcl6	chr13	91093828	91093841	+	0.000	0.000	Merged-chr13-91094050-92
NR2161--MA0463.1.Bcl6	chr8	88294090	88294103	+	0.000	0.000	Merged-chr8-88293881-56
NR1761--MA0463.1.Bcl6	chr5	144040910	144040923	-	0.000	0.000	Merged-chr5-144040932-23
NR404--MA0463.1.Bcl6	chr11	106536328	106536341	+	0.000	0.000	Merged-chr11-106536245-61
NR1211--MA0463.1.Bcl6	chr2	117374347	117374360	-	0.000	0.000	Merged-chr2-117374468-47
NR767--MA0463.1.Bcl6	chr15	38284095	38284108	+	0.000	0.000	Merged-chr15-38283996-39
NR1668--MA0463.1.Bcl6	chr5	65867465	65867478	+	0.000	0.000	Merged-chr5-65867573-52
NR615--MA0731.1.BCL6B	chr13	106998766	106998782	-	0.000	0.000	Merged-chr13-106998870-40
NR383--MA0463.1.Bcl6	chr11	79698485	79698498	+	0.000	0.000	Merged-chr11-79698290-25
NR934--MA0463.1.Bcl6	chr17	32424202	32424215	-	0.000	0.000	Merged-chr17-32424197-48
NR2191--MA0463.1.Bcl6	chr8	120702038	120702051	+	0.000	0.000	Merged-chr8-120702084-56
NR1867--MA0463.1.Bcl6	chr6	108318376	108318389	-	0.000	0.000	Merged-chr6-108318445-25
NR1091--MA0731.1.BCL6B	chr2	5704949	5704965	-	0.000	0.000	Merged-chr2-5704821-18
NR1312--MA0463.1.Bcl6	chr3	52732081	52732094	-	0.000	0.000	Merged-chr3-52732187-17
NR416--MA0463.1.Bcl6	chr11	118035409	118035422	+	0.000	0.000	Merged-chr11-118035350-21
NR2098--MA0463.1.Bcl6	chr7	142435488	142435501	+	0.000	0.000	Merged-chr7-142435660-33
NR1559--MA0463.1.Bcl6	chr4	119127468	119127481	-	0.000	0.000	Merged-chr4-119127359-48
NR1572--MA0731.1.BCL6B	chr4	123577646	123577662	+	0.000	0.000	Merged-chr4-123577716-54
NR810--MA0731.1.BCL6B	chr15	100443703	100443719	-	0.000	0.000	Merged-chr15-100443625-43
NR2309--MA0463.1.Bcl6	chr9	117910900	117910913	-	0.000	0.000	Merged-chr9-117910970-21
NR2260--MA0463.1.Bcl6	chr9	78074163	78074176	-	0.000	0.000	Merged-chr9-78074095-46
NR1269--MA0463.1.Bcl6	chr2	167975579	167975592	-	0.000	0.000	Merged-chr2-167975780-28
NR928--MA0463.1.Bcl6	chr17	29304584	29304597	-	0.000	0.000	Merged-chr17-29304449-24
NR1090--MA0463.1.Bcl6	chr2	5704952	5704965	+	0.000	0.000	Merged-chr2-5704821-18
NR1059--MA0463.1.Bcl6	chr19	14668773	14668786	-	0.000	0.000	Merged-chr19-14668781-26
NR2046--MA0463.1.Bcl6	chr7	112210214	112210227	-	0.000	0.000	Merged-chr7-112210103-38
NR1477--MA0463.1.Bcl6	chr4	43972343	43972356	-	0.000	0.000	Merged-chr4-43972345-49
NR227--MA0463.1.Bcl6	chr10	26521073	26521086	-	0.000	0.000	Merged-chr10-26521176-55
NR1227--MA0731.1.BCL6B	chr2	127086495	127086511	-	0.000	0.000	Merged-chr2-127086449-24
NR969--MA0731.1.BCL6B	chr17	86506945	86506961	-	0.000	0.000	Merged-chr17-86507070-1
NR2156--MA0463.1.Bcl6	chr8	85060065	85060078	-	0.000	0.000	Merged-chr8-85060180-46
NR183--MA0463.1.Bcl6	chr1	177457120	177457133	+	0.000	0.000	Merged-chr1-177456987-38
NR707--MA0463.1.Bcl6	chr14	74835050	74835063	-	0.000	0.000	Merged-chr14-74835162-39
NR971--MA0463.1.Bcl6	chr17	86904207	86904220	+	0.000	0.000	Merged-chr17-86904097-54
NR837--MA0463.1.Bcl6	chr16	23300303	23300316	+	0.000	0.000	Merged-chr16-23300229-19
NR1756--MA0463.1.Bcl6	chr5	138155798	138155811	-	0.000	0.000	Merged-chr5-138155756-50
NR985--MA0463.1.Bcl6	chr18	32880671	32880684	-	0.000	0.000	Merged-chr18-32880667-46
NR1015--MA0731.1.BCL6B	chr18	67290579	67290595	-	0.000	0.000	Merged-chr18-67290612-3
NR2276--MA0731.1.BCL6B	chr9	95858479	95858495	+	0.000	0.000	Merged-chr9-95858420-14
NR1825--MA0463.1.Bcl6	chr6	65573452	65573465	+	0.000	0.000	Merged-chr6-65573561-44
NR929--MA0463.1.Bcl6	chr17	29500923	29500936	+	0.000	0.000	Merged-chr17-29500871-30
NR177--MA0463.1.Bcl6	chr1	171939422	171939435	-	0.000	0.000	Merged-chr1-171939454-57
NR2234--MA0731.1.BCL6B	chr9	46067768	46067784	+	0.000	0.000	Merged-chr9-46067902-17
NR388--MA0731.1.BCL6B	chr11	87967898	87967914	+	0.000	0.000	Merged-chr11-87968039-56
NR746--MA0463.1.Bcl6	chr14	121478475	121478488	-	0.000	0.000	Merged-chr14-121478313-77
NR1307--MA0463.1.Bcl6	chr3	37605793	37605806	-	0.000	0.000	Merged-chr3-37605967-27
NR782--MA0463.1.Bcl6	chr15	58655187	58655200	+	0.000	0.000	Merged-chr15-58655104-54
NR899--MA0463.1.Bcl6	chr16	92767833	92767846	+	0.000	0.000	Merged-chr16-92767826-70
NR1693--MA0731.1.BCL6B	chr5	92624739	92624755	-	0.000	0.000	Merged-chr5-92624653-16
NR2232--MA0463.1.Bcl6	chr9	43784807	43784820	+	0.000	0.000	Merged-chr9-43784994-20
