#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Lef1/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval0.3-log2fc0.5_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval0.3-log2fc0.5_dn.bed
NR2448--MA0768.1.LEF1	chr7	135605122	135605136	+	0.000	0.000	Merged-chr7-135605308-40
NR802--MA0768.1.LEF1	chr14	59087406	59087420	+	0.000	0.000	Merged-chr14-59087274-14
NR2073--MA0768.1.LEF1	chr5	100526268	100526282	-	0.000	0.000	Merged-chr5-100526478-48
NR969--MA0768.1.LEF1	chr15	99643925	99643939	-	0.000	0.000	Merged-chr15-99643998-26
NR1888--MA0768.1.LEF1	chr4	88010644	88010658	-	0.000	0.000	Merged-chr4-88010715-29
NR352--MA0768.1.LEF1	chr10	118096407	118096421	-	0.000	0.000	Merged-chr10-118096400-51
NR469--MA0768.1.LEF1	chr12	8638655	8638669	-	0.000	0.000	Merged-chr12-8638718-65
NR254--MA0768.1.LEF1	chr10	44821970	44821984	-	0.000	0.000	Merged-chr10-44821803-43
NR814--MA0768.1.LEF1	chr14	70283893	70283907	+	0.000	0.000	Merged-chr14-70283811-50
NR828--MA0768.1.LEF1	chr14	78687933	78687947	-	0.000	0.000	Merged-chr14-78687892-42
NR1550--MA0768.1.LEF1	chr2	127923292	127923306	-	0.000	0.000	Merged-chr2-127923410-36
NR524--MA0768.1.LEF1	chr12	71933273	71933287	+	0.000	0.000	Merged-chr12-71933079-55
NR1340--MA0768.1.LEF1	chr19	40665894	40665908	-	0.000	0.000	Merged-chr19-40666029-20
NR1032--MA0768.1.LEF1	chr16	49772876	49772890	+	0.000	0.000	Merged-chr16-49772867-33
NR252--MA0768.1.LEF1	chr10	44700354	44700368	-	0.000	0.000	Merged-chr10-44700385-25
NR2695--MA0768.1.LEF1	chr9	108146578	108146592	-	0.000	0.000	Merged-chr9-108146589-26
NR364--MA0768.1.LEF1	chr10	127225942	127225956	-	0.000	0.000	Merged-chr10-127225928-35
NR378--MA0768.1.LEF1	chr11	5506082	5506096	+	0.000	0.000	Merged-chr11-5506116-24
NR1736--MA0768.1.LEF1	chr3	108795852	108795866	+	0.000	0.000	Merged-chr3-108796070-78
NR415--MA0768.1.LEF1	chr11	73094444	73094458	+	0.000	0.000	Merged-chr11-73094317-1
NR2308--MA0768.1.LEF1	chr6	142752584	142752598	+	0.000	0.000	Merged-chr6-142752635-30
NR1903--MA0768.1.LEF1	chr4	101176525	101176539	+	0.000	0.000	Merged-chr4-101176356-14
NR241--MA0768.1.LEF1	chr10	28564335	28564349	-	0.000	0.000	Merged-chr10-28564478-17
NR1962--MA0768.1.LEF1	chr4	149515888	149515902	+	0.000	0.000	Merged-chr4-149515822-34
NR157--MA0768.1.LEF1	chr1	160054590	160054604	+	0.000	0.000	Merged-chr1-160054348-51
NR1403--MA0768.1.LEF1	chr2	35412341	35412355	-	0.000	0.000	Merged-chr2-35412302-68
NR1305--MA0768.1.LEF1	chr19	10698522	10698536	-	0.000	0.000	Merged-chr19-10698600-31
NR5--MA0768.1.LEF1	chr1	13559596	13559610	+	0.000	0.000	Merged-chr1-13559747-54
NR1001--MA0768.1.LEF1	chr16	29978013	29978027	+	0.000	0.000	Merged-chr16-29977874-22
NR230--MA0768.1.LEF1	chr10	19504574	19504588	+	0.000	0.000	Merged-chr10-19504569-39
NR463--MA0768.1.LEF1	chr11	117848737	117848751	-	0.000	0.000	Merged-chr11-117848914-89
NR132--MA0768.1.LEF1	chr1	143466098	143466112	+	0.000	0.000	Merged-chr1-143466091-51
NR477--MA0768.1.LEF1	chr12	21472605	21472619	-	0.000	0.000	Merged-chr12-21472738-21
NR1853--MA0768.1.LEF1	chr4	46618319	46618333	+	0.000	0.000	Merged-chr4-46618486-40
NR957--MA0768.1.LEF1	chr15	85832481	85832495	+	0.000	0.000	Merged-chr15-85832285-49
NR1102--MA0768.1.LEF1	chr17	12727941	12727955	+	0.000	0.000	Merged-chr17-12727995-27
NR1693--MA0768.1.LEF1	chr3	79239389	79239403	+	0.000	0.000	Merged-chr3-79239225-51
NR2210--MA0768.1.LEF1	chr6	82744605	82744619	+	0.000	0.000	Merged-chr6-82744737-54
NR1009--MA0768.1.LEF1	chr16	33053356	33053370	-	0.000	0.000	Merged-chr16-33053250-22
NR2345--MA0768.1.LEF1	chr7	38090201	38090215	+	0.000	0.000	Merged-chr7-38090413-30
NR2242--MA0768.1.LEF1	chr6	100841657	100841671	-	0.000	0.000	Merged-chr6-100841733-15
NR1095--MA0768.1.LEF1	chr17	6861910	6861924	-	0.000	0.000	Merged-chr17-6861769-90
NR2512--MA0768.1.LEF1	chr8	72291253	72291267	+	0.000	0.000	Merged-chr8-72291225-23
NR441--MA0768.1.LEF1	chr11	102408715	102408729	+	0.000	0.000	Merged-chr11-102408513-28
NR1669--MA0768.1.LEF1	chr3	60469294	60469308	-	0.000	0.000	Merged-chr3-60469129-75
NR446--MA0768.1.LEF1	chr11	109495865	109495879	+	0.000	0.000	Merged-chr11-109495747-14
NR935--MA0768.1.LEF1	chr15	66825623	66825637	+	0.000	0.000	Merged-chr15-66825502-98
NR286--MA0768.1.LEF1	chr10	70181036	70181050	-	0.000	0.000	Merged-chr10-70181073-91
NR2533--MA0768.1.LEF1	chr8	88771555	88771569	-	0.000	0.000	Merged-chr8-88771445-24
NR896--MA0768.1.LEF1	chr15	31440134	31440148	-	0.000	0.000	Merged-chr15-31440136-19
NR1238--MA0768.1.LEF1	chr18	56447167	56447181	+	0.000	0.000	Merged-chr18-56447278-50
NR1256--MA0768.1.LEF1	chr18	66453474	66453488	-	0.000	0.000	Merged-chr18-66453430-39
NR467--MA0768.1.LEF1	chr12	3791934	3791948	-	0.000	0.000	Merged-chr12-3791945-40
NR1941--MA0768.1.LEF1	chr4	138089686	138089700	+	0.000	0.000	Merged-chr4-138089649-31
NR2458--MA0768.1.LEF1	chr7	140947310	140947324	-	0.000	0.000	Merged-chr7-140947277-49
NR1745--MA0768.1.LEF1	chr3	116652211	116652225	+	0.000	0.000	Merged-chr3-116652176-28
NR2719--MA0768.1.LEF1	chr9	121286004	121286018	-	0.000	0.000	Merged-chr9-121286095-53
NR670--MA0768.1.LEF1	chr13	73737017	73737031	-	0.000	0.000	Merged-chr13-73737138-53
NR460--MA0768.1.LEF1	chr11	115813916	115813930	+	0.000	0.000	Merged-chr11-115814180-82
NR2107--MA0768.1.LEF1	chr5	124034877	124034891	+	0.000	0.000	Merged-chr5-124034642-47
NR2143--MA0768.1.LEF1	chr6	5147853	5147867	+	0.000	0.000	Merged-chr6-5148035-17
NR1277--MA0768.1.LEF1	chr18	75392385	75392399	+	0.000	0.000	Merged-chr18-75392555-48
NR918--MA0768.1.LEF1	chr15	52753837	52753851	+	0.000	0.000	Merged-chr15-52753697-52
NR1725--MA0768.1.LEF1	chr3	101224537	101224551	-	0.000	0.000	Merged-chr3-101224387-31
NR184--MA0768.1.LEF1	chr1	180390378	180390392	-	0.000	0.000	Merged-chr1-180390562-55
NR2730--MA0768.1.LEF1	chrX	20772011	20772025	-	0.000	0.000	Merged-chrX-20771944-57
NR1873--MA0768.1.LEF1	chr4	59214806	59214820	-	0.000	0.000	Merged-chr4-59214886-25
