#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Lef1/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_dn.bed
NR1240--MA0768.1.LEF1	chr5	100916678	100916692	-	0.000	0.000	Merged-chr5-100916697-39
NR1008--MA0768.1.LEF1	chr3	101056903	101056917	-	0.000	0.000	Merged-chr3-101056914-14
NR981--MA0768.1.LEF1	chr3	58657483	58657497	-	0.000	0.000	Merged-chr3-58657591-17
NR1113--MA0768.1.LEF1	chr4	89169075	89169089	-	0.000	0.000	Merged-chr4-89169046-30
NR1312--MA0768.1.LEF1	chr6	84617253	84617267	-	0.000	0.000	Merged-chr6-84617241-46
NR890--MA0768.1.LEF1	chr2	93746805	93746819	+	0.000	0.000	Merged-chr2-93746545-75
NR1205--MA0768.1.LEF1	chr5	58084163	58084177	-	0.000	0.000	Merged-chr5-58084122-29
NR680--MA0768.1.LEF1	chr16	97402538	97402552	-	0.000	0.000	Merged-chr16-97402543-6
NR322--MA0768.1.LEF1	chr12	17726666	17726680	-	0.000	0.000	Merged-chr12-17726607-38
NR797--MA0768.1.LEF1	chr19	9044555	9044569	-	0.000	0.000	Merged-chr19-9044473-28
NR336--MA0768.1.LEF1	chr12	55366685	55366699	-	0.000	0.000	Merged-chr12-55366796-37
NR484--MA0768.1.LEF1	chr13	108763548	108763562	-	0.000	0.000	Merged-chr13-108763497-25
NR941--MA0768.1.LEF1	chr2	147876585	147876599	+	0.000	0.000	Merged-chr2-147876682-1
NR292--MA0768.1.LEF1	chr11	101661867	101661881	+	0.000	0.000	Merged-chr11-101661964-4
NR601--MA0768.1.LEF1	chr15	82188126	82188140	-	0.000	0.000	Merged-chr15-82188110-14
NR1502--MA0768.1.LEF1	chr8	56443914	56443928	-	0.000	0.000	Merged-chr8-56443904-53
NR615--MA0768.1.LEF1	chr15	94255220	94255234	-	0.000	0.000	Merged-chr15-94255177-46
NR231--MA0768.1.LEF1	chr11	11498083	11498097	-	0.000	0.000	Merged-chr11-11498094-24
NR1244--MA0768.1.LEF1	chr5	105198257	105198271	+	0.000	0.000	Merged-chr5-105198197-37
NR1052--MA0768.1.LEF1	chr3	136043794	136043808	-	0.000	0.000	Merged-chr3-136043895-1
NR1644--MA0768.1.LEF1	chr9	118285715	118285729	-	0.000	0.000	Merged-chr9-118285683-37
NR896--MA0768.1.LEF1	chr2	101616180	101616194	+	0.000	0.000	Merged-chr2-101616143-32
NR332--MA0768.1.LEF1	chr12	41167986	41168000	-	0.000	0.000	Merged-chr12-41167989-46
NR1448--MA0768.1.LEF1	chr7	109265814	109265828	-	0.000	0.000	Merged-chr7-109265818-41
NR1233--MA0768.1.LEF1	chr5	97090319	97090333	+	0.000	0.000	Merged-chr5-97090318-20
NR579--MA0768.1.LEF1	chr15	53115572	53115586	+	0.000	0.000	Merged-chr15-53115661-46
NR1503--MA0768.1.LEF1	chr8	56443929	56443943	-	0.000	0.000	Merged-chr8-56443904-53
NR634--MA0768.1.LEF1	chr16	25587907	25587921	-	0.000	0.000	Merged-chr16-25587871-42
NR979--MA0768.1.LEF1	chr3	58517225	58517239	+	0.000	0.000	Merged-chr3-58517381-43
NR769--MA0768.1.LEF1	chr18	66528875	66528889	+	0.000	0.000	Merged-chr18-66528856-1
NR1209--MA0768.1.LEF1	chr5	64662514	64662528	-	0.000	0.000	Merged-chr5-64662440-49
NR1259--MA0768.1.LEF1	chr5	140871435	140871449	-	0.000	0.000	Merged-chr5-140871418-38
NR1398--MA0768.1.LEF1	chr7	35140123	35140137	+	0.000	0.000	Merged-chr7-35140267-30
NR1067--MA0768.1.LEF1	chr3	146192739	146192753	-	0.000	0.000	Merged-chr3-146192596-55
