#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval0.3-log2fc0.5_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval0.3-log2fc0.5_up.bed
NR7455--MA0117.2.Mafb	chr2	3753940	3753951	+	0.000	0.000	Merged-chr2-3753899-45
NR12478--MA0089.1.MAFG::NFE2L1	chr6	144804582	144804587	-	0.000	0.000	Merged-chr6-144804553-29
NR7644--MA0089.1.MAFG::NFE2L1	chr2	38536477	38536482	+	0.000	0.000	Merged-chr2-38536477-82
NR11891--MA0591.1.Bach1::Mafk	chr6	81940100	81940114	+	0.000	0.000	Merged-chr6-81939929-17
NR6061--MA0659.1.MAFG	chr16	94660247	94660267	+	0.000	0.000	Merged-chr16-94660460-20
NR2485--MA0117.2.Mafb	chr11	67563354	67563365	+	0.000	0.000	Merged-chr11-67563339-33
NR5054--MA0496.2.MAFK	chr15	10723726	10723744	-	0.000	0.000	Merged-chr15-10723648-41
NR11170--MA0117.2.Mafb	chr5	105306180	105306191	+	0.000	0.000	Merged-chr5-105306151-101
NR6941--MA0501.1.MAF::NFE2	chr18	67290660	67290674	-	0.000	0.000	Merged-chr18-67290612-3
NR11836--MA0089.1.MAFG::NFE2L1	chr6	67489080	67489085	-	0.000	0.000	Merged-chr6-67488899-31
NR5650--MA0495.2.MAFF	chr16	33769914	33769934	+	0.000	0.000	Merged-chr16-33769896-51
NR10092--MA0495.2.MAFF	chr4	89351107	89351127	+	0.000	0.000	Merged-chr4-89351221-94
NR9839--MA0501.1.MAF::NFE2	chr4	32405326	32405340	-	0.000	0.000	Merged-chr4-32405236-4
NR8984--MA0501.1.MAF::NFE2	chr3	60469319	60469333	+	0.000	0.000	Merged-chr3-60469129-75
NR706--MA0089.1.MAFG::NFE2L1	chr1	131003551	131003556	-	0.000	0.000	Merged-chr1-131003466-39
NR13604--MA0089.1.MAFG::NFE2L1	chr8	71587200	71587205	-	0.000	0.000	Merged-chr8-71587200-14
NR7668--MA0089.1.MAFG::NFE2L1	chr2	45017352	45017357	+	0.000	0.000	Merged-chr2-45017480-33
NR13616--MA0501.1.MAF::NFE2	chr8	72285427	72285441	-	0.000	0.000	Merged-chr8-72285397-19
NR6711--MA0089.1.MAFG::NFE2L1	chr18	23828700	23828705	-	0.000	0.000	Merged-chr18-23828715-22
NR11169--MA0495.2.MAFF	chr5	105306180	105306200	-	0.000	0.000	Merged-chr5-105306151-101
NR12185--MA0089.1.MAFG::NFE2L1	chr6	119522086	119522091	+	0.000	0.000	Merged-chr6-119522115-45
NR8280--MA0089.1.MAFG::NFE2L1	chr2	128380833	128380838	+	0.000	0.000	Merged-chr2-128380717-35
NR1372--MA0501.1.MAF::NFE2	chr10	20104741	20104755	+	0.000	0.000	Merged-chr10-20104701-24
NR1506--MA0495.2.MAFF	chr10	44434865	44434885	-	0.000	0.000	Merged-chr10-44434814-22
NR2536--MA0501.1.MAF::NFE2	chr11	75460527	75460541	-	0.000	0.000	Merged-chr11-75460430-27
NR5885--MA0117.2.Mafb	chr16	70365362	70365373	+	0.000	0.000	Merged-chr16-70365429-20
NR7382--MA0496.2.MAFK	chr19	53800798	53800816	+	0.000	0.000	Merged-chr19-53800770-48
NR6939--MA0089.1.MAFG::NFE2L1	chr18	67280591	67280596	-	0.000	0.000	Merged-chr18-67280643-55
NR5420--MA0591.1.Bach1::Mafk	chr15	96520621	96520635	-	0.000	0.000	Merged-chr15-96520737-46
NR1996--MA0659.1.MAFG	chr10	117975555	117975575	+	0.000	0.000	Merged-chr10-117975710-27
NR12186--MA0501.1.MAF::NFE2	chr6	119522087	119522101	+	0.000	0.000	Merged-chr6-119522115-45
NR6064--MA0496.2.MAFK	chr16	94660248	94660266	+	0.000	0.000	Merged-chr16-94660460-20
NR11875--MA0501.1.MAF::NFE2	chr6	72659946	72659960	+	0.000	0.000	Merged-chr6-72660096-30
NR1622--MA0496.2.MAFK	chr10	63175223	63175241	-	0.000	0.000	Merged-chr10-63175316-22
NR8595--MA0089.1.MAFG::NFE2L1	chr2	164081815	164081820	-	0.000	0.000	Merged-chr2-164081803-8
NR13270--MA0117.2.Mafb	chr7	135605460	135605471	-	0.000	0.000	Merged-chr7-135605308-40
NR1488--MA0089.1.MAFG::NFE2L1	chr10	41615598	41615603	+	0.000	0.000	Merged-chr10-41615681-31
NR2231--MA0591.1.Bach1::Mafk	chr11	20565263	20565277	+	0.000	0.000	Merged-chr11-20565128-32
NR2553--MA0591.1.Bach1::Mafk	chr11	79132271	79132285	+	0.000	0.000	Merged-chr11-79132078-52
NR2508--MA0591.1.Bach1::Mafk	chr11	71230852	71230866	+	0.000	0.000	Merged-chr11-71230864-28
NR10223--MA0089.1.MAFG::NFE2L1	chr4	106938880	106938885	-	0.000	0.000	Merged-chr4-106939018-9
NR5102--MA0117.2.Mafb	chr15	34389262	34389273	+	0.000	0.000	Merged-chr15-34389092-27
NR13981--MA0591.1.Bach1::Mafk	chr8	120702288	120702302	-	0.000	0.000	Merged-chr8-120702084-56
NR8418--MA0591.1.Bach1::Mafk	chr2	146062481	146062495	-	0.000	0.000	Merged-chr2-146062523-26
NR13755--MA0501.1.MAF::NFE2	chr8	88151167	88151181	-	0.000	0.000	Merged-chr8-88151137-23
NR4597--MA0495.2.MAFF	chr14	54168970	54168990	-	0.000	0.000	Merged-chr14-54168999-35
NR11621--MA0496.2.MAFK	chr6	29827424	29827442	+	0.000	0.000	Merged-chr6-29827502-39
NR14743--MA0501.1.MAF::NFE2	chr9	117910891	117910905	-	0.000	0.000	Merged-chr9-117910970-21
NR5208--MA0495.2.MAFF	chr15	58655206	58655226	-	0.000	0.000	Merged-chr15-58655104-54
NR2893--MA0089.1.MAFG::NFE2L1	chr12	17511194	17511199	-	0.000	0.000	Merged-chr12-17511273-48
NR2725--MA0591.1.Bach1::Mafk	chr11	106416597	106416611	-	0.000	0.000	Merged-chr11-106416403-62
NR12268--MA0496.2.MAFK	chr6	127302957	127302975	-	0.000	0.000	Merged-chr6-127302896-25
NR1317--MA0501.1.MAF::NFE2	chr10	10224979	10224993	+	0.000	0.000	Merged-chr10-10224805-34
NR14238--MA0495.2.MAFF	chr9	43785161	43785181	-	0.000	0.000	Merged-chr9-43784994-20
NR11178--MA0089.1.MAFG::NFE2L1	chr5	105511751	105511756	+	0.000	0.000	Merged-chr5-105511925-6
NR6496--MA0501.1.MAF::NFE2	chr17	71192185	71192199	-	0.000	0.000	Merged-chr17-71192022-46
NR2401--MA0501.1.MAF::NFE2	chr11	53803662	53803676	+	0.000	0.000	Merged-chr11-53803686-61
NR13048--MA0089.1.MAFG::NFE2L1	chr7	110965579	110965584	-	0.000	0.000	Merged-chr7-110965629-28
NR14694--MA0496.2.MAFK	chr9	114787912	114787930	-	0.000	0.000	Merged-chr9-114787935-34
NR337--MA0089.1.MAFG::NFE2L1	chr1	74295463	74295468	-	0.000	0.000	Merged-chr1-74295587-31
NR1673--MA0089.1.MAFG::NFE2L1	chr10	75146211	75146216	-	0.000	0.000	Merged-chr10-75146347-53
NR3384--MA0591.1.Bach1::Mafk	chr12	110506249	110506263	+	0.000	0.000	Merged-chr12-110506270-12
NR4587--MA0089.1.MAFG::NFE2L1	chr14	51386090	51386095	-	0.000	0.000	Merged-chr14-51385941-36
NR511--MA0089.1.MAFG::NFE2L1	chr1	94056132	94056137	-	0.000	0.000	Merged-chr1-94056150-27
NR14742--MA0089.1.MAFG::NFE2L1	chr9	117910880	117910885	+	0.000	0.000	Merged-chr9-117910970-21
NR6567--MA0495.2.MAFF	chr17	83483867	83483887	+	0.000	0.000	Merged-chr17-83484048-22
NR14392--MA0117.2.Mafb	chr9	72678832	72678843	+	0.000	0.000	Merged-chr9-72678882-22
NR13248--MA0089.1.MAFG::NFE2L1	chr7	132772572	132772577	+	0.000	0.000	Merged-chr7-132772585-7
NR5339--MA0089.1.MAFG::NFE2L1	chr15	80735480	80735485	-	0.000	0.000	Merged-chr15-80735548-45
NR7209--MA0089.1.MAFG::NFE2L1	chr19	16255497	16255502	+	0.000	0.000	Merged-chr19-16255427-25
NR3669--MA0089.1.MAFG::NFE2L1	chr13	32868434	32868439	+	0.000	0.000	Merged-chr13-32868285-30
NR7475--MA0501.1.MAF::NFE2	chr2	9574299	9574313	+	0.000	0.000	Merged-chr2-9574386-32
NR146--MA0089.1.MAFG::NFE2L1	chr1	37317948	37317953	+	0.000	0.000	Merged-chr1-37317711-58
NR2509--MA0501.1.MAF::NFE2	chr11	71230855	71230869	+	0.000	0.000	Merged-chr11-71230864-28
NR10130--MA0089.1.MAFG::NFE2L1	chr4	97860510	97860515	-	0.000	0.000	Merged-chr4-97860532-7
NR9606--MA0117.2.Mafb	chr3	145666597	145666608	+	0.000	0.000	Merged-chr3-145666541-17
NR14551--MA0089.1.MAFG::NFE2L1	chr9	96754397	96754402	-	0.000	0.000	Merged-chr9-96754558-43
NR2988--MA0591.1.Bach1::Mafk	chr12	40009994	40010008	+	0.000	0.000	Merged-chr12-40010101-23
NR10647--MA0089.1.MAFG::NFE2L1	chr5	10866605	10866610	+	0.000	0.000	Merged-chr5-10866661-52
NR5048--MA0495.2.MAFF	chr15	10723725	10723745	-	0.000	0.000	Merged-chr15-10723648-41
NR834--MA0591.1.Bach1::Mafk	chr1	152053410	152053424	+	0.000	0.000	Merged-chr1-152053412-31
NR9858--MA0089.1.MAFG::NFE2L1	chr4	40839363	40839368	-	0.000	0.000	Merged-chr4-40839433-53
NR12821--MA0501.1.MAF::NFE2	chr7	75483359	75483373	+	0.000	0.000	Merged-chr7-75483331-36
NR14149--MA0496.2.MAFK	chr9	21609995	21610013	+	0.000	0.000	Merged-chr9-21610100-42
NR5046--MA0089.1.MAFG::NFE2L1	chr15	10723496	10723501	+	0.000	0.000	Merged-chr15-10723648-41
NR14751--MA0089.1.MAFG::NFE2L1	chr9	118518967	118518972	-	0.000	0.000	Merged-chr9-118519152-31
NR12502--MA0089.1.MAFG::NFE2L1	chr6	146271409	146271414	-	0.000	0.000	Merged-chr6-146271470-40
NR1510--MA0659.1.MAFG	chr10	44434865	44434885	+	0.000	0.000	Merged-chr10-44434814-22
NR6513--MA0501.1.MAF::NFE2	chr17	72822139	72822153	+	0.000	0.000	Merged-chr17-72822157-16
NR7406--MA0591.1.Bach1::Mafk	chr19	56647501	56647515	+	0.000	0.000	Merged-chr19-56647541-17
NR14185--MA0496.2.MAFK	chr9	33080492	33080510	+	0.000	0.000	Merged-chr9-33080507-34
NR1820--MA0591.1.Bach1::Mafk	chr10	88783295	88783309	+	0.000	0.000	Merged-chr10-88783253-12
NR3697--MA0495.2.MAFF	chr13	37783912	37783932	-	0.000	0.000	Merged-chr13-37783892-22
NR7241--MA0496.2.MAFK	chr19	20424389	20424407	-	0.000	0.000	Merged-chr19-20424322-22
NR7380--MA0089.1.MAFG::NFE2L1	chr19	53800694	53800699	-	0.000	0.000	Merged-chr19-53800770-48
NR13602--MA0591.1.Bach1::Mafk	chr8	71587146	71587160	+	0.000	0.000	Merged-chr8-71587200-14
NR10947--MA0089.1.MAFG::NFE2L1	chr5	66200069	66200074	+	0.000	0.000	Merged-chr5-66200219-43
NR8491--MA0501.1.MAF::NFE2	chr2	153215092	153215106	+	0.000	0.000	Merged-chr2-153215232-79
NR10974--MA0117.2.Mafb	chr5	72636326	72636337	-	0.000	0.000	Merged-chr5-72636293-57
NR12817--MA0089.1.MAFG::NFE2L1	chr7	74698146	74698151	+	0.000	0.000	Merged-chr7-74698017-54
NR3699--MA0659.1.MAFG	chr13	37783912	37783932	+	0.000	0.000	Merged-chr13-37783892-22
NR5367--MA0591.1.Bach1::Mafk	chr15	84702171	84702185	-	0.000	0.000	Merged-chr15-84702122-13
NR6058--MA0495.2.MAFF	chr16	94660247	94660267	+	0.000	0.000	Merged-chr16-94660460-20
NR12798--MA0591.1.Bach1::Mafk	chr7	68350178	68350192	+	0.000	0.000	Merged-chr7-68350249-38
NR8434--MA0089.1.MAFG::NFE2L1	chr2	147030826	147030831	-	0.000	0.000	Merged-chr2-147030791-19
NR845--MA0495.2.MAFF	chr1	153288164	153288184	-	0.000	0.000	Merged-chr1-153288080-22
NR11171--MA0496.2.MAFK	chr5	105306181	105306199	+	0.000	0.000	Merged-chr5-105306151-101
NR13353--MA0117.2.Mafb	chr7	143628821	143628832	+	0.000	0.000	Merged-chr7-143628758-62
NR8429--MA0591.1.Bach1::Mafk	chr2	146497724	146497738	-	0.000	0.000	Merged-chr2-146497617-49
NR14763--MA0496.2.MAFK	chr9	119334540	119334558	-	0.000	0.000	Merged-chr9-119334532-37
NR10221--MA0591.1.Bach1::Mafk	chr4	106935344	106935358	+	0.000	0.000	Merged-chr4-106935357-64
NR13141--MA0495.2.MAFF	chr7	119861788	119861808	-	0.000	0.000	Merged-chr7-119861539-102
NR2392--MA0496.2.MAFK	chr11	52261028	52261046	+	0.000	0.000	Merged-chr11-52261104-14
NR7282--MA0591.1.Bach1::Mafk	chr19	26414885	26414899	-	0.000	0.000	Merged-chr19-26414799-20
NR11413--MA0591.1.Bach1::Mafk	chr5	143287899	143287913	+	0.000	0.000	Merged-chr5-143287992-36
NR9376--MA0089.1.MAFG::NFE2L1	chr3	116630321	116630326	+	0.000	0.000	Merged-chr3-116630474-26
NR12481--MA0501.1.MAF::NFE2	chr6	144909752	144909766	-	0.000	0.000	Merged-chr6-144909826-5
NR14111--MA0591.1.Bach1::Mafk	chr9	14171981	14171995	+	0.000	0.000	Merged-chr9-14171965-37
NR2352--MA0501.1.MAF::NFE2	chr11	46474438	46474452	-	0.000	0.000	Merged-chr11-46474391-31
NR8274--MA0495.2.MAFF	chr2	128365990	128366010	-	0.000	0.000	Merged-chr2-128365920-27
NR12221--MA0591.1.Bach1::Mafk	chr6	122758925	122758939	-	0.000	0.000	Merged-chr6-122758915-39
NR5653--MA0496.2.MAFK	chr16	33769915	33769933	+	0.000	0.000	Merged-chr16-33769896-51
NR2726--MA0117.2.Mafb	chr11	106688382	106688393	-	0.000	0.000	Merged-chr11-106688521-67
NR8276--MA0659.1.MAFG	chr2	128365990	128366010	+	0.000	0.000	Merged-chr2-128365920-27
NR1513--MA0496.2.MAFK	chr10	44434866	44434884	+	0.000	0.000	Merged-chr10-44434814-22
NR179--MA0089.1.MAFG::NFE2L1	chr1	43403597	43403602	+	0.000	0.000	Merged-chr1-43403565-20
NR7603--MA0089.1.MAFG::NFE2L1	chr2	32166623	32166628	-	0.000	0.000	Merged-chr2-32166737-9
NR2745--MA0089.1.MAFG::NFE2L1	chr11	109011782	109011787	+	0.000	0.000	Merged-chr11-109011875-52
NR1325--MA0089.1.MAFG::NFE2L1	chr10	12842793	12842798	+	0.000	0.000	Merged-chr10-12842715-46
NR7793--MA0089.1.MAFG::NFE2L1	chr2	61712733	61712738	-	0.000	0.000	Merged-chr2-61712803-19
NR1701--MA0089.1.MAFG::NFE2L1	chr10	77630169	77630174	-	0.000	0.000	Merged-chr10-77630089-17
NR11244--MA0591.1.Bach1::Mafk	chr5	112343076	112343090	-	0.000	0.000	Merged-chr5-112343084-79
NR10222--MA0501.1.MAF::NFE2	chr4	106935347	106935361	+	0.000	0.000	Merged-chr4-106935357-64
NR2995--MA0659.1.MAFG	chr12	41044928	41044948	-	0.000	0.000	Merged-chr12-41044922-24
