#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-pval0.3-log2fc0.5_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-pval0.3-log2fc0.5_dn.bed
NR33882--MA0599.1.KLF5	chr19	40509069	40509078	-	0.000	0.000	Merged-chr19-40509084-1
NR33187--MA1107.1.KLF9	chr19	7294694	7294706	-	0.000	0.000	Merged-chr19-7294791-1
NR2039--MA0599.1.KLF5	chr1	119637145	119637154	-	0.000	0.000	Merged-chr1-119636990-21
NR52159--MA0742.1.Klf12	chr5	114667678	114667692	+	0.000	0.000	Merged-chr5-114667670-56
NR30519--MA0741.1.KLF16	chr17	84859882	84859892	+	0.000	0.000	Merged-chr17-84860120-51
NR47587--MA0599.1.KLF5	chr4	130802166	130802175	+	0.000	0.000	Merged-chr4-130802230-25
NR42929--MA0741.1.KLF16	chr3	121982311	121982321	+	0.000	0.000	Merged-chr3-121982250-28
NR68723--MA1107.1.KLF9	chr9	51162036	51162048	-	0.000	0.000	Merged-chr9-51161990-29
NR18128--MA0742.1.Klf12	chr13	97790018	97790032	+	0.000	0.000	Merged-chr13-97790032-25
NR34031--MA0741.1.KLF16	chr19	44314785	44314795	+	0.000	0.000	Merged-chr19-44314757-47
NR66206--MA0741.1.KLF16	chr8	95349079	95349089	-	0.000	0.000	Merged-chr8-95348986-27
NR858--MA0740.1.KLF14	chr1	58953882	58953895	+	0.000	0.000	Merged-chr1-58953999-17
NR36588--MA0599.1.KLF5	chr2	71800980	71800989	+	0.000	0.000	Merged-chr2-71801040-44
NR67741--MA0741.1.KLF16	chr9	14281807	14281817	-	0.000	0.000	Merged-chr9-14281792-3
NR35904--MA0039.3.KLF4	chr2	35729773	35729783	+	0.000	0.000	Merged-chr2-35729635-16
NR72067--MA0741.1.KLF16	chrX	59134863	59134873	+	0.000	0.000	Merged-chrX-59134766-110
NR11508--MA0599.1.KLF5	chr11	86683901	86683910	+	0.000	0.000	Merged-chr11-86683864-65
NR69178--MA0740.1.KLF14	chr9	65087632	65087645	-	0.000	0.000	Merged-chr9-65087693-13
NR37659--MA1107.1.KLF9	chr2	113430867	113430879	+	0.000	0.000	Merged-chr2-113431034-10
NR29147--MA0599.1.KLF5	chr17	46674345	46674354	+	0.000	0.000	Merged-chr17-46674317-50
NR68719--MA1107.1.KLF9	chr9	51162028	51162040	-	0.000	0.000	Merged-chr9-51161990-29
NR15526--MA1107.1.KLF9	chr12	107953663	107953675	+	0.000	0.000	Merged-chr12-107953476-22
NR39082--MA1107.1.KLF9	chr2	154713410	154713422	+	0.000	0.000	Merged-chr2-154713279-3
NR57276--MA0741.1.KLF16	chr6	120464185	120464195	+	0.000	0.000	Merged-chr6-120464092-4
NR61239--MA0599.1.KLF5	chr7	80911181	80911190	+	0.000	0.000	Merged-chr7-80911261-13
NR57994--MA0599.1.KLF5	chr6	135150456	135150465	-	0.000	0.000	Merged-chr6-135150450-14
NR31054--MA0599.1.KLF5	chr18	24653027	24653036	-	0.000	0.000	Merged-chr18-24652935-1
NR36359--MA1107.1.KLF9	chr2	60880805	60880817	+	0.000	0.000	Merged-chr2-60880763-2
NR51785--MA1107.1.KLF9	chr5	107926651	107926663	+	0.000	0.000	Merged-chr5-107926816-56
NR60955--MA0599.1.KLF5	chr7	71379408	71379417	-	0.000	0.000	Merged-chr7-71379218-17
NR70375--MA0742.1.Klf12	chr9	100540493	100540507	-	0.000	0.000	Merged-chr9-100540480-23
NR68380--MA0740.1.KLF14	chr9	42423777	42423790	+	0.000	0.000	Merged-chr9-42423784-11
NR4161--MA0740.1.KLF14	chr1	178777942	178777955	+	0.000	0.000	Merged-chr1-178777930-3
NR42454--MA0741.1.KLF16	chr3	103862687	103862697	+	0.000	0.000	Merged-chr3-103862515-1,Merged-chr3-103862758-3
NR19646--MA0741.1.KLF16	chr14	27262421	27262431	+	0.000	0.000	Merged-chr14-27262535-17
NR58824--MA0493.1.Klf1	chr7	4777375	4777385	+	0.000	0.000	Merged-chr7-4777194-35
NR49020--MA0599.1.KLF5	chr4	154964935	154964944	+	0.000	0.000	Merged-chr4-154964941-1
NR31254--MA0039.3.KLF4	chr18	35726963	35726973	-	0.000	0.000	Merged-chr18-35726871-27
NR45368--MA0741.1.KLF16	chr4	47011210	47011220	-	0.000	0.000	Merged-chr4-47011023-46
NR22194--MA0740.1.KLF14	chr14	123001572	123001585	+	0.000	0.000	Merged-chr14-123001594-21
NR72064--MA0599.1.KLF5	chrX	59134808	59134817	+	0.000	0.000	Merged-chrX-59134766-110
NR19621--MA0742.1.Klf12	chr14	26579505	26579519	+	0.000	0.000	Merged-chr14-26579365-2
NR13146--MA0493.1.Klf1	chr11	119238421	119238431	-	0.000	0.000	Merged-chr11-119238341-66
NR71780--MA0599.1.KLF5	chrX	12151848	12151857	+	0.000	0.000	Merged-chrX-12151801-24
NR19153--MA0599.1.KLF5	chr14	7818952	7818961	-	0.000	0.000	Merged-chr14-7819138-4
NR4174--MA0740.1.KLF14	chr1	178959912	178959925	-	0.000	0.000	Merged-chr1-178959718-2
NR62243--MA1107.1.KLF9	chr7	115416164	115416176	-	0.000	0.000	Merged-chr7-115416169-1
NR11100--MA1107.1.KLF9	chr11	76015514	76015526	+	0.000	0.000	Merged-chr11-76015482-22
NR4165--MA1107.1.KLF9	chr1	178777942	178777954	+	0.000	0.000	Merged-chr1-178777930-3
NR62118--MA1107.1.KLF9	chr7	111847388	111847400	+	0.000	0.000	Merged-chr7-111847259-1
NR14053--MA0599.1.KLF5	chr12	41566408	41566417	+	0.000	0.000	Merged-chr12-41566300-31
NR21163--MA0599.1.KLF5	chr14	78687441	78687450	-	0.000	0.000	Merged-chr14-78687431-2
NR67339--MA1107.1.KLF9	chr8	124022256	124022268	-	0.000	0.000	Merged-chr8-124022219-1
NR67264--MA0599.1.KLF5	chr8	122769458	122769467	-	0.000	0.000	Merged-chr8-122769435-21
NR14052--MA1107.1.KLF9	chr12	41566223	41566235	-	0.000	0.000	Merged-chr12-41566300-31
NR6345--MA1107.1.KLF9	chr10	63381571	63381583	+	0.000	0.000	Merged-chr10-63381719-30
NR68381--MA0657.1.KLF13	chr9	42423776	42423793	+	0.000	0.000	Merged-chr9-42423784-11
NR8870--MA0493.1.Klf1	chr10	127151501	127151511	+	0.000	0.000	Merged-chr10-127151405-14
NR52158--MA0740.1.KLF14	chr5	114667678	114667691	+	0.000	0.000	Merged-chr5-114667670-56
NR5805--MA0741.1.KLF16	chr10	42849025	42849035	-	0.000	0.000	Merged-chr10-42848913-29
NR71669--MA0740.1.KLF14	chrX	7947822	7947835	+	0.000	0.000	Merged-chrX-7947943-52
NR23794--MA1107.1.KLF9	chr15	80233831	80233843	+	0.000	0.000	Merged-chr15-80233973-50
NR4160--MA0742.1.Klf12	chr1	178777844	178777858	-	0.000	0.000	Merged-chr1-178777930-3
NR34028--MA0741.1.KLF16	chr19	44314782	44314792	+	0.000	0.000	Merged-chr19-44314757-47
NR36938--MA0493.1.Klf1	chr2	84618167	84618177	+	0.000	0.000	Merged-chr2-84617980-37
NR38361--MA0493.1.Klf1	chr2	132230557	132230567	-	0.000	0.000	Merged-chr2-132230330-32
NR67738--MA0741.1.KLF16	chr9	14281803	14281813	-	0.000	0.000	Merged-chr9-14281792-3
NR42773--MA0741.1.KLF16	chr3	115897932	115897942	+	0.000	0.000	Merged-chr3-115897908-5
NR40497--MA0599.1.KLF5	chr3	22115518	22115527	+	0.000	0.000	Merged-chr3-22115498-23
NR12795--MA1107.1.KLF9	chr11	114813028	114813040	+	0.000	0.000	Merged-chr11-114812922-18
NR5194--MA0599.1.KLF5	chr10	10307608	10307617	-	0.000	0.000	Merged-chr10-10307543-35
NR2939--MA0742.1.Klf12	chr1	150465584	150465598	+	0.000	0.000	Merged-chr1-150465561-21
NR4177--MA0741.1.KLF16	chr1	178959912	178959922	-	0.000	0.000	Merged-chr1-178959718-2
NR14622--MA0741.1.KLF16	chr12	76710658	76710668	+	0.000	0.000	Merged-chr12-76710800-1
NR12791--MA0657.1.KLF13	chr11	114812807	114812824	-	0.000	0.000	Merged-chr11-114812922-18
NR1643--MA0741.1.KLF16	chr1	90676794	90676804	+	0.000	0.000	Merged-chr1-90676812-13
NR14608--MA1107.1.KLF9	chr12	76596419	76596431	-	0.000	0.000	Merged-chr12-76596548-12
NR7016--MA0599.1.KLF5	chr10	80152178	80152187	+	0.000	0.000	Merged-chr10-80152261-5
NR13034--MA0741.1.KLF16	chr11	117326036	117326046	-	0.000	0.000	Merged-chr11-117325818-58
NR35903--MA0599.1.KLF5	chr2	35729772	35729781	+	0.000	0.000	Merged-chr2-35729635-16
NR8169--MA0741.1.KLF16	chr10	111171496	111171506	-	0.000	0.000	Merged-chr10-111171404-37
NR8865--MA0740.1.KLF14	chr10	127151463	127151476	+	0.000	0.000	Merged-chr10-127151405-14
NR58001--MA1107.1.KLF9	chr6	135150458	135150470	-	0.000	0.000	Merged-chr6-135150450-14
NR62965--MA1107.1.KLF9	chr7	128690435	128690447	-	0.000	0.000	Merged-chr7-128690319-14
NR40174--MA1107.1.KLF9	chr2	178891674	178891686	+	0.000	0.000	Merged-chr2-178891686-1
NR68385--MA1107.1.KLF9	chr9	42423777	42423789	+	0.000	0.000	Merged-chr9-42423784-11
NR25625--MA0039.3.KLF4	chr16	23375107	23375117	+	0.000	0.000	Merged-chr16-23375120-32
NR69117--MA1107.1.KLF9	chr9	63718370	63718382	+	0.000	0.000	Merged-chr9-63718438-9
NR61661--MA0493.1.Klf1	chr7	98995318	98995328	-	0.000	0.000	Merged-chr7-98995432-21
NR42453--MA0493.1.Klf1	chr3	103862700	103862710	+	0.000	0.000	Merged-chr3-103862515-1,Merged-chr3-103862758-3
NR8687--MA1107.1.KLF9	chr10	122778157	122778169	+	0.000	0.000	Merged-chr10-122778014-1
NR8682--MA0039.3.KLF4	chr10	122778139	122778149	+	0.000	0.000	Merged-chr10-122778014-1
NR25470--MA0599.1.KLF5	chr16	18066417	18066426	-	0.000	0.000	Merged-chr16-18066490-64
NR19759--MA0599.1.KLF5	chr14	30675196	30675205	-	0.000	0.000	Merged-chr14-30675172-26
NR37661--MA1107.1.KLF9	chr2	113430871	113430883	+	0.000	0.000	Merged-chr2-113431034-10
NR9160--MA0741.1.KLF16	chr11	4186662	4186672	+	0.000	0.000	Merged-chr11-4186832-60
NR52637--MA0741.1.KLF16	chr5	123974577	123974587	-	0.000	0.000	Merged-chr5-123974757-35
NR58217--MA0493.1.Klf1	chr6	140314166	140314176	+	0.000	0.000	Merged-chr6-140314075-23
NR20491--MA0599.1.KLF5	chr14	57571573	57571582	-	0.000	0.000	Merged-chr14-57571607-60
NR54851--MA0740.1.KLF14	chr6	30509821	30509834	-	0.000	0.000	Merged-chr6-30509699-52
NR68717--MA1107.1.KLF9	chr9	51162024	51162036	-	0.000	0.000	Merged-chr9-51161990-29
NR11094--MA0599.1.KLF5	chr11	75926973	75926982	+	0.000	0.000	Merged-chr11-75926776-30
NR19155--MA0741.1.KLF16	chr14	7818951	7818961	-	0.000	0.000	Merged-chr14-7819138-4
NR52156--MA0039.3.KLF4	chr5	114667636	114667646	-	0.000	0.000	Merged-chr5-114667670-56
NR47290--MA0599.1.KLF5	chr4	125116714	125116723	-	0.000	0.000	Merged-chr4-125116565-9
NR41178--MA0742.1.Klf12	chr3	61002319	61002333	-	0.000	0.000	Merged-chr3-61002220-1
NR16745--MA0599.1.KLF5	chr13	43365496	43365505	+	0.000	0.000	Merged-chr13-43365585-65
NR12371--MA0741.1.KLF16	chr11	103808768	103808778	-	0.000	0.000	Merged-chr11-103808730-15
NR17823--MA0740.1.KLF14	chr13	85505186	85505199	-	0.000	0.000	Merged-chr13-85505133-53
NR38178--MA0039.3.KLF4	chr2	128396172	128396182	+	0.000	0.000	Merged-chr2-128396137-30
NR9186--MA0741.1.KLF16	chr11	4463002	4463012	+	0.000	0.000	Merged-chr11-4463139-8
NR9125--MA0599.1.KLF5	chr11	3863952	3863961	-	0.000	0.000	Merged-chr11-3863952-34
NR64726--MA0599.1.KLF5	chr8	41240912	41240921	+	0.000	0.000	Merged-chr8-41240829-16
NR61335--MA0493.1.Klf1	chr7	83742755	83742765	+	0.000	0.000	Merged-chr7-83742815-34
NR43910--MA1107.1.KLF9	chr3	148219376	148219388	-	0.000	0.000	Merged-chr3-148219203-2
NR41717--MA1107.1.KLF9	chr3	89179230	89179242	-	0.000	0.000	Merged-chr3-89179239-17
NR29050--MA1107.1.KLF9	chr17	45119804	45119816	+	0.000	0.000	Merged-chr17-45119999-67
NR39977--MA0599.1.KLF5	chr2	173063391	173063400	+	0.000	0.000	Merged-chr2-173063390-29
NR36366--MA1107.1.KLF9	chr2	60880819	60880831	+	0.000	0.000	Merged-chr2-60880763-2
NR60819--MA0599.1.KLF5	chr7	64161052	64161061	-	0.000	0.000	Merged-chr7-64160970-41
NR11729--MA0657.1.KLF13	chr11	94223699	94223716	-	0.000	0.000	Merged-chr11-94223709-9
NR58820--MA0741.1.KLF16	chr7	4777060	4777070	-	0.000	0.000	Merged-chr7-4777194-35
NR52162--MA0741.1.KLF16	chr5	114667679	114667689	+	0.000	0.000	Merged-chr5-114667670-56
NR71673--MA0741.1.KLF16	chrX	7947823	7947833	+	0.000	0.000	Merged-chrX-7947943-52
NR29046--MA1107.1.KLF9	chr17	45119796	45119808	+	0.000	0.000	Merged-chr17-45119999-67
NR898--MA0599.1.KLF5	chr1	60158477	60158486	+	0.000	0.000	Merged-chr1-60158664-37
NR71782--MA0741.1.KLF16	chrX	12151842	12151852	+	0.000	0.000	Merged-chrX-12151801-24
NR18131--MA0741.1.KLF16	chr13	97790019	97790029	+	0.000	0.000	Merged-chr13-97790032-25
NR43266--MA0740.1.KLF14	chr3	130819808	130819821	+	0.000	0.000	Merged-chr3-130819788-3
