#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval0.3-log2fc0.5_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval0.3-log2fc0.5_dn.bed
NR16161--MA0742.1.Klf12	chr13	51726389	51726403	-	0.000	0.000	Merged-chr13-51726299-41
NR11061--MA0599.1.KLF5	chr11	97133379	97133388	+	0.000	0.000	Merged-chr11-97133494-13
NR8543--MA0493.1.Klf1	chr11	6519613	6519623	+	0.000	0.000	Merged-chr11-6519719-31
NR26070--MA0493.1.Klf1	chr17	19435238	19435248	+	0.000	0.000	Merged-chr17-19435269-18
NR42121--MA0599.1.KLF5	chr4	46485835	46485844	-	0.000	0.000	Merged-chr4-46485924-53
NR54420--MA0493.1.Klf1	chr7	16783491	16783501	-	0.000	0.000	Merged-chr7-16783425-42
NR2528--MA0741.1.KLF16	chr1	151582201	151582211	+	0.000	0.000	Merged-chr1-151582085-10
NR20514--MA0741.1.KLF16	chr14	121405485	121405495	+	0.000	0.000	Merged-chr14-121405440-45
NR60584--MA0599.1.KLF5	chr8	106973680	106973689	-	0.000	0.000	Merged-chr8-106973584-40
NR49871--MA0599.1.KLF5	chr5	143975135	143975144	+	0.000	0.000	Merged-chr5-143975077-1
NR6868--MA0741.1.KLF16	chr10	96118231	96118241	-	0.000	0.000	Merged-chr10-96118246-10
NR26074--MA1107.1.KLF9	chr17	19435238	19435250	+	0.000	0.000	Merged-chr17-19435269-18
NR18514--MA0039.3.KLF4	chr14	23465421	23465431	-	0.000	0.000	Merged-chr14-23465360-30
NR67169--MA1107.1.KLF9	chrY	90799068	90799080	-	0.000	0.000	Merged-chrY-90799205-23
NR27258--MA1107.1.KLF9	chr17	44690578	44690590	+	0.000	0.000	Merged-chr17-44690721-49
NR36767--MA1107.1.KLF9	chr2	164943170	164943182	-	0.000	0.000	Merged-chr2-164943047-31
NR55757--MA0599.1.KLF5	chr7	63858648	63858657	+	0.000	0.000	Merged-chr7-63858765-41
NR14233--MA0741.1.KLF16	chr12	100480844	100480854	+	0.000	0.000	Merged-chr12-100480598-53
NR3779--MA0493.1.Klf1	chr1	182358271	182358281	+	0.000	0.000	Merged-chr1-182358310-43
NR906--MA0741.1.KLF16	chr1	66897064	66897074	+	0.000	0.000	Merged-chr1-66897217-4
NR48078--MA0742.1.Klf12	chr5	114667634	114667648	-	0.000	0.000	Merged-chr5-114667670-56
NR13911--MA0742.1.Klf12	chr12	85632517	85632531	-	0.000	0.000	Merged-chr12-85632486-20
NR23382--MA1107.1.KLF9	chr15	102225232	102225244	+	0.000	0.000	Merged-chr15-102225119-79
NR14622--MA0742.1.Klf12	chr12	107961261	107961275	+	0.000	0.000	Merged-chr12-107961222-28
NR19794--MA0741.1.KLF16	chr14	77848570	77848580	-	0.000	0.000	Merged-chr14-77848610-6
NR27006--MA0741.1.KLF16	chr17	35046751	35046761	-	0.000	0.000	Merged-chr17-35046725-56
NR2584--MA0741.1.KLF16	chr1	153427077	153427087	-	0.000	0.000	Merged-chr1-153426995-33
NR9110--MA0599.1.KLF5	chr11	49100585	49100594	-	0.000	0.000	Merged-chr11-49100506-9
NR16030--MA0039.3.KLF4	chr13	45455941	45455951	+	0.000	0.000	Merged-chr13-45455779-40
NR3778--MA0039.3.KLF4	chr1	182358273	182358283	+	0.000	0.000	Merged-chr1-182358310-43
NR48419--MA0599.1.KLF5	chr5	120697119	120697128	-	0.000	0.000	Merged-chr5-120697061-40
NR24248--MA0741.1.KLF16	chr16	32658898	32658908	+	0.000	0.000	Merged-chr16-32659000-27
NR62862--MA0493.1.Klf1	chr9	57638745	57638755	+	0.000	0.000	Merged-chr9-57638842-6
NR36759--MA0493.1.Klf1	chr2	164913586	164913596	-	0.000	0.000	Merged-chr2-164913622-30
NR61168--MA0742.1.Klf12	chr8	121898637	121898651	-	0.000	0.000	Merged-chr8-121898554-47
NR17595--MA1107.1.KLF9	chr13	104937907	104937919	+	0.000	0.000	Merged-chr13-104937983-19
NR16165--MA1107.1.KLF9	chr13	51726391	51726403	-	0.000	0.000	Merged-chr13-51726299-41
NR31012--MA0740.1.KLF14	chr19	8774463	8774476	+	0.000	0.000	Merged-chr19-8774618-52
NR65218--MA1107.1.KLF9	chr9	118845201	118845213	+	0.000	0.000	Merged-chr9-118845184-15
NR46377--MA1107.1.KLF9	chr5	36590903	36590915	+	0.000	0.000	Merged-chr5-36590712-21
NR55783--MA1107.1.KLF9	chr7	63984433	63984445	-	0.000	0.000	Merged-chr7-63984461-22
NR732--MA0742.1.Klf12	chr1	58303859	58303873	-	0.000	0.000	Merged-chr1-58304012-69
NR58830--MA0599.1.KLF5	chr8	25578428	25578437	+	0.000	0.000	Merged-chr8-25578502-39
NR12141--MA0039.3.KLF4	chr11	115603722	115603732	-	0.000	0.000	Merged-chr11-115603871-66
NR47025--MA0599.1.KLF5	chr5	77092713	77092722	+	0.000	0.000	Merged-chr5-77092743-13
NR23066--MA0599.1.KLF5	chr15	99341431	99341440	+	0.000	0.000	Merged-chr15-99341315-43
NR34910--MA0741.1.KLF16	chr2	112222789	112222799	-	0.000	0.000	Merged-chr2-112222905-42
NR12389--MA0599.1.KLF5	chr11	117825868	117825877	-	0.000	0.000	Merged-chr11-117825821-14
NR61306--MA0039.3.KLF4	chr8	123341778	123341788	-	0.000	0.000	Merged-chr8-123341706-13
NR8015--MA1107.1.KLF9	chr10	127165730	127165742	-	0.000	0.000	Merged-chr10-127165637-94
NR49884--MA1107.1.KLF9	chr5	143976916	143976928	-	0.000	0.000	Merged-chr5-143976902-14
NR17602--MA0741.1.KLF16	chr13	104937959	104937969	-	0.000	0.000	Merged-chr13-104937983-19
NR11993--MA0599.1.KLF5	chr11	113187329	113187338	+	0.000	0.000	Merged-chr11-113187180-1
NR37670--MA0493.1.Klf1	chr2	181188887	181188897	-	0.000	0.000	Merged-chr2-181188865-17
NR6835--MA0742.1.Klf12	chr10	95193989	95194003	-	0.000	0.000	Merged-chr10-95194130-23
NR1066--MA0039.3.KLF4	chr1	75213261	75213271	-	0.000	0.000	Merged-chr1-75213327-22
NR66400--MA0741.1.KLF16	chrX	101222206	101222216	+	0.000	0.000	Merged-chrX-101222420-75
NR9678--MA1107.1.KLF9	chr11	61762194	61762206	-	0.000	0.000	Merged-chr11-61762062-61
NR56622--MA0039.3.KLF4	chr7	101466456	101466466	-	0.000	0.000	Merged-chr7-101466620-78
NR38755--MA1107.1.KLF9	chr3	87840998	87841010	+	0.000	0.000	Merged-chr3-87841057-16
NR47925--MA0599.1.KLF5	chr5	112377672	112377681	-	0.000	0.000	Merged-chr5-112377578-21
NR51649--MA0599.1.KLF5	chr6	83413110	83413119	-	0.000	0.000	Merged-chr6-83413092-38
NR32673--MA0493.1.Klf1	chr2	12423705	12423715	+	0.000	0.000	Merged-chr2-12423867-9
NR736--MA0741.1.KLF16	chr1	58303862	58303872	-	0.000	0.000	Merged-chr1-58304012-69
NR37629--MA0039.3.KLF4	chr2	180438405	180438415	-	0.000	0.000	Merged-chr2-180438318-9
NR32593--MA0599.1.KLF5	chr2	9878748	9878757	+	0.000	0.000	Merged-chr2-9878722-80
NR1323--MA0740.1.KLF14	chr1	87847398	87847411	-	0.000	0.000	Merged-chr1-87847290-68
NR49876--MA0742.1.Klf12	chr5	143975168	143975182	+	0.000	0.000	Merged-chr5-143975077-1
NR48418--MA0039.3.KLF4	chr5	120688650	120688660	-	0.000	0.000	Merged-chr5-120688663-27
NR11576--MA0741.1.KLF16	chr11	103375273	103375283	+	0.000	0.000	Merged-chr11-103375376-18
NR38862--MA0039.3.KLF4	chr3	89183125	89183135	+	0.000	0.000	Merged-chr3-89183015-64
NR40276--MA0740.1.KLF14	chr3	131126009	131126022	-	0.000	0.000	Merged-chr3-131125958-32
NR10007--MA0741.1.KLF16	chr11	70654716	70654726	+	0.000	0.000	Merged-chr11-70654589-122
NR65134--MA0493.1.Klf1	chr9	118059292	118059302	+	0.000	0.000	Merged-chr9-118059304-13
NR27890--MA1107.1.KLF9	chr17	65939418	65939430	-	0.000	0.000	Merged-chr17-65939471-7
NR24031--MA0741.1.KLF16	chr16	23286520	23286530	+	0.000	0.000	Merged-chr16-23286554-38
NR31060--MA0599.1.KLF5	chr19	9116470	9116479	-	0.000	0.000	Merged-chr19-9116540-6
NR28735--MA0599.1.KLF5	chr17	88143136	88143145	+	0.000	0.000	Merged-chr17-88142994-11
NR48518--MA0740.1.KLF14	chr5	122430272	122430285	+	0.000	0.000	Merged-chr5-122430278-22
NR23843--MA0741.1.KLF16	chr16	17177860	17177870	+	0.000	0.000	Merged-chr16-17177816-6
NR735--MA0493.1.Klf1	chr1	58303863	58303873	-	0.000	0.000	Merged-chr1-58304012-69
NR49562--MA0741.1.KLF16	chr5	139377552	139377562	-	0.000	0.000	Merged-chr5-139377554-24
NR14353--MA1107.1.KLF9	chr12	102725371	102725383	+	0.000	0.000	Merged-chr12-102725313-9
NR58834--MA0740.1.KLF14	chr8	25578491	25578504	-	0.000	0.000	Merged-chr8-25578502-39
NR22992--MA0742.1.Klf12	chr15	98907988	98908002	+	0.000	0.000	Merged-chr15-98907951-8
NR33414--MA0493.1.Klf1	chr2	32381917	32381927	+	0.000	0.000	Merged-chr2-32381893-56
NR65133--MA0039.3.KLF4	chr9	118059294	118059304	+	0.000	0.000	Merged-chr9-118059304-13
NR31015--MA0493.1.Klf1	chr19	8774463	8774473	+	0.000	0.000	Merged-chr19-8774618-52
NR26072--MA0741.1.KLF16	chr17	19435239	19435249	+	0.000	0.000	Merged-chr17-19435269-18
NR8970--MA0599.1.KLF5	chr11	34782603	34782612	-	0.000	0.000	Merged-chr11-34782610-2
NR38753--MA0741.1.KLF16	chr3	87841001	87841011	+	0.000	0.000	Merged-chr3-87841057-16
NR49571--MA1107.1.KLF9	chr5	139377609	139377621	-	0.000	0.000	Merged-chr5-139377554-24
NR60822--MA0493.1.Klf1	chr8	115276530	115276540	+	0.000	0.000	Merged-chr8-115276533-28
NR12845--MA1107.1.KLF9	chr12	15896719	15896731	-	0.000	0.000	Merged-chr12-15896851-37
NR13912--MA0039.3.KLF4	chr12	85632519	85632529	-	0.000	0.000	Merged-chr12-85632486-20
NR8323--MA0741.1.KLF16	chr11	3703673	3703683	+	0.000	0.000	Merged-chr11-3703654-26
NR15550--MA0039.3.KLF4	chr13	23453845	23453855	+	0.000	0.000	Merged-chr13-23453663-42
NR15417--MA0493.1.Klf1	chr13	12499360	12499370	-	0.000	0.000	Merged-chr13-12499306-22
NR26627--MA0741.1.KLF16	chr17	29549779	29549789	-	0.000	0.000	Merged-chr17-29549704-46
NR6781--MA0493.1.Klf1	chr10	93467724	93467734	+	0.000	0.000	Merged-chr10-93467745-45
NR619--MA0493.1.Klf1	chr1	52578408	52578418	+	0.000	0.000	Merged-chr1-52578518-39
NR30073--MA0493.1.Klf1	chr18	69196484	69196494	+	0.000	0.000	Merged-chr18-69196479-70
NR47845--MA0599.1.KLF5	chr5	112239656	112239665	-	0.000	0.000	Merged-chr5-112239781-12
NR27910--MA0741.1.KLF16	chr17	65954081	65954091	-	0.000	0.000	Merged-chr17-65954196-36
NR8955--MA0741.1.KLF16	chr11	33162346	33162356	+	0.000	0.000	Merged-chr11-33162343-10
NR52627--MA0493.1.Klf1	chr6	120264385	120264395	-	0.000	0.000	Merged-chr6-120264409-18
NR15416--MA0039.3.KLF4	chr13	12499358	12499368	-	0.000	0.000	Merged-chr13-12499306-22
NR13017--MA0039.3.KLF4	chr12	25155528	25155538	-	0.000	0.000	Merged-chr12-25155613-40
NR1318--MA1107.1.KLF9	chr1	87847232	87847244	-	0.000	0.000	Merged-chr1-87847290-68
NR53855--MA1107.1.KLF9	chr6	145135508	145135520	-	0.000	0.000	Merged-chr6-145135361-11
NR3721--MA0039.3.KLF4	chr1	181228989	181228999	+	0.000	0.000	Merged-chr1-181229140-10
NR16115--MA0741.1.KLF16	chr13	49371629	49371639	+	0.000	0.000	Merged-chr13-49371654-30
NR55154--MA0599.1.KLF5	chr7	31028759	31028768	+	0.000	0.000	Merged-chr7-31028766-21
NR47863--MA0599.1.KLF5	chr5	112242597	112242606	+	0.000	0.000	Merged-chr5-112242517-49
NR2507--MA0493.1.Klf1	chr1	151382181	151382191	+	0.000	0.000	Merged-chr1-151382217-13
NR46871--MA0493.1.Klf1	chr5	73206407	73206417	-	0.000	0.000	Merged-chr5-73206518-35
NR31719--MA0599.1.KLF5	chr19	40661295	40661304	+	0.000	0.000	Merged-chr19-40661209-23
NR49870--MA0740.1.KLF14	chr5	143975134	143975147	+	0.000	0.000	Merged-chr5-143975077-1
NR45195--MA0741.1.KLF16	chr4	150894754	150894764	+	0.000	0.000	Merged-chr4-150894695-19
NR29624--MA0599.1.KLF5	chr18	56431889	56431898	+	0.000	0.000	Merged-chr18-56431859-87
NR57865--MA0039.3.KLF4	chr7	135669502	135669512	+	0.000	0.000	Merged-chr7-135669447-32
NR48519--MA0657.1.KLF13	chr5	122430271	122430288	+	0.000	0.000	Merged-chr5-122430278-22
NR14273--MA1107.1.KLF9	chr12	100986997	100987009	-	0.000	0.000	Merged-chr12-100986861-13
NR895--MA0740.1.KLF14	chr1	66878637	66878650	+	0.000	0.000	Merged-chr1-66878572-10
NR11786--MA0741.1.KLF16	chr11	107444017	107444027	-	0.000	0.000	Merged-chr11-107443890-34
NR52583--MA0599.1.KLF5	chr6	119199131	119199140	+	0.000	0.000	Merged-chr6-119199024-52
NR28315--MA0599.1.KLF5	chr17	80061425	80061434	+	0.000	0.000	Merged-chr17-80061241-5
NR11372--MA0741.1.KLF16	chr11	101171557	101171567	-	0.000	0.000	Merged-chr11-101171521-37
NR4543--MA0740.1.KLF14	chr10	8370347	8370360	+	0.000	0.000	Merged-chr10-8370203-10
NR2024--MA0741.1.KLF16	chr1	132341980	132341990	+	0.000	0.000	Merged-chr1-132341932-46
NR24630--MA0742.1.Klf12	chr16	55924216	55924230	+	0.000	0.000	Merged-chr16-55924140-18
NR21392--MA1107.1.KLF9	chr15	60120074	60120086	-	0.000	0.000	Merged-chr15-60120172-38
NR49567--MA0741.1.KLF16	chr5	139377608	139377618	-	0.000	0.000	Merged-chr5-139377554-24
NR16186--MA0740.1.KLF14	chr13	51781679	51781692	+	0.000	0.000	Merged-chr13-51781746-17
NR60354--MA0742.1.Klf12	chr8	94447716	94447730	-	0.000	0.000	Merged-chr8-94447653-43
NR22433--MA0740.1.KLF14	chr15	86058711	86058724	-	0.000	0.000	Merged-chr15-86058836-53
NR30787--MA0741.1.KLF16	chr19	4943123	4943133	+	0.000	0.000	Merged-chr19-4942974-44
NR53865--MA0493.1.Klf1	chr6	145249542	145249552	-	0.000	0.000	Merged-chr6-145249454-6
NR36760--MA0741.1.KLF16	chr2	164913585	164913595	-	0.000	0.000	Merged-chr2-164913622-30
NR31722--MA0039.3.KLF4	chr19	40665956	40665966	-	0.000	0.000	Merged-chr19-40666029-20
NR20984--MA0599.1.KLF5	chr15	34096547	34096556	-	0.000	0.000	Merged-chr15-34096594-23
NR60671--MA0599.1.KLF5	chr8	110805943	110805952	-	0.000	0.000	Merged-chr8-110805872-34
NR51143--MA1107.1.KLF9	chr6	51533580	51533592	-	0.000	0.000	Merged-chr6-51533616-16
NR29987--MA0599.1.KLF5	chr18	67443949	67443958	-	0.000	0.000	Merged-chr18-67443843-22
NR29629--MA0599.1.KLF5	chr18	56441043	56441052	-	0.000	0.000	Merged-chr18-56441033-15
NR67041--MA1107.1.KLF9	chrX	169973437	169973449	+	0.000	0.000	Merged-chrX-169973362-71
NR1336--MA0039.3.KLF4	chr1	88267861	88267871	+	0.000	0.000	Merged-chr1-88267879-42
NR28874--MA0742.1.Klf12	chr18	7869133	7869147	-	0.000	0.000	Merged-chr18-7869140-116
NR57576--MA0599.1.KLF5	chr7	128180326	128180335	-	0.000	0.000	Merged-chr7-128180557-37
NR14267--MA0740.1.KLF14	chr12	100986996	100987009	-	0.000	0.000	Merged-chr12-100986861-13
NR31607--MA0493.1.Klf1	chr19	37110671	37110681	+	0.000	0.000	Merged-chr19-37110576-17
NR37764--MA0742.1.Klf12	chr3	9947825	9947839	+	0.000	0.000	Merged-chr3-9947852-23
NR60670--MA1107.1.KLF9	chr8	110805816	110805828	-	0.000	0.000	Merged-chr8-110805872-34
NR52579--MA0599.1.KLF5	chr6	119199111	119199120	+	0.000	0.000	Merged-chr6-119199024-52
NR10493--MA0740.1.KLF14	chr11	83637043	83637056	-	0.000	0.000	Merged-chr11-83637048-8
NR424--MA0742.1.Klf12	chr1	38987726	38987740	+	0.000	0.000	Merged-chr1-38987666-67
NR60358--MA0741.1.KLF16	chr8	94447769	94447779	+	0.000	0.000	Merged-chr8-94447653-43
NR51848--MA0741.1.KLF16	chr6	88832790	88832800	-	0.000	0.000	Merged-chr6-88832926-25
NR21397--MA1107.1.KLF9	chr15	60120086	60120098	-	0.000	0.000	Merged-chr15-60120172-38
NR11797--MA0493.1.Klf1	chr11	108268680	108268690	+	0.000	0.000	Merged-chr11-108268786-21
NR53851--MA0742.1.Klf12	chr6	145135517	145135531	+	0.000	0.000	Merged-chr6-145135361-11
NR533--MA0742.1.Klf12	chr1	40501802	40501816	-	0.000	0.000	Merged-chr1-40501898-34
NR58544--MA1107.1.KLF9	chr8	11107239	11107251	-	0.000	0.000	Merged-chr8-11107220-18
NR11992--MA0742.1.Klf12	chr11	113187328	113187342	+	0.000	0.000	Merged-chr11-113187180-1
NR5155--MA0493.1.Klf1	chr10	44447652	44447662	-	0.000	0.000	Merged-chr10-44447590-6
NR896--MA0657.1.KLF13	chr1	66878636	66878653	+	0.000	0.000	Merged-chr1-66878572-10
NR11364--MA0741.1.KLF16	chr11	101082545	101082555	+	0.000	0.000	Merged-chr11-101082516-61
NR16575--MA0493.1.Klf1	chr13	65070137	65070147	+	0.000	0.000	Merged-chr13-65070187-24
NR34559--MA0493.1.Klf1	chr2	91078388	91078398	-	0.000	0.000	Merged-chr2-91078502-21
NR39569--MA1107.1.KLF9	chr3	105900446	105900458	-	0.000	0.000	Merged-chr3-105900628-63
NR4544--MA0657.1.KLF13	chr10	8370346	8370363	+	0.000	0.000	Merged-chr10-8370203-10
NR39566--MA0742.1.Klf12	chr3	105900444	105900458	-	0.000	0.000	Merged-chr3-105900628-63
NR61766--MA0599.1.KLF5	chr9	13749256	13749265	+	0.000	0.000	Merged-chr9-13749254-57
NR24635--MA0039.3.KLF4	chr16	55924233	55924243	+	0.000	0.000	Merged-chr16-55924140-18
NR54422--MA1107.1.KLF9	chr7	16783489	16783501	-	0.000	0.000	Merged-chr7-16783425-42
NR56628--MA0740.1.KLF14	chr7	101537734	101537747	-	0.000	0.000	Merged-chr7-101537821-5
NR28323--MA0039.3.KLF4	chr17	80169134	80169144	+	0.000	0.000	Merged-chr17-80169005-20
NR47858--MA0039.3.KLF4	chr5	112239789	112239799	-	0.000	0.000	Merged-chr5-112239781-12
NR9993--MA1107.1.KLF9	chr11	70622583	70622595	-	0.000	0.000	Merged-chr11-70622499-26
NR16574--MA0039.3.KLF4	chr13	65070139	65070149	+	0.000	0.000	Merged-chr13-65070187-24
NR16187--MA0657.1.KLF13	chr13	51781678	51781695	+	0.000	0.000	Merged-chr13-51781746-17
NR24628--MA0740.1.KLF14	chr16	55924216	55924229	+	0.000	0.000	Merged-chr16-55924140-18
NR55924--MA0742.1.Klf12	chr7	67444542	67444556	-	0.000	0.000	Merged-chr7-67444614-20
NR43766--MA0742.1.Klf12	chr4	129621212	129621226	+	0.000	0.000	Merged-chr4-129621333-30
NR6389--MA0599.1.KLF5	chr10	81401779	81401788	-	0.000	0.000	Merged-chr10-81401925-26
NR23380--MA1107.1.KLF9	chr15	102225228	102225240	+	0.000	0.000	Merged-chr15-102225119-79
NR1065--MA0599.1.KLF5	chr1	75213263	75213272	-	0.000	0.000	Merged-chr1-75213327-22
NR24246--MA0741.1.KLF16	chr16	32658895	32658905	+	0.000	0.000	Merged-chr16-32659000-27
NR4446--MA0742.1.Klf12	chr1	194995347	194995361	+	0.000	0.000	Merged-chr1-194995347-49
NR56621--MA0599.1.KLF5	chr7	101466458	101466467	-	0.000	0.000	Merged-chr7-101466620-78
NR61872--MA0741.1.KLF16	chr9	21167778	21167788	+	0.000	0.000	Merged-chr9-21167831-1
NR16108--MA0742.1.Klf12	chr13	49298703	49298717	+	0.000	0.000	Merged-chr13-49298668-48
NR26069--MA0599.1.KLF5	chr17	19435239	19435248	+	0.000	0.000	Merged-chr17-19435269-18
NR17841--MA0740.1.KLF14	chr13	111297789	111297802	+	0.000	0.000	Merged-chr13-111297823-12
NR14268--MA0657.1.KLF13	chr12	100986993	100987010	-	0.000	0.000	Merged-chr12-100986861-13
NR53868--MA0741.1.KLF16	chr6	145249630	145249640	-	0.000	0.000	Merged-chr6-145249454-6
NR38861--MA0599.1.KLF5	chr3	89183124	89183133	+	0.000	0.000	Merged-chr3-89183015-64
NR11167--MA0599.1.KLF5	chr11	98510400	98510409	+	0.000	0.000	Merged-chr11-98510270-21
NR14624--MA0493.1.Klf1	chr12	107961261	107961271	+	0.000	0.000	Merged-chr12-107961222-28
NR32895--MA0599.1.KLF5	chr2	25148074	25148083	+	0.000	0.000	Merged-chr2-25148103-14
NR17593--MA1107.1.KLF9	chr13	104937903	104937915	+	0.000	0.000	Merged-chr13-104937983-19
NR42122--MA0741.1.KLF16	chr4	46485839	46485849	-	0.000	0.000	Merged-chr4-46485924-53
NR16923--MA0741.1.KLF16	chr13	85505186	85505196	-	0.000	0.000	Merged-chr13-85505133-53
NR19634--MA1107.1.KLF9	chr14	73290096	73290108	-	0.000	0.000	Merged-chr14-73290096-39
NR5477--MA0740.1.KLF14	chr10	62247946	62247959	-	0.000	0.000	Merged-chr10-62247968-20
NR5765--MA0599.1.KLF5	chr10	75536382	75536391	-	0.000	0.000	Merged-chr10-75536310-39
NR16189--MA0741.1.KLF16	chr13	51781680	51781690	+	0.000	0.000	Merged-chr13-51781746-17
NR22436--MA0741.1.KLF16	chr15	86058713	86058723	-	0.000	0.000	Merged-chr15-86058836-53
NR3123--MA1107.1.KLF9	chr1	166429125	166429137	-	0.000	0.000	Merged-chr1-166429186-23
NR47412--MA0740.1.KLF14	chr5	100485640	100485653	-	0.000	0.000	Merged-chr5-100485645-6
NR24639--MA0741.1.KLF16	chr16	55924232	55924242	+	0.000	0.000	Merged-chr16-55924140-18
NR30119--MA1107.1.KLF9	chr18	70462747	70462759	+	0.000	0.000	Merged-chr18-70462917-22
NR42123--MA1107.1.KLF9	chr4	46485838	46485850	-	0.000	0.000	Merged-chr4-46485924-53
NR20900--MA0599.1.KLF5	chr15	25865811	25865820	-	0.000	0.000	Merged-chr15-25865817-16
NR65445--MA0493.1.Klf1	chr9	121881085	121881095	-	0.000	0.000	Merged-chr9-121881048-26
NR22178--MA0741.1.KLF16	chr15	81872355	81872365	+	0.000	0.000	Merged-chr15-81872198-88
NR47466--MA0742.1.Klf12	chr5	100872339	100872353	-	0.000	0.000	Merged-chr5-100872198-32
NR620--MA1107.1.KLF9	chr1	52578404	52578416	+	0.000	0.000	Merged-chr1-52578518-39
NR16190--MA1107.1.KLF9	chr13	51781679	51781691	+	0.000	0.000	Merged-chr13-51781746-17
NR61098--MA0039.3.KLF4	chr8	120668308	120668318	-	0.000	0.000	Merged-chr8-120668120-83
NR51526--MA0599.1.KLF5	chr6	72410884	72410893	+	0.000	0.000	Merged-chr6-72410796-13
NR11574--MA0741.1.KLF16	chr11	103375271	103375281	+	0.000	0.000	Merged-chr11-103375376-18
NR17589--MA1107.1.KLF9	chr13	104937895	104937907	+	0.000	0.000	Merged-chr13-104937983-19
NR43325--MA1107.1.KLF9	chr4	120053610	120053622	-	0.000	0.000	Merged-chr4-120053646-59
NR56630--MA0493.1.Klf1	chr7	101537737	101537747	-	0.000	0.000	Merged-chr7-101537821-5
NR21680--MA1107.1.KLF9	chr15	75894412	75894424	+	0.000	0.000	Merged-chr15-75894455-46
NR16164--MA0493.1.Klf1	chr13	51726393	51726403	-	0.000	0.000	Merged-chr13-51726299-41
NR65952--MA0741.1.KLF16	chrX	48147979	48147989	+	0.000	0.000	Merged-chrX-48147927-58
NR15415--MA0599.1.KLF5	chr13	12499360	12499369	-	0.000	0.000	Merged-chr13-12499306-22
NR13016--MA0599.1.KLF5	chr12	25155530	25155539	-	0.000	0.000	Merged-chr12-25155613-40
NR14628--MA0039.3.KLF4	chr12	107961291	107961301	+	0.000	0.000	Merged-chr12-107961222-28
NR62212--MA0599.1.KLF5	chr9	32695948	32695957	+	0.000	0.000	Merged-chr9-32696080-66
NR3720--MA0599.1.KLF5	chr1	181228988	181228997	+	0.000	0.000	Merged-chr1-181229140-10
NR49879--MA0599.1.KLF5	chr5	143976872	143976881	-	0.000	0.000	Merged-chr5-143976902-14
NR17769--MA0741.1.KLF16	chr13	109239168	109239178	-	0.000	0.000	Merged-chr13-109239401-35
NR42128--MA1107.1.KLF9	chr4	46508193	46508205	-	0.000	0.000	Merged-chr4-46508172-31
NR64256--MA0039.3.KLF4	chr9	100540495	100540505	-	0.000	0.000	Merged-chr9-100540480-23
