#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Bcl6/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval0.3-log2fc0.5_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval0.3-log2fc0.5_dn.bed
NR508--MA0731.1.BCL6B	chr13	35871507	35871523	-	0.000	0.000	Merged-chr13-35871308-48
NR251--MA0731.1.BCL6B	chr10	117938820	117938836	+	0.000	0.000	Merged-chr10-117938782-19
NR463--MA0463.1.Bcl6	chr12	116269636	116269649	-	0.000	0.000	Merged-chr12-116269685-29
NR822--MA0463.1.Bcl6	chr17	29500923	29500936	+	0.000	0.000	Merged-chr17-29500871-30
NR1065--MA0463.1.Bcl6	chr2	78997507	78997520	-	0.000	0.000	Merged-chr2-78997509-22
NR1362--MA0731.1.BCL6B	chr4	101298359	101298375	-	0.000	0.000	Merged-chr4-101298593-40
NR738--MA0463.1.Bcl6	chr16	11519381	11519394	+	0.000	0.000	Merged-chr16-11519349-21
NR1102--MA0463.1.Bcl6	chr2	128073156	128073169	+	0.000	0.000	Merged-chr2-128073179-40
NR1219--MA0463.1.Bcl6	chr3	84631009	84631022	-	0.000	0.000	Merged-chr3-84630888-13
NR448--MA0463.1.Bcl6	chr12	107992791	107992804	-	0.000	0.000	Merged-chr12-107992676-1
NR1713--MA0731.1.BCL6B	chr7	44896014	44896030	-	0.000	0.000	Merged-chr7-44895929-62
NR1255--MA0463.1.Bcl6	chr3	108718084	108718097	+	0.000	0.000	Merged-chr3-108718262-42
NR1927--MA0463.1.Bcl6	chr9	58247240	58247253	-	0.000	0.000	Merged-chr9-58247218-31
NR2014--MA0463.1.Bcl6	chrX	101222330	101222343	-	0.000	0.000	Merged-chrX-101222420-75
NR180--MA0463.1.Bcl6	chr10	34197354	34197367	-	0.000	0.000	Merged-chr10-34197506-23
NR340--MA0731.1.BCL6B	chr11	98918361	98918377	-	0.000	0.000	Merged-chr11-98918377-19
NR823--MA0463.1.Bcl6	chr17	29606455	29606468	+	0.000	0.000	Merged-chr17-29606605-11
NR1196--MA0463.1.Bcl6	chr3	37753353	37753366	-	0.000	0.000	Merged-chr3-37753406-27
NR1559--MA0731.1.BCL6B	chr5	146882273	146882289	-	0.000	0.000	Merged-chr5-146882424-24
NR640--MA0463.1.Bcl6	chr14	79499759	79499772	+	0.000	0.000	Merged-chr14-79499625-44
NR435--MA0463.1.Bcl6	chr12	98445746	98445759	+	0.000	0.000	Merged-chr12-98445818-15
NR322--MA0731.1.BCL6B	chr11	83737560	83737576	-	0.000	0.000	Merged-chr11-83737468-25
NR1578--MA0463.1.Bcl6	chr6	31080774	31080787	+	0.000	0.000	Merged-chr6-31081023-63
NR1811--MA0463.1.Bcl6	chr7	142435488	142435501	+	0.000	0.000	Merged-chr7-142435660-33
NR750--MA0463.1.Bcl6	chr16	23988588	23988601	+	0.000	0.000	Merged-chr16-23988801-56
NR49--MA0463.1.Bcl6	chr1	95674197	95674210	-	0.000	0.000	Merged-chr1-95674241-20
NR675--MA0463.1.Bcl6	chr15	38452730	38452743	-	0.000	0.000	Merged-chr15-38452892-28
NR684--MA0463.1.Bcl6	chr15	61408685	61408698	+	0.000	0.000	Merged-chr15-61408601-39
NR1912--MA0463.1.Bcl6	chr9	35123023	35123036	-	0.000	0.000	Merged-chr9-35123035-17
