#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Bcl6/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval0.3-log2fc0.5_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval0.3-log2fc0.5_dn.bed
NR81--MA0731.1.BCL6B	chr1	128615523	128615539	+	0.000	0.000	Merged-chr1-128615599-2
NR60--MA0731.1.BCL6B	chr1	106867027	106867043	+	0.000	0.000	Merged-chr1-106866899-32
NR980--MA0731.1.BCL6B	chr18	66501996	66502012	+	0.000	0.000	Merged-chr18-66502099-22
NR1632--MA0463.1.Bcl6	chr5	146845045	146845058	-	0.000	0.000	Merged-chr5-146845015-50
NR876--MA0731.1.BCL6B	chr17	15431227	15431243	+	0.000	0.000	Merged-chr17-15431042-28
NR1--MA0463.1.Bcl6	chr1	6454138	6454151	+	0.000	0.000	Merged-chr1-6454252-50
NR1436--MA0463.1.Bcl6	chr4	95096786	95096799	+	0.000	0.000	Merged-chr4-95096971-16
NR1907--MA0731.1.BCL6B	chr8	12607380	12607396	-	0.000	0.000	Merged-chr8-12607436-37
NR307--MA0463.1.Bcl6	chr11	19019310	19019323	+	0.000	0.000	Merged-chr11-19019022-32
NR692--MA0463.1.Bcl6	chr14	75845845	75845858	-	0.000	0.000	Merged-chr14-75845908-1
NR1132--MA0463.1.Bcl6	chr2	93132375	93132388	-	0.000	0.000	Merged-chr2-93132297-53
NR1174--MA0731.1.BCL6B	chr2	132131470	132131486	-	0.000	0.000	Merged-chr2-132131548-24
NR37--MA0463.1.Bcl6	chr1	79701872	79701885	+	0.000	0.000	Merged-chr1-79701854-14
NR1318--MA0463.1.Bcl6	chr3	109747809	109747822	+	0.000	0.000	Merged-chr3-109747952-27
NR471--MA0463.1.Bcl6	chr12	98445746	98445759	+	0.000	0.000	Merged-chr12-98445818-15
NR449--MA0463.1.Bcl6	chr12	80887378	80887391	-	0.000	0.000	Merged-chr12-80887298-29
NR1811--MA0463.1.Bcl6	chr7	83564940	83564953	-	0.000	0.000	Merged-chr7-83565043-35
NR1153--MA0463.1.Bcl6	chr2	116900081	116900094	+	0.000	0.000	Merged-chr2-116900141-29
NR1055--MA0463.1.Bcl6	chr2	11429807	11429820	-	0.000	0.000	Merged-chr2-11429787-25
NR306--MA0731.1.BCL6B	chr11	16838859	16838875	+	0.000	0.000	Merged-chr11-16838980-8
NR253--MA0731.1.BCL6B	chr10	95842886	95842902	-	0.000	0.000	Merged-chr10-95843057-27
NR1633--MA0463.1.Bcl6	chr5	146897121	146897134	-	0.000	0.000	Merged-chr5-146897155-34
NR1405--MA0463.1.Bcl6	chr4	41295729	41295742	+	0.000	0.000	Merged-chr4-41295781-15
NR1419--MA0463.1.Bcl6	chr4	59682660	59682673	+	0.000	0.000	Merged-chr4-59682801-45
NR80--MA0463.1.Bcl6	chr1	128615523	128615536	-	0.000	0.000	Merged-chr1-128615599-2
NR1972--MA0731.1.BCL6B	chr8	117121670	117121686	+	0.000	0.000	Merged-chr8-117121600-27
NR326--MA0463.1.Bcl6	chr11	55204358	55204371	-	0.000	0.000	Merged-chr11-55204497-48
NR1227--MA0463.1.Bcl6	chr2	169398595	169398608	+	0.000	0.000	Merged-chr2-169398588-9
NR590--MA0463.1.Bcl6	chr13	92671666	92671679	-	0.000	0.000	Merged-chr13-92671922-24
NR1035--MA0463.1.Bcl6	chr19	44078437	44078450	+	0.000	0.000	Merged-chr19-44078434-18
NR910--MA0731.1.BCL6B	chr17	51912478	51912494	+	0.000	0.000	Merged-chr17-51912401-22
