#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-pval0.3-log2fc0.5_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-pval0.3-log2fc0.5_up.bed
NR71835--MA0599.1.KLF5	chrX	20817153	20817162	+	0.000	0.000	Merged-chrX-20817186-39
NR8487--MA0741.1.KLF16	chr10	119005764	119005774	+	0.000	0.000	Merged-chr10-119005704-15
NR67341--MA0599.1.KLF5	chr8	124085801	124085810	+	0.000	0.000	Merged-chr8-124085760-17
NR11704--MA0741.1.KLF16	chr11	93995358	93995368	+	0.000	0.000	Merged-chr11-93995310-5
NR8486--MA0493.1.Klf1	chr10	119005763	119005773	+	0.000	0.000	Merged-chr10-119005704-15
NR59392--MA0599.1.KLF5	chr7	24237638	24237647	+	0.000	0.000	Merged-chr7-24237656-23
NR57526--MA0599.1.KLF5	chr6	125433809	125433818	+	0.000	0.000	Merged-chr6-125433874-28
NR21015--MA0740.1.KLF14	chr14	74646345	74646358	-	0.000	0.000	Merged-chr14-74646498-47
NR47494--MA0039.3.KLF4	chr4	129696179	129696189	+	0.000	0.000	Merged-chr4-129696167-1
NR47276--MA0741.1.KLF16	chr4	124709098	124709108	+	0.000	0.000	Merged-chr4-124709015-86
NR23084--MA0493.1.Klf1	chr15	59541152	59541162	+	0.000	0.000	Merged-chr15-59541132-33
NR22648--MA0741.1.KLF16	chr15	36727838	36727848	+	0.000	0.000	Merged-chr15-36727812-56
NR33419--MA0493.1.Klf1	chr19	17257001	17257011	-	0.000	0.000	Merged-chr19-17256835-48
NR42991--MA0599.1.KLF5	chr3	123446915	123446924	-	0.000	0.000	Merged-chr3-123446801-1
NR2333--MA0599.1.KLF5	chr1	128615668	128615677	-	0.000	0.000	Merged-chr1-128615599-2
NR43490--MA0742.1.Klf12	chr3	135675685	135675699	+	0.000	0.000	Merged-chr3-135675679-12
NR38689--MA1107.1.KLF9	chr2	144188430	144188442	-	0.000	0.000	Merged-chr2-144188289-22
NR31991--MA1107.1.KLF9	chr18	66502016	66502028	-	0.000	0.000	Merged-chr18-66502099-22
NR20798--MA0741.1.KLF16	chr14	67886975	67886985	+	0.000	0.000	Merged-chr14-67887091-21
NR24662--MA1107.1.KLF9	chr15	98927703	98927715	+	0.000	0.000	Merged-chr15-98927787-24
NR33319--MA0741.1.KLF16	chr19	10801349	10801359	-	0.000	0.000	Merged-chr19-10801244-29
NR1396--MA0599.1.KLF5	chr1	82834720	82834729	-	0.000	0.000	Merged-chr1-82834713-10
NR17212--MA1107.1.KLF9	chr13	58158314	58158326	-	0.000	0.000	Merged-chr13-58158134-148
NR41074--MA0742.1.Klf12	chr3	54567518	54567532	+	0.000	0.000	Merged-chr3-54567528-25
NR48966--MA1107.1.KLF9	chr4	154065655	154065667	-	0.000	0.000	Merged-chr4-154065575-29
NR58796--MA0599.1.KLF5	chr7	4460697	4460706	+	0.000	0.000	Merged-chr7-4460679-27
NR48971--MA0493.1.Klf1	chr4	154105757	154105767	-	0.000	0.000	Merged-chr4-154105612-38
NR4787--MA0740.1.KLF14	chr1	191097826	191097839	+	0.000	0.000	Merged-chr1-191097986-4
NR66867--MA0741.1.KLF16	chr8	116735521	116735531	-	0.000	0.000	Merged-chr8-116735664-29
NR42666--MA0741.1.KLF16	chr3	109444301	109444311	+	0.000	0.000	Merged-chr3-109444108-35
NR62054--MA0493.1.Klf1	chr7	110203788	110203798	-	0.000	0.000	Merged-chr7-110203728-41
NR24658--MA1107.1.KLF9	chr15	98927695	98927707	+	0.000	0.000	Merged-chr15-98927787-24
NR45708--MA0741.1.KLF16	chr4	59580714	59580724	+	0.000	0.000	Merged-chr4-59580759-4
NR45134--MA0740.1.KLF14	chr4	43044013	43044026	+	0.000	0.000	Merged-chr4-43044114-23
NR45023--MA0741.1.KLF16	chr4	41348058	41348068	+	0.000	0.000	Merged-chr4-41348000-22
NR65049--MA0742.1.Klf12	chr8	61517663	61517677	-	0.000	0.000	Merged-chr8-61517791-23
NR22643--MA0740.1.KLF14	chr15	36727837	36727850	+	0.000	0.000	Merged-chr15-36727812-56
NR45707--MA0599.1.KLF5	chr4	59580714	59580723	+	0.000	0.000	Merged-chr4-59580759-4
NR24886--MA0039.3.KLF4	chr15	102263191	102263201	-	0.000	0.000	Merged-chr15-102263146-38
NR31987--MA0039.3.KLF4	chr18	66502012	66502022	-	0.000	0.000	Merged-chr18-66502099-22
NR72489--MA0741.1.KLF16	chrX	113298191	113298201	-	0.000	0.000	Merged-chrX-113298172-75
NR5410--MA1107.1.KLF9	chr10	21354071	21354083	-	0.000	0.000	Merged-chr10-21353968-32
NR67037--MA0039.3.KLF4	chr8	120050177	120050187	-	0.000	0.000	Merged-chr8-120050156-23
NR30473--MA0493.1.Klf1	chr17	84056508	84056518	-	0.000	0.000	Merged-chr17-84056540-29
NR62050--MA0657.1.KLF13	chr7	110203782	110203799	-	0.000	0.000	Merged-chr7-110203728-41
NR63833--MA1107.1.KLF9	chr7	143501134	143501146	+	0.000	0.000	Merged-chr7-143501142-12
NR4786--MA1107.1.KLF9	chr1	191097789	191097801	+	0.000	0.000	Merged-chr1-191097986-4
NR59758--MA0741.1.KLF16	chr7	28809115	28809125	+	0.000	0.000	Merged-chr7-28809284-68
NR27088--MA0740.1.KLF14	chr16	93572667	93572680	+	0.000	0.000	Merged-chr16-93572534-34
NR47493--MA0599.1.KLF5	chr4	129696178	129696187	+	0.000	0.000	Merged-chr4-129696167-1
NR13111--MA0741.1.KLF16	chr11	118248640	118248650	+	0.000	0.000	Merged-chr11-118248688-60
NR33420--MA1107.1.KLF9	chr19	17256999	17257011	-	0.000	0.000	Merged-chr19-17256835-48
NR9314--MA0493.1.Klf1	chr11	6410291	6410301	-	0.000	0.000	Merged-chr11-6410402-18
NR40956--MA0493.1.Klf1	chr3	51378745	51378755	+	0.000	0.000	Merged-chr3-51378644-3
NR56868--MA0599.1.KLF5	chr6	108665782	108665791	+	0.000	0.000	Merged-chr6-108665749-34
NR50767--MA0493.1.Klf1	chr5	66190794	66190804	-	0.000	0.000	Merged-chr5-66190965-54
NR22644--MA0657.1.KLF13	chr15	36727836	36727853	+	0.000	0.000	Merged-chr15-36727812-56
NR23161--MA0039.3.KLF4	chr15	62079501	62079511	+	0.000	0.000	Merged-chr15-62079594-24
NR1871--MA0493.1.Klf1	chr1	105565262	105565272	+	0.000	0.000	Merged-chr1-105565114-33
NR41075--MA0599.1.KLF5	chr3	54567519	54567528	+	0.000	0.000	Merged-chr3-54567528-25
NR45028--MA0741.1.KLF16	chr4	41348063	41348073	+	0.000	0.000	Merged-chr4-41348000-22
NR8488--MA1107.1.KLF9	chr10	119005763	119005775	+	0.000	0.000	Merged-chr10-119005704-15
NR48243--MA0741.1.KLF16	chr4	139598142	139598152	+	0.000	0.000	Merged-chr4-139598021-2
NR46712--MA0493.1.Klf1	chr4	108371566	108371576	-	0.000	0.000	Merged-chr4-108371608-19
NR65931--MA0741.1.KLF16	chr8	85037142	85037152	-	0.000	0.000	Merged-chr8-85037291-15
NR26221--MA1107.1.KLF9	chr16	49796925	49796937	+	0.000	0.000	Merged-chr16-49797153-43
NR65163--MA1107.1.KLF9	chr8	68158279	68158291	+	0.000	0.000	Merged-chr8-68158417-16
NR39736--MA1107.1.KLF9	chr2	168580393	168580405	+	0.000	0.000	Merged-chr2-168580470-46
NR13840--MA0742.1.Klf12	chr12	30557543	30557557	+	0.000	0.000	Merged-chr12-30557589-12
NR18721--MA0599.1.KLF5	chr13	111297762	111297771	+	0.000	0.000	Merged-chr13-111297823-12
NR55052--MA0741.1.KLF16	chr6	38551315	38551325	-	0.000	0.000	Merged-chr6-38551188-3
NR69957--MA1107.1.KLF9	chr9	86624895	86624907	-	0.000	0.000	Merged-chr9-86625059-9
NR39712--MA0741.1.KLF16	chr2	168492188	168492198	-	0.000	0.000	Merged-chr2-168492092-36
NR26217--MA1107.1.KLF9	chr16	49796917	49796929	+	0.000	0.000	Merged-chr16-49797153-43
NR72484--MA0740.1.KLF14	chrX	113298189	113298202	-	0.000	0.000	Merged-chrX-113298172-75
NR26235--MA1107.1.KLF9	chr16	49982432	49982444	-	0.000	0.000	Merged-chr16-49982447-38
NR65048--MA0740.1.KLF14	chr8	61517664	61517677	-	0.000	0.000	Merged-chr8-61517791-23
NR72828--MA0742.1.Klf12	chrX	159910925	159910939	+	0.000	0.000	Merged-chrX-159910945-21
NR54058--MA0599.1.KLF5	chr5	144295025	144295034	-	0.000	0.000	Merged-chr5-144295152-24
NR24400--MA1107.1.KLF9	chr15	93694680	93694692	+	0.000	0.000	Merged-chr15-93694661-9
NR15580--MA0039.3.KLF4	chr12	108423147	108423157	-	0.000	0.000	Merged-chr12-108423152-36
NR55054--MA0599.1.KLF5	chr6	38551382	38551391	-	0.000	0.000	Merged-chr6-38551188-3
NR10329--MA0493.1.Klf1	chr11	57952970	57952980	-	0.000	0.000	Merged-chr11-57952769-40
NR10328--MA0039.3.KLF4	chr11	57952968	57952978	-	0.000	0.000	Merged-chr11-57952769-40
NR16111--MA1107.1.KLF9	chr13	5847056	5847068	+	0.000	0.000	Merged-chr13-5847113-25
NR46342--MA0599.1.KLF5	chr4	97996086	97996095	+	0.000	0.000	Merged-chr4-97996259-58
NR21016--MA0741.1.KLF16	chr14	74646347	74646357	-	0.000	0.000	Merged-chr14-74646498-47
NR45136--MA0599.1.KLF5	chr4	43044014	43044023	+	0.000	0.000	Merged-chr4-43044114-23
NR48973--MA1107.1.KLF9	chr4	154105755	154105767	-	0.000	0.000	Merged-chr4-154105612-38
NR23166--MA0741.1.KLF16	chr15	62079506	62079516	+	0.000	0.000	Merged-chr15-62079594-24
NR9996--MA0741.1.KLF16	chr11	49202766	49202776	-	0.000	0.000	Merged-chr11-49202721-8
NR48968--MA0741.1.KLF16	chr4	154105712	154105722	-	0.000	0.000	Merged-chr4-154105612-38
NR20306--MA0742.1.Klf12	chr14	54061508	54061522	+	0.000	0.000	Merged-chr14-54061633-25
NR16438--MA0039.3.KLF4	chr13	28500933	28500943	+	0.000	0.000	Merged-chr13-28501043-27
NR24665--MA1107.1.KLF9	chr15	98927709	98927721	+	0.000	0.000	Merged-chr15-98927787-24
NR33946--MA1107.1.KLF9	chr19	41597650	41597662	+	0.000	0.000	Merged-chr19-41597559-38
NR65336--MA0599.1.KLF5	chr8	70619090	70619099	+	0.000	0.000	Merged-chr8-70619084-21
NR59137--MA0741.1.KLF16	chr7	16908232	16908242	+	0.000	0.000	Merged-chr7-16908180-25
NR65527--MA0039.3.KLF4	chr8	72291267	72291277	-	0.000	0.000	Merged-chr8-72291225-23
NR34458--MA0039.3.KLF4	chr19	56756562	56756572	-	0.000	0.000	Merged-chr19-56756635-43
NR26080--MA0493.1.Klf1	chr16	44173588	44173598	+	0.000	0.000	Merged-chr16-44173749-3
NR27071--MA0741.1.KLF16	chr16	92400130	92400140	-	0.000	0.000	Merged-chr16-92400195-21
NR8364--MA0657.1.KLF13	chr10	117530900	117530917	-	0.000	0.000	Merged-chr10-117530898-41
NR15833--MA0493.1.Klf1	chr12	112800574	112800584	-	0.000	0.000	Merged-chr12-112800686-25
NR11408--MA0742.1.Klf12	chr11	82952050	82952064	+	0.000	0.000	Merged-chr11-82952114-4
NR1398--MA0741.1.KLF16	chr1	82834719	82834729	-	0.000	0.000	Merged-chr1-82834713-10
NR61693--MA0599.1.KLF5	chr7	99946489	99946498	+	0.000	0.000	Merged-chr7-99946527-26
NR46343--MA0741.1.KLF16	chr4	97996086	97996096	+	0.000	0.000	Merged-chr4-97996259-58
NR63832--MA0493.1.Klf1	chr7	143501134	143501144	+	0.000	0.000	Merged-chr7-143501142-12
NR37443--MA0599.1.KLF5	chr2	104095807	104095816	-	0.000	0.000	Merged-chr2-104095908-22
NR30031--MA0740.1.KLF14	chr17	74020690	74020703	-	0.000	0.000	Merged-chr17-74020674-41
NR41600--MA1107.1.KLF9	chr3	86955538	86955550	-	0.000	0.000	Merged-chr3-86955467-9
NR49201--MA0599.1.KLF5	chr5	3501818	3501827	-	0.000	0.000	Merged-chr5-3501855-46
NR8484--MA0742.1.Klf12	chr10	119005763	119005777	+	0.000	0.000	Merged-chr10-119005704-15
NR23716--MA0599.1.KLF5	chr15	78928309	78928318	+	0.000	0.000	Merged-chr15-78928209-40
NR65050--MA0599.1.KLF5	chr8	61517667	61517676	-	0.000	0.000	Merged-chr8-61517791-23
NR40968--MA0741.1.KLF16	chr3	51559695	51559705	-	0.000	0.000	Merged-chr3-51559853-4
NR10330--MA0741.1.KLF16	chr11	57952969	57952979	-	0.000	0.000	Merged-chr11-57952769-40
NR48241--MA0599.1.KLF5	chr4	139598142	139598151	+	0.000	0.000	Merged-chr4-139598021-2
NR72490--MA1107.1.KLF9	chrX	113298190	113298202	-	0.000	0.000	Merged-chrX-113298172-75
NR48240--MA1107.1.KLF9	chr4	139597982	139597994	+	0.000	0.000	Merged-chr4-139598021-2
NR37445--MA0741.1.KLF16	chr2	104095806	104095816	-	0.000	0.000	Merged-chr2-104095908-22
NR46714--MA1107.1.KLF9	chr4	108371564	108371576	-	0.000	0.000	Merged-chr4-108371608-19
NR65052--MA0741.1.KLF16	chr8	61517666	61517676	-	0.000	0.000	Merged-chr8-61517791-23
NR39841--MA0039.3.KLF4	chr2	170307066	170307076	-	0.000	0.000	Merged-chr2-170306902-1
NR28399--MA1107.1.KLF9	chr17	29152729	29152741	-	0.000	0.000	Merged-chr17-29152803-18
NR10327--MA0599.1.KLF5	chr11	57952970	57952979	-	0.000	0.000	Merged-chr11-57952769-40
NR30032--MA0657.1.KLF13	chr17	74020687	74020704	-	0.000	0.000	Merged-chr17-74020674-41
NR27089--MA0741.1.KLF16	chr16	93572668	93572678	+	0.000	0.000	Merged-chr16-93572534-34
NR3939--MA0741.1.KLF16	chr1	171916126	171916136	+	0.000	0.000	Merged-chr1-171916002-44
NR65945--MA1107.1.KLF9	chr8	85408438	85408450	-	0.000	0.000	Merged-chr8-85408348-22
NR56839--MA0741.1.KLF16	chr6	108448395	108448405	+	0.000	0.000	Merged-chr6-108448378-58
NR18545--MA0741.1.KLF16	chr13	108100622	108100632	+	0.000	0.000	Merged-chr13-108100820-31
NR62049--MA0740.1.KLF14	chr7	110203785	110203798	-	0.000	0.000	Merged-chr7-110203728-41
NR34868--MA0493.1.Klf1	chr2	11496688	11496698	-	0.000	0.000	Merged-chr2-11496832-15
NR24399--MA0493.1.Klf1	chr15	93694680	93694690	+	0.000	0.000	Merged-chr15-93694661-9
NR21017--MA1107.1.KLF9	chr14	74646346	74646358	-	0.000	0.000	Merged-chr14-74646498-47
NR11407--MA0740.1.KLF14	chr11	82952050	82952063	+	0.000	0.000	Merged-chr11-82952114-4
NR57527--MA0493.1.Klf1	chr6	125433808	125433818	+	0.000	0.000	Merged-chr6-125433874-28
NR23164--MA0741.1.KLF16	chr15	62079504	62079514	+	0.000	0.000	Merged-chr15-62079594-24
NR8551--MA0599.1.KLF5	chr10	120697633	120697642	+	0.000	0.000	Merged-chr10-120697518-32
NR31992--MA1107.1.KLF9	chr18	66502042	66502054	-	0.000	0.000	Merged-chr18-66502099-22
NR17102--MA0599.1.KLF5	chr13	55714694	55714703	-	0.000	0.000	Merged-chr13-55714775-39
NR55049--MA0740.1.KLF14	chr6	38551313	38551326	-	0.000	0.000	Merged-chr6-38551188-3
NR8549--MA0740.1.KLF14	chr10	120697614	120697627	+	0.000	0.000	Merged-chr10-120697518-32
NR59757--MA0599.1.KLF5	chr7	28809115	28809124	+	0.000	0.000	Merged-chr7-28809284-68
NR61689--MA0741.1.KLF16	chr7	99834114	99834124	-	0.000	0.000	Merged-chr7-99833987-52
NR17213--MA1107.1.KLF9	chr13	58158316	58158328	-	0.000	0.000	Merged-chr13-58158134-148
NR62175--MA1107.1.KLF9	chr7	113256229	113256241	+	0.000	0.000	Merged-chr7-113256129-11
NR48967--MA1107.1.KLF9	chr4	154065657	154065669	-	0.000	0.000	Merged-chr4-154065575-29
NR42660--MA0039.3.KLF4	chr3	109133239	109133249	+	0.000	0.000	Merged-chr3-109133281-24
NR34456--MA0740.1.KLF14	chr19	56756561	56756574	-	0.000	0.000	Merged-chr19-56756635-43
NR9543--MA0599.1.KLF5	chr11	21192111	21192120	-	0.000	0.000	Merged-chr11-21192059-23
NR12686--MA1107.1.KLF9	chr11	113187328	113187340	+	0.000	0.000	Merged-chr11-113187180-1
NR13110--MA0599.1.KLF5	chr11	118248640	118248649	+	0.000	0.000	Merged-chr11-118248688-60
NR24659--MA1107.1.KLF9	chr15	98927697	98927709	+	0.000	0.000	Merged-chr15-98927787-24
NR39710--MA0599.1.KLF5	chr2	168492185	168492194	-	0.000	0.000	Merged-chr2-168492092-36
NR22140--MA0741.1.KLF16	chr14	122464929	122464939	-	0.000	0.000	Merged-chr14-122465044-9
NR66868--MA0741.1.KLF16	chr8	116735590	116735600	+	0.000	0.000	Merged-chr8-116735664-29
NR33376--MA0741.1.KLF16	chr19	12012388	12012398	+	0.000	0.000	Merged-chr19-12012380-1
NR23169--MA0741.1.KLF16	chr15	62079509	62079519	+	0.000	0.000	Merged-chr15-62079594-24
NR9999--MA0741.1.KLF16	chr11	49202769	49202779	-	0.000	0.000	Merged-chr11-49202721-8
NR48034--MA0741.1.KLF16	chr4	136172220	136172230	-	0.000	0.000	Merged-chr4-136172134-18
NR28496--MA0599.1.KLF5	chr17	31277407	31277416	-	0.000	0.000	Merged-chr17-31277371-45
NR4788--MA0599.1.KLF5	chr1	191097833	191097842	+	0.000	0.000	Merged-chr1-191097986-4
NR1397--MA0493.1.Klf1	chr1	82834720	82834730	-	0.000	0.000	Merged-chr1-82834713-10
NR33942--MA0740.1.KLF14	chr19	41597370	41597383	-	0.000	0.000	Merged-chr19-41597559-38
NR8485--MA0599.1.KLF5	chr10	119005764	119005773	+	0.000	0.000	Merged-chr10-119005704-15
NR41080--MA0599.1.KLF5	chr3	54567655	54567664	+	0.000	0.000	Merged-chr3-54567528-25
NR11396--MA0493.1.Klf1	chr11	82214556	82214566	-	0.000	0.000	Merged-chr11-82214647-44
NR56867--MA0742.1.Klf12	chr6	108665781	108665795	+	0.000	0.000	Merged-chr6-108665749-34
NR16043--MA0039.3.KLF4	chr12	118424068	118424078	-	0.000	0.000	Merged-chr12-118424167-25
NR50646--MA0039.3.KLF4	chr5	64651650	64651660	-	0.000	0.000	Merged-chr5-64651532-36
NR63080--MA0740.1.KLF14	chr7	130812683	130812696	-	0.000	0.000	Merged-chr7-130812664-20
NR3634--MA0740.1.KLF14	chr1	165322330	165322343	+	0.000	0.000	Merged-chr1-165322509-22
NR52974--MA1107.1.KLF9	chr5	130029310	130029322	+	0.000	0.000	Merged-chr5-130029456-53
NR13115--MA0493.1.Klf1	chr11	118248766	118248776	+	0.000	0.000	Merged-chr11-118248688-60
NR59136--MA0599.1.KLF5	chr7	16908232	16908241	+	0.000	0.000	Merged-chr7-16908180-25
NR20794--MA0740.1.KLF14	chr14	67886974	67886987	+	0.000	0.000	Merged-chr14-67887091-21
NR56837--MA0741.1.KLF16	chr6	108448393	108448403	+	0.000	0.000	Merged-chr6-108448378-58
NR30035--MA0039.3.KLF4	chr17	74020691	74020701	-	0.000	0.000	Merged-chr17-74020674-41
NR65164--MA1107.1.KLF9	chr8	68158281	68158293	+	0.000	0.000	Merged-chr8-68158417-16
NR39737--MA1107.1.KLF9	chr2	168580395	168580407	+	0.000	0.000	Merged-chr2-168580470-46
NR62284--MA0741.1.KLF16	chr7	116336460	116336470	+	0.000	0.000	Merged-chr7-116336352-38
NR10370--MA0599.1.KLF5	chr11	58214939	58214948	+	0.000	0.000	Merged-chr11-58214991-50
NR65335--MA0742.1.Klf12	chr8	70619089	70619103	+	0.000	0.000	Merged-chr8-70619084-21
NR56869--MA0493.1.Klf1	chr6	108665781	108665791	+	0.000	0.000	Merged-chr6-108665749-34
NR57533--MA1107.1.KLF9	chr6	125434029	125434041	-	0.000	0.000	Merged-chr6-125433874-28
NR15581--MA1107.1.KLF9	chr12	108423147	108423159	-	0.000	0.000	Merged-chr12-108423152-36
NR58736--MA0599.1.KLF5	chr6	149408930	149408939	+	0.000	0.000	Merged-chr6-149409146-64
NR4781--MA0740.1.KLF14	chr1	191097789	191097802	+	0.000	0.000	Merged-chr1-191097986-4
NR26218--MA1107.1.KLF9	chr16	49796919	49796931	+	0.000	0.000	Merged-chr16-49797153-43
NR59760--MA0741.1.KLF16	chr7	28809179	28809189	+	0.000	0.000	Merged-chr7-28809284-68
NR43492--MA0039.3.KLF4	chr3	135675687	135675697	+	0.000	0.000	Merged-chr3-135675679-12
NR39184--MA0741.1.KLF16	chr2	157424108	157424118	-	0.000	0.000	Merged-chr2-157424284-16
NR26236--MA1107.1.KLF9	chr16	49982434	49982446	-	0.000	0.000	Merged-chr16-49982447-38
NR68968--MA0741.1.KLF16	chr9	58583282	58583292	-	0.000	0.000	Merged-chr9-58583464-18
NR35587--MA0740.1.KLF14	chr2	30469931	30469944	+	0.000	0.000	Merged-chr2-30470096-26
NR63638--MA0039.3.KLF4	chr7	140999462	140999472	+	0.000	0.000	Merged-chr7-140999347-54
NR61024--MA0039.3.KLF4	chr7	75667097	75667107	+	0.000	0.000	Merged-chr7-75667175-33
NR71787--MA0740.1.KLF14	chrX	12160144	12160157	+	0.000	0.000	Merged-chrX-12160238-21
NR34460--MA0741.1.KLF16	chr19	56756563	56756573	-	0.000	0.000	Merged-chr19-56756635-43
NR4444--MA0741.1.KLF16	chr1	184277184	184277194	-	0.000	0.000	Merged-chr1-184277240-19
NR45030--MA0741.1.KLF16	chr4	41348065	41348075	+	0.000	0.000	Merged-chr4-41348000-22
NR37285--MA1107.1.KLF9	chr2	101209303	101209315	+	0.000	0.000	Merged-chr2-101209230-18
NR56172--MA0599.1.KLF5	chr6	87038460	87038469	-	0.000	0.000	Merged-chr6-87038264-54
NR62285--MA1107.1.KLF9	chr7	116336457	116336469	+	0.000	0.000	Merged-chr7-116336352-38
NR30547--MA1107.1.KLF9	chr17	85908760	85908772	+	0.000	0.000	Merged-chr17-85908611-2
NR10326--MA0742.1.Klf12	chr11	57952966	57952980	-	0.000	0.000	Merged-chr11-57952769-40
NR17220--MA1107.1.KLF9	chr13	58158330	58158342	-	0.000	0.000	Merged-chr13-58158134-148
NR5153--MA0039.3.KLF4	chr10	8415517	8415527	-	0.000	0.000	Merged-chr10-8415419-33
NR62701--MA0039.3.KLF4	chr7	125597229	125597239	-	0.000	0.000	Merged-chr7-125597306-20
NR16042--MA0599.1.KLF5	chr12	118424070	118424079	-	0.000	0.000	Merged-chr12-118424167-25
NR45022--MA0741.1.KLF16	chr4	41348057	41348067	+	0.000	0.000	Merged-chr4-41348000-22
NR50645--MA0599.1.KLF5	chr5	64651647	64651656	-	0.000	0.000	Merged-chr5-64651532-36
NR24666--MA1107.1.KLF9	chr15	98927711	98927723	+	0.000	0.000	Merged-chr15-98927787-24
NR17216--MA1107.1.KLF9	chr13	58158322	58158334	-	0.000	0.000	Merged-chr13-58158134-148
NR12685--MA0493.1.Klf1	chr11	113187328	113187338	+	0.000	0.000	Merged-chr11-113187180-1
NR2498--MA0741.1.KLF16	chr1	133363684	133363694	+	0.000	0.000	Merged-chr1-133363736-34
NR14645--MA0742.1.Klf12	chr12	77138910	77138924	-	0.000	0.000	Merged-chr12-77138910-46
NR63081--MA0599.1.KLF5	chr7	130812686	130812695	-	0.000	0.000	Merged-chr7-130812664-20
NR8553--MA0039.3.KLF4	chr10	120697616	120697626	+	0.000	0.000	Merged-chr10-120697518-32
NR52909--MA1107.1.KLF9	chr5	129190195	129190207	+	0.000	0.000	Merged-chr5-129190300-30
NR20796--MA0599.1.KLF5	chr14	67886975	67886984	+	0.000	0.000	Merged-chr14-67887091-21
NR35590--MA0493.1.Klf1	chr2	30469937	30469947	+	0.000	0.000	Merged-chr2-30470096-26
NR30034--MA0599.1.KLF5	chr17	74020693	74020702	-	0.000	0.000	Merged-chr17-74020674-41
NR33706--MA0493.1.Klf1	chr19	34120148	34120158	-	0.000	0.000	Merged-chr19-34120116-46
NR18544--MA0493.1.Klf1	chr13	108100601	108100611	+	0.000	0.000	Merged-chr13-108100820-31
NR11398--MA1107.1.KLF9	chr11	82214554	82214566	-	0.000	0.000	Merged-chr11-82214647-44
