#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval0.3-log2fc0.5_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval0.3-log2fc0.5_up.bed
NR1613--MA0599.1.KLF5	chr1	88708225	88708234	+	0.000	0.000	Merged-chr1-88708373-21
NR56193--MA0599.1.KLF5	chr6	87590778	87590787	+	0.000	0.000	Merged-chr6-87590737-28
NR71255--MA0657.1.KLF13	chr9	118678596	118678613	+	0.000	0.000	Merged-chr9-118678587-68
NR70264--MA1107.1.KLF9	chr9	96772965	96772977	+	0.000	0.000	Merged-chr9-96773309-49
NR23473--MA0740.1.KLF14	chr15	75894412	75894425	+	0.000	0.000	Merged-chr15-75894455-46
NR11253--MA0493.1.Klf1	chr11	78690774	78690784	+	0.000	0.000	Merged-chr11-78690691-3
NR20967--MA0039.3.KLF4	chr14	73049214	73049224	-	0.000	0.000	Merged-chr14-73049322-54
NR33503--MA0657.1.KLF13	chr19	22915934	22915951	-	0.000	0.000	Merged-chr19-22916033-24
NR1290--MA0493.1.Klf1	chr1	75487846	75487856	+	0.000	0.000	Merged-chr1-75487610-71
NR9--MA0741.1.KLF16	chr1	4496536	4496546	-	0.000	0.000	Merged-chr1-4496602-47
NR14765--MA0599.1.KLF5	chr12	82187388	82187397	+	0.000	0.000	Merged-chr12-82187311-20
NR50467--MA0741.1.KLF16	chr5	57714983	57714993	-	0.000	0.000	Merged-chr5-57715009-24
NR39026--MA0599.1.KLF5	chr2	153278559	153278568	+	0.000	0.000	Merged-chr2-153278581-35
NR18304--MA1107.1.KLF9	chr13	101669127	101669139	-	0.000	0.000	Merged-chr13-101669067-25
NR460--MA0741.1.KLF16	chr1	37889350	37889360	+	0.000	0.000	Merged-chr1-37889517-3
NR14758--MA0740.1.KLF14	chr12	82166461	82166474	-	0.000	0.000	Merged-chr12-82166286-58
NR3232--MA1107.1.KLF9	chr1	155215382	155215394	-	0.000	0.000	Merged-chr1-155215542-10
NR26289--MA1107.1.KLF9	chr16	55526628	55526640	-	0.000	0.000	Merged-chr16-55526472-43
NR1182--MA1107.1.KLF9	chr1	73940867	73940879	+	0.000	0.000	Merged-chr1-73940938-50
NR26074--MA1107.1.KLF9	chr16	44140732	44140744	-	0.000	0.000	Merged-chr16-44140552-3
NR15804--MA0039.3.KLF4	chr12	112629099	112629109	-	0.000	0.000	Merged-chr12-112629266-49
NR68908--MA1107.1.KLF9	chr9	57647832	57647844	-	0.000	0.000	Merged-chr9-57647746-26
NR16056--MA0741.1.KLF16	chr12	118836994	118837004	-	0.000	0.000	Merged-chr12-118836898-44
NR12123--MA1107.1.KLF9	chr11	99549731	99549743	-	0.000	0.000	Merged-chr11-99549700-12
NR24551--MA0740.1.KLF14	chr15	97606751	97606764	+	0.000	0.000	Merged-chr15-97606857-25
NR2637--MA0741.1.KLF16	chr1	135818771	135818781	+	0.000	0.000	Merged-chr1-135818684-27
NR66186--MA0039.3.KLF4	chr8	94827954	94827964	-	0.000	0.000	Merged-chr8-94828163-36
NR48285--MA0657.1.KLF13	chr4	140750570	140750587	+	0.000	0.000	Merged-chr4-140750542-28
NR41577--MA0493.1.Klf1	chr3	84770750	84770760	-	0.000	0.000	Merged-chr3-84770670-24
NR16918--MA0599.1.KLF5	chr13	51685365	51685374	-	0.000	0.000	Merged-chr13-51685389-6
NR46453--MA0740.1.KLF14	chr4	101419686	101419699	-	0.000	0.000	Merged-chr4-101419713-70
NR8329--MA0599.1.KLF5	chr10	117118630	117118639	-	0.000	0.000	Merged-chr10-117118585-40
NR61754--MA0493.1.Klf1	chr7	101012085	101012095	-	0.000	0.000	Merged-chr7-101011923-30
NR23270--MA1107.1.KLF9	chr15	67290895	67290907	-	0.000	0.000	Merged-chr15-67291006-6
NR62722--MA0039.3.KLF4	chr7	126230480	126230490	-	0.000	0.000	Merged-chr7-126230639-34
NR29778--MA1107.1.KLF9	chr17	65819436	65819448	+	0.000	0.000	Merged-chr17-65819307-6
NR31583--MA0599.1.KLF5	chr18	55161851	55161860	-	0.000	0.000	Merged-chr18-55161771-19
NR896--MA0742.1.Klf12	chr1	60016437	60016451	-	0.000	0.000	Merged-chr1-60016690-100
NR36769--MA0740.1.KLF14	chr2	75965079	75965092	+	0.000	0.000	Merged-chr2-75964949-43
NR16707--MA0741.1.KLF16	chr13	42049191	42049201	-	0.000	0.000	Merged-chr13-42049130-34
NR68926--MA1107.1.KLF9	chr9	57956931	57956943	-	0.000	0.000	Merged-chr9-57956974-45
NR66203--MA0741.1.KLF16	chr8	95349076	95349086	-	0.000	0.000	Merged-chr8-95348986-27
NR55654--MA0599.1.KLF5	chr6	58596562	58596571	-	0.000	0.000	Merged-chr6-58596586-84
NR42452--MA0493.1.Klf1	chr3	103862695	103862705	+	0.000	0.000	Merged-chr3-103862515-1
NR36231--MA0741.1.KLF16	chr2	55437050	55437060	+	0.000	0.000	Merged-chr2-55437134-25
NR45358--MA0039.3.KLF4	chr4	47001274	47001284	+	0.000	0.000	Merged-chr4-47001144-9
NR62088--MA0599.1.KLF5	chr7	110796448	110796457	-	0.000	0.000	Merged-chr7-110796429-1
NR52365--MA0741.1.KLF16	chr5	118661947	118661957	+	0.000	0.000	Merged-chr5-118661904-17
NR67900--MA0741.1.KLF16	chr9	21225125	21225135	+	0.000	0.000	Merged-chr9-21225292-34
NR16054--MA0599.1.KLF5	chr12	118836995	118837004	-	0.000	0.000	Merged-chr12-118836898-44
NR45264--MA0741.1.KLF16	chr4	45766158	45766168	-	0.000	0.000	Merged-chr4-45766216-17
NR35057--MA0741.1.KLF16	chr2	18909775	18909785	-	0.000	0.000	Merged-chr2-18909851-2
NR8686--MA1107.1.KLF9	chr10	122778137	122778149	+	0.000	0.000	Merged-chr10-122778014-1
NR40344--MA0742.1.Klf12	chr3	9500013	9500027	-	0.000	0.000	Merged-chr3-9499976-58
NR10168--MA0493.1.Klf1	chr11	53324640	53324650	+	0.000	0.000	Merged-chr11-53324720-33
NR3575--MA0742.1.Klf12	chr1	164571868	164571882	-	0.000	0.000	Merged-chr1-164571989-46
NR13893--MA0039.3.KLF4	chr12	32999956	32999966	-	0.000	0.000	Merged-chr12-32999849-21
NR8328--MA1107.1.KLF9	chr10	117118448	117118460	-	0.000	0.000	Merged-chr10-117118585-40
NR66782--MA1107.1.KLF9	chr8	115137016	115137028	-	0.000	0.000	Merged-chr8-115136921-34
NR62224--MA0741.1.KLF16	chr7	115217060	115217070	-	0.000	0.000	Merged-chr7-115217038-43
NR11061--MA0741.1.KLF16	chr11	75571463	75571473	-	0.000	0.000	Merged-chr11-75571465-10
NR16069--MA0741.1.KLF16	chr12	119238859	119238869	-	0.000	0.000	Merged-chr12-119238922-2
NR37194--MA0741.1.KLF16	chr2	94263466	94263476	+	0.000	0.000	Merged-chr2-94263643-18
NR64711--MA0599.1.KLF5	chr8	40634797	40634806	-	0.000	0.000	Merged-chr8-40634821-50
NR71257--MA0741.1.KLF16	chr9	118678598	118678608	+	0.000	0.000	Merged-chr9-118678587-68
NR44864--MA1107.1.KLF9	chr4	33390941	33390953	+	0.000	0.000	Merged-chr4-33390737-19
NR51500--MA0493.1.Klf1	chr5	99891683	99891693	+	0.000	0.000	Merged-chr5-99891648-1
NR6467--MA0741.1.KLF16	chr10	68445693	68445703	-	0.000	0.000	Merged-chr10-68445900-93
NR46458--MA0493.1.Klf1	chr4	101419676	101419686	-	0.000	0.000	Merged-chr4-101419713-70
NR56510--MA1107.1.KLF9	chr6	95552789	95552801	+	0.000	0.000	Merged-chr6-95552744-18
NR39939--MA0741.1.KLF16	chr2	172501579	172501589	+	0.000	0.000	Merged-chr2-172501605-18
NR62185--MA0039.3.KLF4	chr7	114088140	114088150	+	0.000	0.000	Merged-chr7-114088152-53
NR14246--MA0741.1.KLF16	chr12	55443356	55443366	-	0.000	0.000	Merged-chr12-55443297-11
NR64156--MA0599.1.KLF5	chr8	13200628	13200637	-	0.000	0.000	Merged-chr8-13200567-28
NR9776--MA1107.1.KLF9	chr11	32486697	32486709	-	0.000	0.000	Merged-chr11-32486832-15
NR6512--MA0599.1.KLF5	chr10	69571685	69571694	-	0.000	0.000	Merged-chr10-69571391-44
NR13558--MA1107.1.KLF9	chr12	16384356	16384368	+	0.000	0.000	Merged-chr12-16384404-18
NR2259--MA1107.1.KLF9	chr1	127380937	127380949	-	0.000	0.000	Merged-chr1-127381080-26
NR7003--MA0740.1.KLF14	chr10	80054384	80054397	-	0.000	0.000	Merged-chr10-80054336-1
NR55503--MA0741.1.KLF16	chr6	53986474	53986484	-	0.000	0.000	Merged-chr6-53986314-10
NR65629--MA0740.1.KLF14	chr8	77376621	77376634	+	0.000	0.000	Merged-chr8-77376569-21
NR45615--MA0599.1.KLF5	chr4	57295370	57295379	+	0.000	0.000	Merged-chr4-57295265-18
NR22425--MA0741.1.KLF16	chr15	25269715	25269725	-	0.000	0.000	Merged-chr15-25269773-79
NR30498--MA0599.1.KLF5	chr17	84336153	84336162	-	0.000	0.000	Merged-chr17-84336226-16
NR66812--MA0657.1.KLF13	chr8	115568529	115568546	+	0.000	0.000	Merged-chr8-115568627-19
NR25782--MA0493.1.Klf1	chr16	32516544	32516554	-	0.000	0.000	Merged-chr16-32516451-30
NR35916--MA0599.1.KLF5	chr2	36091473	36091482	+	0.000	0.000	Merged-chr2-36091401-36
NR68353--MA0741.1.KLF16	chr9	41160888	41160898	-	0.000	0.000	Merged-chr9-41160864-12
NR24--MA0599.1.KLF5	chr1	6454098	6454107	+	0.000	0.000	Merged-chr1-6454252-50
NR56195--MA0741.1.KLF16	chr6	87590783	87590793	+	0.000	0.000	Merged-chr6-87590737-28
NR66739--MA0741.1.KLF16	chr8	113669807	113669817	-	0.000	0.000	Merged-chr8-113669969-10
NR19418--MA0599.1.KLF5	chr14	20479950	20479959	-	0.000	0.000	Merged-chr14-20479960-47
NR40618--MA0599.1.KLF5	chr3	28781285	28781294	-	0.000	0.000	Merged-chr3-28781211-76
NR1706--MA0039.3.KLF4	chr1	92640408	92640418	+	0.000	0.000	Merged-chr1-92640529-29
NR2597--MA0741.1.KLF16	chr1	135019083	135019093	+	0.000	0.000	Merged-chr1-135019182-17
NR66215--MA0599.1.KLF5	chr8	95369836	95369845	+	0.000	0.000	Merged-chr8-95369863-17
NR67766--MA0599.1.KLF5	chr9	15014176	15014185	-	0.000	0.000	Merged-chr9-15014101-6
NR49078--MA1107.1.KLF9	chr4	155306826	155306838	-	0.000	0.000	Merged-chr4-155306831-50
NR71866--MA0657.1.KLF13	chrX	36807836	36807853	+	0.000	0.000	Merged-chrX-36807696-3
NR2277--MA1107.1.KLF9	chr1	127796453	127796465	-	0.000	0.000	Merged-chr1-127796546-56
NR39192--MA0599.1.KLF5	chr2	158160216	158160225	+	0.000	0.000	Merged-chr2-158160127-37
NR17850--MA0742.1.Klf12	chr13	89521652	89521666	+	0.000	0.000	Merged-chr13-89521757-30
NR72030--MA0741.1.KLF16	chrX	56346459	56346469	-	0.000	0.000	Merged-chrX-56346415-28
NR25456--MA0599.1.KLF5	chr16	17804775	17804784	+	0.000	0.000	Merged-chr16-17804658-22
NR58229--MA1107.1.KLF9	chr6	140576331	140576343	+	0.000	0.000	Merged-chr6-140576321-13
NR20696--MA0599.1.KLF5	chr14	63943535	63943544	+	0.000	0.000	Merged-chr14-63943640-23
NR6209--MA0740.1.KLF14	chr10	61383387	61383400	+	0.000	0.000	Merged-chr10-61383375-39
NR26146--MA0741.1.KLF16	chr16	45347019	45347029	-	0.000	0.000	Merged-chr16-45346908-42
NR10308--MA0742.1.Klf12	chr11	57791222	57791236	+	0.000	0.000	Merged-chr11-57791276-17
NR59011--MA0599.1.KLF5	chr7	16001851	16001860	-	0.000	0.000	Merged-chr7-16001989-41
NR37335--MA0741.1.KLF16	chr2	102186262	102186272	+	0.000	0.000	Merged-chr2-102186171-70
NR9637--MA0039.3.KLF4	chr11	24077554	24077564	-	0.000	0.000	Merged-chr11-24077473-13
NR39840--MA1107.1.KLF9	chr2	170291893	170291905	+	0.000	0.000	Merged-chr2-170292078-34
NR34731--MA1107.1.KLF9	chr2	4864573	4864585	+	0.000	0.000	Merged-chr2-4864669-14
NR613--MA1107.1.KLF9	chr1	43110778	43110790	+	0.000	0.000	Merged-chr1-43110700-26
NR68716--MA1107.1.KLF9	chr9	51162022	51162034	-	0.000	0.000	Merged-chr9-51161990-29
NR64071--MA0599.1.KLF5	chr8	11009006	11009015	+	0.000	0.000	Merged-chr8-11009107-63
NR70184--MA1107.1.KLF9	chr9	94614232	94614244	+	0.000	0.000	Merged-chr9-94614117-31
NR10639--MA0599.1.KLF5	chr11	67017986	67017995	-	0.000	0.000	Merged-chr11-67017936-9
NR56507--MA0742.1.Klf12	chr6	95552789	95552803	+	0.000	0.000	Merged-chr6-95552744-18
NR2040--MA0741.1.KLF16	chr1	119637161	119637171	+	0.000	0.000	Merged-chr1-119636990-21
NR2511--MA0599.1.KLF5	chr1	133801881	133801890	+	0.000	0.000	Merged-chr1-133801920-3
NR31270--MA0599.1.KLF5	chr18	35830174	35830183	+	0.000	0.000	Merged-chr18-35830192-19
NR47589--MA0741.1.KLF16	chr4	130802168	130802178	+	0.000	0.000	Merged-chr4-130802230-25
NR56085--MA1107.1.KLF9	chr6	85339431	85339443	+	0.000	0.000	Merged-chr6-85339410-34
NR14116--MA0741.1.KLF16	chr12	52383145	52383155	-	0.000	0.000	Merged-chr12-52383146-23
NR40975--MA1107.1.KLF9	chr3	51701526	51701538	+	0.000	0.000	Merged-chr3-51701450-64
NR9185--MA0741.1.KLF16	chr11	4462996	4463006	+	0.000	0.000	Merged-chr11-4463139-8
NR64549--MA0741.1.KLF16	chr8	33517172	33517182	-	0.000	0.000	Merged-chr8-33517413-71
NR61038--MA0742.1.Klf12	chr7	75914145	75914159	-	0.000	0.000	Merged-chr7-75914112-33
NR60490--MA0493.1.Klf1	chr7	46832393	46832403	-	0.000	0.000	Merged-chr7-46832342-27
NR66214--MA1107.1.KLF9	chr8	95369793	95369805	+	0.000	0.000	Merged-chr8-95369863-17
NR19637--MA0493.1.Klf1	chr14	27114834	27114844	+	0.000	0.000	Merged-chr14-27114945-21
NR55537--MA1107.1.KLF9	chr6	54228990	54229002	-	0.000	0.000	Merged-chr6-54229087-24
NR975--MA0741.1.KLF16	chr1	64088020	64088030	+	0.000	0.000	Merged-chr1-64088195-22
NR40612--MA0039.3.KLF4	chr3	28402421	28402431	-	0.000	0.000	Merged-chr3-28402386-46
NR23136--MA0039.3.KLF4	chr15	61441929	61441939	+	0.000	0.000	Merged-chr15-61441836-34
NR31578--MA1107.1.KLF9	chr18	54822920	54822932	+	0.000	0.000	Merged-chr18-54822886-30
NR64406--MA0741.1.KLF16	chr8	22780967	22780977	-	0.000	0.000	Merged-chr8-22780789-14
NR32575--MA0599.1.KLF5	chr18	81797173	81797182	-	0.000	0.000	Merged-chr18-81797137-21
NR45838--MA1107.1.KLF9	chr4	62731465	62731477	+	0.000	0.000	Merged-chr4-62731520-17
NR44794--MA0599.1.KLF5	chr4	32481949	32481958	-	0.000	0.000	Merged-chr4-32481815-19
NR14486--MA0742.1.Klf12	chr12	71030418	71030432	+	0.000	0.000	Merged-chr12-71030638-56
NR1690--MA0741.1.KLF16	chr1	91825522	91825532	-	0.000	0.000	Merged-chr1-91825474-20
NR66663--MA0657.1.KLF13	chr8	110929255	110929272	-	0.000	0.000	Merged-chr8-110929357-31
NR41121--MA0741.1.KLF16	chr3	55688152	55688162	-	0.000	0.000	Merged-chr3-55687980-1
NR64387--MA0741.1.KLF16	chr8	22228790	22228800	+	0.000	0.000	Merged-chr8-22228766-14
NR16824--MA0493.1.Klf1	chr13	46619870	46619880	-	0.000	0.000	Merged-chr13-46619803-12
NR38339--MA0742.1.Klf12	chr2	132021485	132021499	-	0.000	0.000	Merged-chr2-132021248-83
NR48473--MA0599.1.KLF5	chr4	144892396	144892405	-	0.000	0.000	Merged-chr4-144892585-78
NR36235--MA1107.1.KLF9	chr2	55437055	55437067	+	0.000	0.000	Merged-chr2-55437134-25
NR24923--MA0740.1.KLF14	chr15	103215351	103215364	+	0.000	0.000	Merged-chr15-103215427-34
NR19805--MA0741.1.KLF16	chr14	31934163	31934173	-	0.000	0.000	Merged-chr14-31934172-18
NR17854--MA0741.1.KLF16	chr13	89521653	89521663	+	0.000	0.000	Merged-chr13-89521757-30
NR61428--MA0493.1.Klf1	chr7	90341962	90341972	-	0.000	0.000	Merged-chr7-90341759-29
NR59965--MA0741.1.KLF16	chr7	30717403	30717413	+	0.000	0.000	Merged-chr7-30717543-30
NR72355--MA1107.1.KLF9	chrX	99136008	99136020	-	0.000	0.000	Merged-chrX-99136067-62
NR28478--MA0039.3.KLF4	chr17	30575636	30575646	-	0.000	0.000	Merged-chr17-30575700-2
NR67774--MA1107.1.KLF9	chr9	15014174	15014186	-	0.000	0.000	Merged-chr9-15014101-6
NR19360--MA0599.1.KLF5	chr14	18893701	18893710	+	0.000	0.000	Merged-chr14-18893829-80
NR25483--MA0599.1.KLF5	chr16	18348190	18348199	-	0.000	0.000	Merged-chr16-18348236-26
NR465--MA0741.1.KLF16	chr1	38395439	38395449	+	0.000	0.000	Merged-chr1-38395375-19
NR188--MA1107.1.KLF9	chr1	20912781	20912793	-	0.000	0.000	Merged-chr1-20912686-65
NR1854--MA0039.3.KLF4	chr1	98589913	98589923	+	0.000	0.000	Merged-chr1-98589738-39
NR310--MA0599.1.KLF5	chr1	33757798	33757807	+	0.000	0.000	Merged-chr1-33757596-76
NR61254--MA0599.1.KLF5	chr7	81454607	81454616	+	0.000	0.000	Merged-chr7-81454544-19
NR19643--MA0741.1.KLF16	chr14	27262418	27262428	+	0.000	0.000	Merged-chr14-27262535-17
NR32565--MA1107.1.KLF9	chr18	81521150	81521162	-	0.000	0.000	Merged-chr18-81521002-1
NR58377--MA0741.1.KLF16	chr6	142507960	142507970	-	0.000	0.000	Merged-chr6-142507875-63
NR62796--MA0599.1.KLF5	chr7	127244510	127244519	+	0.000	0.000	Merged-chr7-127244446-56
NR117--MA0741.1.KLF16	chr1	13426973	13426983	-	0.000	0.000	Merged-chr1-13426973-84
NR16762--MA0599.1.KLF5	chr13	44323957	44323966	+	0.000	0.000	Merged-chr13-44323801-22
NR15412--MA0741.1.KLF16	chr12	105537581	105537591	+	0.000	0.000	Merged-chr12-105537597-12
NR42928--MA0599.1.KLF5	chr3	121967795	121967804	-	0.000	0.000	Merged-chr3-121967857-57
NR17134--MA0039.3.KLF4	chr13	56704044	56704054	-	0.000	0.000	Merged-chr13-56703613-154
NR976--MA1107.1.KLF9	chr1	64088019	64088031	+	0.000	0.000	Merged-chr1-64088195-22
NR39169--MA1107.1.KLF9	chr2	157119295	157119307	-	0.000	0.000	Merged-chr2-157119108-55
NR14238--MA0741.1.KLF16	chr12	55388659	55388669	+	0.000	0.000	Merged-chr12-55388568-28
NR31811--MA1107.1.KLF9	chr18	62548354	62548366	-	0.000	0.000	Merged-chr18-62548270-3
NR22733--MA0740.1.KLF14	chr15	38635249	38635262	+	0.000	0.000	Merged-chr15-38635237-53
NR8201--MA0741.1.KLF16	chr10	111619924	111619934	-	0.000	0.000	Merged-chr10-111620030-35
NR34727--MA1107.1.KLF9	chr2	4864565	4864577	+	0.000	0.000	Merged-chr2-4864669-14
NR63407--MA0599.1.KLF5	chr7	136894429	136894438	+	0.000	0.000	Merged-chr7-136894538-85
NR61347--MA1107.1.KLF9	chr7	84149055	84149067	+	0.000	0.000	Merged-chr7-84149073-24
NR69067--MA0657.1.KLF13	chr9	61745280	61745297	+	0.000	0.000	Merged-chr9-61745239-9
NR54377--MA0599.1.KLF5	chr5	150232878	150232887	+	0.000	0.000	Merged-chr5-150232910-1
NR34770--MA0742.1.Klf12	chr2	6379102	6379116	+	0.000	0.000	Merged-chr2-6378947-26
NR36365--MA1107.1.KLF9	chr2	60880817	60880829	+	0.000	0.000	Merged-chr2-60880763-2
NR9343--MA0493.1.Klf1	chr11	6658465	6658475	-	0.000	0.000	Merged-chr11-6658459-18
NR22414--MA1107.1.KLF9	chr15	19456869	19456881	+	0.000	0.000	Merged-chr15-19456859-1
NR66208--MA0741.1.KLF16	chr8	95349081	95349091	-	0.000	0.000	Merged-chr8-95348986-27
NR14108--MA0599.1.KLF5	chr12	52383132	52383141	-	0.000	0.000	Merged-chr12-52383146-23
NR23843--MA0741.1.KLF16	chr15	80930414	80930424	-	0.000	0.000	Merged-chr15-80930587-88
NR4790--MA0740.1.KLF14	chr1	191111363	191111376	-	0.000	0.000	Merged-chr1-191111364-43
NR60026--MA0741.1.KLF16	chr7	34630499	34630509	-	0.000	0.000	Merged-chr7-34630517-24
NR7004--MA0657.1.KLF13	chr10	80054381	80054398	-	0.000	0.000	Merged-chr10-80054336-1
NR71083--MA0599.1.KLF5	chr9	115205647	115205656	+	0.000	0.000	Merged-chr9-115205642-30
NR12715--MA1107.1.KLF9	chr11	113508531	113508543	-	0.000	0.000	Merged-chr11-113508478-30
NR59392--MA0599.1.KLF5	chr7	24237638	24237647	+	0.000	0.000	Merged-chr7-24237656-23
NR45269--MA0741.1.KLF16	chr4	45766163	45766173	-	0.000	0.000	Merged-chr4-45766216-17
NR22669--MA0741.1.KLF16	chr15	37100250	37100260	+	0.000	0.000	Merged-chr15-37100344-35
