#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_dn.bed
NR9571--MA0599.1.KLF5	chr11	44470563	44470572	-	0.000	0.000	Merged-chr11-44470413-135
NR65038--MA0742.1.Klf12	chr8	121898637	121898651	-	0.000	0.000	Merged-chr8-121898554-47
NR12017--MA0599.1.KLF5	chr11	101082550	101082559	+	0.000	0.000	Merged-chr11-101082516-61
NR24316--MA0493.1.Klf1	chr15	99224539	99224549	-	0.000	0.000	Merged-chr15-99224455-41
NR29684--MA1107.1.KLF9	chr17	80561198	80561210	-	0.000	0.000	Merged-chr17-80561065-39
NR22942--MA0493.1.Klf1	chr15	67158740	67158750	-	0.000	0.000	Merged-chr15-67158847-15
NR2801--MA0493.1.Klf1	chr1	153585778	153585788	+	0.000	0.000	Merged-chr1-153585904-15
NR16688--MA0741.1.KLF16	chr13	38010776	38010786	-	0.000	0.000	Merged-chr13-38010701-23
NR13683--MA1107.1.KLF9	chr12	25155528	25155540	-	0.000	0.000	Merged-chr12-25155613-40
NR70760--MA0742.1.Klf12	chrY	90800451	90800465	-	0.000	0.000	Merged-chrY-90800606-25
NR66184--MA0741.1.KLF16	chr9	44013870	44013880	-	0.000	0.000	Merged-chr9-44013875-7
NR19985--MA1107.1.KLF9	chr14	47476839	47476851	-	0.000	0.000	Merged-chr14-47476839-9
NR9477--MA0741.1.KLF16	chr11	32714454	32714464	-	0.000	0.000	Merged-chr11-32714386-17
NR54688--MA0657.1.KLF13	chr6	83512693	83512710	+	0.000	0.000	Merged-chr6-83512589-11
NR33642--MA0599.1.KLF5	chr19	42770733	42770742	-	0.000	0.000	Merged-chr19-42770693-24
NR6467--MA0741.1.KLF16	chr10	77264472	77264482	+	0.000	0.000	Merged-chr10-77264465-20
NR67891--MA0599.1.KLF5	chr9	94607631	94607640	-	0.000	0.000	Merged-chr9-94607543-65
NR15751--MA1107.1.KLF9	chr12	111944518	111944530	-	0.000	0.000	Merged-chr12-111944395-37
NR13121--MA0741.1.KLF16	chr11	119238576	119238586	+	0.000	0.000	Merged-chr11-119238341-66
NR26522--MA0742.1.Klf12	chr16	92400136	92400150	-	0.000	0.000	Merged-chr16-92400195-21
NR24446--MA0493.1.Klf1	chr15	100424482	100424492	+	0.000	0.000	Merged-chr15-100424546-20
NR30005--MA0493.1.Klf1	chr17	86760422	86760432	-	0.000	0.000	Merged-chr17-86760300-15
NR52551--MA0740.1.KLF14	chr5	140389370	140389383	+	0.000	0.000	Merged-chr5-140389352-56
NR22916--MA0740.1.KLF14	chr15	66899018	66899031	-	0.000	0.000	Merged-chr15-66899064-14
NR35412--MA0742.1.Klf12	chr2	34945650	34945664	+	0.000	0.000	Merged-chr2-34945759-18
NR33732--MA0742.1.Klf12	chr19	45079933	45079947	-	0.000	0.000	Merged-chr19-45079804-49
NR70764--MA0741.1.KLF16	chrY	90800454	90800464	-	0.000	0.000	Merged-chrY-90800606-25
NR1501--MA0493.1.Klf1	chr1	88267859	88267869	+	0.000	0.000	Merged-chr1-88267879-42
NR50553--MA1107.1.KLF9	chr5	105114888	105114900	-	0.000	0.000	Merged-chr5-105114898-53
NR48048--MA0741.1.KLF16	chr4	150894754	150894764	+	0.000	0.000	Merged-chr4-150894695-19
NR32681--MA1107.1.KLF9	chr19	5743749	5743761	+	0.000	0.000	Merged-chr19-5743763-3
NR7319--MA0741.1.KLF16	chr10	89415673	89415683	-	0.000	0.000	Merged-chr10-89415714-14
NR68721--MA0493.1.Klf1	chr9	114016562	114016572	-	0.000	0.000	Merged-chr9-114016465-30
NR24443--MA0657.1.KLF13	chr15	100424481	100424498	+	0.000	0.000	Merged-chr15-100424546-20
NR6843--MA0493.1.Klf1	chr10	80668811	80668821	+	0.000	0.000	Merged-chr10-80668783-8
NR43802--MA0740.1.KLF14	chr3	152943151	152943164	+	0.000	0.000	Merged-chr3-152943273-41
NR59319--MA1107.1.KLF9	chr7	64217549	64217561	+	0.000	0.000	Merged-chr7-64217693-5
NR13120--MA0493.1.Klf1	chr11	119238575	119238585	+	0.000	0.000	Merged-chr11-119238341-66
NR6964--MA0493.1.Klf1	chr10	81401939	81401949	-	0.000	0.000	Merged-chr10-81401925-26
NR69135--MA0493.1.Klf1	chr9	120039507	120039517	-	0.000	0.000	Merged-chr9-120039595-19
NR55625--MA0741.1.KLF16	chr6	115515938	115515948	+	0.000	0.000	Merged-chr6-115515938-20
NR53349--MA0493.1.Klf1	chr6	3346062	3346072	-	0.000	0.000	Merged-chr6-3346173-35
NR13100--MA0741.1.KLF16	chr11	119083771	119083781	-	0.000	0.000	Merged-chr11-119083935-60
NR16428--MA0741.1.KLF16	chr13	24547220	24547230	-	0.000	0.000	Merged-chr13-24547194-39
NR48981--MA0741.1.KLF16	chr5	31251671	31251681	-	0.000	0.000	Merged-chr5-31251770-31
NR5994--MA0039.3.KLF4	chr10	62248020	62248030	-	0.000	0.000	Merged-chr10-62247968-20
NR9463--MA1107.1.KLF9	chr11	32582960	32582972	+	0.000	0.000	Merged-chr11-32583029-49
NR45288--MA0493.1.Klf1	chr4	70307112	70307122	-	0.000	0.000	Merged-chr4-70307334-49
NR24270--MA0741.1.KLF16	chr15	98793197	98793207	-	0.000	0.000	Merged-chr15-98793364-7
NR46247--MA0742.1.Klf12	chr4	116701024	116701038	-	0.000	0.000	Merged-chr4-116701085-12
NR33450--MA0599.1.KLF5	chr19	37333675	37333684	-	0.000	0.000	Merged-chr19-37333490-26
NR29--MA0599.1.KLF5	chr1	7206768	7206777	+	0.000	0.000	Merged-chr1-7206621-34
NR10535--MA1107.1.KLF9	chr11	70622563	70622575	-	0.000	0.000	Merged-chr11-70622499-26
NR62111--MA0599.1.KLF5	chr7	143666917	143666926	+	0.000	0.000	Merged-chr7-143666979-29
NR22415--MA0599.1.KLF5	chr15	38300039	38300048	+	0.000	0.000	Merged-chr15-38299955-2
NR32593--MA0599.1.KLF5	chr19	4943109	4943118	+	0.000	0.000	Merged-chr19-4942974-44
NR40607--MA0742.1.Klf12	chr3	54567483	54567497	+	0.000	0.000	Merged-chr3-54567528-25
NR21802--MA0741.1.KLF16	chr14	121315917	121315927	-	0.000	0.000	Merged-chr14-121315767-6
NR24268--MA0599.1.KLF5	chr15	98793198	98793207	-	0.000	0.000	Merged-chr15-98793364-7
NR55461--MA1107.1.KLF9	chr6	112862181	112862193	+	0.000	0.000	Merged-chr6-112862022-40
NR8253--MA0493.1.Klf1	chr10	117969955	117969965	-	0.000	0.000	Merged-chr10-117970017-9
NR69721--MA1107.1.KLF9	chrX	48147978	48147990	+	0.000	0.000	Merged-chrX-48147927-58
NR22080--MA0741.1.KLF16	chr15	12397259	12397269	-	0.000	0.000	Merged-chr15-12397193-17
NR24151--MA0493.1.Klf1	chr15	96714970	96714980	+	0.000	0.000	Merged-chr15-96714966-7
NR52543--MA0740.1.KLF14	chr5	140389318	140389331	+	0.000	0.000	Merged-chr5-140389352-56
NR50237--MA0599.1.KLF5	chr5	93137077	93137086	+	0.000	0.000	Merged-chr5-93137054-42
NR16967--MA1107.1.KLF9	chr13	51726391	51726403	-	0.000	0.000	Merged-chr13-51726299-41
NR19677--MA1107.1.KLF9	chr14	27268328	27268340	-	0.000	0.000	Merged-chr14-27268313-23
NR62434--MA0741.1.KLF16	chr8	13593538	13593548	-	0.000	0.000	Merged-chr8-13593648-27
NR22917--MA0657.1.KLF13	chr15	66899015	66899032	-	0.000	0.000	Merged-chr15-66899064-14
NR1588--MA0740.1.KLF14	chr1	90660225	90660238	-	0.000	0.000	Merged-chr1-90660312-12
NR8284--MA1107.1.KLF9	chr10	118443072	118443084	-	0.000	0.000	Merged-chr10-118443080-28
NR64286--MA0493.1.Klf1	chr8	104439604	104439614	-	0.000	0.000	Merged-chr8-104439585-1
NR56202--MA1107.1.KLF9	chr6	127942028	127942040	+	0.000	0.000	Merged-chr6-127942038-1
NR41320--MA0740.1.KLF14	chr3	89459148	89459161	-	0.000	0.000	Merged-chr3-89459176-81
NR47118--MA0039.3.KLF4	chr4	135168251	135168261	+	0.000	0.000	Merged-chr4-135168211-13
NR9468--MA1107.1.KLF9	chr11	32582970	32582982	+	0.000	0.000	Merged-chr11-32583029-49
NR60136--MA0039.3.KLF4	chr7	98995321	98995331	-	0.000	0.000	Merged-chr7-98995432-21
NR38330--MA1107.1.KLF9	chr2	147832605	147832617	+	0.000	0.000	Merged-chr2-147832545-2
NR25741--MA0741.1.KLF16	chr16	55815574	55815584	+	0.000	0.000	Merged-chr16-55815632-3
NR16627--MA1107.1.KLF9	chr13	35741216	35741228	+	0.000	0.000	Merged-chr13-35741035-13
NR26796--MA1107.1.KLF9	chr16	97002491	97002503	+	0.000	0.000	Merged-chr16-97002537-1
NR52249--MA0742.1.Klf12	chr5	136449968	136449982	-	0.000	0.000	Merged-chr5-136449962-15
NR55457--MA1107.1.KLF9	chr6	112862173	112862185	+	0.000	0.000	Merged-chr6-112862022-40
NR43207--MA0741.1.KLF16	chr3	138867313	138867323	+	0.000	0.000	Merged-chr3-138867429-26
NR43803--MA0657.1.KLF13	chr3	152943150	152943167	+	0.000	0.000	Merged-chr3-152943273-41
NR20588--MA0741.1.KLF16	chr14	64628299	64628309	+	0.000	0.000	Merged-chr14-64628307-21
NR14478--MA0742.1.Klf12	chr12	76085168	76085182	-	0.000	0.000	Merged-chr12-76085234-6
NR35874--MA0742.1.Klf12	chr2	60165924	60165938	+	0.000	0.000	Merged-chr2-60166003-27
NR43811--MA1107.1.KLF9	chr3	152943213	152943225	+	0.000	0.000	Merged-chr3-152943273-41
NR25371--MA0493.1.Klf1	chr16	32516544	32516554	-	0.000	0.000	Merged-chr16-32516451-30
NR15709--MA0741.1.KLF16	chr12	111166500	111166510	+	0.000	0.000	Merged-chr12-111166510-86
NR58616--MA0599.1.KLF5	chr7	31028804	31028813	+	0.000	0.000	Merged-chr7-31028766-21
NR42292--MA0493.1.Klf1	chr3	115933838	115933848	+	0.000	0.000	Merged-chr3-115933714-29
NR3078--MA0599.1.KLF5	chr1	162565217	162565226	+	0.000	0.000	Merged-chr1-162565187-22
NR66578--MA0493.1.Klf1	chr9	57577533	57577543	-	0.000	0.000	Merged-chr9-57577523-17
NR43807--MA0740.1.KLF14	chr3	152943213	152943226	+	0.000	0.000	Merged-chr3-152943273-41
NR46988--MA0599.1.KLF5	chr4	133601889	133601898	-	0.000	0.000	Merged-chr4-133601958-40
NR70763--MA0493.1.Klf1	chrY	90800455	90800465	-	0.000	0.000	Merged-chrY-90800606-25
NR17520--MA1107.1.KLF9	chr13	69821333	69821345	+	0.000	0.000	Merged-chr13-69821460-47
NR46384--MA0740.1.KLF14	chr4	119947765	119947778	-	0.000	0.000	Merged-chr4-119947761-47
NR9137--MA1107.1.KLF9	chr11	6410289	6410301	-	0.000	0.000	Merged-chr11-6410402-18
NR7978--MA1107.1.KLF9	chr10	111562799	111562811	+	0.000	0.000	Merged-chr10-111562842-26
NR42090--MA1107.1.KLF9	chr3	107577980	107577992	+	0.000	0.000	Merged-chr3-107578034-11
NR56207--MA1107.1.KLF9	chr6	127942094	127942106	+	0.000	0.000	Merged-chr6-127942038-1
NR32267--MA0599.1.KLF5	chr18	84859617	84859626	+	0.000	0.000	Merged-chr18-84859622-32
NR33683--MA0493.1.Klf1	chr19	44069762	44069772	+	0.000	0.000	Merged-chr19-44069600-84
NR67588--MA0599.1.KLF5	chr9	84972158	84972167	-	0.000	0.000	Merged-chr9-84971931-23
NR13310--MA0741.1.KLF16	chr12	3237179	3237189	+	0.000	0.000	Merged-chr12-3237056-2
NR42078--MA0599.1.KLF5	chr3	107357402	107357411	-	0.000	0.000	Merged-chr3-107357315-31
NR33795--MA0493.1.Klf1	chr19	46148529	46148539	-	0.000	0.000	Merged-chr19-46148494-21
NR32597--MA0741.1.KLF16	chr19	4943109	4943119	+	0.000	0.000	Merged-chr19-4942974-44
NR61920--MA0741.1.KLF16	chr7	141060900	141060910	+	0.000	0.000	Merged-chr7-141061070-48
NR18124--MA0740.1.KLF14	chr13	95765150	95765163	-	0.000	0.000	Merged-chr13-95765232-46
NR52544--MA0657.1.KLF13	chr5	140389317	140389334	+	0.000	0.000	Merged-chr5-140389352-56
NR2305--MA1107.1.KLF9	chr1	135112942	135112954	+	0.000	0.000	Merged-chr1-135112884-36
NR52462--MA0599.1.KLF5	chr5	139377611	139377620	-	0.000	0.000	Merged-chr5-139377554-24
NR11783--MA0493.1.Klf1	chr11	97883659	97883669	+	0.000	0.000	Merged-chr11-97883682-8
NR6842--MA0740.1.KLF14	chr10	80668811	80668824	+	0.000	0.000	Merged-chr10-80668783-8
NR26801--MA1107.1.KLF9	chr16	97002515	97002527	+	0.000	0.000	Merged-chr16-97002537-1
NR13049--MA1107.1.KLF9	chr11	118035286	118035298	-	0.000	0.000	Merged-chr11-118035350-21
NR16430--MA0039.3.KLF4	chr13	24547271	24547281	-	0.000	0.000	Merged-chr13-24547194-39
NR52765--MA0039.3.KLF4	chr5	143975136	143975146	+	0.000	0.000	Merged-chr5-143975077-1
NR37269--MA0599.1.KLF5	chr2	118658634	118658643	-	0.000	0.000	Merged-chr2-118658566-8
NR38685--MA0493.1.Klf1	chr2	155553246	155553256	+	0.000	0.000	Merged-chr2-155553198-41
NR5924--MA0741.1.KLF16	chr10	60382263	60382273	-	0.000	0.000	Merged-chr10-60382282-6
NR16687--MA0599.1.KLF5	chr13	38010777	38010786	-	0.000	0.000	Merged-chr13-38010701-23
NR57647--MA0493.1.Klf1	chr7	4777375	4777385	+	0.000	0.000	Merged-chr7-4777194-35
NR42762--MA1107.1.KLF9	chr3	130788189	130788201	-	0.000	0.000	Merged-chr3-130788036-10
NR62600--MA0599.1.KLF5	chr8	25578428	25578437	+	0.000	0.000	Merged-chr8-25578502-39
NR32943--MA0741.1.KLF16	chr19	12012381	12012391	+	0.000	0.000	Merged-chr19-12012380-1
NR48049--MA0599.1.KLF5	chr4	150894786	150894795	+	0.000	0.000	Merged-chr4-150894695-19
NR66190--MA0741.1.KLF16	chr9	44013977	44013987	+	0.000	0.000	Merged-chr9-44013875-7
NR36850--MA0493.1.Klf1	chr2	103664550	103664560	+	0.000	0.000	Merged-chr2-103664594-1
NR67953--MA0741.1.KLF16	chr9	96299773	96299783	-	0.000	0.000	Merged-chr9-96299738-12
NR54235--MA0742.1.Klf12	chr6	54116481	54116495	+	0.000	0.000	Merged-chr6-54116572-22
NR5961--MA0599.1.KLF5	chr10	61461919	61461928	+	0.000	0.000	Merged-chr10-61461986-17
NR5007--MA0493.1.Klf1	chr10	10307608	10307618	-	0.000	0.000	Merged-chr10-10307543-35
NR52555--MA0742.1.Klf12	chr5	140389389	140389403	+	0.000	0.000	Merged-chr5-140389352-56
NR54087--MA0599.1.KLF5	chr6	49217977	49217986	-	0.000	0.000	Merged-chr6-49217985-45
NR8643--MA1107.1.KLF9	chr10	125333656	125333668	+	0.000	0.000	Merged-chr10-125333760-2
NR4588--MA0741.1.KLF16	chr1	191802748	191802758	-	0.000	0.000	Merged-chr1-191802759-25
NR38326--MA0039.3.KLF4	chr2	147832615	147832625	+	0.000	0.000	Merged-chr2-147832545-2
NR42726--MA0039.3.KLF4	chr3	129588984	129588994	-	0.000	0.000	Merged-chr3-129588899-30
NR9621--MA1107.1.KLF9	chr11	46454879	46454891	-	0.000	0.000	Merged-chr11-46454823-30
NR38344--MA0741.1.KLF16	chr2	147832655	147832665	-	0.000	0.000	Merged-chr2-147832545-2
NR46120--MA0599.1.KLF5	chr4	111416002	111416011	+	0.000	0.000	Merged-chr4-111415827-1
NR43808--MA0657.1.KLF13	chr3	152943212	152943229	+	0.000	0.000	Merged-chr3-152943273-41
NR13870--MA0740.1.KLF14	chr12	33036351	33036364	+	0.000	0.000	Merged-chr12-33036196-25
NR32271--MA0741.1.KLF16	chr18	84859619	84859629	+	0.000	0.000	Merged-chr18-84859622-32
NR33357--MA0493.1.Klf1	chr19	32957100	32957110	+	0.000	0.000	Merged-chr19-32957163-34
NR5903--MA0741.1.KLF16	chr10	60125885	60125895	-	0.000	0.000	Merged-chr10-60126055-19
NR18987--MA0740.1.KLF14	chr13	112343188	112343201	+	0.000	0.000	Merged-chr13-112343316-26
NR15475--MA0039.3.KLF4	chr12	107961263	107961273	+	0.000	0.000	Merged-chr12-107961222-28
NR17526--MA0493.1.Klf1	chr13	69821616	69821626	-	0.000	0.000	Merged-chr13-69821460-47
NR5884--MA0741.1.KLF16	chr10	59965009	59965019	-	0.000	0.000	Merged-chr10-59964870-60
NR58276--MA0740.1.KLF14	chr7	25683634	25683647	-	0.000	0.000	Merged-chr7-25683734-21
NR18988--MA0599.1.KLF5	chr13	112343189	112343198	+	0.000	0.000	Merged-chr13-112343316-26
NR13729--MA0741.1.KLF16	chr12	26418536	26418546	+	0.000	0.000	Merged-chr12-26418553-8
NR50631--MA1107.1.KLF9	chr5	106684953	106684965	+	0.000	0.000	Merged-chr5-106684923-4
NR7069--MA0740.1.KLF14	chr10	82961529	82961542	+	0.000	0.000	Merged-chr10-82961512-14
NR27924--MA0599.1.KLF5	chr17	29500859	29500868	-	0.000	0.000	Merged-chr17-29500871-30
NR20746--MA1107.1.KLF9	chr14	70395524	70395536	+	0.000	0.000	Merged-chr14-70395360-19
NR22619--MA0741.1.KLF16	chr15	55906998	55907008	+	0.000	0.000	Merged-chr15-55906885-1
NR39588--MA0599.1.KLF5	chr2	173058379	173058388	+	0.000	0.000	Merged-chr2-173058409-5
NR17523--MA0657.1.KLF13	chr13	69821610	69821627	-	0.000	0.000	Merged-chr13-69821460-47
NR8250--MA0742.1.Klf12	chr10	117969951	117969965	-	0.000	0.000	Merged-chr10-117970017-9
NR61925--MA0741.1.KLF16	chr7	141064282	141064292	-	0.000	0.000	Merged-chr7-141064290-23
NR22913--MA0493.1.Klf1	chr15	66786732	66786742	+	0.000	0.000	Merged-chr15-66786864-7
NR25613--MA0039.3.KLF4	chr16	44362193	44362203	+	0.000	0.000	Merged-chr16-44362356-45
NR53350--MA1107.1.KLF9	chr6	3346060	3346072	-	0.000	0.000	Merged-chr6-3346173-35
NR40611--MA0599.1.KLF5	chr3	54567519	54567528	+	0.000	0.000	Merged-chr3-54567528-25
NR54204--MA0599.1.KLF5	chr6	52962441	52962450	-	0.000	0.000	Merged-chr6-52962536-54
NR17361--MA0599.1.KLF5	chr13	63639903	63639912	-	0.000	0.000	Merged-chr13-63639916-9
NR61159--MA0740.1.KLF14	chr7	125620283	125620296	-	0.000	0.000	Merged-chr7-125620287-12
NR8657--MA1107.1.KLF9	chr10	125333684	125333696	+	0.000	0.000	Merged-chr10-125333760-2
NR5881--MA0599.1.KLF5	chr10	59965012	59965021	-	0.000	0.000	Merged-chr10-59964870-60
NR19603--MA0493.1.Klf1	chr14	25505126	25505136	-	0.000	0.000	Merged-chr14-25505314-24
NR63300--MA0741.1.KLF16	chr8	70072893	70072903	-	0.000	0.000	Merged-chr8-70072773-24
NR19833--MA0742.1.Klf12	chr14	34768543	34768557	+	0.000	0.000	Merged-chr14-34768619-7
NR52252--MA0493.1.Klf1	chr5	136449972	136449982	-	0.000	0.000	Merged-chr5-136449962-15
NR61872--MA0741.1.KLF16	chr7	140264975	140264985	-	0.000	0.000	Merged-chr7-140265035-12
NR2235--MA0493.1.Klf1	chr1	134111148	134111158	-	0.000	0.000	Merged-chr1-134111105-29
NR16153--MA0657.1.KLF13	chr13	4191108	4191125	-	0.000	0.000	Merged-chr13-4191269-39
NR46903--MA1107.1.KLF9	chr4	132775197	132775209	-	0.000	0.000	Merged-chr4-132775105-24
NR54404--MA0039.3.KLF4	chr6	66313068	66313078	+	0.000	0.000	Merged-chr6-66313006-24
NR67892--MA0741.1.KLF16	chr9	94607624	94607634	-	0.000	0.000	Merged-chr9-94607543-65
NR15974--MA0599.1.KLF5	chr12	117075787	117075796	+	0.000	0.000	Merged-chr12-117075635-4
NR11192--MA0657.1.KLF13	chr11	83637040	83637057	-	0.000	0.000	Merged-chr11-83637048-8
NR40585--MA0741.1.KLF16	chr3	52470110	52470120	-	0.000	0.000	Merged-chr3-52470194-16
NR3238--MA0742.1.Klf12	chr1	165816638	165816652	-	0.000	0.000	Merged-chr1-165816619-40
NR13871--MA0657.1.KLF13	chr12	33036350	33036367	+	0.000	0.000	Merged-chr12-33036196-25
NR52248--MA0740.1.KLF14	chr5	136449969	136449982	-	0.000	0.000	Merged-chr5-136449962-15
NR22394--MA0493.1.Klf1	chr15	38122405	38122415	+	0.000	0.000	Merged-chr15-38122272-49
NR5835--MA0039.3.KLF4	chr10	58350791	58350801	-	0.000	0.000	Merged-chr10-58350801-17
NR64285--MA0742.1.Klf12	chr8	104439600	104439614	-	0.000	0.000	Merged-chr8-104439585-1
NR47858--MA0741.1.KLF16	chr4	148167203	148167213	+	0.000	0.000	Merged-chr4-148167175-10
NR14477--MA0740.1.KLF14	chr12	76085169	76085182	-	0.000	0.000	Merged-chr12-76085234-6
NR63861--MA0599.1.KLF5	chr8	84825804	84825813	-	0.000	0.000	Merged-chr8-84825845-44
NR5737--MA1107.1.KLF9	chr10	45635525	45635537	-	0.000	0.000	Merged-chr10-45635407-27
NR52950--MA1107.1.KLF9	chr5	146655614	146655626	-	0.000	0.000	Merged-chr5-146655552-37
NR11922--MA0039.3.KLF4	chr11	99012469	99012479	-	0.000	0.000	Merged-chr11-99012536-12
NR45294--MA1107.1.KLF9	chr4	70601487	70601499	-	0.000	0.000	Merged-chr4-70601569-19
NR1502--MA0741.1.KLF16	chr1	88267860	88267870	+	0.000	0.000	Merged-chr1-88267879-42
NR54106--MA0599.1.KLF5	chr6	50394125	50394134	-	0.000	0.000	Merged-chr6-50394261-50
NR34720--MA1107.1.KLF9	chr2	18524725	18524737	+	0.000	0.000	Merged-chr2-18524516-29
NR63674--MA0741.1.KLF16	chr8	79173658	79173668	+	0.000	0.000	Merged-chr8-79173625-13
NR1503--MA1107.1.KLF9	chr1	88267857	88267869	+	0.000	0.000	Merged-chr1-88267879-42
NR49899--MA0741.1.KLF16	chr5	76184457	76184467	-	0.000	0.000	Merged-chr5-76184561-3
NR60135--MA0599.1.KLF5	chr7	98995323	98995332	-	0.000	0.000	Merged-chr7-98995432-21
NR34165--MA1107.1.KLF9	chr19	57327965	57327977	-	0.000	0.000	Merged-chr19-57327761-18
NR37203--MA0599.1.KLF5	chr2	117335744	117335753	+	0.000	0.000	Merged-chr2-117335736-33
NR43854--MA0742.1.Klf12	chr3	153658459	153658473	-	0.000	0.000	Merged-chr3-153658616-40
NR11194--MA0741.1.KLF16	chr11	83637045	83637055	-	0.000	0.000	Merged-chr11-83637048-8
NR68155--MA0493.1.Klf1	chr9	103426484	103426494	+	0.000	0.000	Merged-chr9-103426550-25
NR5509--MA1107.1.KLF9	chr10	39522158	39522170	-	0.000	0.000	Merged-chr10-39522157-23
NR21800--MA0741.1.KLF16	chr14	121315915	121315925	-	0.000	0.000	Merged-chr14-121315767-6
NR49829--MA0493.1.Klf1	chr5	74471084	74471094	-	0.000	0.000	Merged-chr5-74471085-11
NR9216--MA0599.1.KLF5	chr11	14142714	14142723	-	0.000	0.000	Merged-chr11-14142731-31
NR63911--MA0741.1.KLF16	chr8	85060108	85060118	+	0.000	0.000	Merged-chr8-85060180-46
NR14618--MA0740.1.KLF14	chr12	81845217	81845230	-	0.000	0.000	Merged-chr12-81845150-28
NR33019--MA0741.1.KLF16	chr19	16373318	16373328	+	0.000	0.000	Merged-chr19-16373273-16
NR59867--MA0741.1.KLF16	chr7	90081956	90081966	+	0.000	0.000	Merged-chr7-90081975-11
NR13122--MA1107.1.KLF9	chr11	119238575	119238587	+	0.000	0.000	Merged-chr11-119238341-66
NR40150--MA0741.1.KLF16	chr3	19707020	19707030	-	0.000	0.000	Merged-chr3-19706982-40
NR63860--MA0740.1.KLF14	chr8	84825801	84825814	-	0.000	0.000	Merged-chr8-84825845-44
NR9461--MA1107.1.KLF9	chr11	32582956	32582968	+	0.000	0.000	Merged-chr11-32583029-49
