#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-pval0.3-log2fc0.5_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-pval0.3-log2fc0.5_dn.bed
NR3365--MA0769.1.Tcf7	chr16	7419924	7419935	-	0.000	0.000	Merged-chr16-7419949-42
NR7044--MA0769.1.Tcf7	chr6	5147853	5147864	+	0.000	0.000	Merged-chr6-5147663-1
NR8681--MA0523.1.TCF7L2	chr9	57633601	57633614	+	0.000	0.000	Merged-chr9-57633729-59
NR7714--MA1421.1.TCF7L1	chr7	45162114	45162125	+	0.000	0.000	Merged-chr7-45162253-48
NR880--MA0769.1.Tcf7	chr10	50650808	50650819	-	0.000	0.000	Merged-chr10-50650757-16
NR5590--MA0769.1.Tcf7	chr3	81489543	81489554	-	0.000	0.000	Merged-chr3-81489616-14
NR997--MA0769.1.Tcf7	chr10	75406146	75406157	+	0.000	0.000	Merged-chr10-75406076-29
NR342--MA0523.1.TCF7L2	chr1	119469561	119469574	-	0.000	0.000	Merged-chr1-119469584-5
NR1289--MA0523.1.TCF7L2	chr10	128039313	128039326	-	0.000	0.000	Merged-chr10-128039274-35
NR4438--MA0523.1.TCF7L2	chr19	38837529	38837542	-	0.000	0.000	Merged-chr19-38837457-3
NR7556--MA0769.1.Tcf7	chr6	138269150	138269161	-	0.000	0.000	Merged-chr6-138269074-1
NR228--MA0769.1.Tcf7	chr1	85961046	85961057	+	0.000	0.000	Merged-chr1-85961052-28
NR3340--MA0769.1.Tcf7	chr15	102165933	102165944	+	0.000	0.000	Merged-chr15-102165758-28
NR1290--MA0769.1.Tcf7	chr10	128039315	128039326	-	0.000	0.000	Merged-chr10-128039274-35
NR815--MA0769.1.Tcf7	chr10	25387446	25387457	-	0.000	0.000	Merged-chr10-25387454-21
NR6158--MA0769.1.Tcf7	chr4	54855960	54855971	+	0.000	0.000	Merged-chr4-54855897-1
NR1980--MA0769.1.Tcf7	chr12	92625191	92625202	+	0.000	0.000	Merged-chr12-92625384-3
NR4556--MA0769.1.Tcf7	chr2	6716857	6716868	-	0.000	0.000	Merged-chr2-6716828-13
NR813--MA1421.1.TCF7L1	chr10	25387446	25387457	-	0.000	0.000	Merged-chr10-25387454-21
NR3784--MA0523.1.TCF7L2	chr17	23969057	23969070	+	0.000	0.000	Merged-chr17-23969178-28
NR8447--MA1421.1.TCF7L1	chr8	120596172	120596183	+	0.000	0.000	Merged-chr8-120596111-22
NR8556--MA0523.1.TCF7L2	chr9	24331761	24331774	+	0.000	0.000	Merged-chr9-24331833-14
NR7979--MA1421.1.TCF7L1	chr7	119808847	119808858	+	0.000	0.000	Merged-chr7-119808886-15
NR1484--MA1421.1.TCF7L1	chr11	76677202	76677213	-	0.000	0.000	Merged-chr11-76677169-5
NR8621--MA0769.1.Tcf7	chr9	42423787	42423798	+	0.000	0.000	Merged-chr9-42423784-11
NR5219--MA0523.1.TCF7L2	chr2	150134373	150134386	-	0.000	0.000	Merged-chr2-150134419-14
NR6334--MA0769.1.Tcf7	chr4	107260085	107260096	+	0.000	0.000	Merged-chr4-107260166-15
NR5596--MA0523.1.TCF7L2	chr3	84569605	84569618	+	0.000	0.000	Merged-chr3-84569742-8
NR4782--MA0769.1.Tcf7	chr2	60717568	60717579	-	0.000	0.000	Merged-chr2-60717548-24
NR3021--MA0769.1.Tcf7	chr15	3271011	3271022	+	0.000	0.000	Merged-chr15-3270817-58
NR7043--MA0523.1.TCF7L2	chr6	5147853	5147866	+	0.000	0.000	Merged-chr6-5147663-1
NR6501--MA1421.1.TCF7L1	chr4	149854387	149854398	-	0.000	0.000	Merged-chr4-149854542-67
NR6333--MA1421.1.TCF7L1	chr4	107260085	107260096	+	0.000	0.000	Merged-chr4-107260166-15
NR814--MA0523.1.TCF7L2	chr10	25387444	25387457	-	0.000	0.000	Merged-chr10-25387454-21
NR7945--MA0769.1.Tcf7	chr7	115218910	115218921	+	0.000	0.000	Merged-chr7-115218920-27
NR6918--MA1421.1.TCF7L1	chr5	121173009	121173020	+	0.000	0.000	Merged-chr5-121173124-16
NR5848--MA1421.1.TCF7L1	chr3	132575307	132575318	-	0.000	0.000	Merged-chr3-132575270-5
NR8761--MA0523.1.TCF7L2	chr9	77683541	77683554	+	0.000	0.000	Merged-chr9-77683679-29
NR326--MA1421.1.TCF7L1	chr1	108038616	108038627	-	0.000	0.000	Merged-chr1-108038539-17
NR6627--MA0523.1.TCF7L2	chr5	44180970	44180983	-	0.000	0.000	Merged-chr5-44180865-15
NR7409--MA0769.1.Tcf7	chr6	103565084	103565095	+	0.000	0.000	Merged-chr6-103565102-16
NR3093--MA1421.1.TCF7L1	chr15	35917965	35917976	+	0.000	0.000	Merged-chr15-35918069-6
NR94--MA1421.1.TCF7L1	chr1	43475216	43475227	-	0.000	0.000	Merged-chr1-43475284-1
NR3620--MA0523.1.TCF7L2	chr16	78595987	78596000	-	0.000	0.000	Merged-chr16-78595924-17
NR227--MA1421.1.TCF7L1	chr1	85961046	85961057	+	0.000	0.000	Merged-chr1-85961052-28
NR7575--MA0769.1.Tcf7	chr6	142567726	142567737	-	0.000	0.000	Merged-chr6-142567710-6
NR3065--MA0523.1.TCF7L2	chr15	25910531	25910544	+	0.000	0.000	Merged-chr15-25910388-17
NR5709--MA0769.1.Tcf7	chr3	103862399	103862410	+	0.000	0.000	Merged-chr3-103862515-1
NR8419--MA0769.1.Tcf7	chr8	111941182	111941193	+	0.000	0.000	Merged-chr8-111941211-2
NR5708--MA0523.1.TCF7L2	chr3	103862399	103862412	+	0.000	0.000	Merged-chr3-103862515-1
NR1851--MA0769.1.Tcf7	chr12	70713663	70713674	+	0.000	0.000	Merged-chr12-70713725-41
NR3692--MA0523.1.TCF7L2	chr16	95134313	95134326	-	0.000	0.000	Merged-chr16-95134376-1
NR6153--MA0523.1.TCF7L2	chr4	53278142	53278155	+	0.000	0.000	Merged-chr4-53278272-26
NR1089--MA0523.1.TCF7L2	chr10	93050742	93050755	-	0.000	0.000	Merged-chr10-93050674-1
NR1897--MA0523.1.TCF7L2	chr12	76923266	76923279	-	0.000	0.000	Merged-chr12-76923289-32
NR5114--MA0523.1.TCF7L2	chr2	132691812	132691825	+	0.000	0.000	Merged-chr2-132691913-20
NR6527--MA0769.1.Tcf7	chr4	155082318	155082329	+	0.000	0.000	Merged-chr4-155082260-14
NR327--MA0523.1.TCF7L2	chr1	108038614	108038627	-	0.000	0.000	Merged-chr1-108038539-17
NR7408--MA0523.1.TCF7L2	chr6	103565084	103565097	+	0.000	0.000	Merged-chr6-103565102-16
NR7882--MA1421.1.TCF7L1	chr7	101635945	101635956	+	0.000	0.000	Merged-chr7-101636183-33
NR8417--MA0523.1.TCF7L2	chr8	111582536	111582549	-	0.000	0.000	Merged-chr8-111582684-27
NR6157--MA0523.1.TCF7L2	chr4	54855960	54855973	+	0.000	0.000	Merged-chr4-54855897-1
NR7566--MA0523.1.TCF7L2	chr6	140314087	140314100	-	0.000	0.000	Merged-chr6-140314075-23
NR8623--MA0523.1.TCF7L2	chr9	42463999	42464012	+	0.000	0.000	Merged-chr9-42464013-7
NR7166--MA0523.1.TCF7L2	chr6	51509993	51510006	-	0.000	0.000	Merged-chr6-51509825-65
NR3693--MA0769.1.Tcf7	chr16	95134315	95134326	-	0.000	0.000	Merged-chr16-95134376-1
NR3630--MA1421.1.TCF7L1	chr16	84982746	84982757	-	0.000	0.000	Merged-chr16-84982791-18
NR9174--MA1421.1.TCF7L1	chrX	159828200	159828211	+	0.000	0.000	Merged-chrX-159828290-35
NR3237--MA0769.1.Tcf7	chr15	81131233	81131244	-	0.000	0.000	Merged-chr15-81131354-10
NR1187--MA0769.1.Tcf7	chr10	111446562	111446573	-	0.000	0.000	Merged-chr10-111446386-39
NR7574--MA0523.1.TCF7L2	chr6	142567724	142567737	-	0.000	0.000	Merged-chr6-142567710-6
NR4439--MA0769.1.Tcf7	chr19	38837531	38837542	-	0.000	0.000	Merged-chr19-38837457-3
NR5588--MA1421.1.TCF7L1	chr3	81489543	81489554	-	0.000	0.000	Merged-chr3-81489616-14
NR2962--MA0769.1.Tcf7	chr14	115015359	115015370	+	0.000	0.000	Merged-chr14-115015527-11
NR2410--MA1421.1.TCF7L1	chr13	85505143	85505154	-	0.000	0.000	Merged-chr13-85505133-53
NR996--MA0523.1.TCF7L2	chr10	75406146	75406159	+	0.000	0.000	Merged-chr10-75406076-29
NR7510--MA0523.1.TCF7L2	chr6	129275961	129275974	-	0.000	0.000	Merged-chr6-129276104-1
NR6628--MA0769.1.Tcf7	chr5	44180972	44180983	-	0.000	0.000	Merged-chr5-44180865-15
NR7944--MA0523.1.TCF7L2	chr7	115218910	115218923	+	0.000	0.000	Merged-chr7-115218920-27
NR777--MA0523.1.TCF7L2	chr10	19321923	19321936	+	0.000	0.000	Merged-chr10-19321944-43
NR2412--MA0769.1.Tcf7	chr13	85505143	85505154	-	0.000	0.000	Merged-chr13-85505133-53
NR1024--MA0523.1.TCF7L2	chr10	81249642	81249655	-	0.000	0.000	Merged-chr10-81249714-12
NR3632--MA0769.1.Tcf7	chr16	84982746	84982757	-	0.000	0.000	Merged-chr16-84982791-18
NR7884--MA0769.1.Tcf7	chr7	101635945	101635956	+	0.000	0.000	Merged-chr7-101636183-33
NR3095--MA0769.1.Tcf7	chr15	35917965	35917976	+	0.000	0.000	Merged-chr15-35918069-6
NR328--MA0769.1.Tcf7	chr1	108038616	108038627	-	0.000	0.000	Merged-chr1-108038539-17
NR1288--MA1421.1.TCF7L1	chr10	128039315	128039326	-	0.000	0.000	Merged-chr10-128039274-35
NR96--MA0769.1.Tcf7	chr1	43475216	43475227	-	0.000	0.000	Merged-chr1-43475284-1
NR4437--MA1421.1.TCF7L1	chr19	38837531	38837542	-	0.000	0.000	Merged-chr19-38837457-3
NR4205--MA1421.1.TCF7L1	chr18	65819070	65819081	-	0.000	0.000	Merged-chr18-65819211-50
NR796--MA1421.1.TCF7L1	chr10	22714721	22714732	-	0.000	0.000	Merged-chr10-22714818-39
NR3339--MA0523.1.TCF7L2	chr15	102165933	102165946	+	0.000	0.000	Merged-chr15-102165758-28
NR1426--MA1421.1.TCF7L1	chr11	61142375	61142386	-	0.000	0.000	Merged-chr11-61142505-33
NR3364--MA0523.1.TCF7L2	chr16	7419922	7419935	-	0.000	0.000	Merged-chr16-7419949-42
NR5764--MA0769.1.Tcf7	chr3	115897972	115897983	-	0.000	0.000	Merged-chr3-115897908-5
NR5589--MA0523.1.TCF7L2	chr3	81489541	81489554	-	0.000	0.000	Merged-chr3-81489616-14
NR2411--MA0523.1.TCF7L2	chr13	85505141	85505154	-	0.000	0.000	Merged-chr13-85505133-53
NR51--MA0523.1.TCF7L2	chr1	35580595	35580608	-	0.000	0.000	Merged-chr1-35580626-34
NR8376--MA0523.1.TCF7L2	chr8	95679302	95679315	-	0.000	0.000	Merged-chr8-95679341-1
NR3783--MA1421.1.TCF7L1	chr17	23969057	23969068	+	0.000	0.000	Merged-chr17-23969178-28
NR5568--MA0769.1.Tcf7	chr3	79129256	79129267	-	0.000	0.000	Merged-chr3-79129160-12
NR3066--MA0769.1.Tcf7	chr15	25910531	25910542	+	0.000	0.000	Merged-chr15-25910388-17
NR4781--MA0523.1.TCF7L2	chr2	60717566	60717579	-	0.000	0.000	Merged-chr2-60717548-24
NR5218--MA1421.1.TCF7L1	chr2	150134375	150134386	-	0.000	0.000	Merged-chr2-150134419-14
NR3235--MA0523.1.TCF7L2	chr15	80020709	80020722	+	0.000	0.000	Merged-chr15-80020745-7
NR6578--MA0769.1.Tcf7	chr5	24894952	24894963	-	0.000	0.000	Merged-chr5-24894966-9
NR107--MA0769.1.Tcf7	chr1	52100657	52100668	+	0.000	0.000	Merged-chr1-52100715-41
NR2696--MA1421.1.TCF7L1	chr14	40927210	40927221	-	0.000	0.000	Merged-chr14-40927194-29
NR879--MA0523.1.TCF7L2	chr10	50650806	50650819	-	0.000	0.000	Merged-chr10-50650757-16
NR5567--MA0523.1.TCF7L2	chr3	79129254	79129267	-	0.000	0.000	Merged-chr3-79129160-12
NR6919--MA0769.1.Tcf7	chr5	121173009	121173020	+	0.000	0.000	Merged-chr5-121173124-16
NR8557--MA0769.1.Tcf7	chr9	24331761	24331772	+	0.000	0.000	Merged-chr9-24331833-14
NR2009--MA0769.1.Tcf7	chr12	100165291	100165302	+	0.000	0.000	Merged-chr12-100165165-51
NR6248--MA1421.1.TCF7L1	chr4	87669755	87669766	+	0.000	0.000	Merged-chr4-87669731-33
NR2217--MA0523.1.TCF7L2	chr13	30833848	30833861	+	0.000	0.000	Merged-chr13-30833715-52
NR1534--MA0523.1.TCF7L2	chr11	94236388	94236401	+	0.000	0.000	Merged-chr11-94236284-28
NR1206--MA1421.1.TCF7L1	chr10	114645086	114645097	-	0.000	0.000	Merged-chr10-114644949-1
NR3086--MA1421.1.TCF7L1	chr15	31649926	31649937	+	0.000	0.000	Merged-chr15-31649789-27
NR4033--MA0523.1.TCF7L2	chr18	12876590	12876603	+	0.000	0.000	Merged-chr18-12876665-8
NR4345--MA1421.1.TCF7L1	chr19	7294771	7294782	-	0.000	0.000	Merged-chr19-7294791-1
NR1207--MA0769.1.Tcf7	chr10	114645086	114645097	-	0.000	0.000	Merged-chr10-114644949-1
NR8760--MA1421.1.TCF7L1	chr9	77683541	77683552	+	0.000	0.000	Merged-chr9-77683679-29
NR3087--MA0769.1.Tcf7	chr15	31649926	31649937	+	0.000	0.000	Merged-chr15-31649789-27
NR2223--MA1421.1.TCF7L1	chr13	35842034	35842045	-	0.000	0.000	Merged-chr13-35841945-14
NR2598--MA0523.1.TCF7L2	chr14	7832268	7832281	-	0.000	0.000	Merged-chr14-7832137-26
NR6154--MA0523.1.TCF7L2	chr4	53278261	53278274	-	0.000	0.000	Merged-chr4-53278272-26
NR5515--MA0523.1.TCF7L2	chr3	61368867	61368880	+	0.000	0.000	Merged-chr3-61368860-22
NR8620--MA0523.1.TCF7L2	chr9	42423787	42423800	+	0.000	0.000	Merged-chr9-42423784-11
NR2008--MA1421.1.TCF7L1	chr12	100165291	100165302	+	0.000	0.000	Merged-chr12-100165165-51
NR4264--MA0769.1.Tcf7	chr18	77121613	77121624	+	0.000	0.000	Merged-chr18-77121790-35
NR5113--MA1421.1.TCF7L1	chr2	132691812	132691823	+	0.000	0.000	Merged-chr2-132691913-20
NR749--MA0523.1.TCF7L2	chr10	8531854	8531867	+	0.000	0.000	Merged-chr10-8531787-37
NR8624--MA0769.1.Tcf7	chr9	42463999	42464010	+	0.000	0.000	Merged-chr9-42464013-7
NR8418--MA0523.1.TCF7L2	chr8	111941182	111941195	+	0.000	0.000	Merged-chr8-111941211-2
NR3619--MA1421.1.TCF7L1	chr16	78595989	78596000	-	0.000	0.000	Merged-chr16-78595924-17
NR7407--MA1421.1.TCF7L1	chr6	103565084	103565095	+	0.000	0.000	Merged-chr6-103565102-16
NR4508--MA1421.1.TCF7L1	chr19	58051237	58051248	-	0.000	0.000	Merged-chr19-58051277-2
NR3188--MA1421.1.TCF7L1	chr15	66855114	66855125	-	0.000	0.000	Merged-chr15-66854970-48
NR8622--MA1421.1.TCF7L1	chr9	42463999	42464010	+	0.000	0.000	Merged-chr9-42464013-7
NR5082--MA0769.1.Tcf7	chr2	127923295	127923306	-	0.000	0.000	Merged-chr2-127923410-36
NR7123--MA0769.1.Tcf7	chr6	39316301	39316312	-	0.000	0.000	Merged-chr6-39316367-40
NR1287--MA0769.1.Tcf7	chr10	127641960	127641971	-	0.000	0.000	Merged-chr10-127642064-12
NR292--MA0769.1.Tcf7	chr1	98088346	98088357	+	0.000	0.000	Merged-chr1-98088226-2
NR6526--MA1421.1.TCF7L1	chr4	155082318	155082329	+	0.000	0.000	Merged-chr4-155082260-14
NR1090--MA0769.1.Tcf7	chr10	93050744	93050755	-	0.000	0.000	Merged-chr10-93050674-1
NR5288--MA1421.1.TCF7L1	chr2	163048289	163048300	+	0.000	0.000	Merged-chr2-163048277-32
NR1850--MA0523.1.TCF7L2	chr12	70713663	70713676	+	0.000	0.000	Merged-chr12-70713725-41
NR7573--MA1421.1.TCF7L1	chr6	142567726	142567737	-	0.000	0.000	Merged-chr6-142567710-6
NR995--MA1421.1.TCF7L1	chr10	75406146	75406157	+	0.000	0.000	Merged-chr10-75406076-29
NR5081--MA1421.1.TCF7L1	chr2	127923295	127923306	-	0.000	0.000	Merged-chr2-127923410-36
NR4034--MA0769.1.Tcf7	chr18	12876590	12876601	+	0.000	0.000	Merged-chr18-12876665-8
NR2199--MA0769.1.Tcf7	chr13	23734524	23734535	+	0.000	0.000	Merged-chr13-23734534-7
NR5115--MA0769.1.Tcf7	chr2	132691812	132691823	+	0.000	0.000	Merged-chr2-132691913-20
NR4042--MA1421.1.TCF7L1	chr18	15331926	15331937	-	0.000	0.000	Merged-chr18-15331866-28
NR3094--MA0523.1.TCF7L2	chr15	35917965	35917978	+	0.000	0.000	Merged-chr15-35918069-6
NR8855--MA0769.1.Tcf7	chr9	95835518	95835529	-	0.000	0.000	Merged-chr9-95835465-2
NR95--MA0523.1.TCF7L2	chr1	43475214	43475227	-	0.000	0.000	Merged-chr1-43475284-1
NR343--MA0769.1.Tcf7	chr1	119469563	119469574	-	0.000	0.000	Merged-chr1-119469584-5
NR7103--MA0769.1.Tcf7	chr6	33056066	33056077	-	0.000	0.000	Merged-chr6-33055928-12
