#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval0.3-log2fc0.5_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval0.3-log2fc0.5_dn.bed
NR4506--MA0140.2.GATA1::TAL1	chr3	10212220	10212237	-	0.000	0.000	Merged-chr3-10212114-17
NR5980--MA0140.2.GATA1::TAL1	chr6	90782576	90782593	-	0.000	0.000	Merged-chr6-90782586-39
NR5500--MA0766.1.GATA5	chr5	63768124	63768131	-	0.000	0.000	Merged-chr5-63767981-25
NR762--MA1104.1.GATA6	chr10	75417897	75417909	-	0.000	0.000	Merged-chr10-75417748-37
NR4391--MA1104.1.GATA6	chr2	154797063	154797075	+	0.000	0.000	Merged-chr2-154797130-17
NR3379--MA0037.3.GATA3	chr18	38700838	38700845	-	0.000	0.000	Merged-chr18-38700911-27
NR7324--MA0037.3.GATA3	chr9	69156195	69156202	-	0.000	0.000	Merged-chr9-69156335-38
NR6609--MA0482.1.Gata4	chr7	113263190	113263200	+	0.000	0.000	Merged-chr7-113263148-32
NR2564--MA0482.1.Gata4	chr15	52900012	52900022	-	0.000	0.000	Merged-chr15-52899831-78
NR4771--MA0037.3.GATA3	chr3	132791516	132791523	+	0.000	0.000	Merged-chr3-132791387-40
NR4547--MA0036.3.GATA2	chr3	37738509	37738519	-	0.000	0.000	Merged-chr3-37738517-40
NR2867--MA0036.3.GATA2	chr16	50839801	50839811	+	0.000	0.000	Merged-chr16-50839866-11
NR4505--MA0035.3.Gata1	chr3	10151661	10151671	-	0.000	0.000	Merged-chr3-10151750-17
NR2600--MA0037.3.GATA3	chr15	72928859	72928866	+	0.000	0.000	Merged-chr15-72929064-48
NR1994--MA0036.3.GATA2	chr13	89889162	89889172	+	0.000	0.000	Merged-chr13-89889254-28
NR2567--MA0035.3.Gata1	chr15	52900013	52900023	-	0.000	0.000	Merged-chr15-52899831-78
NR6089--MA0037.3.GATA3	chr6	117166985	117166992	+	0.000	0.000	Merged-chr6-117167105-10
NR1530--MA0035.3.Gata1	chr12	76527617	76527627	-	0.000	0.000	Merged-chr12-76527633-28
NR3141--MA0037.3.GATA3	chr17	26532845	26532852	+	0.000	0.000	Merged-chr17-26532798-20
NR6309--MA0482.1.Gata4	chr7	19093680	19093690	+	0.000	0.000	Merged-chr7-19093740-100
NR5619--MA0140.2.GATA1::TAL1	chr5	96219689	96219706	-	0.000	0.000	Merged-chr5-96219655-31
NR3316--MA0037.3.GATA3	chr17	84633653	84633660	-	0.000	0.000	Merged-chr17-84633706-27
NR3329--MA0037.3.GATA3	chr18	6484970	6484977	-	0.000	0.000	Merged-chr18-6484878-33
NR5121--MA0035.3.Gata1	chr4	86725381	86725391	-	0.000	0.000	Merged-chr4-86725378-12
NR5118--MA0037.3.GATA3	chr4	86725372	86725379	-	0.000	0.000	Merged-chr4-86725378-12
NR2565--MA1104.1.GATA6	chr15	52900012	52900024	+	0.000	0.000	Merged-chr15-52899831-78
NR3964--MA0035.3.Gata1	chr2	59534487	59534497	+	0.000	0.000	Merged-chr2-59534510-22
NR5501--MA0035.3.Gata1	chr5	63768123	63768133	+	0.000	0.000	Merged-chr5-63767981-25
NR6092--MA0036.3.GATA2	chr6	117166983	117166993	-	0.000	0.000	Merged-chr6-117167105-10
NR7125--MA0037.3.GATA3	chr9	5311522	5311529	-	0.000	0.000	Merged-chr9-5311572-34
NR4035--MA0035.3.Gata1	chr2	80324387	80324397	+	0.000	0.000	Merged-chr2-80324472-29
NR1652--MA0036.3.GATA2	chr12	104069808	104069818	-	0.000	0.000	Merged-chr12-104069872-17
NR5841--MA0035.3.Gata1	chr6	37455628	37455638	-	0.000	0.000	Merged-chr6-37455816-24
NR5787--MA0036.3.GATA2	chr5	146897120	146897130	+	0.000	0.000	Merged-chr5-146897155-34
NR3330--MA1104.1.GATA6	chr18	6484968	6484980	-	0.000	0.000	Merged-chr18-6484878-33
NR63--MA0037.3.GATA3	chr1	54421814	54421821	+	0.000	0.000	Merged-chr1-54421982-33
NR7481--MA0035.3.Gata1	chr9	112174908	112174918	-	0.000	0.000	Merged-chr9-112174843-101
NR3467--MA0036.3.GATA2	chr18	66502126	66502136	-	0.000	0.000	Merged-chr18-66502099-22
NR5256--MA0036.3.GATA2	chr4	132040443	132040453	-	0.000	0.000	Merged-chr4-132040319-80
NR7250--MA0036.3.GATA2	chr9	52259625	52259635	-	0.000	0.000	Merged-chr9-52259787-26
NR3372--MA0035.3.Gata1	chr18	35776813	35776823	+	0.000	0.000	Merged-chr18-35776738-19
NR2767--MA1104.1.GATA6	chr16	18452421	18452433	-	0.000	0.000	Merged-chr16-18452480-18
NR3146--MA0035.3.Gata1	chr17	26532843	26532853	-	0.000	0.000	Merged-chr17-26532798-20
NR3440--MA0140.2.GATA1::TAL1	chr18	56455769	56455786	-	0.000	0.000	Merged-chr18-56455831-43
NR6980--MA0035.3.Gata1	chr8	110846146	110846156	+	0.000	0.000	Merged-chr8-110845988-12
NR7486--MA0035.3.Gata1	chr9	112186686	112186696	+	0.000	0.000	Merged-chr9-112186441-37
NR7385--MA0036.3.GATA2	chr9	89842484	89842494	-	0.000	0.000	Merged-chr9-89842601-13
NR3382--MA0766.1.GATA5	chr18	38700838	38700845	-	0.000	0.000	Merged-chr18-38700911-27
NR6209--MA0036.3.GATA2	chr6	135418445	135418455	+	0.000	0.000	Merged-chr6-135418528-77
NR3404--MA0036.3.GATA2	chr18	46448739	46448749	-	0.000	0.000	Merged-chr18-46448750-18
NR1529--MA0766.1.GATA5	chr12	76527619	76527626	+	0.000	0.000	Merged-chr12-76527633-28
NR3370--MA1104.1.GATA6	chr18	35776812	35776824	-	0.000	0.000	Merged-chr18-35776738-19
NR7135--MA0766.1.GATA5	chr9	7576787	7576794	+	0.000	0.000	Merged-chr9-7576753-19
NR2397--MA0482.1.Gata4	chr14	86682008	86682018	+	0.000	0.000	Merged-chr14-86682000-52
NR3400--MA0140.2.GATA1::TAL1	chr18	46013357	46013374	-	0.000	0.000	Merged-chr18-46013388-48
NR3398--MA0036.3.GATA2	chr18	46013366	46013376	-	0.000	0.000	Merged-chr18-46013388-48
NR7409--MA0036.3.GATA2	chr9	95113474	95113484	+	0.000	0.000	Merged-chr9-95113538-34
NR2934--MA0766.1.GATA5	chr16	78265278	78265285	-	0.000	0.000	Merged-chr16-78265078-57
NR5352--MA0482.1.Gata4	chr4	149282668	149282678	+	0.000	0.000	Merged-chr4-149282639-35
NR3518--MA0036.3.GATA2	chr18	75489365	75489375	-	0.000	0.000	Merged-chr18-75489446-39
NR1525--MA0035.3.Gata1	chr12	76527449	76527459	+	0.000	0.000	Merged-chr12-76527633-28
NR6308--MA0037.3.GATA3	chr7	19093680	19093687	-	0.000	0.000	Merged-chr7-19093740-100
NR5355--MA0035.3.Gata1	chr4	149282667	149282677	+	0.000	0.000	Merged-chr4-149282639-35
NR7110--MA0035.3.Gata1	chr8	127589469	127589479	+	0.000	0.000	Merged-chr8-127589399-43
NR3183--MA0766.1.GATA5	chr17	47176498	47176505	-	0.000	0.000	Merged-chr17-47176575-11
NR2985--MA0036.3.GATA2	chr16	91413417	91413427	-	0.000	0.000	Merged-chr16-91413429-37
NR7327--MA0036.3.GATA2	chr9	69156194	69156204	+	0.000	0.000	Merged-chr9-69156335-38
NR3383--MA0035.3.Gata1	chr18	38700837	38700847	+	0.000	0.000	Merged-chr18-38700911-27
NR364--MA0036.3.GATA2	chr1	156901951	156901961	-	0.000	0.000	Merged-chr1-156901975-24
NR4402--MA0766.1.GATA5	chr2	157131308	157131315	-	0.000	0.000	Merged-chr2-157131278-25
NR2451--MA0766.1.GATA5	chr14	104517162	104517169	-	0.000	0.000	Merged-chr14-104517244-7
NR7136--MA0035.3.Gata1	chr9	7576785	7576795	-	0.000	0.000	Merged-chr9-7576753-19
NR2964--MA0036.3.GATA2	chr16	89835833	89835843	-	0.000	0.000	Merged-chr16-89835915-50
NR6805--MA0035.3.Gata1	chr8	4507819	4507829	+	0.000	0.000	Merged-chr8-4507701-32
NR2826--MA0035.3.Gata1	chr16	36602847	36602857	+	0.000	0.000	Merged-chr16-36602811-38
NR2412--MA0035.3.Gata1	chr14	100459449	100459459	-	0.000	0.000	Merged-chr14-100459597-88
NR5353--MA1104.1.GATA6	chr4	149282666	149282678	-	0.000	0.000	Merged-chr4-149282639-35
NR2935--MA0035.3.Gata1	chr16	78265277	78265287	+	0.000	0.000	Merged-chr16-78265078-57
NR2834--MA0036.3.GATA2	chr16	43661708	43661718	-	0.000	0.000	Merged-chr16-43661789-37
NR3003--MA0482.1.Gata4	chr16	92904091	92904101	+	0.000	0.000	Merged-chr16-92904166-16
NR685--MA0482.1.Gata4	chr10	39909004	39909014	-	0.000	0.000	Merged-chr10-39908965-34
NR3144--MA0036.3.GATA2	chr17	26532843	26532853	-	0.000	0.000	Merged-chr17-26532798-20
NR3319--MA0036.3.GATA2	chr17	85888837	85888847	-	0.000	0.000	Merged-chr17-85888819-19
NR3006--MA0035.3.Gata1	chr16	92904090	92904100	+	0.000	0.000	Merged-chr16-92904166-16
NR6611--MA0482.1.Gata4	chr7	113419584	113419594	-	0.000	0.000	Merged-chr7-113419557-35
NR4625--MA0766.1.GATA5	chr3	84570697	84570704	-	0.000	0.000	Merged-chr3-84570776-21
NR6624--MA0482.1.Gata4	chr7	114095572	114095582	-	0.000	0.000	Merged-chr7-114095651-34
NR583--MA0140.2.GATA1::TAL1	chr1	192532401	192532418	+	0.000	0.000	Merged-chr1-192532397-12
NR2824--MA1104.1.GATA6	chr16	36602846	36602858	-	0.000	0.000	Merged-chr16-36602811-38
NR4392--MA0035.3.Gata1	chr2	154797071	154797081	-	0.000	0.000	Merged-chr2-154797130-17
NR7444--MA0482.1.Gata4	chr9	103180920	103180930	+	0.000	0.000	Merged-chr9-103181088-53
NR2677--MA0036.3.GATA2	chr15	91616640	91616650	-	0.000	0.000	Merged-chr15-91616695-12
NR3465--MA0482.1.Gata4	chr18	66502125	66502135	-	0.000	0.000	Merged-chr18-66502099-22
NR6571--MA0482.1.Gata4	chr7	107788515	107788525	-	0.000	0.000	Merged-chr7-107788483-31
NR7128--MA0036.3.GATA2	chr9	5311521	5311531	+	0.000	0.000	Merged-chr9-5311572-34
NR5254--MA0482.1.Gata4	chr4	132040442	132040452	-	0.000	0.000	Merged-chr4-132040319-80
NR3369--MA0482.1.Gata4	chr18	35776814	35776824	+	0.000	0.000	Merged-chr18-35776738-19
NR2515--MA0482.1.Gata4	chr15	25216779	25216789	+	0.000	0.000	Merged-chr15-25216736-38
NR1010--MA0140.2.GATA1::TAL1	chr11	3227252	3227269	-	0.000	0.000	Merged-chr11-3227351-28
NR5257--MA0035.3.Gata1	chr4	132040443	132040453	-	0.000	0.000	Merged-chr4-132040319-80
NR3004--MA1104.1.GATA6	chr16	92904089	92904101	-	0.000	0.000	Merged-chr16-92904166-16
NR4403--MA0035.3.Gata1	chr2	157131307	157131317	+	0.000	0.000	Merged-chr2-157131278-25
NR2452--MA0035.3.Gata1	chr14	104517161	104517171	+	0.000	0.000	Merged-chr14-104517244-7
NR2518--MA0035.3.Gata1	chr15	25216778	25216788	+	0.000	0.000	Merged-chr15-25216736-38
NR6210--MA0766.1.GATA5	chr6	135418446	135418453	-	0.000	0.000	Merged-chr6-135418528-77
NR2574--MA0035.3.Gata1	chr15	58697154	58697164	-	0.000	0.000	Merged-chr15-58697268-28
NR64--MA1104.1.GATA6	chr1	54421811	54421823	+	0.000	0.000	Merged-chr1-54421982-33
NR6612--MA1104.1.GATA6	chr7	113419584	113419596	+	0.000	0.000	Merged-chr7-113419557-35
NR7109--MA0766.1.GATA5	chr8	127589470	127589477	-	0.000	0.000	Merged-chr8-127589399-43
NR6625--MA1104.1.GATA6	chr7	114095572	114095584	+	0.000	0.000	Merged-chr7-114095651-34
NR4260--MA1104.1.GATA6	chr2	129385620	129385632	-	0.000	0.000	Merged-chr2-129385556-29
NR3466--MA1104.1.GATA6	chr18	66502125	66502137	+	0.000	0.000	Merged-chr18-66502099-22
NR6572--MA1104.1.GATA6	chr7	107788515	107788527	+	0.000	0.000	Merged-chr7-107788483-31
NR4774--MA0766.1.GATA5	chr3	132791516	132791523	+	0.000	0.000	Merged-chr3-132791387-40
NR4120--MA0140.2.GATA1::TAL1	chr2	102886846	102886863	+	0.000	0.000	Merged-chr2-102886878-67
NR184--MA0035.3.Gata1	chr1	86344522	86344532	+	0.000	0.000	Merged-chr1-86344486-59
NR4273--MA1104.1.GATA6	chr2	132292253	132292265	+	0.000	0.000	Merged-chr2-132292299-25
NR7027--MA0482.1.Gata4	chr8	115436484	115436494	-	0.000	0.000	Merged-chr8-115436321-24
NR5255--MA1104.1.GATA6	chr4	132040442	132040454	+	0.000	0.000	Merged-chr4-132040319-80
NR6311--MA0766.1.GATA5	chr7	19093680	19093687	-	0.000	0.000	Merged-chr7-19093740-100
NR2516--MA1104.1.GATA6	chr15	25216777	25216789	-	0.000	0.000	Merged-chr15-25216736-38
NR7140--MA0037.3.GATA3	chr9	11397026	11397033	-	0.000	0.000	Merged-chr9-11397041-28
NR2603--MA0766.1.GATA5	chr15	72928859	72928866	+	0.000	0.000	Merged-chr15-72929064-48
NR7407--MA0482.1.Gata4	chr9	95113475	95113485	+	0.000	0.000	Merged-chr9-95113538-34
NR4626--MA0035.3.Gata1	chr3	84570696	84570706	+	0.000	0.000	Merged-chr3-84570776-21
NR4583--MA0482.1.Gata4	chr3	68240093	68240103	-	0.000	0.000	Merged-chr3-68240034-18
NR4548--MA0766.1.GATA5	chr3	37738511	37738518	+	0.000	0.000	Merged-chr3-37738517-40
NR1995--MA0766.1.GATA5	chr13	89889163	89889170	-	0.000	0.000	Merged-chr13-89889254-28
NR4586--MA0035.3.Gata1	chr3	68240094	68240104	-	0.000	0.000	Merged-chr3-68240034-18
NR6646--MA0035.3.Gata1	chr7	115474381	115474391	-	0.000	0.000	Merged-chr7-115474284-16
NR7132--MA0037.3.GATA3	chr9	7576787	7576794	+	0.000	0.000	Merged-chr9-7576753-19
NR2811--MA0140.2.GATA1::TAL1	chr16	24859766	24859783	-	0.000	0.000	Merged-chr16-24859863-8
NR2566--MA0036.3.GATA2	chr15	52900013	52900023	-	0.000	0.000	Merged-chr15-52899831-78
NR766--MA0140.2.GATA1::TAL1	chr10	77021625	77021642	+	0.000	0.000	Merged-chr10-77021563-39
NR529--MA0140.2.GATA1::TAL1	chr1	182364098	182364115	-	0.000	0.000	Merged-chr1-182363988-37
NR2242--MA0482.1.Gata4	chr14	27384254	27384264	+	0.000	0.000	Merged-chr14-27384235-54
NR1072--MA0037.3.GATA3	chr11	32126142	32126149	+	0.000	0.000	Merged-chr11-32126247-55
NR6211--MA0035.3.Gata1	chr6	135418445	135418455	+	0.000	0.000	Merged-chr6-135418528-77
NR2848--MA1104.1.GATA6	chr16	45347091	45347103	+	0.000	0.000	Merged-chr16-45346908-42
NR7408--MA1104.1.GATA6	chr9	95113473	95113485	-	0.000	0.000	Merged-chr9-95113538-34
NR7411--MA0035.3.Gata1	chr9	95113474	95113484	+	0.000	0.000	Merged-chr9-95113538-34
NR4584--MA1104.1.GATA6	chr3	68240093	68240105	+	0.000	0.000	Merged-chr3-68240034-18
NR7555--MA0140.2.GATA1::TAL1	chr9	121925036	121925053	+	0.000	0.000	Merged-chr9-121925182-15
NR6093--MA0766.1.GATA5	chr6	117166985	117166992	+	0.000	0.000	Merged-chr6-117167105-10
NR1494--MA0035.3.Gata1	chr12	69853655	69853665	-	0.000	0.000	Merged-chr12-69853558-20
NR6610--MA0037.3.GATA3	chr7	113419587	113419594	+	0.000	0.000	Merged-chr7-113419557-35
NR4859--MA0766.1.GATA5	chr3	139024692	139024699	-	0.000	0.000	Merged-chr3-139024771-15
NR4788--MA0035.3.Gata1	chr3	133411810	133411820	+	0.000	0.000	Merged-chr3-133411903-38
NR3690--MA1104.1.GATA6	chr19	32755814	32755826	+	0.000	0.000	Merged-chr19-32755999-1
NR6623--MA0037.3.GATA3	chr7	114095575	114095582	+	0.000	0.000	Merged-chr7-114095651-34
NR4549--MA0035.3.Gata1	chr3	37738509	37738519	-	0.000	0.000	Merged-chr3-37738517-40
NR4034--MA0036.3.GATA2	chr2	80324387	80324397	+	0.000	0.000	Merged-chr2-80324472-29
NR1996--MA0035.3.Gata1	chr13	89889162	89889172	+	0.000	0.000	Merged-chr13-89889254-28
NR3464--MA0037.3.GATA3	chr18	66502128	66502135	+	0.000	0.000	Merged-chr18-66502099-22
NR7480--MA0036.3.GATA2	chr9	112174908	112174918	-	0.000	0.000	Merged-chr9-112174843-101
NR6310--MA1104.1.GATA6	chr7	19093678	19093690	-	0.000	0.000	Merged-chr7-19093740-100
NR7251--MA0766.1.GATA5	chr9	52259627	52259634	+	0.000	0.000	Merged-chr9-52259787-26
NR4464--MA0482.1.Gata4	chr2	170311897	170311907	+	0.000	0.000	Merged-chr2-170311942-2
NR4259--MA0482.1.Gata4	chr2	129385622	129385632	+	0.000	0.000	Merged-chr2-129385556-29
NR3371--MA0036.3.GATA2	chr18	35776813	35776823	+	0.000	0.000	Merged-chr18-35776738-19
NR3899--MA0035.3.Gata1	chr2	31180409	31180419	-	0.000	0.000	Merged-chr2-31180309-64
NR4119--MA0035.3.Gata1	chr2	102886854	102886864	-	0.000	0.000	Merged-chr2-102886878-67
NR3317--MA0766.1.GATA5	chr17	84633653	84633660	-	0.000	0.000	Merged-chr17-84633706-27
NR7386--MA0766.1.GATA5	chr9	89842486	89842493	+	0.000	0.000	Merged-chr9-89842601-13
NR1322--MA0036.3.GATA2	chr11	106438887	106438897	+	0.000	0.000	Merged-chr11-106438995-31
NR7026--MA0037.3.GATA3	chr8	115436487	115436494	+	0.000	0.000	Merged-chr8-115436321-24
NR6497--MA0482.1.Gata4	chr7	89841971	89841981	-	0.000	0.000	Merged-chr7-89842093-31
NR1986--MA1104.1.GATA6	chr13	89425614	89425626	+	0.000	0.000	Merged-chr13-89425827-19
NR3405--MA0766.1.GATA5	chr18	46448741	46448748	+	0.000	0.000	Merged-chr18-46448750-18
NR3334--MA0140.2.GATA1::TAL1	chr18	7405030	7405047	+	0.000	0.000	Merged-chr18-7404957-54
NR543--MA0766.1.GATA5	chr1	184738271	184738278	-	0.000	0.000	Merged-chr1-184738115-15
NR3161--MA0482.1.Gata4	chr17	31693475	31693485	+	0.000	0.000	Merged-chr17-31693537-59
NR5840--MA0482.1.Gata4	chr6	37455627	37455637	-	0.000	0.000	Merged-chr6-37455816-24
NR7130--MA0035.3.Gata1	chr9	5311521	5311531	+	0.000	0.000	Merged-chr9-5311572-34
NR2958--MA0140.2.GATA1::TAL1	chr16	87726167	87726184	-	0.000	0.000	Merged-chr16-87726198-44
NR3331--MA0766.1.GATA5	chr18	6484970	6484977	-	0.000	0.000	Merged-chr18-6484878-33
NR3469--MA0035.3.Gata1	chr18	66502126	66502136	-	0.000	0.000	Merged-chr18-66502099-22
NR5120--MA0766.1.GATA5	chr4	86725372	86725379	-	0.000	0.000	Merged-chr4-86725378-12
NR7108--MA0036.3.GATA2	chr8	127589469	127589479	+	0.000	0.000	Merged-chr8-127589399-43
NR7252--MA0035.3.Gata1	chr9	52259625	52259635	-	0.000	0.000	Merged-chr9-52259787-26
NR1526--MA0482.1.Gata4	chr12	76527616	76527626	-	0.000	0.000	Merged-chr12-76527633-28
NR4773--MA0036.3.GATA2	chr3	132791514	132791524	-	0.000	0.000	Merged-chr3-132791387-40
NR5122--MA0140.2.GATA1::TAL1	chr4	86725373	86725390	+	0.000	0.000	Merged-chr4-86725378-12
NR2931--MA0482.1.Gata4	chr16	78265278	78265288	+	0.000	0.000	Merged-chr16-78265078-57
NR5354--MA0036.3.GATA2	chr4	149282667	149282677	+	0.000	0.000	Merged-chr4-149282639-35
NR7387--MA0035.3.Gata1	chr9	89842484	89842494	-	0.000	0.000	Merged-chr9-89842601-13
NR7328--MA0766.1.GATA5	chr9	69156195	69156202	-	0.000	0.000	Merged-chr9-69156335-38
NR4545--MA0037.3.GATA3	chr3	37738511	37738518	+	0.000	0.000	Merged-chr3-37738517-40
NR60--MA0035.3.Gata1	chr1	52454657	52454667	-	0.000	0.000	Merged-chr1-52454811-49
NR5696--MA0482.1.Gata4	chr5	114505394	114505404	+	0.000	0.000	Merged-chr5-114505492-44
NR1516--MA0036.3.GATA2	chr12	75494879	75494889	-	0.000	0.000	Merged-chr12-75494766-18
NR3406--MA0035.3.Gata1	chr18	46448739	46448749	-	0.000	0.000	Merged-chr18-46448750-18
NR3380--MA1104.1.GATA6	chr18	38700836	38700848	-	0.000	0.000	Merged-chr18-38700911-27
NR5699--MA0035.3.Gata1	chr5	114505393	114505403	+	0.000	0.000	Merged-chr5-114505492-44
NR5413--MA0035.3.Gata1	chr5	20792370	20792380	-	0.000	0.000	Merged-chr5-20792282-29
NR1527--MA1104.1.GATA6	chr12	76527616	76527628	+	0.000	0.000	Merged-chr12-76527633-28
NR2835--MA0766.1.GATA5	chr16	43661710	43661717	+	0.000	0.000	Merged-chr16-43661789-37
NR2825--MA0036.3.GATA2	chr16	36602847	36602857	+	0.000	0.000	Merged-chr16-36602811-38
NR7133--MA1104.1.GATA6	chr9	7576784	7576796	+	0.000	0.000	Merged-chr9-7576753-19
NR2493--MA0035.3.Gata1	chr14	122788394	122788404	-	0.000	0.000	Merged-chr14-122788282-21
NR5453--MA1104.1.GATA6	chr5	36561904	36561916	+	0.000	0.000	Merged-chr5-36561744-28
NR3145--MA0766.1.GATA5	chr17	26532845	26532852	+	0.000	0.000	Merged-chr17-26532798-20
NR7028--MA0766.1.GATA5	chr8	115436487	115436494	+	0.000	0.000	Merged-chr8-115436321-24
NR2932--MA1104.1.GATA6	chr16	78265276	78265288	-	0.000	0.000	Merged-chr16-78265078-57
NR7485--MA0766.1.GATA5	chr9	112186687	112186694	-	0.000	0.000	Merged-chr9-112186441-37
NR3302--MA0140.2.GATA1::TAL1	chr17	79615214	79615231	+	0.000	0.000	Merged-chr17-79615226-63
NR54--MA0482.1.Gata4	chr1	51820733	51820743	-	0.000	0.000	Merged-chr1-51820806-47
NR3005--MA0036.3.GATA2	chr16	92904090	92904100	+	0.000	0.000	Merged-chr16-92904166-16
NR4258--MA0037.3.GATA3	chr2	129385622	129385629	-	0.000	0.000	Merged-chr2-129385556-29
NR44--MA0035.3.Gata1	chr1	39702783	39702793	+	0.000	0.000	Merged-chr1-39702774-23
NR7079--MA0035.3.Gata1	chr8	124658088	124658098	+	0.000	0.000	Merged-chr8-124658101-13
NR5697--MA1104.1.GATA6	chr5	114505392	114505404	-	0.000	0.000	Merged-chr5-114505492-44
NR4858--MA0036.3.GATA2	chr3	139024691	139024701	+	0.000	0.000	Merged-chr3-139024771-15
NR57--MA0035.3.Gata1	chr1	51820734	51820744	-	0.000	0.000	Merged-chr1-51820806-47
NR65--MA0036.3.GATA2	chr1	54421812	54421822	-	0.000	0.000	Merged-chr1-54421982-33
