#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Prdm1/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval0.3-log2fc0.5_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval0.3-log2fc0.5_dn.bed
NR1083--MA0508.2.PRDM1	chr19	30924247	30924256	-	0.000	0.000	Merged-chr19-30924347-34
NR573--MA0508.2.PRDM1	chr13	28502176	28502185	+	0.000	0.000	Merged-chr13-28502397-49
NR443--MA0508.2.PRDM1	chr12	15930301	15930310	-	0.000	0.000	Merged-chr12-15930360-26
NR204--MA0508.2.PRDM1	chr10	24111283	24111292	+	0.000	0.000	Merged-chr10-24111264-14
NR1489--MA0508.2.PRDM1	chr4	63853965	63853974	+	0.000	0.000	Merged-chr4-63853989-30
NR1197--MA0508.2.PRDM1	chr2	91078435	91078444	+	0.000	0.000	Merged-chr2-91078502-21
NR706--MA0508.2.PRDM1	chr14	58968109	58968118	+	0.000	0.000	Merged-chr14-58968106-10
NR687--MA0508.2.PRDM1	chr14	27384163	27384172	+	0.000	0.000	Merged-chr14-27384235-54
NR796--MA0508.2.PRDM1	chr15	53474281	53474290	-	0.000	0.000	Merged-chr15-53474355-25
NR2092--MA0508.2.PRDM1	chr8	116617438	116617447	-	0.000	0.000	Merged-chr8-116617441-19
NR299--MA0508.2.PRDM1	chr10	111912369	111912378	+	0.000	0.000	Merged-chr10-111912286-27
NR1870--MA0508.2.PRDM1	chr6	145285860	145285869	+	0.000	0.000	Merged-chr6-145285757-35
NR278--MA0508.2.PRDM1	chr10	95894320	95894329	+	0.000	0.000	Merged-chr10-95894302-1
NR244--MA0508.2.PRDM1	chr10	67698037	67698046	-	0.000	0.000	Merged-chr10-67697981-39
NR515--MA0508.2.PRDM1	chr12	99946277	99946286	-	0.000	0.000	Merged-chr12-99946342-2
NR2097--MA0508.2.PRDM1	chr8	121187737	121187746	-	0.000	0.000	Merged-chr8-121187823-40
NR746--MA0508.2.PRDM1	chr14	100459456	100459465	-	0.000	0.000	Merged-chr14-100459597-88
NR616--MA0508.2.PRDM1	chr13	92671879	92671888	-	0.000	0.000	Merged-chr13-92671922-24
NR868--MA0508.2.PRDM1	chr16	36602993	36603002	-	0.000	0.000	Merged-chr16-36602811-38
NR1331--MA0508.2.PRDM1	chr3	83993486	83993495	+	0.000	0.000	Merged-chr3-83993440-19
NR183--MA0508.2.PRDM1	chr1	193146655	193146664	-	0.000	0.000	Merged-chr1-193146532-29
NR738--MA0508.2.PRDM1	chr14	87348985	87348994	-	0.000	0.000	Merged-chr14-87349015-16
NR2026--MA0508.2.PRDM1	chr8	25132731	25132740	+	0.000	0.000	Merged-chr8-25132757-32
NR1990--MA0508.2.PRDM1	chr7	122256892	122256901	+	0.000	0.000	Merged-chr7-122257038-26
NR1071--MA0508.2.PRDM1	chr19	12475626	12475635	+	0.000	0.000	Merged-chr19-12475721-44
NR2119--MA0508.2.PRDM1	chr9	30480775	30480784	-	0.000	0.000	Merged-chr9-30480669-44
NR1084--MA0508.2.PRDM1	chr19	30924284	30924293	-	0.000	0.000	Merged-chr19-30924347-34
NR1300--MA0508.2.PRDM1	chr3	18243930	18243939	-	0.000	0.000	Merged-chr3-18243680-52
NR2058--MA0508.2.PRDM1	chr8	81558831	81558840	-	0.000	0.000	Merged-chr8-81558760-48
NR1836--MA0508.2.PRDM1	chr6	127446830	127446839	-	0.000	0.000	Merged-chr6-127446764-51
NR1945--MA0508.2.PRDM1	chr7	90039713	90039722	+	0.000	0.000	Merged-chr7-90039651-42
NR1706--MA0508.2.PRDM1	chr5	149017746	149017755	+	0.000	0.000	Merged-chr5-149017827-20
NR240--MA0508.2.PRDM1	chr10	62508046	62508055	+	0.000	0.000	Merged-chr10-62508148-1
NR66--MA0508.2.PRDM1	chr1	106866849	106866858	-	0.000	0.000	Merged-chr1-106866899-32
NR1000--MA0508.2.PRDM1	chr18	13787153	13787162	+	0.000	0.000	Merged-chr18-13787099-71
NR1299--MA0508.2.PRDM1	chr3	18243924	18243933	-	0.000	0.000	Merged-chr3-18243680-52
NR192--MA0508.2.PRDM1	chr10	7992672	7992681	+	0.000	0.000	Merged-chr10-7992796-25
NR734--MA0508.2.PRDM1	chr14	77581075	77581084	+	0.000	0.000	Merged-chr14-77581248-1
NR1366--MA0508.2.PRDM1	chr3	108124505	108124514	-	0.000	0.000	Merged-chr3-108124378-33
NR713--MA0508.2.PRDM1	chr14	63906718	63906727	+	0.000	0.000	Merged-chr14-63906854-7
NR1379--MA0508.2.PRDM1	chr3	121105080	121105089	-	0.000	0.000	Merged-chr3-121105161-35
NR1507--MA0508.2.PRDM1	chr4	88544152	88544161	-	0.000	0.000	Merged-chr4-88544037-33
NR782--MA0508.2.PRDM1	chr15	27784087	27784096	+	0.000	0.000	Merged-chr15-27783998-63
NR2001--MA0508.2.PRDM1	chr7	130727039	130727048	-	0.000	0.000	Merged-chr7-130727119-52
NR142--MA0508.2.PRDM1	chr1	168432404	168432413	-	0.000	0.000	Merged-chr1-168432368-41
NR1058--MA0508.2.PRDM1	chr18	89159545	89159554	+	0.000	0.000	Merged-chr18-89159613-61
NR1329--MA0508.2.PRDM1	chr3	83863162	83863171	-	0.000	0.000	Merged-chr3-83863238-36
NR277--MA0508.2.PRDM1	chr10	95842894	95842903	-	0.000	0.000	Merged-chr10-95843057-27
NR766--MA0508.2.PRDM1	chr14	121738732	121738741	-	0.000	0.000	Merged-chr14-121738947-111
NR147--MA0508.2.PRDM1	chr1	172000687	172000696	+	0.000	0.000	Merged-chr1-172000780-26
NR2020--MA0508.2.PRDM1	chr8	8441763	8441772	-	0.000	0.000	Merged-chr8-8441880-9
NR588--MA0508.2.PRDM1	chr13	43774421	43774430	+	0.000	0.000	Merged-chr13-43774308-28
NR2264--MA0508.2.PRDM1	chrX	104587413	104587422	+	0.000	0.000	Merged-chrX-104587558-7
NR2038--MA0508.2.PRDM1	chr8	46196986	46196995	+	0.000	0.000	Merged-chr8-46197044-15
NR1516--MA0508.2.PRDM1	chr4	95096791	95096800	-	0.000	0.000	Merged-chr4-95096971-16
NR1625--MA0508.2.PRDM1	chr5	72938449	72938458	+	0.000	0.000	Merged-chr5-72938590-38
NR1747--MA0508.2.PRDM1	chr6	65765177	65765186	-	0.000	0.000	Merged-chr6-65765316-29
NR1869--MA0508.2.PRDM1	chr6	145193580	145193589	+	0.000	0.000	Merged-chr6-145193570-49
NR1739--MA0508.2.PRDM1	chr6	53704599	53704608	+	0.000	0.000	Merged-chr6-53704558-10
NR1848--MA0508.2.PRDM1	chr6	134883881	134883890	-	0.000	0.000	Merged-chr6-134883955-22
NR1338--MA0508.2.PRDM1	chr3	89727159	89727168	+	0.000	0.000	Merged-chr3-89727230-25
NR762--MA0508.2.PRDM1	chr14	118673124	118673133	+	0.000	0.000	Merged-chr14-118673054-3
NR1285--MA0508.2.PRDM1	chr2	173769235	173769244	-	0.000	0.000	Merged-chr2-173769119-56
NR1556--MA0508.2.PRDM1	chr4	137861612	137861621	-	0.000	0.000	Merged-chr4-137861569-3
NR1012--MA0508.2.PRDM1	chr18	41861277	41861286	-	0.000	0.000	Merged-chr18-41861355-68
NR210--MA0508.2.PRDM1	chr10	30538226	30538235	+	0.000	0.000	Merged-chr10-30538265-95
NR733--MA0508.2.PRDM1	chr14	77580889	77580898	+	0.000	0.000	Merged-chr14-77580770-64
NR1399--MA0508.2.PRDM1	chr3	133412032	133412041	-	0.000	0.000	Merged-chr3-133411903-38
NR680--MA0508.2.PRDM1	chr14	21032266	21032275	+	0.000	0.000	Merged-chr14-21032326-46
