#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval0.3-log2fc0.5_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval0.3-log2fc0.5_dn.bed
NR14895--MA0501.1.MAF::NFE2	chrX	71468813	71468827	-	0.000	0.000	Merged-chrX-71468864-48
NR3082--MA0089.1.MAFG::NFE2L1	chr12	69501882	69501887	+	0.000	0.000	Merged-chr12-69501974-43
NR1601--MA0495.2.MAFF	chr10	60162722	60162742	+	0.000	0.000	Merged-chr10-60162645-38
NR13957--MA0501.1.MAF::NFE2	chr8	117780884	117780898	+	0.000	0.000	Merged-chr8-117780914-2
NR8314--MA0591.1.Bach1::Mafk	chr2	131502202	131502216	+	0.000	0.000	Merged-chr2-131502191-12
NR5865--MA0501.1.MAF::NFE2	chr16	65351168	65351182	+	0.000	0.000	Merged-chr16-65351191-13
NR3963--MA0591.1.Bach1::Mafk	chr13	81351670	81351684	-	0.000	0.000	Merged-chr13-81351650-43
NR6008--MA0089.1.MAFG::NFE2L1	chr16	90331121	90331126	-	0.000	0.000	Merged-chr16-90331129-56
NR10971--MA0495.2.MAFF	chr5	72250363	72250383	+	0.000	0.000	Merged-chr5-72250347-10
NR4423--MA0495.2.MAFF	chr14	27268381	27268401	-	0.000	0.000	Merged-chr14-27268313-23
NR3499--MA0089.1.MAFG::NFE2L1	chr12	117712719	117712724	-	0.000	0.000	Merged-chr12-117712681-21
NR8698--MA0501.1.MAF::NFE2	chr2	174566021	174566035	-	0.000	0.000	Merged-chr2-174566072-46
NR9865--MA0117.2.Mafb	chr4	41314273	41314284	+	0.000	0.000	Merged-chr4-41314225-1
NR13254--MA0591.1.Bach1::Mafk	chr7	133740765	133740779	+	0.000	0.000	Merged-chr7-133740776-40
NR11597--MA0117.2.Mafb	chr6	28622655	28622666	+	0.000	0.000	Merged-chr6-28622467-8
NR1726--MA0501.1.MAF::NFE2	chr10	79937280	79937294	-	0.000	0.000	Merged-chr10-79937148-47
NR7590--MA0089.1.MAFG::NFE2L1	chr2	31043062	31043067	-	0.000	0.000	Merged-chr2-31043017-22
NR1724--MA0659.1.MAFG	chr10	79937280	79937300	+	0.000	0.000	Merged-chr10-79937148-47
NR4425--MA0659.1.MAFG	chr14	27268381	27268401	-	0.000	0.000	Merged-chr14-27268313-23
NR8587--MA0501.1.MAF::NFE2	chr2	163132451	163132465	-	0.000	0.000	Merged-chr2-163132473-10
NR12687--MA0117.2.Mafb	chr7	47013443	47013454	-	0.000	0.000	Merged-chr7-47013375-34
NR8748--MA0501.1.MAF::NFE2	chr2	179966558	179966572	-	0.000	0.000	Merged-chr2-179966777-32
NR1365--MA0591.1.Bach1::Mafk	chr10	18993155	18993169	-	0.000	0.000	Merged-chr10-18993192-15
NR2618--MA0501.1.MAF::NFE2	chr11	90512646	90512660	-	0.000	0.000	Merged-chr11-90512841-45
NR12132--MA0089.1.MAFG::NFE2L1	chr6	115838465	115838470	+	0.000	0.000	Merged-chr6-115838478-31
NR361--MA0591.1.Bach1::Mafk	chr1	78644144	78644158	-	0.000	0.000	Merged-chr1-78644356-22
NR6278--MA0501.1.MAF::NFE2	chr17	32023267	32023281	-	0.000	0.000	Merged-chr17-32023327-13
NR9895--MA0495.2.MAFF	chr4	46560560	46560580	+	0.000	0.000	Merged-chr4-46560470-31
NR5620--MA0496.2.MAFK	chr16	30676265	30676283	-	0.000	0.000	Merged-chr16-30676152-12
NR3212--MA0496.2.MAFK	chr12	91604328	91604346	+	0.000	0.000	Merged-chr12-91604206-14,Merged-chr12-91604478-1
NR12318--MA0496.2.MAFK	chr6	130429678	130429696	+	0.000	0.000	Merged-chr6-130429681-16
NR1395--MA0501.1.MAF::NFE2	chr10	21659615	21659629	+	0.000	0.000	Merged-chr10-21659696-16
NR13363--MA0089.1.MAFG::NFE2L1	chr8	3467455	3467460	-	0.000	0.000	Merged-chr8-3467584-41
NR7790--MA0089.1.MAFG::NFE2L1	chr2	61474866	61474871	+	0.000	0.000	Merged-chr2-61474781-19
NR9443--MA0495.2.MAFF	chr3	126570830	126570850	+	0.000	0.000	Merged-chr3-126570904-20
NR832--MA0117.2.Mafb	chr1	151465705	151465716	-	0.000	0.000	Merged-chr1-151465762-7
NR4325--MA0495.2.MAFF	chr14	8099810	8099830	+	0.000	0.000	Merged-chr14-8099733-53
NR14200--MA0117.2.Mafb	chr9	35007258	35007269	-	0.000	0.000	Merged-chr9-35007274-11
NR1774--MA0591.1.Bach1::Mafk	chr10	85050870	85050884	+	0.000	0.000	Merged-chr10-85050856-11
NR11367--MA0496.2.MAFK	chr5	136550857	136550875	+	0.000	0.000	Merged-chr5-136550897-14
NR478--MA0089.1.MAFG::NFE2L1	chr1	91626322	91626327	+	0.000	0.000	Merged-chr1-91626193-21
NR9445--MA0659.1.MAFG	chr3	126570830	126570850	+	0.000	0.000	Merged-chr3-126570904-20
NR3118--MA0089.1.MAFG::NFE2L1	chr12	75494801	75494806	+	0.000	0.000	Merged-chr12-75494766-18
NR450--MA0089.1.MAFG::NFE2L1	chr1	89092903	89092908	-	0.000	0.000	Merged-chr1-89092949-17
NR506--MA0501.1.MAF::NFE2	chr1	92799877	92799891	-	0.000	0.000	Merged-chr1-92799887-22
NR1390--MA0591.1.Bach1::Mafk	chr10	21553352	21553366	+	0.000	0.000	Merged-chr10-21553167-27
NR289--MA0089.1.MAFG::NFE2L1	chr1	69683215	69683220	-	0.000	0.000	Merged-chr1-69683222-14
NR5554--MA0089.1.MAFG::NFE2L1	chr16	22607185	22607190	-	0.000	0.000	Merged-chr16-22607261-13
NR9897--MA0117.2.Mafb	chr4	46560569	46560580	-	0.000	0.000	Merged-chr4-46560470-31
NR942--MA0496.2.MAFK	chr1	162773893	162773911	-	0.000	0.000	Merged-chr1-162773825-31
NR14874--MA0496.2.MAFK	chrX	53607940	53607958	-	0.000	0.000	Merged-chrX-53607978-28
NR11623--MA0591.1.Bach1::Mafk	chr6	30132172	30132186	+	0.000	0.000	Merged-chr6-30131999-11
NR13912--MA0659.1.MAFG	chr8	111624157	111624177	-	0.000	0.000	Merged-chr8-111624206-14
NR4327--MA0117.2.Mafb	chr14	8099810	8099821	+	0.000	0.000	Merged-chr14-8099733-53
NR11624--MA0501.1.MAF::NFE2	chr6	30132169	30132183	-	0.000	0.000	Merged-chr6-30131999-11
NR6193--MA0591.1.Bach1::Mafk	chr17	18462876	18462890	-	0.000	0.000	Merged-chr17-18462916-14
NR980--MA0117.2.Mafb	chr1	167296085	167296096	+	0.000	0.000	Merged-chr1-167296095-13
NR4591--MA0117.2.Mafb	chr14	52553468	52553479	+	0.000	0.000	Merged-chr14-52553618-9
NR6943--MA0591.1.Bach1::Mafk	chr18	67301726	67301740	+	0.000	0.000	Merged-chr18-67301646-31
NR1824--MA0089.1.MAFG::NFE2L1	chr10	89487168	89487173	+	0.000	0.000	Merged-chr10-89487316-19
NR7063--MA0591.1.Bach1::Mafk	chr18	80619710	80619724	+	0.000	0.000	Merged-chr18-80619586-33
NR10967--MA0496.2.MAFK	chr5	68033469	68033487	+	0.000	0.000	Merged-chr5-68033501-23
NR3488--MA0501.1.MAF::NFE2	chr12	116269699	116269713	-	0.000	0.000	Merged-chr12-116269685-29
NR6794--MA0591.1.Bach1::Mafk	chr18	43477803	43477817	-	0.000	0.000	Merged-chr18-43477812-17
NR7813--MA0089.1.MAFG::NFE2L1	chr2	65422048	65422053	+	0.000	0.000	Merged-chr2-65422005-11
NR7604--MA0495.2.MAFF	chr2	32181554	32181574	+	0.000	0.000	Merged-chr2-32181600-13
NR7322--MA0089.1.MAFG::NFE2L1	chr19	36364984	36364989	-	0.000	0.000	Merged-chr19-36364955-22
NR3831--MA0495.2.MAFF	chr13	58206782	58206802	+	0.000	0.000	Merged-chr13-58206802-1
NR11195--MA0117.2.Mafb	chr5	106982741	106982752	+	0.000	0.000	Merged-chr5-106982609-23
NR14353--MA0659.1.MAFG	chr9	62425367	62425387	-	0.000	0.000	Merged-chr9-62425384-15
NR2965--MA0495.2.MAFF	chr12	36474437	36474457	-	0.000	0.000	Merged-chr12-36474390-19
NR7248--MA0089.1.MAFG::NFE2L1	chr19	21547767	21547772	+	0.000	0.000	Merged-chr19-21547622-17
NR5969--MA0089.1.MAFG::NFE2L1	chr16	87394136	87394141	-	0.000	0.000	Merged-chr16-87394132-33
NR1727--MA0496.2.MAFK	chr10	79937281	79937299	+	0.000	0.000	Merged-chr10-79937148-47
NR5773--MA0496.2.MAFK	chr16	50737728	50737746	-	0.000	0.000	Merged-chr16-50737708-13
NR7335--MA0089.1.MAFG::NFE2L1	chr19	41378507	41378512	+	0.000	0.000	Merged-chr19-41378616-18
NR3362--MA0501.1.MAF::NFE2	chr12	107011572	107011586	+	0.000	0.000	Merged-chr12-107011663-34
NR1648--MA0089.1.MAFG::NFE2L1	chr10	67891428	67891433	-	0.000	0.000	Merged-chr10-67891340-18
NR13561--MA0089.1.MAFG::NFE2L1	chr8	64935230	64935235	+	0.000	0.000	Merged-chr8-64935114-22
NR14897--MA0496.2.MAFK	chrX	71468814	71468832	-	0.000	0.000	Merged-chrX-71468864-48
NR6808--MA0089.1.MAFG::NFE2L1	chr18	46013384	46013389	-	0.000	0.000	Merged-chr18-46013388-48
NR11652--MA0117.2.Mafb	chr6	34869617	34869628	-	0.000	0.000	Merged-chr6-34869594-48
NR9103--MA0089.1.MAFG::NFE2L1	chr3	84395281	84395286	-	0.000	0.000	Merged-chr3-84395228-27
NR13702--MA0501.1.MAF::NFE2	chr8	81769257	81769271	+	0.000	0.000	Merged-chr8-81769276-10
NR9477--MA0117.2.Mafb	chr3	130832127	130832138	-	0.000	0.000	Merged-chr3-130832005-7
NR1658--MA0117.2.Mafb	chr10	71362053	71362064	+	0.000	0.000	Merged-chr10-71362071-33
NR11325--MA0089.1.MAFG::NFE2L1	chr5	130088240	130088245	-	0.000	0.000	Merged-chr5-130088239-22
NR12818--MA0591.1.Bach1::Mafk	chr7	75118135	75118149	-	0.000	0.000	Merged-chr7-75118252-11
NR6673--MA0117.2.Mafb	chr18	12876634	12876645	+	0.000	0.000	Merged-chr18-12876665-8
NR1906--MA0591.1.Bach1::Mafk	chr10	99221681	99221695	+	0.000	0.000	Merged-chr10-99221651-27
NR12494--MA0501.1.MAF::NFE2	chr6	145677663	145677677	-	0.000	0.000	Merged-chr6-145677669-10
NR1357--MA0089.1.MAFG::NFE2L1	chr10	17296505	17296510	-	0.000	0.000	Merged-chr10-17296409-9
NR11717--MA0501.1.MAF::NFE2	chr6	52825699	52825713	+	0.000	0.000	Merged-chr6-52825813-18
NR5904--MA0495.2.MAFF	chr16	75903184	75903204	+	0.000	0.000	Merged-chr16-75903251-33
NR14472--MA0496.2.MAFK	chr9	83564271	83564289	+	0.000	0.000	Merged-chr9-83564254-44
NR6089--MA0496.2.MAFK	chr16	96358153	96358171	+	0.000	0.000	Merged-chr16-96358039-35
NR8947--MA0117.2.Mafb	chr3	54592452	54592463	+	0.000	0.000	Merged-chr3-54592638-50
NR6013--MA0089.1.MAFG::NFE2L1	chr16	91413521	91413526	+	0.000	0.000	Merged-chr16-91413429-37
NR9034--MA0117.2.Mafb	chr3	69156710	69156721	+	0.000	0.000	Merged-chr3-69156652-55
NR4613--MA0501.1.MAF::NFE2	chr14	55062970	55062984	-	0.000	0.000	Merged-chr14-55062835-18
NR4445--MA0089.1.MAFG::NFE2L1	chr14	30153151	30153156	+	0.000	0.000	Merged-chr14-30153038-10
NR14600--MA0659.1.MAFG	chr9	102587546	102587566	-	0.000	0.000	Merged-chr9-102587549-11
NR3301--MA0659.1.MAFG	chr12	102588572	102588592	-	0.000	0.000	Merged-chr12-102588735-27
NR5133--MA0591.1.Bach1::Mafk	chr15	41612395	41612409	+	0.000	0.000	Merged-chr15-41612397-47
NR12082--MA0496.2.MAFK	chr6	108895317	108895335	-	0.000	0.000	Merged-chr6-108895381-27
NR12078--MA0089.1.MAFG::NFE2L1	chr6	108895319	108895324	-	0.000	0.000	Merged-chr6-108895381-27
NR13820--MA0591.1.Bach1::Mafk	chr8	95878773	95878787	-	0.000	0.000	Merged-chr8-95878841-5
NR6881--MA0089.1.MAFG::NFE2L1	chr18	60715011	60715016	+	0.000	0.000	Merged-chr18-60715083-31
NR12830--MA0089.1.MAFG::NFE2L1	chr7	75634281	75634286	+	0.000	0.000	Merged-chr7-75634334-7
NR11675--MA0117.2.Mafb	chr6	41527379	41527390	+	0.000	0.000	Merged-chr6-41527380-17
NR1415--MA0591.1.Bach1::Mafk	chr10	25457377	25457391	-	0.000	0.000	Merged-chr10-25457296-47
NR12165--MA0089.1.MAFG::NFE2L1	chr6	117431693	117431698	+	0.000	0.000	Merged-chr6-117431708-65
NR2467--MA0501.1.MAF::NFE2	chr11	62280809	62280823	+	0.000	0.000	Merged-chr11-62280813-1
NR1301--MA0501.1.MAF::NFE2	chr10	7826314	7826328	-	0.000	0.000	Merged-chr10-7826287-40
NR8966--MA0089.1.MAFG::NFE2L1	chr3	58583003	58583008	-	0.000	0.000	Merged-chr3-58583098-16
NR3747--MA0495.2.MAFF	chr13	44819586	44819606	-	0.000	0.000	Merged-chr13-44819494-25
NR13325--MA0501.1.MAF::NFE2	chr7	140329874	140329888	-	0.000	0.000	Merged-chr7-140329792-16
NR2197--MA0089.1.MAFG::NFE2L1	chr11	11546007	11546012	+	0.000	0.000	Merged-chr11-11546059-6
NR10906--MA0495.2.MAFF	chr5	58084183	58084203	-	0.000	0.000	Merged-chr5-58084122-29
NR11552--MA0496.2.MAFK	chr6	15726620	15726638	+	0.000	0.000	Merged-chr6-15726718-35
NR9397--MA0117.2.Mafb	chr3	121105070	121105081	-	0.000	0.000	Merged-chr3-121105161-35
NR5689--MA0089.1.MAFG::NFE2L1	chr16	38017281	38017286	-	0.000	0.000	Merged-chr16-38017190-20
NR181--MA0089.1.MAFG::NFE2L1	chr1	43500382	43500387	+	0.000	0.000	Merged-chr1-43500582-54
NR3075--MA0496.2.MAFK	chr12	69402917	69402935	-	0.000	0.000	Merged-chr12-69402921-11
NR3020--MA0501.1.MAF::NFE2	chr12	52382984	52382998	-	0.000	0.000	Merged-chr12-52383146-23
NR9311--MA0501.1.MAF::NFE2	chr3	108767543	108767557	-	0.000	0.000	Merged-chr3-108767545-22
NR216--MA0117.2.Mafb	chr1	53776809	53776820	+	0.000	0.000	Merged-chr1-53776706-48
NR10305--MA0089.1.MAFG::NFE2L1	chr4	119872589	119872594	+	0.000	0.000	Merged-chr4-119872530-6
NR12698--MA0501.1.MAF::NFE2	chr7	49335179	49335193	+	0.000	0.000	Merged-chr7-49335315-27
NR483--MA0089.1.MAFG::NFE2L1	chr1	91909076	91909081	+	0.000	0.000	Merged-chr1-91909100-9
NR6869--MA0501.1.MAF::NFE2	chr18	58561051	58561065	+	0.000	0.000	Merged-chr18-58561117-18
NR3412--MA0089.1.MAFG::NFE2L1	chr12	112862042	112862047	-	0.000	0.000	Merged-chr12-112862043-16
NR4745--MA0659.1.MAFG	chr14	73472443	73472463	-	0.000	0.000	Merged-chr14-73472602-8
NR2569--MA0501.1.MAF::NFE2	chr11	80505141	80505155	+	0.000	0.000	Merged-chr11-80505144-23
NR3829--MA0089.1.MAFG::NFE2L1	chr13	58012224	58012229	-	0.000	0.000	Merged-chr13-58012302-19
NR3714--MA0089.1.MAFG::NFE2L1	chr13	41345852	41345857	+	0.000	0.000	Merged-chr13-41345949-16
NR7549--MA0117.2.Mafb	chr2	19634169	19634180	-	0.000	0.000	Merged-chr2-19634112-21
NR11649--MA0501.1.MAF::NFE2	chr6	33004675	33004689	+	0.000	0.000	Merged-chr6-33004502-19
NR9722--MA0496.2.MAFK	chr3	157884229	157884247	+	0.000	0.000	Merged-chr3-157884103-23
NR14414--MA0591.1.Bach1::Mafk	chr9	77954691	77954705	-	0.000	0.000	Merged-chr9-77954587-30
NR590--MA0496.2.MAFK	chr1	106187696	106187714	+	0.000	0.000	Merged-chr1-106187715-26
NR14415--MA0501.1.MAF::NFE2	chr9	77954688	77954702	-	0.000	0.000	Merged-chr9-77954587-30
NR309--MA0501.1.MAF::NFE2	chr1	72449910	72449924	+	0.000	0.000	Merged-chr1-72450027-13
NR11228--MA0117.2.Mafb	chr5	111057263	111057274	+	0.000	0.000	Merged-chr5-111057385-10
NR2568--MA0591.1.Bach1::Mafk	chr11	80505138	80505152	+	0.000	0.000	Merged-chr11-80505144-23
NR4656--MA0089.1.MAFG::NFE2L1	chr14	63130836	63130841	-	0.000	0.000	Merged-chr14-63130838-17
NR5081--MA0089.1.MAFG::NFE2L1	chr15	27826216	27826221	-	0.000	0.000	Merged-chr15-27825914-54
NR1720--MA0495.2.MAFF	chr10	79937280	79937300	+	0.000	0.000	Merged-chr10-79937148-47
NR9872--MA0117.2.Mafb	chr4	42965604	42965615	+	0.000	0.000	Merged-chr4-42965581-38
NR1912--MA0496.2.MAFK	chr10	99221679	99221697	-	0.000	0.000	Merged-chr10-99221651-27
NR13728--MA0496.2.MAFK	chr8	85515649	85515667	-	0.000	0.000	Merged-chr8-85515665-21
NR13581--MA0089.1.MAFG::NFE2L1	chr8	68627407	68627412	+	0.000	0.000	Merged-chr8-68627437-32
NR14208--MA0501.1.MAF::NFE2	chr9	36802537	36802551	+	0.000	0.000	Merged-chr9-36802612-8
NR11447--MA0089.1.MAFG::NFE2L1	chr5	147049404	147049409	+	0.000	0.000	Merged-chr5-147049236-7
NR13192--MA0501.1.MAF::NFE2	chr7	126725384	126725398	+	0.000	0.000	Merged-chr7-126725257-13
NR12697--MA0591.1.Bach1::Mafk	chr7	49335176	49335190	+	0.000	0.000	Merged-chr7-49335315-27
NR6840--MA0659.1.MAFG	chr18	54822970	54822990	+	0.000	0.000	Merged-chr18-54822886-30
NR14603--MA0496.2.MAFK	chr9	102587547	102587565	-	0.000	0.000	Merged-chr9-102587549-11
NR3304--MA0496.2.MAFK	chr12	102588573	102588591	-	0.000	0.000	Merged-chr12-102588735-27
NR14890--MA0495.2.MAFF	chrX	71468813	71468833	+	0.000	0.000	Merged-chrX-71468864-48
NR13949--MA0501.1.MAF::NFE2	chr8	117303742	117303756	+	0.000	0.000	Merged-chr8-117303756-17
NR10940--MA0501.1.MAF::NFE2	chr5	65903032	65903046	+	0.000	0.000	Merged-chr5-65902900-8
NR102--MA0089.1.MAFG::NFE2L1	chr1	32104220	32104225	+	0.000	0.000	Merged-chr1-32104339-13
NR11712--MA0659.1.MAFG	chr6	52825668	52825688	+	0.000	0.000	Merged-chr6-52825813-18
NR14872--MA0501.1.MAF::NFE2	chrX	53607945	53607959	+	0.000	0.000	Merged-chrX-53607978-28
NR1910--MA0501.1.MAF::NFE2	chr10	99221678	99221692	-	0.000	0.000	Merged-chr10-99221651-27
NR7789--MA0496.2.MAFK	chr2	61454516	61454534	-	0.000	0.000	Merged-chr2-61454563-42
NR8860--MA0089.1.MAFG::NFE2L1	chr3	31056840	31056845	+	0.000	0.000	Merged-chr3-31056991-112
NR392--MA0089.1.MAFG::NFE2L1	chr1	82973416	82973421	-	0.000	0.000	Merged-chr1-82973536-4
NR7045--MA0501.1.MAF::NFE2	chr18	79284460	79284474	+	0.000	0.000	Merged-chr18-79284521-10
NR6590--MA0591.1.Bach1::Mafk	chr17	86134669	86134683	-	0.000	0.000	Merged-chr17-86134763-8
NR2809--MA0089.1.MAFG::NFE2L1	chr11	117666743	117666748	-	0.000	0.000	Merged-chr11-117666670-15
NR14868--MA0495.2.MAFF	chrX	53607939	53607959	-	0.000	0.000	Merged-chrX-53607978-28
NR7234--MA0496.2.MAFK	chr19	18766586	18766604	+	0.000	0.000	Merged-chr19-18766611-24
NR5608--MA0089.1.MAFG::NFE2L1	chr16	30067017	30067022	+	0.000	0.000	Merged-chr16-30066931-47
NR9036--MA0501.1.MAF::NFE2	chr3	69274873	69274887	-	0.000	0.000	Merged-chr3-69274909-13
NR383--MA0501.1.MAF::NFE2	chr1	82429278	82429292	-	0.000	0.000	Merged-chr1-82429225-23
NR12628--MA0501.1.MAF::NFE2	chr7	27508826	27508840	-	0.000	0.000	Merged-chr7-27508743-1
NR12699--MA0117.2.Mafb	chr7	49392350	49392361	-	0.000	0.000	Merged-chr7-49392450-14
NR14715--MA0501.1.MAF::NFE2	chr9	116283898	116283912	-	0.000	0.000	Merged-chr9-116283998-37
NR11677--MA0501.1.MAF::NFE2	chr6	41527379	41527393	-	0.000	0.000	Merged-chr6-41527380-17
NR12032--MA0117.2.Mafb	chr6	100479634	100479645	+	0.000	0.000	Merged-chr6-100479761-33
NR4240--MA0659.1.MAFG	chr13	113418359	113418379	+	0.000	0.000	Merged-chr13-113418245-6
NR5867--MA0117.2.Mafb	chr16	65351348	65351359	+	0.000	0.000	Merged-chr16-65351191-13
NR965--MA0659.1.MAFG	chr1	165075728	165075748	+	0.000	0.000	Merged-chr1-165075837-38
NR12676--MA0089.1.MAFG::NFE2L1	chr7	44485772	44485777	+	0.000	0.000	Merged-chr7-44485840-1
NR11806--MA0591.1.Bach1::Mafk	chr6	65569979	65569993	-	0.000	0.000	Merged-chr6-65569933-17
NR1852--MA0591.1.Bach1::Mafk	chr10	93422127	93422141	-	0.000	0.000	Merged-chr10-93422130-9
NR9112--MA0659.1.MAFG	chr3	84732098	84732118	+	0.000	0.000	Merged-chr3-84732134-27
NR14869--MA0591.1.Bach1::Mafk	chrX	53607942	53607956	+	0.000	0.000	Merged-chrX-53607978-28
NR12496--MA0495.2.MAFF	chr6	145993221	145993241	+	0.000	0.000	Merged-chr6-145993129-56
NR13956--MA0591.1.Bach1::Mafk	chr8	117780881	117780895	+	0.000	0.000	Merged-chr8-117780914-2
NR14546--MA0089.1.MAFG::NFE2L1	chr9	96696411	96696416	-	0.000	0.000	Merged-chr9-96696442-50
NR5767--MA0495.2.MAFF	chr16	50737727	50737747	-	0.000	0.000	Merged-chr16-50737708-13
NR2602--MA0117.2.Mafb	chr11	88011840	88011851	-	0.000	0.000	Merged-chr11-88011784-26
NR15078--MA0117.2.Mafb	chrX	159772267	159772278	+	0.000	0.000	Merged-chrX-159772302-20
NR1604--MA0496.2.MAFK	chr10	60162723	60162741	+	0.000	0.000	Merged-chr10-60162645-38
NR632--MA0495.2.MAFF	chr1	119469663	119469683	-	0.000	0.000	Merged-chr1-119469584-5
NR3265--MA0495.2.MAFF	chr12	98674814	98674834	+	0.000	0.000	Merged-chr12-98674935-52
NR2680--MA0089.1.MAFG::NFE2L1	chr11	100819836	100819841	-	0.000	0.000	Merged-chr11-100819844-5
NR12950--MA0089.1.MAFG::NFE2L1	chr7	97067531	97067536	-	0.000	0.000	Merged-chr7-97067401-28
NR4426--MA0496.2.MAFK	chr14	27268382	27268400	+	0.000	0.000	Merged-chr14-27268313-23
NR1953--MA0501.1.MAF::NFE2	chr10	111378299	111378313	+	0.000	0.000	Merged-chr10-111378501-63
NR3091--MA0501.1.MAF::NFE2	chr12	70713620	70713634	-	0.000	0.000	Merged-chr12-70713725-41
NR634--MA0659.1.MAFG	chr1	119469663	119469683	-	0.000	0.000	Merged-chr1-119469584-5
NR3489--MA0495.2.MAFF	chr12	116315653	116315673	+	0.000	0.000	Merged-chr12-116315725-53
NR11990--MA0117.2.Mafb	chr6	95515634	95515645	-	0.000	0.000	Merged-chr6-95515480-1
NR6852--MA0496.2.MAFK	chr18	55184456	55184474	+	0.000	0.000	Merged-chr18-55184641-11
