#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_up.bed
NR9924--MA0684.1.RUNX3	chr8	78975205	78975214	-	0.000	0.000	Merged-chr8-78975191-34
NR10205--MA0002.2.RUNX1	chr8	128622959	128622969	+	0.000	0.000	Merged-chr8-128622909-9
NR5545--MA0002.2.RUNX1	chr2	9792666	9792676	-	0.000	0.000	Merged-chr2-9792573-15
NR10457--MA0002.2.RUNX1	chr9	75246464	75246474	+	0.000	0.000	Merged-chr9-75246433-36
NR1665--MA0511.2.RUNX2	chr11	58290432	58290440	-	0.000	0.000	Merged-chr11-58290425-28
NR10791--MA0684.1.RUNX3	chr9	120943670	120943679	-	0.000	0.000	Merged-chr9-120943869-18
NR3246--MA0002.2.RUNX1	chr14	41050792	41050802	+	0.000	0.000	Merged-chr14-41050635-35
NR3597--MA0511.2.RUNX2	chr15	6569140	6569148	+	0.000	0.000	Merged-chr15-6569076-63
NR2992--MA0002.2.RUNX1	chr13	95892234	95892244	-	0.000	0.000	Merged-chr13-95891948-150
NR3498--MA0002.2.RUNX1	chr14	101879179	101879189	-	0.000	0.000	Merged-chr14-101879110-69
NR5134--MA0511.2.RUNX2	chr18	82493046	82493054	+	0.000	0.000	Merged-chr18-82492983-14
NR2915--MA0002.2.RUNX1	chr13	81705689	81705699	-	0.000	0.000	Merged-chr13-81705633-6
NR10152--MA0002.2.RUNX1	chr8	124509391	124509401	+	0.000	0.000	Merged-chr8-124509346-29
NR3977--MA0511.2.RUNX2	chr15	100060982	100060990	-	0.000	0.000	Merged-chr15-100060928-68
NR7172--MA0002.2.RUNX1	chr4	86722117	86722127	-	0.000	0.000	Merged-chr4-86721990-52
NR1155--MA0511.2.RUNX2	chr10	77962993	77963001	+	0.000	0.000	Merged-chr10-77962952-24
NR5287--MA0002.2.RUNX1	chr19	20944612	20944622	-	0.000	0.000	Merged-chr19-20944629-14
NR2482--MA0002.2.RUNX1	chr12	113362608	113362618	+	0.000	0.000	Merged-chr12-113362654-28
NR5382--MA0684.1.RUNX3	chr19	40300140	40300149	+	0.000	0.000	Merged-chr19-40300210-18
NR2914--MA0684.1.RUNX3	chr13	81705664	81705673	+	0.000	0.000	Merged-chr13-81705633-6
NR4717--MA0002.2.RUNX1	chr17	63356450	63356460	-	0.000	0.000	Merged-chr17-63356437-30
NR1178--MA0002.2.RUNX1	chr10	80763638	80763648	-	0.000	0.000	Merged-chr10-80763655-40
NR8643--MA0002.2.RUNX1	chr6	108338417	108338427	+	0.000	0.000	Merged-chr6-108338556-41
NR7280--MA0684.1.RUNX3	chr4	107989118	107989127	+	0.000	0.000	Merged-chr4-107989218-22
NR972--MA0511.2.RUNX2	chr10	30716232	30716240	-	0.000	0.000	Merged-chr10-30716378-49
NR9354--MA0002.2.RUNX1	chr7	96818602	96818612	-	0.000	0.000	Merged-chr7-96818578-56
NR5395--MA0684.1.RUNX3	chr19	42266338	42266347	-	0.000	0.000	Merged-chr19-42266343-14
NR9105--MA0511.2.RUNX2	chr7	27357789	27357797	+	0.000	0.000	Merged-chr7-27357694-29
NR4250--MA0002.2.RUNX1	chr16	57495696	57495706	+	0.000	0.000	Merged-chr16-57495758-66
NR1273--MA0684.1.RUNX3	chr10	94552091	94552100	+	0.000	0.000	Merged-chr10-94552139-57
NR3076--MA0002.2.RUNX1	chr13	108100837	108100847	+	0.000	0.000	Merged-chr13-108100820-31
NR1068--MA0684.1.RUNX3	chr10	60290309	60290318	-	0.000	0.000	Merged-chr10-60290356-31
NR6182--MA0002.2.RUNX1	chr2	152906976	152906986	+	0.000	0.000	Merged-chr2-152906761-58
NR10415--MA0002.2.RUNX1	chr9	66504135	66504145	+	0.000	0.000	Merged-chr9-66504076-31
NR5506--MA0511.2.RUNX2	chr19	60681736	60681744	+	0.000	0.000	Merged-chr19-60681647-27
NR3128--MA0684.1.RUNX3	chr13	113669859	113669868	-	0.000	0.000	Merged-chr13-113669806-22
NR886--MA0002.2.RUNX1	chr10	13438594	13438604	-	0.000	0.000	Merged-chr10-13438536-33
NR2874--MA0684.1.RUNX3	chr13	63808146	63808155	+	0.000	0.000	Merged-chr13-63808172-29
NR1157--MA0002.2.RUNX1	chr10	77963002	77963012	-	0.000	0.000	Merged-chr10-77962952-24
NR4534--MA0002.2.RUNX1	chr17	24084685	24084695	-	0.000	0.000	Merged-chr17-24084802-20
NR9227--MA0511.2.RUNX2	chr7	63973380	63973388	+	0.000	0.000	Merged-chr7-63973470-12
NR10428--MA0002.2.RUNX1	chr9	69068846	69068856	-	0.000	0.000	Merged-chr9-69068633-33
NR1266--MA0002.2.RUNX1	chr10	93933059	93933069	-	0.000	0.000	Merged-chr10-93933103-29
NR603--MA0511.2.RUNX2	chr1	165985849	165985857	+	0.000	0.000	Merged-chr1-165985990-54
NR5897--MA0684.1.RUNX3	chr2	92205438	92205447	-	0.000	0.000	Merged-chr2-92205451-35
NR6846--MA0002.2.RUNX1	chr3	142281311	142281321	-	0.000	0.000	Merged-chr3-142281213-32
NR4580--MA0511.2.RUNX2	chr17	30363571	30363579	-	0.000	0.000	Merged-chr17-30363504-27
NR10937--MA0684.1.RUNX3	chrX	101767451	101767460	-	0.000	0.000	Merged-chrX-101767433-48
NR9366--MA0684.1.RUNX3	chr7	98090400	98090409	+	0.000	0.000	Merged-chr7-98090470-13
NR5086--MA0511.2.RUNX2	chr18	75541214	75541222	+	0.000	0.000	Merged-chr18-75541168-25
NR10523--MA0684.1.RUNX3	chr9	84031079	84031088	+	0.000	0.000	Merged-chr9-84030961-27
NR2330--MA0684.1.RUNX3	chr12	84933859	84933868	-	0.000	0.000	Merged-chr12-84934066-14
NR9346--MA0002.2.RUNX1	chr7	92420690	92420700	+	0.000	0.000	Merged-chr7-92420666-38
NR4404--MA0002.2.RUNX1	chr16	93552990	93553000	-	0.000	0.000	Merged-chr16-93552984-42
NR5096--MA0002.2.RUNX1	chr18	77121745	77121755	-	0.000	0.000	Merged-chr18-77121790-35
NR10427--MA0684.1.RUNX3	chr9	69023481	69023490	-	0.000	0.000	Merged-chr9-69023585-49
NR7255--MA0511.2.RUNX2	chr4	102918955	102918963	+	0.000	0.000	Merged-chr4-102918925-26
NR3068--MA0002.2.RUNX1	chr13	107523137	107523147	-	0.000	0.000	Merged-chr13-107523216-37
NR930--MA0511.2.RUNX2	chr10	21504626	21504634	+	0.000	0.000	Merged-chr10-21504659-28
NR8952--MA0511.2.RUNX2	chr6	144953072	144953080	+	0.000	0.000	Merged-chr6-144953133-29
NR1596--MA0511.2.RUNX2	chr11	43705357	43705365	+	0.000	0.000	Merged-chr11-43705351-17
NR1374--MA0684.1.RUNX3	chr10	117652226	117652235	+	0.000	0.000	Merged-chr10-117652105-48
NR3177--MA0002.2.RUNX1	chr14	12243953	12243963	+	0.000	0.000	Merged-chr14-12243878-61
NR9197--MA0002.2.RUNX1	chr7	48795271	48795281	+	0.000	0.000	Merged-chr7-48795353-37
NR6392--MA0002.2.RUNX1	chr3	10151849	10151859	+	0.000	0.000	Merged-chr3-10151750-17
NR8595--MA0002.2.RUNX1	chr6	98992970	98992980	-	0.000	0.000	Merged-chr6-98993074-69
NR3209--MA0002.2.RUNX1	chr14	27373052	27373062	+	0.000	0.000	Merged-chr14-27372915-15
NR9249--MA0684.1.RUNX3	chr7	65373545	65373554	-	0.000	0.000	Merged-chr7-65373607-20
NR2955--MA0002.2.RUNX1	chr13	91484402	91484412	+	0.000	0.000	Merged-chr13-91484361-55
NR430--MA0002.2.RUNX1	chr1	135268209	135268219	-	0.000	0.000	Merged-chr1-135268339-27
NR2065--MA0002.2.RUNX1	chr11	117872113	117872123	+	0.000	0.000	Merged-chr11-117872185-83
NR9785--MA0511.2.RUNX2	chr8	22544817	22544825	-	0.000	0.000	Merged-chr8-22544867-25
NR956--MA0511.2.RUNX2	chr10	26879362	26879370	-	0.000	0.000	Merged-chr10-26879299-36
NR5507--MA0684.1.RUNX3	chr19	60681736	60681745	+	0.000	0.000	Merged-chr19-60681647-27
NR9817--MA0511.2.RUNX2	chr8	34740486	34740494	-	0.000	0.000	Merged-chr8-34740455-84
NR8736--MA0002.2.RUNX1	chr6	122837925	122837935	-	0.000	0.000	Merged-chr6-122837963-9
NR794--MA0511.2.RUNX2	chr1	191275772	191275780	+	0.000	0.000	Merged-chr1-191275783-38
NR1700--MA0002.2.RUNX1	chr11	63148463	63148473	+	0.000	0.000	Merged-chr11-63148506-21
NR1607--MA0511.2.RUNX2	chr11	46229297	46229305	-	0.000	0.000	Merged-chr11-46229299-6
NR10257--MA0684.1.RUNX3	chr9	15526089	15526098	+	0.000	0.000	Merged-chr9-15526156-7
NR6894--MA0002.2.RUNX1	chr3	146275517	146275527	+	0.000	0.000	Merged-chr3-146275724-31
NR4072--MA0002.2.RUNX1	chr16	23197032	23197042	+	0.000	0.000	Merged-chr16-23196963-14
NR3169--MA0002.2.RUNX1	chr14	7913994	7914004	+	0.000	0.000	Merged-chr14-7914040-29
NR8702--MA0002.2.RUNX1	chr6	119918695	119918705	-	0.000	0.000	Merged-chr6-119918835-40
NR3298--MA0684.1.RUNX3	chr14	54138477	54138486	-	0.000	0.000	Merged-chr14-54138460-21
NR456--MA0002.2.RUNX1	chr1	138952394	138952404	-	0.000	0.000	Merged-chr1-138952405-35
NR6798--MA0002.2.RUNX1	chr3	133078627	133078637	-	0.000	0.000	Merged-chr3-133078514-46
NR4581--MA0684.1.RUNX3	chr17	30363570	30363579	-	0.000	0.000	Merged-chr17-30363504-27
NR393--MA0511.2.RUNX2	chr1	130838491	130838499	+	0.000	0.000	Merged-chr1-130838519-27
NR250--MA0511.2.RUNX2	chr1	87637247	87637255	-	0.000	0.000	Merged-chr1-87637275-111
NR4627--MA0002.2.RUNX1	chr17	43645395	43645405	-	0.000	0.000	Merged-chr17-43645396-23
NR6863--MA0511.2.RUNX2	chr3	144232151	144232159	-	0.000	0.000	Merged-chr3-144232172-58
NR3059--MA0684.1.RUNX3	chr13	104576342	104576351	-	0.000	0.000	Merged-chr13-104576446-28
NR9049--MA0511.2.RUNX2	chr6	149261067	149261075	-	0.000	0.000	Merged-chr6-149260973-38
NR4690--MA0684.1.RUNX3	chr17	52591978	52591987	-	0.000	0.000	Merged-chr17-52591988-50
NR8715--MA0002.2.RUNX1	chr6	120956488	120956498	-	0.000	0.000	Merged-chr6-120956639-2
NR8967--MA0002.2.RUNX1	chr6	145802246	145802256	+	0.000	0.000	Merged-chr6-145802187-30
NR1088--MA0002.2.RUNX1	chr10	67065738	67065748	+	0.000	0.000	Merged-chr10-67065679-35
NR4150--MA0511.2.RUNX2	chr16	35741829	35741837	-	0.000	0.000	Merged-chr16-35741769-10
NR7478--MA0511.2.RUNX2	chr4	145045906	145045914	+	0.000	0.000	Merged-chr4-145045932-55
NR4974--MA0684.1.RUNX3	chr18	49721779	49721788	+	0.000	0.000	Merged-chr18-49721855-41
NR8837--MA0002.2.RUNX1	chr6	134082354	134082364	+	0.000	0.000	Merged-chr6-134082422-10
NR6220--MA0002.2.RUNX1	chr2	158133353	158133363	+	0.000	0.000	Merged-chr2-158133215-37
NR4606--MA0002.2.RUNX1	chr17	34296107	34296117	+	0.000	0.000	Merged-chr17-34296219-24
NR6743--MA0002.2.RUNX1	chr3	122629774	122629784	-	0.000	0.000	Merged-chr3-122629759-30
NR1801--MA0002.2.RUNX1	chr11	80785971	80785981	-	0.000	0.000	Merged-chr11-80785938-31
NR2592--MA0511.2.RUNX2	chr12	119148036	119148044	+	0.000	0.000	Merged-chr12-119148040-28
NR6918--MA0002.2.RUNX1	chr3	152355531	152355541	+	0.000	0.000	Merged-chr3-152355609-21
NR434--MA0684.1.RUNX3	chr1	135268271	135268280	-	0.000	0.000	Merged-chr1-135268339-27
NR2972--MA0511.2.RUNX2	chr13	94144821	94144829	-	0.000	0.000	Merged-chr13-94144726-31
NR4553--MA0002.2.RUNX1	chr17	26752527	26752537	+	0.000	0.000	Merged-chr17-26752448-33
NR9246--MA0511.2.RUNX2	chr7	65373500	65373508	+	0.000	0.000	Merged-chr7-65373607-20
NR8313--MA0684.1.RUNX3	chr6	12038491	12038500	-	0.000	0.000	Merged-chr6-12038478-25
NR5059--MA0002.2.RUNX1	chr18	69547155	69547165	-	0.000	0.000	Merged-chr18-69547283-22
NR11002--MA0002.2.RUNX1	chrX	167025153	167025163	-	0.000	0.000	Merged-chrX-167025120-15
NR4556--MA0511.2.RUNX2	chr17	27323200	27323208	-	0.000	0.000	Merged-chr17-27323176-36
NR4728--MA0002.2.RUNX1	chr17	64827072	64827082	+	0.000	0.000	Merged-chr17-64827066-53
NR10179--MA0511.2.RUNX2	chr8	127500374	127500382	-	0.000	0.000	Merged-chr8-127500234-70
NR8945--MA0684.1.RUNX3	chr6	144602993	144603002	+	0.000	0.000	Merged-chr6-144603024-14
NR4966--MA0684.1.RUNX3	chr18	46176132	46176141	+	0.000	0.000	Merged-chr18-46176178-68
NR4552--MA0684.1.RUNX3	chr17	26752475	26752484	-	0.000	0.000	Merged-chr17-26752448-33
NR536--MA0002.2.RUNX1	chr1	157017731	157017741	+	0.000	0.000	Merged-chr1-157017698-32
NR11001--MA0684.1.RUNX3	chrX	167025097	167025106	+	0.000	0.000	Merged-chrX-167025120-15
NR2061--MA0511.2.RUNX2	chr11	117872036	117872044	-	0.000	0.000	Merged-chr11-117872185-83
NR2233--MA0002.2.RUNX1	chr12	59170020	59170030	-	0.000	0.000	Merged-chr12-59170039-43
NR6050--MA0002.2.RUNX1	chr2	128117811	128117821	+	0.000	0.000	Merged-chr2-128117807-36
NR4165--MA0002.2.RUNX1	chr16	37684952	37684962	+	0.000	0.000	Merged-chr16-37685032-63
NR8253--MA0002.2.RUNX1	chr5	146974326	146974336	-	0.000	0.000	Merged-chr5-146974233-28
NR6245--MA0684.1.RUNX3	chr2	163120929	163120938	+	0.000	0.000	Merged-chr2-163121047-86
NR2071--MA0002.2.RUNX1	chr11	118232694	118232704	-	0.000	0.000	Merged-chr11-118232579-51
NR10459--MA0684.1.RUNX3	chr9	75246465	75246474	-	0.000	0.000	Merged-chr9-75246433-36
NR4151--MA0684.1.RUNX3	chr16	35741828	35741837	-	0.000	0.000	Merged-chr16-35741769-10
NR2345--MA0511.2.RUNX2	chr12	89719331	89719339	-	0.000	0.000	Merged-chr12-89719457-81
NR6063--MA0002.2.RUNX1	chr2	128544656	128544666	-	0.000	0.000	Merged-chr2-128544786-45
NR1992--MA0002.2.RUNX1	chr11	109497227	109497237	-	0.000	0.000	Merged-chr11-109497188-14
NR6857--MA0002.2.RUNX1	chr3	142892308	142892318	-	0.000	0.000	Merged-chr3-142892335-19
NR4928--MA0511.2.RUNX2	chr18	37814061	37814069	-	0.000	0.000	Merged-chr18-37813954-31
NR6172--MA0002.2.RUNX1	chr2	151959545	151959555	-	0.000	0.000	Merged-chr2-151959461-52
NR723--MA0511.2.RUNX2	chr1	182537115	182537123	-	0.000	0.000	Merged-chr1-182537225-11
NR2212--MA0002.2.RUNX1	chr12	51449504	51449514	+	0.000	0.000	Merged-chr12-51449424-10
NR2407--MA0684.1.RUNX3	chr12	100747341	100747350	+	0.000	0.000	Merged-chr12-100747316-18
NR3890--MA0002.2.RUNX1	chr15	85328088	85328098	+	0.000	0.000	Merged-chr15-85328019-32
NR6224--MA0684.1.RUNX3	chr2	158154378	158154387	-	0.000	0.000	Merged-chr2-158154460-58
NR2593--MA0684.1.RUNX3	chr12	119148036	119148045	+	0.000	0.000	Merged-chr12-119148040-28
NR2864--MA0684.1.RUNX3	chr13	63274700	63274709	-	0.000	0.000	Merged-chr13-63274780-57
NR8427--MA0684.1.RUNX3	chr6	50009528	50009537	-	0.000	0.000	Merged-chr6-50009459-48
NR257--MA0002.2.RUNX1	chr1	88587508	88587518	-	0.000	0.000	Merged-chr1-88587471-60
NR3542--MA0002.2.RUNX1	chr14	118658446	118658456	-	0.000	0.000	Merged-chr14-118658326-68
NR10246--MA0511.2.RUNX2	chr9	14568450	14568458	+	0.000	0.000	Merged-chr9-14568666-36
NR4875--MA0511.2.RUNX2	chr18	6106732	6106740	+	0.000	0.000	Merged-chr18-6106813-28
NR4004--MA0511.2.RUNX2	chr15	102165736	102165744	+	0.000	0.000	Merged-chr15-102165758-28
NR4719--MA0684.1.RUNX3	chr17	63356450	63356459	+	0.000	0.000	Merged-chr17-63356437-30
NR10498--MA0511.2.RUNX2	chr9	80313776	80313784	-	0.000	0.000	Merged-chr9-80313733-27
NR9469--MA0511.2.RUNX2	chr7	110796770	110796778	-	0.000	0.000	Merged-chr7-110796753-46
NR6042--MA0002.2.RUNX1	chr2	127760722	127760732	-	0.000	0.000	Merged-chr2-127760760-14
NR5440--MA0002.2.RUNX1	chr19	53760532	53760542	+	0.000	0.000	Merged-chr19-53760542-10
NR4907--MA0511.2.RUNX2	chr18	32192321	32192329	-	0.000	0.000	Merged-chr18-32192400-28
NR6773--MA0511.2.RUNX2	chr3	129613936	129613944	-	0.000	0.000	Merged-chr3-129613875-22
NR6075--MA0684.1.RUNX3	chr2	130555044	130555053	-	0.000	0.000	Merged-chr2-130555023-33
NR7279--MA0511.2.RUNX2	chr4	107989118	107989126	+	0.000	0.000	Merged-chr4-107989218-22
NR8006--MA0002.2.RUNX1	chr5	107759284	107759294	-	0.000	0.000	Merged-chr5-107759301-16
NR3935--MA0002.2.RUNX1	chr15	94453065	94453075	-	0.000	0.000	Merged-chr15-94453103-20
NR6326--MA0002.2.RUNX1	chr2	172501552	172501562	+	0.000	0.000	Merged-chr2-172501605-18
NR7752--MA0002.2.RUNX1	chr5	53605657	53605667	-	0.000	0.000	Merged-chr5-53605625-25
NR4060--MA0511.2.RUNX2	chr16	18377258	18377266	-	0.000	0.000	Merged-chr16-18377300-20
NR4997--MA0511.2.RUNX2	chr18	56413122	56413130	-	0.000	0.000	Merged-chr18-56413005-50
NR2175--MA0511.2.RUNX2	chr12	32202056	32202064	-	0.000	0.000	Merged-chr12-32202051-6
NR1970--MA0684.1.RUNX3	chr11	107668477	107668486	-	0.000	0.000	Merged-chr11-107668374-46
NR2303--MA0511.2.RUNX2	chr12	79437130	79437138	-	0.000	0.000	Merged-chr12-79437240-16
NR1950--MA0002.2.RUNX1	chr11	105093148	105093158	-	0.000	0.000	Merged-chr11-105093103-10
NR4679--MA0684.1.RUNX3	chr17	50678089	50678098	-	0.000	0.000	Merged-chr17-50678198-44
NR4470--MA0684.1.RUNX3	chr17	7889199	7889208	-	0.000	0.000	Merged-chr17-7889151-33
NR8191--MA0684.1.RUNX3	chr5	139300569	139300578	+	0.000	0.000	Merged-chr5-139300628-14
NR3914--MA0002.2.RUNX1	chr15	92134396	92134406	-	0.000	0.000	Merged-chr15-92134460-52
NR8270--MA0511.2.RUNX2	chr5	149080641	149080649	-	0.000	0.000	Merged-chr5-149080540-39
NR4354--MA0002.2.RUNX1	chr16	89872228	89872238	-	0.000	0.000	Merged-chr16-89872318-26
NR109--MA0511.2.RUNX2	chr1	52753936	52753944	+	0.000	0.000	Merged-chr1-52754097-20
NR8237--MA0002.2.RUNX1	chr5	144126164	144126174	+	0.000	0.000	Merged-chr5-144126158-36
NR8697--MA0511.2.RUNX2	chr6	119522295	119522303	-	0.000	0.000	Merged-chr6-119522115-45
NR6047--MA0002.2.RUNX1	chr2	128111786	128111796	+	0.000	0.000	Merged-chr2-128111932-19
NR8554--MA0511.2.RUNX2	chr6	88939629	88939637	-	0.000	0.000	Merged-chr6-88939617-36
NR4118--MA0511.2.RUNX2	chr16	31210110	31210118	-	0.000	0.000	Merged-chr16-31210060-37
NR4101--MA0684.1.RUNX3	chr16	26668077	26668086	-	0.000	0.000	Merged-chr16-26667963-36
NR9947--MA0002.2.RUNX1	chr8	83740326	83740336	-	0.000	0.000	Merged-chr8-83740218-49
NR4353--MA0684.1.RUNX3	chr16	89817051	89817060	+	0.000	0.000	Merged-chr16-89817047-30
NR1989--MA0002.2.RUNX1	chr11	109497185	109497195	+	0.000	0.000	Merged-chr11-109497188-14
NR7962--MA0002.2.RUNX1	chr5	105313659	105313669	-	0.000	0.000	Merged-chr5-105313637-29
NR5954--MA0684.1.RUNX3	chr2	107006054	107006063	-	0.000	0.000	Merged-chr2-107005967-12
NR8468--MA0002.2.RUNX1	chr6	65141050	65141060	+	0.000	0.000	Merged-chr6-65140933-63
NR5540--MA0684.1.RUNX3	chr2	9688431	9688440	-	0.000	0.000	Merged-chr2-9688295-16
NR1703--MA0002.2.RUNX1	chr11	64116047	64116057	-	0.000	0.000	Merged-chr11-64115983-5
NR1783--MA0511.2.RUNX2	chr11	78780187	78780195	+	0.000	0.000	Merged-chr11-78780322-31
NR7822--MA0511.2.RUNX2	chr5	72941144	72941152	-	0.000	0.000	Merged-chr5-72941102-35
NR1270--MA0002.2.RUNX1	chr10	94524081	94524091	+	0.000	0.000	Merged-chr10-94523917-65
NR11000--MA0002.2.RUNX1	chrX	167025097	167025107	-	0.000	0.000	Merged-chrX-167025120-15
NR1670--MA0684.1.RUNX3	chr11	58290444	58290453	-	0.000	0.000	Merged-chr11-58290425-28
NR2427--MA0002.2.RUNX1	chr12	105971344	105971354	+	0.000	0.000	Merged-chr12-105971370-23
NR5262--MA0002.2.RUNX1	chr19	14620504	14620514	+	0.000	0.000	Merged-chr19-14620634-30
NR9720--MA0511.2.RUNX2	chr7	143154070	143154078	+	0.000	0.000	Merged-chr7-143154031-30
NR6244--MA0002.2.RUNX1	chr2	163120929	163120939	-	0.000	0.000	Merged-chr2-163121047-86
NR5990--MA0002.2.RUNX1	chr2	117399727	117399737	-	0.000	0.000	Merged-chr2-117399695-40
NR9873--MA0002.2.RUNX1	chr8	64805444	64805454	+	0.000	0.000	Merged-chr8-64805470-51
NR4074--MA0684.1.RUNX3	chr16	23197033	23197042	-	0.000	0.000	Merged-chr16-23196963-14
NR3757--MA0002.2.RUNX1	chr15	64192796	64192806	-	0.000	0.000	Merged-chr15-64192878-29
NR1140--MA0002.2.RUNX1	chr10	75839305	75839315	-	0.000	0.000	Merged-chr10-75839326-47
NR7974--MA0684.1.RUNX3	chr5	105675578	105675587	-	0.000	0.000	Merged-chr5-105675662-27
NR3200--MA0002.2.RUNX1	chr14	21654029	21654039	-	0.000	0.000	Merged-chr14-21654080-31
NR7954--MA0002.2.RUNX1	chr5	105010567	105010577	-	0.000	0.000	Merged-chr5-105010527-49
NR5641--MA0684.1.RUNX3	chr2	30897091	30897100	+	0.000	0.000	Merged-chr2-30897276-26
NR10947--MA0002.2.RUNX1	chrX	106622660	106622670	-	0.000	0.000	Merged-chrX-106622619-36
NR6226--MA0511.2.RUNX2	chr2	158450879	158450887	+	0.000	0.000	Merged-chr2-158450944-19
NR10410--MA0684.1.RUNX3	chr9	66274930	66274939	+	0.000	0.000	Merged-chr9-66274857-15
NR6749--MA0511.2.RUNX2	chr3	123192399	123192407	+	0.000	0.000	Merged-chr3-123192207-28
NR5002--MA0002.2.RUNX1	chr18	56566205	56566215	-	0.000	0.000	Merged-chr18-56566232-24
NR10662--MA0684.1.RUNX3	chr9	108154970	108154979	-	0.000	0.000	Merged-chr9-108154914-20
NR2148--MA0002.2.RUNX1	chr12	17726603	17726613	-	0.000	0.000	Merged-chr12-17726607-38
NR1771--MA0684.1.RUNX3	chr11	76993059	76993068	+	0.000	0.000	Merged-chr11-76993098-31
NR1894--MA0002.2.RUNX1	chr11	98943507	98943517	+	0.000	0.000	Merged-chr11-98943480-23
NR7662--MA0002.2.RUNX1	chr5	24915442	24915452	-	0.000	0.000	Merged-chr5-24915325-10
