#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-pval0.3-log2fc0.5_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-pval0.3-log2fc0.5_dn.bed
NR7257--MA0036.3.GATA2	chr8	69168492	69168502	-	0.000	0.000	Merged-chr8-69168549-18
NR7223--MA0036.3.GATA2	chr8	46859563	46859573	+	0.000	0.000	Merged-chr8-46859659-64
NR2272--MA0766.1.GATA5	chr14	16172526	16172533	+	0.000	0.000	Merged-chr14-16172497-2
NR6360--MA0766.1.GATA5	chr6	86922089	86922096	-	0.000	0.000	Merged-chr6-86921974-19
NR4497--MA0037.3.GATA3	chr2	127923473	127923480	-	0.000	0.000	Merged-chr2-127923410-36
NR1688--MA0482.1.Gata4	chr12	92625447	92625457	+	0.000	0.000	Merged-chr12-92625384-3
NR4811--MA0036.3.GATA2	chr3	27067359	27067369	+	0.000	0.000	Merged-chr3-27067455-6
NR5302--MA0140.2.GATA1::TAL1	chr4	11404222	11404239	+	0.000	0.000	Merged-chr4-11404244-13
NR1575--MA1104.1.GATA6	chr12	70232400	70232412	-	0.000	0.000	Merged-chr12-70232391-28
NR1140--MA1104.1.GATA6	chr11	36001077	36001089	-	0.000	0.000	Merged-chr11-36000971-2
NR2161--MA0140.2.GATA1::TAL1	chr13	107571662	107571679	+	0.000	0.000	Merged-chr13-107571801-8
NR2958--MA0035.3.Gata1	chr16	7419925	7419935	+	0.000	0.000	Merged-chr16-7419949-42
NR2273--MA0035.3.Gata1	chr14	16172524	16172534	-	0.000	0.000	Merged-chr14-16172497-2
NR6358--MA0037.3.GATA3	chr6	86922089	86922096	-	0.000	0.000	Merged-chr6-86921974-19
NR294--MA0482.1.Gata4	chr1	108038618	108038628	+	0.000	0.000	Merged-chr1-108038539-17
NR5954--MA0140.2.GATA1::TAL1	chr5	91278586	91278603	-	0.000	0.000	Merged-chr5-91278708-28
NR629--MA0036.3.GATA2	chr10	4079704	4079714	-	0.000	0.000	Merged-chr10-4079812-35
NR6491--MA0036.3.GATA2	chr6	122334236	122334246	-	0.000	0.000	Merged-chr6-122334221-7
NR297--MA0035.3.Gata1	chr1	108038617	108038627	+	0.000	0.000	Merged-chr1-108038539-17
NR326--MA0766.1.GATA5	chr1	125466896	125466903	+	0.000	0.000	Merged-chr1-125466833-56
NR5198--MA1104.1.GATA6	chr3	143977277	143977289	+	0.000	0.000	Merged-chr3-143977087-2
NR6658--MA0140.2.GATA1::TAL1	chr6	142567587	142567604	+	0.000	0.000	Merged-chr6-142567710-6
NR295--MA1104.1.GATA6	chr1	108038616	108038628	-	0.000	0.000	Merged-chr1-108038539-17
NR4492--MA0482.1.Gata4	chr2	125214598	125214608	+	0.000	0.000	Merged-chr2-125214795-24
NR5621--MA0036.3.GATA2	chr4	134047865	134047875	-	0.000	0.000	Merged-chr4-134047792-28
NR4495--MA0035.3.Gata1	chr2	125214597	125214607	+	0.000	0.000	Merged-chr2-125214795-24
NR2334--MA0482.1.Gata4	chr14	30675115	30675125	-	0.000	0.000	Merged-chr14-30675172-26
NR1687--MA0037.3.GATA3	chr12	92625447	92625454	-	0.000	0.000	Merged-chr12-92625384-3
NR2337--MA0035.3.Gata1	chr14	30675116	30675126	-	0.000	0.000	Merged-chr14-30675172-26
NR324--MA0482.1.Gata4	chr1	125466893	125466903	-	0.000	0.000	Merged-chr1-125466833-56
NR8015--MA1104.1.GATA6	chrX	160766222	160766234	+	0.000	0.000	Merged-chrX-160766177-60
NR4493--MA1104.1.GATA6	chr2	125214596	125214608	-	0.000	0.000	Merged-chr2-125214795-24
NR3593--MA0035.3.Gata1	chr17	84241679	84241689	+	0.000	0.000	Merged-chr17-84241728-6
NR2335--MA1104.1.GATA6	chr14	30675115	30675127	+	0.000	0.000	Merged-chr14-30675172-26
NR2013--MA0482.1.Gata4	chr13	63885647	63885657	-	0.000	0.000	Merged-chr13-63885791-1
NR2016--MA0035.3.Gata1	chr13	63885648	63885658	-	0.000	0.000	Merged-chr13-63885791-1
NR1143--MA0035.3.Gata1	chr11	36001078	36001088	+	0.000	0.000	Merged-chr11-36000971-2
NR1479--MA0766.1.GATA5	chr12	28699759	28699766	-	0.000	0.000	Merged-chr12-28699931-23
NR325--MA1104.1.GATA6	chr1	125466893	125466905	+	0.000	0.000	Merged-chr1-125466833-56
NR4930--MA0140.2.GATA1::TAL1	chr3	79177880	79177897	-	0.000	0.000	Merged-chr3-79177806-73
NR630--MA0766.1.GATA5	chr10	4079706	4079713	+	0.000	0.000	Merged-chr10-4079812-35
NR2014--MA1104.1.GATA6	chr13	63885647	63885659	+	0.000	0.000	Merged-chr13-63885791-1
NR2959--MA0140.2.GATA1::TAL1	chr16	7419927	7419944	+	0.000	0.000	Merged-chr16-7419949-42
NR2069--MA0035.3.Gata1	chr13	85505144	85505154	+	0.000	0.000	Merged-chr13-85505133-53
NR4501--MA0766.1.GATA5	chr2	127923473	127923480	-	0.000	0.000	Merged-chr2-127923410-36
NR631--MA0035.3.Gata1	chr10	4079704	4079714	-	0.000	0.000	Merged-chr10-4079812-35
NR323--MA0037.3.GATA3	chr1	125466896	125466903	+	0.000	0.000	Merged-chr1-125466833-56
NR1576--MA0036.3.GATA2	chr12	70232401	70232411	+	0.000	0.000	Merged-chr12-70232391-28
NR7258--MA0766.1.GATA5	chr8	69168494	69168501	+	0.000	0.000	Merged-chr8-69168549-18
NR7325--MA0482.1.Gata4	chr8	91073944	91073954	-	0.000	0.000	Merged-chr8-91073966-44
NR7224--MA0766.1.GATA5	chr8	46859564	46859571	-	0.000	0.000	Merged-chr8-46859659-64
NR6660--MA0035.3.Gata1	chr6	142567727	142567737	+	0.000	0.000	Merged-chr6-142567710-6
NR4502--MA0035.3.Gata1	chr2	127923472	127923482	+	0.000	0.000	Merged-chr2-127923410-36
