#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval0.3-log2fc0.5_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval0.3-log2fc0.5_dn.bed
NR1782--MA0523.1.TCF7L2	chr13	101756833	101756846	-	0.000	0.000	Merged-chr13-101756830-17
NR3053--MA0523.1.TCF7L2	chr18	55107224	55107237	-	0.000	0.000	Merged-chr18-55107186-34
NR3790--MA1421.1.TCF7L1	chr2	163048289	163048300	+	0.000	0.000	Merged-chr2-163048277-32
NR155--MA0769.1.Tcf7	chr1	88267914	88267925	+	0.000	0.000	Merged-chr1-88267879-42
NR1875--MA1421.1.TCF7L1	chr13	114886185	114886196	-	0.000	0.000	Merged-chr13-114886416-28
NR6236--MA0523.1.TCF7L2	chr9	57633601	57633614	+	0.000	0.000	Merged-chr9-57633729-59
NR845--MA0769.1.Tcf7	chr10	128664019	128664030	-	0.000	0.000	Merged-chr10-128663895-18
NR6188--MA0769.1.Tcf7	chr9	44361769	44361780	-	0.000	0.000	Merged-chr9-44361748-43
NR2541--MA0769.1.Tcf7	chr16	33698644	33698655	-	0.000	0.000	Merged-chr16-33698486-38
NR5824--MA0523.1.TCF7L2	chr8	3355730	3355743	-	0.000	0.000	Merged-chr8-3355667-46
NR1399--MA0523.1.TCF7L2	chr12	93227046	93227059	-	0.000	0.000	Merged-chr12-93227052-12
NR2201--MA0769.1.Tcf7	chr14	120572590	120572601	-	0.000	0.000	Merged-chr14-120572441-59
NR843--MA0523.1.TCF7L2	chr10	128504767	128504780	-	0.000	0.000	Merged-chr10-128504918-39
NR4882--MA0523.1.TCF7L2	chr5	107554476	107554489	-	0.000	0.000	Merged-chr5-107554534-24
NR3485--MA0769.1.Tcf7	chr2	58907080	58907091	+	0.000	0.000	Merged-chr2-58907164-60
NR2205--MA1421.1.TCF7L1	chr14	121405429	121405440	-	0.000	0.000	Merged-chr14-121405440-45
NR4707--MA0523.1.TCF7L2	chr5	37047487	37047500	-	0.000	0.000	Merged-chr5-37047557-24
NR2709--MA0769.1.Tcf7	chr16	93914438	93914449	-	0.000	0.000	Merged-chr16-93914368-18
NR1326--MA0523.1.TCF7L2	chr12	73711058	73711071	-	0.000	0.000	Merged-chr12-73710968-44
NR6187--MA0523.1.TCF7L2	chr9	44361767	44361780	-	0.000	0.000	Merged-chr9-44361748-43
NR656--MA1421.1.TCF7L1	chr10	81382298	81382309	+	0.000	0.000	Merged-chr10-81382450-15
NR4119--MA0769.1.Tcf7	chr3	131271376	131271387	+	0.000	0.000	Merged-chr3-131271223-1
NR1762--MA1421.1.TCF7L1	chr13	95719890	95719901	+	0.000	0.000	Merged-chr13-95719909-48
NR269--MA1421.1.TCF7L1	chr1	143919109	143919120	-	0.000	0.000	Merged-chr1-143919214-54
NR5030--MA0769.1.Tcf7	chr6	3536207	3536218	+	0.000	0.000	Merged-chr6-3536376-27
NR2200--MA1421.1.TCF7L1	chr14	120572590	120572601	-	0.000	0.000	Merged-chr14-120572441-59
NR883--MA1421.1.TCF7L1	chr11	11693701	11693712	+	0.000	0.000	Merged-chr11-11693738-14
NR4726--MA1421.1.TCF7L1	chr5	62756375	62756386	-	0.000	0.000	Merged-chr5-62756252-19
NR2240--MA0769.1.Tcf7	chr15	3271011	3271022	+	0.000	0.000	Merged-chr15-3270817-58
NR6035--MA1421.1.TCF7L1	chr8	122990070	122990081	+	0.000	0.000	Merged-chr8-122990004-57
NR6367--MA0769.1.Tcf7	chr9	96696538	96696549	-	0.000	0.000	Merged-chr9-96696442-50
NR6036--MA0769.1.Tcf7	chr8	122990070	122990081	+	0.000	0.000	Merged-chr8-122990004-57
NR866--MA1421.1.TCF7L1	chr11	5005621	5005632	-	0.000	0.000	Merged-chr11-5005546-13
NR2160--MA0769.1.Tcf7	chr14	103363339	103363350	-	0.000	0.000	Merged-chr14-103363341-36
NR2823--MA1421.1.TCF7L1	chr17	31077585	31077596	+	0.000	0.000	Merged-chr17-31077750-28
NR3799--MA0523.1.TCF7L2	chr2	164868652	164868665	+	0.000	0.000	Merged-chr2-164868622-33
NR6142--MA1421.1.TCF7L1	chr9	14500481	14500492	-	0.000	0.000	Merged-chr9-14500635-62
NR6189--MA1421.1.TCF7L1	chr9	44582611	44582622	+	0.000	0.000	Merged-chr9-44582588-15
NR4130--MA0769.1.Tcf7	chr3	132575213	132575224	+	0.000	0.000	Merged-chr3-132575270-5
NR6344--MA1421.1.TCF7L1	chr9	89221275	89221286	-	0.000	0.000	Merged-chr9-89221104-50
NR1877--MA0769.1.Tcf7	chr13	114886185	114886196	-	0.000	0.000	Merged-chr13-114886416-28
NR3054--MA0769.1.Tcf7	chr18	55107226	55107237	-	0.000	0.000	Merged-chr18-55107186-34
NR5489--MA1421.1.TCF7L1	chr7	31089915	31089926	+	0.000	0.000	Merged-chr7-31089914-34
NR6365--MA1421.1.TCF7L1	chr9	96696538	96696549	-	0.000	0.000	Merged-chr9-96696442-50
NR2901--MA0769.1.Tcf7	chr17	57167169	57167180	+	0.000	0.000	Merged-chr17-57167239-24
NR4884--MA0769.1.Tcf7	chr5	107554478	107554489	-	0.000	0.000	Merged-chr5-107554534-24
NR5637--MA0523.1.TCF7L2	chr7	101555788	101555801	-	0.000	0.000	Merged-chr7-101555691-65
NR2269--MA0523.1.TCF7L2	chr15	34096448	34096461	-	0.000	0.000	Merged-chr15-34096594-23
NR5988--MA0769.1.Tcf7	chr8	106007258	106007269	-	0.000	0.000	Merged-chr8-106007407-44
NR4129--MA0523.1.TCF7L2	chr3	132575213	132575226	+	0.000	0.000	Merged-chr3-132575270-5
NR5029--MA1421.1.TCF7L1	chr6	3536207	3536218	+	0.000	0.000	Merged-chr6-3536376-27
NR643--MA0523.1.TCF7L2	chr10	79925532	79925545	-	0.000	0.000	Merged-chr10-79925589-24
NR657--MA0769.1.Tcf7	chr10	81382298	81382309	+	0.000	0.000	Merged-chr10-81382450-15
NR2007--MA0523.1.TCF7L2	chr14	54153080	54153093	+	0.000	0.000	Merged-chr14-54152970-29
NR3345--MA1421.1.TCF7L1	chr2	3740468	3740479	-	0.000	0.000	Merged-chr2-3740398-41
NR6300--MA1421.1.TCF7L1	chr9	79914385	79914396	+	0.000	0.000	Merged-chr9-79914391-28
NR4762--MA1421.1.TCF7L1	chr5	72163354	72163365	+	0.000	0.000	Merged-chr5-72163190-22
NR4118--MA1421.1.TCF7L1	chr3	131271376	131271387	+	0.000	0.000	Merged-chr3-131271223-1
NR5154--MA0523.1.TCF7L2	chr6	66929731	66929744	-	0.000	0.000	Merged-chr6-66929752-32
NR1736--MA0523.1.TCF7L2	chr13	85505141	85505154	-	0.000	0.000	Merged-chr13-85505133-53
NR5730--MA0523.1.TCF7L2	chr7	118120119	118120132	+	0.000	0.000	Merged-chr7-118120096-37
NR6150--MA0523.1.TCF7L2	chr9	20983425	20983438	-	0.000	0.000	Merged-chr9-20983328-26
NR6222--MA0769.1.Tcf7	chr9	55541207	55541218	+	0.000	0.000	Merged-chr9-55541090-24
NR1398--MA1421.1.TCF7L1	chr12	93227048	93227059	-	0.000	0.000	Merged-chr12-93227052-12
NR5155--MA0769.1.Tcf7	chr6	66929733	66929744	-	0.000	0.000	Merged-chr6-66929752-32
NR4885--MA0769.1.Tcf7	chr5	107554485	107554496	-	0.000	0.000	Merged-chr5-107554534-24
NR27--MA1421.1.TCF7L1	chr1	36162999	36163010	+	0.000	0.000	Merged-chr1-36162898-20
NR3567--MA0769.1.Tcf7	chr2	84811138	84811149	+	0.000	0.000	Merged-chr2-84811141-36
NR4883--MA0523.1.TCF7L2	chr5	107554483	107554496	-	0.000	0.000	Merged-chr5-107554534-24
NR1737--MA0769.1.Tcf7	chr13	85505143	85505154	-	0.000	0.000	Merged-chr13-85505133-53
NR6247--MA1421.1.TCF7L1	chr9	64793317	64793328	-	0.000	0.000	Merged-chr9-64793163-21
NR4881--MA1421.1.TCF7L1	chr5	107554478	107554489	-	0.000	0.000	Merged-chr5-107554534-24
NR3085--MA1421.1.TCF7L1	chr18	62720180	62720191	-	0.000	0.000	Merged-chr18-62720076-43
NR3804--MA1421.1.TCF7L1	chr2	166399345	166399356	+	0.000	0.000	Merged-chr2-166399399-25
NR1325--MA1421.1.TCF7L1	chr12	73711060	73711071	-	0.000	0.000	Merged-chr12-73710968-44
NR1460--MA0769.1.Tcf7	chr12	107139061	107139072	+	0.000	0.000	Merged-chr12-107139139-48
NR6186--MA1421.1.TCF7L1	chr9	44361769	44361780	-	0.000	0.000	Merged-chr9-44361748-43
NR792--MA0769.1.Tcf7	chr10	117959677	117959688	+	0.000	0.000	Merged-chr10-117959672-9
NR6346--MA0769.1.Tcf7	chr9	89221275	89221286	-	0.000	0.000	Merged-chr9-89221104-50
NR2206--MA0769.1.Tcf7	chr14	121405429	121405440	-	0.000	0.000	Merged-chr14-121405440-45
NR1417--MA0523.1.TCF7L2	chr12	99544783	99544796	+	0.000	0.000	Merged-chr12-99544732-47
NR3210--MA1421.1.TCF7L1	chr19	12479457	12479468	+	0.000	0.000	Merged-chr19-12479491-16
NR1876--MA0523.1.TCF7L2	chr13	114886183	114886196	-	0.000	0.000	Merged-chr13-114886416-28
NR949--MA1421.1.TCF7L1	chr11	51883900	51883911	+	0.000	0.000	Merged-chr11-51883874-36
NR3627--MA1421.1.TCF7L1	chr2	117374269	117374280	-	0.000	0.000	Merged-chr2-117374468-47
NR3798--MA1421.1.TCF7L1	chr2	164868652	164868663	+	0.000	0.000	Merged-chr2-164868622-33
NR5638--MA0769.1.Tcf7	chr7	101555790	101555801	-	0.000	0.000	Merged-chr7-101555691-65
NR3145--MA1421.1.TCF7L1	chr18	81409218	81409229	+	0.000	0.000	Merged-chr18-81409388-20
NR4566--MA0769.1.Tcf7	chr4	145284608	145284619	+	0.000	0.000	Merged-chr4-145284668-43
NR1459--MA0523.1.TCF7L2	chr12	107139061	107139074	+	0.000	0.000	Merged-chr12-107139139-48
NR6518--MA0769.1.Tcf7	chrX	48148041	48148052	+	0.000	0.000	Merged-chrX-48147927-58
NR3755--MA1421.1.TCF7L1	chr2	152810410	152810421	+	0.000	0.000	Merged-chr2-152810370-23
NR6517--MA1421.1.TCF7L1	chrX	48148041	48148052	+	0.000	0.000	Merged-chrX-48147927-58
NR3574--MA1421.1.TCF7L1	chr2	90528495	90528506	+	0.000	0.000	Merged-chr2-90528384-23
NR6230--MA0523.1.TCF7L2	chr9	56264824	56264837	+	0.000	0.000	Merged-chr9-56264757-66
