#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Lef1/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval0.3-log2fc0.5_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval0.3-log2fc0.5_dn.bed
NR747--MA0768.1.LEF1	chr15	59019052	59019066	+	0.000	0.000	Merged-chr15-59019141-20
NR407--MA0768.1.LEF1	chr11	120631162	120631176	+	0.000	0.000	Merged-chr11-120630995-1
NR1308--MA0768.1.LEF1	chr3	101066412	101066426	-	0.000	0.000	Merged-chr3-101066330-34
NR1899--MA0768.1.LEF1	chr7	132702754	132702768	-	0.000	0.000	Merged-chr7-132702776-14
NR537--MA0768.1.LEF1	chr13	43306800	43306814	-	0.000	0.000	Merged-chr13-43306774-11
NR1344--MA0768.1.LEF1	chr3	126589697	126589711	+	0.000	0.000	Merged-chr3-126589665-27
NR309--MA0768.1.LEF1	chr10	130340349	130340363	-	0.000	0.000	Merged-chr10-130340277-13
NR1689--MA0768.1.LEF1	chr6	65569962	65569976	+	0.000	0.000	Merged-chr6-65569933-17
NR1264--MA0768.1.LEF1	chr3	55660069	55660083	+	0.000	0.000	Merged-chr3-55660012-44
NR1815--MA0768.1.LEF1	chr7	49494894	49494908	+	0.000	0.000	Merged-chr7-49494921-17
NR1721--MA0768.1.LEF1	chr6	98632683	98632697	+	0.000	0.000	Merged-chr6-98632758-43
NR1605--MA0768.1.LEF1	chr5	103917177	103917191	+	0.000	0.000	Merged-chr5-103917325-19
NR20--MA0768.1.LEF1	chr1	40847735	40847749	-	0.000	0.000	Merged-chr1-40847809-27
NR1623--MA0768.1.LEF1	chr5	118614716	118614730	+	0.000	0.000	Merged-chr5-118614593-18
NR2046--MA0768.1.LEF1	chr9	66492611	66492625	-	0.000	0.000	Merged-chr9-66492510-30
NR709--MA0768.1.LEF1	chr15	4124828	4124842	+	0.000	0.000	Merged-chr15-4124842-36
NR1086--MA0768.1.LEF1	chr2	19716059	19716073	-	0.000	0.000	Merged-chr2-19715961-49
NR1874--MA0768.1.LEF1	chr7	112400197	112400211	+	0.000	0.000	Merged-chr7-112400264-32
NR1771--MA0768.1.LEF1	chr6	143115264	143115278	-	0.000	0.000	Merged-chr6-143115192-122
NR839--MA0768.1.LEF1	chr16	57319958	57319972	+	0.000	0.000	Merged-chr16-57319907-20
NR624--MA0768.1.LEF1	chr14	21507257	21507271	-	0.000	0.000	Merged-chr14-21507188-15
NR660--MA0768.1.LEF1	chr14	66805894	66805908	-	0.000	0.000	Merged-chr14-66805736-29
NR450--MA0768.1.LEF1	chr12	76950384	76950398	+	0.000	0.000	Merged-chr12-76950525-26
NR1566--MA0768.1.LEF1	chr5	46445799	46445813	+	0.000	0.000	Merged-chr5-46445949-13
NR777--MA0768.1.LEF1	chr15	91616722	91616736	-	0.000	0.000	Merged-chr15-91616695-12
NR1463--MA0768.1.LEF1	chr4	86725321	86725335	+	0.000	0.000	Merged-chr4-86725378-12
NR549--MA0768.1.LEF1	chr13	55255378	55255392	-	0.000	0.000	Merged-chr13-55255412-37
NR1235--MA0768.1.LEF1	chr2	170147682	170147696	+	0.000	0.000	Merged-chr2-170147732-33
NR240--MA0768.1.LEF1	chr10	75417901	75417915	-	0.000	0.000	Merged-chr10-75417748-37
NR1468--MA0768.1.LEF1	chr4	88912351	88912365	+	0.000	0.000	Merged-chr4-88912378-27
NR129--MA0768.1.LEF1	chr1	156901812	156901826	+	0.000	0.000	Merged-chr1-156901975-24
NR1039--MA0768.1.LEF1	chr19	34505334	34505348	+	0.000	0.000	Merged-chr19-34505331-35
NR1500--MA0768.1.LEF1	chr4	130706922	130706936	-	0.000	0.000	Merged-chr4-130706849-20
NR832--MA0768.1.LEF1	chr16	48745639	48745653	-	0.000	0.000	Merged-chr16-48745701-29
NR389--MA0768.1.LEF1	chr11	108334393	108334407	+	0.000	0.000	Merged-chr11-108334513-21
NR850--MA0768.1.LEF1	chr16	78595986	78596000	-	0.000	0.000	Merged-chr16-78595924-17
NR1075--MA0768.1.LEF1	chr2	6622256	6622270	-	0.000	0.000	Merged-chr2-6622331-33
NR1751--MA0768.1.LEF1	chr6	127336821	127336835	-	0.000	0.000	Merged-chr6-127336586-54
NR14--MA0768.1.LEF1	chr1	36960732	36960746	+	0.000	0.000	Merged-chr1-36960699-30
NR2071--MA0768.1.LEF1	chr9	85011576	85011590	+	0.000	0.000	Merged-chr9-85011578-31
NR976--MA0768.1.LEF1	chr18	53951317	53951331	-	0.000	0.000	Merged-chr18-53951279-47
NR421--MA0768.1.LEF1	chr12	33076560	33076574	+	0.000	0.000	Merged-chr12-33076409-32
NR542--MA0768.1.LEF1	chr13	51712202	51712216	-	0.000	0.000	Merged-chr13-51712212-27
NR1779--MA0768.1.LEF1	chr6	146960237	146960251	-	0.000	0.000	Merged-chr6-146960171-26
NR426--MA0768.1.LEF1	chr12	41167986	41168000	-	0.000	0.000	Merged-chr12-41167989-46
NR690--MA0768.1.LEF1	chr14	104517112	104517126	+	0.000	0.000	Merged-chr14-104517244-7
NR1591--MA0768.1.LEF1	chr5	92103273	92103287	-	0.000	0.000	Merged-chr5-92103243-24
NR1345--MA0768.1.LEF1	chr3	126589727	126589741	+	0.000	0.000	Merged-chr3-126589665-27
NR1381--MA0768.1.LEF1	chr3	144232067	144232081	-	0.000	0.000	Merged-chr3-144232172-58
NR1265--MA0768.1.LEF1	chr3	55660081	55660095	+	0.000	0.000	Merged-chr3-55660012-44
NR1932--MA0768.1.LEF1	chr8	33548680	33548694	+	0.000	0.000	Merged-chr8-33548647-24
NR2006--MA0768.1.LEF1	chr8	128333533	128333547	+	0.000	0.000	Merged-chr8-128333532-18
NR1055--MA0768.1.LEF1	chr19	57093567	57093581	+	0.000	0.000	Merged-chr19-57093567-48
NR2136--MA0768.1.LEF1	chrX	37141902	37141916	-	0.000	0.000	Merged-chrX-37141960-22
NR2042--MA0768.1.LEF1	chr9	61720239	61720253	+	0.000	0.000	Merged-chr9-61720309-20
NR1512--MA0768.1.LEF1	chr4	144986271	144986285	+	0.000	0.000	Merged-chr4-144986370-39
NR723--MA0768.1.LEF1	chr15	30662246	30662260	+	0.000	0.000	Merged-chr15-30662184-17
NR835--MA0768.1.LEF1	chr16	51719825	51719839	+	0.000	0.000	Merged-chr16-51719841-20
NR741--MA0768.1.LEF1	chr15	53115572	53115586	+	0.000	0.000	Merged-chr15-53115661-46
NR186--MA0768.1.LEF1	chr1	191486728	191486742	+	0.000	0.000	Merged-chr1-191486758-12
NR1875--MA0768.1.LEF1	chr7	112400404	112400418	-	0.000	0.000	Merged-chr7-112400264-32
NR858--MA0768.1.LEF1	chr16	89816957	89816971	+	0.000	0.000	Merged-chr16-89817047-30
NR1101--MA0768.1.LEF1	chr2	31180362	31180376	-	0.000	0.000	Merged-chr2-31180309-64
NR1222--MA0768.1.LEF1	chr2	157746769	157746783	+	0.000	0.000	Merged-chr2-157746803-36
NR76--MA0768.1.LEF1	chr1	94025609	94025623	+	0.000	0.000	Merged-chr1-94025615-17
NR317--MA0768.1.LEF1	chr11	11498083	11498097	-	0.000	0.000	Merged-chr11-11498094-24
NR1921--MA0768.1.LEF1	chr7	144907996	144908010	+	0.000	0.000	Merged-chr7-144908072-14
NR1160--MA0768.1.LEF1	chr2	103280069	103280083	+	0.000	0.000	Merged-chr2-103280126-14
NR219--MA0768.1.LEF1	chr10	43740321	43740335	+	0.000	0.000	Merged-chr10-43740419-60
NR2116--MA0768.1.LEF1	chr9	120692063	120692077	-	0.000	0.000	Merged-chr9-120691973-52
NR1501--MA0768.1.LEF1	chr4	132040443	132040457	+	0.000	0.000	Merged-chr4-132040319-80
NR175--MA0768.1.LEF1	chr1	184235699	184235713	-	0.000	0.000	Merged-chr1-184235792-37
NR1976--MA0768.1.LEF1	chr8	110846142	110846156	-	0.000	0.000	Merged-chr8-110845988-12
NR623--MA0768.1.LEF1	chr14	21078675	21078689	-	0.000	0.000	Merged-chr14-21078723-20
NR829--MA0768.1.LEF1	chr16	45347113	45347127	+	0.000	0.000	Merged-chr16-45346908-42
NR33--MA0768.1.LEF1	chr1	58734460	58734474	-	0.000	0.000	Merged-chr1-58734414-54
NR847--MA0768.1.LEF1	chr16	78247902	78247916	-	0.000	0.000	Merged-chr16-78247900-23
NR2068--MA0768.1.LEF1	chr9	82967388	82967402	+	0.000	0.000	Merged-chr9-82967336-26
NR883--MA0768.1.LEF1	chr17	21433939	21433953	+	0.000	0.000	Merged-chr17-21433933-15
NR47--MA0768.1.LEF1	chr1	71069089	71069103	-	0.000	0.000	Merged-chr1-71069065-19
NR409--MA0768.1.LEF1	chr11	121100824	121100838	+	0.000	0.000	Merged-chr11-121100966-23
NR306--MA0768.1.LEF1	chr10	128940661	128940675	-	0.000	0.000	Merged-chr10-128940717-41
NR1328--MA0768.1.LEF1	chr3	109421018	109421032	+	0.000	0.000	Merged-chr3-109421125-43
NR324--MA0768.1.LEF1	chr11	30168262	30168276	-	0.000	0.000	Merged-chr11-30168139-12
NR217--MA0768.1.LEF1	chr10	42633463	42633477	+	0.000	0.000	Merged-chr10-42633342-1
NR902--MA0768.1.LEF1	chr17	36824361	36824375	+	0.000	0.000	Merged-chr17-36824195-38
NR2011--MA0768.1.LEF1	chr9	7576792	7576806	+	0.000	0.000	Merged-chr9-7576753-19
NR1266--MA0768.1.LEF1	chr3	58552641	58552655	+	0.000	0.000	Merged-chr3-58552438-57
NR137--MA0768.1.LEF1	chr1	164072256	164072270	+	0.000	0.000	Merged-chr1-164072258-30
NR2007--MA0768.1.LEF1	chr9	3404677	3404691	-	0.000	0.000	Merged-chr9-3404634-1
NR1817--MA0768.1.LEF1	chr7	49581699	49581713	-	0.000	0.000	Merged-chr7-49581640-7
NR2137--MA0768.1.LEF1	chrX	41400778	41400792	-	0.000	0.000	Merged-chrX-41400640-20
NR840--MA0768.1.LEF1	chr16	57465380	57465394	-	0.000	0.000	Merged-chr16-57465471-22
NR2173--MA0768.1.LEF1	chrY	11858272	11858286	-	0.000	0.000	Merged-chrY-11858126-43
NR420--MA0768.1.LEF1	chr12	33076323	33076337	+	0.000	0.000	Merged-chr12-33076409-32
NR626--MA0768.1.LEF1	chr14	27384155	27384169	-	0.000	0.000	Merged-chr14-27384235-54
NR895--MA0768.1.LEF1	chr17	31693693	31693707	-	0.000	0.000	Merged-chr17-31693537-59
NR1429--MA0768.1.LEF1	chr4	43425814	43425828	+	0.000	0.000	Merged-chr4-43425896-5
NR1335--MA0768.1.LEF1	chr3	115584849	115584863	-	0.000	0.000	Merged-chr3-115584831-13
NR667--MA0768.1.LEF1	chr14	71075870	71075884	+	0.000	0.000	Merged-chr14-71075875-24
NR452--MA0768.1.LEF1	chr12	82284726	82284740	+	0.000	0.000	Merged-chr12-82284829-46
NR1465--MA0768.1.LEF1	chr4	88544199	88544213	+	0.000	0.000	Merged-chr4-88544037-33
NR1219--MA0768.1.LEF1	chr2	153325731	153325745	+	0.000	0.000	Merged-chr2-153325949-22
NR797--MA0768.1.LEF1	chr16	4752300	4752314	-	0.000	0.000	Merged-chr16-4752313-9
NR224--MA0768.1.LEF1	chr10	56369029	56369043	-	0.000	0.000	Merged-chr10-56369223-33
NR1125--MA0768.1.LEF1	chr2	59969281	59969295	-	0.000	0.000	Merged-chr2-59969233-23
NR1022--MA0768.1.LEF1	chr19	12002269	12002283	+	0.000	0.000	Merged-chr19-12002372-25
NR1009--MA0768.1.LEF1	chr18	81521366	81521380	-	0.000	0.000	Merged-chr18-81521430-36
NR484--MA0768.1.LEF1	chr12	110861504	110861518	-	0.000	0.000	Merged-chr12-110861556-21
NR390--MA0768.1.LEF1	chr11	108921228	108921242	-	0.000	0.000	Merged-chr11-108921185-1
NR2014--MA0768.1.LEF1	chr9	11559525	11559539	-	0.000	0.000	Merged-chr9-11559688-28
NR1157--MA0768.1.LEF1	chr2	102044500	102044514	+	0.000	0.000	Merged-chr2-102044515-18
NR941--MA0768.1.LEF1	chr17	85023588	85023602	-	0.000	0.000	Merged-chr17-85023702-53
NR1081--MA0768.1.LEF1	chr2	13132648	13132662	-	0.000	0.000	Merged-chr2-13132891-60
NR1287--MA0768.1.LEF1	chr3	84595447	84595461	-	0.000	0.000	Merged-chr3-84595329-34
NR2167--MA0768.1.LEF1	chrX	159899314	159899328	-	0.000	0.000	Merged-chrX-159899215-24
NR718--MA0768.1.LEF1	chr15	18951825	18951839	-	0.000	0.000	Merged-chr15-18951851-25
NR1780--MA0768.1.LEF1	chr6	146960262	146960276	-	0.000	0.000	Merged-chr6-146960171-26
NR978--MA0768.1.LEF1	chr18	55107223	55107237	-	0.000	0.000	Merged-chr18-55107186-34
NR1879--MA0768.1.LEF1	chr7	116557586	116557600	-	0.000	0.000	Merged-chr7-116557657-1
NR1306--MA0768.1.LEF1	chr3	100582784	100582798	-	0.000	0.000	Merged-chr3-100582913-18
NR423--MA0768.1.LEF1	chr12	35999207	35999221	+	0.000	0.000	Merged-chr12-35999221-22
NR441--MA0768.1.LEF1	chr12	73711057	73711071	-	0.000	0.000	Merged-chr12-73710968-44
NR768--MA0768.1.LEF1	chr15	74667787	74667801	-	0.000	0.000	Merged-chr15-74667710-27
NR1669--MA0768.1.LEF1	chr6	37299212	37299226	-	0.000	0.000	Merged-chr6-37299169-1
NR674--MA0768.1.LEF1	chr14	75444803	75444817	+	0.000	0.000	Merged-chr14-75444835-23
NR1575--MA0768.1.LEF1	chr5	63767926	63767940	+	0.000	0.000	Merged-chr5-63767981-25
NR213--MA0768.1.LEF1	chr10	39768386	39768400	+	0.000	0.000	Merged-chr10-39768344-17
NR1329--MA0768.1.LEF1	chr3	109740827	109740841	+	0.000	0.000	Merged-chr3-109740806-11
NR800--MA0768.1.LEF1	chr16	11577792	11577806	+	0.000	0.000	Merged-chr16-11577786-44
NR1249--MA0768.1.LEF1	chr3	10151765	10151779	-	0.000	0.000	Merged-chr3-10151750-17
NR1276--MA0768.1.LEF1	chr3	68240094	68240108	+	0.000	0.000	Merged-chr3-68240034-18
NR1603--MA0768.1.LEF1	chr5	98018288	98018302	+	0.000	0.000	Merged-chr5-98018284-53
NR1048--MA0768.1.LEF1	chr19	46470883	46470897	-	0.000	0.000	Merged-chr19-46471055-66
NR183--MA0768.1.LEF1	chr1	189830996	189831010	+	0.000	0.000	Merged-chr1-189831018-42
NR707--MA0768.1.LEF1	chr14	122902340	122902354	-	0.000	0.000	Merged-chr14-122902262-49
NR1966--MA0768.1.LEF1	chr8	81735841	81735855	-	0.000	0.000	Merged-chr8-81736050-71
NR1984--MA0768.1.LEF1	chr8	117299276	117299290	-	0.000	0.000	Merged-chr8-117299202-13
NR743--MA0768.1.LEF1	chr15	57878557	57878571	+	0.000	0.000	Merged-chr15-57878528-32
NR1416--MA0768.1.LEF1	chr4	6941292	6941306	-	0.000	0.000	Merged-chr4-6941109-33
NR55--MA0768.1.LEF1	chr1	80321411	80321425	+	0.000	0.000	Merged-chr1-80321528-19
NR775--MA0768.1.LEF1	chr15	85042789	85042803	-	0.000	0.000	Merged-chr15-85042702-72
NR417--MA0768.1.LEF1	chr12	25601138	25601152	-	0.000	0.000	Merged-chr12-25601123-16
NR681--MA0768.1.LEF1	chr14	87349054	87349068	-	0.000	0.000	Merged-chr14-87349015-16
NR220--MA0768.1.LEF1	chr10	43783356	43783370	+	0.000	0.000	Merged-chr10-43783399-14
NR1121--MA0768.1.LEF1	chr2	58589862	58589876	+	0.000	0.000	Merged-chr2-58589818-35
NR1233--MA0768.1.LEF1	chr2	168575212	168575226	-	0.000	0.000	Merged-chr2-168575169-53
NR207--MA0768.1.LEF1	chr10	24111235	24111249	-	0.000	0.000	Merged-chr10-24111264-14
NR1251--MA0768.1.LEF1	chr3	14869882	14869896	-	0.000	0.000	Merged-chr3-14869878-60
NR1005--MA0768.1.LEF1	chr18	79297906	79297920	+	0.000	0.000	Merged-chr18-79298014-36
NR1126--MA0768.1.LEF1	chr2	61494269	61494283	-	0.000	0.000	Merged-chr2-61494309-57
NR449--MA0768.1.LEF1	chr12	76950368	76950382	+	0.000	0.000	Merged-chr12-76950525-26
NR1135--MA0768.1.LEF1	chr2	70922738	70922752	+	0.000	0.000	Merged-chr2-70922738-17
NR1923--MA0768.1.LEF1	chr8	4507784	4507798	-	0.000	0.000	Merged-chr8-4507701-32
NR1368--MA0768.1.LEF1	chr3	137980681	137980695	-	0.000	0.000	Merged-chr3-137980676-8
NR597--MA0768.1.LEF1	chr13	110540725	110540739	-	0.000	0.000	Merged-chr13-110540791-23
NR1601--MA0768.1.LEF1	chr5	97090319	97090333	+	0.000	0.000	Merged-chr5-97090318-20
NR942--MA0768.1.LEF1	chr17	85023884	85023898	-	0.000	0.000	Merged-chr17-85023702-53
NR1843--MA0768.1.LEF1	chr7	84143203	84143217	-	0.000	0.000	Merged-chr7-84143230-35
NR960--MA0768.1.LEF1	chr18	33781014	33781028	+	0.000	0.000	Merged-chr18-33781041-12
NR732--MA0768.1.LEF1	chr15	36855721	36855735	-	0.000	0.000	Merged-chr15-36855718-24
NR1078--MA0768.1.LEF1	chr2	9677262	9677276	+	0.000	0.000	Merged-chr2-9677324-22
NR17--MA0768.1.LEF1	chr1	40190062	40190076	+	0.000	0.000	Merged-chr1-40190206-19
NR1423--MA0768.1.LEF1	chr4	32560449	32560463	-	0.000	0.000	Merged-chr4-32560610-21
NR782--MA0768.1.LEF1	chr15	95826800	95826814	-	0.000	0.000	Merged-chr15-95826706-34
NR424--MA0768.1.LEF1	chr12	39649242	39649256	-	0.000	0.000	Merged-chr12-39649191-14
NR1898--MA0768.1.LEF1	chr7	132317272	132317286	+	0.000	0.000	Merged-chr7-132317352-2
NR675--MA0768.1.LEF1	chr14	75444879	75444893	-	0.000	0.000	Merged-chr14-75444835-23
NR214--MA0768.1.LEF1	chr10	39768372	39768386	-	0.000	0.000	Merged-chr10-39768344-17
NR1133--MA0768.1.LEF1	chr2	68884858	68884872	+	0.000	0.000	Merged-chr2-68884857-23
NR559--MA0768.1.LEF1	chr13	69488205	69488219	-	0.000	0.000	Merged-chr13-69488029-32
NR2120--MA0768.1.LEF1	chr9	121925042	121925056	+	0.000	0.000	Merged-chr9-121925182-15
NR689--MA0768.1.LEF1	chr14	103017268	103017282	-	0.000	0.000	Merged-chr14-103017290-44
NR1129--MA0768.1.LEF1	chr2	65871122	65871136	-	0.000	0.000	Merged-chr2-65871141-19
NR264--MA0768.1.LEF1	chr10	91029314	91029328	-	0.000	0.000	Merged-chr10-91029194-21
NR1183--MA0768.1.LEF1	chr2	128544644	128544658	+	0.000	0.000	Merged-chr2-128544786-45
NR2170--MA0768.1.LEF1	chrX	166808396	166808410	-	0.000	0.000	Merged-chrX-166808277-26
NR269--MA0768.1.LEF1	chr10	96201432	96201446	+	0.000	0.000	Merged-chr10-96201472-66
NR1837--MA0768.1.LEF1	chr7	80554988	80555002	+	0.000	0.000	Merged-chr7-80554988-53
NR1430--MA0768.1.LEF1	chr4	44316389	44316403	-	0.000	0.000	Merged-chr4-44316514-33
NR856--MA0768.1.LEF1	chr16	87726090	87726104	-	0.000	0.000	Merged-chr16-87726198-44
