#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval0.3-log2fc0.5_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval0.3-log2fc0.5_up.bed
NR2293--MA1421.1.TCF7L1	chr13	52617347	52617358	+	0.000	0.000	Merged-chr13-52617361-10
NR4060--MA0523.1.TCF7L2	chr18	24237172	24237185	+	0.000	0.000	Merged-chr18-24237197-17
NR7167--MA0769.1.Tcf7	chr6	51509995	51510006	-	0.000	0.000	Merged-chr6-51509825-65
NR4104--MA0523.1.TCF7L2	chr18	38701109	38701122	+	0.000	0.000	Merged-chr18-38700911-27
NR2871--MA0523.1.TCF7L2	chr14	74977104	74977117	+	0.000	0.000	Merged-chr14-74977138-7
NR3394--MA0769.1.Tcf7	chr16	15910370	15910381	+	0.000	0.000	Merged-chr16-15910429-9
NR5220--MA0769.1.Tcf7	chr2	150134375	150134386	-	0.000	0.000	Merged-chr2-150134419-14
NR3703--MA0769.1.Tcf7	chr16	95900271	95900282	+	0.000	0.000	Merged-chr16-95900278-53
NR5610--MA1421.1.TCF7L1	chr3	89892597	89892608	-	0.000	0.000	Merged-chr3-89892725-25
NR7073--MA0769.1.Tcf7	chr6	15716969	15716980	-	0.000	0.000	Merged-chr6-15716932-11
NR2614--MA0523.1.TCF7L2	chr14	10146586	10146599	+	0.000	0.000	Merged-chr14-10146570-14
NR197--MA0769.1.Tcf7	chr1	82900858	82900869	-	0.000	0.000	Merged-chr1-82900738-32
NR2631--MA0769.1.Tcf7	chr14	15273333	15273344	-	0.000	0.000	Merged-chr14-15273135-43
NR1229--MA1421.1.TCF7L1	chr10	117625874	117625885	+	0.000	0.000	Merged-chr10-117625957-44
NR5341--MA0769.1.Tcf7	chr2	172394056	172394067	-	0.000	0.000	Merged-chr2-172393836-103
NR5547--MA0769.1.Tcf7	chr3	68787011	68787022	-	0.000	0.000	Merged-chr3-68787191-73
NR1001--MA1421.1.TCF7L1	chr10	75417904	75417915	-	0.000	0.000	Merged-chr10-75417748-37
NR394--MA0523.1.TCF7L2	chr1	135807747	135807760	+	0.000	0.000	Merged-chr1-135807785-37
NR606--MA0523.1.TCF7L2	chr1	172357822	172357835	-	0.000	0.000	Merged-chr1-172357746-23
NR4142--MA0523.1.TCF7L2	chr18	54860625	54860638	+	0.000	0.000	Merged-chr18-54860804-67
NR5017--MA1421.1.TCF7L1	chr2	114153413	114153424	+	0.000	0.000	Merged-chr2-114153480-37
NR6310--MA0769.1.Tcf7	chr4	102393684	102393695	+	0.000	0.000	Merged-chr4-102393739-36
NR4069--MA0523.1.TCF7L2	chr18	32543343	32543356	-	0.000	0.000	Merged-chr18-32543284-47
NR7475--MA0523.1.TCF7L2	chr6	120934363	120934376	+	0.000	0.000	Merged-chr6-120934426-25
NR6995--MA0769.1.Tcf7	chr5	146287350	146287361	-	0.000	0.000	Merged-chr5-146287302-17
NR812--MA0523.1.TCF7L2	chr10	25331981	25331994	-	0.000	0.000	Merged-chr10-25331822-16
NR1544--MA0523.1.TCF7L2	chr11	96996724	96996737	-	0.000	0.000	Merged-chr11-96996617-51
NR3636--MA0523.1.TCF7L2	chr16	84995568	84995581	+	0.000	0.000	Merged-chr16-84995665-26
NR2976--MA0769.1.Tcf7	chr14	118658091	118658102	+	0.000	0.000	Merged-chr14-118658326-68
NR5471--MA0769.1.Tcf7	chr3	51495753	51495764	+	0.000	0.000	Merged-chr3-51495816-13
NR8966--MA0523.1.TCF7L2	chr9	116283891	116283904	-	0.000	0.000	Merged-chr9-116283998-37
NR2023--MA1421.1.TCF7L1	chr12	105538381	105538392	+	0.000	0.000	Merged-chr12-105538395-6
NR5332--MA0523.1.TCF7L2	chr2	170247922	170247935	-	0.000	0.000	Merged-chr2-170247949-28
NR3072--MA0523.1.TCF7L2	chr15	27796771	27796784	+	0.000	0.000	Merged-chr15-27796764-17
NR8387--MA0769.1.Tcf7	chr8	104416244	104416255	+	0.000	0.000	Merged-chr8-104416222-18
NR4877--MA0523.1.TCF7L2	chr2	77176567	77176580	+	0.000	0.000	Merged-chr2-77176488-48
NR5319--MA0769.1.Tcf7	chr2	169423642	169423653	-	0.000	0.000	Merged-chr2-169423761-9
NR5261--MA1421.1.TCF7L1	chr2	158673169	158673180	-	0.000	0.000	Merged-chr2-158673458-23
NR6655--MA0769.1.Tcf7	chr5	57868929	57868940	-	0.000	0.000	Merged-chr5-57869019-33
NR6440--MA0769.1.Tcf7	chr4	140601357	140601368	-	0.000	0.000	Merged-chr4-140601329-15
NR9120--MA0523.1.TCF7L2	chrX	100789552	100789565	-	0.000	0.000	Merged-chrX-100789555-32
NR6617--MA0523.1.TCF7L2	chr5	38632722	38632735	-	0.000	0.000	Merged-chr5-38632599-22
NR6670--MA1421.1.TCF7L1	chr5	64045294	64045305	-	0.000	0.000	Merged-chr5-64045165-50
NR2300--MA0769.1.Tcf7	chr13	52702319	52702330	-	0.000	0.000	Merged-chr13-52702318-14
NR522--MA1421.1.TCF7L1	chr1	156901812	156901823	+	0.000	0.000	Merged-chr1-156901975-24
NR4056--MA0523.1.TCF7L2	chr18	24088888	24088901	+	0.000	0.000	Merged-chr18-24088895-16
NR2994--MA0769.1.Tcf7	chr14	121353973	121353984	-	0.000	0.000	Merged-chr14-121354142-24
NR7294--MA0523.1.TCF7L2	chr6	83809513	83809526	-	0.000	0.000	Merged-chr6-83809654-9
NR2627--MA0769.1.Tcf7	chr14	15011595	15011606	+	0.000	0.000	Merged-chr14-15011517-9
NR4094--MA0523.1.TCF7L2	chr18	37751843	37751856	-	0.000	0.000	Merged-chr18-37751717-34
NR4138--MA0523.1.TCF7L2	chr18	53951307	53951320	-	0.000	0.000	Merged-chr18-53951279-47
NR3193--MA0769.1.Tcf7	chr15	67196442	67196453	+	0.000	0.000	Merged-chr15-67196543-23
NR3455--MA0523.1.TCF7L2	chr16	32972826	32972839	-	0.000	0.000	Merged-chr16-32972762-21
NR1195--MA0523.1.TCF7L2	chr10	111578772	111578785	+	0.000	0.000	Merged-chr10-111578564-64
NR2238--MA1421.1.TCF7L1	chr13	41447156	41447167	-	0.000	0.000	Merged-chr13-41447189-7
NR5812--MA1421.1.TCF7L1	chr3	126628623	126628634	+	0.000	0.000	Merged-chr3-126628752-25
NR7340--MA1421.1.TCF7L1	chr6	94534990	94535001	-	0.000	0.000	Merged-chr6-94534982-12
NR6392--MA0523.1.TCF7L2	chr4	124819035	124819048	-	0.000	0.000	Merged-chr4-124819044-3
NR8484--MA0523.1.TCF7L2	chr8	126536287	126536300	+	0.000	0.000	Merged-chr8-126536353-14
NR4498--MA0769.1.Tcf7	chr19	55792731	55792742	-	0.000	0.000	Merged-chr19-55792789-50
NR1000--MA0769.1.Tcf7	chr10	75417807	75417818	+	0.000	0.000	Merged-chr10-75417748-37
NR2551--MA0769.1.Tcf7	chr13	114086612	114086623	-	0.000	0.000	Merged-chr13-114086496-8
NR4807--MA0769.1.Tcf7	chr2	65422035	65422046	+	0.000	0.000	Merged-chr2-65422005-11
NR7677--MA0523.1.TCF7L2	chr7	19837025	19837038	-	0.000	0.000	Merged-chr7-19837080-20
NR6994--MA0523.1.TCF7L2	chr5	146287348	146287361	-	0.000	0.000	Merged-chr5-146287302-17
NR268--MA1421.1.TCF7L1	chr1	94025609	94025620	+	0.000	0.000	Merged-chr1-94025615-17
NR6666--MA1421.1.TCF7L1	chr5	63943505	63943516	+	0.000	0.000	Merged-chr5-63943362-36
NR4125--MA0523.1.TCF7L2	chr18	46381240	46381253	-	0.000	0.000	Merged-chr18-46381195-31
NR3442--MA0523.1.TCF7L2	chr16	30769353	30769366	+	0.000	0.000	Merged-chr16-30769529-58
NR4727--MA0523.1.TCF7L2	chr2	49690534	49690547	-	0.000	0.000	Merged-chr2-49690370-21
NR4780--MA1421.1.TCF7L1	chr2	59998025	59998036	+	0.000	0.000	Merged-chr2-59997998-11
NR6819--MA0523.1.TCF7L2	chr5	100651720	100651733	-	0.000	0.000	Merged-chr5-100651654-38
NR1022--MA1421.1.TCF7L1	chr10	81247930	81247941	-	0.000	0.000	Merged-chr10-81248090-40
NR8983--MA0769.1.Tcf7	chr9	118285718	118285729	-	0.000	0.000	Merged-chr9-118285683-37
NR6447--MA1421.1.TCF7L1	chr4	144986271	144986282	+	0.000	0.000	Merged-chr4-144986370-39
NR158--MA0523.1.TCF7L2	chr1	66552831	66552844	-	0.000	0.000	Merged-chr1-66552771-47
NR7688--MA1421.1.TCF7L1	chr7	24468103	24468114	-	0.000	0.000	Merged-chr7-24468111-23
NR8949--MA0523.1.TCF7L2	chr9	114592575	114592588	-	0.000	0.000	Merged-chr9-114592565-4
NR3055--MA0523.1.TCF7L2	chr15	18951826	18951839	-	0.000	0.000	Merged-chr15-18951851-25
NR8522--MA0769.1.Tcf7	chr9	11559578	11559589	-	0.000	0.000	Merged-chr9-11559688-28
NR5147--MA0523.1.TCF7L2	chr2	139934967	139934980	-	0.000	0.000	Merged-chr2-139934935-45
NR7239--MA0523.1.TCF7L2	chr6	67105659	67105672	+	0.000	0.000	Merged-chr6-67105676-29
NR2341--MA0769.1.Tcf7	chr13	63512582	63512593	+	0.000	0.000	Merged-chr13-63512619-6
NR7307--MA0769.1.Tcf7	chr6	86645200	86645211	-	0.000	0.000	Merged-chr6-86645182-42
NR1901--MA0523.1.TCF7L2	chr12	76950384	76950397	+	0.000	0.000	Merged-chr12-76950525-26
NR8252--MA0523.1.TCF7L2	chr8	60954792	60954805	+	0.000	0.000	Merged-chr8-60954738-34
NR5917--MA0523.1.TCF7L2	chr3	142533252	142533265	-	0.000	0.000	Merged-chr3-142533345-44
NR216--MA0769.1.Tcf7	chr1	85335848	85335859	-	0.000	0.000	Merged-chr1-85335844-5
NR3754--MA1421.1.TCF7L1	chr17	13479952	13479963	+	0.000	0.000	Merged-chr17-13479919-17
NR1117--MA0769.1.Tcf7	chr10	96955127	96955138	+	0.000	0.000	Merged-chr10-96955164-15
NR3431--MA0769.1.Tcf7	chr16	24909770	24909781	-	0.000	0.000	Merged-chr16-24909583-14
NR3637--MA0769.1.Tcf7	chr16	84995568	84995579	+	0.000	0.000	Merged-chr16-84995665-26
NR1771--MA0523.1.TCF7L2	chr12	35999207	35999220	+	0.000	0.000	Merged-chr12-35999221-22
NR1023--MA0769.1.Tcf7	chr10	81247930	81247941	-	0.000	0.000	Merged-chr10-81248090-40
NR3863--MA0523.1.TCF7L2	chr17	48318939	48318952	+	0.000	0.000	Merged-chr17-48318964-29
NR2646--MA1421.1.TCF7L1	chr14	21078625	21078636	-	0.000	0.000	Merged-chr14-21078723-20
NR2478--MA1421.1.TCF7L1	chr13	101669081	101669092	-	0.000	0.000	Merged-chr13-101669067-25
NR5787--MA0523.1.TCF7L2	chr3	121689285	121689298	+	0.000	0.000	Merged-chr3-121689232-23
NR7117--MA1421.1.TCF7L1	chr6	37037504	37037515	+	0.000	0.000	Merged-chr6-37037443-39
NR8652--MA0769.1.Tcf7	chr9	48538518	48538529	+	0.000	0.000	Merged-chr9-48538454-59
NR1839--MA1421.1.TCF7L1	chr12	69093359	69093370	+	0.000	0.000	Merged-chr12-69093362-15
NR6253--MA0769.1.Tcf7	chr4	88071127	88071138	-	0.000	0.000	Merged-chr4-88071071-19
NR8033--MA0523.1.TCF7L2	chr7	128669092	128669105	-	0.000	0.000	Merged-chr7-128669075-5
NR8892--MA0523.1.TCF7L2	chr9	103337111	103337124	+	0.000	0.000	Merged-chr9-103337204-21
NR6844--MA0523.1.TCF7L2	chr5	103459331	103459344	-	0.000	0.000	Merged-chr5-103459309-20
NR7222--MA0769.1.Tcf7	chr6	65569962	65569973	+	0.000	0.000	Merged-chr6-65569933-17
NR4944--MA1421.1.TCF7L1	chr2	102040250	102040261	-	0.000	0.000	Merged-chr2-102040255-6
NR6365--MA0769.1.Tcf7	chr4	116735218	116735229	-	0.000	0.000	Merged-chr4-116735189-24
NR2403--MA0523.1.TCF7L2	chr13	84791266	84791279	-	0.000	0.000	Merged-chr13-84791325-24
NR3440--MA0769.1.Tcf7	chr16	30655882	30655893	-	0.000	0.000	Merged-chr16-30655956-7
NR1018--MA1421.1.TCF7L1	chr10	80629188	80629199	-	0.000	0.000	Merged-chr10-80629091-37
NR7549--MA0769.1.Tcf7	chr6	135433970	135433981	+	0.000	0.000	Merged-chr6-135433920-18
NR2031--MA1421.1.TCF7L1	chr12	107159263	107159274	-	0.000	0.000	Merged-chr12-107159246-9
NR5340--MA0523.1.TCF7L2	chr2	172393806	172393819	+	0.000	0.000	Merged-chr2-172393836-103
NR6047--MA1421.1.TCF7L1	chr4	7961628	7961639	-	0.000	0.000	Merged-chr4-7961828-25
NR7240--MA0769.1.Tcf7	chr6	67105659	67105670	+	0.000	0.000	Merged-chr6-67105676-29
NR3219--MA0523.1.TCF7L2	chr15	75634462	75634475	-	0.000	0.000	Merged-chr15-75634516-4
NR5196--MA1421.1.TCF7L1	chr2	146888003	146888014	-	0.000	0.000	Merged-chr2-146888107-12
NR6598--MA0769.1.Tcf7	chr5	36140702	36140713	-	0.000	0.000	Merged-chr5-36140594-4
NR3673--MA0769.1.Tcf7	chr16	92307632	92307643	+	0.000	0.000	Merged-chr16-92307633-7
NR5774--MA0523.1.TCF7L2	chr3	117044608	117044621	+	0.000	0.000	Merged-chr3-117044595-20
NR2140--MA0523.1.TCF7L2	chr13	3479821	3479834	-	0.000	0.000	Merged-chr13-3479941-4
NR4108--MA0523.1.TCF7L2	chr18	39729979	39729992	-	0.000	0.000	Merged-chr18-39730147-16
NR7470--MA0523.1.TCF7L2	chr6	118621838	118621851	-	0.000	0.000	Merged-chr6-118621968-6
NR2243--MA0769.1.Tcf7	chr13	41453789	41453800	-	0.000	0.000	Merged-chr13-41453592-40
NR270--MA0769.1.Tcf7	chr1	94025609	94025620	+	0.000	0.000	Merged-chr1-94025615-17
NR3425--MA0523.1.TCF7L2	chr16	24836571	24836584	+	0.000	0.000	Merged-chr16-24836747-26
NR3785--MA0769.1.Tcf7	chr17	23969057	23969068	+	0.000	0.000	Merged-chr17-23969178-28
NR8177--MA1421.1.TCF7L1	chr8	26963455	26963466	+	0.000	0.000	Merged-chr8-26963598-35
NR5349--MA0523.1.TCF7L2	chr2	173444591	173444604	+	0.000	0.000	Merged-chr2-173444560-32
NR1498--MA0769.1.Tcf7	chr11	83116654	83116665	+	0.000	0.000	Merged-chr11-83116808-57
NR3631--MA0523.1.TCF7L2	chr16	84982744	84982757	-	0.000	0.000	Merged-chr16-84982791-18
NR6710--MA0769.1.Tcf7	chr5	74105560	74105571	-	0.000	0.000	Merged-chr5-74105575-19
NR7647--MA0523.1.TCF7L2	chr6	148934689	148934702	+	0.000	0.000	Merged-chr6-148934708-2
NR1114--MA0523.1.TCF7L2	chr10	96691169	96691182	-	0.000	0.000	Merged-chr10-96691005-66
NR9175--MA0523.1.TCF7L2	chrX	159828200	159828213	+	0.000	0.000	Merged-chrX-159828290-35
NR772--MA0523.1.TCF7L2	chr10	17296483	17296496	-	0.000	0.000	Merged-chr10-17296409-9
