#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_dn.bed
NR1682--MA1421.1.TCF7L1	chr13	112343126	112343137	+	0.000	0.000	Merged-chr13-112343316-26
NR5479--MA1421.1.TCF7L1	chr9	82967413	82967424	+	0.000	0.000	Merged-chr9-82967336-26
NR5685--MA1421.1.TCF7L1	chrX	48148041	48148052	+	0.000	0.000	Merged-chrX-48147927-58
NR550--MA1421.1.TCF7L1	chr10	42934764	42934775	+	0.000	0.000	Merged-chr10-42934777-29
NR2992--MA1421.1.TCF7L1	chr2	57833237	57833248	+	0.000	0.000	Merged-chr2-57833187-31
NR46--MA0523.1.TCF7L2	chr1	51570628	51570641	-	0.000	0.000	Merged-chr1-51570675-23
NR5258--MA0769.1.Tcf7	chr8	120715517	120715528	-	0.000	0.000	Merged-chr8-120715474-36
NR4220--MA1421.1.TCF7L1	chr5	107524622	107524633	-	0.000	0.000	Merged-chr5-107524666-44
NR1029--MA1421.1.TCF7L1	chr11	103808700	103808711	-	0.000	0.000	Merged-chr11-103808730-15
NR2233--MA0523.1.TCF7L2	chr16	51676211	51676224	-	0.000	0.000	Merged-chr16-51676199-15
NR4308--MA0769.1.Tcf7	chr5	146757475	146757486	-	0.000	0.000	Merged-chr5-146757539-9
NR4111--MA0769.1.Tcf7	chr5	66096227	66096238	+	0.000	0.000	Merged-chr5-66096250-16
NR1746--MA0769.1.Tcf7	chr14	27045191	27045202	-	0.000	0.000	Merged-chr14-27045220-26
NR505--MA0769.1.Tcf7	chr10	21559892	21559903	+	0.000	0.000	Merged-chr10-21559992-35
NR4346--MA0523.1.TCF7L2	chr6	15783259	15783272	+	0.000	0.000	Merged-chr6-15783250-24
NR2505--MA0769.1.Tcf7	chr17	65864850	65864861	+	0.000	0.000	Merged-chr17-65864949-20
NR3878--MA0523.1.TCF7L2	chr4	118406372	118406385	-	0.000	0.000	Merged-chr4-118406334-12
NR3828--MA0769.1.Tcf7	chr4	98282622	98282633	-	0.000	0.000	Merged-chr4-98282479-46
NR4973--MA0523.1.TCF7L2	chr7	118120119	118120132	+	0.000	0.000	Merged-chr7-118120096-37
NR4291--MA0769.1.Tcf7	chr5	137425807	137425818	+	0.000	0.000	Merged-chr5-137425710-17
NR3537--MA1421.1.TCF7L1	chr3	115933847	115933858	-	0.000	0.000	Merged-chr3-115933714-29
NR2555--MA0769.1.Tcf7	chr17	86329679	86329690	-	0.000	0.000	Merged-chr17-86329621-27
NR4255--MA0523.1.TCF7L2	chr5	120621493	120621506	-	0.000	0.000	Merged-chr5-120621262-88
NR3207--MA0769.1.Tcf7	chr2	144646559	144646570	+	0.000	0.000	Merged-chr2-144646502-21
NR1945--MA0769.1.Tcf7	chr15	30686512	30686523	-	0.000	0.000	Merged-chr15-30686490-29
NR5418--MA1421.1.TCF7L1	chr9	62412449	62412460	+	0.000	0.000	Merged-chr9-62412387-14
NR3435--MA0523.1.TCF7L2	chr3	86915476	86915489	+	0.000	0.000	Merged-chr3-86915418-7
NR576--MA0523.1.TCF7L2	chr10	60156143	60156156	+	0.000	0.000	Merged-chr10-60156095-8
NR5419--MA0769.1.Tcf7	chr9	62412449	62412460	+	0.000	0.000	Merged-chr9-62412387-14
NR3265--MA1421.1.TCF7L1	chr2	163048289	163048300	+	0.000	0.000	Merged-chr2-163048277-32
NR4347--MA0769.1.Tcf7	chr6	15783259	15783270	+	0.000	0.000	Merged-chr6-15783250-24
NR1943--MA1421.1.TCF7L1	chr15	30686512	30686523	-	0.000	0.000	Merged-chr15-30686490-29
NR5285--MA0523.1.TCF7L2	chr8	126539840	126539853	-	0.000	0.000	Merged-chr8-126539798-23
NR2554--MA0523.1.TCF7L2	chr17	86329677	86329690	-	0.000	0.000	Merged-chr17-86329621-27
NR759--MA0769.1.Tcf7	chr10	118096221	118096232	+	0.000	0.000	Merged-chr10-118096400-51
NR3750--MA0769.1.Tcf7	chr4	34551490	34551501	+	0.000	0.000	Merged-chr4-34551500-9
NR5142--MA0769.1.Tcf7	chr8	57660261	57660272	-	0.000	0.000	Merged-chr8-57660259-14
NR5487--MA0523.1.TCF7L2	chr9	83893104	83893117	-	0.000	0.000	Merged-chr9-83893287-19
NR883--MA1421.1.TCF7L1	chr11	51938832	51938843	+	0.000	0.000	Merged-chr11-51938980-15
NR2415--MA1421.1.TCF7L1	chr17	29275142	29275153	-	0.000	0.000	Merged-chr17-29275247-8
NR2124--MA0769.1.Tcf7	chr15	100749892	100749903	-	0.000	0.000	Merged-chr15-100749824-1
NR815--MA1421.1.TCF7L1	chr11	5005621	5005632	-	0.000	0.000	Merged-chr11-5005546-13
NR103--MA0523.1.TCF7L2	chr1	78480498	78480511	+	0.000	0.000	Merged-chr1-78480382-3
NR2943--MA1421.1.TCF7L1	chr2	35680583	35680594	-	0.000	0.000	Merged-chr2-35680461-43
NR730--MA0523.1.TCF7L2	chr10	111622635	111622648	+	0.000	0.000	Merged-chr10-111622563-9
NR1955--MA1421.1.TCF7L1	chr15	38122363	38122374	+	0.000	0.000	Merged-chr15-38122272-49
NR2939--MA1421.1.TCF7L1	chr2	35445515	35445526	-	0.000	0.000	Merged-chr2-35445506-29
NR3054--MA0769.1.Tcf7	chr2	84811138	84811149	+	0.000	0.000	Merged-chr2-84811141-36
NR3937--MA0523.1.TCF7L2	chr4	138962900	138962913	+	0.000	0.000	Merged-chr4-138963010-20
NR4256--MA0769.1.Tcf7	chr5	120621495	120621506	-	0.000	0.000	Merged-chr5-120621262-88
NR507--MA0523.1.TCF7L2	chr10	22306666	22306679	-	0.000	0.000	Merged-chr10-22306595-58
NR1651--MA0523.1.TCF7L2	chr13	108763549	108763562	-	0.000	0.000	Merged-chr13-108763497-25
NR2426--MA0769.1.Tcf7	chr17	31207366	31207377	-	0.000	0.000	Merged-chr17-31207385-5
NR3849--MA1421.1.TCF7L1	chr4	102104571	102104582	-	0.000	0.000	Merged-chr4-102104738-25
NR2234--MA0769.1.Tcf7	chr16	51676213	51676224	-	0.000	0.000	Merged-chr16-51676199-15
NR758--MA1421.1.TCF7L1	chr10	118096221	118096232	+	0.000	0.000	Merged-chr10-118096400-51
NR5484--MA1421.1.TCF7L1	chr9	83653199	83653210	-	0.000	0.000	Merged-chr9-83653017-27
NR3364--MA0523.1.TCF7L2	chr3	37738623	37738636	+	0.000	0.000	Merged-chr3-37738517-40
NR1039--MA1421.1.TCF7L1	chr11	106493442	106493453	-	0.000	0.000	Merged-chr11-106493297-20
NR5405--MA0523.1.TCF7L2	chr9	56264890	56264903	-	0.000	0.000	Merged-chr9-56264757-66
NR824--MA0523.1.TCF7L2	chr11	20064186	20064199	+	0.000	0.000	Merged-chr11-20064139-6
NR1786--MA0769.1.Tcf7	chr14	53806367	53806378	+	0.000	0.000	Merged-chr14-53806193-41
NR1343--MA0769.1.Tcf7	chr12	107139061	107139072	+	0.000	0.000	Merged-chr12-107139139-48
NR45--MA1421.1.TCF7L1	chr1	51570630	51570641	-	0.000	0.000	Merged-chr1-51570675-23
NR1745--MA0523.1.TCF7L2	chr14	27045189	27045202	-	0.000	0.000	Merged-chr14-27045220-26
NR1404--MA1421.1.TCF7L1	chr12	117679066	117679077	-	0.000	0.000	Merged-chr12-117679056-43
NR1345--MA0523.1.TCF7L2	chr12	107971307	107971320	+	0.000	0.000	Merged-chr12-107971493-56
NR3205--MA0523.1.TCF7L2	chr2	144646515	144646528	+	0.000	0.000	Merged-chr2-144646502-21
NR2232--MA1421.1.TCF7L1	chr16	51676213	51676224	-	0.000	0.000	Merged-chr16-51676199-15
NR5637--MA0769.1.Tcf7	chr9	118890390	118890401	-	0.000	0.000	Merged-chr9-118890241-21
NR2847--MA0769.1.Tcf7	chr19	53010621	53010632	+	0.000	0.000	Merged-chr19-53010844-15
NR4307--MA1421.1.TCF7L1	chr5	146757475	146757486	-	0.000	0.000	Merged-chr5-146757539-9
NR5152--MA1421.1.TCF7L1	chr8	65889560	65889571	-	0.000	0.000	Merged-chr8-65889473-2
NR47--MA0769.1.Tcf7	chr1	51570630	51570641	-	0.000	0.000	Merged-chr1-51570675-23
NR5562--MA0523.1.TCF7L2	chr9	96754565	96754578	+	0.000	0.000	Merged-chr9-96754558-43
NR5190--MA1421.1.TCF7L1	chr8	85450501	85450512	-	0.000	0.000	Merged-chr8-85450579-4
NR1785--MA1421.1.TCF7L1	chr14	53806367	53806378	+	0.000	0.000	Merged-chr14-53806193-41
NR1336--MA0523.1.TCF7L2	chr12	106777762	106777775	-	0.000	0.000	Merged-chr12-106777834-6
NR3891--MA0523.1.TCF7L2	chr4	124766966	124766979	+	0.000	0.000	Merged-chr4-124766881-14
NR1337--MA0769.1.Tcf7	chr12	106777764	106777775	-	0.000	0.000	Merged-chr12-106777834-6
NR3621--MA0523.1.TCF7L2	chr3	138868466	138868479	-	0.000	0.000	Merged-chr3-138868592-15
NR5217--MA1421.1.TCF7L1	chr8	105810598	105810609	+	0.000	0.000	Merged-chr8-105810525-46
NR5191--MA0769.1.Tcf7	chr8	85450501	85450512	-	0.000	0.000	Merged-chr8-85450579-4
NR495--MA0769.1.Tcf7	chr10	18007528	18007539	+	0.000	0.000	Merged-chr10-18007476-16
NR4692--MA1421.1.TCF7L1	chr6	145139908	145139919	-	0.000	0.000	Merged-chr6-145139958-22
NR745--MA0523.1.TCF7L2	chr10	117675974	117675987	-	0.000	0.000	Merged-chr10-117676030-42
NR4769--MA0769.1.Tcf7	chr7	30440004	30440015	-	0.000	0.000	Merged-chr7-30439933-8
NR2846--MA1421.1.TCF7L1	chr19	53010621	53010632	+	0.000	0.000	Merged-chr19-53010844-15
NR2450--MA1421.1.TCF7L1	chr17	44690654	44690665	+	0.000	0.000	Merged-chr17-44690721-49
NR3434--MA1421.1.TCF7L1	chr3	86915476	86915487	+	0.000	0.000	Merged-chr3-86915418-7
NR1652--MA0769.1.Tcf7	chr13	108763551	108763562	-	0.000	0.000	Merged-chr13-108763497-25
NR1712--MA1421.1.TCF7L1	chr13	117195935	117195946	-	0.000	0.000	Merged-chr13-117196008-56
NR2504--MA0523.1.TCF7L2	chr17	65864850	65864863	+	0.000	0.000	Merged-chr17-65864949-20
NR3827--MA0523.1.TCF7L2	chr4	98282620	98282633	-	0.000	0.000	Merged-chr4-98282479-46
NR318--MA0769.1.Tcf7	chr1	156462916	156462927	-	0.000	0.000	Merged-chr1-156462820-12
NR1922--MA0769.1.Tcf7	chr15	3271011	3271022	+	0.000	0.000	Merged-chr15-3270817-58
NR3538--MA0769.1.Tcf7	chr3	115933847	115933858	-	0.000	0.000	Merged-chr3-115933714-29
NR3206--MA1421.1.TCF7L1	chr2	144646559	144646570	+	0.000	0.000	Merged-chr2-144646502-21
NR2256--MA0769.1.Tcf7	chr16	58553514	58553525	+	0.000	0.000	Merged-chr16-58553585-23
NR2123--MA1421.1.TCF7L1	chr15	100749892	100749903	-	0.000	0.000	Merged-chr15-100749824-1
NR731--MA0769.1.Tcf7	chr10	111622635	111622646	+	0.000	0.000	Merged-chr10-111622563-9
NR49--MA0523.1.TCF7L2	chr1	52456945	52456958	-	0.000	0.000	Merged-chr1-52456813-18
NR3--MA0523.1.TCF7L2	chr1	7096289	7096302	+	0.000	0.000	Merged-chr1-7096130-35
NR23--MA0523.1.TCF7L2	chr1	34479123	34479136	+	0.000	0.000	Merged-chr1-34479093-40
NR898--MA0523.1.TCF7L2	chr11	54844623	54844636	+	0.000	0.000	Merged-chr11-54844701-31
NR2253--MA0523.1.TCF7L2	chr16	58553481	58553494	-	0.000	0.000	Merged-chr16-58553585-23
NR1436--MA0769.1.Tcf7	chr13	12927707	12927718	+	0.000	0.000	Merged-chr13-12927520-1
NR2527--MA1421.1.TCF7L1	chr17	78370471	78370482	-	0.000	0.000	Merged-chr17-78370654-23
NR3936--MA1421.1.TCF7L1	chr4	138962900	138962911	+	0.000	0.000	Merged-chr4-138963010-20
NR1347--MA0523.1.TCF7L2	chr12	108811305	108811318	+	0.000	0.000	Merged-chr12-108811310-19
NR821--MA0523.1.TCF7L2	chr11	11498084	11498097	-	0.000	0.000	Merged-chr11-11498094-24
NR1431--MA1421.1.TCF7L1	chr13	12499135	12499146	+	0.000	0.000	Merged-chr13-12499306-22
