#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Lef1/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval0.3-log2fc0.5_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval0.3-log2fc0.5_up.bed
NR1906--MA0768.1.LEF1	chr9	79756211	79756225	+	0.000	0.000	Merged-chr9-79756214-5
NR486--MA0768.1.LEF1	chr13	51951833	51951847	-	0.000	0.000	Merged-chr13-51951802-36
NR1387--MA0768.1.LEF1	chr5	29195910	29195924	+	0.000	0.000	Merged-chr5-29195906-68
NR392--MA0768.1.LEF1	chr12	84933886	84933900	+	0.000	0.000	Merged-chr12-84934066-14
NR701--MA0768.1.LEF1	chr15	84168876	84168890	-	0.000	0.000	Merged-chr15-84168860-11
NR1499--MA0768.1.LEF1	chr6	24627889	24627903	+	0.000	0.000	Merged-chr6-24627877-28
NR1190--MA0768.1.LEF1	chr3	115584849	115584863	-	0.000	0.000	Merged-chr3-115584831-13
NR1159--MA0768.1.LEF1	chr3	84595447	84595461	-	0.000	0.000	Merged-chr3-84595329-34
NR1732--MA0768.1.LEF1	chr7	125607594	125607608	+	0.000	0.000	Merged-chr7-125607654-51
NR276--MA0768.1.LEF1	chr11	74100908	74100922	+	0.000	0.000	Merged-chr11-74100988-13
NR1177--MA0768.1.LEF1	chr3	101029429	101029443	+	0.000	0.000	Merged-chr3-101029545-28
NR173--MA0768.1.LEF1	chr10	75001157	75001171	-	0.000	0.000	Merged-chr10-75001009-7
NR1289--MA0768.1.LEF1	chr4	86719167	86719181	-	0.000	0.000	Merged-chr4-86719231-11
NR603--MA0768.1.LEF1	chr14	71075870	71075884	+	0.000	0.000	Merged-chr14-71075875-24
NR809--MA0768.1.LEF1	chr17	17826786	17826800	+	0.000	0.000	Merged-chr17-17826809-71
NR13--MA0768.1.LEF1	chr1	40399749	40399763	+	0.000	0.000	Merged-chr1-40399864-38
NR1634--MA0768.1.LEF1	chr7	25576077	25576091	-	0.000	0.000	Merged-chr7-25575910-1
NR1540--MA0768.1.LEF1	chr6	88782956	88782970	-	0.000	0.000	Merged-chr6-88783083-54
NR1406--MA0768.1.LEF1	chr5	64297265	64297279	-	0.000	0.000	Merged-chr5-64297332-42
NR984--MA0768.1.LEF1	chr2	3922952	3922966	+	0.000	0.000	Merged-chr2-3922894-15
NR411--MA0768.1.LEF1	chr12	101011326	101011340	+	0.000	0.000	Merged-chr12-101011261-18
NR1518--MA0768.1.LEF1	chr6	65144646	65144660	+	0.000	0.000	Merged-chr6-65144806-50
NR1303--MA0768.1.LEF1	chr4	101217141	101217155	+	0.000	0.000	Merged-chr4-101217167-64
NR27--MA0768.1.LEF1	chr1	66552806	66552820	-	0.000	0.000	Merged-chr1-66552771-47
NR523--MA0768.1.LEF1	chr13	100866488	100866502	-	0.000	0.000	Merged-chr13-100866518-52
NR1894--MA0768.1.LEF1	chr9	69068575	69068589	+	0.000	0.000	Merged-chr9-69068633-33
NR1536--MA0768.1.LEF1	chr6	86645246	86645260	-	0.000	0.000	Merged-chr6-86645182-42
NR1442--MA0768.1.LEF1	chr5	100916678	100916692	-	0.000	0.000	Merged-chr5-100916697-39
NR868--MA0768.1.LEF1	chr18	4280613	4280627	+	0.000	0.000	Merged-chr18-4280777-15
NR1769--MA0768.1.LEF1	chr8	56443914	56443928	-	0.000	0.000	Merged-chr8-56443904-53
NR63--MA0768.1.LEF1	chr1	133012465	133012479	+	0.000	0.000	Merged-chr1-133012523-20
NR1460--MA0768.1.LEF1	chr5	122288603	122288617	+	0.000	0.000	Merged-chr5-122288620-47
NR1666--MA0768.1.LEF1	chr7	80204509	80204523	+	0.000	0.000	Merged-chr7-80204651-51
NR671--MA0768.1.LEF1	chr15	59010907	59010921	+	0.000	0.000	Merged-chr15-59010782-34
NR81--MA0768.1.LEF1	chr1	159938619	159938633	+	0.000	0.000	Merged-chr1-159938641-24
NR1899--MA0768.1.LEF1	chr9	77430917	77430931	-	0.000	0.000	Merged-chr9-77430950-36
NR1326--MA0768.1.LEF1	chr4	129565410	129565424	+	0.000	0.000	Merged-chr4-129565342-28
NR331--MA0768.1.LEF1	chr11	116418606	116418620	+	0.000	0.000	Merged-chr11-116418803-35
NR1796--MA0768.1.LEF1	chr8	86052111	86052125	-	0.000	0.000	Merged-chr8-86052123-41
NR1438--MA0768.1.LEF1	chr5	98018288	98018302	+	0.000	0.000	Merged-chr5-98018284-53
NR8--MA0768.1.LEF1	chr1	32104306	32104320	+	0.000	0.000	Merged-chr1-32104339-13
NR1362--MA0768.1.LEF1	chr4	150099178	150099192	+	0.000	0.000	Merged-chr4-150099112-23
NR1568--MA0768.1.LEF1	chr6	103565175	103565189	+	0.000	0.000	Merged-chr6-103565102-16
NR215--MA0768.1.LEF1	chr10	111578772	111578786	+	0.000	0.000	Merged-chr10-111578564-64
NR1474--MA0768.1.LEF1	chr5	140871435	140871449	-	0.000	0.000	Merged-chr5-140871418-38
NR251--MA0768.1.LEF1	chr11	16871108	16871122	-	0.000	0.000	Merged-chr11-16871332-15
NR578--MA0768.1.LEF1	chr14	49155777	49155791	+	0.000	0.000	Merged-chr14-49155726-21
NR363--MA0768.1.LEF1	chr12	41167986	41168000	-	0.000	0.000	Merged-chr12-41167989-46
NR1264--MA0768.1.LEF1	chr4	41241025	41241039	+	0.000	0.000	Merged-chr4-41241074-39
NR475--MA0768.1.LEF1	chr13	35129658	35129672	-	0.000	0.000	Merged-chr13-35129636-40
NR381--MA0768.1.LEF1	chr12	76950384	76950398	+	0.000	0.000	Merged-chr12-76950525-26
NR905--MA0768.1.LEF1	chr18	69547455	69547469	-	0.000	0.000	Merged-chr18-69547283-22
NR1282--MA0768.1.LEF1	chr4	63928484	63928498	-	0.000	0.000	Merged-chr4-63928441-11
NR135--MA0768.1.LEF1	chr10	12961773	12961787	-	0.000	0.000	Merged-chr10-12961810-12
NR802--MA0768.1.LEF1	chr17	13479935	13479949	+	0.000	0.000	Merged-chr17-13479919-17
NR247--MA0768.1.LEF1	chr11	5415750	5415764	+	0.000	0.000	Merged-chr11-5415987-23
NR153--MA0768.1.LEF1	chr10	44678981	44678995	+	0.000	0.000	Merged-chr10-44678956-9
NR377--MA0768.1.LEF1	chr12	73888160	73888174	+	0.000	0.000	Merged-chr12-73888255-48
NR1954--MA0768.1.LEF1	chr9	121925042	121925056	+	0.000	0.000	Merged-chr9-121925182-15
NR919--MA0768.1.LEF1	chr18	82607534	82607548	+	0.000	0.000	Merged-chr18-82607647-23
NR149--MA0768.1.LEF1	chr10	36158104	36158118	-	0.000	0.000	Merged-chr10-36158337-60
NR1856--MA0768.1.LEF1	chr9	7576736	7576750	+	0.000	0.000	Merged-chr9-7576753-19
NR1641--MA0768.1.LEF1	chr7	37490470	37490484	-	0.000	0.000	Merged-chr7-37490614-68
NR297--MA0768.1.LEF1	chr11	97246831	97246845	+	0.000	0.000	Merged-chr11-97246717-13
NR1874--MA0768.1.LEF1	chr9	48447960	48447974	+	0.000	0.000	Merged-chr9-48448010-22
NR1507--MA0768.1.LEF1	chr6	41113489	41113503	+	0.000	0.000	Merged-chr6-41113305-59
NR1771--MA0768.1.LEF1	chr8	57477160	57477174	-	0.000	0.000	Merged-chr8-57477126-15
NR763--MA0768.1.LEF1	chr16	57465380	57465394	-	0.000	0.000	Merged-chr16-57465471-22
NR969--MA0768.1.LEF1	chr19	55792728	55792742	-	0.000	0.000	Merged-chr19-55792789-50
NR660--MA0768.1.LEF1	chr15	39913586	39913600	-	0.000	0.000	Merged-chr15-39913439-55
NR1776--MA0768.1.LEF1	chr8	67986910	67986924	+	0.000	0.000	Merged-chr8-67986835-44
NR1409--MA0768.1.LEF1	chr5	64766125	64766139	+	0.000	0.000	Merged-chr5-64765991-19
NR629--MA0768.1.LEF1	chr14	103532697	103532711	-	0.000	0.000	Merged-chr14-103532610-9
NR1221--MA0768.1.LEF1	chr3	138275305	138275319	-	0.000	0.000	Merged-chr3-138275247-64
NR432--MA0768.1.LEF1	chr12	112857213	112857227	+	0.000	0.000	Merged-chr12-112857431-10
NR1548--MA0768.1.LEF1	chr6	94681555	94681569	+	0.000	0.000	Merged-chr6-94681460-83
NR57--MA0768.1.LEF1	chr1	128794047	128794061	+	0.000	0.000	Merged-chr1-128794102-26
NR1445--MA0768.1.LEF1	chr5	103917177	103917191	+	0.000	0.000	Merged-chr5-103917325-19
NR683--MA0768.1.LEF1	chr15	66818806	66818820	-	0.000	0.000	Merged-chr15-66818844-13
NR1011--MA0768.1.LEF1	chr2	38548329	38548343	+	0.000	0.000	Merged-chr2-38548313-22
NR580--MA0768.1.LEF1	chr14	52008753	52008767	+	0.000	0.000	Merged-chr14-52008925-52
NR1141--MA0768.1.LEF1	chr3	37174957	37174971	+	0.000	0.000	Merged-chr3-37174845-28
NR1347--MA0768.1.LEF1	chr4	145319594	145319608	+	0.000	0.000	Merged-chr4-145319470-38
NR1253--MA0768.1.LEF1	chr4	7455298	7455312	+	0.000	0.000	Merged-chr4-7455242-36
NR679--MA0768.1.LEF1	chr15	63989862	63989876	+	0.000	0.000	Merged-chr15-63989879-13
NR370--MA0768.1.LEF1	chr12	55357448	55357462	-	0.000	0.000	Merged-chr12-55357452-12
NR218--MA0768.1.LEF1	chr10	117056130	117056144	+	0.000	0.000	Merged-chr10-117056166-30
NR1271--MA0768.1.LEF1	chr4	46182306	46182320	+	0.000	0.000	Merged-chr4-46182367-16
NR697--MA0768.1.LEF1	chr15	82188126	82188140	-	0.000	0.000	Merged-chr15-82188110-14
NR124--MA0768.1.LEF1	chr1	193102946	193102960	-	0.000	0.000	Merged-chr1-193102904-19
NR912--MA0768.1.LEF1	chr18	79297906	79297920	+	0.000	0.000	Merged-chr18-79298014-36
NR142--MA0768.1.LEF1	chr10	19406884	19406898	-	0.000	0.000	Merged-chr10-19406936-14
NR1258--MA0768.1.LEF1	chr4	11990124	11990138	+	0.000	0.000	Merged-chr4-11990097-18
NR160--MA0768.1.LEF1	chr10	58354863	58354877	-	0.000	0.000	Merged-chr10-58354769-20
NR1943--MA0768.1.LEF1	chr9	116283890	116283904	-	0.000	0.000	Merged-chr9-116283998-37
NR702--MA0768.1.LEF1	chr15	84372947	84372961	+	0.000	0.000	Merged-chr15-84372915-18
NR814--MA0768.1.LEF1	chr17	28701270	28701284	+	0.000	0.000	Merged-chr17-28701389-22
NR1733--MA0768.1.LEF1	chr7	126179029	126179043	+	0.000	0.000	Merged-chr7-126178972-42
NR1939--MA0768.1.LEF1	chr9	107676036	107676050	-	0.000	0.000	Merged-chr9-107676090-54
NR1178--MA0768.1.LEF1	chr3	101066269	101066283	+	0.000	0.000	Merged-chr3-101066330-34
NR1630--MA0768.1.LEF1	chr7	19837024	19837038	-	0.000	0.000	Merged-chr7-19837080-20
NR962--MA0768.1.LEF1	chr19	42305886	42305900	+	0.000	0.000	Merged-chr19-42305883-1
NR1863--MA0768.1.LEF1	chr9	14995766	14995780	+	0.000	0.000	Merged-chr9-14995745-32
NR1505--MA0768.1.LEF1	chr6	39348076	39348090	+	0.000	0.000	Merged-chr6-39348126-65
NR32--MA0768.1.LEF1	chr1	78591517	78591531	-	0.000	0.000	Merged-chr1-78591432-38
NR949--MA0768.1.LEF1	chr19	32999047	32999061	+	0.000	0.000	Merged-chr19-32999080-29
NR846--MA0768.1.LEF1	chr17	69422857	69422871	-	0.000	0.000	Merged-chr17-69422874-19
NR50--MA0768.1.LEF1	chr1	106561318	106561332	-	0.000	0.000	Merged-chr1-106561410-50
NR1407--MA0768.1.LEF1	chr5	64662514	64662528	-	0.000	0.000	Merged-chr5-64662440-49
NR1877--MA0768.1.LEF1	chr9	52259750	52259764	+	0.000	0.000	Merged-chr9-52259787-26
NR994--MA0768.1.LEF1	chr2	17597779	17597793	+	0.000	0.000	Merged-chr2-17597899-18
NR1537--MA0768.1.LEF1	chr6	86754831	86754845	+	0.000	0.000	Merged-chr6-86754818-10
NR1649--MA0768.1.LEF1	chr7	49421420	49421434	-	0.000	0.000	Merged-chr7-49421353-29
NR654--MA0768.1.LEF1	chr15	31440134	31440148	-	0.000	0.000	Merged-chr15-31440136-19
NR64--MA0768.1.LEF1	chr1	135019185	135019199	-	0.000	0.000	Merged-chr1-135019182-17
NR1309--MA0768.1.LEF1	chr4	107605760	107605774	-	0.000	0.000	Merged-chr4-107605713-1
NR1000--MA0768.1.LEF1	chr2	26753528	26753542	+	0.000	0.000	Merged-chr2-26753671-30
NR82--MA0768.1.LEF1	chr1	160006267	160006281	-	0.000	0.000	Merged-chr1-160006258-20
NR1470--MA0768.1.LEF1	chr5	135780452	135780466	+	0.000	0.000	Merged-chr5-135780527-18
NR341--MA0768.1.LEF1	chr11	121777141	121777155	-	0.000	0.000	Merged-chr11-121777303-26
NR1242--MA0768.1.LEF1	chr3	152212096	152212110	-	0.000	0.000	Merged-chr3-152212044-45
NR87--MA0768.1.LEF1	chr1	161761746	161761760	+	0.000	0.000	Merged-chr1-161761657-43
NR1260--MA0768.1.LEF1	chr4	31941744	31941758	+	0.000	0.000	Merged-chr4-31941792-10
NR1117--MA0768.1.LEF1	chr2	168575212	168575226	-	0.000	0.000	Merged-chr2-168575169-53
NR480--MA0768.1.LEF1	chr13	43191846	43191860	+	0.000	0.000	Merged-chr13-43191968-21
NR1014--MA0768.1.LEF1	chr2	44528727	44528741	-	0.000	0.000	Merged-chr2-44528768-19
NR234--MA0768.1.LEF1	chr10	128039312	128039326	-	0.000	0.000	Merged-chr10-128039274-35
NR1699--MA0768.1.LEF1	chr7	109265814	109265828	-	0.000	0.000	Merged-chr7-109265818-41
NR252--MA0768.1.LEF1	chr11	16871157	16871171	-	0.000	0.000	Merged-chr11-16871332-15
NR1019--MA0768.1.LEF1	chr2	48328421	48328435	-	0.000	0.000	Merged-chr2-48328415-44
NR1395--MA0768.1.LEF1	chr5	45790459	45790473	-	0.000	0.000	Merged-chr5-45790409-20
NR248--MA0768.1.LEF1	chr11	6705036	6705050	+	0.000	0.000	Merged-chr11-6705219-50
NR154--MA0768.1.LEF1	chr10	44679958	44679972	-	0.000	0.000	Merged-chr10-44679817-10
NR1055--MA0768.1.LEF1	chr2	93417127	93417141	-	0.000	0.000	Merged-chr2-93416936-19
NR266--MA0768.1.LEF1	chr11	63146799	63146813	-	0.000	0.000	Merged-chr11-63146790-18
NR951--MA0768.1.LEF1	chr19	34510905	34510919	+	0.000	0.000	Merged-chr19-34511025-19
NR808--MA0768.1.LEF1	chr17	17792224	17792238	-	0.000	0.000	Merged-chr17-17792149-13
NR1185--MA0768.1.LEF1	chr3	108124306	108124320	-	0.000	0.000	Merged-chr3-108124378-33
NR1964--MA0768.1.LEF1	chrX	41400778	41400792	-	0.000	0.000	Merged-chrX-41400640-20
NR611--MA0768.1.LEF1	chr14	73609220	73609234	+	0.000	0.000	Merged-chr14-73609040-26
NR1718--MA0768.1.LEF1	chr7	117404664	117404678	+	0.000	0.000	Merged-chr7-117404576-18
NR956--MA0768.1.LEF1	chr19	36899741	36899755	-	0.000	0.000	Merged-chr19-36899836-2
NR1642--MA0768.1.LEF1	chr7	39650922	39650936	-	0.000	0.000	Merged-chr7-39650740-5
NR853--MA0768.1.LEF1	chr17	79093364	79093378	+	0.000	0.000	Merged-chr17-79093476-55
NR298--MA0768.1.LEF1	chr11	97905700	97905714	-	0.000	0.000	Merged-chr11-97905718-19
NR1660--MA0768.1.LEF1	chr7	75384765	75384779	-	0.000	0.000	Merged-chr7-75384885-29
NR26--MA0768.1.LEF1	chr1	64486512	64486526	-	0.000	0.000	Merged-chr1-64486540-36
NR728--MA0768.1.LEF1	chr16	3988599	3988613	-	0.000	0.000	Merged-chr16-3988637-25
NR35--MA0768.1.LEF1	chr1	80416613	80416627	-	0.000	0.000	Merged-chr1-80416536-28
NR1759--MA0768.1.LEF1	chr8	14998237	14998251	-	0.000	0.000	Merged-chr8-14998165-42
NR53--MA0768.1.LEF1	chr1	118390180	118390194	-	0.000	0.000	Merged-chr1-118390044-7
NR71--MA0768.1.LEF1	chr1	151245345	151245359	+	0.000	0.000	Merged-chr1-151245323-7
NR1674--MA0768.1.LEF1	chr7	88357513	88357527	-	0.000	0.000	Merged-chr7-88357413-44
NR1795--MA0768.1.LEF1	chr8	83740307	83740321	+	0.000	0.000	Merged-chr8-83740218-49
NR527--MA0768.1.LEF1	chr13	103357024	103357038	-	0.000	0.000	Merged-chr13-103356902-29
NR58--MA0768.1.LEF1	chr1	128794065	128794079	+	0.000	0.000	Merged-chr1-128794102-26
NR1464--MA0768.1.LEF1	chr5	124943849	124943863	-	0.000	0.000	Merged-chr5-124943788-2
NR684--MA0768.1.LEF1	chr15	67196442	67196456	+	0.000	0.000	Merged-chr15-67196543-23
NR317--MA0768.1.LEF1	chr11	110272006	110272020	+	0.000	0.000	Merged-chr11-110271856-28
NR94--MA0768.1.LEF1	chr1	165851004	165851018	-	0.000	0.000	Merged-chr1-165850957-6
NR1003--MA0768.1.LEF1	chr2	29666796	29666810	-	0.000	0.000	Merged-chr2-29666836-9
NR796--MA0768.1.LEF1	chr17	5747999	5748013	-	0.000	0.000	Merged-chr17-5748141-46
NR1236--MA0768.1.LEF1	chr3	146192739	146192753	-	0.000	0.000	Merged-chr3-146192596-55
NR1348--MA0768.1.LEF1	chr4	145361313	145361327	-	0.000	0.000	Merged-chr4-145361226-45
NR353--MA0768.1.LEF1	chr12	33076323	33076337	+	0.000	0.000	Merged-chr12-33076409-32
NR465--MA0768.1.LEF1	chr13	13582128	13582142	+	0.000	0.000	Merged-chr13-13582107-29
NR1487--MA0768.1.LEF1	chr5	149427631	149427645	-	0.000	0.000	Merged-chr5-149427432-30
NR1384--MA0768.1.LEF1	chr5	22587656	22587670	-	0.000	0.000	Merged-chr5-22587622-39
NR1908--MA0768.1.LEF1	chr9	80318137	80318151	-	0.000	0.000	Merged-chr9-80318250-48
NR1138--MA0768.1.LEF1	chr3	10212021	10212035	-	0.000	0.000	Merged-chr3-10212114-17
NR358--MA0768.1.LEF1	chr12	36019829	36019843	+	0.000	0.000	Merged-chr12-36019766-41
NR1926--MA0768.1.LEF1	chr9	92217743	92217757	-	0.000	0.000	Merged-chr9-92217904-40
NR1711--MA0768.1.LEF1	chr7	115310904	115310918	-	0.000	0.000	Merged-chr7-115311049-7
NR1944--MA0768.1.LEF1	chr9	116284010	116284024	+	0.000	0.000	Merged-chr9-116283998-37
NR1080--MA0768.1.LEF1	chr2	132180715	132180729	+	0.000	0.000	Merged-chr2-132180846-32
NR909--MA0768.1.LEF1	chr18	75374206	75374220	-	0.000	0.000	Merged-chr18-75374196-25
NR600--MA0768.1.LEF1	chr14	68078399	68078413	-	0.000	0.000	Merged-chr14-68078565-20
NR10--MA0768.1.LEF1	chr1	38723946	38723960	-	0.000	0.000	Merged-chr1-38723833-22
NR712--MA0768.1.LEF1	chr15	94255220	94255234	-	0.000	0.000	Merged-chr15-94255177-46
NR1613--MA0768.1.LEF1	chr6	145469522	145469536	+	0.000	0.000	Merged-chr6-145469437-17
NR963--MA0768.1.LEF1	chr19	44078363	44078377	-	0.000	0.000	Merged-chr19-44078434-18
NR1188--MA0768.1.LEF1	chr3	109421018	109421032	+	0.000	0.000	Merged-chr3-109421125-43
NR502--MA0768.1.LEF1	chr13	73491211	73491225	-	0.000	0.000	Merged-chr13-73491277-13
NR735--MA0768.1.LEF1	chr16	25587907	25587921	-	0.000	0.000	Merged-chr16-25587871-42
NR520--MA0768.1.LEF1	chr13	97439971	97439985	+	0.000	0.000	Merged-chr13-97439792-27
NR1636--MA0768.1.LEF1	chr7	29141613	29141627	-	0.000	0.000	Merged-chr7-29141670-31
NR1099--MA0768.1.LEF1	chr2	150578758	150578772	-	0.000	0.000	Merged-chr2-150578789-44
NR507--MA0768.1.LEF1	chr13	84769226	84769240	-	0.000	0.000	Merged-chr13-84769190-19
NR1766--MA0768.1.LEF1	chr8	36028574	36028588	-	0.000	0.000	Merged-chr8-36028490-56
NR1408--MA0768.1.LEF1	chr5	64764617	64764631	+	0.000	0.000	Merged-chr5-64764597-23
NR1672--MA0768.1.LEF1	chr7	84141525	84141539	+	0.000	0.000	Merged-chr7-84141440-16
NR1878--MA0768.1.LEF1	chr9	52259807	52259821	+	0.000	0.000	Merged-chr9-52259787-26
NR637--MA0768.1.LEF1	chr14	118658091	118658105	+	0.000	0.000	Merged-chr14-118658326-68
NR422--MA0768.1.LEF1	chr12	107182176	107182190	+	0.000	0.000	Merged-chr12-107182241-26
NR1538--MA0768.1.LEF1	chr6	86910058	86910072	-	0.000	0.000	Merged-chr6-86910084-11
NR47--MA0768.1.LEF1	chr1	106374905	106374919	-	0.000	0.000	Merged-chr1-106375068-41
NR655--MA0768.1.LEF1	chr15	31546653	31546667	-	0.000	0.000	Merged-chr15-31546423-43
NR1453--MA0768.1.LEF1	chr5	111235797	111235811	-	0.000	0.000	Merged-chr5-111235959-11
NR673--MA0768.1.LEF1	chr15	59805124	59805138	-	0.000	0.000	Merged-chr15-59805045-21
NR879--MA0768.1.LEF1	chr18	32598283	32598297	+	0.000	0.000	Merged-chr18-32598271-33
NR1686--MA0768.1.LEF1	chr7	99833906	99833920	-	0.000	0.000	Merged-chr7-99833987-52
NR897--MA0768.1.LEF1	chr18	56711195	56711209	-	0.000	0.000	Merged-chr18-56711213-24
NR1458--MA0768.1.LEF1	chr5	118614716	118614730	+	0.000	0.000	Merged-chr5-118614593-18
NR360--MA0768.1.LEF1	chr12	39649176	39649190	-	0.000	0.000	Merged-chr12-39649191-14
NR329--MA0768.1.LEF1	chr11	115589121	115589135	+	0.000	0.000	Merged-chr11-115589146-15
NR235--MA0768.1.LEF1	chr10	128940661	128940675	-	0.000	0.000	Merged-chr10-128940717-41
NR1803--MA0768.1.LEF1	chr8	91507607	91507621	-	0.000	0.000	Merged-chr8-91507766-35
NR1248--MA0768.1.LEF1	chr3	157938813	157938827	+	0.000	0.000	Merged-chr3-157938783-43
NR1033--MA0768.1.LEF1	chr2	70922738	70922752	+	0.000	0.000	Merged-chr2-70922738-17
NR459--MA0768.1.LEF1	chr13	5806325	5806339	+	0.000	0.000	Merged-chr13-5806398-17
NR1821--MA0768.1.LEF1	chr8	117299276	117299290	-	0.000	0.000	Merged-chr8-117299202-13
NR1396--MA0768.1.LEF1	chr5	52245285	52245299	-	0.000	0.000	Merged-chr5-52245311-7
NR1293--MA0768.1.LEF1	chr4	89169075	89169089	-	0.000	0.000	Merged-chr4-89169046-30
NR1611--MA0768.1.LEF1	chr6	145379545	145379559	-	0.000	0.000	Merged-chr6-145379467-36
NR1620--MA0768.1.LEF1	chr6	148136272	148136286	-	0.000	0.000	Merged-chr6-148136166-24
NR1065--MA0768.1.LEF1	chr2	117418885	117418899	-	0.000	0.000	Merged-chr2-117418760-26
NR1741--MA0768.1.LEF1	chr7	130816456	130816470	-	0.000	0.000	Merged-chr7-130816442-11
NR1186--MA0768.1.LEF1	chr3	108124338	108124352	+	0.000	0.000	Merged-chr3-108124378-33
NR706--MA0768.1.LEF1	chr15	91616722	91616736	-	0.000	0.000	Merged-chr15-91616695-12
NR970--MA0768.1.LEF1	chr19	55915608	55915622	-	0.000	0.000	Merged-chr19-55915456-76
NR1737--MA0768.1.LEF1	chr7	127922797	127922811	-	0.000	0.000	Merged-chr7-127922827-35
NR872--MA0768.1.LEF1	chr18	19483680	19483694	-	0.000	0.000	Merged-chr18-19483716-13
NR18--MA0768.1.LEF1	chr1	60158507	60158521	-	0.000	0.000	Merged-chr1-60158664-37
NR1415--MA0768.1.LEF1	chr5	73236881	73236895	+	0.000	0.000	Merged-chr5-73237054-48
NR626--MA0768.1.LEF1	chr14	103017268	103017282	-	0.000	0.000	Merged-chr14-103017290-44
NR1312--MA0768.1.LEF1	chr4	117448087	117448101	-	0.000	0.000	Merged-chr4-117448128-17
NR890--MA0768.1.LEF1	chr18	49721699	49721713	-	0.000	0.000	Merged-chr18-49721855-41
NR644--MA0768.1.LEF1	chr14	122908308	122908322	-	0.000	0.000	Merged-chr14-122908322-32
NR1451--MA0768.1.LEF1	chr5	107754912	107754926	-	0.000	0.000	Merged-chr5-107754930-37
NR877--MA0768.1.LEF1	chr18	32543278	32543292	-	0.000	0.000	Merged-chr18-32543284-47
NR304--MA0768.1.LEF1	chr11	101661867	101661881	+	0.000	0.000	Merged-chr11-101661964-4
NR1563--MA0768.1.LEF1	chr6	100255577	100255591	+	0.000	0.000	Merged-chr6-100255672-12
NR989--MA0768.1.LEF1	chr2	6569286	6569300	+	0.000	0.000	Merged-chr2-6569390-16
NR774--MA0768.1.LEF1	chr16	78573186	78573200	-	0.000	0.000	Merged-chr16-78573118-8
NR1675--MA0768.1.LEF1	chr7	88459891	88459905	-	0.000	0.000	Merged-chr7-88459917-15
