#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Lef1/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval0.3-log2fc0.5_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval0.3-log2fc0.5_up.bed
NR2703--MA0768.1.LEF1	chr9	114476716	114476730	-	0.000	0.000	Merged-chr9-114476878-62
NR851--MA0768.1.LEF1	chr14	106027255	106027269	+	0.000	0.000	Merged-chr14-106027200-23
NR1305--MA0768.1.LEF1	chr19	10698522	10698536	-	0.000	0.000	Merged-chr19-10698600-31
NR29--MA0768.1.LEF1	chr1	43403601	43403615	-	0.000	0.000	Merged-chr1-43403565-20
NR525--MA0768.1.LEF1	chr12	73605316	73605330	-	0.000	0.000	Merged-chr12-73605389-1
NR2086--MA0768.1.LEF1	chr5	105010601	105010615	+	0.000	0.000	Merged-chr5-105010527-49
NR995--MA0768.1.LEF1	chr16	23308222	23308236	-	0.000	0.000	Merged-chr16-23308226-35
NR5--MA0768.1.LEF1	chr1	13559596	13559610	+	0.000	0.000	Merged-chr1-13559747-54
NR1001--MA0768.1.LEF1	chr16	29978013	29978027	+	0.000	0.000	Merged-chr16-29977874-22
NR570--MA0768.1.LEF1	chr12	108646500	108646514	-	0.000	0.000	Merged-chr12-108646363-75
NR1471--MA0768.1.LEF1	chr2	72282907	72282921	+	0.000	0.000	Merged-chr2-72282934-17
NR230--MA0768.1.LEF1	chr10	19504574	19504588	+	0.000	0.000	Merged-chr10-19504569-39
NR463--MA0768.1.LEF1	chr11	117848737	117848751	-	0.000	0.000	Merged-chr11-117848914-89
NR114--MA0768.1.LEF1	chr1	127348984	127348998	-	0.000	0.000	Merged-chr1-127349004-28
NR132--MA0768.1.LEF1	chr1	143466098	143466112	+	0.000	0.000	Merged-chr1-143466091-51
NR477--MA0768.1.LEF1	chr12	21472605	21472619	-	0.000	0.000	Merged-chr12-21472738-21
NR1378--MA0768.1.LEF1	chr2	6706346	6706360	-	0.000	0.000	Merged-chr2-6706159-91
NR249--MA0768.1.LEF1	chr10	41615634	41615648	+	0.000	0.000	Merged-chr10-41615681-31
NR1047--MA0768.1.LEF1	chr16	58546298	58546312	+	0.000	0.000	Merged-chr16-58546287-56
NR760--MA0768.1.LEF1	chr14	20173902	20173916	+	0.000	0.000	Merged-chr14-20174041-54
NR2532--MA0768.1.LEF1	chr8	86779419	86779433	-	0.000	0.000	Merged-chr8-86779479-38
NR774--MA0768.1.LEF1	chr14	36316954	36316968	-	0.000	0.000	Merged-chr14-36316941-55
NR1102--MA0768.1.LEF1	chr17	12727941	12727955	+	0.000	0.000	Merged-chr17-12727995-27
NR2765--MA0768.1.LEF1	chrX	167101941	167101955	-	0.000	0.000	Merged-chrX-167102061-51
NR1693--MA0768.1.LEF1	chr3	79239389	79239403	+	0.000	0.000	Merged-chr3-79239225-51
NR2210--MA0768.1.LEF1	chr6	82744605	82744619	+	0.000	0.000	Merged-chr6-82744737-54
NR77--MA0768.1.LEF1	chr1	91093481	91093495	-	0.000	0.000	Merged-chr1-91093429-45
NR2309--MA0768.1.LEF1	chr6	142785367	142785381	+	0.000	0.000	Merged-chr6-142785520-28
NR354--MA0768.1.LEF1	chr10	118419238	118419252	+	0.000	0.000	Merged-chr10-118419236-59
NR1009--MA0768.1.LEF1	chr16	33053356	33053370	-	0.000	0.000	Merged-chr16-33053250-22
NR2242--MA0768.1.LEF1	chr6	100841657	100841671	-	0.000	0.000	Merged-chr6-100841733-15
NR1385--MA0768.1.LEF1	chr2	13560675	13560689	-	0.000	0.000	Merged-chr2-13560596-20
NR1139--MA0768.1.LEF1	chr17	48318939	48318953	+	0.000	0.000	Merged-chr17-48318964-29
NR2037--MA0768.1.LEF1	chr5	73236881	73236895	+	0.000	0.000	Merged-chr5-73237054-48
NR1077--MA0768.1.LEF1	chr16	92743981	92743995	+	0.000	0.000	Merged-chr16-92743989-33
NR1095--MA0768.1.LEF1	chr17	6861910	6861924	-	0.000	0.000	Merged-chr17-6861769-90
NR1516--MA0768.1.LEF1	chr2	107005953	107005967	+	0.000	0.000	Merged-chr2-107005967-12
NR736--MA0768.1.LEF1	chr13	117051689	117051703	+	0.000	0.000	Merged-chr13-117051602-40
NR2512--MA0768.1.LEF1	chr8	72291253	72291267	+	0.000	0.000	Merged-chr8-72291225-23
NR1669--MA0768.1.LEF1	chr3	60469294	60469308	-	0.000	0.000	Merged-chr3-60469129-75
NR1002--MA0768.1.LEF1	chr16	30504363	30504377	-	0.000	0.000	Merged-chr16-30504218-43
NR2656--MA0768.1.LEF1	chr9	80082423	80082437	+	0.000	0.000	Merged-chr9-80082362-35
NR2222--MA0768.1.LEF1	chr6	89421746	89421760	-	0.000	0.000	Merged-chr6-89421751-50
NR1034--MA0768.1.LEF1	chr16	50070627	50070641	+	0.000	0.000	Merged-chr16-50070751-51
NR2254--MA0768.1.LEF1	chr6	108512289	108512303	-	0.000	0.000	Merged-chr6-108512233-21
NR1970--MA0768.1.LEF1	chr4	155082287	155082301	+	0.000	0.000	Merged-chr4-155082260-14
NR2487--MA0768.1.LEF1	chr8	35628451	35628465	-	0.000	0.000	Merged-chr8-35628375-52
NR286--MA0768.1.LEF1	chr10	70181036	70181050	-	0.000	0.000	Merged-chr10-70181073-91
NR1989--MA0768.1.LEF1	chr5	22587656	22587670	-	0.000	0.000	Merged-chr5-22587622-39
NR533--MA0768.1.LEF1	chr12	77113669	77113683	-	0.000	0.000	Merged-chr12-77113716-48
NR430--MA0768.1.LEF1	chr11	93995373	93995387	+	0.000	0.000	Merged-chr11-93995310-5
NR2748--MA0768.1.LEF1	chrX	100789426	100789440	-	0.000	0.000	Merged-chrX-100789555-32
NR2533--MA0768.1.LEF1	chr8	88771555	88771569	-	0.000	0.000	Merged-chr8-88771445-24
NR896--MA0768.1.LEF1	chr15	31440134	31440148	-	0.000	0.000	Merged-chr15-31440136-19
NR453--MA0768.1.LEF1	chr11	111056295	111056309	+	0.000	0.000	Merged-chr11-111056370-11
NR798--MA0768.1.LEF1	chr14	54578411	54578425	+	0.000	0.000	Merged-chr14-54578277-39
NR337--MA0768.1.LEF1	chr10	109115278	109115292	-	0.000	0.000	Merged-chr10-109115316-22
NR1238--MA0768.1.LEF1	chr18	56447167	56447181	+	0.000	0.000	Merged-chr18-56447278-50
NR1256--MA0768.1.LEF1	chr18	66453474	66453488	-	0.000	0.000	Merged-chr18-66453430-39
NR467--MA0768.1.LEF1	chr12	3791934	3791948	-	0.000	0.000	Merged-chr12-3791945-40
NR1941--MA0768.1.LEF1	chr4	138089686	138089700	+	0.000	0.000	Merged-chr4-138089649-31
NR2458--MA0768.1.LEF1	chr7	140947310	140947324	-	0.000	0.000	Merged-chr7-140947277-49
NR485--MA0768.1.LEF1	chr12	32099792	32099806	+	0.000	0.000	Merged-chr12-32099741-8
NR270--MA0768.1.LEF1	chr10	59932767	59932781	+	0.000	0.000	Merged-chr10-59932702-41
NR2588--MA0768.1.LEF1	chr9	24413807	24413821	+	0.000	0.000	Merged-chr9-24413892-11
NR2494--MA0768.1.LEF1	chr8	40963186	40963200	-	0.000	0.000	Merged-chr8-40963134-88
NR942--MA0768.1.LEF1	chr15	73182578	73182592	+	0.000	0.000	Merged-chr15-73182706-35
NR1073--MA0768.1.LEF1	chr16	90277000	90277014	-	0.000	0.000	Merged-chr16-90277146-33
NR1651--MA0768.1.LEF1	chr3	37174957	37174971	+	0.000	0.000	Merged-chr3-37174845-28
NR1320--MA0768.1.LEF1	chr19	21785493	21785507	+	0.000	0.000	Merged-chr19-21785424-37
NR406--MA0768.1.LEF1	chr11	64021026	64021040	-	0.000	0.000	Merged-chr11-64021089-15
NR670--MA0768.1.LEF1	chr13	73737017	73737031	-	0.000	0.000	Merged-chr13-73737138-53
NR2755--MA0768.1.LEF1	chrX	132288201	132288215	+	0.000	0.000	Merged-chrX-132288230-18
NR460--MA0768.1.LEF1	chr11	115813916	115813930	+	0.000	0.000	Merged-chr11-115814180-82
NR2107--MA0768.1.LEF1	chr5	124034877	124034891	+	0.000	0.000	Merged-chr5-124034642-47
NR479--MA0768.1.LEF1	chr12	25360063	25360077	+	0.000	0.000	Merged-chr12-25360161-60
NR2143--MA0768.1.LEF1	chr6	5147853	5147867	+	0.000	0.000	Merged-chr6-5148035-17
NR918--MA0768.1.LEF1	chr15	52753837	52753851	+	0.000	0.000	Merged-chr15-52753697-52
NR1725--MA0768.1.LEF1	chr3	101224537	101224551	-	0.000	0.000	Merged-chr3-101224387-31
NR954--MA0768.1.LEF1	chr15	84168876	84168890	-	0.000	0.000	Merged-chr15-84168860-11
NR184--MA0768.1.LEF1	chr1	180390378	180390392	-	0.000	0.000	Merged-chr1-180390562-55
NR2730--MA0768.1.LEF1	chrX	20772011	20772025	-	0.000	0.000	Merged-chrX-20771944-57
NR1873--MA0768.1.LEF1	chr4	59214806	59214820	-	0.000	0.000	Merged-chr4-59214886-25
