#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Bcl6/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-log2fc-1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-log2fc-1_dn.bed
NR1474--MA0463.1.Bcl6	chr4	41295729	41295742	+	0.000	0.000	Merged-chr4-41295781-15
NR586--MA0731.1.BCL6B	chr13	73772828	73772844	+	0.000	0.000	Merged-chr13-73772920-55
NR1913--MA0463.1.Bcl6	chr6	136422639	136422652	+	0.000	0.000	Merged-chr6-136422610-10
NR1931--MA0463.1.Bcl6	chr6	144679130	144679143	+	0.000	0.000	Merged-chr6-144679049-11
NR836--MA0731.1.BCL6B	chr16	23250854	23250870	+	0.000	0.000	Merged-chr16-23250750-42
NR1488--MA0463.1.Bcl6	chr4	54527641	54527654	-	0.000	0.000	Merged-chr4-54527768-19
NR1394--MA0463.1.Bcl6	chr3	126589649	126589662	+	0.000	0.000	Merged-chr3-126589665-27
NR807--MA0463.1.Bcl6	chr15	97606704	97606717	+	0.000	0.000	Merged-chr15-97606857-25
NR740--MA0463.1.Bcl6	chr14	118823413	118823426	-	0.000	0.000	Merged-chr14-118823574-15
NR2342--MA0731.1.BCL6B	chrX	158940984	158941000	+	0.000	0.000	Merged-chrX-158941058-9
NR2288--MA0463.1.Bcl6	chr9	104870756	104870769	+	0.000	0.000	Merged-chr9-104870769-1
NR496--MA0731.1.BCL6B	chr12	98445743	98445759	-	0.000	0.000	Merged-chr12-98445818-15
NR1753--MA0731.1.BCL6B	chr5	134277353	134277369	+	0.000	0.000	Merged-chr5-134277310-4
NR127--MA0731.1.BCL6B	chr1	139179803	139179819	+	0.000	0.000	Merged-chr1-139179878-22
NR665--MA0463.1.Bcl6	chr14	53991442	53991455	-	0.000	0.000	Merged-chr14-53991550-13
NR2325--MA0463.1.Bcl6	chrX	12129234	12129247	-	0.000	0.000	Merged-chrX-12129136-2
NR2209--MA0463.1.Bcl6	chr8	128165795	128165808	-	0.000	0.000	Merged-chr8-128165876-22
NR160--MA0463.1.Bcl6	chr1	164453819	164453832	+	0.000	0.000	Merged-chr1-164453894-15
NR908--MA0463.1.Bcl6	chr17	5814097	5814110	+	0.000	0.000	Merged-chr17-5814048-13
NR297--MA0731.1.BCL6B	chr10	95842886	95842902	-	0.000	0.000	Merged-chr10-95843057-27
NR1934--MA0731.1.BCL6B	chr6	145469503	145469519	+	0.000	0.000	Merged-chr6-145469437-17
NR2129--MA0463.1.Bcl6	chr8	41443766	41443779	-	0.000	0.000	Merged-chr8-41443750-12
NR1520--MA0731.1.BCL6B	chr4	86683518	86683534	+	0.000	0.000	Merged-chr4-86683553-15
NR1424--MA0731.1.BCL6B	chr3	144402253	144402269	-	0.000	0.000	Merged-chr3-144402343-18
NR14--MA0463.1.Bcl6	chr1	30792973	30792986	+	0.000	0.000	Merged-chr1-30793129-16
NR861--MA0731.1.BCL6B	chr16	50315648	50315664	-	0.000	0.000	Merged-chr16-50315651-21
NR731--MA0731.1.BCL6B	chr14	105632236	105632252	+	0.000	0.000	Merged-chr14-105632232-2
NR1425--MA0463.1.Bcl6	chr3	146063290	146063303	-	0.000	0.000	Merged-chr3-146063322-20
NR1111--MA0731.1.BCL6B	chr2	25095309	25095325	+	0.000	0.000	Merged-chr2-25095278-14
NR748--MA0463.1.Bcl6	chr14	122754731	122754744	-	0.000	0.000	Merged-chr14-122754701-5
NR64--MA0463.1.Bcl6	chr1	88578415	88578428	-	0.000	0.000	Merged-chr1-88578300-28
NR1647--MA0731.1.BCL6B	chr5	30916120	30916136	-	0.000	0.000	Merged-chr5-30915994-18
NR561--MA0731.1.BCL6B	chr13	48843577	48843593	+	0.000	0.000	Merged-chr13-48843644-14
NR556--MA0463.1.Bcl6	chr13	40418937	40418950	-	0.000	0.000	Merged-chr13-40418835-1
NR2122--MA0463.1.Bcl6	chr8	35321526	35321539	-	0.000	0.000	Merged-chr8-35321635-19
NR1347--MA0731.1.BCL6B	chr3	84501749	84501765	+	0.000	0.000	Merged-chr3-84501551-10
NR933--MA0463.1.Bcl6	chr17	32386899	32386912	+	0.000	0.000	Merged-chr17-32386992-9
NR1852--MA0463.1.Bcl6	chr6	94690438	94690451	+	0.000	0.000	Merged-chr6-94690537-14
NR2154--MA0463.1.Bcl6	chr8	83131698	83131711	-	0.000	0.000	Merged-chr8-83131891-13
NR755--MA0463.1.Bcl6	chr15	27796718	27796731	+	0.000	0.000	Merged-chr15-27796764-17
NR71--MA0463.1.Bcl6	chr1	91908047	91908060	+	0.000	0.000	Merged-chr1-91908187-5
NR1101--MA0463.1.Bcl6	chr2	18403850	18403863	-	0.000	0.000	Merged-chr2-18403900-7
NR796--MA0463.1.Bcl6	chr15	78579955	78579968	-	0.000	0.000	Merged-chr15-78580091-5
NR795--MA0731.1.BCL6B	chr15	73092882	73092898	-	0.000	0.000	Merged-chr15-73092789-7
NR2031--MA0463.1.Bcl6	chr7	104170073	104170086	-	0.000	0.000	Merged-chr7-104169965-14
NR2123--MA0731.1.BCL6B	chr8	35321526	35321542	-	0.000	0.000	Merged-chr8-35321635-19
NR787--MA0731.1.BCL6B	chr15	64078149	64078165	+	0.000	0.000	Merged-chr15-64078156-8
NR1076--MA0463.1.Bcl6	chr19	41031105	41031118	+	0.000	0.000	Merged-chr19-41031181-46
NR439--MA0731.1.BCL6B	chr12	34249077	34249093	-	0.000	0.000	Merged-chr12-34249045-49
NR525--MA0463.1.Bcl6	chr12	117678925	117678938	+	0.000	0.000	Merged-chr12-117679056-43
NR2346--MA0731.1.BCL6B	chrX	160604100	160604116	+	0.000	0.000	Merged-chrX-160604231-21
NR2150--MA0731.1.BCL6B	chr8	77367069	77367085	+	0.000	0.000	Merged-chr8-77367221-20
NR445--MA0463.1.Bcl6	chr12	41565991	41566004	-	0.000	0.000	Merged-chr12-41565825-5
NR329--MA0463.1.Bcl6	chr11	3931994	3932007	+	0.000	0.000	Merged-chr11-3931934-36
NR150--MA0463.1.Bcl6	chr1	160133897	160133910	-	0.000	0.000	Merged-chr1-160133869-7
NR495--MA0463.1.Bcl6	chr12	98445746	98445759	+	0.000	0.000	Merged-chr12-98445818-15
NR1641--MA0731.1.BCL6B	chr5	23256167	23256183	+	0.000	0.000	Merged-chr5-23256254-4
NR1871--MA0463.1.Bcl6	chr6	114777875	114777888	-	0.000	0.000	Merged-chr6-114777982-17
NR939--MA0463.1.Bcl6	chr17	42999659	42999672	-	0.000	0.000	Merged-chr17-42999862-4
NR1540--MA0463.1.Bcl6	chr4	101998738	101998751	-	0.000	0.000	Merged-chr4-101998677-38
NR1773--MA0463.1.Bcl6	chr5	151416701	151416714	-	0.000	0.000	Merged-chr5-151416725-1
NR1335--MA0463.1.Bcl6	chr3	79254281	79254294	+	0.000	0.000	Merged-chr3-79254113-1
NR1102--MA0731.1.BCL6B	chr2	18403850	18403866	+	0.000	0.000	Merged-chr2-18403900-7
NR1367--MA0463.1.Bcl6	chr3	101929712	101929725	-	0.000	0.000	Merged-chr3-101929538-16
NR1273--MA0463.1.Bcl6	chr2	169398595	169398608	+	0.000	0.000	Merged-chr2-169398588-9
NR2126--MA0463.1.Bcl6	chr8	36030435	36030448	-	0.000	0.000	Merged-chr8-36030382-8
NR1175--MA0463.1.Bcl6	chr2	76421639	76421652	+	0.000	0.000	Merged-chr2-76421582-29
NR2144--MA0463.1.Bcl6	chr8	70809346	70809359	-	0.000	0.000	Merged-chr8-70809462-2
NR386--MA0463.1.Bcl6	chr11	80666516	80666529	+	0.000	0.000	Merged-chr11-80666360-28
NR1490--MA0731.1.BCL6B	chr4	54855896	54855912	-	0.000	0.000	Merged-chr4-54855897-1
NR2149--MA0463.1.Bcl6	chr8	77367069	77367082	-	0.000	0.000	Merged-chr8-77367221-20
NR1251--MA0731.1.BCL6B	chr2	153780614	153780630	+	0.000	0.000	Merged-chr2-153780762-18
NR1995--MA0463.1.Bcl6	chr7	71242528	71242541	+	0.000	0.000	Merged-chr7-71242656-21
NR1749--MA0463.1.Bcl6	chr5	130088187	130088200	-	0.000	0.000	Merged-chr5-130088239-22
NR592--MA0731.1.BCL6B	chr13	84612705	84612721	+	0.000	0.000	Merged-chr13-84612634-1
NR996--MA0463.1.Bcl6	chr18	52410204	52410217	-	0.000	0.000	Merged-chr18-52410134-29
NR558--MA0463.1.Bcl6	chr13	44260136	44260149	+	0.000	0.000	Merged-chr13-44260111-9
NR343--MA0463.1.Bcl6	chr11	22936719	22936732	-	0.000	0.000	Merged-chr11-22936648-30
NR98--MA0463.1.Bcl6	chr1	118403981	118403994	-	0.000	0.000	Merged-chr1-118403887-21
NR2130--MA0731.1.BCL6B	chr8	41443766	41443782	+	0.000	0.000	Merged-chr8-41443750-12
NR97--MA0731.1.BCL6B	chr1	118403928	118403944	+	0.000	0.000	Merged-chr1-118403887-21
NR263--MA0463.1.Bcl6	chr10	75417577	75417590	-	0.000	0.000	Merged-chr10-75417748-37
NR281--MA0463.1.Bcl6	chr10	88346773	88346786	+	0.000	0.000	Merged-chr10-88346697-18
NR1742--MA0463.1.Bcl6	chr5	124907074	124907087	+	0.000	0.000	Merged-chr5-124907107-45
NR953--MA0463.1.Bcl6	chr17	65740379	65740392	-	0.000	0.000	Merged-chr17-65740416-17
NR1541--MA0463.1.Bcl6	chr4	102210083	102210096	+	0.000	0.000	Merged-chr4-102210111-10
NR1774--MA0463.1.Bcl6	chr5	151416847	151416860	-	0.000	0.000	Merged-chr5-151416725-1
NR2188--MA0463.1.Bcl6	chr8	117303936	117303949	+	0.000	0.000	Merged-chr8-117303756-17
NR739--MA0463.1.Bcl6	chr14	118109843	118109856	-	0.000	0.000	Merged-chr14-118109992-14
NR430--MA0463.1.Bcl6	chr12	28699707	28699720	+	0.000	0.000	Merged-chr12-28699931-23
NR1461--MA0463.1.Bcl6	chr4	11404254	11404267	+	0.000	0.000	Merged-chr4-11404244-13
NR1831--MA0731.1.BCL6B	chr6	70103457	70103473	-	0.000	0.000	Merged-chr6-70103466-27
NR2271--MA0731.1.BCL6B	chr9	89842701	89842717	+	0.000	0.000	Merged-chr9-89842601-13
NR444--MA0731.1.BCL6B	chr12	40579987	40580003	+	0.000	0.000	Merged-chr12-40580075-1
NR2207--MA0463.1.Bcl6	chr8	127672146	127672159	-	0.000	0.000	Merged-chr8-127671980-1
NR2225--MA0463.1.Bcl6	chr9	32668470	32668483	+	0.000	0.000	Merged-chr9-32668373-11
NR467--MA0463.1.Bcl6	chr12	75496175	75496188	-	0.000	0.000	Merged-chr12-75496120-14
NR314--MA0731.1.BCL6B	chr10	117859939	117859955	-	0.000	0.000	Merged-chr10-117859986-12
NR293--MA0463.1.Bcl6	chr10	94378508	94378521	+	0.000	0.000	Merged-chr10-94378414-58
NR620--MA0463.1.Bcl6	chr13	110683371	110683384	+	0.000	0.000	Merged-chr13-110683272-3
NR616--MA0463.1.Bcl6	chr13	108045820	108045833	+	0.000	0.000	Merged-chr13-108045887-18
NR1875--MA0463.1.Bcl6	chr6	116287138	116287151	-	0.000	0.000	Merged-chr6-116287137-8
NR1470--MA0731.1.BCL6B	chr4	32869023	32869039	+	0.000	0.000	Merged-chr4-32869066-16
NR1768--MA0463.1.Bcl6	chr5	147697206	147697219	+	0.000	0.000	Merged-chr5-147697335-17
NR1483--MA0731.1.BCL6B	chr4	49568025	49568041	+	0.000	0.000	Merged-chr4-49567834-34
NR1462--MA0731.1.BCL6B	chr4	11404251	11404267	-	0.000	0.000	Merged-chr4-11404244-13
NR1688--MA0463.1.Bcl6	chr5	91960046	91960059	-	0.000	0.000	Merged-chr5-91960197-8
NR2186--MA0731.1.BCL6B	chr8	114986155	114986171	+	0.000	0.000	Merged-chr8-114986195-32
NR590--MA0463.1.Bcl6	chr13	81351846	81351859	-	0.000	0.000	Merged-chr13-81351650-43
NR232--MA0463.1.Bcl6	chr10	39387280	39387293	-	0.000	0.000	Merged-chr10-39387129-14
NR438--MA0463.1.Bcl6	chr12	34249080	34249093	+	0.000	0.000	Merged-chr12-34249045-49
NR1339--MA0463.1.Bcl6	chr3	81102262	81102275	+	0.000	0.000	Merged-chr3-81102418-9
NR1800--MA0463.1.Bcl6	chr6	37564211	37564224	-	0.000	0.000	Merged-chr6-37564158-19
NR559--MA0463.1.Bcl6	chr13	44376071	44376084	+	0.000	0.000	Merged-chr13-44376077-22
