#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-log2fc-1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-log2fc-1_dn.bed
NR1345--MA0591.1.Bach1::Mafk	chr10	58383473	58383487	-	0.000	0.000	Merged-chr10-58383440-43
NR5930--MA0089.1.MAFG::NFE2L1	chr18	75410352	75410357	+	0.000	0.000	Merged-chr18-75410439-27
NR3810--MA0117.2.Mafb	chr14	55540238	55540249	+	0.000	0.000	Merged-chr14-55540407-42
NR5202--MA0117.2.Mafb	chr17	21434023	21434034	-	0.000	0.000	Merged-chr17-21433933-15
NR8465--MA0496.2.MAFK	chr4	41295741	41295759	+	0.000	0.000	Merged-chr4-41295781-15
NR7610--MA0501.1.MAF::NFE2	chr3	9767230	9767244	+	0.000	0.000	Merged-chr3-9767219-17
NR2679--MA0089.1.MAFG::NFE2L1	chr12	86592686	86592691	+	0.000	0.000	Merged-chr12-86592700-17
NR5412--MA0501.1.MAF::NFE2	chr17	65740296	65740310	+	0.000	0.000	Merged-chr17-65740416-17
NR1841--MA0591.1.Bach1::Mafk	chr11	11497910	11497924	+	0.000	0.000	Merged-chr11-11498094-24
NR4030--MA0495.2.MAFF	chr14	101470024	101470044	-	0.000	0.000	Merged-chr14-101470106-24
NR7662--MA0501.1.MAF::NFE2	chr3	28236955	28236969	+	0.000	0.000	Merged-chr3-28236857-20
NR1727--MA0496.2.MAFK	chr10	120628324	120628342	-	0.000	0.000	Merged-chr10-120628264-28
NR12952--MA0117.2.Mafb	chrX	106962323	106962334	+	0.000	0.000	Merged-chrX-106962471-28
NR3946--MA0591.1.Bach1::Mafk	chr14	73170121	73170135	+	0.000	0.000	Merged-chr14-73170198-47
NR2651--MA0089.1.MAFG::NFE2L1	chr12	82225959	82225964	+	0.000	0.000	Merged-chr12-82226104-49
NR627--MA0117.2.Mafb	chr1	138186079	138186090	-	0.000	0.000	Merged-chr1-138186154-28
NR858--MA0591.1.Bach1::Mafk	chr1	170729604	170729618	-	0.000	0.000	Merged-chr1-170729637-43
NR10083--MA0501.1.MAF::NFE2	chr6	53704645	53704659	+	0.000	0.000	Merged-chr6-53704558-10
NR9802--MA0495.2.MAFF	chr5	136550856	136550876	-	0.000	0.000	Merged-chr5-136550897-14
NR1857--MA0496.2.MAFK	chr11	19993173	19993191	+	0.000	0.000	Merged-chr11-19993082-47
NR12863--MA0659.1.MAFG	chrX	42336931	42336951	+	0.000	0.000	Merged-chrX-42336875-23
NR8186--MA0501.1.MAF::NFE2	chr3	138686768	138686782	+	0.000	0.000	Merged-chr3-138686837-12
NR630--MA0501.1.MAF::NFE2	chr1	138571337	138571351	+	0.000	0.000	Merged-chr1-138571231-16
NR11614--MA0089.1.MAFG::NFE2L1	chr8	11203326	11203331	+	0.000	0.000	Merged-chr8-11203491-10
NR2562--MA0089.1.MAFG::NFE2L1	chr12	38929180	38929185	+	0.000	0.000	Merged-chr12-38929031-63
NR6190--MA0089.1.MAFG::NFE2L1	chr19	36364984	36364989	-	0.000	0.000	Merged-chr19-36364955-22
NR12046--MA0496.2.MAFK	chr8	120131863	120131881	-	0.000	0.000	Merged-chr8-120131757-8
NR327--MA0501.1.MAF::NFE2	chr1	84881711	84881725	-	0.000	0.000	Merged-chr1-84881698-12
NR9707--MA0089.1.MAFG::NFE2L1	chr5	118710017	118710022	-	0.000	0.000	Merged-chr5-118710096-15
NR9950--MA0495.2.MAFF	chr6	15726619	15726639	-	0.000	0.000	Merged-chr6-15726718-35
NR9805--MA0501.1.MAF::NFE2	chr5	136550862	136550876	+	0.000	0.000	Merged-chr5-136550897-14
NR12433--MA0501.1.MAF::NFE2	chr9	66615320	66615334	+	0.000	0.000	Merged-chr9-66615364-32
NR4707--MA0495.2.MAFF	chr16	23262323	23262343	-	0.000	0.000	Merged-chr16-23262371-32
NR1140--MA0501.1.MAF::NFE2	chr10	7041181	7041195	-	0.000	0.000	Merged-chr10-7041240-23
NR688--MA0501.1.MAF::NFE2	chr1	152042554	152042568	+	0.000	0.000	Merged-chr1-152042522-12
NR10030--MA0591.1.Bach1::Mafk	chr6	39312040	39312054	-	0.000	0.000	Merged-chr6-39311993-25
NR9952--MA0117.2.Mafb	chr6	15726619	15726630	+	0.000	0.000	Merged-chr6-15726718-35
NR12918--MA0501.1.MAF::NFE2	chrX	94169555	94169569	+	0.000	0.000	Merged-chrX-94169687-15
NR3601--MA0089.1.MAFG::NFE2L1	chr13	113466653	113466658	-	0.000	0.000	Merged-chr13-113466791-29
NR12115--MA0501.1.MAF::NFE2	chr8	126188897	126188911	+	0.000	0.000	Merged-chr8-126188962-13
NR12365--MA0089.1.MAFG::NFE2L1	chr9	56128467	56128472	+	0.000	0.000	Merged-chr9-56128365-14
NR10096--MA0591.1.Bach1::Mafk	chr6	55057584	55057598	+	0.000	0.000	Merged-chr6-55057514-12
NR12866--MA0496.2.MAFK	chrX	42336961	42336979	+	0.000	0.000	Merged-chrX-42336875-23
NR12520--MA0501.1.MAF::NFE2	chr9	82967393	82967407	-	0.000	0.000	Merged-chr9-82967336-26
NR2650--MA0501.1.MAF::NFE2	chr12	81845112	81845126	-	0.000	0.000	Merged-chr12-81845150-28
NR10418--MA0089.1.MAFG::NFE2L1	chr6	114905013	114905018	+	0.000	0.000	Merged-chr6-114905018-60
NR68--MA0089.1.MAFG::NFE2L1	chr1	30793083	30793088	+	0.000	0.000	Merged-chr1-30793129-16
NR4641--MA0501.1.MAF::NFE2	chr16	11286111	11286125	+	0.000	0.000	Merged-chr16-11286053-13
NR10268--MA0591.1.Bach1::Mafk	chr6	91713042	91713056	-	0.000	0.000	Merged-chr6-91712946-25
NR2873--MA0089.1.MAFG::NFE2L1	chr12	110389608	110389613	+	0.000	0.000	Merged-chr12-110389691-32
NR10494--MA0496.2.MAFK	chr6	122447999	122448017	-	0.000	0.000	Merged-chr6-122448134-20
NR1141--MA0591.1.Bach1::Mafk	chr10	7076306	7076320	+	0.000	0.000	Merged-chr10-7076382-12
NR11910--MA0089.1.MAFG::NFE2L1	chr8	94836191	94836196	+	0.000	0.000	Merged-chr8-94836236-13
NR8094--MA0501.1.MAF::NFE2	chr3	130812491	130812505	+	0.000	0.000	Merged-chr3-130812449-10
NR5054--MA0501.1.MAF::NFE2	chr16	92400175	92400189	-	0.000	0.000	Merged-chr16-92400195-21
NR11164--MA0495.2.MAFF	chr7	83597297	83597317	-	0.000	0.000	Merged-chr7-83597333-20
NR9425--MA0089.1.MAFG::NFE2L1	chr5	74476845	74476850	-	0.000	0.000	Merged-chr5-74476772-23
NR8005--MA0089.1.MAFG::NFE2L1	chr3	109732676	109732681	-	0.000	0.000	Merged-chr3-109732646-37
NR1725--MA0495.2.MAFF	chr10	120628323	120628343	-	0.000	0.000	Merged-chr10-120628264-28
NR11243--MA0089.1.MAFG::NFE2L1	chr7	101547951	101547956	+	0.000	0.000	Merged-chr7-101547952-32
NR3421--MA0089.1.MAFG::NFE2L1	chr13	95765285	95765290	+	0.000	0.000	Merged-chr13-95765232-46
NR8237--MA0659.1.MAFG	chr3	146063412	146063432	+	0.000	0.000	Merged-chr3-146063322-20
NR228--MA0089.1.MAFG::NFE2L1	chr1	64305747	64305752	-	0.000	0.000	Merged-chr1-64305701-25
NR3032--MA0495.2.MAFF	chr13	5769747	5769767	+	0.000	0.000	Merged-chr13-5769839-23
NR10079--MA0591.1.Bach1::Mafk	chr6	52825775	52825789	-	0.000	0.000	Merged-chr6-52825813-18
NR4334--MA0117.2.Mafb	chr15	66558971	66558982	-	0.000	0.000	Merged-chr15-66559012-25
NR10507--MA0591.1.Bach1::Mafk	chr6	124683831	124683845	+	0.000	0.000	Merged-chr6-124683900-13
NR12044--MA0495.2.MAFF	chr8	120131862	120131882	-	0.000	0.000	Merged-chr8-120131757-8
NR1260--MA0089.1.MAFG::NFE2L1	chr10	39412910	39412915	+	0.000	0.000	Merged-chr10-39413111-35
NR148--MA0496.2.MAFK	chr1	52274429	52274447	+	0.000	0.000	Merged-chr1-52274408-12
NR10887--MA0659.1.MAFG	chr7	16343735	16343755	-	0.000	0.000	Merged-chr7-16343810-22
NR856--MA0495.2.MAFF	chr1	170729601	170729621	+	0.000	0.000	Merged-chr1-170729637-43
NR400--MA0089.1.MAFG::NFE2L1	chr1	92371810	92371815	+	0.000	0.000	Merged-chr1-92371802-28
NR4778--MA0089.1.MAFG::NFE2L1	chr16	38017281	38017286	-	0.000	0.000	Merged-chr16-38017190-20
NR5749--MA0496.2.MAFK	chr18	53951276	53951294	+	0.000	0.000	Merged-chr18-53951279-47
NR5675--MA0117.2.Mafb	chr18	34259287	34259298	+	0.000	0.000	Merged-chr18-34259286-18
NR8333--MA0591.1.Bach1::Mafk	chr3	155235653	155235667	+	0.000	0.000	Merged-chr3-155235663-12
NR3126--MA0496.2.MAFK	chr13	34096134	34096152	-	0.000	0.000	Merged-chr13-34096039-50
NR6555--MA0501.1.MAF::NFE2	chr2	44953125	44953139	+	0.000	0.000	Merged-chr2-44953031-31
NR4231--MA0591.1.Bach1::Mafk	chr15	41612395	41612409	+	0.000	0.000	Merged-chr15-41612397-47
NR10508--MA0501.1.MAF::NFE2	chr6	124683834	124683848	+	0.000	0.000	Merged-chr6-124683900-13
NR8531--MA0501.1.MAF::NFE2	chr4	57640339	57640353	+	0.000	0.000	Merged-chr4-57640378-35
NR9359--MA0117.2.Mafb	chr5	52609894	52609905	-	0.000	0.000	Merged-chr5-52609918-24
NR8339--MA0501.1.MAF::NFE2	chr3	155235699	155235713	+	0.000	0.000	Merged-chr3-155235663-12
NR1705--MA0591.1.Bach1::Mafk	chr10	118166283	118166297	-	0.000	0.000	Merged-chr10-118166257-15
NR460--MA0659.1.MAFG	chr1	106187695	106187715	-	0.000	0.000	Merged-chr1-106187715-26
NR4029--MA0495.2.MAFF	chr14	101470024	101470044	+	0.000	0.000	Merged-chr14-101470106-24
NR12521--MA0117.2.Mafb	chr9	82967473	82967484	+	0.000	0.000	Merged-chr9-82967336-26
NR3947--MA0089.1.MAFG::NFE2L1	chr14	73175973	73175978	+	0.000	0.000	Merged-chr14-73175814-32
NR1560--MA0496.2.MAFK	chr10	94913465	94913483	-	0.000	0.000	Merged-chr10-94913400-13
NR4640--MA0591.1.Bach1::Mafk	chr16	11286108	11286122	+	0.000	0.000	Merged-chr16-11286053-13
NR86--MA0089.1.MAFG::NFE2L1	chr1	36646461	36646466	+	0.000	0.000	Merged-chr1-36646512-17
NR2639--MA0117.2.Mafb	chr12	80887312	80887323	-	0.000	0.000	Merged-chr12-80887298-29
NR7660--MA0591.1.Bach1::Mafk	chr3	28236952	28236966	+	0.000	0.000	Merged-chr3-28236857-20
NR590--MA0659.1.MAFG	chr1	135873063	135873083	-	0.000	0.000	Merged-chr1-135873175-7
NR10064--MA0591.1.Bach1::Mafk	chr6	50503222	50503236	+	0.000	0.000	Merged-chr6-50503365-20
NR5052--MA0495.2.MAFF	chr16	92400175	92400195	+	0.000	0.000	Merged-chr16-92400195-21
NR1609--MA0089.1.MAFG::NFE2L1	chr10	99592301	99592306	-	0.000	0.000	Merged-chr10-99592304-27
NR12314--MA0501.1.MAF::NFE2	chr9	46083485	46083499	-	0.000	0.000	Merged-chr9-46083625-49
NR9982--MA0591.1.Bach1::Mafk	chr6	30227526	30227540	-	0.000	0.000	Merged-chr6-30227395-32
NR3127--MA0591.1.Bach1::Mafk	chr13	34114636	34114650	+	0.000	0.000	Merged-chr13-34114809-14
NR1357--MA0117.2.Mafb	chr10	60028309	60028320	-	0.000	0.000	Merged-chr10-60028260-54
NR1142--MA0117.2.Mafb	chr10	7076368	7076379	+	0.000	0.000	Merged-chr10-7076382-12
NR103--MA0591.1.Bach1::Mafk	chr1	40847727	40847741	-	0.000	0.000	Merged-chr1-40847809-27
NR3406--MA0591.1.Bach1::Mafk	chr13	92639333	92639347	+	0.000	0.000	Merged-chr13-92639220-17
NR1346--MA0496.2.MAFK	chr10	58383471	58383489	+	0.000	0.000	Merged-chr10-58383440-43
NR4583--MA0089.1.MAFG::NFE2L1	chr15	100189188	100189193	+	0.000	0.000	Merged-chr15-100189073-42
NR591--MA0501.1.MAF::NFE2	chr1	135873069	135873083	+	0.000	0.000	Merged-chr1-135873175-7
NR8331--MA0495.2.MAFF	chr3	155235650	155235670	-	0.000	0.000	Merged-chr3-155235663-12
NR7997--MA0501.1.MAF::NFE2	chr3	108975159	108975173	+	0.000	0.000	Merged-chr3-108975255-11
NR10197--MA0591.1.Bach1::Mafk	chr6	73268197	73268211	-	0.000	0.000	Merged-chr6-73268077-15
NR7597--MA0659.1.MAFG	chr3	8971766	8971786	+	0.000	0.000	Merged-chr3-8971852-23
NR4708--MA0591.1.Bach1::Mafk	chr16	23262326	23262340	-	0.000	0.000	Merged-chr16-23262371-32
NR5233--MA0089.1.MAFG::NFE2L1	chr17	26518579	26518584	+	0.000	0.000	Merged-chr17-26518491-6
NR1855--MA0659.1.MAFG	chr11	19993172	19993192	+	0.000	0.000	Merged-chr11-19993082-47
NR7607--MA0089.1.MAFG::NFE2L1	chr3	9767229	9767234	+	0.000	0.000	Merged-chr3-9767219-17
NR8472--MA0117.2.Mafb	chr4	42965604	42965615	+	0.000	0.000	Merged-chr4-42965581-38
NR10888--MA0501.1.MAF::NFE2	chr7	16343741	16343755	+	0.000	0.000	Merged-chr7-16343810-22
NR6753--MA0089.1.MAFG::NFE2L1	chr2	83746474	83746479	+	0.000	0.000	Merged-chr2-83746640-22
NR11368--MA0496.2.MAFK	chr7	118104854	118104872	-	0.000	0.000	Merged-chr7-118104738-1,Merged-chr7-118105003-9
NR3392--MA0591.1.Bach1::Mafk	chr13	90101698	90101712	-	0.000	0.000	Merged-chr13-90101603-11
NR8925--MA0089.1.MAFG::NFE2L1	chr4	130774593	130774598	-	0.000	0.000	Merged-chr4-130774769-43
NR11485--MA0089.1.MAFG::NFE2L1	chr7	130893287	130893292	+	0.000	0.000	Merged-chr7-130893114-41
NR11048--MA0117.2.Mafb	chr7	64158958	64158969	+	0.000	0.000	Merged-chr7-64158985-48
NR8007--MA0117.2.Mafb	chr3	109740671	109740682	+	0.000	0.000	Merged-chr3-109740806-11
NR2414--MA0591.1.Bach1::Mafk	chr11	120888815	120888829	-	0.000	0.000	Merged-chr11-120888924-18
NR11167--MA0496.2.MAFK	chr7	83597298	83597316	+	0.000	0.000	Merged-chr7-83597333-20
NR6662--MA0089.1.MAFG::NFE2L1	chr2	65818664	65818669	+	0.000	0.000	Merged-chr2-65818542-58
NR4232--MA0501.1.MAF::NFE2	chr15	41612398	41612412	+	0.000	0.000	Merged-chr15-41612397-47
NR3133--MA0501.1.MAF::NFE2	chr13	36203183	36203197	+	0.000	0.000	Merged-chr13-36203222-10
NR1554--MA0495.2.MAFF	chr10	94913464	94913484	+	0.000	0.000	Merged-chr10-94913400-13
NR12114--MA0591.1.Bach1::Mafk	chr8	126188894	126188908	+	0.000	0.000	Merged-chr8-126188962-13
NR857--MA0089.1.MAFG::NFE2L1	chr1	170729601	170729606	-	0.000	0.000	Merged-chr1-170729637-43
NR1858--MA0496.2.MAFK	chr11	19993173	19993191	-	0.000	0.000	Merged-chr11-19993082-47
NR12864--MA0659.1.MAFG	chrX	42336931	42336951	-	0.000	0.000	Merged-chrX-42336875-23
NR12892--MA0501.1.MAF::NFE2	chrX	71622524	71622538	+	0.000	0.000	Merged-chrX-71622436-27
NR2152--MA0089.1.MAFG::NFE2L1	chr11	88589378	88589383	+	0.000	0.000	Merged-chr11-88589590-30
NR2874--MA0117.2.Mafb	chr12	110389695	110389706	+	0.000	0.000	Merged-chr12-110389691-32
NR2891--MA0591.1.Bach1::Mafk	chr12	112449503	112449517	-	0.000	0.000	Merged-chr12-112449427-68
NR1270--MA0591.1.Bach1::Mafk	chr10	40688547	40688561	+	0.000	0.000	Merged-chr10-40688620-20
NR4031--MA0496.2.MAFK	chr14	101470025	101470043	+	0.000	0.000	Merged-chr14-101470106-24
NR11660--MA0496.2.MAFK	chr8	22537098	22537116	-	0.000	0.000	Merged-chr8-22537059-19
NR8464--MA0501.1.MAF::NFE2	chr4	41295746	41295760	+	0.000	0.000	Merged-chr4-41295781-15
NR11121--MA0659.1.MAFG	chr7	79301003	79301023	+	0.000	0.000	Merged-chr7-79300921-71
NR5164--MA0089.1.MAFG::NFE2L1	chr17	8209931	8209936	-	0.000	0.000	Merged-chr17-8210146-46
NR4547--MA0591.1.Bach1::Mafk	chr15	95276864	95276878	+	0.000	0.000	Merged-chr15-95276729-22
NR2788--MA0495.2.MAFF	chr12	102588572	102588592	+	0.000	0.000	Merged-chr12-102588735-27
NR3544--MA0659.1.MAFG	chr13	108763560	108763580	+	0.000	0.000	Merged-chr13-108763497-25
NR457--MA0495.2.MAFF	chr1	106187695	106187715	+	0.000	0.000	Merged-chr1-106187715-26
NR461--MA0496.2.MAFK	chr1	106187696	106187714	+	0.000	0.000	Merged-chr1-106187715-26
NR12867--MA0496.2.MAFK	chrX	42336932	42336950	-	0.000	0.000	Merged-chrX-42336875-23
NR11226--MA0089.1.MAFG::NFE2L1	chr7	97067531	97067536	-	0.000	0.000	Merged-chr7-97067401-28
NR9953--MA0591.1.Bach1::Mafk	chr6	15726622	15726636	-	0.000	0.000	Merged-chr6-15726718-35
NR5753--MA0089.1.MAFG::NFE2L1	chr18	55176221	55176226	+	0.000	0.000	Merged-chr18-55176275-18
NR9683--MA0089.1.MAFG::NFE2L1	chr5	115474452	115474457	-	0.000	0.000	Merged-chr5-115474524-35
NR10398--MA0089.1.MAFG::NFE2L1	chr6	108895611	108895616	-	0.000	0.000	Merged-chr6-108895381-27
NR171--MA0089.1.MAFG::NFE2L1	chr1	55489689	55489694	-	0.000	0.000	Merged-chr1-55489612-12
NR12140--MA0089.1.MAFG::NFE2L1	chr8	126828233	126828238	+	0.000	0.000	Merged-chr8-126828287-16
NR4380--MA0591.1.Bach1::Mafk	chr15	73423160	73423174	+	0.000	0.000	Merged-chr15-73423381-101
NR9803--MA0591.1.Bach1::Mafk	chr5	136550859	136550873	+	0.000	0.000	Merged-chr5-136550897-14
NR10006--MA0089.1.MAFG::NFE2L1	chr6	33004674	33004679	+	0.000	0.000	Merged-chr6-33004502-19
NR1152--MA0501.1.MAF::NFE2	chr10	7826314	7826328	-	0.000	0.000	Merged-chr10-7826287-40
NR8977--MA0501.1.MAF::NFE2	chr4	138884315	138884329	-	0.000	0.000	Merged-chr4-138884426-16
NR11124--MA0496.2.MAFK	chr7	79301004	79301022	+	0.000	0.000	Merged-chr7-79300921-71
NR5055--MA0496.2.MAFK	chr16	92400176	92400194	+	0.000	0.000	Merged-chr16-92400195-21
NR4146--MA0501.1.MAF::NFE2	chr15	6129947	6129961	+	0.000	0.000	Merged-chr15-6129923-16
NR2372--MA0089.1.MAFG::NFE2L1	chr11	117109852	117109857	+	0.000	0.000	Merged-chr11-117109823-31
NR4848--MA0089.1.MAFG::NFE2L1	chr16	52056338	52056343	-	0.000	0.000	Merged-chr16-52056435-19
NR8852--MA0089.1.MAFG::NFE2L1	chr4	120044808	120044813	-	0.000	0.000	Merged-chr4-120044912-16
NR4733--MA0089.1.MAFG::NFE2L1	chr16	30678489	30678494	+	0.000	0.000	Merged-chr16-30678432-4
NR2083--MA0089.1.MAFG::NFE2L1	chr11	77446737	77446742	-	0.000	0.000	Merged-chr11-77446738-31
NR2164--MA0117.2.Mafb	chr11	90464107	90464118	-	0.000	0.000	Merged-chr11-90464265-32
NR5864--MA0089.1.MAFG::NFE2L1	chr18	65327387	65327392	-	0.000	0.000	Merged-chr18-65327246-34
NR8238--MA0659.1.MAFG	chr3	146063412	146063432	-	0.000	0.000	Merged-chr3-146063322-20
NR2298--MA0089.1.MAFG::NFE2L1	chr11	109357021	109357026	-	0.000	0.000	Merged-chr11-109356957-22
NR6607--MA0501.1.MAF::NFE2	chr2	53668775	53668789	+	0.000	0.000	Merged-chr2-53668715-25
NR3033--MA0495.2.MAFF	chr13	5769747	5769767	-	0.000	0.000	Merged-chr13-5769839-23
NR1556--MA0089.1.MAFG::NFE2L1	chr10	94913476	94913481	+	0.000	0.000	Merged-chr10-94913400-13
NR2169--MA0591.1.Bach1::Mafk	chr11	90576720	90576734	+	0.000	0.000	Merged-chr11-90576690-20
NR8240--MA0496.2.MAFK	chr3	146063413	146063431	-	0.000	0.000	Merged-chr3-146063322-20
NR149--MA0496.2.MAFK	chr1	52274429	52274447	-	0.000	0.000	Merged-chr1-52274408-12
NR2989--MA0089.1.MAFG::NFE2L1	chr12	117712719	117712724	-	0.000	0.000	Merged-chr12-117712681-21
NR2171--MA0496.2.MAFK	chr11	90576718	90576736	+	0.000	0.000	Merged-chr11-90576690-20
NR1180--MA0501.1.MAF::NFE2	chr10	15300269	15300283	-	0.000	0.000	Merged-chr10-15300322-38
NR2585--MA0089.1.MAFG::NFE2L1	chr12	54353155	54353160	-	0.000	0.000	Merged-chr12-54353201-29
NR6750--MA0496.2.MAFK	chr2	83700796	83700814	-	0.000	0.000	Merged-chr2-83700891-43
NR10890--MA0496.2.MAFK	chr7	16343736	16343754	-	0.000	0.000	Merged-chr7-16343810-22
NR6412--MA0089.1.MAFG::NFE2L1	chr2	14055737	14055742	-	0.000	0.000	Merged-chr2-14055781-42
NR6191--MA0591.1.Bach1::Mafk	chr19	36364977	36364991	-	0.000	0.000	Merged-chr19-36364955-22
NR9579--MA0501.1.MAF::NFE2	chr5	100622686	100622700	+	0.000	0.000	Merged-chr5-100622533-21
NR1666--MA0117.2.Mafb	chr10	111719771	111719782	+	0.000	0.000	Merged-chr10-111719810-23
NR10215--MA0591.1.Bach1::Mafk	chr6	83478974	83478988	-	0.000	0.000	Merged-chr6-83478852-15
NR7462--MA0501.1.MAF::NFE2	chr2	168525598	168525612	-	0.000	0.000	Merged-chr2-168525389-54
NR10007--MA0501.1.MAF::NFE2	chr6	33004675	33004689	+	0.000	0.000	Merged-chr6-33004502-19
NR7041--MA0591.1.Bach1::Mafk	chr2	118491264	118491278	+	0.000	0.000	Merged-chr2-118491236-48
NR4944--MA0591.1.Bach1::Mafk	chr16	76341851	76341865	-	0.000	0.000	Merged-chr16-76341927-28
NR2792--MA0659.1.MAFG	chr12	102588572	102588592	+	0.000	0.000	Merged-chr12-102588735-27
NR8097--MA0501.1.MAF::NFE2	chr3	130905293	130905307	+	0.000	0.000	Merged-chr3-130905343-29
NR1706--MA0501.1.MAF::NFE2	chr10	118166280	118166294	-	0.000	0.000	Merged-chr10-118166257-15
NR4710--MA0496.2.MAFK	chr16	23262324	23262342	-	0.000	0.000	Merged-chr16-23262371-32
NR4060--MA0089.1.MAFG::NFE2L1	chr14	104517095	104517100	+	0.000	0.000	Merged-chr14-104517244-7
NR8642--MA0117.2.Mafb	chr4	88998479	88998490	+	0.000	0.000	Merged-chr4-88998396-38
NR793--MA0089.1.MAFG::NFE2L1	chr1	162557486	162557491	-	0.000	0.000	Merged-chr1-162557712-25
NR11140--MA0089.1.MAFG::NFE2L1	chr7	80828641	80828646	-	0.000	0.000	Merged-chr7-80828687-47
NR1134--MA0591.1.Bach1::Mafk	chr10	6953282	6953296	+	0.000	0.000	Merged-chr10-6953351-6
NR9806--MA0496.2.MAFK	chr5	136550857	136550875	+	0.000	0.000	Merged-chr5-136550897-14
