#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-log2fc-1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-log2fc-1_up.bed
NR29825--MA0599.1.KLF5	chr18	62922253	62922262	+	0.000	0.000	Merged-chr18-62922354-54
NR28689--MA0741.1.KLF16	chr17	87602382	87602392	+	0.000	0.000	Merged-chr17-87602344-31
NR65278--MA0599.1.KLF5	chr9	119453539	119453548	-	0.000	0.000	Merged-chr9-119453486-15
NR16136--MA0741.1.KLF16	chr13	51388102	51388112	-	0.000	0.000	Merged-chr13-51388076-1
NR32351--MA0493.1.Klf1	chr19	57388634	57388644	+	0.000	0.000	Merged-chr19-57388487-14
NR39636--MA0599.1.KLF5	chr3	108284064	108284073	-	0.000	0.000	Merged-chr3-108284126-29
NR61832--MA0741.1.KLF16	chr9	20636562	20636572	+	0.000	0.000	Merged-chr9-20636444-23
NR64187--MA1107.1.KLF9	chr9	98755059	98755071	+	0.000	0.000	Merged-chr9-98754922-2
NR7610--MA0039.3.KLF4	chr10	118766023	118766033	-	0.000	0.000	Merged-chr10-118766153-45
NR52699--MA0740.1.KLF14	chr6	122491809	122491822	+	0.000	0.000	Merged-chr6-122491726-37
NR55130--MA1107.1.KLF9	chr7	30717489	30717501	+	0.000	0.000	Merged-chr7-30717543-30
NR5417--MA0039.3.KLF4	chr10	61233351	61233361	+	0.000	0.000	Merged-chr10-61233317-40
NR64300--MA0599.1.KLF5	chr9	102852592	102852601	-	0.000	0.000	Merged-chr9-102852625-20
NR22364--MA0741.1.KLF16	chr15	84663195	84663205	+	0.000	0.000	Merged-chr15-84663201-26
NR14108--MA0741.1.KLF16	chr12	94262061	94262071	-	0.000	0.000	Merged-chr12-94261994-1
NR12277--MA0493.1.Klf1	chr11	116688053	116688063	-	0.000	0.000	Merged-chr11-116688042-60
NR51563--MA1107.1.KLF9	chr6	72841927	72841939	+	0.000	0.000	Merged-chr6-72841906-9
NR59906--MA1107.1.KLF9	chr8	77268562	77268574	+	0.000	0.000	Merged-chr8-77268341-22
NR30272--MA0741.1.KLF16	chr18	75247016	75247026	+	0.000	0.000	Merged-chr18-75247078-14
NR2543--MA0599.1.KLF5	chr1	152733292	152733301	+	0.000	0.000	Merged-chr1-152733286-16
NR31239--MA0493.1.Klf1	chr19	16956023	16956033	+	0.000	0.000	Merged-chr19-16955982-11
NR50133--MA1107.1.KLF9	chr5	148266885	148266897	-	0.000	0.000	Merged-chr5-148266957-7
NR28851--MA0493.1.Klf1	chr18	5941449	5941459	+	0.000	0.000	Merged-chr18-5941516-3
NR39639--MA0741.1.KLF16	chr3	108284063	108284073	-	0.000	0.000	Merged-chr3-108284126-29
NR60767--MA0741.1.KLF16	chr8	114342648	114342658	-	0.000	0.000	Merged-chr8-114342588-5
NR24034--MA0039.3.KLF4	chr16	23549182	23549192	+	0.000	0.000	Merged-chr16-23549215-2
NR24970--MA1107.1.KLF9	chr16	84620102	84620114	+	0.000	0.000	Merged-chr16-84619977-8
NR15709--MA0741.1.KLF16	chr13	30154474	30154484	+	0.000	0.000	Merged-chr13-30154580-19
NR60164--MA0493.1.Klf1	chr8	85515499	85515509	-	0.000	0.000	Merged-chr8-85515665-21
NR42287--MA1107.1.KLF9	chr4	55343391	55343403	+	0.000	0.000	Merged-chr4-55343422-62
NR15592--MA0599.1.KLF5	chr13	24468070	24468079	-	0.000	0.000	Merged-chr13-24467982-34
NR29861--MA0599.1.KLF5	chr18	65322465	65322474	-	0.000	0.000	Merged-chr18-65322333-46
NR66358--MA1107.1.KLF9	chrX	99135988	99136000	+	0.000	0.000	Merged-chrX-99136067-62
NR20870--MA0740.1.KLF14	chr15	25696039	25696052	-	0.000	0.000	Merged-chr15-25696018-37
NR13165--MA1107.1.KLF9	chr12	35770598	35770610	+	0.000	0.000	Merged-chr12-35770526-40
NR66341--MA0740.1.KLF14	chrX	99042495	99042508	+	0.000	0.000	Merged-chrX-99042663-22
NR13841--MA1107.1.KLF9	chr12	82166462	82166474	-	0.000	0.000	Merged-chr12-82166286-58
NR6799--MA0741.1.KLF16	chr10	94087495	94087505	+	0.000	0.000	Merged-chr10-94087553-20
NR59089--MA0742.1.Klf12	chr8	40963168	40963182	-	0.000	0.000	Merged-chr8-40963134-88
NR52206--MA0741.1.KLF16	chr6	106981294	106981304	-	0.000	0.000	Merged-chr6-106981432-3
NR28761--MA1107.1.KLF9	chr17	88480559	88480571	-	0.000	0.000	Merged-chr17-88480530-23
NR40877--MA0039.3.KLF4	chr3	146063219	146063229	-	0.000	0.000	Merged-chr3-146063322-20
NR51952--MA0741.1.KLF16	chr6	91156752	91156762	-	0.000	0.000	Merged-chr6-91156791-33
NR45638--MA0493.1.Klf1	chr5	5573937	5573947	-	0.000	0.000	Merged-chr5-5574084-22
NR16324--MA0599.1.KLF5	chr13	55199728	55199737	-	0.000	0.000	Merged-chr13-55199787-10
NR5364--MA1107.1.KLF9	chr10	60225620	60225632	+	0.000	0.000	Merged-chr10-60225461-7
NR17936--MA0039.3.KLF4	chr13	112809921	112809931	+	0.000	0.000	Merged-chr13-112809842-36
NR31731--MA1107.1.KLF9	chr19	40821548	40821560	+	0.000	0.000	Merged-chr19-40821418-1
NR24032--MA0742.1.Klf12	chr16	23549180	23549194	+	0.000	0.000	Merged-chr16-23549215-2
NR15590--MA0741.1.KLF16	chr13	24467828	24467838	+	0.000	0.000	Merged-chr13-24467982-34
NR61008--MA0493.1.Klf1	chr8	119678718	119678728	+	0.000	0.000	Merged-chr8-119678653-6
NR15591--MA1107.1.KLF9	chr13	24467827	24467839	+	0.000	0.000	Merged-chr13-24467982-34
NR54190--MA0742.1.Klf12	chr7	4964459	4964473	+	0.000	0.000	Merged-chr7-4964465-28
NR65054--MA0493.1.Klf1	chr9	117107910	117107920	+	0.000	0.000	Merged-chr9-117107972-1
NR42834--MA0493.1.Klf1	chr4	102908262	102908272	-	0.000	0.000	Merged-chr4-102908208-33
NR7485--MA0742.1.Klf12	chr10	117651083	117651097	-	0.000	0.000	Merged-chr10-117651194-26
NR16221--MA0599.1.KLF5	chr13	52915434	52915443	-	0.000	0.000	Merged-chr13-52915528-4
NR20053--MA0742.1.Klf12	chr14	101504726	101504740	+	0.000	0.000	Merged-chr14-101504867-40
NR13801--MA0740.1.KLF14	chr12	80885787	80885800	-	0.000	0.000	Merged-chr12-80885869-36
NR31242--MA0742.1.Klf12	chr19	16998095	16998109	-	0.000	0.000	Merged-chr19-16998164-33
NR55944--MA0741.1.KLF16	chr7	68205950	68205960	-	0.000	0.000	Merged-chr7-68206033-25
NR14393--MA0657.1.KLF13	chr12	103865521	103865538	+	0.000	0.000	Merged-chr12-103865547-1
NR53819--MA0039.3.KLF4	chr6	144890402	144890412	+	0.000	0.000	Merged-chr6-144890317-11
NR33357--MA0599.1.KLF5	chr2	31860940	31860949	-	0.000	0.000	Merged-chr2-31860876-1
NR7442--MA0599.1.KLF5	chr10	117118630	117118639	-	0.000	0.000	Merged-chr10-117118585-40
NR51713--MA0741.1.KLF16	chr6	84473459	84473469	-	0.000	0.000	Merged-chr6-84473454-1
NR50129--MA1107.1.KLF9	chr5	148266877	148266889	-	0.000	0.000	Merged-chr5-148266957-7
NR34684--MA0599.1.KLF5	chr2	94263629	94263638	+	0.000	0.000	Merged-chr2-94263643-18
NR62426--MA0741.1.KLF16	chr9	42423876	42423886	+	0.000	0.000	Merged-chr9-42423784-11
NR40243--MA0599.1.KLF5	chr3	129879505	129879514	-	0.000	0.000	Merged-chr3-129879420-1
