#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tbx21/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-log2fc-1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-log2fc-1_up.bed
NR558--MA0690.1.TBX21	chr13	5979609	5979618	+	0.000	0.000	Merged-chr13-5979653-26
NR266--MA0690.1.TBX21	chr10	67112130	67112139	+	0.000	0.000	Merged-chr10-67112116-37
NR1523--MA0690.1.TBX21	chr3	157884025	157884034	-	0.000	0.000	Merged-chr3-157884103-23
NR1563--MA0690.1.TBX21	chr4	88692663	88692672	-	0.000	0.000	Merged-chr4-88692699-24
NR1608--MA0690.1.TBX21	chr4	133614459	133614468	-	0.000	0.000	Merged-chr4-133614553-6
NR1141--MA0690.1.TBX21	chr19	30924251	30924260	+	0.000	0.000	Merged-chr19-30924347-34
NR1839--MA0690.1.TBX21	chr6	65614110	65614119	-	0.000	0.000	Merged-chr6-65614178-7
NR1154--MA0690.1.TBX21	chr19	43896238	43896247	+	0.000	0.000	Merged-chr19-43896459-20
NR1003--MA0690.1.TBX21	chr17	62883801	62883810	-	0.000	0.000	Merged-chr17-62883780-66
NR2088--MA0690.1.TBX21	chr7	142114093	142114102	-	0.000	0.000	Merged-chr7-142113991-20
NR976--MA0690.1.TBX21	chr17	32483470	32483479	+	0.000	0.000	Merged-chr17-32483416-20
NR1200--MA0690.1.TBX21	chr2	31612910	31612919	+	0.000	0.000	Merged-chr2-31612988-19
NR1181--MA0690.1.TBX21	chr2	17597878	17597887	+	0.000	0.000	Merged-chr2-17597899-18
NR846--MA0690.1.TBX21	chr15	84168898	84168907	-	0.000	0.000	Merged-chr15-84168860-11
NR1226--MA0690.1.TBX21	chr2	57102488	57102497	-	0.000	0.000	Merged-chr2-57102684-19
NR1295--MA0690.1.TBX21	chr2	131145643	131145652	+	0.000	0.000	Merged-chr2-131145703-8
NR990--MA0690.1.TBX21	chr17	47171340	47171349	+	0.000	0.000	Merged-chr17-47171280-54
NR371--MA0690.1.TBX21	chr11	43703695	43703704	-	0.000	0.000	Merged-chr11-43703862-10
NR1069--MA0690.1.TBX21	chr18	54839259	54839268	-	0.000	0.000	Merged-chr18-54839071-1
NR873--MA0690.1.TBX21	chr16	10814998	10815007	+	0.000	0.000	Merged-chr16-10815093-30
NR613--MA0690.1.TBX21	chr13	81705651	81705660	+	0.000	0.000	Merged-chr13-81705633-6
NR599--MA0690.1.TBX21	chr13	55199740	55199749	-	0.000	0.000	Merged-chr13-55199787-10
NR2044--MA0690.1.TBX21	chr7	117404642	117404651	+	0.000	0.000	Merged-chr7-117404576-18
NR1107--MA0690.1.TBX21	chr18	83465362	83465371	-	0.000	0.000	Merged-chr18-83465273-18
NR523--MA0690.1.TBX21	chr12	101053560	101053569	-	0.000	0.000	Merged-chr12-101053641-9
NR2246--MA0690.1.TBX21	chr9	50548083	50548092	+	0.000	0.000	Merged-chr9-50548118-48
NR1971--MA0690.1.TBX21	chr7	24452283	24452292	+	0.000	0.000	Merged-chr7-24452185-33
NR127--MA0690.1.TBX21	chr1	152008858	152008867	+	0.000	0.000	Merged-chr1-152008952-65
NR2238--MA0690.1.TBX21	chr9	43238898	43238907	-	0.000	0.000	Merged-chr9-43238844-1
NR228--MA0690.1.TBX21	chr10	21504658	21504667	+	0.000	0.000	Merged-chr10-21504659-28
NR1411--MA0690.1.TBX21	chr3	83997251	83997260	-	0.000	0.000	Merged-chr3-83997240-19
NR329--MA0690.1.TBX21	chr10	120697393	120697402	-	0.000	0.000	Merged-chr10-120697518-32
NR1939--MA0690.1.TBX21	chr6	144332304	144332313	+	0.000	0.000	Merged-chr6-144332292-25
NR1982--MA0690.1.TBX21	chr7	35178391	35178400	+	0.000	0.000	Merged-chr7-35178409-12
NR1103--MA0690.1.TBX21	chr18	82493052	82493061	+	0.000	0.000	Merged-chr18-82492983-14
NR1844--MA0690.1.TBX21	chr6	67184845	67184854	-	0.000	0.000	Merged-chr6-67184785-39
NR1422--MA0690.1.TBX21	chr3	95909423	95909432	-	0.000	0.000	Merged-chr3-95909537-31
NR784--MA0690.1.TBX21	chr15	12606612	12606621	-	0.000	0.000	Merged-chr15-12606518-21
NR1828--MA0690.1.TBX21	chr6	50553124	50553133	-	0.000	0.000	Merged-chr6-50553342-12
NR981--MA0690.1.TBX21	chr17	44432985	44432994	-	0.000	0.000	Merged-chr17-44432942-14
NR1257--MA0690.1.TBX21	chr2	102812925	102812934	-	0.000	0.000	Merged-chr2-102812992-26
NR1475--MA0690.1.TBX21	chr3	142533283	142533292	+	0.000	0.000	Merged-chr3-142533345-44
NR822--MA0690.1.TBX21	chr15	66994541	66994550	-	0.000	0.000	Merged-chr15-66994727-12
NR739--MA0690.1.TBX21	chr14	78559106	78559115	+	0.000	0.000	Merged-chr14-78559223-28
NR1087--MA0690.1.TBX21	chr18	75043936	75043945	-	0.000	0.000	Merged-chr18-75044050-32
NR782--MA0690.1.TBX21	chr15	9567653	9567662	+	0.000	0.000	Merged-chr15-9567519-26
NR1196--MA0690.1.TBX21	chr2	29753035	29753044	-	0.000	0.000	Merged-chr2-29753036-13
NR1467--MA0690.1.TBX21	chr3	136630076	136630085	-	0.000	0.000	Merged-chr3-136630225-22
NR814--MA0690.1.TBX21	chr15	62390383	62390392	+	0.000	0.000	Merged-chr15-62390498-8
NR155--MA0690.1.TBX21	chr1	171966203	171966212	-	0.000	0.000	Merged-chr1-171966306-50
NR644--MA0690.1.TBX21	chr13	101533205	101533214	+	0.000	0.000	Merged-chr13-101533206-46
NR915--MA0690.1.TBX21	chr16	58703502	58703511	-	0.000	0.000	Merged-chr16-58703563-32
NR1329--MA0690.1.TBX21	chr2	153122021	153122030	-	0.000	0.000	Merged-chr2-153122050-10
NR2083--MA0690.1.TBX21	chr7	140324189	140324198	-	0.000	0.000	Merged-chr7-140324353-33
NR1840--MA0690.1.TBX21	chr6	65614123	65614132	-	0.000	0.000	Merged-chr6-65614178-7
NR2359--MA0690.1.TBX21	chrX	159447265	159447274	-	0.000	0.000	Merged-chrX-159447377-17
NR2216--MA0690.1.TBX21	chr9	13563743	13563752	+	0.000	0.000	Merged-chr9-13563926-45
NR2272--MA0690.1.TBX21	chr9	66294988	66294997	-	0.000	0.000	Merged-chr9-66295082-25
NR1811--MA0690.1.TBX21	chr6	17901289	17901298	+	0.000	0.000	Merged-chr6-17901265-19
NR2059--MA0690.1.TBX21	chr7	125511522	125511531	+	0.000	0.000	Merged-chr7-125511628-40
NR166--MA0690.1.TBX21	chr1	177455597	177455606	+	0.000	0.000	Merged-chr1-177455545-12
NR1946--MA0690.1.TBX21	chr6	147224856	147224865	+	0.000	0.000	Merged-chr6-147225038-4
NR2256--MA0690.1.TBX21	chr9	57346435	57346444	+	0.000	0.000	Merged-chr9-57346292-13
