#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tbx21/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-log2fc-1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-log2fc-1_dn.bed
NR913--MA0690.1.TBX21	chr17	74073606	74073615	-	0.000	0.000	Merged-chr17-74073546-8
NR88--MA0690.1.TBX21	chr1	138843413	138843422	+	0.000	0.000	Merged-chr1-138843569-18
NR1579--MA0690.1.TBX21	chr5	146757450	146757459	+	0.000	0.000	Merged-chr5-146757539-9
NR1035--MA0690.1.TBX21	chr19	40665958	40665967	+	0.000	0.000	Merged-chr19-40666029-20
NR777--MA0690.1.TBX21	chr16	11502682	11502691	+	0.000	0.000	Merged-chr16-11502658-14
NR1014--MA0690.1.TBX21	chr19	10934861	10934870	-	0.000	0.000	Merged-chr19-10934831-6
NR865--MA0690.1.TBX21	chr17	23748324	23748333	-	0.000	0.000	Merged-chr17-23748319-15
NR1136--MA0690.1.TBX21	chr2	73346543	73346552	+	0.000	0.000	Merged-chr2-73346607-35
NR706--MA0690.1.TBX21	chr15	38122283	38122292	+	0.000	0.000	Merged-chr15-38122272-49
NR2092--MA0690.1.TBX21	chrX	13552555	13552564	+	0.000	0.000	Merged-chrX-13552455-23
NR1631--MA0690.1.TBX21	chr6	72644706	72644715	+	0.000	0.000	Merged-chr6-72644677-18
NR106--MA0690.1.TBX21	chr1	156923093	156923102	-	0.000	0.000	Merged-chr1-156923049-12
NR2068--MA0690.1.TBX21	chr9	117925007	117925016	-	0.000	0.000	Merged-chr9-117925055-43
NR2039--MA0690.1.TBX21	chr9	105499677	105499686	-	0.000	0.000	Merged-chr9-105499679-15
NR308--MA0690.1.TBX21	chr11	51898928	51898937	+	0.000	0.000	Merged-chr11-51898870-27
NR1708--MA0690.1.TBX21	chr6	146387257	146387266	-	0.000	0.000	Merged-chr6-146387186-17
NR1480--MA0690.1.TBX21	chr5	33520472	33520481	+	0.000	0.000	Merged-chr5-33520453-4
NR1639--MA0690.1.TBX21	chr6	86871951	86871960	+	0.000	0.000	Merged-chr6-86871933-13
NR1443--MA0690.1.TBX21	chr4	132389441	132389450	+	0.000	0.000	Merged-chr4-132389358-16
NR641--MA0690.1.TBX21	chr14	67951871	67951880	-	0.000	0.000	Merged-chr14-67951902-1
NR1326--MA0690.1.TBX21	chr3	139033342	139033351	+	0.000	0.000	Merged-chr3-139033383-15
NR1815--MA0690.1.TBX21	chr7	118500314	118500323	-	0.000	0.000	Merged-chr7-118500296-3
NR1034--MA0690.1.TBX21	chr19	40665903	40665912	-	0.000	0.000	Merged-chr19-40666029-20
NR471--MA0690.1.TBX21	chr12	107963069	107963078	-	0.000	0.000	Merged-chr12-107963174-17
NR11--MA0690.1.TBX21	chr1	39559170	39559179	+	0.000	0.000	Merged-chr1-39559167-24
NR1135--MA0690.1.TBX21	chr2	72874337	72874346	+	0.000	0.000	Merged-chr2-72874420-46
NR102--MA0690.1.TBX21	chr1	153645481	153645490	-	0.000	0.000	Merged-chr1-153645501-10
NR1082--MA0690.1.TBX21	chr2	25148090	25148099	-	0.000	0.000	Merged-chr2-25148103-14
NR1215--MA0690.1.TBX21	chr2	168429753	168429762	-	0.000	0.000	Merged-chr2-168429700-17
NR2091--MA0690.1.TBX21	chrX	9207343	9207352	-	0.000	0.000	Merged-chrX-9207301-14
NR758--MA0690.1.TBX21	chr15	93298520	93298529	-	0.000	0.000	Merged-chr15-93298411-30
NR349--MA0690.1.TBX21	chr11	83657676	83657685	+	0.000	0.000	Merged-chr11-83657668-22
NR458--MA0690.1.TBX21	chr12	102641790	102641799	+	0.000	0.000	Merged-chr12-102641833-10
NR1920--MA0690.1.TBX21	chr8	115070291	115070300	-	0.000	0.000	Merged-chr8-115070439-32
NR1532--MA0690.1.TBX21	chr5	107533901	107533910	-	0.000	0.000	Merged-chr5-107533890-8
