#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-log2fc-1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-log2fc-1_dn.bed
NR580--MA0089.1.MAFG::NFE2L1	chr1	144206465	144206470	-	0.000	0.000	Merged-chr1-144206482-15
NR4473--MA0591.1.Bach1::Mafk	chr15	86051283	86051297	-	0.000	0.000	Merged-chr15-86051383-21
NR93--MA0495.2.MAFF	chr1	36162981	36163001	-	0.000	0.000	Merged-chr1-36162898-20
NR5106--MA0496.2.MAFK	chr17	12759435	12759453	-	0.000	0.000	Merged-chr17-12759489-26
NR10495--MA0659.1.MAFG	chr7	25107335	25107355	+	0.000	0.000	Merged-chr7-25107253-25
NR5480--MA0089.1.MAFG::NFE2L1	chr17	86123299	86123304	+	0.000	0.000	Merged-chr17-86123282-19
NR9502--MA0495.2.MAFF	chr5	146655355	146655375	+	0.000	0.000	Merged-chr5-146655552-37
NR173--MA0591.1.Bach1::Mafk	chr1	53970753	53970767	-	0.000	0.000	Merged-chr1-53970777-7
NR9824--MA0089.1.MAFG::NFE2L1	chr6	72644785	72644790	+	0.000	0.000	Merged-chr6-72644677-18
NR6621--MA0089.1.MAFG::NFE2L1	chr2	73547503	73547508	+	0.000	0.000	Merged-chr2-73547425-29
NR2502--MA0089.1.MAFG::NFE2L1	chr12	8854550	8854555	+	0.000	0.000	Merged-chr12-8854460-15
NR6465--MA0496.2.MAFK	chr2	34945757	34945775	+	0.000	0.000	Merged-chr2-34945759-18
NR2339--MA0495.2.MAFF	chr11	109744078	109744098	+	0.000	0.000	Merged-chr11-109744155-21
NR7261--MA0089.1.MAFG::NFE2L1	chr2	164868596	164868601	+	0.000	0.000	Merged-chr2-164868622-33
NR10957--MA0659.1.MAFG	chr7	116409582	116409602	-	0.000	0.000	Merged-chr7-116409560-37
NR12018--MA0089.1.MAFG::NFE2L1	chr9	66821353	66821358	+	0.000	0.000	Merged-chr9-66821220-22
NR4443--MA0495.2.MAFF	chr15	82906877	82906897	-	0.000	0.000	Merged-chr15-82906941-10
NR192--MA0501.1.MAF::NFE2	chr1	58734252	58734266	-	0.000	0.000	Merged-chr1-58734414-54
NR4548--MA0659.1.MAFG	chr15	100265724	100265744	-	0.000	0.000	Merged-chr15-100265875-19
NR2224--MA0089.1.MAFG::NFE2L1	chr11	95356989	95356994	-	0.000	0.000	Merged-chr11-95356897-59
NR11062--MA0089.1.MAFG::NFE2L1	chr7	128062740	128062745	-	0.000	0.000	Merged-chr7-128062681-13
NR12479--MA0659.1.MAFG	chrX	77801762	77801782	-	0.000	0.000	Merged-chrX-77801758-16
NR11277--MA0117.2.Mafb	chr8	35678099	35678110	-	0.000	0.000	Merged-chr8-35678032-30
NR5110--MA0089.1.MAFG::NFE2L1	chr17	13564969	13564974	-	0.000	0.000	Merged-chr17-13564978-21
NR4550--MA0496.2.MAFK	chr15	100265725	100265743	-	0.000	0.000	Merged-chr15-100265875-19
NR2539--MA0089.1.MAFG::NFE2L1	chr12	25209010	25209015	-	0.000	0.000	Merged-chr12-25209047-25
NR4704--MA0501.1.MAF::NFE2	chr16	30024847	30024861	-	0.000	0.000	Merged-chr16-30024852-47
NR9624--MA0501.1.MAF::NFE2	chr6	29196427	29196441	+	0.000	0.000	Merged-chr6-29196328-17
NR4416--MA0591.1.Bach1::Mafk	chr15	78170815	78170829	-	0.000	0.000	Merged-chr15-78170895-5
NR1319--MA0089.1.MAFG::NFE2L1	chr10	75536262	75536267	+	0.000	0.000	Merged-chr10-75536310-39
NR6137--MA0591.1.Bach1::Mafk	chr19	41366769	41366783	-	0.000	0.000	Merged-chr19-41366765-21
NR6459--MA0591.1.Bach1::Mafk	chr2	34945759	34945773	+	0.000	0.000	Merged-chr2-34945759-18
NR10252--MA0501.1.MAF::NFE2	chr6	137535765	137535779	+	0.000	0.000	Merged-chr6-137535864-11
NR8626--MA0089.1.MAFG::NFE2L1	chr4	134547510	134547515	+	0.000	0.000	Merged-chr4-134547498-8
NR9642--MA0089.1.MAFG::NFE2L1	chr6	30804860	30804865	-	0.000	0.000	Merged-chr6-30804874-26
NR6163--MA0089.1.MAFG::NFE2L1	chr19	45579250	45579255	+	0.000	0.000	Merged-chr19-45579112-22
NR10251--MA0591.1.Bach1::Mafk	chr6	137535762	137535776	+	0.000	0.000	Merged-chr6-137535864-11
NR6301--MA0496.2.MAFK	chr2	3742586	3742604	+	0.000	0.000	Merged-chr2-3742681-34
NR6061--MA0089.1.MAFG::NFE2L1	chr19	24527539	24527544	-	0.000	0.000	Merged-chr19-24527365-48
NR9825--MA0591.1.Bach1::Mafk	chr6	72644783	72644797	+	0.000	0.000	Merged-chr6-72644677-18
NR12412--MA0089.1.MAFG::NFE2L1	chrX	13552560	13552565	-	0.000	0.000	Merged-chrX-13552455-23
NR3853--MA0591.1.Bach1::Mafk	chr14	62851116	62851130	-	0.000	0.000	Merged-chr14-62851095-38
NR1024--MA0089.1.MAFG::NFE2L1	chr10	8415554	8415559	-	0.000	0.000	Merged-chr10-8415419-33
NR11485--MA0659.1.MAFG	chr8	94812834	94812854	+	0.000	0.000	Merged-chr8-94812976-23
NR6122--MA0591.1.Bach1::Mafk	chr19	37110697	37110711	+	0.000	0.000	Merged-chr19-37110576-17
NR96--MA0496.2.MAFK	chr1	36162982	36163000	-	0.000	0.000	Merged-chr1-36162898-20
NR10566--MA0089.1.MAFG::NFE2L1	chr7	47095174	47095179	-	0.000	0.000	Merged-chr7-47095108-11
NR2453--MA0089.1.MAFG::NFE2L1	chr11	119352198	119352203	-	0.000	0.000	Merged-chr11-119352427-33
NR7218--MA0496.2.MAFK	chr2	157190847	157190865	+	0.000	0.000	Merged-chr2-157190874-9
NR6298--MA0591.1.Bach1::Mafk	chr2	3742588	3742602	+	0.000	0.000	Merged-chr2-3742681-34
NR3609--MA0089.1.MAFG::NFE2L1	chr13	113227325	113227330	-	0.000	0.000	Merged-chr13-113227278-10
NR9082--MA0089.1.MAFG::NFE2L1	chr5	67437667	67437672	+	0.000	0.000	Merged-chr5-67437495-24
NR11488--MA0496.2.MAFK	chr8	94812835	94812853	+	0.000	0.000	Merged-chr8-94812976-23
NR11895--MA0089.1.MAFG::NFE2L1	chr9	45294384	45294389	+	0.000	0.000	Merged-chr9-45294452-56
NR9582--MA0495.2.MAFF	chr6	8641035	8641055	-	0.000	0.000	Merged-chr6-8641126-10
NR10958--MA0496.2.MAFK	chr7	116409583	116409601	+	0.000	0.000	Merged-chr7-116409560-37
NR2226--MA0501.1.MAF::NFE2	chr11	95356969	95356983	-	0.000	0.000	Merged-chr11-95356897-59
NR9093--MA0089.1.MAFG::NFE2L1	chr5	73199824	73199829	-	0.000	0.000	Merged-chr5-73199876-43
NR3754--MA0591.1.Bach1::Mafk	chr14	36726368	36726382	+	0.000	0.000	Merged-chr14-36726349-9
NR2133--MA0591.1.Bach1::Mafk	chr11	83657706	83657720	+	0.000	0.000	Merged-chr11-83657668-22
NR5991--MA0591.1.Bach1::Mafk	chr19	10497697	10497711	+	0.000	0.000	Merged-chr19-10497777-4
NR12477--MA0591.1.Bach1::Mafk	chrX	77801765	77801779	-	0.000	0.000	Merged-chrX-77801758-16
NR8956--MA0117.2.Mafb	chr5	24629960	24629971	-	0.000	0.000	Merged-chr5-24629894-16
NR10494--MA0495.2.MAFF	chr7	25107335	25107355	-	0.000	0.000	Merged-chr7-25107253-25
NR10496--MA0659.1.MAFG	chr7	25107335	25107355	-	0.000	0.000	Merged-chr7-25107253-25
NR11481--MA0495.2.MAFF	chr8	94812834	94812854	+	0.000	0.000	Merged-chr8-94812976-23
NR12535--MA0501.1.MAF::NFE2	chrX	114474092	114474106	+	0.000	0.000	Merged-chrX-114474330-36
NR5703--MA0501.1.MAF::NFE2	chr18	50022526	50022540	-	0.000	0.000	Merged-chr18-50022640-10
NR9503--MA0495.2.MAFF	chr5	146655355	146655375	-	0.000	0.000	Merged-chr5-146655552-37
NR2341--MA0501.1.MAF::NFE2	chr11	109744078	109744092	-	0.000	0.000	Merged-chr11-109744155-21
NR2134--MA0501.1.MAF::NFE2	chr11	83657709	83657723	+	0.000	0.000	Merged-chr11-83657668-22
NR11912--MA0089.1.MAFG::NFE2L1	chr9	53436215	53436220	+	0.000	0.000	Merged-chr9-53436232-20
NR6426--MA0089.1.MAFG::NFE2L1	chr2	32875155	32875160	+	0.000	0.000	Merged-chr2-32875161-7
NR6051--MA0501.1.MAF::NFE2	chr19	21946595	21946609	+	0.000	0.000	Merged-chr19-21946684-18
NR6466--MA0496.2.MAFK	chr2	34945757	34945775	-	0.000	0.000	Merged-chr2-34945759-18
NR9803--MA0089.1.MAFG::NFE2L1	chr6	70709430	70709435	+	0.000	0.000	Merged-chr6-70709572-48
NR7142--MA0659.1.MAFG	chr2	150840384	150840404	-	0.000	0.000	Merged-chr2-150840392-23
NR3712--MA0089.1.MAFG::NFE2L1	chr14	23465383	23465388	+	0.000	0.000	Merged-chr14-23465360-30
NR3755--MA0501.1.MAF::NFE2	chr14	36726371	36726385	+	0.000	0.000	Merged-chr14-36726349-9
NR4291--MA0591.1.Bach1::Mafk	chr15	59520697	59520711	-	0.000	0.000	Merged-chr15-59520520-55
NR4176--MA0089.1.MAFG::NFE2L1	chr15	31117446	31117451	-	0.000	0.000	Merged-chr15-31117559-26
NR6299--MA0659.1.MAFG	chr2	3742585	3742605	+	0.000	0.000	Merged-chr2-3742681-34
NR9458--MA0591.1.Bach1::Mafk	chr5	140637021	140637035	-	0.000	0.000	Merged-chr5-140636895-23
NR4428--MA0117.2.Mafb	chr15	80582788	80582799	+	0.000	0.000	Merged-chr15-80582931-41
NR170--MA0496.2.MAFK	chr1	53945958	53945976	+	0.000	0.000	Merged-chr1-53945969-15
NR5661--MA0117.2.Mafb	chr18	39185925	39185936	-	0.000	0.000	Merged-chr18-39185847-29
NR5996--MA0089.1.MAFG::NFE2L1	chr19	10816681	10816686	+	0.000	0.000	Merged-chr19-10816684-5
NR4292--MA0501.1.MAF::NFE2	chr15	59520694	59520708	-	0.000	0.000	Merged-chr15-59520520-55
NR5669--MA0501.1.MAF::NFE2	chr18	39835789	39835803	+	0.000	0.000	Merged-chr18-39835954-30
NR6461--MA0659.1.MAFG	chr2	34945756	34945776	+	0.000	0.000	Merged-chr2-34945759-18
NR6142--MA0089.1.MAFG::NFE2L1	chr19	41769188	41769193	+	0.000	0.000	Merged-chr19-41769129-25
NR10147--MA0089.1.MAFG::NFE2L1	chr6	127575435	127575440	-	0.000	0.000	Merged-chr6-127575169-36
NR6302--MA0496.2.MAFK	chr2	3742586	3742604	-	0.000	0.000	Merged-chr2-3742681-34
NR94--MA0591.1.Bach1::Mafk	chr1	36162984	36162998	+	0.000	0.000	Merged-chr1-36162898-20
NR11061--MA0089.1.MAFG::NFE2L1	chr7	128062742	128062747	+	0.000	0.000	Merged-chr7-128062681-13
NR12019--MA0591.1.Bach1::Mafk	chr9	66821341	66821355	+	0.000	0.000	Merged-chr9-66821220-22
NR4537--MA0501.1.MAF::NFE2	chr15	99154893	99154907	+	0.000	0.000	Merged-chr15-99154930-7
NR5296--MA0117.2.Mafb	chr17	50070336	50070347	+	0.000	0.000	Merged-chr17-50070273-24
NR6463--MA0501.1.MAF::NFE2	chr2	34945762	34945776	+	0.000	0.000	Merged-chr2-34945759-18
NR10497--MA0496.2.MAFK	chr7	25107336	25107354	+	0.000	0.000	Merged-chr7-25107253-25
NR9641--MA0089.1.MAFG::NFE2L1	chr6	30804862	30804867	+	0.000	0.000	Merged-chr6-30804874-26
NR4545--MA0495.2.MAFF	chr15	100265724	100265744	+	0.000	0.000	Merged-chr15-100265875-19
NR9074--MA0501.1.MAF::NFE2	chr5	65850960	65850974	+	0.000	0.000	Merged-chr5-65850971-35
NR7214--MA0591.1.Bach1::Mafk	chr2	157190849	157190863	-	0.000	0.000	Merged-chr2-157190874-9
NR1613--MA0117.2.Mafb	chr10	117982690	117982701	-	0.000	0.000	Merged-chr10-117982814-16
NR7219--MA0496.2.MAFK	chr2	157190847	157190865	-	0.000	0.000	Merged-chr2-157190874-9
NR4547--MA0117.2.Mafb	chr15	100265733	100265744	-	0.000	0.000	Merged-chr15-100265875-19
NR8117--MA0495.2.MAFF	chr4	6218826	6218846	+	0.000	0.000	Merged-chr4-6219032-9
NR4492--MA0089.1.MAFG::NFE2L1	chr15	93298315	93298320	+	0.000	0.000	Merged-chr15-93298411-30
NR1314--MA0089.1.MAFG::NFE2L1	chr10	75146211	75146216	-	0.000	0.000	Merged-chr10-75146347-53
NR11489--MA0496.2.MAFK	chr8	94812835	94812853	-	0.000	0.000	Merged-chr8-94812976-23
NR5993--MA0496.2.MAFK	chr19	10497695	10497713	+	0.000	0.000	Merged-chr19-10497777-4
NR4617--MA0089.1.MAFG::NFE2L1	chr16	11502729	11502734	-	0.000	0.000	Merged-chr16-11502658-14
NR10959--MA0496.2.MAFK	chr7	116409583	116409601	-	0.000	0.000	Merged-chr7-116409560-37
NR4355--MA0117.2.Mafb	chr15	66558971	66558982	-	0.000	0.000	Merged-chr15-66559012-25
NR9865--MA0089.1.MAFG::NFE2L1	chr6	86594870	86594875	-	0.000	0.000	Merged-chr6-86595040-14
NR9272--MA0089.1.MAFG::NFE2L1	chr5	105541195	105541200	+	0.000	0.000	Merged-chr5-105541026-23
NR1268--MA0591.1.Bach1::Mafk	chr10	62247914	62247928	-	0.000	0.000	Merged-chr10-62247968-20
NR4430--MA0501.1.MAF::NFE2	chr15	80582788	80582802	-	0.000	0.000	Merged-chr15-80582931-41
NR12435--MA0089.1.MAFG::NFE2L1	chrX	50565195	50565200	-	0.000	0.000	Merged-chrX-50565283-19
NR7217--MA0501.1.MAF::NFE2	chr2	157190846	157190860	-	0.000	0.000	Merged-chr2-157190874-9
NR2702--MA0501.1.MAF::NFE2	chr12	81845112	81845126	-	0.000	0.000	Merged-chr12-81845150-28
NR9485--MA0089.1.MAFG::NFE2L1	chr5	143561770	143561775	-	0.000	0.000	Merged-chr5-143561800-6
NR7212--MA0495.2.MAFF	chr2	157190846	157190866	+	0.000	0.000	Merged-chr2-157190874-9
NR11026--MA0089.1.MAFG::NFE2L1	chr7	125423153	125423158	-	0.000	0.000	Merged-chr7-125423125-27
NR5668--MA0089.1.MAFG::NFE2L1	chr18	39835788	39835793	+	0.000	0.000	Merged-chr18-39835954-30
