#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-log2fc-1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-log2fc-1_dn.bed
NR2366--MA0741.1.KLF16	chr1	135818771	135818781	+	0.000	0.000	Merged-chr1-135818684-27
NR14376--MA0741.1.KLF16	chr12	87130510	87130520	+	0.000	0.000	Merged-chr12-87130424-26
NR57363--MA0493.1.Klf1	chr7	81454606	81454616	+	0.000	0.000	Merged-chr7-81454544-19
NR28255--MA0599.1.KLF5	chr17	73246954	73246963	-	0.000	0.000	Merged-chr17-73247076-30
NR15259--MA0493.1.Klf1	chr12	112629101	112629111	-	0.000	0.000	Merged-chr12-112629266-49
NR14304--MA0599.1.KLF5	chr12	84851601	84851610	+	0.000	0.000	Merged-chr12-84851532-12
NR52527--MA0741.1.KLF16	chr6	70103427	70103437	+	0.000	0.000	Merged-chr6-70103466-27
NR56139--MA0741.1.KLF16	chr7	30353580	30353590	-	0.000	0.000	Merged-chr7-30353555-8
NR53693--MA0493.1.Klf1	chr6	116682496	116682506	-	0.000	0.000	Merged-chr6-116682504-22
NR58720--MA0740.1.KLF14	chr7	123189953	123189966	+	0.000	0.000	Merged-chr7-123189982-13
NR65769--MA0493.1.Klf1	chr9	104373476	104373486	-	0.000	0.000	Merged-chr9-104373447-21
NR39245--MA0493.1.Klf1	chr3	69156742	69156752	-	0.000	0.000	Merged-chr3-69156652-55
NR63808--MA1107.1.KLF9	chr9	37236218	37236230	-	0.000	0.000	Merged-chr9-37236124-32
NR9859--MA0740.1.KLF14	chr11	54936433	54936446	-	0.000	0.000	Merged-chr11-54936551-30
NR14191--MA0657.1.KLF13	chr12	81845121	81845138	-	0.000	0.000	Merged-chr12-81845150-28
NR60815--MA0741.1.KLF16	chr8	61606944	61606954	+	0.000	0.000	Merged-chr8-61607091-30
NR41482--MA0039.3.KLF4	chr3	143379405	143379415	+	0.000	0.000	Merged-chr3-143379316-24
NR11584--MA0741.1.KLF16	chr11	97018708	97018718	-	0.000	0.000	Merged-chr11-97018776-25
NR28703--MA0599.1.KLF5	chr17	85800116	85800125	-	0.000	0.000	Merged-chr17-85800006-20
NR18560--MA0493.1.Klf1	chr14	7929181	7929191	-	0.000	0.000	Merged-chr14-7929252-11
NR13441--MA0039.3.KLF4	chr12	33220641	33220651	-	0.000	0.000	Merged-chr12-33220672-27
NR21310--MA1107.1.KLF9	chr15	30662274	30662286	-	0.000	0.000	Merged-chr15-30662184-17
NR62865--MA0742.1.Klf12	chr8	122769454	122769468	-	0.000	0.000	Merged-chr8-122769435-21
NR4621--MA0657.1.KLF13	chr1	193146632	193146649	-	0.000	0.000	Merged-chr1-193146532-29
NR5631--MA0039.3.KLF4	chr10	58480172	58480182	-	0.000	0.000	Merged-chr10-58480234-23
NR65031--MA0599.1.KLF5	chr9	77456725	77456734	+	0.000	0.000	Merged-chr9-77456588-28
NR8113--MA0741.1.KLF16	chr10	119218836	119218846	-	0.000	0.000	Merged-chr10-119218704-23
NR56743--MA1107.1.KLF9	chr7	49494867	49494879	-	0.000	0.000	Merged-chr7-49494921-17
NR17278--MA0742.1.Klf12	chr13	89521652	89521666	+	0.000	0.000	Merged-chr13-89521757-30
NR34610--MA1107.1.KLF9	chr2	70425765	70425777	+	0.000	0.000	Merged-chr2-70425902-24
NR56272--MA0740.1.KLF14	chr7	35056702	35056715	-	0.000	0.000	Merged-chr7-35056859-1
NR47486--MA0599.1.KLF5	chr5	36945268	36945277	-	0.000	0.000	Merged-chr5-36945334-10
NR40093--MA1107.1.KLF9	chr3	101066374	101066386	-	0.000	0.000	Merged-chr3-101066330-34
NR452--MA0741.1.KLF16	chr1	39702701	39702711	-	0.000	0.000	Merged-chr1-39702774-23
NR62320--MA1107.1.KLF9	chr8	110929498	110929510	-	0.000	0.000	Merged-chr8-110929357-31
NR33085--MA0741.1.KLF16	chr2	11416283	11416293	+	0.000	0.000	Merged-chr2-11416392-15
NR62869--MA0741.1.KLF16	chr8	122769451	122769461	-	0.000	0.000	Merged-chr8-122769435-21
NR18555--MA0039.3.KLF4	chr14	7864735	7864745	-	0.000	0.000	Merged-chr14-7864865-9
NR33997--MA0742.1.Klf12	chr2	36091472	36091486	+	0.000	0.000	Merged-chr2-36091401-36
NR4623--MA0741.1.KLF16	chr1	193146637	193146647	-	0.000	0.000	Merged-chr1-193146532-29
NR24156--MA0599.1.KLF5	chr16	29814189	29814198	+	0.000	0.000	Merged-chr16-29814134-35
NR7750--MA0599.1.KLF5	chr10	111560043	111560052	-	0.000	0.000	Merged-chr10-111560148-13
NR11324--MA0741.1.KLF16	chr11	88595866	88595876	+	0.000	0.000	Merged-chr11-88595910-28
NR23587--MA0740.1.KLF14	chr16	8455398	8455411	+	0.000	0.000	Merged-chr16-8455328-28
NR17279--MA0599.1.KLF5	chr13	89521653	89521662	+	0.000	0.000	Merged-chr13-89521757-30
NR54571--MA0740.1.KLF14	chr6	140684616	140684629	+	0.000	0.000	Merged-chr6-140684445-39
NR51667--MA0599.1.KLF5	chr6	28878189	28878198	-	0.000	0.000	Merged-chr6-28878211-33
NR60511--MA0742.1.Klf12	chr8	36249516	36249530	+	0.000	0.000	Merged-chr8-36249558-6
NR22545--MA0599.1.KLF5	chr15	83009224	83009233	-	0.000	0.000	Merged-chr15-83009288-27
NR28166--MA0741.1.KLF16	chr17	71118812	71118822	-	0.000	0.000	Merged-chr17-71118704-30
NR7723--MA0493.1.Klf1	chr10	111102965	111102975	+	0.000	0.000	Merged-chr10-111102896-60
NR24164--MA1107.1.KLF9	chr16	30722575	30722587	-	0.000	0.000	Merged-chr16-30722513-29
NR34607--MA0493.1.Klf1	chr2	70425765	70425775	+	0.000	0.000	Merged-chr2-70425902-24
NR37176--MA0657.1.KLF13	chr2	156482461	156482478	-	0.000	0.000	Merged-chr2-156482364-23
NR14465--MA1107.1.KLF9	chr12	91803171	91803183	-	0.000	0.000	Merged-chr12-91803305-23
NR37588--MA0742.1.Klf12	chr2	165983252	165983266	-	0.000	0.000	Merged-chr2-165983267-1
NR41628--MA0599.1.KLF5	chr3	146045207	146045216	-	0.000	0.000	Merged-chr3-146045142-29
NR4822--MA0740.1.KLF14	chr10	7212241	7212254	-	0.000	0.000	Merged-chr10-7212223-140
NR56273--MA0657.1.KLF13	chr7	35056699	35056716	-	0.000	0.000	Merged-chr7-35056859-1
NR28926--MA0741.1.KLF16	chr17	88668542	88668552	+	0.000	0.000	Merged-chr17-88668603-31
NR18668--MA0740.1.KLF14	chr14	19042613	19042626	-	0.000	0.000	Merged-chr14-19042517-33
NR37590--MA0493.1.Klf1	chr2	165983256	165983266	-	0.000	0.000	Merged-chr2-165983267-1
NR24262--MA0741.1.KLF16	chr16	33745252	33745262	-	0.000	0.000	Merged-chr16-33745427-22
NR67435--MA0493.1.Klf1	chrX	57189590	57189600	-	0.000	0.000	Merged-chrX-57189507-26
NR49270--MA0741.1.KLF16	chr5	113164891	113164901	+	0.000	0.000	Merged-chr5-113165071-16
NR31583--MA0740.1.KLF14	chr19	17268912	17268925	+	0.000	0.000	Merged-chr19-17268849-24
NR40667--MA1107.1.KLF9	chr3	121872950	121872962	+	0.000	0.000	Merged-chr3-121872910-8
NR35602--MA0039.3.KLF4	chr2	106194516	106194526	-	0.000	0.000	Merged-chr2-106194531-13
NR52196--MA0742.1.Klf12	chr6	51612635	51612649	+	0.000	0.000	Merged-chr6-51612673-21
NR3994--MA0741.1.KLF16	chr1	182764210	182764220	-	0.000	0.000	Merged-chr1-182764155-66
NR41636--MA1107.1.KLF9	chr3	146045217	146045229	-	0.000	0.000	Merged-chr3-146045142-29
NR8402--MA0599.1.KLF5	chr10	122755185	122755194	-	0.000	0.000	Merged-chr10-122755211-20
NR11330--MA1107.1.KLF9	chr11	88595865	88595877	+	0.000	0.000	Merged-chr11-88595910-28
NR37018--MA0599.1.KLF5	chr2	153325879	153325888	-	0.000	0.000	Merged-chr2-153325949-22
NR11425--MA0741.1.KLF16	chr11	94160909	94160919	-	0.000	0.000	Merged-chr11-94160657-19
NR54009--MA0039.3.KLF4	chr6	125468296	125468306	+	0.000	0.000	Merged-chr6-125468241-50
NR18937--MA1107.1.KLF9	chr14	31556324	31556336	-	0.000	0.000	Merged-chr14-31556211-33
NR11582--MA0599.1.KLF5	chr11	97018709	97018718	-	0.000	0.000	Merged-chr11-97018776-25
NR37016--MA0740.1.KLF14	chr2	153325876	153325889	-	0.000	0.000	Merged-chr2-153325949-22
NR60880--MA1107.1.KLF9	chr8	67860356	67860368	+	0.000	0.000	Merged-chr8-67860375-11
NR453--MA1107.1.KLF9	chr1	39702679	39702691	-	0.000	0.000	Merged-chr1-39702774-23
NR45674--MA0493.1.Klf1	chr4	139086349	139086359	+	0.000	0.000	Merged-chr4-139086245-11
NR1127--MA0599.1.KLF5	chr1	75234770	75234779	+	0.000	0.000	Merged-chr1-75234858-28
NR61970--MA1107.1.KLF9	chr8	95833257	95833269	+	0.000	0.000	Merged-chr8-95833320-2
NR66572--MA0740.1.KLF14	chr9	118512856	118512869	-	0.000	0.000	Merged-chr9-118512920-16
NR959--MA0741.1.KLF16	chr1	69331685	69331695	+	0.000	0.000	Merged-chr1-69331775-34
NR58763--MA1107.1.KLF9	chr7	125034713	125034725	-	0.000	0.000	Merged-chr7-125034795-1
NR56140--MA1107.1.KLF9	chr7	30353579	30353591	-	0.000	0.000	Merged-chr7-30353555-8
NR48049--MA0599.1.KLF5	chr5	73223277	73223286	+	0.000	0.000	Merged-chr5-73223278-33
NR38439--MA0493.1.Klf1	chr3	9500017	9500027	-	0.000	0.000	Merged-chr3-9499976-58
NR38506--MA0741.1.KLF16	chr3	18054896	18054906	+	0.000	0.000	Merged-chr3-18054823-5
NR10139--MA0599.1.KLF5	chr11	61231502	61231511	-	0.000	0.000	Merged-chr11-61231556-8
NR56280--MA0599.1.KLF5	chr7	35119050	35119059	-	0.000	0.000	Merged-chr7-35119008-87
NR62864--MA0740.1.KLF14	chr8	122769455	122769468	-	0.000	0.000	Merged-chr8-122769435-21
NR4503--MA1107.1.KLF9	chr1	191486768	191486780	-	0.000	0.000	Merged-chr1-191486758-12
NR29296--MA0039.3.KLF4	chr18	32311869	32311879	-	0.000	0.000	Merged-chr18-32311918-36
NR21840--MA0657.1.KLF13	chr15	66558934	66558951	+	0.000	0.000	Merged-chr15-66559012-25
NR38438--MA0039.3.KLF4	chr3	9500015	9500025	-	0.000	0.000	Merged-chr3-9499976-58
NR567--MA0742.1.Klf12	chr1	43766412	43766426	+	0.000	0.000	Merged-chr1-43766514-14
NR64452--MA1107.1.KLF9	chr9	61779365	61779377	+	0.000	0.000	Merged-chr9-61779248-32
NR23899--MA1107.1.KLF9	chr16	18733717	18733729	-	0.000	0.000	Merged-chr16-18733506-32
NR13302--MA0741.1.KLF16	chr12	24830838	24830848	-	0.000	0.000	Merged-chr12-24830940-1
NR4825--MA0741.1.KLF16	chr10	7212243	7212253	-	0.000	0.000	Merged-chr10-7212223-140
NR51848--MA0741.1.KLF16	chr6	37564039	37564049	+	0.000	0.000	Merged-chr6-37564158-19
NR2691--MA0493.1.Klf1	chr1	151125220	151125230	+	0.000	0.000	Merged-chr1-151125310-30
NR45496--MA0599.1.KLF5	chr4	135964520	135964529	-	0.000	0.000	Merged-chr4-135964574-9
NR58759--MA1107.1.KLF9	chr7	125034705	125034717	-	0.000	0.000	Merged-chr7-125034795-1
NR64318--MA1107.1.KLF9	chr9	58112347	58112359	-	0.000	0.000	Merged-chr9-58112486-25
NR5630--MA0599.1.KLF5	chr10	58480174	58480183	-	0.000	0.000	Merged-chr10-58480234-23
NR22310--MA0742.1.Klf12	chr15	79281443	79281457	+	0.000	0.000	Merged-chr15-79281486-15
NR21837--MA0599.1.KLF5	chr15	66286837	66286846	-	0.000	0.000	Merged-chr15-66286791-54
NR65029--MA0740.1.KLF14	chr9	77456718	77456731	+	0.000	0.000	Merged-chr9-77456588-28
NR61058--MA0493.1.Klf1	chr8	70619110	70619120	+	0.000	0.000	Merged-chr8-70619084-21
NR59177--MA0039.3.KLF4	chr7	130903723	130903733	+	0.000	0.000	Merged-chr7-130903775-21
NR21724--MA1107.1.KLF9	chr15	59019022	59019034	+	0.000	0.000	Merged-chr15-59019141-20
NR31554--MA0599.1.KLF5	chr19	16373324	16373333	+	0.000	0.000	Merged-chr19-16373273-16
NR30124--MA0599.1.KLF5	chr18	65322465	65322474	-	0.000	0.000	Merged-chr18-65322333-46
NR51932--MA0493.1.Klf1	chr6	41177284	41177294	+	0.000	0.000	Merged-chr6-41177322-23
NR65999--MA1107.1.KLF9	chr9	107719431	107719443	+	0.000	0.000	Merged-chr9-107719377-27
NR66182--MA0741.1.KLF16	chr9	111439061	111439071	-	0.000	0.000	Merged-chr9-111439119-15
NR34018--MA0599.1.KLF5	chr2	37765371	37765380	-	0.000	0.000	Merged-chr2-37765232-35
NR60510--MA0740.1.KLF14	chr8	36249516	36249529	+	0.000	0.000	Merged-chr8-36249558-6
NR5809--MA0493.1.Klf1	chr10	61559992	61560002	-	0.000	0.000	Merged-chr10-61559785-43
NR43728--MA0493.1.Klf1	chr4	88912398	88912408	-	0.000	0.000	Merged-chr4-88912378-27
NR35466--MA0599.1.KLF5	chr2	103668281	103668290	-	0.000	0.000	Merged-chr2-103668249-32
NR63806--MA1107.1.KLF9	chr9	37236214	37236226	-	0.000	0.000	Merged-chr9-37236124-32
NR13422--MA0493.1.Klf1	chr12	32999958	32999968	-	0.000	0.000	Merged-chr12-32999849-21
NR33058--MA0599.1.KLF5	chr2	9986365	9986374	-	0.000	0.000	Merged-chr2-9986324-23
NR63731--MA0599.1.KLF5	chr9	32672295	32672304	-	0.000	0.000	Merged-chr9-32672440-49
NR45043--MA1107.1.KLF9	chr4	131696143	131696155	-	0.000	0.000	Merged-chr4-131696229-22
NR41011--MA0493.1.Klf1	chr3	130894555	130894565	-	0.000	0.000	Merged-chr3-130894407-22
NR45928--MA0740.1.KLF14	chr4	143190798	143190811	+	0.000	0.000	Merged-chr4-143190909-19
NR53695--MA1107.1.KLF9	chr6	116682494	116682506	-	0.000	0.000	Merged-chr6-116682504-22
NR37587--MA0740.1.KLF14	chr2	165983253	165983266	-	0.000	0.000	Merged-chr2-165983267-1
NR37019--MA0741.1.KLF16	chr2	153325878	153325888	-	0.000	0.000	Merged-chr2-153325949-22
NR56714--MA1107.1.KLF9	chr7	48137406	48137418	+	0.000	0.000	Merged-chr7-48137318-1
NR13546--MA0741.1.KLF16	chr12	46818529	46818539	-	0.000	0.000	Merged-chr12-46818433-12
NR29553--MA0493.1.Klf1	chr18	39915717	39915727	-	0.000	0.000	Merged-chr18-39915688-13
NR66575--MA0741.1.KLF16	chr9	118512858	118512868	-	0.000	0.000	Merged-chr9-118512920-16
NR18562--MA1107.1.KLF9	chr14	7929179	7929191	-	0.000	0.000	Merged-chr14-7929252-11
NR49095--MA0599.1.KLF5	chr5	110343040	110343049	+	0.000	0.000	Merged-chr5-110342964-29
NR6949--MA0599.1.KLF5	chr10	84904054	84904063	+	0.000	0.000	Merged-chr10-84904074-24
NR10640--MA1107.1.KLF9	chr11	74443987	74443999	+	0.000	0.000	Merged-chr11-74444076-12
NR43429--MA0599.1.KLF5	chr4	63486710	63486719	+	0.000	0.000	Merged-chr4-63486767-20
NR6030--MA0741.1.KLF16	chr10	69571684	69571694	-	0.000	0.000	Merged-chr10-69571391-44
NR5416--MA0599.1.KLF5	chr10	41690301	41690310	-	0.000	0.000	Merged-chr10-41690253-38
NR8112--MA0493.1.Klf1	chr10	119218837	119218847	-	0.000	0.000	Merged-chr10-119218704-23
NR52369--MA0493.1.Klf1	chr6	57449423	57449433	-	0.000	0.000	Merged-chr6-57449516-18
NR57935--MA0741.1.KLF16	chr7	102347591	102347601	+	0.000	0.000	Merged-chr7-102347477-20
NR32210--MA0740.1.KLF14	chr19	44078470	44078483	+	0.000	0.000	Merged-chr19-44078434-18
NR17724--MA0740.1.KLF14	chr13	101569398	101569411	-	0.000	0.000	Merged-chr13-101569413-14
NR15205--MA0741.1.KLF16	chr12	111007861	111007871	+	0.000	0.000	Merged-chr12-111007914-34
NR10014--MA0742.1.Klf12	chr11	59787715	59787729	+	0.000	0.000	Merged-chr11-59787548-18
NR65843--MA0741.1.KLF16	chr9	106071782	106071792	+	0.000	0.000	Merged-chr9-106071900-22
NR21505--MA0039.3.KLF4	chr15	38590182	38590192	+	0.000	0.000	Merged-chr15-38590219-18
NR14008--MA0657.1.KLF13	chr12	76312170	76312187	+	0.000	0.000	Merged-chr12-76312183-20
NR48644--MA0741.1.KLF16	chr5	96219746	96219756	+	0.000	0.000	Merged-chr5-96219655-31
NR965--MA1107.1.KLF9	chr1	69499064	69499076	-	0.000	0.000	Merged-chr1-69499196-51
NR41630--MA0599.1.KLF5	chr3	146045219	146045228	-	0.000	0.000	Merged-chr3-146045142-29
NR960--MA0039.3.KLF4	chr1	69499064	69499074	-	0.000	0.000	Merged-chr1-69499196-51
NR22403--MA1107.1.KLF9	chr15	80219311	80219323	-	0.000	0.000	Merged-chr15-80219438-40
NR53698--MA0741.1.KLF16	chr6	116682512	116682522	-	0.000	0.000	Merged-chr6-116682504-22
NR38412--MA0742.1.Klf12	chr3	8717392	8717406	+	0.000	0.000	Merged-chr3-8717539-26
NR58721--MA0599.1.KLF5	chr7	123189954	123189963	+	0.000	0.000	Merged-chr7-123189982-13
NR28925--MA0493.1.Klf1	chr17	88668541	88668551	+	0.000	0.000	Merged-chr17-88668603-31
NR66571--MA0493.1.Klf1	chr9	118512760	118512770	+	0.000	0.000	Merged-chr9-118512920-16
NR7707--MA1107.1.KLF9	chr10	110952116	110952128	+	0.000	0.000	Merged-chr10-110952029-21
NR37444--MA1107.1.KLF9	chr2	163298968	163298980	+	0.000	0.000	Merged-chr2-163299110-16
NR13902--MA0493.1.Klf1	chr12	71577482	71577492	-	0.000	0.000	Merged-chr12-71577475-38
NR40663--MA0657.1.KLF13	chr3	121872947	121872964	+	0.000	0.000	Merged-chr3-121872910-8
NR40089--MA0742.1.Klf12	chr3	101066372	101066386	-	0.000	0.000	Merged-chr3-101066330-34
NR4622--MA0742.1.Klf12	chr1	193146634	193146648	-	0.000	0.000	Merged-chr1-193146532-29
NR6408--MA0599.1.KLF5	chr10	78591495	78591504	+	0.000	0.000	Merged-chr10-78591628-19
NR47919--MA0599.1.KLF5	chr5	67450383	67450392	+	0.000	0.000	Merged-chr5-67450291-36
NR7725--MA1107.1.KLF9	chr10	111102965	111102977	+	0.000	0.000	Merged-chr10-111102896-60
NR21201--MA0039.3.KLF4	chr15	25216705	25216715	+	0.000	0.000	Merged-chr15-25216736-38
NR17280--MA0039.3.KLF4	chr13	89521654	89521664	+	0.000	0.000	Merged-chr13-89521757-30
NR38440--MA1107.1.KLF9	chr3	9500015	9500027	-	0.000	0.000	Merged-chr3-9499976-58
NR54926--MA0599.1.KLF5	chr6	145469422	145469431	-	0.000	0.000	Merged-chr6-145469437-17
NR17725--MA0599.1.KLF5	chr13	101569401	101569410	-	0.000	0.000	Merged-chr13-101569413-14
NR68369--MA0741.1.KLF16	chrY	90799069	90799079	-	0.000	0.000	Merged-chrY-90799205-23
NR65397--MA0599.1.KLF5	chr9	94607631	94607640	-	0.000	0.000	Merged-chr9-94607543-65
NR57360--MA0742.1.Klf12	chr7	81454606	81454620	+	0.000	0.000	Merged-chr7-81454544-19
NR37592--MA1107.1.KLF9	chr2	165983254	165983266	-	0.000	0.000	Merged-chr2-165983267-1
NR15674--MA1107.1.KLF9	chr13	13492082	13492094	+	0.000	0.000	Merged-chr13-13492146-24
NR50804--MA0599.1.KLF5	chr5	140944722	140944731	-	0.000	0.000	Merged-chr5-140944857-24
NR28481--MA0657.1.KLF13	chr17	81045916	81045933	+	0.000	0.000	Merged-chr17-81046015-1
NR67437--MA1107.1.KLF9	chrX	57189588	57189600	-	0.000	0.000	Merged-chrX-57189507-26
NR39200--MA0599.1.KLF5	chr3	68543313	68543322	+	0.000	0.000	Merged-chr3-68543251-15
NR11327--MA0741.1.KLF16	chr11	88595871	88595881	+	0.000	0.000	Merged-chr11-88595910-28
NR63374--MA0741.1.KLF16	chr9	14926828	14926838	+	0.000	0.000	Merged-chr9-14926732-51
NR29049--MA0599.1.KLF5	chr18	5819923	5819932	+	0.000	0.000	Merged-chr18-5820020-28
NR61965--MA0741.1.KLF16	chr8	95833246	95833256	+	0.000	0.000	Merged-chr8-95833320-2
NR4824--MA0599.1.KLF5	chr10	7212249	7212258	-	0.000	0.000	Merged-chr10-7212223-140
NR38682--MA1107.1.KLF9	chr3	31095080	31095092	-	0.000	0.000	Merged-chr3-31095271-1
NR28929--MA0039.3.KLF4	chr17	88668755	88668765	+	0.000	0.000	Merged-chr17-88668603-31
NR4507--MA0657.1.KLF13	chr1	191662419	191662436	+	0.000	0.000	Merged-chr1-191662407-14
NR32162--MA0599.1.KLF5	chr19	42770733	42770742	-	0.000	0.000	Merged-chr19-42770693-24
NR60512--MA0599.1.KLF5	chr8	36249517	36249526	+	0.000	0.000	Merged-chr8-36249558-6
NR33999--MA0493.1.Klf1	chr2	36091472	36091482	+	0.000	0.000	Merged-chr2-36091401-36
NR32356--MA0741.1.KLF16	chr19	46148528	46148538	-	0.000	0.000	Merged-chr19-46148494-21
NR9579--MA0493.1.Klf1	chr11	49051306	49051316	+	0.000	0.000	Merged-chr11-49051380-85
NR32354--MA0493.1.Klf1	chr19	46148516	46148526	+	0.000	0.000	Merged-chr19-46148494-21
NR8963--MA1107.1.KLF9	chr11	6000759	6000771	+	0.000	0.000	Merged-chr11-6000952-1
NR57364--MA0741.1.KLF16	chr7	81454607	81454617	+	0.000	0.000	Merged-chr7-81454544-19
NR51889--MA0493.1.Klf1	chr6	38551356	38551366	-	0.000	0.000	Merged-chr6-38551188-3
NR67022--MA0599.1.KLF5	chrX	8892338	8892347	+	0.000	0.000	Merged-chrX-8892389-3
NR5698--MA1107.1.KLF9	chr10	60077960	60077972	-	0.000	0.000	Merged-chr10-60077857-9
NR29200--MA0741.1.KLF16	chr18	21300192	21300202	+	0.000	0.000	Merged-chr18-21300237-62
NR60454--MA0740.1.KLF14	chr8	34689188	34689201	-	0.000	0.000	Merged-chr8-34689039-1
NR9190--MA0599.1.KLF5	chr11	23124544	23124553	+	0.000	0.000	Merged-chr11-23124595-33
NR36816--MA1107.1.KLF9	chr2	148021939	148021951	+	0.000	0.000	Merged-chr2-148022020-1
NR7720--MA0742.1.Klf12	chr10	111102953	111102967	+	0.000	0.000	Merged-chr10-111102896-60
NR25906--MA0741.1.KLF16	chr17	8525165	8525175	-	0.000	0.000	Merged-chr17-8525059-23
NR35744--MA1107.1.KLF9	chr2	115729945	115729957	-	0.000	0.000	Merged-chr2-115730038-1
NR15679--MA1107.1.KLF9	chr13	13492092	13492104	+	0.000	0.000	Merged-chr13-13492146-24
NR1455--MA1107.1.KLF9	chr1	88205751	88205763	+	0.000	0.000	Merged-chr1-88205704-31
NR10800--MA0741.1.KLF16	chr11	77887856	77887866	+	0.000	0.000	Merged-chr11-77887652-60
NR60405--MA0599.1.KLF5	chr8	31176267	31176276	+	0.000	0.000	Merged-chr8-31176190-29
NR17469--MA0741.1.KLF16	chr13	95765257	95765267	-	0.000	0.000	Merged-chr13-95765232-46
NR7724--MA0741.1.KLF16	chr10	111102954	111102964	+	0.000	0.000	Merged-chr10-111102896-60
NR63733--MA0741.1.KLF16	chr9	32672294	32672304	-	0.000	0.000	Merged-chr9-32672440-49
NR354--MA0599.1.KLF5	chr1	36919867	36919876	+	0.000	0.000	Merged-chr1-36919930-2
NR9861--MA0741.1.KLF16	chr11	54936435	54936445	-	0.000	0.000	Merged-chr11-54936551-30
NR10799--MA0493.1.Klf1	chr11	77887855	77887865	+	0.000	0.000	Merged-chr11-77887652-60
NR37915--MA0741.1.KLF16	chr2	170055613	170055623	-	0.000	0.000	Merged-chr2-170055593-21
NR25691--MA0741.1.KLF16	chr17	5138646	5138656	-	0.000	0.000	Merged-chr17-5138884-51
NR330--MA0039.3.KLF4	chr1	36322004	36322014	-	0.000	0.000	Merged-chr1-36321937-14
NR5292--MA0599.1.KLF5	chr10	39240065	39240074	-	0.000	0.000	Merged-chr10-39240051-25
NR57686--MA0599.1.KLF5	chr7	96920647	96920656	-	0.000	0.000	Merged-chr7-96920782-38
NR39335--MA0599.1.KLF5	chr3	79451644	79451653	-	0.000	0.000	Merged-chr3-79451498-29
NR52334--MA1107.1.KLF9	chr6	55057675	55057687	-	0.000	0.000	Merged-chr6-55057514-12
NR65765--MA0599.1.KLF5	chr9	104373466	104373475	+	0.000	0.000	Merged-chr9-104373447-21
