#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Lef1/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-log2fc-1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-log2fc-1_dn.bed
NR2705--MA0768.1.LEF1	chr9	114604272	114604286	-	0.000	0.000	Merged-chr9-114604237-4
NR983--MA0768.1.LEF1	chr16	10399303	10399317	-	0.000	0.000	Merged-chr16-10399279-20
NR2607--MA0768.1.LEF1	chr9	42423787	42423801	+	0.000	0.000	Merged-chr9-42423784-11
NR2513--MA0768.1.LEF1	chr8	72324146	72324160	-	0.000	0.000	Merged-chr8-72324323-7
NR102--MA0768.1.LEF1	chr1	108038613	108038627	-	0.000	0.000	Merged-chr1-108038539-17
NR899--MA0768.1.LEF1	chr15	35917965	35917979	+	0.000	0.000	Merged-chr15-35918069-6
NR232--MA0768.1.LEF1	chr10	19747728	19747742	-	0.000	0.000	Merged-chr10-19747869-22
NR1339--MA0768.1.LEF1	chr19	38837528	38837542	-	0.000	0.000	Merged-chr19-38837457-3
NR2143--MA0768.1.LEF1	chr6	5147853	5147867	+	0.000	0.000	Merged-chr6-5147663-1
NR806--MA0768.1.LEF1	chr14	61773199	61773213	+	0.000	0.000	Merged-chr14-61773241-2
NR2269--MA0768.1.LEF1	chr6	120006467	120006481	+	0.000	0.000	Merged-chr6-120006378-7
