#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1-log2fc-1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1-log2fc-1_dn.bed
NR748--MA1421.1.TCF7L1	chr10	8197752	8197763	+	0.000	0.000	Merged-chr10-8197795-23
NR8021--MA1421.1.TCF7L1	chr7	127293654	127293665	-	0.000	0.000	Merged-chr7-127293782-25
NR8358--MA0523.1.TCF7L2	chr8	88771556	88771569	-	0.000	0.000	Merged-chr8-88771445-24
NR16--MA0523.1.TCF7L2	chr1	13559596	13559609	+	0.000	0.000	Merged-chr1-13559747-54
NR3159--MA1421.1.TCF7L1	chr15	58655206	58655217	-	0.000	0.000	Merged-chr15-58655104-54
NR5505--MA0769.1.Tcf7	chr3	60469297	60469308	-	0.000	0.000	Merged-chr3-60469129-75
NR8448--MA0769.1.Tcf7	chr8	120715517	120715528	-	0.000	0.000	Merged-chr8-120715474-36
NR7043--MA0523.1.TCF7L2	chr6	5147853	5147866	+	0.000	0.000	Merged-chr6-5148035-17
NR4350--MA0523.1.TCF7L2	chr19	10698523	10698536	-	0.000	0.000	Merged-chr19-10698600-31
NR6958--MA0769.1.Tcf7	chr5	137857125	137857136	+	0.000	0.000	Merged-chr5-137857044-20
NR1752--MA0523.1.TCF7L2	chr12	32895228	32895241	+	0.000	0.000	Merged-chr12-32895351-16
NR3457--MA0523.1.TCF7L2	chr16	33053357	33053370	-	0.000	0.000	Merged-chr16-33053250-22
NR7776--MA1421.1.TCF7L1	chr7	67444646	67444657	-	0.000	0.000	Merged-chr7-67444614-20
NR8292--MA0523.1.TCF7L2	chr8	72291253	72291266	+	0.000	0.000	Merged-chr8-72291225-23
NR9181--MA0769.1.Tcf7	chrX	164318701	164318712	-	0.000	0.000	Merged-chrX-164318746-35
NR1007--MA1421.1.TCF7L1	chr10	76271523	76271534	+	0.000	0.000	Merged-chr10-76271555-43
NR8912--MA0523.1.TCF7L2	chr9	107334462	107334475	-	0.000	0.000	Merged-chr9-107334469-86
NR3284--MA0523.1.TCF7L2	chr15	93379572	93379585	-	0.000	0.000	Merged-chr15-93379459-27
NR3668--MA0769.1.Tcf7	chr16	91781056	91781067	-	0.000	0.000	Merged-chr16-91781071-63
NR3463--MA1421.1.TCF7L1	chr16	33691697	33691708	-	0.000	0.000	Merged-chr16-33691596-37
NR5843--MA1421.1.TCF7L1	chr3	131057422	131057433	-	0.000	0.000	Merged-chr3-131057396-52
NR8455--MA0769.1.Tcf7	chr8	122464034	122464045	-	0.000	0.000	Merged-chr8-122464115-42
NR6865--MA1421.1.TCF7L1	chr5	107646069	107646080	-	0.000	0.000	Merged-chr5-107646170-26
NR1753--MA0769.1.Tcf7	chr12	32895228	32895239	+	0.000	0.000	Merged-chr12-32895351-16
NR8123--MA1421.1.TCF7L1	chr7	143644168	143644179	-	0.000	0.000	Merged-chr7-143644190-29
NR8916--MA0523.1.TCF7L2	chr9	108146579	108146592	-	0.000	0.000	Merged-chr9-108146589-26
NR875--MA0769.1.Tcf7	chr10	44700357	44700368	-	0.000	0.000	Merged-chr10-44700385-25
NR6957--MA0523.1.TCF7L2	chr5	137857125	137857138	+	0.000	0.000	Merged-chr5-137857044-20
NR6869--MA1421.1.TCF7L1	chr5	107932809	107932820	+	0.000	0.000	Merged-chr5-107932779-30
NR3669--MA1421.1.TCF7L1	chr16	91789973	91789984	+	0.000	0.000	Merged-chr16-91789935-50
NR3670--MA0769.1.Tcf7	chr16	91789973	91789984	+	0.000	0.000	Merged-chr16-91789935-50
NR482--MA0769.1.Tcf7	chr1	151083957	151083968	-	0.000	0.000	Merged-chr1-151084034-24
NR1717--MA0523.1.TCF7L2	chr12	21472606	21472619	-	0.000	0.000	Merged-chr12-21472738-21
NR3752--MA0523.1.TCF7L2	chr17	12727941	12727954	+	0.000	0.000	Merged-chr17-12727995-27
NR8425--MA0523.1.TCF7L2	chr8	114880811	114880824	+	0.000	0.000	Merged-chr8-114880569-95
NR8693--MA1421.1.TCF7L1	chr9	61427179	61427190	-	0.000	0.000	Merged-chr9-61427187-31
NR1749--MA1421.1.TCF7L1	chr12	32099792	32099803	+	0.000	0.000	Merged-chr12-32099741-8
NR1304--MA0769.1.Tcf7	chr11	3387206	3387217	+	0.000	0.000	Merged-chr11-3387260-37
NR4299--MA1421.1.TCF7L1	chr18	82607534	82607545	+	0.000	0.000	Merged-chr18-82607647-23
NR1239--MA0523.1.TCF7L2	chr10	117984830	117984843	-	0.000	0.000	Merged-chr10-117984742-1
NR8074--MA0769.1.Tcf7	chr7	135605122	135605133	+	0.000	0.000	Merged-chr7-135605308-40
NR3537--MA0523.1.TCF7L2	chr16	49772876	49772889	+	0.000	0.000	Merged-chr16-49772867-33
NR1242--MA0769.1.Tcf7	chr10	118096221	118096232	+	0.000	0.000	Merged-chr10-118096400-51
NR2888--MA0523.1.TCF7L2	chr14	78687934	78687947	-	0.000	0.000	Merged-chr14-78687892-42
NR5844--MA0769.1.Tcf7	chr3	131057422	131057433	-	0.000	0.000	Merged-chr3-131057396-52
NR6988--MA1421.1.TCF7L1	chr5	145074716	145074727	-	0.000	0.000	Merged-chr5-145074740-2
NR6431--MA0523.1.TCF7L2	chr4	138089686	138089699	+	0.000	0.000	Merged-chr4-138089649-31
NR1718--MA0769.1.Tcf7	chr12	21472608	21472619	-	0.000	0.000	Merged-chr12-21472738-21
NR3204--MA1421.1.TCF7L1	chr15	72971928	72971939	-	0.000	0.000	Merged-chr15-72972006-8
NR5429--MA1421.1.TCF7L1	chr3	27291599	27291610	-	0.000	0.000	Merged-chr3-27291392-45
NR3977--MA1421.1.TCF7L1	chr17	84851021	84851032	-	0.000	0.000	Merged-chr17-84850871-34
NR441--MA0523.1.TCF7L2	chr1	143466098	143466111	+	0.000	0.000	Merged-chr1-143466091-51
NR3290--MA0523.1.TCF7L2	chr15	93694648	93694661	-	0.000	0.000	Merged-chr15-93694661-9
NR7520--MA1421.1.TCF7L1	chr6	129627626	129627637	-	0.000	0.000	Merged-chr6-129627649-22
NR8865--MA0769.1.Tcf7	chr9	96754565	96754576	+	0.000	0.000	Merged-chr9-96754558-43
NR1192--MA1421.1.TCF7L1	chr10	111562791	111562802	+	0.000	0.000	Merged-chr10-111562842-26
NR8357--MA1421.1.TCF7L1	chr8	88771558	88771569	-	0.000	0.000	Merged-chr8-88771445-24
NR2792--MA0523.1.TCF7L2	chr14	59087406	59087419	+	0.000	0.000	Merged-chr14-59087274-14
NR5773--MA0523.1.TCF7L2	chr3	116652211	116652224	+	0.000	0.000	Merged-chr3-116652176-28
NR1657--MA1421.1.TCF7L1	chr11	117848740	117848751	-	0.000	0.000	Merged-chr11-117848914-89
NR600--MA0769.1.Tcf7	chr1	171762154	171762165	-	0.000	0.000	Merged-chr1-171762244-38
NR4300--MA0523.1.TCF7L2	chr18	82607534	82607547	+	0.000	0.000	Merged-chr18-82607647-23
NR481--MA1421.1.TCF7L1	chr1	151083957	151083968	-	0.000	0.000	Merged-chr1-151084034-24
NR7305--MA1421.1.TCF7L1	chr6	86593410	86593421	-	0.000	0.000	Merged-chr6-86593452-56
NR2775--MA0523.1.TCF7L2	chr14	54578411	54578424	+	0.000	0.000	Merged-chr14-54578277-39
NR599--MA0523.1.TCF7L2	chr1	171762152	171762165	-	0.000	0.000	Merged-chr1-171762244-38
NR6432--MA0769.1.Tcf7	chr4	138089686	138089697	+	0.000	0.000	Merged-chr4-138089649-31
NR847--MA1421.1.TCF7L1	chr10	37917689	37917700	+	0.000	0.000	Merged-chr10-37917874-2
NR8118--MA0523.1.TCF7L2	chr7	143501125	143501138	-	0.000	0.000	Merged-chr7-143501142-12
NR4441--MA0523.1.TCF7L2	chr19	40665895	40665908	-	0.000	0.000	Merged-chr19-40666029-20
NR872--MA1421.1.TCF7L1	chr10	44700276	44700287	-	0.000	0.000	Merged-chr10-44700385-25
NR3857--MA0769.1.Tcf7	chr17	46252957	46252968	+	0.000	0.000	Merged-chr17-46252930-10
NR8335--MA1421.1.TCF7L1	chr8	83779701	83779712	-	0.000	0.000	Merged-chr8-83779707-23
NR9180--MA1421.1.TCF7L1	chrX	164318701	164318712	-	0.000	0.000	Merged-chrX-164318746-35
NR7515--MA1421.1.TCF7L1	chr6	129406118	129406129	-	0.000	0.000	Merged-chr6-129406250-15
NR244--MA0769.1.Tcf7	chr1	88450938	88450949	-	0.000	0.000	Merged-chr1-88450830-24
NR1125--MA0523.1.TCF7L2	chr10	99206037	99206050	+	0.000	0.000	Merged-chr10-99206263-19
NR4442--MA0769.1.Tcf7	chr19	40665897	40665908	-	0.000	0.000	Merged-chr19-40666029-20
NR3819--MA0523.1.TCF7L2	chr17	33564863	33564876	+	0.000	0.000	Merged-chr17-33564988-8
NR8336--MA0769.1.Tcf7	chr8	83779701	83779712	-	0.000	0.000	Merged-chr8-83779707-23
NR5311--MA1421.1.TCF7L1	chr2	168429802	168429813	+	0.000	0.000	Merged-chr2-168429700-17
NR9049--MA0523.1.TCF7L2	chrX	20772012	20772025	-	0.000	0.000	Merged-chrX-20771944-57
NR8359--MA0769.1.Tcf7	chr8	88771558	88771569	-	0.000	0.000	Merged-chr8-88771445-24
NR5717--MA0523.1.TCF7L2	chr3	105900046	105900059	+	0.000	0.000	Merged-chr3-105899940-9
NR6956--MA1421.1.TCF7L1	chr5	137857125	137857136	+	0.000	0.000	Merged-chr5-137857044-20
NR6252--MA0769.1.Tcf7	chr4	88010647	88010658	-	0.000	0.000	Merged-chr4-88010715-29
NR829--MA1421.1.TCF7L1	chr10	28564338	28564349	-	0.000	0.000	Merged-chr10-28564478-17
NR3538--MA0769.1.Tcf7	chr16	49772876	49772887	+	0.000	0.000	Merged-chr16-49772867-33
NR4301--MA0769.1.Tcf7	chr18	82607534	82607545	+	0.000	0.000	Merged-chr18-82607647-23
NR8454--MA1421.1.TCF7L1	chr8	122464034	122464045	-	0.000	0.000	Merged-chr8-122464115-42
NR8864--MA0523.1.TCF7L2	chr9	96754565	96754578	+	0.000	0.000	Merged-chr9-96754558-43
NR5082--MA0769.1.Tcf7	chr2	127923295	127923306	-	0.000	0.000	Merged-chr2-127923410-36
NR8656--MA1421.1.TCF7L1	chr9	50852881	50852892	-	0.000	0.000	Merged-chr9-50852835-21
NR3458--MA0769.1.Tcf7	chr16	33053359	33053370	-	0.000	0.000	Merged-chr16-33053250-22
NR1316--MA1421.1.TCF7L1	chr11	5506082	5506093	+	0.000	0.000	Merged-chr11-5506116-24
NR848--MA0769.1.Tcf7	chr10	37917689	37917700	+	0.000	0.000	Merged-chr10-37917874-2
NR5081--MA1421.1.TCF7L1	chr2	127923295	127923306	-	0.000	0.000	Merged-chr2-127923410-36
NR8458--MA1421.1.TCF7L1	chr8	123203520	123203531	+	0.000	0.000	Merged-chr8-123203714-21
NR3142--MA0523.1.TCF7L2	chr15	52753837	52753850	+	0.000	0.000	Merged-chr15-52753697-52
NR7523--MA0769.1.Tcf7	chr6	129917725	129917736	+	0.000	0.000	Merged-chr6-129917853-39
NR7796--MA1421.1.TCF7L1	chr7	74442532	74442543	-	0.000	0.000	Merged-chr7-74442520-32
