#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-log2fc-1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-log2fc-1_up.bed
NR4909--MA0037.3.GATA3	chr4	115056686	115056693	-	0.000	0.000	Merged-chr4-115056666-5
NR5449--MA0766.1.GATA5	chr6	4664524	4664531	-	0.000	0.000	Merged-chr6-4664595-18
NR1812--MA0037.3.GATA3	chr13	30777933	30777940	+	0.000	0.000	Merged-chr13-30777847-15
NR5533--MA1104.1.GATA6	chr6	67184853	67184865	+	0.000	0.000	Merged-chr6-67184785-39
NR141--MA1104.1.GATA6	chr1	87899815	87899827	-	0.000	0.000	Merged-chr1-87899931-42
NR2565--MA0140.2.GATA1::TAL1	chr15	62390449	62390466	-	0.000	0.000	Merged-chr15-62390498-8
NR5909--MA0482.1.Gata4	chr7	16001893	16001903	-	0.000	0.000	Merged-chr7-16001989-41
NR5519--MA0035.3.Gata1	chr6	61263455	61263465	-	0.000	0.000	Merged-chr6-61263601-18
NR1388--MA0482.1.Gata4	chr11	109822475	109822485	+	0.000	0.000	Merged-chr11-109822566-4
NR1516--MA0482.1.Gata4	chr12	52504855	52504865	+	0.000	0.000	Merged-chr12-52504676-5
NR4351--MA0482.1.Gata4	chr3	60788288	60788298	+	0.000	0.000	Merged-chr3-60788099-46
