#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-log2fc-1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-log2fc-1_up.bed
NR3467--MA0591.1.Bach1::Mafk	chr13	99932664	99932678	-	0.000	0.000	Merged-chr13-99932700-36
NR3402--MA0501.1.MAF::NFE2	chr13	91980921	91980935	+	0.000	0.000	Merged-chr13-91980790-3
NR8648--MA0089.1.MAFG::NFE2L1	chr4	89302408	89302413	+	0.000	0.000	Merged-chr4-89302202-17
NR5611--MA0495.2.MAFF	chr18	10744227	10744247	-	0.000	0.000	Merged-chr18-10744169-16
NR379--MA0591.1.Bach1::Mafk	chr1	88584721	88584735	+	0.000	0.000	Merged-chr1-88584728-18
NR5613--MA0659.1.MAFG	chr18	10744227	10744247	+	0.000	0.000	Merged-chr18-10744169-16
NR1137--MA0089.1.MAFG::NFE2L1	chr10	6997174	6997179	+	0.000	0.000	Merged-chr10-6997125-11
NR2218--MA0117.2.Mafb	chr11	100692560	100692571	-	0.000	0.000	Merged-chr11-100692444-17
NR597--MA0495.2.MAFF	chr1	136423389	136423409	+	0.000	0.000	Merged-chr1-136423367-9
NR4884--MA0495.2.MAFF	chr16	57500955	57500975	-	0.000	0.000	Merged-chr16-57500995-13
NR4185--MA0496.2.MAFK	chr15	25884959	25884977	+	0.000	0.000	Merged-chr15-25884835-36
NR6487--MA0089.1.MAFG::NFE2L1	chr2	31239516	31239521	+	0.000	0.000	Merged-chr2-31239481-10
NR2368--MA0089.1.MAFG::NFE2L1	chr11	116620717	116620722	+	0.000	0.000	Merged-chr11-116620758-6
NR7804--MA0501.1.MAF::NFE2	chr3	84046619	84046633	-	0.000	0.000	Merged-chr3-84046424-40
NR11559--MA0496.2.MAFK	chr7	140983130	140983148	-	0.000	0.000	Merged-chr7-140983161-18
NR8958--MA0591.1.Bach1::Mafk	chr4	135493526	135493540	-	0.000	0.000	Merged-chr4-135493487-11
NR3344--MA0659.1.MAFG	chr13	75844206	75844226	-	0.000	0.000	Merged-chr13-75844274-45
NR11784--MA0089.1.MAFG::NFE2L1	chr8	71587200	71587205	-	0.000	0.000	Merged-chr8-71587200-14
NR160--MA0117.2.Mafb	chr1	53852385	53852396	+	0.000	0.000	Merged-chr1-53852404-19
NR8001--MA0659.1.MAFG	chr3	109352529	109352549	-	0.000	0.000	Merged-chr3-109352543-53
NR7615--MA0089.1.MAFG::NFE2L1	chr3	9853200	9853205	+	0.000	0.000	Merged-chr3-9853322-69
NR10622--MA0495.2.MAFF	chr6	134856075	134856095	+	0.000	0.000	Merged-chr6-134856256-11
NR10551--MA0089.1.MAFG::NFE2L1	chr6	127617460	127617465	+	0.000	0.000	Merged-chr6-127617353-34
NR683--MA0591.1.Bach1::Mafk	chr1	151382088	151382102	-	0.000	0.000	Merged-chr1-151382217-13
NR8131--MA0659.1.MAFG	chr3	135528002	135528022	+	0.000	0.000	Merged-chr3-135527896-22
NR707--MA0659.1.MAFG	chr1	153304719	153304739	-	0.000	0.000	Merged-chr1-153304811-42
NR9197--MA0089.1.MAFG::NFE2L1	chr5	10254968	10254973	-	0.000	0.000	Merged-chr5-10254903-14
NR972--MA0501.1.MAF::NFE2	chr1	182543293	182543307	-	0.000	0.000	Merged-chr1-182543382-10
NR10295--MA0496.2.MAFK	chr6	95712231	95712249	+	0.000	0.000	Merged-chr6-95712332-22
NR8483--MA0495.2.MAFF	chr4	46411563	46411583	+	0.000	0.000	Merged-chr4-46411765-13
NR12997--MA0501.1.MAF::NFE2	chrX	152234307	152234321	-	0.000	0.000	Merged-chrX-152234249-6
NR8931--MA0501.1.MAF::NFE2	chr4	132588731	132588745	+	0.000	0.000	Merged-chr4-132588722-17
NR9112--MA0495.2.MAFF	chr4	150894694	150894714	-	0.000	0.000	Merged-chr4-150894695-19
NR8040--MA0495.2.MAFF	chr3	121946881	121946901	-	0.000	0.000	Merged-chr3-121946709-4
NR678--MA0089.1.MAFG::NFE2L1	chr1	151083978	151083983	+	0.000	0.000	Merged-chr1-151084034-24
NR599--MA0591.1.Bach1::Mafk	chr1	136423392	136423406	+	0.000	0.000	Merged-chr1-136423367-9
NR3607--MA0089.1.MAFG::NFE2L1	chr13	114887326	114887331	-	0.000	0.000	Merged-chr13-114887526-35
NR4439--MA0117.2.Mafb	chr15	80216377	80216388	-	0.000	0.000	Merged-chr15-80216610-25
NR705--MA0591.1.Bach1::Mafk	chr1	153304722	153304736	-	0.000	0.000	Merged-chr1-153304811-42
NR808--MA0496.2.MAFK	chr1	163383764	163383782	-	0.000	0.000	Merged-chr1-163383772-21
NR4258--MA0591.1.Bach1::Mafk	chr15	58750245	58750259	-	0.000	0.000	Merged-chr15-58750240-28
NR3347--MA0496.2.MAFK	chr13	75844207	75844225	-	0.000	0.000	Merged-chr13-75844274-45
NR12173--MA0117.2.Mafb	chr8	128433679	128433690	+	0.000	0.000	Merged-chr8-128433570-8
NR12840--MA0117.2.Mafb	chrX	7446742	7446753	+	0.000	0.000	Merged-chrX-7446868-4
NR1259--MA0089.1.MAFG::NFE2L1	chr10	39339881	39339886	+	0.000	0.000	Merged-chr10-39339887-44
NR11983--MA0117.2.Mafb	chr8	112005719	112005730	-	0.000	0.000	Merged-chr8-112005618-22
NR3505--MA0089.1.MAFG::NFE2L1	chr13	103412676	103412681	-	0.000	0.000	Merged-chr13-103412841-15
NR12064--MA0495.2.MAFF	chr8	122299743	122299763	-	0.000	0.000	Merged-chr8-122299759-10
NR600--MA0591.1.Bach1::Mafk	chr1	136423392	136423406	-	0.000	0.000	Merged-chr1-136423367-9
NR3238--MA0591.1.Bach1::Mafk	chr13	52915692	52915706	-	0.000	0.000	Merged-chr13-52915528-4
NR5885--MA0496.2.MAFK	chr18	67443152	67443170	+	0.000	0.000	Merged-chr18-67443121-15
NR6291--MA0501.1.MAF::NFE2	chr19	55773304	55773318	+	0.000	0.000	Merged-chr19-55773145-3
NR37--MA0117.2.Mafb	chr1	20766839	20766850	-	0.000	0.000	Merged-chr1-20766829-14
NR12082--MA0495.2.MAFF	chr8	123287510	123287530	-	0.000	0.000	Merged-chr8-123287508-25
NR8942--MA0117.2.Mafb	chr4	133688691	133688702	+	0.000	0.000	Merged-chr4-133688584-12
NR11979--MA0117.2.Mafb	chr8	111955336	111955347	-	0.000	0.000	Merged-chr8-111955328-48
NR11959--MA0496.2.MAFK	chr8	106795005	106795023	-	0.000	0.000	Merged-chr8-106794988-23
NR9595--MA0089.1.MAFG::NFE2L1	chr5	103719958	103719963	+	0.000	0.000	Merged-chr5-103720100-12
NR2415--MA0495.2.MAFF	chr11	121039351	121039371	+	0.000	0.000	Merged-chr11-121039238-62
NR10314--MA0496.2.MAFK	chr6	99435315	99435333	+	0.000	0.000	Merged-chr6-99435291-39
NR6461--MA0495.2.MAFF	chr2	27693883	27693903	+	0.000	0.000	Merged-chr2-27693880-30
NR5616--MA0501.1.MAF::NFE2	chr18	10744227	10744241	-	0.000	0.000	Merged-chr18-10744169-16
NR350--MA0659.1.MAFG	chr1	85982152	85982172	+	0.000	0.000	Merged-chr1-85981995-4
NR1575--MA0501.1.MAF::NFE2	chr10	96391831	96391845	+	0.000	0.000	Merged-chr10-96391802-8
NR6368--MA0591.1.Bach1::Mafk	chr2	6086121	6086135	-	0.000	0.000	Merged-chr2-6086104-9
NR7768--MA0659.1.MAFG	chr3	65886304	65886324	+	0.000	0.000	Merged-chr3-65886068-18
NR8779--MA0089.1.MAFG::NFE2L1	chr4	108371682	108371687	+	0.000	0.000	Merged-chr4-108371608-19
NR12242--MA0591.1.Bach1::Mafk	chr9	24331966	24331980	-	0.000	0.000	Merged-chr9-24331833-14
NR9126--MA0496.2.MAFK	chr4	152196520	152196538	+	0.000	0.000	Merged-chr4-152196535-12
NR11557--MA0495.2.MAFF	chr7	140983129	140983149	-	0.000	0.000	Merged-chr7-140983161-18
NR12989--MA0659.1.MAFG	chrX	142792380	142792400	-	0.000	0.000	Merged-chrX-142792362-24
NR6126--MA0089.1.MAFG::NFE2L1	chr19	21785914	21785919	-	0.000	0.000	Merged-chr19-21785964-7
NR7220--MA0495.2.MAFF	chr2	144245718	144245738	+	0.000	0.000	Merged-chr2-144245539-27
NR6428--MA0089.1.MAFG::NFE2L1	chr2	18953284	18953289	+	0.000	0.000	Merged-chr2-18953259-7
NR7222--MA0659.1.MAFG	chr2	144245718	144245738	-	0.000	0.000	Merged-chr2-144245539-27
NR8488--MA0089.1.MAFG::NFE2L1	chr4	46630482	46630487	+	0.000	0.000	Merged-chr4-46630507-12
NR11799--MA0495.2.MAFF	chr8	75202261	75202281	+	0.000	0.000	Merged-chr8-75202303-18
NR5661--MA0089.1.MAFG::NFE2L1	chr18	25479855	25479860	-	0.000	0.000	Merged-chr18-25479728-10
NR9429--MA0089.1.MAFG::NFE2L1	chr5	75791987	75791992	+	0.000	0.000	Merged-chr5-75792010-32
NR11812--MA0089.1.MAFG::NFE2L1	chr8	77482225	77482230	+	0.000	0.000	Merged-chr8-77482121-16
NR12452--MA0659.1.MAFG	chr9	72097291	72097311	+	0.000	0.000	Merged-chr9-72097262-35
NR10524--MA0591.1.Bach1::Mafk	chr6	125541049	125541063	+	0.000	0.000	Merged-chr6-125540912-17
NR8440--MA0495.2.MAFF	chr4	33791655	33791675	-	0.000	0.000	Merged-chr4-33791808-5
NR219--MA0089.1.MAFG::NFE2L1	chr1	62829929	62829934	-	0.000	0.000	Merged-chr1-62829921-36
NR8632--MA0496.2.MAFK	chr4	88045001	88045019	-	0.000	0.000	Merged-chr4-88045023-3
NR349--MA0495.2.MAFF	chr1	85982152	85982172	-	0.000	0.000	Merged-chr1-85981995-4
NR3340--MA0495.2.MAFF	chr13	75844206	75844226	+	0.000	0.000	Merged-chr13-75844274-45
NR9629--MA0089.1.MAFG::NFE2L1	chr5	107777610	107777615	+	0.000	0.000	Merged-chr5-107777420-29
NR8573--MA0501.1.MAF::NFE2	chr4	62696110	62696124	-	0.000	0.000	Merged-chr4-62695960-32
NR8570--MA0495.2.MAFF	chr4	62696110	62696130	+	0.000	0.000	Merged-chr4-62695960-32
NR1892--MA0591.1.Bach1::Mafk	chr11	32580671	32580685	+	0.000	0.000	Merged-chr11-32580688-47
NR11134--MA0117.2.Mafb	chr7	80410467	80410478	+	0.000	0.000	Merged-chr7-80410451-25
NR9653--MA0659.1.MAFG	chr5	112227398	112227418	-	0.000	0.000	Merged-chr5-112227442-20
NR4252--MA0089.1.MAFG::NFE2L1	chr15	55699888	55699893	+	0.000	0.000	Merged-chr15-55699814-18
NR9993--MA0117.2.Mafb	chr6	31168962	31168973	-	0.000	0.000	Merged-chr6-31168865-5
NR11076--MA0591.1.Bach1::Mafk	chr7	68350178	68350192	+	0.000	0.000	Merged-chr7-68350249-38
NR2418--MA0591.1.Bach1::Mafk	chr11	121039354	121039368	-	0.000	0.000	Merged-chr11-121039238-62
NR6539--MA0089.1.MAFG::NFE2L1	chr2	37565818	37565823	+	0.000	0.000	Merged-chr2-37565860-32
NR9870--MA0496.2.MAFK	chr5	146655356	146655374	+	0.000	0.000	Merged-chr5-146655552-37
NR5685--MA0089.1.MAFG::NFE2L1	chr18	37813972	37813977	-	0.000	0.000	Merged-chr18-37813954-31
NR8454--MA0495.2.MAFF	chr4	40785958	40785978	-	0.000	0.000	Merged-chr4-40785986-16
NR7104--MA0496.2.MAFK	chr2	128365991	128366009	-	0.000	0.000	Merged-chr2-128365920-27
NR12594--MA0495.2.MAFF	chr9	94441517	94441537	+	0.000	0.000	Merged-chr9-94441414-62
NR603--MA0501.1.MAF::NFE2	chr1	136423395	136423409	+	0.000	0.000	Merged-chr1-136423367-9
NR12903--MA0495.2.MAFF	chrX	77801762	77801782	-	0.000	0.000	Merged-chrX-77801758-16
NR602--MA0659.1.MAFG	chr1	136423389	136423409	-	0.000	0.000	Merged-chr1-136423367-9
NR10227--MA0089.1.MAFG::NFE2L1	chr6	86148813	86148818	+	0.000	0.000	Merged-chr6-86148822-10
NR4698--MA0591.1.Bach1::Mafk	chr16	22794958	22794972	-	0.000	0.000	Merged-chr16-22794765-7
NR4699--MA0501.1.MAF::NFE2	chr16	22794961	22794975	+	0.000	0.000	Merged-chr16-22794765-7
NR4005--MA0501.1.MAF::NFE2	chr14	86847324	86847338	-	0.000	0.000	Merged-chr14-86847401-13
NR3449--MA0089.1.MAFG::NFE2L1	chr13	98832868	98832873	-	0.000	0.000	Merged-chr13-98832743-37
NR10526--MA0501.1.MAF::NFE2	chr6	125541046	125541060	-	0.000	0.000	Merged-chr6-125540912-17
NR290--MA0089.1.MAFG::NFE2L1	chr1	78478073	78478078	+	0.000	0.000	Merged-chr1-78478073-15
NR9667--MA0659.1.MAFG	chr5	113664320	113664340	+	0.000	0.000	Merged-chr5-113664370-10
NR9323--MA0089.1.MAFG::NFE2L1	chr5	35818088	35818093	-	0.000	0.000	Merged-chr5-35818089-1
NR8093--MA0089.1.MAFG::NFE2L1	chr3	130691917	130691922	-	0.000	0.000	Merged-chr3-130691928-1
NR9649--MA0117.2.Mafb	chr5	112227398	112227409	+	0.000	0.000	Merged-chr5-112227442-20
NR11169--MA0089.1.MAFG::NFE2L1	chr7	83671784	83671789	+	0.000	0.000	Merged-chr7-83671717-3
NR11054--MA0089.1.MAFG::NFE2L1	chr7	66116123	66116128	+	0.000	0.000	Merged-chr7-66116161-49
NR12185--MA0089.1.MAFG::NFE2L1	chr9	5623575	5623580	-	0.000	0.000	Merged-chr9-5623590-21
NR5612--MA0591.1.Bach1::Mafk	chr18	10744230	10744244	+	0.000	0.000	Merged-chr18-10744169-16
NR1073--MA0089.1.MAFG::NFE2L1	chr1	191421152	191421157	+	0.000	0.000	Merged-chr1-191421132-37
NR9669--MA0501.1.MAF::NFE2	chr5	113664326	113664340	+	0.000	0.000	Merged-chr5-113664370-10
NR1506--MA0495.2.MAFF	chr10	88783292	88783312	+	0.000	0.000	Merged-chr10-88783253-12
NR10993--MA0089.1.MAFG::NFE2L1	chr7	45771302	45771307	-	0.000	0.000	Merged-chr7-45771241-24
NR9506--MA0501.1.MAF::NFE2	chr5	92327473	92327487	-	0.000	0.000	Merged-chr5-92327493-24
NR7720--MA0117.2.Mafb	chr3	55600495	55600506	-	0.000	0.000	Merged-chr3-55600303-1
NR9867--MA0591.1.Bach1::Mafk	chr5	146655358	146655372	-	0.000	0.000	Merged-chr5-146655552-37
NR4887--MA0496.2.MAFK	chr16	57500956	57500974	-	0.000	0.000	Merged-chr16-57500995-13
NR3158--MA0089.1.MAFG::NFE2L1	chr13	43444398	43444403	+	0.000	0.000	Merged-chr13-43444281-15
NR1510--MA0496.2.MAFK	chr10	88783293	88783311	+	0.000	0.000	Merged-chr10-88783253-12
NR2416--MA0089.1.MAFG::NFE2L1	chr11	121039363	121039368	+	0.000	0.000	Merged-chr11-121039238-62
NR8024--MA0501.1.MAF::NFE2	chr3	116434786	116434800	-	0.000	0.000	Merged-chr3-116434903-21
NR6532--MA0117.2.Mafb	chr2	35382281	35382292	+	0.000	0.000	Merged-chr2-35382187-12
NR12297--MA0659.1.MAFG	chr9	43785161	43785181	-	0.000	0.000	Merged-chr9-43784994-20
NR9723--MA0089.1.MAFG::NFE2L1	chr5	122163508	122163513	-	0.000	0.000	Merged-chr5-122163401-39
NR605--MA0496.2.MAFK	chr1	136423390	136423408	+	0.000	0.000	Merged-chr1-136423367-9
NR11089--MA0495.2.MAFF	chr7	74587728	74587748	-	0.000	0.000	Merged-chr7-74587664-21
NR6735--MA0089.1.MAFG::NFE2L1	chr2	79122797	79122802	+	0.000	0.000	Merged-chr2-79122721-3
NR3167--MA0495.2.MAFF	chr13	45443020	45443040	-	0.000	0.000	Merged-chr13-45443236-24
NR3041--MA0089.1.MAFG::NFE2L1	chr13	6624325	6624330	-	0.000	0.000	Merged-chr13-6624284-1
NR12176--MA0117.2.Mafb	chr8	128577565	128577576	+	0.000	0.000	Merged-chr8-128577516-12
NR3834--MA0089.1.MAFG::NFE2L1	chr14	60129741	60129746	+	0.000	0.000	Merged-chr14-60129717-50
NR11252--MA0089.1.MAFG::NFE2L1	chr7	102427259	102427264	+	0.000	0.000	Merged-chr7-102427168-1
NR8486--MA0496.2.MAFK	chr4	46411564	46411582	-	0.000	0.000	Merged-chr4-46411765-13
NR1209--MA0089.1.MAFG::NFE2L1	chr10	21335674	21335679	-	0.000	0.000	Merged-chr10-21335656-23
NR518--MA0117.2.Mafb	chr1	125487471	125487482	+	0.000	0.000	Merged-chr1-125487640-13
NR10462--MA0117.2.Mafb	chr6	119005877	119005888	+	0.000	0.000	Merged-chr6-119006067-1
NR2468--MA0501.1.MAF::NFE2	chr12	12278422	12278436	-	0.000	0.000	Merged-chr12-12278395-37
NR9849--MA0089.1.MAFG::NFE2L1	chr5	144216602	144216607	-	0.000	0.000	Merged-chr5-144216466-1
NR4006--MA0496.2.MAFK	chr14	87050400	87050418	+	0.000	0.000	Merged-chr14-87050365-8
NR595--MA0591.1.Bach1::Mafk	chr1	136255312	136255326	-	0.000	0.000	Merged-chr1-136255292-47
NR4476--MA0496.2.MAFK	chr15	82906878	82906896	-	0.000	0.000	Merged-chr15-82906941-10
NR4120--MA0501.1.MAF::NFE2	chr14	121409235	121409249	+	0.000	0.000	Merged-chr14-121409086-22
NR11740--MA0501.1.MAF::NFE2	chr8	57387822	57387836	-	0.000	0.000	Merged-chr8-57387843-7
NR5500--MA0089.1.MAFG::NFE2L1	chr17	80632320	80632325	-	0.000	0.000	Merged-chr17-80632464-23
NR6124--MA0591.1.Bach1::Mafk	chr19	21785351	21785365	-	0.000	0.000	Merged-chr19-21785424-37
NR12171--MA0591.1.Bach1::Mafk	chr8	128417588	128417602	-	0.000	0.000	Merged-chr8-128417524-1
NR220--MA0089.1.MAFG::NFE2L1	chr1	62834570	62834575	+	0.000	0.000	Merged-chr1-62834522-10
NR9673--MA0501.1.MAF::NFE2	chr5	113671745	113671759	-	0.000	0.000	Merged-chr5-113671684-1
NR9660--MA0591.1.Bach1::Mafk	chr5	112488583	112488597	-	0.000	0.000	Merged-chr5-112488536-19
NR5985--MA0591.1.Bach1::Mafk	chr18	80628994	80629008	-	0.000	0.000	Merged-chr18-80629168-11
NR4119--MA0089.1.MAFG::NFE2L1	chr14	121361682	121361687	-	0.000	0.000	Merged-chr14-121361598-37
NR5438--MA0501.1.MAF::NFE2	chr17	71192185	71192199	-	0.000	0.000	Merged-chr17-71192022-46
NR6372--MA0117.2.Mafb	chr2	7254680	7254691	+	0.000	0.000	Merged-chr2-7254714-17
NR10101--MA0501.1.MAF::NFE2	chr6	57814070	57814084	+	0.000	0.000	Merged-chr6-57814077-20
NR9469--MA0089.1.MAFG::NFE2L1	chr5	89138692	89138697	+	0.000	0.000	Merged-chr5-89138773-5
NR12987--MA0591.1.Bach1::Mafk	chrX	142792383	142792397	+	0.000	0.000	Merged-chrX-142792362-24
NR2523--MA0089.1.MAFG::NFE2L1	chr12	32920321	32920326	-	0.000	0.000	Merged-chr12-32920413-10
NR10153--MA0501.1.MAF::NFE2	chr6	67322578	67322592	-	0.000	0.000	Merged-chr6-67322636-3
NR11361--MA0089.1.MAFG::NFE2L1	chr7	117988681	117988686	+	0.000	0.000	Merged-chr7-117988670-8
NR9864--MA0495.2.MAFF	chr5	146655355	146655375	+	0.000	0.000	Merged-chr5-146655552-37
NR8646--MA0117.2.Mafb	chr4	89212647	89212658	-	0.000	0.000	Merged-chr4-89212481-15
NR9754--MA0659.1.MAFG	chr5	125107467	125107487	+	0.000	0.000	Merged-chr5-125107407-3
NR11778--MA0089.1.MAFG::NFE2L1	chr8	70811428	70811433	+	0.000	0.000	Merged-chr8-70811512-10
NR604--MA0501.1.MAF::NFE2	chr1	136423389	136423403	-	0.000	0.000	Merged-chr1-136423367-9
NR5614--MA0659.1.MAFG	chr18	10744227	10744247	-	0.000	0.000	Merged-chr18-10744169-16
NR11323--MA0591.1.Bach1::Mafk	chr7	112238996	112239010	+	0.000	0.000	Merged-chr7-112238810-51
NR913--MA0117.2.Mafb	chr1	177455720	177455731	-	0.000	0.000	Merged-chr1-177455545-12
NR598--MA0495.2.MAFF	chr1	136423389	136423409	-	0.000	0.000	Merged-chr1-136423367-9
NR5895--MA0501.1.MAF::NFE2	chr18	69537645	69537659	+	0.000	0.000	Merged-chr18-69537623-22
NR3237--MA0591.1.Bach1::Mafk	chr13	52915692	52915706	+	0.000	0.000	Merged-chr13-52915528-4
NR5913--MA0089.1.MAFG::NFE2L1	chr18	73816679	73816684	-	0.000	0.000	Merged-chr18-73816843-39
NR5831--MA0496.2.MAFK	chr18	62163116	62163134	+	0.000	0.000	Merged-chr18-62163179-10
NR123--MA0496.2.MAFK	chr1	43888561	43888579	+	0.000	0.000	Merged-chr1-43888618-32
NR7723--MA0501.1.MAF::NFE2	chr3	55600492	55600506	+	0.000	0.000	Merged-chr3-55600303-1
NR12617--MA0089.1.MAFG::NFE2L1	chr9	95832860	95832865	-	0.000	0.000	Merged-chr9-95832946-23
NR6257--MA0591.1.Bach1::Mafk	chr19	53020224	53020238	-	0.000	0.000	Merged-chr19-53020270-32
NR7223--MA0496.2.MAFK	chr2	144245719	144245737	+	0.000	0.000	Merged-chr2-144245539-27
NR3450--MA0089.1.MAFG::NFE2L1	chr13	99148661	99148666	-	0.000	0.000	Merged-chr13-99148566-18
NR2030--MA0089.1.MAFG::NFE2L1	chr11	67580640	67580645	+	0.000	0.000	Merged-chr11-67580687-16
NR8638--MA0089.1.MAFG::NFE2L1	chr4	88693552	88693557	-	0.000	0.000	Merged-chr4-88693660-22
NR18--MA0089.1.MAFG::NFE2L1	chr1	13301631	13301636	+	0.000	0.000	Merged-chr1-13301807-39
NR4519--MA0089.1.MAFG::NFE2L1	chr15	90229392	90229397	-	0.000	0.000	Merged-chr15-90229607-22
NR5984--MA0495.2.MAFF	chr18	80628991	80629011	+	0.000	0.000	Merged-chr18-80629168-11
NR12342--MA0501.1.MAF::NFE2	chr9	51015898	51015912	-	0.000	0.000	Merged-chr9-51015891-3
NR6513--MA0501.1.MAF::NFE2	chr2	34198749	34198763	+	0.000	0.000	Merged-chr2-34198771-20
NR3289--MA0089.1.MAFG::NFE2L1	chr13	67378338	67378343	+	0.000	0.000	Merged-chr13-67378314-6
NR12410--MA0591.1.Bach1::Mafk	chr9	62020448	62020462	-	0.000	0.000	Merged-chr9-62020503-14
NR2226--MA0496.2.MAFK	chr11	101199676	101199694	+	0.000	0.000	Merged-chr11-101199720-6
NR8610--MA0089.1.MAFG::NFE2L1	chr4	83355024	83355029	-	0.000	0.000	Merged-chr4-83354968-34
NR12346--MA0591.1.Bach1::Mafk	chr9	52074081	52074095	-	0.000	0.000	Merged-chr9-52073999-13
NR6469--MA0501.1.MAF::NFE2	chr2	29102647	29102661	+	0.000	0.000	Merged-chr2-29102866-17
NR5246--MA0089.1.MAFG::NFE2L1	chr17	28007370	28007375	+	0.000	0.000	Merged-chr17-28007418-17
NR8208--MA0117.2.Mafb	chr3	142545600	142545611	+	0.000	0.000	Merged-chr3-142545607-21
NR9750--MA0591.1.Bach1::Mafk	chr5	125052458	125052472	-	0.000	0.000	Merged-chr5-125052528-23
NR6293--MA0501.1.MAF::NFE2	chr19	56042151	56042165	-	0.000	0.000	Merged-chr19-56041960-2
NR10648--MA0591.1.Bach1::Mafk	chr6	137316523	137316537	+	0.000	0.000	Merged-chr6-137316445-24
NR9449--MA0591.1.Bach1::Mafk	chr5	77367828	77367842	+	0.000	0.000	Merged-chr5-77367800-15
NR3466--MA0117.2.Mafb	chr13	99932661	99932672	+	0.000	0.000	Merged-chr13-99932700-36
NR12904--MA0591.1.Bach1::Mafk	chrX	77801765	77801779	-	0.000	0.000	Merged-chrX-77801758-16
NR10650--MA0591.1.Bach1::Mafk	chr6	137535762	137535776	+	0.000	0.000	Merged-chr6-137535864-11
NR8484--MA0495.2.MAFF	chr4	46411563	46411583	-	0.000	0.000	Merged-chr4-46411765-13
NR710--MA0496.2.MAFK	chr1	153304720	153304738	-	0.000	0.000	Merged-chr1-153304811-42
NR9450--MA0089.1.MAFG::NFE2L1	chr5	77367926	77367931	+	0.000	0.000	Merged-chr5-77367800-15
NR10651--MA0501.1.MAF::NFE2	chr6	137535765	137535779	+	0.000	0.000	Merged-chr6-137535864-11
NR1985--MA0117.2.Mafb	chr11	59293985	59293996	-	0.000	0.000	Merged-chr11-59293910-11
NR6508--MA0659.1.MAFG	chr2	34140005	34140025	+	0.000	0.000	Merged-chr2-34139840-30
NR4474--MA0495.2.MAFF	chr15	82906877	82906897	-	0.000	0.000	Merged-chr15-82906941-10
NR4415--MA0089.1.MAFG::NFE2L1	chr15	78515770	78515775	-	0.000	0.000	Merged-chr15-78515914-15
NR12293--MA0495.2.MAFF	chr9	43785161	43785181	-	0.000	0.000	Merged-chr9-43784994-20
NR12539--MA0089.1.MAFG::NFE2L1	chr9	85672289	85672294	-	0.000	0.000	Merged-chr9-85672342-1
NR5431--MA0089.1.MAFG::NFE2L1	chr17	69423038	69423043	-	0.000	0.000	Merged-chr17-69422874-19
NR198--MA0117.2.Mafb	chr1	60875494	60875505	-	0.000	0.000	Merged-chr1-60875356-55
