#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-log2fc-1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-log2fc-1_dn.bed
NR2006--MA0684.1.RUNX3	chr11	99012424	99012433	+	0.000	0.000	Merged-chr11-99012536-12
NR4808--MA0002.2.RUNX1	chr17	12756060	12756070	-	0.000	0.000	Merged-chr17-12756128-8
NR399--MA0684.1.RUNX3	chr1	97614015	97614024	+	0.000	0.000	Merged-chr1-97613912-17
NR6882--MA0511.2.RUNX2	chr3	79504698	79504706	-	0.000	0.000	Merged-chr3-79504650-9
NR8529--MA0002.2.RUNX1	chr5	124215134	124215144	-	0.000	0.000	Merged-chr5-124215011-42
NR6578--MA0002.2.RUNX1	chr2	157190868	157190878	-	0.000	0.000	Merged-chr2-157190874-9
NR4506--MA0511.2.RUNX2	chr16	55520065	55520073	-	0.000	0.000	Merged-chr16-55519957-45
NR4407--MA0002.2.RUNX1	chr16	35747540	35747550	+	0.000	0.000	Merged-chr16-35747565-9
NR4596--MA0511.2.RUNX2	chr16	84800041	84800049	+	0.000	0.000	Merged-chr16-84800124-30
NR1440--MA0002.2.RUNX1	chr10	118096357	118096367	-	0.000	0.000	Merged-chr10-118096400-51
NR1711--MA0002.2.RUNX1	chr11	51938888	51938898	-	0.000	0.000	Merged-chr11-51938980-15
NR8585--MA0002.2.RUNX1	chr5	136458784	136458794	-	0.000	0.000	Merged-chr5-136458862-38
NR6577--MA0684.1.RUNX3	chr2	157190801	157190810	+	0.000	0.000	Merged-chr2-157190874-9
NR930--MA0002.2.RUNX1	chr10	10307520	10307530	+	0.000	0.000	Merged-chr10-10307543-35
NR8237--MA0002.2.RUNX1	chr5	67437425	67437435	+	0.000	0.000	Merged-chr5-67437495-24
NR8598--MA0002.2.RUNX1	chr5	138343405	138343415	+	0.000	0.000	Merged-chr5-138343396-8
NR3512--MA0684.1.RUNX3	chr14	63104030	63104039	+	0.000	0.000	Merged-chr14-63104126-25
NR11209--MA0002.2.RUNX1	chr9	114775790	114775800	+	0.000	0.000	Merged-chr9-114775668-22
NR11221--MA0511.2.RUNX2	chr9	115610230	115610238	-	0.000	0.000	Merged-chr9-115610141-16
NR7801--MA0511.2.RUNX2	chr4	124776550	124776558	+	0.000	0.000	Merged-chr4-124776548-8
NR2046--MA0684.1.RUNX3	chr11	103253785	103253794	-	0.000	0.000	Merged-chr11-103253823-14
NR10520--MA0002.2.RUNX1	chr8	115531345	115531355	-	0.000	0.000	Merged-chr8-115531430-21
NR7792--MA0002.2.RUNX1	chr4	123287777	123287787	+	0.000	0.000	Merged-chr4-123287942-8
NR5654--MA0684.1.RUNX3	chr19	10830053	10830062	-	0.000	0.000	Merged-chr19-10829902-50
NR2005--MA0002.2.RUNX1	chr11	99012424	99012434	-	0.000	0.000	Merged-chr11-99012536-12
NR10480--MA0002.2.RUNX1	chr8	110813284	110813294	-	0.000	0.000	Merged-chr8-110813191-16
NR3173--MA0002.2.RUNX1	chr13	96555356	96555366	+	0.000	0.000	Merged-chr13-96555289-36
NR11147--MA0684.1.RUNX3	chr9	105499567	105499576	-	0.000	0.000	Merged-chr9-105499679-15
NR3535--MA0511.2.RUNX2	chr14	66241410	66241418	-	0.000	0.000	Merged-chr14-66241484-22
NR9294--MA0002.2.RUNX1	chr6	136547310	136547320	+	0.000	0.000	Merged-chr6-136547260-16
NR3511--MA0002.2.RUNX1	chr14	63104030	63104040	-	0.000	0.000	Merged-chr14-63104126-25
NR5969--MA0511.2.RUNX2	chr2	13233449	13233457	-	0.000	0.000	Merged-chr2-13233524-26
NR5952--MA0684.1.RUNX3	chr2	10273996	10274005	-	0.000	0.000	Merged-chr2-10274045-5
NR5836--MA0002.2.RUNX1	chr19	46705948	46705958	+	0.000	0.000	Merged-chr19-46705884-16
NR10477--MA0002.2.RUNX1	chr8	110813252	110813262	-	0.000	0.000	Merged-chr8-110813191-16
NR6500--MA0002.2.RUNX1	chr2	144637307	144637317	+	0.000	0.000	Merged-chr2-144637414-14
NR1224--MA0684.1.RUNX3	chr10	80270197	80270206	-	0.000	0.000	Merged-chr10-80270188-4
NR5273--MA0002.2.RUNX1	chr18	23734925	23734935	+	0.000	0.000	Merged-chr18-23734973-16
NR3374--MA0684.1.RUNX3	chr14	25534437	25534446	-	0.000	0.000	Merged-chr14-25534315-15
NR5653--MA0002.2.RUNX1	chr19	10830052	10830062	+	0.000	0.000	Merged-chr19-10829902-50
NR3102--MA0002.2.RUNX1	chr13	85399090	85399100	+	0.000	0.000	Merged-chr13-85399027-23
NR10565--MA0002.2.RUNX1	chr8	121570459	121570469	+	0.000	0.000	Merged-chr8-121570466-14
NR2914--MA0002.2.RUNX1	chr13	30912397	30912407	+	0.000	0.000	Merged-chr13-30912363-13
NR3625--MA0002.2.RUNX1	chr14	74990691	74990701	+	0.000	0.000	Merged-chr14-74990757-12
NR9788--MA0002.2.RUNX1	chr7	99946599	99946609	-	0.000	0.000	Merged-chr7-99946527-26
NR5828--MA0002.2.RUNX1	chr19	45528076	45528086	+	0.000	0.000	Merged-chr19-45528060-29
NR87--MA0002.2.RUNX1	chr1	38963778	38963788	+	0.000	0.000	Merged-chr1-38963759-8
NR3192--MA0002.2.RUNX1	chr13	98803826	98803836	-	0.000	0.000	Merged-chr13-98803850-12
NR1435--MA0002.2.RUNX1	chr10	117938782	117938792	+	0.000	0.000	Merged-chr10-117938782-19
NR7729--MA0511.2.RUNX2	chr4	111440482	111440490	-	0.000	0.000	Merged-chr4-111440477-13
NR7236--MA0684.1.RUNX3	chr3	138753296	138753305	-	0.000	0.000	Merged-chr3-138753245-27
NR4047--MA0511.2.RUNX2	chr15	76795408	76795416	+	0.000	0.000	Merged-chr15-76795426-7
NR1814--MA0684.1.RUNX3	chr11	68768602	68768611	+	0.000	0.000	Merged-chr11-68768507-16
NR4199--MA0684.1.RUNX3	chr15	100265823	100265832	+	0.000	0.000	Merged-chr15-100265875-19
NR10679--MA0002.2.RUNX1	chr9	13518644	13518654	-	0.000	0.000	Merged-chr9-13518732-12
NR5134--MA0684.1.RUNX3	chr17	79394209	79394218	-	0.000	0.000	Merged-chr17-79394145-31
NR7066--MA0684.1.RUNX3	chr3	114889914	114889923	+	0.000	0.000	Merged-chr3-114889987-14
NR3804--MA0511.2.RUNX2	chr15	8157131	8157139	+	0.000	0.000	Merged-chr15-8157171-7
NR14--MA0511.2.RUNX2	chr1	7147198	7147206	+	0.000	0.000	Merged-chr1-7147128-26
NR986--MA0002.2.RUNX1	chr10	20855250	20855260	+	0.000	0.000	Merged-chr10-20855169-17
NR1322--MA0511.2.RUNX2	chr10	94211875	94211883	-	0.000	0.000	Merged-chr10-94211763-30
NR3155--MA0002.2.RUNX1	chr13	93789506	93789516	+	0.000	0.000	Merged-chr13-93789416-6
NR8830--MA0684.1.RUNX3	chr6	41189074	41189083	+	0.000	0.000	Merged-chr6-41189154-9
NR2936--MA0511.2.RUNX2	chr13	35871294	35871302	+	0.000	0.000	Merged-chr13-35871308-48
NR8586--MA0002.2.RUNX1	chr5	136459000	136459010	+	0.000	0.000	Merged-chr5-136458862-38
NR9319--MA0511.2.RUNX2	chr6	140493270	140493278	+	0.000	0.000	Merged-chr6-140493334-8
NR7235--MA0002.2.RUNX1	chr3	138753295	138753305	+	0.000	0.000	Merged-chr3-138753245-27
NR6904--MA0002.2.RUNX1	chr3	86563541	86563551	+	0.000	0.000	Merged-chr3-86563473-7
NR8294--MA0002.2.RUNX1	chr5	92166180	92166190	+	0.000	0.000	Merged-chr5-92166159-12
NR1228--MA0002.2.RUNX1	chr10	80271558	80271568	+	0.000	0.000	Merged-chr10-80271512-28
NR10589--MA0002.2.RUNX1	chr8	123341811	123341821	+	0.000	0.000	Merged-chr8-123341706-13
NR1227--MA0684.1.RUNX3	chr10	80271339	80271348	-	0.000	0.000	Merged-chr10-80271512-28
NR4313--MA0002.2.RUNX1	chr16	20014360	20014370	+	0.000	0.000	Merged-chr16-20014341-12
NR2937--MA0684.1.RUNX3	chr13	35871294	35871303	+	0.000	0.000	Merged-chr13-35871308-48
NR3029--MA0684.1.RUNX3	chr13	63112800	63112809	+	0.000	0.000	Merged-chr13-63112828-16
NR4164--MA0002.2.RUNX1	chr15	97420651	97420661	+	0.000	0.000	Merged-chr15-97420521-14
NR230--MA0002.2.RUNX1	chr1	64756880	64756890	+	0.000	0.000	Merged-chr1-64756853-21
NR548--MA0002.2.RUNX1	chr1	144276045	144276055	+	0.000	0.000	Merged-chr1-144275874-18
NR6575--MA0511.2.RUNX2	chr2	157190801	157190809	+	0.000	0.000	Merged-chr2-157190874-9
NR5970--MA0002.2.RUNX1	chr2	13233447	13233457	+	0.000	0.000	Merged-chr2-13233524-26
NR4034--MA0002.2.RUNX1	chr15	76037761	76037771	-	0.000	0.000	Merged-chr15-76037668-45
NR1752--MA0002.2.RUNX1	chr11	57686222	57686232	+	0.000	0.000	Merged-chr11-57686202-30
NR2496--MA0684.1.RUNX3	chr12	85655520	85655529	-	0.000	0.000	Merged-chr12-85655599-6
NR9517--MA0684.1.RUNX3	chr7	30402557	30402566	+	0.000	0.000	Merged-chr7-30402572-19
NR2856--MA0002.2.RUNX1	chr13	20502891	20502901	+	0.000	0.000	Merged-chr13-20502802-9
NR2842--MA0684.1.RUNX3	chr13	19518143	19518152	+	0.000	0.000	Merged-chr13-19518295-27
NR7165--MA0684.1.RUNX3	chr3	130788181	130788190	-	0.000	0.000	Merged-chr3-130788036-10
NR8584--MA0002.2.RUNX1	chr5	136458777	136458787	-	0.000	0.000	Merged-chr5-136458862-38
NR7730--MA0002.2.RUNX1	chr4	111440480	111440490	+	0.000	0.000	Merged-chr4-111440477-13
NR4114--MA0002.2.RUNX1	chr15	86051393	86051403	+	0.000	0.000	Merged-chr15-86051383-21
NR8997--MA0684.1.RUNX3	chr6	83066176	83066185	+	0.000	0.000	Merged-chr6-83066192-22
NR2913--MA0511.2.RUNX2	chr13	30912399	30912407	-	0.000	0.000	Merged-chr13-30912363-13
NR2272--MA0002.2.RUNX1	chr12	13512612	13512622	-	0.000	0.000	Merged-chr12-13512538-15
NR4507--MA0002.2.RUNX1	chr16	55520063	55520073	+	0.000	0.000	Merged-chr16-55519957-45
NR4597--MA0002.2.RUNX1	chr16	84800041	84800051	-	0.000	0.000	Merged-chr16-84800124-30
NR169--MA0511.2.RUNX2	chr1	54601343	54601351	-	0.000	0.000	Merged-chr1-54601410-5
NR2309--MA0002.2.RUNX1	chr12	25362963	25362973	+	0.000	0.000	Merged-chr12-25363030-6
NR165--MA0684.1.RUNX3	chr1	53970833	53970842	-	0.000	0.000	Merged-chr1-53970777-7
NR7313--MA0002.2.RUNX1	chr3	149394058	149394068	+	0.000	0.000	Merged-chr3-149393865-18
NR5950--MA0511.2.RUNX2	chr2	10273997	10274005	-	0.000	0.000	Merged-chr2-10274045-5
NR11222--MA0002.2.RUNX1	chr9	115610228	115610238	+	0.000	0.000	Merged-chr9-115610141-16
NR11474--MA0002.2.RUNX1	chrX	139798081	139798091	-	0.000	0.000	Merged-chrX-139798042-22
NR9320--MA0002.2.RUNX1	chr6	140493270	140493280	-	0.000	0.000	Merged-chr6-140493334-8
NR5755--MA0002.2.RUNX1	chr19	32138397	32138407	-	0.000	0.000	Merged-chr19-32138517-38
NR4187--MA0684.1.RUNX3	chr15	99154913	99154922	-	0.000	0.000	Merged-chr15-99154930-7
NR5611--MA0684.1.RUNX3	chr19	5257355	5257364	-	0.000	0.000	Merged-chr19-5257394-33
NR12--MA0002.2.RUNX1	chr1	7095993	7096003	+	0.000	0.000	Merged-chr1-7096130-35
NR2085--MA0684.1.RUNX3	chr11	106687555	106687564	-	0.000	0.000	Merged-chr11-106687558-7
NR4049--MA0684.1.RUNX3	chr15	76795408	76795417	+	0.000	0.000	Merged-chr15-76795426-7
NR8293--MA0511.2.RUNX2	chr5	92166182	92166190	-	0.000	0.000	Merged-chr5-92166159-12
NR5726--MA0002.2.RUNX1	chr19	27907137	27907147	+	0.000	0.000	Merged-chr19-27907203-12
NR9814--MA0002.2.RUNX1	chr7	105373094	105373104	+	0.000	0.000	Merged-chr7-105373185-17
NR4809--MA0684.1.RUNX3	chr17	12756060	12756069	+	0.000	0.000	Merged-chr17-12756128-8
NR8577--MA0511.2.RUNX2	chr5	136187975	136187983	+	0.000	0.000	Merged-chr5-136188126-9
NR10680--MA0684.1.RUNX3	chr9	13518644	13518653	+	0.000	0.000	Merged-chr9-13518732-12
NR5718--MA0002.2.RUNX1	chr19	23388437	23388447	+	0.000	0.000	Merged-chr19-23388451-6
NR5132--MA0511.2.RUNX2	chr17	79394210	79394218	-	0.000	0.000	Merged-chr17-79394145-31
NR931--MA0684.1.RUNX3	chr10	10307521	10307530	-	0.000	0.000	Merged-chr10-10307543-35
NR4067--MA0511.2.RUNX2	chr15	78923726	78923734	-	0.000	0.000	Merged-chr15-78923681-44
NR3792--MA0511.2.RUNX2	chr15	5693965	5693973	-	0.000	0.000	Merged-chr15-5693934-13
NR361--MA0002.2.RUNX1	chr1	91380683	91380693	+	0.000	0.000	Merged-chr1-91380709-23
NR9745--MA0002.2.RUNX1	chr7	89296950	89296960	-	0.000	0.000	Merged-chr7-89296974-11
NR10481--MA0684.1.RUNX3	chr8	110813284	110813293	+	0.000	0.000	Merged-chr8-110813191-16
NR9575--MA0002.2.RUNX1	chr7	47127392	47127402	-	0.000	0.000	Merged-chr7-47127326-4
NR2682--MA0002.2.RUNX1	chr12	112605990	112606000	+	0.000	0.000	Merged-chr12-112605824-36
NR2443--MA0002.2.RUNX1	chr12	76953590	76953600	+	0.000	0.000	Merged-chr12-76953735-9
NR1225--MA0511.2.RUNX2	chr10	80271340	80271348	-	0.000	0.000	Merged-chr10-80271512-28
NR170--MA0002.2.RUNX1	chr1	54601341	54601351	+	0.000	0.000	Merged-chr1-54601410-5
NR92--MA0002.2.RUNX1	chr1	39559239	39559249	-	0.000	0.000	Merged-chr1-39559167-24
NR15--MA0002.2.RUNX1	chr1	7147198	7147208	-	0.000	0.000	Merged-chr1-7147128-26
NR1221--MA0684.1.RUNX3	chr10	79797771	79797780	-	0.000	0.000	Merged-chr10-79797957-4
NR6653--MA0002.2.RUNX1	chr2	168429763	168429773	-	0.000	0.000	Merged-chr2-168429700-17
NR9010--MA0002.2.RUNX1	chr6	86595128	86595138	+	0.000	0.000	Merged-chr6-86595040-14
NR5719--MA0511.2.RUNX2	chr19	23388478	23388486	-	0.000	0.000	Merged-chr19-23388451-6
NR3497--MA0511.2.RUNX2	chr14	61518777	61518785	+	0.000	0.000	Merged-chr14-61518892-20
NR3398--MA0002.2.RUNX1	chr14	30579522	30579532	-	0.000	0.000	Merged-chr14-30579338-21
NR7489--MA0511.2.RUNX2	chr4	41307579	41307587	-	0.000	0.000	Merged-chr4-41307588-21
NR2970--MA0511.2.RUNX2	chr13	45455949	45455957	+	0.000	0.000	Merged-chr13-45455779-40
NR6883--MA0684.1.RUNX3	chr3	79504697	79504706	-	0.000	0.000	Merged-chr3-79504650-9
NR10478--MA0684.1.RUNX3	chr8	110813252	110813261	+	0.000	0.000	Merged-chr8-110813191-16
NR2840--MA0511.2.RUNX2	chr13	19518143	19518151	+	0.000	0.000	Merged-chr13-19518295-27
NR7434--MA0511.2.RUNX2	chr4	21842815	21842823	+	0.000	0.000	Merged-chr4-21842691-16
NR5754--MA0511.2.RUNX2	chr19	32138397	32138405	+	0.000	0.000	Merged-chr19-32138517-38
NR4944--MA0002.2.RUNX1	chr17	35115619	35115629	-	0.000	0.000	Merged-chr17-35115733-16
NR3499--MA0002.2.RUNX1	chr14	61518823	61518833	-	0.000	0.000	Merged-chr14-61518892-20
NR914--MA0002.2.RUNX1	chr10	6997049	6997059	+	0.000	0.000	Merged-chr10-6997125-11
NR5274--MA0684.1.RUNX3	chr18	23734926	23734935	-	0.000	0.000	Merged-chr18-23734973-16
NR3103--MA0684.1.RUNX3	chr13	85399091	85399100	-	0.000	0.000	Merged-chr13-85399027-23
NR11--MA0511.2.RUNX2	chr1	7095995	7096003	-	0.000	0.000	Merged-chr1-7096130-35
NR2915--MA0684.1.RUNX3	chr13	30912398	30912407	-	0.000	0.000	Merged-chr13-30912363-13
NR3626--MA0684.1.RUNX3	chr14	74990692	74990701	-	0.000	0.000	Merged-chr14-74990757-12
NR9789--MA0684.1.RUNX3	chr7	99946599	99946608	+	0.000	0.000	Merged-chr7-99946527-26
NR2082--MA0002.2.RUNX1	chr11	106479766	106479776	+	0.000	0.000	Merged-chr11-106479726-1
NR88--MA0684.1.RUNX3	chr1	38963779	38963788	-	0.000	0.000	Merged-chr1-38963759-8
NR3193--MA0684.1.RUNX3	chr13	98803826	98803835	+	0.000	0.000	Merged-chr13-98803850-12
NR8995--MA0511.2.RUNX2	chr6	83066176	83066184	+	0.000	0.000	Merged-chr6-83066192-22
NR546--MA0684.1.RUNX3	chr1	144206511	144206520	-	0.000	0.000	Merged-chr1-144206482-15
NR398--MA0002.2.RUNX1	chr1	97614015	97614025	-	0.000	0.000	Merged-chr1-97613912-17
NR2971--MA0684.1.RUNX3	chr13	45455949	45455958	+	0.000	0.000	Merged-chr13-45455779-40
NR2584--MA0002.2.RUNX1	chr12	100508856	100508866	-	0.000	0.000	Merged-chr12-100508863-24
NR6576--MA0002.2.RUNX1	chr2	157190801	157190811	-	0.000	0.000	Merged-chr2-157190874-9
NR2215--MA0002.2.RUNX1	chr11	118212770	118212780	+	0.000	0.000	Merged-chr11-118212846-19
NR163--MA0511.2.RUNX2	chr1	53970834	53970842	-	0.000	0.000	Merged-chr1-53970777-7
NR6263--MA0002.2.RUNX1	chr2	91078419	91078429	+	0.000	0.000	Merged-chr2-91078502-21
NR2032--MA0002.2.RUNX1	chr11	102061325	102061335	-	0.000	0.000	Merged-chr11-102061381-17
NR987--MA0684.1.RUNX3	chr10	20855251	20855260	-	0.000	0.000	Merged-chr10-20855169-17
NR8737--MA0002.2.RUNX1	chr6	8641058	8641068	-	0.000	0.000	Merged-chr6-8641126-10
NR2045--MA0002.2.RUNX1	chr11	103253784	103253794	+	0.000	0.000	Merged-chr11-103253823-14
NR11154--MA0002.2.RUNX1	chr9	106313015	106313025	+	0.000	0.000	Merged-chr9-106313051-17
NR1552--MA0002.2.RUNX1	chr11	3702162	3702172	+	0.000	0.000	Merged-chr11-3702327-20
NR579--MA0002.2.RUNX1	chr1	153058380	153058390	-	0.000	0.000	Merged-chr1-153058312-17
NR8828--MA0511.2.RUNX2	chr6	41189074	41189082	+	0.000	0.000	Merged-chr6-41189154-9
NR6877--MA0511.2.RUNX2	chr3	69223878	69223886	-	0.000	0.000	Merged-chr3-69223977-21
NR3734--MA0002.2.RUNX1	chr14	118919218	118919228	+	0.000	0.000	Merged-chr14-118919285-17
NR8470--MA0511.2.RUNX2	chr5	115085108	115085116	+	0.000	0.000	Merged-chr5-115085067-14
NR11146--MA0002.2.RUNX1	chr9	105499566	105499576	+	0.000	0.000	Merged-chr9-105499679-15
NR2003--MA0002.2.RUNX1	chr11	98953010	98953020	+	0.000	0.000	Merged-chr11-98953016-12
NR6905--MA0684.1.RUNX3	chr3	86563542	86563551	-	0.000	0.000	Merged-chr3-86563473-7
NR8295--MA0684.1.RUNX3	chr5	92166181	92166190	-	0.000	0.000	Merged-chr5-92166159-12
NR6343--MA0002.2.RUNX1	chr2	116921577	116921587	+	0.000	0.000	Merged-chr2-116921612-11
NR8579--MA0684.1.RUNX3	chr5	136187975	136187984	+	0.000	0.000	Merged-chr5-136188126-9
NR636--MA0511.2.RUNX2	chr1	161909273	161909281	+	0.000	0.000	Merged-chr1-161909340-8
NR10871--MA0002.2.RUNX1	chr9	62412261	62412271	-	0.000	0.000	Merged-chr9-62412387-14
NR4807--MA0511.2.RUNX2	chr17	12756060	12756068	+	0.000	0.000	Merged-chr17-12756128-8
NR4314--MA0684.1.RUNX3	chr16	20014361	20014370	-	0.000	0.000	Merged-chr16-20014341-12
NR2138--MA0002.2.RUNX1	chr11	109744010	109744020	+	0.000	0.000	Merged-chr11-109744155-21
NR5720--MA0002.2.RUNX1	chr19	23388476	23388486	+	0.000	0.000	Merged-chr19-23388451-6
NR6163--MA0511.2.RUNX2	chr2	65133924	65133932	+	0.000	0.000	Merged-chr2-65133825-19
NR7490--MA0002.2.RUNX1	chr4	41307577	41307587	+	0.000	0.000	Merged-chr4-41307588-21
