#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Bcl6/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-log2fc-1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-log2fc-1_up.bed
NR909--MA0463.1.Bcl6	chr17	51762828	51762841	+	0.000	0.000	Merged-chr17-51762690-29
NR1962--MA0463.1.Bcl6	chr8	107505472	107505485	+	0.000	0.000	Merged-chr8-107505522-28
NR2091--MA0731.1.BCL6B	chr9	106070592	106070608	-	0.000	0.000	Merged-chr9-106070497-6
NR1613--MA0463.1.Bcl6	chr5	121796140	121796153	-	0.000	0.000	Merged-chr5-121796162-9
NR2014--MA0731.1.BCL6B	chr9	46067768	46067784	+	0.000	0.000	Merged-chr9-46067902-17
NR548--MA0731.1.BCL6B	chr13	51776548	51776564	-	0.000	0.000	Merged-chr13-51776600-43
NR230--MA0463.1.Bcl6	chr10	68147266	68147279	-	0.000	0.000	Merged-chr10-68147068-31
NR557--MA0463.1.Bcl6	chr13	63512765	63512778	-	0.000	0.000	Merged-chr13-63512619-6
NR1476--MA0463.1.Bcl6	chr4	132748936	132748949	-	0.000	0.000	Merged-chr4-132748989-25
NR479--MA0731.1.BCL6B	chr12	102651551	102651567	+	0.000	0.000	Merged-chr12-102651576-1
NR329--MA0463.1.Bcl6	chr11	58116851	58116864	-	0.000	0.000	Merged-chr11-58116788-9
NR1431--MA0731.1.BCL6B	chr4	88179518	88179534	-	0.000	0.000	Merged-chr4-88179548-21
NR2020--MA0463.1.Bcl6	chr9	52075395	52075408	+	0.000	0.000	Merged-chr9-52075566-6
NR1168--MA0463.1.Bcl6	chr2	128366044	128366057	+	0.000	0.000	Merged-chr2-128365920-27
NR1088--MA0463.1.Bcl6	chr2	53088805	53088818	+	0.000	0.000	Merged-chr2-53088913-36
NR1661--MA0463.1.Bcl6	chr6	54956222	54956235	-	0.000	0.000	Merged-chr6-54956270-34
NR137--MA0731.1.BCL6B	chr1	165682669	165682685	+	0.000	0.000	Merged-chr1-165682736-19
NR1123--MA0731.1.BCL6B	chr2	78988388	78988404	-	0.000	0.000	Merged-chr2-78988349-6
NR1503--MA0731.1.BCL6B	chr4	149889292	149889308	-	0.000	0.000	Merged-chr4-149889246-22
NR2118--MA0731.1.BCL6B	chr9	121675081	121675097	-	0.000	0.000	Merged-chr9-121675261-45
NR1864--MA0731.1.BCL6B	chr7	125593318	125593334	-	0.000	0.000	Merged-chr7-125593204-10
NR1604--MA0731.1.BCL6B	chr5	110650347	110650363	+	0.000	0.000	Merged-chr5-110650328-3
NR354--MA0463.1.Bcl6	chr11	78766586	78766599	+	0.000	0.000	Merged-chr11-78766561-26
NR1040--MA0463.1.Bcl6	chr19	56756642	56756655	-	0.000	0.000	Merged-chr19-56756635-43
NR1479--MA0463.1.Bcl6	chr4	133058092	133058105	+	0.000	0.000	Merged-chr4-133057911-45
NR1325--MA0731.1.BCL6B	chr3	121570746	121570762	-	0.000	0.000	Merged-chr3-121570822-16
NR2126--MA0463.1.Bcl6	chr9	123723168	123723181	-	0.000	0.000	Merged-chr9-123723255-25
NR1381--MA0731.1.BCL6B	chr3	148419638	148419654	-	0.000	0.000	Merged-chr3-148419698-33
NR1422--MA0463.1.Bcl6	chr4	63928366	63928379	-	0.000	0.000	Merged-chr4-63928441-11
NR978--MA0463.1.Bcl6	chr18	65481390	65481403	-	0.000	0.000	Merged-chr18-65481395-37
NR884--MA0463.1.Bcl6	chr17	30335836	30335849	+	0.000	0.000	Merged-chr17-30335946-15
NR1324--MA0463.1.Bcl6	chr3	121570749	121570762	+	0.000	0.000	Merged-chr3-121570822-16
NR478--MA0463.1.Bcl6	chr12	102350886	102350899	+	0.000	0.000	Merged-chr12-102350976-38
NR1182--MA0463.1.Bcl6	chr2	144198942	144198955	+	0.000	0.000	Merged-chr2-144198804-26
NR677--MA0731.1.BCL6B	chr14	65330861	65330877	+	0.000	0.000	Merged-chr14-65330788-23
NR1057--MA0731.1.BCL6B	chr2	13836413	13836429	+	0.000	0.000	Merged-chr2-13836576-22
NR1608--MA0463.1.Bcl6	chr5	114194254	114194267	+	0.000	0.000	Merged-chr5-114194325-12
NR330--MA0731.1.BCL6B	chr11	62507993	62508009	+	0.000	0.000	Merged-chr11-62507903-32
NR220--MA0463.1.Bcl6	chr10	62037230	62037243	-	0.000	0.000	Merged-chr10-62037241-1
NR547--MA0463.1.Bcl6	chr13	51776549	51776562	-	0.000	0.000	Merged-chr13-51776600-43
NR1259--MA0731.1.BCL6B	chr3	52850196	52850212	-	0.000	0.000	Merged-chr3-52850315-12
NR1041--MA0463.1.Bcl6	chr19	56771430	56771443	-	0.000	0.000	Merged-chr19-56771635-4
NR1089--MA0731.1.BCL6B	chr2	53088802	53088818	-	0.000	0.000	Merged-chr2-53088913-36
NR1731--MA0463.1.Bcl6	chr6	133986387	133986400	+	0.000	0.000	Merged-chr6-133986314-22
NR1727--MA0463.1.Bcl6	chr6	127617404	127617417	+	0.000	0.000	Merged-chr6-127617353-34
NR2029--MA0463.1.Bcl6	chr9	62455350	62455363	+	0.000	0.000	Merged-chr9-62455455-9
NR719--MA0463.1.Bcl6	chr14	121349650	121349663	-	0.000	0.000	Merged-chr14-121349537-45
NR746--MA0463.1.Bcl6	chr15	60136864	60136877	+	0.000	0.000	Merged-chr15-60136862-12
NR1720--MA0731.1.BCL6B	chr6	120529141	120529157	-	0.000	0.000	Merged-chr6-120529161-48
NR2064--MA0731.1.BCL6B	chr9	86662058	86662074	-	0.000	0.000	Merged-chr9-86661955-9
NR1455--MA0463.1.Bcl6	chr4	107006366	107006379	-	0.000	0.000	Merged-chr4-107006366-21
NR1998--MA0731.1.BCL6B	chr9	21901646	21901662	+	0.000	0.000	Merged-chr9-21901660-8
