#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-log2fc-1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-log2fc-1_dn.bed
NR163--MA0495.2.MAFF	chr1	60902847	60902867	-	0.000	0.000	Merged-chr1-60902675-29
NR165--MA0659.1.MAFG	chr1	60902847	60902867	-	0.000	0.000	Merged-chr1-60902675-29
NR10857--MA0659.1.MAFG	chr7	25107335	25107355	+	0.000	0.000	Merged-chr7-25107253-25
NR7856--MA0591.1.Bach1::Mafk	chr3	100421766	100421780	+	0.000	0.000	Merged-chr3-100421832-10
NR10171--MA0089.1.MAFG::NFE2L1	chr6	67014823	67014828	-	0.000	0.000	Merged-chr6-67014748-19
NR9295--MA0089.1.MAFG::NFE2L1	chr5	57964485	57964490	-	0.000	0.000	Merged-chr5-57964492-18
NR12497--MA0591.1.Bach1::Mafk	chr9	82809123	82809137	-	0.000	0.000	Merged-chr9-82809314-11
NR2159--MA0496.2.MAFK	chr11	72941084	72941102	+	0.000	0.000	Merged-chr11-72940930-27
NR9582--MA0089.1.MAFG::NFE2L1	chr5	105541195	105541200	+	0.000	0.000	Merged-chr5-105541026-23
NR9359--MA0495.2.MAFF	chr5	74456858	74456878	-	0.000	0.000	Merged-chr5-74456993-19
NR9336--MA0496.2.MAFK	chr5	67437632	67437650	+	0.000	0.000	Merged-chr5-67437495-24
NR10480--MA0495.2.MAFF	chr6	125541046	125541066	-	0.000	0.000	Merged-chr6-125540912-17
NR7996--MA0659.1.MAFG	chr3	116474786	116474806	+	0.000	0.000	Merged-chr3-116474712-27
NR8966--MA0591.1.Bach1::Mafk	chr4	145209527	145209541	+	0.000	0.000	Merged-chr4-145209474-14
NR3943--MA0496.2.MAFK	chr14	27268382	27268400	+	0.000	0.000	Merged-chr14-27268313-23
NR202--MA0117.2.Mafb	chr1	64081527	64081538	-	0.000	0.000	Merged-chr1-64081598-14
NR3721--MA0501.1.MAF::NFE2	chr13	109238842	109238856	+	0.000	0.000	Merged-chr13-109238823-1
NR4358--MA0089.1.MAFG::NFE2L1	chr15	6512369	6512374	+	0.000	0.000	Merged-chr15-6512431-6
NR7433--MA0089.1.MAFG::NFE2L1	chr2	167967795	167967800	-	0.000	0.000	Merged-chr2-167967809-5
NR4776--MA0501.1.MAF::NFE2	chr15	100461863	100461877	-	0.000	0.000	Merged-chr15-100461811-2
NR3753--MA0117.2.Mafb	chr13	110683202	110683213	-	0.000	0.000	Merged-chr13-110683272-3
NR8475--MA0591.1.Bach1::Mafk	chr4	32906829	32906843	+	0.000	0.000	Merged-chr4-32906813-40
NR4297--MA0501.1.MAF::NFE2	chr14	120572328	120572342	-	0.000	0.000	Merged-chr14-120572441-59
NR11423--MA0089.1.MAFG::NFE2L1	chr7	125423153	125423158	-	0.000	0.000	Merged-chr7-125423125-27
NR10912--MA0501.1.MAF::NFE2	chr7	30000836	30000850	-	0.000	0.000	Merged-chr7-30000834-5
NR5689--MA0089.1.MAFG::NFE2L1	chr17	94341816	94341821	+	0.000	0.000	Merged-chr17-94341834-1
NR7935--MA0089.1.MAFG::NFE2L1	chr3	108504044	108504049	+	0.000	0.000	Merged-chr3-108504114-26
NR10482--MA0591.1.Bach1::Mafk	chr6	125541049	125541063	-	0.000	0.000	Merged-chr6-125540912-17
NR7857--MA0501.1.MAF::NFE2	chr3	100421769	100421783	+	0.000	0.000	Merged-chr3-100421832-10
NR10906--MA0496.2.MAFK	chr7	30000773	30000791	+	0.000	0.000	Merged-chr7-30000834-5
NR9716--MA0089.1.MAFG::NFE2L1	chr5	122380010	122380015	-	0.000	0.000	Merged-chr5-122379949-17
NR12457--MA0659.1.MAFG	chr9	78593280	78593300	+	0.000	0.000	Merged-chr9-78593326-11
NR9354--MA0501.1.MAF::NFE2	chr5	73199814	73199828	-	0.000	0.000	Merged-chr5-73199876-43
NR3210--MA0496.2.MAFK	chr13	9082704	9082722	+	0.000	0.000	Merged-chr13-9082570-19
NR2288--MA0501.1.MAF::NFE2	chr11	90576723	90576737	+	0.000	0.000	Merged-chr11-90576690-20
NR11044--MA0501.1.MAF::NFE2	chr7	67390931	67390945	+	0.000	0.000	Merged-chr7-67390968-9
NR5842--MA0496.2.MAFK	chr18	43492937	43492955	+	0.000	0.000	Merged-chr18-43493033-11
NR9801--MA0089.1.MAFG::NFE2L1	chr5	140622818	140622823	-	0.000	0.000	Merged-chr5-140622986-3
NR2802--MA0501.1.MAF::NFE2	chr12	81845112	81845126	-	0.000	0.000	Merged-chr12-81845150-28
NR1464--MA0089.1.MAFG::NFE2L1	chr10	82053794	82053799	+	0.000	0.000	Merged-chr10-82053844-6
NR5883--MA0495.2.MAFF	chr18	55107147	55107167	-	0.000	0.000	Merged-chr18-55107186-34
NR4956--MA0501.1.MAF::NFE2	chr16	44322074	44322088	-	0.000	0.000	Merged-chr16-44321913-9
NR1185--MA0117.2.Mafb	chr10	17920071	17920082	-	0.000	0.000	Merged-chr10-17920210-30
NR5885--MA0659.1.MAFG	chr18	55107147	55107167	-	0.000	0.000	Merged-chr18-55107186-34
NR9327--MA0659.1.MAFG	chr5	67404581	67404601	-	0.000	0.000	Merged-chr5-67404737-28
NR1288--MA0089.1.MAFG::NFE2L1	chr10	39522263	39522268	-	0.000	0.000	Merged-chr10-39522157-23
NR2201--MA0089.1.MAFG::NFE2L1	chr11	77816249	77816254	+	0.000	0.000	Merged-chr11-77816156-19
NR10542--MA0117.2.Mafb	chr6	130538555	130538566	-	0.000	0.000	Merged-chr6-130538609-12
NR10314--MA0659.1.MAFG	chr6	99420832	99420852	-	0.000	0.000	Merged-chr6-99420809-31
NR6044--MA0089.1.MAFG::NFE2L1	chr18	80642635	80642640	+	0.000	0.000	Merged-chr18-80642669-13
NR9353--MA0591.1.Bach1::Mafk	chr5	73199817	73199831	-	0.000	0.000	Merged-chr5-73199876-43
NR9825--MA0089.1.MAFG::NFE2L1	chr5	143561770	143561775	-	0.000	0.000	Merged-chr5-143561800-6
NR9370--MA0495.2.MAFF	chr5	74471049	74471069	+	0.000	0.000	Merged-chr5-74471085-11
NR12767--MA0501.1.MAF::NFE2	chr9	117215559	117215573	+	0.000	0.000	Merged-chr9-117215431-1
NR9372--MA0659.1.MAFG	chr5	74471049	74471069	+	0.000	0.000	Merged-chr5-74471085-11
NR328--MA0501.1.MAF::NFE2	chr1	88497495	88497509	-	0.000	0.000	Merged-chr1-88497619-10
NR12181--MA0089.1.MAFG::NFE2L1	chr9	14548227	14548232	+	0.000	0.000	Merged-chr9-14548192-17
NR1284--MA0089.1.MAFG::NFE2L1	chr10	39458912	39458917	+	0.000	0.000	Merged-chr10-39458935-16
NR6658--MA0591.1.Bach1::Mafk	chr2	45023958	45023972	+	0.000	0.000	Merged-chr2-45024097-31
NR9923--MA0089.1.MAFG::NFE2L1	chr6	6577516	6577521	+	0.000	0.000	Merged-chr6-6577639-1
NR5794--MA0496.2.MAFK	chr18	32311874	32311892	-	0.000	0.000	Merged-chr18-32311918-36
NR11769--MA0089.1.MAFG::NFE2L1	chr8	70635690	70635695	-	0.000	0.000	Merged-chr8-70635559-11
NR2639--MA0659.1.MAFG	chr12	26185250	26185270	-	0.000	0.000	Merged-chr12-26185150-29
NR3132--MA0501.1.MAF::NFE2	chr12	116269654	116269668	-	0.000	0.000	Merged-chr12-116269685-29
NR4372--MA0089.1.MAFG::NFE2L1	chr15	9435986	9435991	+	0.000	0.000	Merged-chr15-9435954-24
NR2238--MA0089.1.MAFG::NFE2L1	chr11	83629041	83629046	-	0.000	0.000	Merged-chr11-83628943-8
NR12496--MA0089.1.MAFG::NFE2L1	chr9	82809130	82809135	-	0.000	0.000	Merged-chr9-82809314-11
NR8401--MA0089.1.MAFG::NFE2L1	chr4	7112407	7112412	+	0.000	0.000	Merged-chr4-7112485-9
NR9312--MA0501.1.MAF::NFE2	chr5	65951298	65951312	+	0.000	0.000	Merged-chr5-65951105-46
NR5528--MA0089.1.MAFG::NFE2L1	chr17	65947475	65947480	+	0.000	0.000	Merged-chr17-65947509-8
NR4382--MA0496.2.MAFK	chr15	11952478	11952496	-	0.000	0.000	Merged-chr15-11952376-20
NR2189--MA0496.2.MAFK	chr11	76770742	76770760	-	0.000	0.000	Merged-chr11-76770779-7
NR11041--MA0591.1.Bach1::Mafk	chr7	66250208	66250222	-	0.000	0.000	Merged-chr7-66250161-34
NR12798--MA0089.1.MAFG::NFE2L1	chr9	119254991	119254996	-	0.000	0.000	Merged-chr9-119254891-26
NR12651--MA0117.2.Mafb	chr9	102573087	102573098	+	0.000	0.000	Merged-chr9-102573138-23
NR11774--MA0496.2.MAFK	chr8	70635681	70635699	-	0.000	0.000	Merged-chr8-70635559-11
NR3297--MA0496.2.MAFK	chr13	24515260	24515278	+	0.000	0.000	Merged-chr13-24515324-15
NR1205--MA0089.1.MAFG::NFE2L1	chr10	21395537	21395542	+	0.000	0.000	Merged-chr10-21395563-5
NR8780--MA0117.2.Mafb	chr4	119962920	119962931	-	0.000	0.000	Merged-chr4-119962727-36
NR10168--MA0501.1.MAF::NFE2	chr6	67014762	67014776	-	0.000	0.000	Merged-chr6-67014748-19
NR5262--MA0501.1.MAF::NFE2	chr16	97002597	97002611	-	0.000	0.000	Merged-chr16-97002537-1
NR5824--MA0117.2.Mafb	chr18	39185933	39185944	-	0.000	0.000	Merged-chr18-39185847-29
NR1431--MA0591.1.Bach1::Mafk	chr10	77225546	77225560	+	0.000	0.000	Merged-chr10-77225622-11
NR3204--MA0495.2.MAFF	chr13	9082703	9082723	+	0.000	0.000	Merged-chr13-9082570-19
NR233--MA0591.1.Bach1::Mafk	chr1	69548600	69548614	-	0.000	0.000	Merged-chr1-69548718-45
NR10913--MA0496.2.MAFK	chr7	30000837	30000855	+	0.000	0.000	Merged-chr7-30000834-5
NR8929--MA0089.1.MAFG::NFE2L1	chr4	141419657	141419662	-	0.000	0.000	Merged-chr4-141419764-31
NR6735--MA0501.1.MAF::NFE2	chr2	55253364	55253378	-	0.000	0.000	Merged-chr2-55253274-13
NR6965--MA0591.1.Bach1::Mafk	chr2	114135319	114135333	+	0.000	0.000	Merged-chr2-114135366-6
NR3206--MA0117.2.Mafb	chr13	9082712	9082723	-	0.000	0.000	Merged-chr13-9082570-19
NR7835--MA0591.1.Bach1::Mafk	chr3	95942953	95942967	+	0.000	0.000	Merged-chr3-95942857-2
NR7627--MA0501.1.MAF::NFE2	chr3	27210449	27210463	-	0.000	0.000	Merged-chr3-27210457-3
NR3685--MA0117.2.Mafb	chr13	106454648	106454659	-	0.000	0.000	Merged-chr13-106454673-2
NR6254--MA0496.2.MAFK	chr19	33160167	33160185	+	0.000	0.000	Merged-chr19-33160221-22
NR6389--MA0495.2.MAFF	chr19	57329136	57329156	+	0.000	0.000	Merged-chr19-57329037-3
NR9352--MA0089.1.MAFG::NFE2L1	chr5	73199824	73199829	-	0.000	0.000	Merged-chr5-73199876-43
NR10904--MA0591.1.Bach1::Mafk	chr7	30000775	30000789	-	0.000	0.000	Merged-chr7-30000834-5
NR12994--MA0089.1.MAFG::NFE2L1	chrX	104760551	104760556	-	0.000	0.000	Merged-chrX-104760741-26
NR3130--MA0117.2.Mafb	chr12	116269654	116269665	+	0.000	0.000	Merged-chr12-116269685-29
NR10856--MA0495.2.MAFF	chr7	25107335	25107355	-	0.000	0.000	Merged-chr7-25107253-25
NR7607--MA0089.1.MAFG::NFE2L1	chr3	21224541	21224546	+	0.000	0.000	Merged-chr3-21224664-3
NR4908--MA0089.1.MAFG::NFE2L1	chr16	32741603	32741608	-	0.000	0.000	Merged-chr16-32741529-1
NR11184--MA0501.1.MAF::NFE2	chr7	99794263	99794277	-	0.000	0.000	Merged-chr7-99794311-17
NR10858--MA0659.1.MAFG	chr7	25107335	25107355	-	0.000	0.000	Merged-chr7-25107253-25
NR10972--MA0591.1.Bach1::Mafk	chr7	49762880	49762894	+	0.000	0.000	Merged-chr7-49762758-15
NR3461--MA0089.1.MAFG::NFE2L1	chr13	64049733	64049738	-	0.000	0.000	Merged-chr13-64049732-3
NR6086--MA0089.1.MAFG::NFE2L1	chr18	84859697	84859702	+	0.000	0.000	Merged-chr18-84859622-32
NR9686--MA0495.2.MAFF	chr5	118620495	118620515	+	0.000	0.000	Merged-chr5-118620530-42
NR3290--MA0495.2.MAFF	chr13	24515259	24515279	+	0.000	0.000	Merged-chr13-24515324-15
NR12711--MA0117.2.Mafb	chr9	111138456	111138467	-	0.000	0.000	Merged-chr9-111138403-3
NR2287--MA0117.2.Mafb	chr11	90576726	90576737	-	0.000	0.000	Merged-chr11-90576690-20
NR5720--MA0089.1.MAFG::NFE2L1	chr18	5694538	5694543	+	0.000	0.000	Merged-chr18-5694694-26
NR11349--MA0591.1.Bach1::Mafk	chr7	116409585	116409599	-	0.000	0.000	Merged-chr7-116409560-37
NR11194--MA0089.1.MAFG::NFE2L1	chr7	101547951	101547956	+	0.000	0.000	Merged-chr7-101547952-32
NR3928--MA0591.1.Bach1::Mafk	chr14	20846168	20846182	-	0.000	0.000	Merged-chr14-20846065-30
NR9374--MA0501.1.MAF::NFE2	chr5	74471049	74471063	-	0.000	0.000	Merged-chr5-74471085-11
NR9364--MA0495.2.MAFF	chr5	74470989	74471009	+	0.000	0.000	Merged-chr5-74471085-11
NR1466--MA0501.1.MAF::NFE2	chr10	82053780	82053794	+	0.000	0.000	Merged-chr10-82053844-6
NR4579--MA0117.2.Mafb	chr15	66558971	66558982	-	0.000	0.000	Merged-chr15-66559012-25
NR3296--MA0501.1.MAF::NFE2	chr13	24515265	24515279	+	0.000	0.000	Merged-chr13-24515324-15
NR3292--MA0117.2.Mafb	chr13	24515259	24515270	+	0.000	0.000	Merged-chr13-24515324-15
NR12479--MA0591.1.Bach1::Mafk	chr9	80252242	80252256	-	0.000	0.000	Merged-chr9-80252331-18
NR5886--MA0496.2.MAFK	chr18	55107148	55107166	+	0.000	0.000	Merged-chr18-55107186-34
NR9328--MA0501.1.MAF::NFE2	chr5	67404587	67404601	+	0.000	0.000	Merged-chr5-67404737-28
NR10563--MA0117.2.Mafb	chr6	134710581	134710592	+	0.000	0.000	Merged-chr6-134710635-12
NR5631--MA0089.1.MAFG::NFE2L1	chr17	85901467	85901472	-	0.000	0.000	Merged-chr17-85901349-9
NR3384--MA0496.2.MAFK	chr13	45827704	45827722	+	0.000	0.000	Merged-chr13-45827627-7
NR3862--MA0501.1.MAF::NFE2	chr13	119657428	119657442	-	0.000	0.000	Merged-chr13-119657260-10
NR11708--MA0089.1.MAFG::NFE2L1	chr8	46636515	46636520	+	0.000	0.000	Merged-chr8-46636605-4
NR9337--MA0496.2.MAFK	chr5	67437632	67437650	-	0.000	0.000	Merged-chr5-67437495-24
NR11768--MA0495.2.MAFF	chr8	70635680	70635700	+	0.000	0.000	Merged-chr8-70635559-11
NR4439--MA0089.1.MAFG::NFE2L1	chr15	37193060	37193065	+	0.000	0.000	Merged-chr15-37193081-4
NR10578--MA0089.1.MAFG::NFE2L1	chr6	136547245	136547250	+	0.000	0.000	Merged-chr6-136547260-16
NR10315--MA0496.2.MAFK	chr6	99420833	99420851	+	0.000	0.000	Merged-chr6-99420809-31
NR2756--MA0089.1.MAFG::NFE2L1	chr12	70995435	70995440	+	0.000	0.000	Merged-chr12-70995410-19
NR10902--MA0495.2.MAFF	chr7	30000772	30000792	+	0.000	0.000	Merged-chr7-30000834-5
NR2879--MA0117.2.Mafb	chr12	92823563	92823574	+	0.000	0.000	Merged-chr12-92823421-39
NR1592--MA0117.2.Mafb	chr10	95964827	95964838	+	0.000	0.000	Merged-chr10-95964744-26
NR4148--MA0089.1.MAFG::NFE2L1	chr14	77906646	77906651	+	0.000	0.000	Merged-chr14-77906717-3
NR2365--MA0089.1.MAFG::NFE2L1	chr11	103776890	103776895	-	0.000	0.000	Merged-chr11-103776919-6
NR12311--MA0591.1.Bach1::Mafk	chr9	48817501	48817515	+	0.000	0.000	Merged-chr9-48817420-28
NR5466--MA0089.1.MAFG::NFE2L1	chr17	46378795	46378800	+	0.000	0.000	Merged-chr17-46378659-16
NR9181--MA0089.1.MAFG::NFE2L1	chr5	20792269	20792274	-	0.000	0.000	Merged-chr5-20792282-29
NR4839--MA0089.1.MAFG::NFE2L1	chr16	10976316	10976321	-	0.000	0.000	Merged-chr16-10976349-23
NR1264--MA0495.2.MAFF	chr10	34096552	34096572	+	0.000	0.000	Merged-chr10-34096665-20
NR2186--MA0591.1.Bach1::Mafk	chr11	76770744	76770758	+	0.000	0.000	Merged-chr11-76770779-7
NR1266--MA0659.1.MAFG	chr10	34096552	34096572	+	0.000	0.000	Merged-chr10-34096665-20
NR10166--MA0659.1.MAFG	chr6	67014762	67014782	+	0.000	0.000	Merged-chr6-67014748-19
NR10165--MA0591.1.Bach1::Mafk	chr6	67014765	67014779	-	0.000	0.000	Merged-chr6-67014748-19
NR9958--MA0117.2.Mafb	chr6	12082108	12082119	+	0.000	0.000	Merged-chr6-12082002-27
NR8779--MA0501.1.MAF::NFE2	chr4	119921452	119921466	-	0.000	0.000	Merged-chr4-119921315-32
NR9294--MA0089.1.MAFG::NFE2L1	chr5	57964487	57964492	+	0.000	0.000	Merged-chr5-57964492-18
NR11023--MA0117.2.Mafb	chr7	64158958	64158969	+	0.000	0.000	Merged-chr7-64158985-48
NR10907--MA0496.2.MAFK	chr7	30000773	30000791	-	0.000	0.000	Merged-chr7-30000834-5
NR11352--MA0496.2.MAFK	chr7	116409583	116409601	+	0.000	0.000	Merged-chr7-116409560-37
NR12458--MA0659.1.MAFG	chr9	78593280	78593300	-	0.000	0.000	Merged-chr9-78593326-11
NR11426--MA0089.1.MAFG::NFE2L1	chr7	125621881	125621886	-	0.000	0.000	Merged-chr7-125621906-18
NR4157--MA0089.1.MAFG::NFE2L1	chr14	79522562	79522567	-	0.000	0.000	Merged-chr14-79522469-3
NR3211--MA0496.2.MAFK	chr13	9082704	9082722	-	0.000	0.000	Merged-chr13-9082570-19
NR12460--MA0496.2.MAFK	chr9	78593281	78593299	+	0.000	0.000	Merged-chr9-78593326-11
NR2589--MA0089.1.MAFG::NFE2L1	chr12	8854550	8854555	+	0.000	0.000	Merged-chr12-8854460-15
NR9317--MA0089.1.MAFG::NFE2L1	chr5	66137392	66137397	+	0.000	0.000	Merged-chr5-66137441-17
NR5843--MA0496.2.MAFK	chr18	43492937	43492955	-	0.000	0.000	Merged-chr18-43493033-11
NR5756--MA0659.1.MAFG	chr18	21020471	21020491	+	0.000	0.000	Merged-chr18-21020432-11
NR9404--MA0089.1.MAFG::NFE2L1	chr5	86079040	86079045	+	0.000	0.000	Merged-chr5-86079042-21
NR1074--MA0117.2.Mafb	chr1	191402721	191402732	-	0.000	0.000	Merged-chr1-191402800-7
NR9323--MA0117.2.Mafb	chr5	67395571	67395582	-	0.000	0.000	Merged-chr5-67395507-40
NR1745--MA0089.1.MAFG::NFE2L1	chr10	118499564	118499569	+	0.000	0.000	Merged-chr10-118499514-3
NR10726--MA0591.1.Bach1::Mafk	chr6	145135502	145135516	-	0.000	0.000	Merged-chr6-145135361-11
NR10169--MA0496.2.MAFK	chr6	67014763	67014781	+	0.000	0.000	Merged-chr6-67014748-19
NR12040--MA0591.1.Bach1::Mafk	chr8	122772828	122772842	-	0.000	0.000	Merged-chr8-122772813-21
NR11046--MA0089.1.MAFG::NFE2L1	chr7	67421999	67422004	-	0.000	0.000	Merged-chr7-67421949-40
NR9330--MA0496.2.MAFK	chr5	67404582	67404600	-	0.000	0.000	Merged-chr5-67404737-28
NR12298--MA0591.1.Bach1::Mafk	chr9	44999341	44999355	+	0.000	0.000	Merged-chr9-44999415-9
NR5110--MA0501.1.MAF::NFE2	chr16	76763190	76763204	-	0.000	0.000	Merged-chr16-76763076-33
NR10606--MA0089.1.MAFG::NFE2L1	chr6	140466497	140466502	-	0.000	0.000	Merged-chr6-140466408-37
NR12579--MA0089.1.MAFG::NFE2L1	chr9	89871235	89871240	+	0.000	0.000	Merged-chr9-89871377-1
NR9373--MA0659.1.MAFG	chr5	74471049	74471069	-	0.000	0.000	Merged-chr5-74471085-11
NR1826--MA0501.1.MAF::NFE2	chr10	126936060	126936074	-	0.000	0.000	Merged-chr10-126935963-18
NR6857--MA0501.1.MAF::NFE2	chr2	80268278	80268292	-	0.000	0.000	Merged-chr2-80268215-10
NR7196--MA0495.2.MAFF	chr2	138245710	138245730	+	0.000	0.000	Merged-chr2-138245729-1
NR10859--MA0496.2.MAFK	chr7	25107336	25107354	+	0.000	0.000	Merged-chr7-25107253-25
NR1741--MA0089.1.MAFG::NFE2L1	chr10	118166252	118166257	+	0.000	0.000	Merged-chr10-118166257-15
NR8208--MA0089.1.MAFG::NFE2L1	chr3	143304288	143304293	+	0.000	0.000	Merged-chr3-143304285-1
NR2381--MA0089.1.MAFG::NFE2L1	chr11	106493418	106493423	-	0.000	0.000	Merged-chr11-106493297-20
NR963--MA0591.1.Bach1::Mafk	chr1	185191177	185191191	-	0.000	0.000	Merged-chr1-185191202-1
NR9362--MA0496.2.MAFK	chr5	74456859	74456877	+	0.000	0.000	Merged-chr5-74456993-19
NR3133--MA0089.1.MAFG::NFE2L1	chr12	116269745	116269750	-	0.000	0.000	Merged-chr12-116269685-29
NR2015--MA0089.1.MAFG::NFE2L1	chr11	50134602	50134607	+	0.000	0.000	Merged-chr11-50134469-13
NR4894--MA0501.1.MAF::NFE2	chr16	30024847	30024861	-	0.000	0.000	Merged-chr16-30024852-47
NR7836--MA0501.1.MAF::NFE2	chr3	95942956	95942970	+	0.000	0.000	Merged-chr3-95942857-2
NR11683--MA0117.2.Mafb	chr8	33931697	33931708	+	0.000	0.000	Merged-chr8-33931697-13
NR3131--MA0591.1.Bach1::Mafk	chr12	116269657	116269671	-	0.000	0.000	Merged-chr12-116269685-29
NR11724--MA0501.1.MAF::NFE2	chr8	57660444	57660458	-	0.000	0.000	Merged-chr8-57660259-14
NR4377--MA0089.1.MAFG::NFE2L1	chr15	10600106	10600111	+	0.000	0.000	Merged-chr15-10599937-7
NR9318--MA0591.1.Bach1::Mafk	chr5	66137399	66137413	+	0.000	0.000	Merged-chr5-66137441-17
NR5809--MA0089.1.MAFG::NFE2L1	chr18	35848621	35848626	+	0.000	0.000	Merged-chr18-35848691-1
NR3627--MA0117.2.Mafb	chr13	99395132	99395143	-	0.000	0.000	Merged-chr13-99395160-4
NR12312--MA0117.2.Mafb	chr9	50836359	50836370	-	0.000	0.000	Merged-chr9-50836533-61
NR10262--MA0117.2.Mafb	chr6	90746481	90746492	+	0.000	0.000	Merged-chr6-90746372-25
NR3298--MA0496.2.MAFK	chr13	24515260	24515278	-	0.000	0.000	Merged-chr13-24515324-15
NR8087--MA0117.2.Mafb	chr3	130803898	130803909	-	0.000	0.000	Merged-chr3-130803996-20
NR10162--MA0495.2.MAFF	chr6	67014762	67014782	+	0.000	0.000	Merged-chr6-67014748-19
NR10992--MA0089.1.MAFG::NFE2L1	chr7	51917018	51917023	-	0.000	0.000	Merged-chr7-51916961-18
NR2228--MA0089.1.MAFG::NFE2L1	chr11	83060609	83060614	+	0.000	0.000	Merged-chr11-83060592-20
NR10513--MA0089.1.MAFG::NFE2L1	chr6	127575435	127575440	-	0.000	0.000	Merged-chr6-127575169-36
NR9853--MA0117.2.Mafb	chr5	146912515	146912526	-	0.000	0.000	Merged-chr5-146912476-8
NR3459--MA0089.1.MAFG::NFE2L1	chr13	63541683	63541688	+	0.000	0.000	Merged-chr13-63541673-31
NR9195--MA0117.2.Mafb	chr5	24629960	24629971	-	0.000	0.000	Merged-chr5-24629894-16
NR3205--MA0495.2.MAFF	chr13	9082703	9082723	-	0.000	0.000	Merged-chr13-9082570-19
NR12454--MA0495.2.MAFF	chr9	78593280	78593300	+	0.000	0.000	Merged-chr9-78593326-11
NR10914--MA0496.2.MAFK	chr7	30000837	30000855	-	0.000	0.000	Merged-chr7-30000834-5
NR6391--MA0591.1.Bach1::Mafk	chr19	57329139	57329153	+	0.000	0.000	Merged-chr19-57329037-3
NR2590--MA0089.1.MAFG::NFE2L1	chr12	8854585	8854590	-	0.000	0.000	Merged-chr12-8854460-15
NR1477--MA0496.2.MAFK	chr10	83094422	83094440	+	0.000	0.000	Merged-chr10-83094341-29
NR9079--MA0117.2.Mafb	chr5	3193799	3193810	-	0.000	0.000	Merged-chr5-3193757-27
NR2111--MA0089.1.MAFG::NFE2L1	chr11	62466776	62466781	+	0.000	0.000	Merged-chr11-62466803-41
NR7668--MA0591.1.Bach1::Mafk	chr3	52470149	52470163	-	0.000	0.000	Merged-chr3-52470194-16
NR5134--MA0591.1.Bach1::Mafk	chr16	84496931	84496945	-	0.000	0.000	Merged-chr16-84496971-26
