#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1-log2fc-1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1-log2fc-1_up.bed
NR64472--MA1107.1.KLF9	chr8	26698688	26698700	-	0.000	0.000	Merged-chr8-26698799-12
NR49928--MA1107.1.KLF9	chr5	33143059	33143071	-	0.000	0.000	Merged-chr5-33143118-19
NR6596--MA0493.1.Klf1	chr10	71399679	71399689	+	0.000	0.000	Merged-chr10-71399794-69
NR52523--MA0742.1.Klf12	chr5	122548896	122548910	-	0.000	0.000	Merged-chr5-122548864-15
NR44604--MA1107.1.KLF9	chr4	14922363	14922375	-	0.000	0.000	Merged-chr4-14922203-28
NR43876--MA0741.1.KLF16	chr3	146207602	146207612	+	0.000	0.000	Merged-chr3-146207752-15
NR6441--MA0741.1.KLF16	chr10	68136635	68136645	+	0.000	0.000	Merged-chr10-68136775-17
NR61839--MA0493.1.Klf1	chr7	102315702	102315712	-	0.000	0.000	Merged-chr7-102315597-18
NR46267--MA0741.1.KLF16	chr4	89169051	89169061	-	0.000	0.000	Merged-chr4-89169046-30
NR1179--MA0741.1.KLF16	chr1	73940883	73940893	+	0.000	0.000	Merged-chr1-73940938-50
NR59851--MA0741.1.KLF16	chr7	29251414	29251424	-	0.000	0.000	Merged-chr7-29251339-19
NR35799--MA0599.1.KLF5	chr2	32931925	32931934	+	0.000	0.000	Merged-chr2-32931910-4
NR24432--MA0493.1.Klf1	chr15	94255127	94255137	+	0.000	0.000	Merged-chr15-94255177-46
NR8323--MA1107.1.KLF9	chr10	117104434	117104446	-	0.000	0.000	Merged-chr10-117104293-23
NR698--MA0493.1.Klf1	chr1	50927414	50927424	+	0.000	0.000	Merged-chr1-50927546-47
NR50260--MA0740.1.KLF14	chr5	44971073	44971086	+	0.000	0.000	Merged-chr5-44970910-1
NR17992--MA0741.1.KLF16	chr13	94567545	94567555	-	0.000	0.000	Merged-chr13-94567668-9
NR18765--MA1107.1.KLF9	chr13	112824335	112824347	+	0.000	0.000	Merged-chr13-112824318-13
NR21097--MA0741.1.KLF16	chr14	75892275	75892285	-	0.000	0.000	Merged-chr14-75892464-20
NR34681--MA0741.1.KLF16	chr2	3118324	3118334	-	0.000	0.000	Merged-chr2-3118423-48
NR27701--MA1107.1.KLF9	chr17	12036300	12036312	+	0.000	0.000	Merged-chr17-12036318-13
NR41334--MA0039.3.KLF4	chr3	68763113	68763123	+	0.000	0.000	Merged-chr3-68763187-8
NR5963--MA0740.1.KLF14	chr10	53889521	53889534	-	0.000	0.000	Merged-chr10-53889619-14
NR25508--MA1107.1.KLF9	chr16	18733522	18733534	+	0.000	0.000	Merged-chr16-18733506-32
NR1613--MA0599.1.KLF5	chr1	88708225	88708234	+	0.000	0.000	Merged-chr1-88708373-21
NR56193--MA0599.1.KLF5	chr6	87590778	87590787	+	0.000	0.000	Merged-chr6-87590737-28
NR70264--MA1107.1.KLF9	chr9	96772965	96772977	+	0.000	0.000	Merged-chr9-96773309-49
NR11253--MA0493.1.Klf1	chr11	78690774	78690784	+	0.000	0.000	Merged-chr11-78690691-3
NR33503--MA0657.1.KLF13	chr19	22915934	22915951	-	0.000	0.000	Merged-chr19-22916033-24
NR58000--MA1107.1.KLF9	chr6	135150454	135150466	-	0.000	0.000	Merged-chr6-135150450-14
NR14765--MA0599.1.KLF5	chr12	82187388	82187397	+	0.000	0.000	Merged-chr12-82187311-20
NR39026--MA0599.1.KLF5	chr2	153278559	153278568	+	0.000	0.000	Merged-chr2-153278581-35
NR460--MA0741.1.KLF16	chr1	37889350	37889360	+	0.000	0.000	Merged-chr1-37889517-3
NR14758--MA0740.1.KLF14	chr12	82166461	82166474	-	0.000	0.000	Merged-chr12-82166286-58
NR3232--MA1107.1.KLF9	chr1	155215382	155215394	-	0.000	0.000	Merged-chr1-155215542-10
NR2474--MA0493.1.Klf1	chr1	132316074	132316084	-	0.000	0.000	Merged-chr1-132316198-37
NR1182--MA1107.1.KLF9	chr1	73940867	73940879	+	0.000	0.000	Merged-chr1-73940938-50
NR68908--MA1107.1.KLF9	chr9	57647832	57647844	-	0.000	0.000	Merged-chr9-57647746-26
NR12123--MA1107.1.KLF9	chr11	99549731	99549743	-	0.000	0.000	Merged-chr11-99549700-12
NR69905--MA0599.1.KLF5	chr9	85319699	85319708	+	0.000	0.000	Merged-chr9-85319747-2
NR24551--MA0740.1.KLF14	chr15	97606751	97606764	+	0.000	0.000	Merged-chr15-97606857-25
NR2637--MA0741.1.KLF16	chr1	135818771	135818781	+	0.000	0.000	Merged-chr1-135818684-27
NR48285--MA0657.1.KLF13	chr4	140750570	140750587	+	0.000	0.000	Merged-chr4-140750542-28
NR41577--MA0493.1.Klf1	chr3	84770750	84770760	-	0.000	0.000	Merged-chr3-84770670-24
NR16918--MA0599.1.KLF5	chr13	51685365	51685374	-	0.000	0.000	Merged-chr13-51685389-6
NR46453--MA0740.1.KLF14	chr4	101419686	101419699	-	0.000	0.000	Merged-chr4-101419713-70
NR8329--MA0599.1.KLF5	chr10	117118630	117118639	-	0.000	0.000	Merged-chr10-117118585-40
NR61754--MA0493.1.Klf1	chr7	101012085	101012095	-	0.000	0.000	Merged-chr7-101011923-30
NR23270--MA1107.1.KLF9	chr15	67290895	67290907	-	0.000	0.000	Merged-chr15-67291006-6
NR62722--MA0039.3.KLF4	chr7	126230480	126230490	-	0.000	0.000	Merged-chr7-126230639-34
NR29778--MA1107.1.KLF9	chr17	65819436	65819448	+	0.000	0.000	Merged-chr17-65819307-6
NR31583--MA0599.1.KLF5	chr18	55161851	55161860	-	0.000	0.000	Merged-chr18-55161771-19
NR36769--MA0740.1.KLF14	chr2	75965079	75965092	+	0.000	0.000	Merged-chr2-75964949-43
NR66203--MA0741.1.KLF16	chr8	95349076	95349086	-	0.000	0.000	Merged-chr8-95348986-27
NR42452--MA0493.1.Klf1	chr3	103862695	103862705	+	0.000	0.000	Merged-chr3-103862515-1
NR36231--MA0741.1.KLF16	chr2	55437050	55437060	+	0.000	0.000	Merged-chr2-55437134-25
NR45358--MA0039.3.KLF4	chr4	47001274	47001284	+	0.000	0.000	Merged-chr4-47001144-9
NR52365--MA0741.1.KLF16	chr5	118661947	118661957	+	0.000	0.000	Merged-chr5-118661904-17
NR45264--MA0741.1.KLF16	chr4	45766158	45766168	-	0.000	0.000	Merged-chr4-45766216-17
NR35057--MA0741.1.KLF16	chr2	18909775	18909785	-	0.000	0.000	Merged-chr2-18909851-2
NR8686--MA1107.1.KLF9	chr10	122778137	122778149	+	0.000	0.000	Merged-chr10-122778014-1
NR13893--MA0039.3.KLF4	chr12	32999956	32999966	-	0.000	0.000	Merged-chr12-32999849-21
NR8328--MA1107.1.KLF9	chr10	117118448	117118460	-	0.000	0.000	Merged-chr10-117118585-40
NR935--MA1107.1.KLF9	chr1	62049746	62049758	+	0.000	0.000	Merged-chr1-62049803-1
NR66782--MA1107.1.KLF9	chr8	115137016	115137028	-	0.000	0.000	Merged-chr8-115136921-34
NR11061--MA0741.1.KLF16	chr11	75571463	75571473	-	0.000	0.000	Merged-chr11-75571465-10
NR16069--MA0741.1.KLF16	chr12	119238859	119238869	-	0.000	0.000	Merged-chr12-119238922-2
NR37194--MA0741.1.KLF16	chr2	94263466	94263476	+	0.000	0.000	Merged-chr2-94263643-18
NR64711--MA0599.1.KLF5	chr8	40634797	40634806	-	0.000	0.000	Merged-chr8-40634821-50
NR44864--MA1107.1.KLF9	chr4	33390941	33390953	+	0.000	0.000	Merged-chr4-33390737-19
NR51500--MA0493.1.Klf1	chr5	99891683	99891693	+	0.000	0.000	Merged-chr5-99891648-1
NR6467--MA0741.1.KLF16	chr10	68445693	68445703	-	0.000	0.000	Merged-chr10-68445900-93
NR46458--MA0493.1.Klf1	chr4	101419676	101419686	-	0.000	0.000	Merged-chr4-101419713-70
NR56510--MA1107.1.KLF9	chr6	95552789	95552801	+	0.000	0.000	Merged-chr6-95552744-18
NR39939--MA0741.1.KLF16	chr2	172501579	172501589	+	0.000	0.000	Merged-chr2-172501605-18
NR14246--MA0741.1.KLF16	chr12	55443356	55443366	-	0.000	0.000	Merged-chr12-55443297-11
NR12295--MA0741.1.KLF16	chr11	102393428	102393438	-	0.000	0.000	Merged-chr11-102393451-21
NR64156--MA0599.1.KLF5	chr8	13200628	13200637	-	0.000	0.000	Merged-chr8-13200567-28
NR9776--MA1107.1.KLF9	chr11	32486697	32486709	-	0.000	0.000	Merged-chr11-32486832-15
NR6512--MA0599.1.KLF5	chr10	69571685	69571694	-	0.000	0.000	Merged-chr10-69571391-44
NR46811--MA1107.1.KLF9	chr4	111577423	111577435	+	0.000	0.000	Merged-chr4-111577435-1
NR13558--MA1107.1.KLF9	chr12	16384356	16384368	+	0.000	0.000	Merged-chr12-16384404-18
NR2259--MA1107.1.KLF9	chr1	127380937	127380949	-	0.000	0.000	Merged-chr1-127381080-26
NR44618--MA1107.1.KLF9	chr4	15273293	15273305	+	0.000	0.000	Merged-chr4-15273435-28
NR7003--MA0740.1.KLF14	chr10	80054384	80054397	-	0.000	0.000	Merged-chr10-80054336-1
NR55503--MA0741.1.KLF16	chr6	53986474	53986484	-	0.000	0.000	Merged-chr6-53986314-10
NR65629--MA0740.1.KLF14	chr8	77376621	77376634	+	0.000	0.000	Merged-chr8-77376569-21
NR22425--MA0741.1.KLF16	chr15	25269715	25269725	-	0.000	0.000	Merged-chr15-25269773-79
NR30498--MA0599.1.KLF5	chr17	84336153	84336162	-	0.000	0.000	Merged-chr17-84336226-16
NR66812--MA0657.1.KLF13	chr8	115568529	115568546	+	0.000	0.000	Merged-chr8-115568627-19
NR68353--MA0741.1.KLF16	chr9	41160888	41160898	-	0.000	0.000	Merged-chr9-41160864-12
NR24--MA0599.1.KLF5	chr1	6454098	6454107	+	0.000	0.000	Merged-chr1-6454252-50
NR56195--MA0741.1.KLF16	chr6	87590783	87590793	+	0.000	0.000	Merged-chr6-87590737-28
NR66739--MA0741.1.KLF16	chr8	113669807	113669817	-	0.000	0.000	Merged-chr8-113669969-10
NR1706--MA0039.3.KLF4	chr1	92640408	92640418	+	0.000	0.000	Merged-chr1-92640529-29
NR2597--MA0741.1.KLF16	chr1	135019083	135019093	+	0.000	0.000	Merged-chr1-135019182-17
NR67846--MA0493.1.Klf1	chr9	20757384	20757394	-	0.000	0.000	Merged-chr9-20757221-14
NR66215--MA0599.1.KLF5	chr8	95369836	95369845	+	0.000	0.000	Merged-chr8-95369863-17
NR2277--MA1107.1.KLF9	chr1	127796453	127796465	-	0.000	0.000	Merged-chr1-127796546-56
NR39192--MA0599.1.KLF5	chr2	158160216	158160225	+	0.000	0.000	Merged-chr2-158160127-37
NR17850--MA0742.1.Klf12	chr13	89521652	89521666	+	0.000	0.000	Merged-chr13-89521757-30
NR25456--MA0599.1.KLF5	chr16	17804775	17804784	+	0.000	0.000	Merged-chr16-17804658-22
NR58229--MA1107.1.KLF9	chr6	140576331	140576343	+	0.000	0.000	Merged-chr6-140576321-13
NR20696--MA0599.1.KLF5	chr14	63943535	63943544	+	0.000	0.000	Merged-chr14-63943640-23
NR26146--MA0741.1.KLF16	chr16	45347019	45347029	-	0.000	0.000	Merged-chr16-45346908-42
NR10308--MA0742.1.Klf12	chr11	57791222	57791236	+	0.000	0.000	Merged-chr11-57791276-17
NR9637--MA0039.3.KLF4	chr11	24077554	24077564	-	0.000	0.000	Merged-chr11-24077473-13
NR39840--MA1107.1.KLF9	chr2	170291893	170291905	+	0.000	0.000	Merged-chr2-170292078-34
NR34731--MA1107.1.KLF9	chr2	4864573	4864585	+	0.000	0.000	Merged-chr2-4864669-14
NR613--MA1107.1.KLF9	chr1	43110778	43110790	+	0.000	0.000	Merged-chr1-43110700-26
NR68716--MA1107.1.KLF9	chr9	51162022	51162034	-	0.000	0.000	Merged-chr9-51161990-29
NR64071--MA0599.1.KLF5	chr8	11009006	11009015	+	0.000	0.000	Merged-chr8-11009107-63
NR35316--MA0742.1.Klf12	chr2	25395858	25395872	-	0.000	0.000	Merged-chr2-25395887-13
NR10639--MA0599.1.KLF5	chr11	67017986	67017995	-	0.000	0.000	Merged-chr11-67017936-9
NR56507--MA0742.1.Klf12	chr6	95552789	95552803	+	0.000	0.000	Merged-chr6-95552744-18
NR2040--MA0741.1.KLF16	chr1	119637161	119637171	+	0.000	0.000	Merged-chr1-119636990-21
NR2511--MA0599.1.KLF5	chr1	133801881	133801890	+	0.000	0.000	Merged-chr1-133801920-3
NR31270--MA0599.1.KLF5	chr18	35830174	35830183	+	0.000	0.000	Merged-chr18-35830192-19
NR56085--MA1107.1.KLF9	chr6	85339431	85339443	+	0.000	0.000	Merged-chr6-85339410-34
NR14116--MA0741.1.KLF16	chr12	52383145	52383155	-	0.000	0.000	Merged-chr12-52383146-23
NR40975--MA1107.1.KLF9	chr3	51701526	51701538	+	0.000	0.000	Merged-chr3-51701450-64
NR9185--MA0741.1.KLF16	chr11	4462996	4463006	+	0.000	0.000	Merged-chr11-4463139-8
NR61038--MA0742.1.Klf12	chr7	75914145	75914159	-	0.000	0.000	Merged-chr7-75914112-33
NR60490--MA0493.1.Klf1	chr7	46832393	46832403	-	0.000	0.000	Merged-chr7-46832342-27
NR66214--MA1107.1.KLF9	chr8	95369793	95369805	+	0.000	0.000	Merged-chr8-95369863-17
NR19637--MA0493.1.Klf1	chr14	27114834	27114844	+	0.000	0.000	Merged-chr14-27114945-21
NR975--MA0741.1.KLF16	chr1	64088020	64088030	+	0.000	0.000	Merged-chr1-64088195-22
NR23136--MA0039.3.KLF4	chr15	61441929	61441939	+	0.000	0.000	Merged-chr15-61441836-34
NR31578--MA1107.1.KLF9	chr18	54822920	54822932	+	0.000	0.000	Merged-chr18-54822886-30
NR64406--MA0741.1.KLF16	chr8	22780967	22780977	-	0.000	0.000	Merged-chr8-22780789-14
NR32575--MA0599.1.KLF5	chr18	81797173	81797182	-	0.000	0.000	Merged-chr18-81797137-21
NR45838--MA1107.1.KLF9	chr4	62731465	62731477	+	0.000	0.000	Merged-chr4-62731520-17
NR44794--MA0599.1.KLF5	chr4	32481949	32481958	-	0.000	0.000	Merged-chr4-32481815-19
NR14486--MA0742.1.Klf12	chr12	71030418	71030432	+	0.000	0.000	Merged-chr12-71030638-56
NR1690--MA0741.1.KLF16	chr1	91825522	91825532	-	0.000	0.000	Merged-chr1-91825474-20
NR41121--MA0741.1.KLF16	chr3	55688152	55688162	-	0.000	0.000	Merged-chr3-55687980-1
NR64387--MA0741.1.KLF16	chr8	22228790	22228800	+	0.000	0.000	Merged-chr8-22228766-14
NR16824--MA0493.1.Klf1	chr13	46619870	46619880	-	0.000	0.000	Merged-chr13-46619803-12
NR36235--MA1107.1.KLF9	chr2	55437055	55437067	+	0.000	0.000	Merged-chr2-55437134-25
NR19805--MA0741.1.KLF16	chr14	31934163	31934173	-	0.000	0.000	Merged-chr14-31934172-18
NR17854--MA0741.1.KLF16	chr13	89521653	89521663	+	0.000	0.000	Merged-chr13-89521757-30
NR61428--MA0493.1.Klf1	chr7	90341962	90341972	-	0.000	0.000	Merged-chr7-90341759-29
NR54013--MA1107.1.KLF9	chr5	143485027	143485039	+	0.000	0.000	Merged-chr5-143485209-17
NR59965--MA0741.1.KLF16	chr7	30717403	30717413	+	0.000	0.000	Merged-chr7-30717543-30
NR25483--MA0599.1.KLF5	chr16	18348190	18348199	-	0.000	0.000	Merged-chr16-18348236-26
NR465--MA0741.1.KLF16	chr1	38395439	38395449	+	0.000	0.000	Merged-chr1-38395375-19
NR1854--MA0039.3.KLF4	chr1	98589913	98589923	+	0.000	0.000	Merged-chr1-98589738-39
NR1864--MA0493.1.Klf1	chr1	104215213	104215223	+	0.000	0.000	Merged-chr1-104215254-1
NR61254--MA0599.1.KLF5	chr7	81454607	81454616	+	0.000	0.000	Merged-chr7-81454544-19
NR19643--MA0741.1.KLF16	chr14	27262418	27262428	+	0.000	0.000	Merged-chr14-27262535-17
NR32565--MA1107.1.KLF9	chr18	81521150	81521162	-	0.000	0.000	Merged-chr18-81521002-1
NR58377--MA0741.1.KLF16	chr6	142507960	142507970	-	0.000	0.000	Merged-chr6-142507875-63
NR5678--MA0599.1.KLF5	chr10	40007146	40007155	+	0.000	0.000	Merged-chr10-40007208-3
NR16762--MA0599.1.KLF5	chr13	44323957	44323966	+	0.000	0.000	Merged-chr13-44323801-22
NR15412--MA0741.1.KLF16	chr12	105537581	105537591	+	0.000	0.000	Merged-chr12-105537597-12
NR42928--MA0599.1.KLF5	chr3	121967795	121967804	-	0.000	0.000	Merged-chr3-121967857-57
NR976--MA1107.1.KLF9	chr1	64088019	64088031	+	0.000	0.000	Merged-chr1-64088195-22
NR39169--MA1107.1.KLF9	chr2	157119295	157119307	-	0.000	0.000	Merged-chr2-157119108-55
NR8201--MA0741.1.KLF16	chr10	111619924	111619934	-	0.000	0.000	Merged-chr10-111620030-35
NR34727--MA1107.1.KLF9	chr2	4864565	4864577	+	0.000	0.000	Merged-chr2-4864669-14
NR63407--MA0599.1.KLF5	chr7	136894429	136894438	+	0.000	0.000	Merged-chr7-136894538-85
NR61347--MA1107.1.KLF9	chr7	84149055	84149067	+	0.000	0.000	Merged-chr7-84149073-24
NR69067--MA0657.1.KLF13	chr9	61745280	61745297	+	0.000	0.000	Merged-chr9-61745239-9
NR54377--MA0599.1.KLF5	chr5	150232878	150232887	+	0.000	0.000	Merged-chr5-150232910-1
NR34770--MA0742.1.Klf12	chr2	6379102	6379116	+	0.000	0.000	Merged-chr2-6378947-26
NR9343--MA0493.1.Klf1	chr11	6658465	6658475	-	0.000	0.000	Merged-chr11-6658459-18
NR22414--MA1107.1.KLF9	chr15	19456869	19456881	+	0.000	0.000	Merged-chr15-19456859-1
NR66208--MA0741.1.KLF16	chr8	95349081	95349091	-	0.000	0.000	Merged-chr8-95348986-27
NR14108--MA0599.1.KLF5	chr12	52383132	52383141	-	0.000	0.000	Merged-chr12-52383146-23
NR4790--MA0740.1.KLF14	chr1	191111363	191111376	-	0.000	0.000	Merged-chr1-191111364-43
NR60026--MA0741.1.KLF16	chr7	34630499	34630509	-	0.000	0.000	Merged-chr7-34630517-24
NR7004--MA0657.1.KLF13	chr10	80054381	80054398	-	0.000	0.000	Merged-chr10-80054336-1
NR71083--MA0599.1.KLF5	chr9	115205647	115205656	+	0.000	0.000	Merged-chr9-115205642-30
NR12715--MA1107.1.KLF9	chr11	113508531	113508543	-	0.000	0.000	Merged-chr11-113508478-30
NR59392--MA0599.1.KLF5	chr7	24237638	24237647	+	0.000	0.000	Merged-chr7-24237656-23
NR45269--MA0741.1.KLF16	chr4	45766163	45766173	-	0.000	0.000	Merged-chr4-45766216-17
NR22669--MA0741.1.KLF16	chr15	37100250	37100260	+	0.000	0.000	Merged-chr15-37100344-35
NR43676--MA0039.3.KLF4	chr3	141690689	141690699	+	0.000	0.000	Merged-chr3-141690828-16
NR57945--MA0039.3.KLF4	chr6	134450906	134450916	-	0.000	0.000	Merged-chr6-134450954-21
NR58919--MA1107.1.KLF9	chr7	7130764	7130776	+	0.000	0.000	Merged-chr7-7130705-50
NR31004--MA0740.1.KLF14	chr18	21300233	21300246	+	0.000	0.000	Merged-chr18-21300237-62
NR53281--MA0039.3.KLF4	chr5	135015605	135015615	-	0.000	0.000	Merged-chr5-135015671-24
NR24411--MA0741.1.KLF16	chr15	93756158	93756168	+	0.000	0.000	Merged-chr15-93756205-23
NR33781--MA0493.1.Klf1	chr19	37523772	37523782	-	0.000	0.000	Merged-chr19-37523720-44
NR19590--MA0741.1.KLF16	chr14	25719559	25719569	+	0.000	0.000	Merged-chr14-25719567-22
NR16723--MA0740.1.KLF14	chr13	43192068	43192081	+	0.000	0.000	Merged-chr13-43191968-21
NR65811--MA0741.1.KLF16	chr8	83899251	83899261	-	0.000	0.000	Merged-chr8-83899135-1
NR15630--MA0741.1.KLF16	chr12	109067991	109068001	+	0.000	0.000	Merged-chr12-109068052-48
NR30839--MA0599.1.KLF5	chr18	5819884	5819893	+	0.000	0.000	Merged-chr18-5820020-28
NR46606--MA1107.1.KLF9	chr4	106841998	106842010	-	0.000	0.000	Merged-chr4-106841993-21
NR22666--MA0599.1.KLF5	chr15	37100245	37100254	+	0.000	0.000	Merged-chr15-37100344-35
NR69033--MA0657.1.KLF13	chr9	61054574	61054591	-	0.000	0.000	Merged-chr9-61054632-26
NR36821--MA0741.1.KLF16	chr2	77249874	77249884	+	0.000	0.000	Merged-chr2-77250040-39
NR60024--MA0039.3.KLF4	chr7	34630505	34630515	-	0.000	0.000	Merged-chr7-34630517-24
NR54180--MA0599.1.KLF5	chr5	146839876	146839885	+	0.000	0.000	Merged-chr5-146839913-1
NR23048--MA0493.1.Klf1	chr15	58213948	58213958	+	0.000	0.000	Merged-chr15-58214039-16
NR48263--MA0599.1.KLF5	chr4	140601397	140601406	-	0.000	0.000	Merged-chr4-140601329-15
NR65044--MA1107.1.KLF9	chr8	61283228	61283240	+	0.000	0.000	Merged-chr8-61283229-50
NR24384--MA0493.1.Klf1	chr15	93443907	93443917	+	0.000	0.000	Merged-chr15-93443797-12
NR45534--MA1107.1.KLF9	chr4	55343391	55343403	+	0.000	0.000	Merged-chr4-55343422-62
NR31808--MA0599.1.KLF5	chr18	62267378	62267387	-	0.000	0.000	Merged-chr18-62267467-16
NR41352--MA0741.1.KLF16	chr3	69524995	69525005	+	0.000	0.000	Merged-chr3-69525025-15
NR8680--MA0742.1.Klf12	chr10	122778157	122778171	+	0.000	0.000	Merged-chr10-122778014-1
NR41771--MA0599.1.KLF5	chr3	89911450	89911459	+	0.000	0.000	Merged-chr3-89911440-10
NR54009--MA1107.1.KLF9	chr5	143485019	143485031	+	0.000	0.000	Merged-chr5-143485209-17
NR48911--MA1107.1.KLF9	chr4	152247435	152247447	+	0.000	0.000	Merged-chr4-152247398-23
NR47191--MA0599.1.KLF5	chr4	122829454	122829463	-	0.000	0.000	Merged-chr4-122829434-12
NR26595--MA0741.1.KLF16	chr16	72663658	72663668	-	0.000	0.000	Merged-chr16-72663616-18
NR13602--MA0741.1.KLF16	chr12	17736625	17736635	-	0.000	0.000	Merged-chr12-17736753-13
NR23616--MA1107.1.KLF9	chr15	77306643	77306655	+	0.000	0.000	Merged-chr15-77306793-46
NR34522--MA0741.1.KLF16	chr19	57430074	57430084	-	0.000	0.000	Merged-chr19-57430178-33
NR16726--MA0493.1.Klf1	chr13	43192068	43192078	+	0.000	0.000	Merged-chr13-43191968-21
NR67564--MA1107.1.KLF9	chr8	127786458	127786470	+	0.000	0.000	Merged-chr8-127786382-2
NR14327--MA0493.1.Klf1	chr12	65258708	65258718	-	0.000	0.000	Merged-chr12-65258774-28
NR54292--MA0599.1.KLF5	chr5	149320905	149320914	+	0.000	0.000	Merged-chr5-149320865-18
NR50419--MA0740.1.KLF14	chr5	53605579	53605592	-	0.000	0.000	Merged-chr5-53605625-25
NR20684--MA0741.1.KLF16	chr14	63906104	63906114	-	0.000	0.000	Merged-chr14-63906056-16
NR14112--MA0493.1.Klf1	chr12	52383127	52383137	-	0.000	0.000	Merged-chr12-52383146-23
NR72285--MA0599.1.KLF5	chrX	93911289	93911298	+	0.000	0.000	Merged-chrX-93911345-24
NR65156--MA1107.1.KLF9	chr8	67860356	67860368	+	0.000	0.000	Merged-chr8-67860375-11
NR60047--MA1107.1.KLF9	chr7	35172052	35172064	-	0.000	0.000	Merged-chr7-35172078-26
NR48017--MA0599.1.KLF5	chr4	136123306	136123315	-	0.000	0.000	Merged-chr4-136123235-13
NR57526--MA0599.1.KLF5	chr6	125433809	125433818	+	0.000	0.000	Merged-chr6-125433874-28
NR60929--MA1107.1.KLF9	chr7	68205947	68205959	-	0.000	0.000	Merged-chr7-68206033-25
NR24058--MA0599.1.KLF5	chr15	84372976	84372985	-	0.000	0.000	Merged-chr15-84372915-18
NR43914--MA1107.1.KLF9	chr3	148221391	148221403	-	0.000	0.000	Merged-chr3-148221459-4
NR57507--MA1107.1.KLF9	chr6	125229077	125229089	-	0.000	0.000	Merged-chr6-125228994-3
NR12845--MA1107.1.KLF9	chr11	115461900	115461912	-	0.000	0.000	Merged-chr11-115461970-11
NR24392--MA0039.3.KLF4	chr15	93530754	93530764	-	0.000	0.000	Merged-chr15-93530912-20
NR60767--MA0741.1.KLF16	chr7	63755273	63755283	+	0.000	0.000	Merged-chr7-63755494-56
NR44179--MA0742.1.Klf12	chr3	153276259	153276273	+	0.000	0.000	Merged-chr3-153276398-51
NR19234--MA1107.1.KLF9	chr14	12307769	12307781	-	0.000	0.000	Merged-chr14-12307905-40
NR11415--MA1107.1.KLF9	chr11	82961944	82961956	-	0.000	0.000	Merged-chr11-82962014-19
